
5 Mot inconnu : Pyvnc2swf => ====== Pyvnc2swf ====== | pyvnc2swf
32 Guillemets typographiques ouvrants. => Activer la visualisation de votre bureau dans systèmes -> Préférences -> Bureau à Distance -> cochez "Autoriser d'autres utilisateurs à voir mon bureau" | " => suggestions : ['«\xa0', '“']
32 Guillemets typographiques fermants. => Activer la visualisation de votre bureau dans systèmes -> Préférences -> Bureau à Distance -> cochez "Autoriser d'autres utilisateurs à voir mon bureau" | " => suggestions : ['\xa0»', '”']

36 Mot inconnu : vino => <note tip>Si vous utilisez vino, votre souris n'apparaîtra pas sur votre présentation. | vino

37 Mot inconnu : vnc2sf => Pour remédier au problème, lancer vnc2sf avec l'option N | vnc2sf

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   vnc2swf -N |    => suggestions : ['']
39 Mot inconnu : vnc2swf =>   vnc2swf -N | vnc2swf
39 Il manque un espace à côté du tiret. =>   vnc2swf -N |  - => suggestions : [' – ', ' — ']

42 Mot inconnu : start => Pour lancer l'enregistrement il vous suffit d'appuyer sur start et stop pour l'arrêter. Simple non ? | start
51 Nombre ordinal. Premier : 1ᵉʳ. Première : 1ʳᵉ. Premiers : 1ᵉʳˢ. Premières : 1ʳᵉˢ. => Pour deux écrans: 1er écran (1680x1050), 2ème écran (1280x800) | 1er => suggestions : ['1ᵉʳ']
51 Signe de multiplication typographique. => Pour deux écrans: 1er écran (1680x1050), 2ème écran (1280x800) | 1680x1050 => suggestions : ['1680\xa0×\xa01050']
51 Mot inconnu : x1050 => Pour deux écrans: 1er écran (1680x1050), 2ème écran (1280x800) | x1050
51 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… => Pour deux écrans: 1er écran (1680x1050), 2ème écran (1280x800) | 2ème => suggestions : ['2ᵉ']
51 Signe de multiplication typographique. => Pour deux écrans: 1er écran (1680x1050), 2ème écran (1280x800) | 1280x800 => suggestions : ['1280\xa0×\xa0800']
51 Mot inconnu : x800 => Pour deux écrans: 1er écran (1680x1050), 2ème écran (1280x800) | x800
53 Signe de multiplication typographique. => Pour capturer le deuxième écran: 1280x800+1680+0</note> | 1280x800 => suggestions : ['1280\xa0×\xa0800']
53 Mot inconnu : x800 => Pour capturer le deuxième écran: 1280x800+1680+0</note> | x800

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    xwininfo -frame |     => suggestions : ['']
59 Mot inconnu : xwininfo =>    xwininfo -frame | xwininfo
59 Il manque un espace à côté du tiret. =>    xwininfo -frame |  - => suggestions : [' – ', ' — ']
59 Mot inconnu : frame =>    xwininfo -frame | frame

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

63 Mot inconnu : Clipping => Sélectionnez option -> Clipping -> compléter la boîte de dialogue avec vos paramètres comme expliqué ci-dessus | clipping

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   vnc2swf -C "largeurxhauteur+abscisse+ordonnée" |    => suggestions : ['']
67 Mot inconnu : vnc2swf =>   vnc2swf -C "largeurxhauteur+abscisse+ordonnée" | vnc2swf
67 Il manque un espace à côté du tiret. =>   vnc2swf -C "largeurxhauteur+abscisse+ordonnée" |  - => suggestions : [' – ', ' — ']
67 Guillemets typographiques ouvrants. =>   vnc2swf -C "largeurxhauteur+abscisse+ordonnée" | " => suggestions : ['«\xa0', '“']
67 Mot inconnu : largeurxhauteur =>   vnc2swf -C "largeurxhauteur+abscisse+ordonnée" | largeurxhauteur
67 Guillemets typographiques fermants. =>   vnc2swf -C "largeurxhauteur+abscisse+ordonnée" | " => suggestions : ['\xa0»', '”']

74 Typographie : points de suspension. Utilisez le caractère dédié. => Vous pourriez donc très bien enregistrer votre commentaire après la génération du fichier flash. Avouez que ça n'est pas très pratique... | ... => suggestions : ['…']
77 Mot inconnu : samplerate => <note important>Le fichier sonore doit-être au format mp3 avec un samplerate de 44.1 Khtz. | samplerate
77 Mot inconnu : Khtz => <note important>Le fichier sonore doit-être au format mp3 avec un samplerate de 44.1 Khtz. | khtz
79 Guillemets typographiques ouvrants. => Vous ne pouvez pas utiliser des fichiers mp3 "variable bitrate" (VBR)</note> | " => suggestions : ['«\xa0', '“']
79 Mot inconnu : bitrate => Vous ne pouvez pas utiliser des fichiers mp3 "variable bitrate" (VBR)</note> | bitrate
79 Guillemets typographiques fermants. => Vous ne pouvez pas utiliser des fichiers mp3 "variable bitrate" (VBR)</note> | " => suggestions : ['\xa0»', '”']
79 Mot inconnu : VBR => Vous ne pouvez pas utiliser des fichiers mp3 "variable bitrate" (VBR)</note> | vbr

88 Mot inconnu : vnc2swf => == En utilisant vnc2swf == | vnc2swf

89 Il manque un espace à côté du tiret. => L'option -S de vnc2swf va vous permettre d'enregistrer vos commentaires en lançant un processus fils. |  - => suggestions : [' – ', ' — ']
89 Mot inconnu : vnc2swf => L'option -S de vnc2swf va vous permettre d'enregistrer vos commentaires en lançant un processus fils. | vnc2swf

90 Mot inconnu : VNC => L'enregistrement commence et s'arrête en même temps que l'enregistrement de votre session VNC. | vnc

92 Espace(s) en fin de ligne à supprimer. => Lancez  |   => suggestions : ['']

94 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   vnc2swf -N -S "arecord monfichier_sonore" |    => suggestions : ['']
94 Mot inconnu : vnc2swf =>   vnc2swf -N -S "arecord monfichier_sonore" | vnc2swf
94 Il manque un espace à côté du tiret. =>   vnc2swf -N -S "arecord monfichier_sonore" |  - => suggestions : [' – ', ' — ']
94 Guillemets typographiques ouvrants. =>   vnc2swf -N -S "arecord monfichier_sonore" | " => suggestions : ['«\xa0', '“']
94 Mot inconnu : arecord =>   vnc2swf -N -S "arecord monfichier_sonore" | arecord
94 Mot inconnu : monfichier_sonore =>   vnc2swf -N -S "arecord monfichier_sonore" | monfichier_sonore
94 Guillemets typographiques fermants. =>   vnc2swf -N -S "arecord monfichier_sonore" | " => suggestions : ['\xa0»', '”']

96 Mot inconnu : bluetooth => <note help>Vous aurez peut-être envie d'utiliser une oreillette bluetooth pour vous enregistrer. | bluetooth

98 Mot inconnu : sco => Oubliez sco et Cie. | sco

100 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Il vous suffit de créer un fichier .asoundrc à la racine de votre répertoire personnel |  . => suggestions : ['. ', '.']
100 Mot inconnu : asoundrc => Il vous suffit de créer un fichier .asoundrc à la racine de votre répertoire personnel | asoundrc

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   gedit ~/.asoundrc |    => suggestions : ['']
102 Mot inconnu : gedit =>   gedit ~/.asoundrc | gedit
102 Mot inconnu : asoundrc =>   gedit ~/.asoundrc | asoundrc

104 S’il s’agit d’un impératif, mettez un trait d’union. => Remplissez le ainsi | remplissez le => suggestions : ['Remplissez-le']
104 Élision de l’article devant un mot commençant par une voyelle. => Remplissez le ainsi | le  => suggestions : ['l’']

106 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   pcm.bluetooth { |    => suggestions : ['']
106 Mot inconnu : pcm =>   pcm.bluetooth { | pcm
106 Mot inconnu : bluetooth =>   pcm.bluetooth { | bluetooth

107 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    type bluetooth |     => suggestions : ['']
107 Mot inconnu : bluetooth =>    type bluetooth | bluetooth

108 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     device adresse:mac:de:votre:oreillette |      => suggestions : ['']
108 Mot inconnu : device =>     device adresse:mac:de:votre:oreillette | device
108 Il manque un espace. =>     device adresse:mac:de:votre:oreillette | mac => suggestions : [' mac']
108 Il manque un espace. =>     device adresse:mac:de:votre:oreillette | votre => suggestions : [' votre']

109 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     } |      => suggestions : ['']

111 Mot inconnu : alsa => Relancez alsa | alsa

113 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo /etc/init.d/alsa-utils restart |    => suggestions : ['']
113 Mot inconnu : sudo =>   sudo /etc/init.d/alsa-utils restart | sudo
113 Mot inconnu : restart =>   sudo /etc/init.d/alsa-utils restart | restart

115 Mot inconnu : bluetooth => Il ne vous reste plus qu'à enregistrer votre commentaire en utilisant le périphérique bluetooth | bluetooth

117 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   vnc2swf -N -S "arecord -D bluetooth -f S16_LE mon_commentaire.wav |    => suggestions : ['']
117 Mot inconnu : vnc2swf =>   vnc2swf -N -S "arecord -D bluetooth -f S16_LE mon_commentaire.wav | vnc2swf
117 Il manque un espace à côté du tiret. =>   vnc2swf -N -S "arecord -D bluetooth -f S16_LE mon_commentaire.wav |  - => suggestions : [' – ', ' — ']
117 Guillemets typographiques ouvrants. =>   vnc2swf -N -S "arecord -D bluetooth -f S16_LE mon_commentaire.wav | " => suggestions : ['«\xa0', '“']
117 Mot inconnu : arecord =>   vnc2swf -N -S "arecord -D bluetooth -f S16_LE mon_commentaire.wav | arecord
117 Il manque un espace à côté du tiret. =>   vnc2swf -N -S "arecord -D bluetooth -f S16_LE mon_commentaire.wav |  - => suggestions : [' – ', ' — ']
117 Mot inconnu : bluetooth =>   vnc2swf -N -S "arecord -D bluetooth -f S16_LE mon_commentaire.wav | bluetooth
117 Il manque un espace à côté du tiret. =>   vnc2swf -N -S "arecord -D bluetooth -f S16_LE mon_commentaire.wav |  - => suggestions : [' – ', ' — ']
117 Mot inconnu : S16_LE =>   vnc2swf -N -S "arecord -D bluetooth -f S16_LE mon_commentaire.wav | s16_le
117 Mot inconnu : mon_commentaire =>   vnc2swf -N -S "arecord -D bluetooth -f S16_LE mon_commentaire.wav | mon_commentaire

125 Mot inconnu : Save => File -> Save As | save

127 Mot inconnu : mon_tutoriel => Vous vous retrouvez avec un fichier mon_tutoriel.swf et mon_tutoriel.html. | mon_tutoriel
127 Mot inconnu : swf => Vous vous retrouvez avec un fichier mon_tutoriel.swf et mon_tutoriel.html. | swf
127 Mot inconnu : mon_tutoriel => Vous vous retrouvez avec un fichier mon_tutoriel.swf et mon_tutoriel.html. | mon_tutoriel
127 Mot inconnu : html => Vous vous retrouvez avec un fichier mon_tutoriel.swf et mon_tutoriel.html. | html

129 Typographie : points de suspension. Utilisez le caractère dédié. => Oui mais voilà, pas de son... | ... => suggestions : ['…']

132 Mot inconnu : vnc2swf-edit => C'est vnc2swf-edit qui va se charger de tout ça...avec votre aide. | vnc2swf-edit
132 Typographie : points de suspension. Utilisez le caractère dédié. => C'est vnc2swf-edit qui va se charger de tout ça...avec votre aide. | ... => suggestions : ['…']

136 Mot inconnu : Vnc2swf => Inutile d'essayer de transformer un flash qui a été réalisé avec un autre logiciel que Vnc2swf avec cet outil; ça ne fonctionnera pas... | vnc2swf
136 Typographie : points de suspension. Utilisez le caractère dédié. => Inutile d'essayer de transformer un flash qui a été réalisé avec un autre logiciel que Vnc2swf avec cet outil; ça ne fonctionnera pas... | ... => suggestions : ['…']

138 Pas d’espace avant une virgule. => Vous devez obligatoirement préciser le nom du fichier de sortie et , bien sûr, le nom du fichier d'entrée |  , => suggestions : [',']

140 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   vnc2swf -o nom_du_fichier_de_sortie.swf nom_du_fichier_d_entrée.swf |    => suggestions : ['']
140 Mot inconnu : vnc2swf =>   vnc2swf -o nom_du_fichier_de_sortie.swf nom_du_fichier_d_entrée.swf | vnc2swf
140 Il manque un espace à côté du tiret. =>   vnc2swf -o nom_du_fichier_de_sortie.swf nom_du_fichier_d_entrée.swf |  - => suggestions : [' – ', ' — ']
140 Mot inconnu : nom_du_fichier_de_sortie =>   vnc2swf -o nom_du_fichier_de_sortie.swf nom_du_fichier_d_entrée.swf | nom_du_fichier_de_sortie
140 Mot inconnu : swf =>   vnc2swf -o nom_du_fichier_de_sortie.swf nom_du_fichier_d_entrée.swf | swf
140 Mot inconnu : nom_du_fichier_d_entrée =>   vnc2swf -o nom_du_fichier_de_sortie.swf nom_du_fichier_d_entrée.swf | nom_du_fichier_d_entrée
140 Mot inconnu : swf =>   vnc2swf -o nom_du_fichier_de_sortie.swf nom_du_fichier_d_entrée.swf | swf

142 Espace(s) surnuméraire(s) à supprimer. => ==== Réduire la taille d'affichage de votre vidéo   ==== |     => suggestions : [' ']

145 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  vnc2swf-edit -o fich_sortie.swf -s ratio(ex:0.5) fich_entree.swf |   => suggestions : ['']
145 Mot inconnu : vnc2swf-edit =>  vnc2swf-edit -o fich_sortie.swf -s ratio(ex:0.5) fich_entree.swf | vnc2swf-edit
145 Il manque un espace à côté du tiret. =>  vnc2swf-edit -o fich_sortie.swf -s ratio(ex:0.5) fich_entree.swf |  - => suggestions : [' – ', ' — ']
145 Mot inconnu : fich_sortie =>  vnc2swf-edit -o fich_sortie.swf -s ratio(ex:0.5) fich_entree.swf | fich_sortie
145 Mot inconnu : swf =>  vnc2swf-edit -o fich_sortie.swf -s ratio(ex:0.5) fich_entree.swf | swf
145 Il manque un espace avant la parenthèse. =>  vnc2swf-edit -o fich_sortie.swf -s ratio(ex:0.5) fich_entree.swf | ( => suggestions : [' (']
145 Il manque un espace. =>  vnc2swf-edit -o fich_sortie.swf -s ratio(ex:0.5) fich_entree.swf | 0 => suggestions : [' 0']
145 Mot inconnu : fich_entree =>  vnc2swf-edit -o fich_sortie.swf -s ratio(ex:0.5) fich_entree.swf | fich_entree
145 Mot inconnu : swf =>  vnc2swf-edit -o fich_sortie.swf -s ratio(ex:0.5) fich_entree.swf | swf

147 Espace(s) surnuméraire(s) à supprimer. => ==== Conserver une partie du rectangle  de la vidéo ==== |    => suggestions : [' ']

148 Après la préposition “Pour”, le verbe devrait être à l’infinitif. => Pour ne conservez qu'une partie du rectangle que vous avez enregistré, entrez  | conservez => suggestions : ['conserver']
148 Espace(s) en fin de ligne à supprimer. => Pour ne conservez qu'une partie du rectangle que vous avez enregistré, entrez  |   => suggestions : ['']

150 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   vnc2swf-edit -o fich_sortie.swf -C largeurxhauteur+abscisse+ordonnée fich_entree.swf |    => suggestions : ['']
150 Mot inconnu : vnc2swf-edit =>   vnc2swf-edit -o fich_sortie.swf -C largeurxhauteur+abscisse+ordonnée fich_entree.swf | vnc2swf-edit
150 Il manque un espace à côté du tiret. =>   vnc2swf-edit -o fich_sortie.swf -C largeurxhauteur+abscisse+ordonnée fich_entree.swf |  - => suggestions : [' – ', ' — ']
150 Mot inconnu : fich_sortie =>   vnc2swf-edit -o fich_sortie.swf -C largeurxhauteur+abscisse+ordonnée fich_entree.swf | fich_sortie
150 Mot inconnu : swf =>   vnc2swf-edit -o fich_sortie.swf -C largeurxhauteur+abscisse+ordonnée fich_entree.swf | swf
150 Mot inconnu : largeurxhauteur =>   vnc2swf-edit -o fich_sortie.swf -C largeurxhauteur+abscisse+ordonnée fich_entree.swf | largeurxhauteur
150 Mot inconnu : fich_entree =>   vnc2swf-edit -o fich_sortie.swf -C largeurxhauteur+abscisse+ordonnée fich_entree.swf | fich_entree
150 Mot inconnu : swf =>   vnc2swf-edit -o fich_sortie.swf -C largeurxhauteur+abscisse+ordonnée fich_entree.swf | swf

155 Mot inconnu : Khz => Il vous faut un fichier au format MP3 44.1 Khz. | khz

157 Mot inconnu : VBR => Attention pas de MP3 VBR. | vbr

163 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   lame --resample 44.1 -b 128 -t fich_son.wav fich_audio.mp3 |    => suggestions : ['']
163 Mot inconnu : resample =>   lame --resample 44.1 -b 128 -t fich_son.wav fich_audio.mp3 | resample
163 Mot inconnu : fich_son =>   lame --resample 44.1 -b 128 -t fich_son.wav fich_audio.mp3 | fich_son
163 Mot inconnu : fich_audio =>   lame --resample 44.1 -b 128 -t fich_son.wav fich_audio.mp3 | fich_audio

167 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   vnc2swf-edit -o fich_sortie.swf -a fich_audio.mp3 fich_sortie.swf |    => suggestions : ['']
167 Mot inconnu : vnc2swf-edit =>   vnc2swf-edit -o fich_sortie.swf -a fich_audio.mp3 fich_sortie.swf | vnc2swf-edit
167 Il manque un espace à côté du tiret. =>   vnc2swf-edit -o fich_sortie.swf -a fich_audio.mp3 fich_sortie.swf |  - => suggestions : [' – ', ' — ']
167 Mot inconnu : fich_sortie =>   vnc2swf-edit -o fich_sortie.swf -a fich_audio.mp3 fich_sortie.swf | fich_sortie
167 Mot inconnu : swf =>   vnc2swf-edit -o fich_sortie.swf -a fich_audio.mp3 fich_sortie.swf | swf
167 Mot inconnu : fich_audio =>   vnc2swf-edit -o fich_sortie.swf -a fich_audio.mp3 fich_sortie.swf | fich_audio
167 Mot inconnu : fich_sortie =>   vnc2swf-edit -o fich_sortie.swf -a fich_audio.mp3 fich_sortie.swf | fich_sortie
167 Mot inconnu : swf =>   vnc2swf-edit -o fich_sortie.swf -a fich_audio.mp3 fich_sortie.swf | swf

170 Mot inconnu : euske => Consultez la documentation officielle[[https://www.unixuser.org/~euske/vnc2swf/pyvnc2swf.html|Consultez la documentation officielle]] | euske
170 Mot inconnu : vnc2swf => Consultez la documentation officielle[[https://www.unixuser.org/~euske/vnc2swf/pyvnc2swf.html|Consultez la documentation officielle]] | vnc2swf
170 Mot inconnu : pyvnc2swf => Consultez la documentation officielle[[https://www.unixuser.org/~euske/vnc2swf/pyvnc2swf.html|Consultez la documentation officielle]] | pyvnc2swf
170 Mot inconnu : html => Consultez la documentation officielle[[https://www.unixuser.org/~euske/vnc2swf/pyvnc2swf.html|Consultez la documentation officielle]] | html

179 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://www.unixuser.org/~euske/vnc2swf/index.html|Site officiel de Pyvnc2swf]] |    => suggestions : ['']
179 Mot inconnu : euske =>   * **(en)** [[https://www.unixuser.org/~euske/vnc2swf/index.html|Site officiel de Pyvnc2swf]] | euske
179 Mot inconnu : vnc2swf =>   * **(en)** [[https://www.unixuser.org/~euske/vnc2swf/index.html|Site officiel de Pyvnc2swf]] | vnc2swf
179 Mot inconnu : html =>   * **(en)** [[https://www.unixuser.org/~euske/vnc2swf/index.html|Site officiel de Pyvnc2swf]] | html
179 Mot inconnu : Pyvnc2swf =>   * **(en)** [[https://www.unixuser.org/~euske/vnc2swf/index.html|Site officiel de Pyvnc2swf]] | pyvnc2swf
