
5 Mot inconnu : Mkusb [[7:12]] => ====== Mkusb interface graphique pour dd ====== <|> mkusb
34 Mot inconnu : Install [[23:30]] =>   * Puis choisissez // Install ==> find target drive...// pour sélectionner le disque cible qui servira de clé de démarrage. <|> install
34 Mot inconnu : find [[35:39]] =>   * Puis choisissez // Install ==> find target drive...// pour sélectionner le disque cible qui servira de clé de démarrage. <|> find
34 Mot inconnu : target [[40:46]] =>   * Puis choisissez // Install ==> find target drive...// pour sélectionner le disque cible qui servira de clé de démarrage. <|> target
34 Typographie : points de suspension. Utilisez le caractère dédié. [[52:55]] =>   * Puis choisissez // Install ==> find target drive...// pour sélectionner le disque cible qui servira de clé de démarrage. <|> ... => suggestions : None

36 Mot inconnu : iso [[22:25]] => <note warning>L'image iso va écraser tout le début de la clef usb (ou le disque), table de partition comprise.  <|> iso
36 Espace(s) en fin de ligne à supprimer. [[110:111]] => <note warning>L'image iso va écraser tout le début de la clef usb (ou le disque), table de partition comprise.  <|>   => suggestions : None
37 Mot inconnu : iso [[93:96]] => Tout ce qui était sur la clef (ou le disque) sera perdu ! Et l'espace non occupé par l'image iso sera inutilisable. <|> iso

40 Mot inconnu : iso [[34:37]] => Pour que cela fonctionne, l'image iso doit être de type "hybride" : C'est  à dire qu'elle doit commencer par un MBR avec le code amorce et une table de partition de type MSDOS pour un démarrage en mode bios classique (legacy).  <|> iso
40 Guillemets typographiques ouvrants. [[56:57]] => Pour que cela fonctionne, l'image iso doit être de type "hybride" : C'est  à dire qu'elle doit commencer par un MBR avec le code amorce et une table de partition de type MSDOS pour un démarrage en mode bios classique (legacy).  <|> " => suggestions : None
40 Guillemets typographiques fermants. [[64:65]] => Pour que cela fonctionne, l'image iso doit être de type "hybride" : C'est  à dire qu'elle doit commencer par un MBR avec le code amorce et une table de partition de type MSDOS pour un démarrage en mode bios classique (legacy).  <|> " => suggestions : None
40 Il manque les traits d’union. [[68:81]] => Pour que cela fonctionne, l'image iso doit être de type "hybride" : C'est  à dire qu'elle doit commencer par un MBR avec le code amorce et une table de partition de type MSDOS pour un démarrage en mode bios classique (legacy).  <|> c'est  à dire => suggestions : None
40 Espace(s) surnuméraire(s) à supprimer. [[73:75]] => Pour que cela fonctionne, l'image iso doit être de type "hybride" : C'est  à dire qu'elle doit commencer par un MBR avec le code amorce et une table de partition de type MSDOS pour un démarrage en mode bios classique (legacy).  <|>    => suggestions : None
40 Mot inconnu : MSDOS [[170:175]] => Pour que cela fonctionne, l'image iso doit être de type "hybride" : C'est  à dire qu'elle doit commencer par un MBR avec le code amorce et une table de partition de type MSDOS pour un démarrage en mode bios classique (legacy).  <|> msdos
40 Accord de nombre erroné avec « bios ». [[197:201]] => Pour que cela fonctionne, l'image iso doit être de type "hybride" : C'est  à dire qu'elle doit commencer par un MBR avec le code amorce et une table de partition de type MSDOS pour un démarrage en mode bios classique (legacy).  <|> mode => suggestions : None
40 Accord de nombre erroné avec « mode ». [[202:206]] => Pour que cela fonctionne, l'image iso doit être de type "hybride" : C'est  à dire qu'elle doit commencer par un MBR avec le code amorce et une table de partition de type MSDOS pour un démarrage en mode bios classique (legacy).  <|> bios => suggestions : None
40 Mot inconnu : legacy [[218:224]] => Pour que cela fonctionne, l'image iso doit être de type "hybride" : C'est  à dire qu'elle doit commencer par un MBR avec le code amorce et une table de partition de type MSDOS pour un démarrage en mode bios classique (legacy).  <|> legacy
40 Espace(s) en fin de ligne à supprimer. [[226:227]] => Pour que cela fonctionne, l'image iso doit être de type "hybride" : C'est  à dire qu'elle doit commencer par un MBR avec le code amorce et une table de partition de type MSDOS pour un démarrage en mode bios classique (legacy).  <|>   => suggestions : None
41 Accord de nombre erroné : « image » devrait être au pluriel. [[72:77]] => Suivit d'une table de partition GPT pour un démarrage en mode UEFI. Les image iso ubuntu-x64 officielles sont normalement en mode hybride.\\ <|> image => suggestions : None
41 Mot inconnu : iso [[78:81]] => Suivit d'une table de partition GPT pour un démarrage en mode UEFI. Les image iso ubuntu-x64 officielles sont normalement en mode hybride.\\ <|> iso
41 Mot inconnu : ubuntu-x64 [[82:92]] => Suivit d'une table de partition GPT pour un démarrage en mode UEFI. Les image iso ubuntu-x64 officielles sont normalement en mode hybride.\\ <|> ubuntu-x64

53 Guillemets typographiques ouvrants. [[18:19]] => La première ligne "x86 boot sector" représente un MBR bootable en mode bios legacy <|> " => suggestions : None
53 Mot inconnu : sector [[28:34]] => La première ligne "x86 boot sector" représente un MBR bootable en mode bios legacy <|> sector
53 Guillemets typographiques fermants. [[34:35]] => La première ligne "x86 boot sector" représente un MBR bootable en mode bios legacy <|> " => suggestions : None
53 Mot inconnu : bootable [[54:62]] => La première ligne "x86 boot sector" représente un MBR bootable en mode bios legacy <|> bootable
53 Accord de nombre erroné avec « bios ». [[66:70]] => La première ligne "x86 boot sector" représente un MBR bootable en mode bios legacy <|> mode => suggestions : None
53 Accord de nombre erroné avec « mode ». [[71:75]] => La première ligne "x86 boot sector" représente un MBR bootable en mode bios legacy <|> bios => suggestions : None
53 Mot inconnu : legacy [[76:82]] => La première ligne "x86 boot sector" représente un MBR bootable en mode bios legacy <|> legacy

55 Il manque probablement un trait d’union. [[2:16]] => L'avant dernière ligne représente un partitionnement compatible GPT pour le boot UEFI  <|> avant dernière => suggestions : None
55 Espace(s) en fin de ligne à supprimer. [[85:86]] => L'avant dernière ligne représente un partitionnement compatible GPT pour le boot UEFI  <|>   => suggestions : None

60 Espace(s) surnuméraire(s) à supprimer. [[9:11]] => Il faudra  fournir son mot de passe. Un message signalant que le support de sortie (clef USB) sera entièrement effacé est à valider. <|>    => suggestions : None

63 Espace(s) surnuméraire(s) à supprimer. [[2:4]] => La  première grille  permet  un premier choix d'actions. Il faut choisir la première ligne de la liste. <|>    => suggestions : None
63 Espace(s) surnuméraire(s) à supprimer. [[19:21]] => La  première grille  permet  un premier choix d'actions. Il faut choisir la première ligne de la liste. <|>    => suggestions : None
63 Espace(s) surnuméraire(s) à supprimer. [[27:29]] => La  première grille  permet  un premier choix d'actions. Il faut choisir la première ligne de la liste. <|>    => suggestions : None

69 Espace(s) surnuméraire(s) à supprimer. [[20:22]] => Une troisième grille  va permettre d'indiquer où se trouve le fichier ISO à installer. <|>    => suggestions : None

73 Mot inconnu : defaults [[47:55]] => Le plus simple est de se positionner sur **Use defaults** et de valider. <|> defaults

75 Espace(s) surnuméraire(s) à supprimer. [[108:110]] => Une grille supplémentaire permet de choisir la quantité d'espace de persistance à allouer (prépositionné sur  50%). <|>    => suggestions : None
79 Mot inconnu : booter [[37:43]] =>   * MBR bien constitué permettant de booter  avec un ordinateur LEGACY 64 bits. <|> booter
79 Espace(s) surnuméraire(s) à supprimer. [[43:45]] =>   * MBR bien constitué permettant de booter  avec un ordinateur LEGACY 64 bits. <|>    => suggestions : None
79 Mot inconnu : LEGACY [[64:70]] =>   * MBR bien constitué permettant de booter  avec un ordinateur LEGACY 64 bits. <|> legacy
80 Espace(s) surnuméraire(s) à supprimer. [[23:26]] =>   * Première partition:   Taille    1 Mo.  Numérotée 2  et contient l'amorçage du bios (partition bios-grub)    <|>     => suggestions : None
80 Espace(s) surnuméraire(s) à supprimer. [[32:36]] =>   * Première partition:   Taille    1 Mo.  Numérotée 2  et contient l'amorçage du bios (partition bios-grub)    <|>      => suggestions : None
80 Si “Mo” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[36:40]] =>   * Première partition:   Taille    1 Mo.  Numérotée 2  et contient l'amorçage du bios (partition bios-grub)    <|> 1 mo => suggestions : None
80 Espace(s) surnuméraire(s) à supprimer. [[41:43]] =>   * Première partition:   Taille    1 Mo.  Numérotée 2  et contient l'amorçage du bios (partition bios-grub)    <|>    => suggestions : None
80 Espace(s) surnuméraire(s) à supprimer. [[54:56]] =>   * Première partition:   Taille    1 Mo.  Numérotée 2  et contient l'amorçage du bios (partition bios-grub)    <|>    => suggestions : None
80 Accord de nombre erroné : « bios » devrait être au singulier. [[82:86]] =>   * Première partition:   Taille    1 Mo.  Numérotée 2  et contient l'amorçage du bios (partition bios-grub)    <|> bios => suggestions : None
80 Mot inconnu : bios-grub [[98:107]] =>   * Première partition:   Taille    1 Mo.  Numérotée 2  et contient l'amorçage du bios (partition bios-grub)    <|> bios-grub
80 Espace(s) en fin de ligne à supprimer. [[108:111]] =>   * Première partition:   Taille    1 Mo.  Numérotée 2  et contient l'amorçage du bios (partition bios-grub)    <|>     => suggestions : None
81 Espace(s) surnuméraire(s) à supprimer. [[22:26]] =>   * Seconde partition:    Taille  244 Mo.  Numérotée 3 en FAT32 et contient les fichiers de boot EFI (bootx64.efi et **bootia32.efi**)  ainsi que les fichiers de boot du  grub dont le fichier de paramétrage contenant bien l'option **persistent** écrite correctement <|>      => suggestions : None
81 Espace(s) surnuméraire(s) à supprimer. [[32:34]] =>   * Seconde partition:    Taille  244 Mo.  Numérotée 3 en FAT32 et contient les fichiers de boot EFI (bootx64.efi et **bootia32.efi**)  ainsi que les fichiers de boot du  grub dont le fichier de paramétrage contenant bien l'option **persistent** écrite correctement <|>    => suggestions : None
81 Si “Mo” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[34:40]] =>   * Seconde partition:    Taille  244 Mo.  Numérotée 3 en FAT32 et contient les fichiers de boot EFI (bootx64.efi et **bootia32.efi**)  ainsi que les fichiers de boot du  grub dont le fichier de paramétrage contenant bien l'option **persistent** écrite correctement <|> 244 mo => suggestions : None
81 Espace(s) surnuméraire(s) à supprimer. [[41:43]] =>   * Seconde partition:    Taille  244 Mo.  Numérotée 3 en FAT32 et contient les fichiers de boot EFI (bootx64.efi et **bootia32.efi**)  ainsi que les fichiers de boot du  grub dont le fichier de paramétrage contenant bien l'option **persistent** écrite correctement <|>    => suggestions : None
81 Mot inconnu : bootx64 [[102:109]] =>   * Seconde partition:    Taille  244 Mo.  Numérotée 3 en FAT32 et contient les fichiers de boot EFI (bootx64.efi et **bootia32.efi**)  ainsi que les fichiers de boot du  grub dont le fichier de paramétrage contenant bien l'option **persistent** écrite correctement <|> bootx64
81 Mot inconnu : bootia32 [[119:127]] =>   * Seconde partition:    Taille  244 Mo.  Numérotée 3 en FAT32 et contient les fichiers de boot EFI (bootx64.efi et **bootia32.efi**)  ainsi que les fichiers de boot du  grub dont le fichier de paramétrage contenant bien l'option **persistent** écrite correctement <|> bootia32
81 Espace(s) surnuméraire(s) à supprimer. [[169:171]] =>   * Seconde partition:    Taille  244 Mo.  Numérotée 3 en FAT32 et contient les fichiers de boot EFI (bootx64.efi et **bootia32.efi**)  ainsi que les fichiers de boot du  grub dont le fichier de paramétrage contenant bien l'option **persistent** écrite correctement <|>    => suggestions : None
82 Espace(s) surnuméraire(s) à supprimer. [[24:26]] =>   * Troisième partition:  Taille: Celle de l'ISO installé.   Numérotée 4 au format ISO9660. <|>    => suggestions : None
82 Espace(s) surnuméraire(s) à supprimer. [[58:61]] =>   * Troisième partition:  Taille: Celle de l'ISO installé.   Numérotée 4 au format ISO9660. <|>     => suggestions : None
82 Mot inconnu : ISO9660 [[83:90]] =>   * Troisième partition:  Taille: Celle de l'ISO installé.   Numérotée 4 au format ISO9660. <|> iso9660
83 Espace(s) surnuméraire(s) à supprimer. [[24:26]] =>   * Quatrième partition:  Taille: Pourcentage de l'espace restant disponible ( Par défaut 50%) formatée en EXT4 et contenant la structure    CASPER sous  forme  de partition et pas de fichier. <|>    => suggestions : None
83 Pas d’espace après ce signe. [[77:79]] =>   * Quatrième partition:  Taille: Pourcentage de l'espace restant disponible ( Par défaut 50%) formatée en EXT4 et contenant la structure    CASPER sous  forme  de partition et pas de fichier. <|> (  => suggestions : None
83 Espace(s) surnuméraire(s) à supprimer. [[137:141]] =>   * Quatrième partition:  Taille: Pourcentage de l'espace restant disponible ( Par défaut 50%) formatée en EXT4 et contenant la structure    CASPER sous  forme  de partition et pas de fichier. <|>      => suggestions : None
83 Mot inconnu : CASPER [[141:147]] =>   * Quatrième partition:  Taille: Pourcentage de l'espace restant disponible ( Par défaut 50%) formatée en EXT4 et contenant la structure    CASPER sous  forme  de partition et pas de fichier. <|> casper
83 Espace(s) surnuméraire(s) à supprimer. [[152:154]] =>   * Quatrième partition:  Taille: Pourcentage de l'espace restant disponible ( Par défaut 50%) formatée en EXT4 et contenant la structure    CASPER sous  forme  de partition et pas de fichier. <|>    => suggestions : None
83 Espace(s) surnuméraire(s) à supprimer. [[159:161]] =>   * Quatrième partition:  Taille: Pourcentage de l'espace restant disponible ( Par défaut 50%) formatée en EXT4 et contenant la structure    CASPER sous  forme  de partition et pas de fichier. <|>    => suggestions : None
84 Espace(s) surnuméraire(s) à supprimer. [[26:28]] =>   * **Cinquième partition:  Taille :  Le reste de l'espace disponible. Numérotée 1 et formatée en NTFS  (pour un  usage autre).** <|>    => suggestions : None
84 Espace(s) surnuméraire(s) à supprimer. [[36:38]] =>   * **Cinquième partition:  Taille :  Le reste de l'espace disponible. Numérotée 1 et formatée en NTFS  (pour un  usage autre).** <|>    => suggestions : None
84 Espace(s) surnuméraire(s) à supprimer. [[102:104]] =>   * **Cinquième partition:  Taille :  Le reste de l'espace disponible. Numérotée 1 et formatée en NTFS  (pour un  usage autre).** <|>    => suggestions : None
84 Espace(s) surnuméraire(s) à supprimer. [[112:114]] =>   * **Cinquième partition:  Taille :  Le reste de l'espace disponible. Numérotée 1 et formatée en NTFS  (pour un  usage autre).** <|>    => suggestions : None

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : None

92 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : None
