
10 Mot inconnu : lspci [[5:10]] => //(**lspci** recherche les cartes reliées à un port PCI, et **lsusb** celles reliées à un port usb)// <|> lspci
10 Mot inconnu : lsusb [[62:67]] => //(**lspci** recherche les cartes reliées à un port PCI, et **lsusb** celles reliées à un port usb)// <|> lsusb

13 Accord de nombre erroné : « compatibles » devrait être au singulier. [[17:28]] => ===== Cartes son compatibles ===== <|> compatibles => suggestions : ['compatible']

15 Guillemets typographiques ouvrants. [[58:59]] => <note help>Les cartes son de cette section fonctionnent **"out of the box"**.</note> <|> " => suggestions : ['«\xa0', '“']
15 Mot inconnu : of [[63:65]] => <note help>Les cartes son de cette section fonctionnent **"out of the box"**.</note> <|> of
15 Mot inconnu : the [[66:69]] => <note help>Les cartes son de cette section fonctionnent **"out of the box"**.</note> <|> the
15 Guillemets typographiques fermants. [[73:74]] => <note help>Les cartes son de cette section fonctionnent **"out of the box"**.</note> <|> " => suggestions : ['\xa0»', '”']

18 Mot inconnu : ALi [[2:5]] => | ALi                          | M5451           | ali5451                   | Oui                | Oui    | Muter tous les "Jack Sense" et External Amplifier dans alsamixer | <|> ali
20 Guillemets typographiques fermants. [[245:246]] => | Creative Labs | Sound Blaster Live! 1024/5.1| emu10k1 | Oui | Oui |Pour avoir le son 5.1 : Clic droit sur l'icone du son, en haut a droite -> Ouvrir le controleur de volume -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> " => suggestions : ['\xa0»', '”']
20 Guillemets typographiques ouvrants. [[258:259]] => | Creative Labs | Sound Blaster Live! 1024/5.1| emu10k1 | Oui | Oui |Pour avoir le son 5.1 : Clic droit sur l'icone du son, en haut a droite -> Ouvrir le controleur de volume -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> " => suggestions : ['«\xa0', '“']
20 Guillemets typographiques fermants. [[265:266]] => | Creative Labs | Sound Blaster Live! 1024/5.1| emu10k1 | Oui | Oui |Pour avoir le son 5.1 : Clic droit sur l'icone du son, en haut a droite -> Ouvrir le controleur de volume -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> " => suggestions : ['\xa0»', '”']
20 Guillemets typographiques ouvrants. [[277:278]] => | Creative Labs | Sound Blaster Live! 1024/5.1| emu10k1 | Oui | Oui |Pour avoir le son 5.1 : Clic droit sur l'icone du son, en haut a droite -> Ouvrir le controleur de volume -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> " => suggestions : ['«\xa0', '“']
20 Guillemets typographiques fermants. [[288:289]] => | Creative Labs | Sound Blaster Live! 1024/5.1| emu10k1 | Oui | Oui |Pour avoir le son 5.1 : Clic droit sur l'icone du son, en haut a droite -> Ouvrir le controleur de volume -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> " => suggestions : ['\xa0»', '”']
20 Mot inconnu : Decocher [[293:301]] => | Creative Labs | Sound Blaster Live! 1024/5.1| emu10k1 | Oui | Oui |Pour avoir le son 5.1 : Clic droit sur l'icone du son, en haut a droite -> Ouvrir le controleur de volume -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> decocher
20 Guillemets typographiques ouvrants. [[302:303]] => | Creative Labs | Sound Blaster Live! 1024/5.1| emu10k1 | Oui | Oui |Pour avoir le son 5.1 : Clic droit sur l'icone du son, en haut a droite -> Ouvrir le controleur de volume -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> " => suggestions : ['«\xa0', '“']
20 Mot inconnu : Audigy [[303:309]] => | Creative Labs | Sound Blaster Live! 1024/5.1| emu10k1 | Oui | Oui |Pour avoir le son 5.1 : Clic droit sur l'icone du son, en haut a droite -> Ouvrir le controleur de volume -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> audigy
20 Mot inconnu : Analog [[310:316]] => | Creative Labs | Sound Blaster Live! 1024/5.1| emu10k1 | Oui | Oui |Pour avoir le son 5.1 : Clic droit sur l'icone du son, en haut a droite -> Ouvrir le controleur de volume -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> analog
20 Guillemets typographiques fermants. [[336:337]] => | Creative Labs | Sound Blaster Live! 1024/5.1| emu10k1 | Oui | Oui |Pour avoir le son 5.1 : Clic droit sur l'icone du son, en haut a droite -> Ouvrir le controleur de volume -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> " => suggestions : ['\xa0»', '”']

22 Mot inconnu : Creative [[2:10]] => | Creative Labs   | Sound Blaster Audigy ES   | emu10k1   | Oui                  | Oui                     | Muter "Audigy Analog" et monter le son dans alsamixer    | <|> creative
22 Mot inconnu : Labs [[11:15]] => | Creative Labs   | Sound Blaster Audigy ES   | emu10k1   | Oui                  | Oui                     | Muter "Audigy Analog" et monter le son dans alsamixer    | <|> labs
22 Mot inconnu : Sound [[20:25]] => | Creative Labs   | Sound Blaster Audigy ES   | emu10k1   | Oui                  | Oui                     | Muter "Audigy Analog" et monter le son dans alsamixer    | <|> sound
22 Mot inconnu : Audigy [[34:40]] => | Creative Labs   | Sound Blaster Audigy ES   | emu10k1   | Oui                  | Oui                     | Muter "Audigy Analog" et monter le son dans alsamixer    | <|> audigy
22 Mot inconnu : emu10k1 [[48:55]] => | Creative Labs   | Sound Blaster Audigy ES   | emu10k1   | Oui                  | Oui                     | Muter "Audigy Analog" et monter le son dans alsamixer    | <|> emu10k1
22 Guillemets typographiques ouvrants. [[115:116]] => | Creative Labs   | Sound Blaster Audigy ES   | emu10k1   | Oui                  | Oui                     | Muter "Audigy Analog" et monter le son dans alsamixer    | <|> " => suggestions : ['«\xa0', '“']
22 Mot inconnu : Audigy [[116:122]] => | Creative Labs   | Sound Blaster Audigy ES   | emu10k1   | Oui                  | Oui                     | Muter "Audigy Analog" et monter le son dans alsamixer    | <|> audigy
22 Mot inconnu : Analog [[123:129]] => | Creative Labs   | Sound Blaster Audigy ES   | emu10k1   | Oui                  | Oui                     | Muter "Audigy Analog" et monter le son dans alsamixer    | <|> analog
22 Guillemets typographiques fermants. [[129:130]] => | Creative Labs   | Sound Blaster Audigy ES   | emu10k1   | Oui                  | Oui                     | Muter "Audigy Analog" et monter le son dans alsamixer    | <|> " => suggestions : ['\xa0»', '”']
22 Mot inconnu : alsamixer [[153:162]] => | Creative Labs   | Sound Blaster Audigy ES   | emu10k1   | Oui                  | Oui                     | Muter "Audigy Analog" et monter le son dans alsamixer    | <|> alsamixer

23 Mot inconnu : Creative [[2:10]] => | Creative Labs   | Sound Blaster Audigy SE   | ca0106   | Oui                  | Oui                     | **Pour activer** Il faut aller dans les paramètres du son (système/préférences/son sous Gnome). Ensuite mettre la carte CA0106 dans tout les champs. **Pour contrôler le son**: Clique droit sur le contrôleur de volume. 1.Préférences: vérifiez que CA0106 est bien le contrôleur par défaut 2. Ouvrir le contrôleur de volume: fichier/changer de périphérique/CA0106 **Attention pas de boost mic donc pas de skype avec cette carte.** Des problèmes également avec les videos flash | <|> creative
23 Mot inconnu : Labs [[11:15]] => | Creative Labs   | Sound Blaster Audigy SE   | ca0106   | Oui                  | Oui                     | **Pour activer** Il faut aller dans les paramètres du son (système/préférences/son sous Gnome). Ensuite mettre la carte CA0106 dans tout les champs. **Pour contrôler le son**: Clique droit sur le contrôleur de volume. 1.Préférences: vérifiez que CA0106 est bien le contrôleur par défaut 2. Ouvrir le contrôleur de volume: fichier/changer de périphérique/CA0106 **Attention pas de boost mic donc pas de skype avec cette carte.** Des problèmes également avec les videos flash | <|> labs
23 Mot inconnu : Sound [[20:25]] => | Creative Labs   | Sound Blaster Audigy SE   | ca0106   | Oui                  | Oui                     | **Pour activer** Il faut aller dans les paramètres du son (système/préférences/son sous Gnome). Ensuite mettre la carte CA0106 dans tout les champs. **Pour contrôler le son**: Clique droit sur le contrôleur de volume. 1.Préférences: vérifiez que CA0106 est bien le contrôleur par défaut 2. Ouvrir le contrôleur de volume: fichier/changer de périphérique/CA0106 **Attention pas de boost mic donc pas de skype avec cette carte.** Des problèmes également avec les videos flash | <|> sound
23 Mot inconnu : Audigy [[34:40]] => | Creative Labs   | Sound Blaster Audigy SE   | ca0106   | Oui                  | Oui                     | **Pour activer** Il faut aller dans les paramètres du son (système/préférences/son sous Gnome). Ensuite mettre la carte CA0106 dans tout les champs. **Pour contrôler le son**: Clique droit sur le contrôleur de volume. 1.Préférences: vérifiez que CA0106 est bien le contrôleur par défaut 2. Ouvrir le contrôleur de volume: fichier/changer de périphérique/CA0106 **Attention pas de boost mic donc pas de skype avec cette carte.** Des problèmes également avec les videos flash | <|> audigy
23 Mot inconnu : ca0106 [[48:54]] => | Creative Labs   | Sound Blaster Audigy SE   | ca0106   | Oui                  | Oui                     | **Pour activer** Il faut aller dans les paramètres du son (système/préférences/son sous Gnome). Ensuite mettre la carte CA0106 dans tout les champs. **Pour contrôler le son**: Clique droit sur le contrôleur de volume. 1.Préférences: vérifiez que CA0106 est bien le contrôleur par défaut 2. Ouvrir le contrôleur de volume: fichier/changer de périphérique/CA0106 **Attention pas de boost mic donc pas de skype avec cette carte.** Des problèmes également avec les videos flash | <|> ca0106
23 Mot inconnu : CA0106 [[228:234]] => | Creative Labs   | Sound Blaster Audigy SE   | ca0106   | Oui                  | Oui                     | **Pour activer** Il faut aller dans les paramètres du son (système/préférences/son sous Gnome). Ensuite mettre la carte CA0106 dans tout les champs. **Pour contrôler le son**: Clique droit sur le contrôleur de volume. 1.Préférences: vérifiez que CA0106 est bien le contrôleur par défaut 2. Ouvrir le contrôleur de volume: fichier/changer de périphérique/CA0106 **Attention pas de boost mic donc pas de skype avec cette carte.** Des problèmes également avec les videos flash | <|> ca0106
23 Erreur d’accord probable avec « les champs ». [[240:244]] => | Creative Labs   | Sound Blaster Audigy SE   | ca0106   | Oui                  | Oui                     | **Pour activer** Il faut aller dans les paramètres du son (système/préférences/son sous Gnome). Ensuite mettre la carte CA0106 dans tout les champs. **Pour contrôler le son**: Clique droit sur le contrôleur de volume. 1.Préférences: vérifiez que CA0106 est bien le contrôleur par défaut 2. Ouvrir le contrôleur de volume: fichier/changer de périphérique/CA0106 **Attention pas de boost mic donc pas de skype avec cette carte.** Des problèmes également avec les videos flash | <|> tout => suggestions : ['tous']
23 Il manque un espace. [[328:339]] => | Creative Labs   | Sound Blaster Audigy SE   | ca0106   | Oui                  | Oui                     | **Pour activer** Il faut aller dans les paramètres du son (système/préférences/son sous Gnome). Ensuite mettre la carte CA0106 dans tout les champs. **Pour contrôler le son**: Clique droit sur le contrôleur de volume. 1.Préférences: vérifiez que CA0106 est bien le contrôleur par défaut 2. Ouvrir le contrôleur de volume: fichier/changer de périphérique/CA0106 **Attention pas de boost mic donc pas de skype avec cette carte.** Des problèmes également avec les videos flash | <|> préférences => suggestions : [' Préférences']
23 Mot inconnu : CA0106 [[354:360]] => | Creative Labs   | Sound Blaster Audigy SE   | ca0106   | Oui                  | Oui                     | **Pour activer** Il faut aller dans les paramètres du son (système/préférences/son sous Gnome). Ensuite mettre la carte CA0106 dans tout les champs. **Pour contrôler le son**: Clique droit sur le contrôleur de volume. 1.Préférences: vérifiez que CA0106 est bien le contrôleur par défaut 2. Ouvrir le contrôleur de volume: fichier/changer de périphérique/CA0106 **Attention pas de boost mic donc pas de skype avec cette carte.** Des problèmes également avec les videos flash | <|> ca0106
23 Mot inconnu : CA0106 [[462:468]] => | Creative Labs   | Sound Blaster Audigy SE   | ca0106   | Oui                  | Oui                     | **Pour activer** Il faut aller dans les paramètres du son (système/préférences/son sous Gnome). Ensuite mettre la carte CA0106 dans tout les champs. **Pour contrôler le son**: Clique droit sur le contrôleur de volume. 1.Préférences: vérifiez que CA0106 est bien le contrôleur par défaut 2. Ouvrir le contrôleur de volume: fichier/changer de périphérique/CA0106 **Attention pas de boost mic donc pas de skype avec cette carte.** Des problèmes également avec les videos flash | <|> ca0106
23 Mot inconnu : mic [[494:497]] => | Creative Labs   | Sound Blaster Audigy SE   | ca0106   | Oui                  | Oui                     | **Pour activer** Il faut aller dans les paramètres du son (système/préférences/son sous Gnome). Ensuite mettre la carte CA0106 dans tout les champs. **Pour contrôler le son**: Clique droit sur le contrôleur de volume. 1.Préférences: vérifiez que CA0106 est bien le contrôleur par défaut 2. Ouvrir le contrôleur de volume: fichier/changer de périphérique/CA0106 **Attention pas de boost mic donc pas de skype avec cette carte.** Des problèmes également avec les videos flash | <|> mic
23 Mot inconnu : videos [[569:575]] => | Creative Labs   | Sound Blaster Audigy SE   | ca0106   | Oui                  | Oui                     | **Pour activer** Il faut aller dans les paramètres du son (système/préférences/son sous Gnome). Ensuite mettre la carte CA0106 dans tout les champs. **Pour contrôler le son**: Clique droit sur le contrôleur de volume. 1.Préférences: vérifiez que CA0106 est bien le contrôleur par défaut 2. Ouvrir le contrôleur de volume: fichier/changer de périphérique/CA0106 **Attention pas de boost mic donc pas de skype avec cette carte.** Des problèmes également avec les videos flash | <|> videos

24 Mot inconnu : Creative [[2:10]] => | Creative Labs | Sound Blaster Audigy1 (SB0090) | emu10k1 | Oui | Oui | Clic droit -> Ouvrir le controleur de volume (sur l'icone du son, en haut a droite) -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> creative
24 Mot inconnu : Labs [[11:15]] => | Creative Labs | Sound Blaster Audigy1 (SB0090) | emu10k1 | Oui | Oui | Clic droit -> Ouvrir le controleur de volume (sur l'icone du son, en haut a droite) -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> labs
24 Mot inconnu : Sound [[18:23]] => | Creative Labs | Sound Blaster Audigy1 (SB0090) | emu10k1 | Oui | Oui | Clic droit -> Ouvrir le controleur de volume (sur l'icone du son, en haut a droite) -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> sound
24 Mot inconnu : Audigy1 [[32:39]] => | Creative Labs | Sound Blaster Audigy1 (SB0090) | emu10k1 | Oui | Oui | Clic droit -> Ouvrir le controleur de volume (sur l'icone du son, en haut a droite) -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> audigy1
24 Mot inconnu : SB0090 [[41:47]] => | Creative Labs | Sound Blaster Audigy1 (SB0090) | emu10k1 | Oui | Oui | Clic droit -> Ouvrir le controleur de volume (sur l'icone du son, en haut a droite) -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> sb0090
24 Mot inconnu : emu10k1 [[51:58]] => | Creative Labs | Sound Blaster Audigy1 (SB0090) | emu10k1 | Oui | Oui | Clic droit -> Ouvrir le controleur de volume (sur l'icone du son, en haut a droite) -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> emu10k1
24 Mot inconnu : controleur [[97:107]] => | Creative Labs | Sound Blaster Audigy1 (SB0090) | emu10k1 | Oui | Oui | Clic droit -> Ouvrir le controleur de volume (sur l'icone du son, en haut a droite) -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> controleur
24 Mot inconnu : icone [[125:130]] => | Creative Labs | Sound Blaster Audigy1 (SB0090) | emu10k1 | Oui | Oui | Clic droit -> Ouvrir le controleur de volume (sur l'icone du son, en haut a droite) -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> icone
24 Mot inconnu : Edition [[160:167]] => | Creative Labs | Sound Blaster Audigy1 (SB0090) | emu10k1 | Oui | Oui | Clic droit -> Ouvrir le controleur de volume (sur l'icone du son, en haut a droite) -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> edition
24 Guillemets typographiques ouvrants. [[193:194]] => | Creative Labs | Sound Blaster Audigy1 (SB0090) | emu10k1 | Oui | Oui | Clic droit -> Ouvrir le controleur de volume (sur l'icone du son, en haut a droite) -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> " => suggestions : ['«\xa0', '“']
24 Mot inconnu : Audigy [[194:200]] => | Creative Labs | Sound Blaster Audigy1 (SB0090) | emu10k1 | Oui | Oui | Clic droit -> Ouvrir le controleur de volume (sur l'icone du son, en haut a droite) -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> audigy
24 Mot inconnu : Analog [[201:207]] => | Creative Labs | Sound Blaster Audigy1 (SB0090) | emu10k1 | Oui | Oui | Clic droit -> Ouvrir le controleur de volume (sur l'icone du son, en haut a droite) -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> analog
24 Guillemets typographiques fermants. [[227:228]] => | Creative Labs | Sound Blaster Audigy1 (SB0090) | emu10k1 | Oui | Oui | Clic droit -> Ouvrir le controleur de volume (sur l'icone du son, en haut a droite) -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> " => suggestions : ['\xa0»', '”']
24 Guillemets typographiques ouvrants. [[240:241]] => | Creative Labs | Sound Blaster Audigy1 (SB0090) | emu10k1 | Oui | Oui | Clic droit -> Ouvrir le controleur de volume (sur l'icone du son, en haut a droite) -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> " => suggestions : ['«\xa0', '“']
24 Guillemets typographiques fermants. [[247:248]] => | Creative Labs | Sound Blaster Audigy1 (SB0090) | emu10k1 | Oui | Oui | Clic droit -> Ouvrir le controleur de volume (sur l'icone du son, en haut a droite) -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> " => suggestions : ['\xa0»', '”']
24 Guillemets typographiques ouvrants. [[259:260]] => | Creative Labs | Sound Blaster Audigy1 (SB0090) | emu10k1 | Oui | Oui | Clic droit -> Ouvrir le controleur de volume (sur l'icone du son, en haut a droite) -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> " => suggestions : ['«\xa0', '“']
24 Guillemets typographiques fermants. [[270:271]] => | Creative Labs | Sound Blaster Audigy1 (SB0090) | emu10k1 | Oui | Oui | Clic droit -> Ouvrir le controleur de volume (sur l'icone du son, en haut a droite) -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> " => suggestions : ['\xa0»', '”']
24 Mot inconnu : Decocher [[275:283]] => | Creative Labs | Sound Blaster Audigy1 (SB0090) | emu10k1 | Oui | Oui | Clic droit -> Ouvrir le controleur de volume (sur l'icone du son, en haut a droite) -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> decocher
