
5 Mot inconnu : glassfish => ======glassfish, ses indispensables, etc...  ====== | glassfish
25 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>           - Installez une version du serveur Glassfish égale ou supérieure à V2b41 (gestionnaire de paquets synaptic, les paquets iront alors               dans /usr/share/glassfishv2 ou téléchargez directement à l'adresse https://glassfish.dev.java.net/public/downloadsindex.html |  -  => suggestions : [' – ', ' — ', ' − ']
25 Mot inconnu : Glassfish =>           - Installez une version du serveur Glassfish égale ou supérieure à V2b41 (gestionnaire de paquets synaptic, les paquets iront alors               dans /usr/share/glassfishv2 ou téléchargez directement à l'adresse https://glassfish.dev.java.net/public/downloadsindex.html | glassfish
25 Mot inconnu : V2b41 =>           - Installez une version du serveur Glassfish égale ou supérieure à V2b41 (gestionnaire de paquets synaptic, les paquets iront alors               dans /usr/share/glassfishv2 ou téléchargez directement à l'adresse https://glassfish.dev.java.net/public/downloadsindex.html | v2b41
25 Mot inconnu : synaptic =>           - Installez une version du serveur Glassfish égale ou supérieure à V2b41 (gestionnaire de paquets synaptic, les paquets iront alors               dans /usr/share/glassfishv2 ou téléchargez directement à l'adresse https://glassfish.dev.java.net/public/downloadsindex.html | synaptic
25 Espace(s) surnuméraire(s) à supprimer. =>           - Installez une version du serveur Glassfish égale ou supérieure à V2b41 (gestionnaire de paquets synaptic, les paquets iront alors               dans /usr/share/glassfishv2 ou téléchargez directement à l'adresse https://glassfish.dev.java.net/public/downloadsindex.html |                 => suggestions : [' ']

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>           - Téléchargez le fichier jar puis exécutez la commande java -Xmx256m -jar nomDuFichier.jar |            => suggestions : ['']
26 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>           - Téléchargez le fichier jar puis exécutez la commande java -Xmx256m -jar nomDuFichier.jar |  -  => suggestions : [' – ', ' — ', ' − ']
26 Il manque un espace à côté du tiret. =>           - Téléchargez le fichier jar puis exécutez la commande java -Xmx256m -jar nomDuFichier.jar |  - => suggestions : [' – ', ' — ']
26 Mot inconnu : Xmx256m =>           - Téléchargez le fichier jar puis exécutez la commande java -Xmx256m -jar nomDuFichier.jar | xmx256m
26 Mot inconnu : nomDuFichier =>           - Téléchargez le fichier jar puis exécutez la commande java -Xmx256m -jar nomDuFichier.jar | nomdufichier
26 Il manque un espace. =>           - Téléchargez le fichier jar puis exécutez la commande java -Xmx256m -jar nomDuFichier.jar | jar => suggestions : [' jar']

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>           - Déplacer le dossier "glassfish" dans le dossier "/opt" : mv glassfish /opt  |            => suggestions : ['']
27 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>           - Déplacer le dossier "glassfish" dans le dossier "/opt" : mv glassfish /opt  |  -  => suggestions : [' – ', ' — ', ' − ']
27 Guillemets typographiques ouvrants. =>           - Déplacer le dossier "glassfish" dans le dossier "/opt" : mv glassfish /opt  | " => suggestions : ['«\xa0', '“']
27 Mot inconnu : glassfish =>           - Déplacer le dossier "glassfish" dans le dossier "/opt" : mv glassfish /opt  | glassfish
27 Guillemets typographiques fermants. =>           - Déplacer le dossier "glassfish" dans le dossier "/opt" : mv glassfish /opt  | " => suggestions : ['\xa0»', '”']
27 Mot inconnu : mv =>           - Déplacer le dossier "glassfish" dans le dossier "/opt" : mv glassfish /opt  | mv
27 Mot inconnu : glassfish =>           - Déplacer le dossier "glassfish" dans le dossier "/opt" : mv glassfish /opt  | glassfish
27 Espace(s) en fin de ligne à supprimer. =>           - Déplacer le dossier "glassfish" dans le dossier "/opt" : mv glassfish /opt  |   => suggestions : ['']

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>           - Ensuite tapez la commande ant -f setup.xml pour terminer l'installation de GlassFish dans le cas d'une installation main |            => suggestions : ['']
28 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>           - Ensuite tapez la commande ant -f setup.xml pour terminer l'installation de GlassFish dans le cas d'une installation main |  -  => suggestions : [' – ', ' — ', ' − ']
28 Mot inconnu : ant =>           - Ensuite tapez la commande ant -f setup.xml pour terminer l'installation de GlassFish dans le cas d'une installation main | ant
28 Il manque un espace à côté du tiret. =>           - Ensuite tapez la commande ant -f setup.xml pour terminer l'installation de GlassFish dans le cas d'une installation main |  - => suggestions : [' – ', ' — ']
28 Mot inconnu : setup =>           - Ensuite tapez la commande ant -f setup.xml pour terminer l'installation de GlassFish dans le cas d'une installation main | setup
28 Mot inconnu : xml =>           - Ensuite tapez la commande ant -f setup.xml pour terminer l'installation de GlassFish dans le cas d'une installation main | xml
28 Mot inconnu : GlassFish =>           - Ensuite tapez la commande ant -f setup.xml pour terminer l'installation de GlassFish dans le cas d'une installation main | glassfish
30 Espace(s) en fin de ligne à supprimer. => <note warning>Attention pour la suite: si un serveur tourne sur le port 8080, le  |   => suggestions : ['']

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                      ant -f setup.xml  |                       => suggestions : ['']
31 Mot inconnu : ant =>                      ant -f setup.xml  | ant
31 Il manque un espace à côté du tiret. =>                      ant -f setup.xml  |  - => suggestions : [' – ', ' — ']
31 Mot inconnu : setup =>                      ant -f setup.xml  | setup
31 Mot inconnu : xml =>                      ant -f setup.xml  | xml
31 Espace(s) en fin de ligne à supprimer. =>                      ant -f setup.xml  |   => suggestions : ['']

32 Mot inconnu : repertoire => dans le repertoire de glassfish ne fonctionnera pas, il est donc préférable de stopper tomcat6 ou toute version antérieure en utilisant la commande | repertoire
32 Mot inconnu : glassfish => dans le repertoire de glassfish ne fonctionnera pas, il est donc préférable de stopper tomcat6 ou toute version antérieure en utilisant la commande | glassfish
32 Mot inconnu : tomcat6 => dans le repertoire de glassfish ne fonctionnera pas, il est donc préférable de stopper tomcat6 ou toute version antérieure en utilisant la commande | tomcat6

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                      /etc/init.d/tomcat6 stop |                       => suggestions : ['']

37 Mot inconnu : sudo => vient ensuite la création du premier domaine en sudo et dans le terminal: | sudo

38 Mot inconnu : adminadmin => (ici vous pourriez rentrer adminadmin et mastermaster pour les deux password demandés..., ces fichiers se situent dans le dossier bin de glassfish) | adminadmin
38 Mot inconnu : mastermaster => (ici vous pourriez rentrer adminadmin et mastermaster pour les deux password demandés..., ces fichiers se situent dans le dossier bin de glassfish) | mastermaster
38 Mot inconnu : password => (ici vous pourriez rentrer adminadmin et mastermaster pour les deux password demandés..., ces fichiers se situent dans le dossier bin de glassfish) | password
38 Typographie : points de suspension. Utilisez le caractère dédié. => (ici vous pourriez rentrer adminadmin et mastermaster pour les deux password demandés..., ces fichiers se situent dans le dossier bin de glassfish) | ... => suggestions : ['…']
38 Mot inconnu : bin => (ici vous pourriez rentrer adminadmin et mastermaster pour les deux password demandés..., ces fichiers se situent dans le dossier bin de glassfish) | bin
38 Mot inconnu : glassfish => (ici vous pourriez rentrer adminadmin et mastermaster pour les deux password demandés..., ces fichiers se situent dans le dossier bin de glassfish) | glassfish

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                      asadmin create-domain --adminport 81 domain1 |                       => suggestions : ['']
39 Mot inconnu : asadmin =>                      asadmin create-domain --adminport 81 domain1 | asadmin
39 Mot inconnu : create-domain =>                      asadmin create-domain --adminport 81 domain1 | create-domain
39 Mot inconnu : adminport =>                      asadmin create-domain --adminport 81 domain1 | adminport
39 Si “domain1” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>                      asadmin create-domain --adminport 81 domain1 | 81 domain1 => suggestions : ['81\xa0domain1']
39 Mot inconnu : domain1 =>                      asadmin create-domain --adminport 81 domain1 | domain1

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                      asadmin start-domain domain1 |                       => suggestions : ['']
40 Mot inconnu : asadmin =>                      asadmin start-domain domain1 | asadmin
40 Mot inconnu : start-domain =>                      asadmin start-domain domain1 | start-domain
40 Mot inconnu : domain1 =>                      asadmin start-domain domain1 | domain1

45 Mot inconnu : name => name: admin | name

46 Mot inconnu : password => password: adminadmin | password
46 Mot inconnu : adminadmin => password: adminadmin | adminadmin

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                       /var/lib/glassfisfv2/domains/ |                        => suggestions : ['']

52 Mot inconnu : pass => les fichiers de configurations des pass admin ne sont pas dans les fichiers d'origine de glassfish téléchargeable via le gestionnaire de paquets Synaptic mais bien dans la version téléchargeable à | pass
52 Mot inconnu : glassfish => les fichiers de configurations des pass admin ne sont pas dans les fichiers d'origine de glassfish téléchargeable via le gestionnaire de paquets Synaptic mais bien dans la version téléchargeable à | glassfish
52 Mot inconnu : Synaptic => les fichiers de configurations des pass admin ne sont pas dans les fichiers d'origine de glassfish téléchargeable via le gestionnaire de paquets Synaptic mais bien dans la version téléchargeable à | synaptic

54 Espace(s) en fin de ligne à supprimer. => [[https://glassfish.dev.java.net/public/downloadsindex.html]]  |   => suggestions : ['']

56 Espace(s) en fin de ligne à supprimer. => à savoir le  |   => suggestions : ['']

58 Mot inconnu : glassfish-installer-v2-b30-linux => glassfish-installer-v2-b30-linux.jar | glassfish-installer-v2-b30-linux
58 Il manque un espace. => glassfish-installer-v2-b30-linux.jar | jar => suggestions : [' jar']

60 Mot inconnu : ant => rien ne vous empêche si vous voulez les installer de les glisser dans /usr/share/glassfishv2 puis d'utiliser la commande ant dans le dossier glassfish: | ant
60 Mot inconnu : glassfish => rien ne vous empêche si vous voulez les installer de les glisser dans /usr/share/glassfishv2 puis d'utiliser la commande ant dans le dossier glassfish: | glassfish

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                  ant -f setup.xml |                   => suggestions : ['']
61 Mot inconnu : ant =>                  ant -f setup.xml | ant
61 Il manque un espace à côté du tiret. =>                  ant -f setup.xml |  - => suggestions : [' – ', ' — ']
61 Mot inconnu : setup =>                  ant -f setup.xml | setup
61 Mot inconnu : xml =>                  ant -f setup.xml | xml
62 Il manque un espace. => encore que ce fichier à l'air configurés pour windows il faudrait donc transformer toutes les %variables% en $variables, il y a un travail de fond à faire ici pour que cela fonctionne... | variables => suggestions : [' variables']
62 Typographie : points de suspension. Utilisez le caractère dédié. => encore que ce fichier à l'air configurés pour windows il faudrait donc transformer toutes les %variables% en $variables, il y a un travail de fond à faire ici pour que cela fonctionne... | ... => suggestions : ['…']

65 Typographie : points de suspension. Utilisez le caractère dédié. => c'est maintenant à vous de jouer, bonne chance... | ... => suggestions : ['…']

74 Mot inconnu : PSS => PSS: pour les audacieux voici un lien ou vous trouverez le très célèbre "Yaps Pet Store", à savoir la demo Sun de service web à installer en local et qui permet de se rendre compte de la qualité des service web développé avec la plate-forme web java (noyau JDK + serveur GlassFish), il semble indispensable de maîtriser ces outils pour développer du service web de qualité en java. | pss
74 Guillemets typographiques ouvrants. => PSS: pour les audacieux voici un lien ou vous trouverez le très célèbre "Yaps Pet Store", à savoir la demo Sun de service web à installer en local et qui permet de se rendre compte de la qualité des service web développé avec la plate-forme web java (noyau JDK + serveur GlassFish), il semble indispensable de maîtriser ces outils pour développer du service web de qualité en java. | " => suggestions : ['«\xa0', '“']
74 Mot inconnu : Yaps => PSS: pour les audacieux voici un lien ou vous trouverez le très célèbre "Yaps Pet Store", à savoir la demo Sun de service web à installer en local et qui permet de se rendre compte de la qualité des service web développé avec la plate-forme web java (noyau JDK + serveur GlassFish), il semble indispensable de maîtriser ces outils pour développer du service web de qualité en java. | yaps
74 Guillemets typographiques fermants. => PSS: pour les audacieux voici un lien ou vous trouverez le très célèbre "Yaps Pet Store", à savoir la demo Sun de service web à installer en local et qui permet de se rendre compte de la qualité des service web développé avec la plate-forme web java (noyau JDK + serveur GlassFish), il semble indispensable de maîtriser ces outils pour développer du service web de qualité en java. | " => suggestions : ['\xa0»', '”']
74 Mot inconnu : demo => PSS: pour les audacieux voici un lien ou vous trouverez le très célèbre "Yaps Pet Store", à savoir la demo Sun de service web à installer en local et qui permet de se rendre compte de la qualité des service web développé avec la plate-forme web java (noyau JDK + serveur GlassFish), il semble indispensable de maîtriser ces outils pour développer du service web de qualité en java. | demo
74 Mot inconnu : Sun => PSS: pour les audacieux voici un lien ou vous trouverez le très célèbre "Yaps Pet Store", à savoir la demo Sun de service web à installer en local et qui permet de se rendre compte de la qualité des service web développé avec la plate-forme web java (noyau JDK + serveur GlassFish), il semble indispensable de maîtriser ces outils pour développer du service web de qualité en java. | sun
74 Accord de nombre erroné : « service » devrait être au pluriel. => PSS: pour les audacieux voici un lien ou vous trouverez le très célèbre "Yaps Pet Store", à savoir la demo Sun de service web à installer en local et qui permet de se rendre compte de la qualité des service web développé avec la plate-forme web java (noyau JDK + serveur GlassFish), il semble indispensable de maîtriser ces outils pour développer du service web de qualité en java. | service => suggestions : ['services']
74 Mot inconnu : JDK => PSS: pour les audacieux voici un lien ou vous trouverez le très célèbre "Yaps Pet Store", à savoir la demo Sun de service web à installer en local et qui permet de se rendre compte de la qualité des service web développé avec la plate-forme web java (noyau JDK + serveur GlassFish), il semble indispensable de maîtriser ces outils pour développer du service web de qualité en java. | jdk
74 Mot inconnu : GlassFish => PSS: pour les audacieux voici un lien ou vous trouverez le très célèbre "Yaps Pet Store", à savoir la demo Sun de service web à installer en local et qui permet de se rendre compte de la qualité des service web développé avec la plate-forme web java (noyau JDK + serveur GlassFish), il semble indispensable de maîtriser ces outils pour développer du service web de qualité en java. | glassfish

80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.misterpatate.fr/blog/tutoriels-openlaszlo/installation/station-de-developpement/station-de-developpement-sous-linux/]] |    => suggestions : ['']

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.artiflo.net/2009/07/installation-dun-serveur-ubuntu-9-04-64bits-virtualise-via-virtualbox-pour-le-developpement-dapplications-java-flex/]] |    => suggestions : ['']

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://darq.weboder.com/entry/2010/feb/02/java-ee-install-glassfish-v3-ubuntu-8043-lts/]] |    => suggestions : ['']
