
5 Mot inconnu : Conky => ====== Conky : Scripts Divers ====== | conky
151 Mot inconnu : conky => À l'endroit désiré de votre conky placer le code suivant : | conky

157 Mot inconnu : bash => === Script bash (dans le dossier .conky de votre home) === | bash
157 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => === Script bash (dans le dossier .conky de votre home) === |  . => suggestions : ['. ', '.']
157 Mot inconnu : conky => === Script bash (dans le dossier .conky de votre home) === | conky

158 Mot inconnu : bash => Dans le script bash remplacez 5.5 (correspondant à la variable db) par la valeur maximale en Gio disponible sur Dropbox | bash
158 Mot inconnu : db => Dans le script bash remplacez 5.5 (correspondant à la variable db) par la valeur maximale en Gio disponible sur Dropbox | db
158 Mot inconnu : Dropbox => Dans le script bash remplacez 5.5 (correspondant à la variable db) par la valeur maximale en Gio disponible sur Dropbox | dropbox
172 Il manque un espace. => //Contributeur : [[utilisateurs:mcpeter|McPeter]], [[utilisateurs:ljere|ljere]], [[utilisateurs:wanoo|Wanoo]], [[utilisateurs:eauland|EauLand]], [[utilisateurs:pierrro|Pierrro]] | mcpeter => suggestions : [' mcpeter']
172 Il manque un espace. => //Contributeur : [[utilisateurs:mcpeter|McPeter]], [[utilisateurs:ljere|ljere]], [[utilisateurs:wanoo|Wanoo]], [[utilisateurs:eauland|EauLand]], [[utilisateurs:pierrro|Pierrro]] | ljere => suggestions : [' ljere']
172 Il manque un espace. => //Contributeur : [[utilisateurs:mcpeter|McPeter]], [[utilisateurs:ljere|ljere]], [[utilisateurs:wanoo|Wanoo]], [[utilisateurs:eauland|EauLand]], [[utilisateurs:pierrro|Pierrro]] | wanoo => suggestions : [' wanoo']
172 Il manque un espace. => //Contributeur : [[utilisateurs:mcpeter|McPeter]], [[utilisateurs:ljere|ljere]], [[utilisateurs:wanoo|Wanoo]], [[utilisateurs:eauland|EauLand]], [[utilisateurs:pierrro|Pierrro]] | eauland => suggestions : [' eauland']
172 Il manque un espace. => //Contributeur : [[utilisateurs:mcpeter|McPeter]], [[utilisateurs:ljere|ljere]], [[utilisateurs:wanoo|Wanoo]], [[utilisateurs:eauland|EauLand]], [[utilisateurs:pierrro|Pierrro]] | pierrro => suggestions : [' pierrro']
