
4 Mot inconnu : OpenLDAP => ====== Un serveur d'annuaire avec OpenLDAP ====== | openldap
121 Formatage des grands nombres. => shadowLastChange: 10877 | 10877 => suggestions : ['10\xa0877']

123 Mot inconnu : postalCode => postalCode: 31000 | postalcode
123 Formatage des grands nombres. => postalCode: 31000 | 31000 => suggestions : ['31\xa0000']
125 Mot inconnu : Example => o: Example | example
126 Il manque un espace après la parenthèse. => mobile: +33 (0)6 xx xx xx xx | ) => suggestions : [') ']
126 Mot inconnu : xx => mobile: +33 (0)6 xx xx xx xx | xx
126 Doublon. => mobile: +33 (0)6 xx xx xx xx | xx xx => suggestions : ['xx']
126 Mot inconnu : xx => mobile: +33 (0)6 xx xx xx xx | xx
126 Mot inconnu : xx => mobile: +33 (0)6 xx xx xx xx | xx
126 Doublon. => mobile: +33 (0)6 xx xx xx xx | xx xx => suggestions : ['xx']
126 Mot inconnu : xx => mobile: +33 (0)6 xx xx xx xx | xx

127 Mot inconnu : homePhone => homePhone: +33 (0)5 xx xx xx xx | homephone
127 Il manque un espace après la parenthèse. => homePhone: +33 (0)5 xx xx xx xx | ) => suggestions : [') ']
127 Mot inconnu : xx => homePhone: +33 (0)5 xx xx xx xx | xx
127 Doublon. => homePhone: +33 (0)5 xx xx xx xx | xx xx => suggestions : ['xx']
127 Mot inconnu : xx => homePhone: +33 (0)5 xx xx xx xx | xx
127 Mot inconnu : xx => homePhone: +33 (0)5 xx xx xx xx | xx
127 Doublon. => homePhone: +33 (0)5 xx xx xx xx | xx xx => suggestions : ['xx']
127 Mot inconnu : xx => homePhone: +33 (0)5 xx xx xx xx | xx

128 Mot inconnu : title => title: System Administrator | title
128 Mot inconnu : System => title: System Administrator | system
128 Mot inconnu : Administrator => title: System Administrator | administrator

129 Mot inconnu : postalAddress => postalAddress:  | postaladdress
129 Espace(s) en fin de ligne à supprimer. => postalAddress:  |   => suggestions : ['']

130 Mot inconnu : initials => initials: LP | initials
130 Mot inconnu : LP => initials: LP | lp

132 Mot inconnu : dn => dn: cn=example,ou=groups,dc=example,dc=com | dn
132 Mot inconnu : cn => dn: cn=example,ou=groups,dc=example,dc=com | cn
132 Mot inconnu : example => dn: cn=example,ou=groups,dc=example,dc=com | example
132 Il manque un espace. => dn: cn=example,ou=groups,dc=example,dc=com | ou => suggestions : [' ou']
132 Mot inconnu : groups => dn: cn=example,ou=groups,dc=example,dc=com | groups
132 Il manque un espace. => dn: cn=example,ou=groups,dc=example,dc=com | dc => suggestions : [' dc']
132 Mot inconnu : dc => dn: cn=example,ou=groups,dc=example,dc=com | dc
132 Mot inconnu : example => dn: cn=example,ou=groups,dc=example,dc=com | example
132 Il manque un espace. => dn: cn=example,ou=groups,dc=example,dc=com | dc => suggestions : [' dc']
132 Mot inconnu : dc => dn: cn=example,ou=groups,dc=example,dc=com | dc

133 Mot inconnu : objectClass => objectClass: posixGroup | objectclass
133 Mot inconnu : posixGroup => objectClass: posixGroup | posixgroup

134 Mot inconnu : cn => cn: example | cn
134 Mot inconnu : example => cn: example | example

135 Mot inconnu : gidNumber => gidNumber: 10000 | gidnumber
135 Formatage des grands nombres. => gidNumber: 10000 | 10000 => suggestions : ['10\xa0000', '1\xa00000']

136 Mot inconnu : displayName => displayName: Example group | displayname
136 Mot inconnu : Example => displayName: Example group | example
136 Mot inconnu : group => displayName: Example group | group

139 Guillemets typographiques ouvrants. => Dans l'exemple ci-dessus, la structure de l'annuaire, c'est-à-dire un utilisateur et un groupe ont été créés. Dans d'autres exemples vous auriez pu voir le paramètre "objectClass: top" ajouté dans plusieurs entrées, mais c'est le comportement par défaut donc pas besoin de le mettre :) | " => suggestions : ['«\xa0', '“']
139 Mot inconnu : objectClass => Dans l'exemple ci-dessus, la structure de l'annuaire, c'est-à-dire un utilisateur et un groupe ont été créés. Dans d'autres exemples vous auriez pu voir le paramètre "objectClass: top" ajouté dans plusieurs entrées, mais c'est le comportement par défaut donc pas besoin de le mettre :) | objectclass
139 Guillemets typographiques fermants. => Dans l'exemple ci-dessus, la structure de l'annuaire, c'est-à-dire un utilisateur et un groupe ont été créés. Dans d'autres exemples vous auriez pu voir le paramètre "objectClass: top" ajouté dans plusieurs entrées, mais c'est le comportement par défaut donc pas besoin de le mettre :) | " => suggestions : ['\xa0»', '”']

141 Mot inconnu : LDAP => Maintenant ajoutez vos entrées à LDAP : | ldap

142 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Arrêtez le daemon :  |    => suggestions : ['']
142 Mot inconnu : daemon =>   * Arrêtez le daemon :  | daemon
142 Espace(s) en fin de ligne à supprimer. =>   * Arrêtez le daemon :  |   => suggestions : ['']

147 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Supprimer ce qui a été ajouté automatiquement à l'installation : |    => suggestions : ['']
156 Espace(s) en fin de ligne à supprimer. => <note tip>Si vous rencontrez le message type :  |   => suggestions : ['']
161 Espace(s) en fin de ligne à supprimer. => Il faut commenter la ligne 46 comme ceci :  |   => suggestions : ['']

176 Mot inconnu : ldap => N'oublions pas de relancer ldap : | ldap

181 Guillemets typographiques ouvrants. => Nous allons pouvoir vérifier que les données ont été correctement ajoutées avec les outils du paquet ''ldap-utils''. Pour effectuer une recherche dans les annuaires LDAP il vous suffit de faire : | '' => suggestions : ['«\xa0', '“']
181 Mot inconnu : ldap-utils => Nous allons pouvoir vérifier que les données ont été correctement ajoutées avec les outils du paquet ''ldap-utils''. Pour effectuer une recherche dans les annuaires LDAP il vous suffit de faire : | ldap-utils
181 Guillemets typographiques fermants. => Nous allons pouvoir vérifier que les données ont été correctement ajoutées avec les outils du paquet ''ldap-utils''. Pour effectuer une recherche dans les annuaires LDAP il vous suffit de faire : | '' => suggestions : ['\xa0»', '”']
181 Mot inconnu : LDAP => Nous allons pouvoir vérifier que les données ont été correctement ajoutées avec les outils du paquet ''ldap-utils''. Pour effectuer une recherche dans les annuaires LDAP il vous suffit de faire : | ldap

192 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * -x désactive l'authentification SASL |    => suggestions : ['']
192 Mot inconnu : SASL =>   * -x désactive l'authentification SASL | sasl

193 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * -LLL empêche l'affichage des informations LDIF  |    => suggestions : ['']
193 Mot inconnu : LLL =>   * -LLL empêche l'affichage des informations LDIF  | lll
193 Mot inconnu : LDIF =>   * -LLL empêche l'affichage des informations LDIF  | ldif
193 Espace(s) en fin de ligne à supprimer. =>   * -LLL empêche l'affichage des informations LDIF  |   => suggestions : ['']

194 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * -b indique la branche utilisée |    => suggestions : ['']

196 Élision de l’article devant un mot commençant par une voyelle. => NE PAS OUBLIER d'ajouter le user qui doit administrer le service ldap au group openldap à créer lors de l'installation du paquet ou bien de donner les bons droits sur les fichiers /etc/ldap/ldap.conf et /var/lib/ldap/* | le  => suggestions : ['l’']
196 Mot inconnu : ldap => NE PAS OUBLIER d'ajouter le user qui doit administrer le service ldap au group openldap à créer lors de l'installation du paquet ou bien de donner les bons droits sur les fichiers /etc/ldap/ldap.conf et /var/lib/ldap/* | ldap
196 Mot inconnu : group => NE PAS OUBLIER d'ajouter le user qui doit administrer le service ldap au group openldap à créer lors de l'installation du paquet ou bien de donner les bons droits sur les fichiers /etc/ldap/ldap.conf et /var/lib/ldap/* | group
196 Mot inconnu : openldap => NE PAS OUBLIER d'ajouter le user qui doit administrer le service ldap au group openldap à créer lors de l'installation du paquet ou bien de donner les bons droits sur les fichiers /etc/ldap/ldap.conf et /var/lib/ldap/* | openldap

198 Mot inconnu : csv => ==== Convertir un csv en ldif ==== | csv
198 Mot inconnu : ldif => ==== Convertir un csv en ldif ==== | ldif

199 Il manque un trait d’union. => Ci dessous un script bash convertissant un csv en ldif. Il faut évidemment le personnaliser selon vos besoins. | ci dessous => suggestions : ['Ci-dessous']
199 Mot inconnu : bash => Ci dessous un script bash convertissant un csv en ldif. Il faut évidemment le personnaliser selon vos besoins. | bash
199 Mot inconnu : csv => Ci dessous un script bash convertissant un csv en ldif. Il faut évidemment le personnaliser selon vos besoins. | csv
199 Mot inconnu : ldif => Ci dessous un script bash convertissant un csv en ldif. Il faut évidemment le personnaliser selon vos besoins. | ldif
200 Mot inconnu : uid => Il lui manque de: supprimer les doublons, les valeurs nulles, les têtes de colonne ainsi que les espaces et caractères spéciaux dans l'uid. | uid

252 Mot inconnu : LDAP => ===== Utiliser votre serveur LDAP ===== | ldap

255 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Authentifier vos utilisateurs dans l'annuaire comme expliqué dans la documentation [[https://help.ubuntu.com/community/LDAPClientAuthentication|LDAPClientAuthentication]] |    => suggestions : ['']

256 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Authentifier vos utilisateurs via une applications web |    => suggestions : ['']
256 Accord de nombre erroné : « applications » devrait être au singulier. =>   * Authentifier vos utilisateurs via une applications web | applications => suggestions : ['application']

257 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Utiliser l'annuaire comme une base de données pour votre client mail |    => suggestions : ['']

258 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Et bien plus encore !!! |    => suggestions : ['']

262 Mot inconnu : phpLDAPadmin => === phpLDAPadmin === | phpldapadmin

266 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avoir un serveur WEB installé, voir [[LAMP]]. |    => suggestions : ['']
266 Mot inconnu : LAMP =>   * Avoir un serveur WEB installé, voir [[LAMP]]. | lamp

267 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * La version 12.04 LTS d'Ubuntu. (La 13.10 étant incompatible avec phpLDAPadmin : https://bugs.launchpad.net/ubuntu/+source/phpldapadmin/+bug/1246170) |    => suggestions : ['']
267 Mot inconnu : LTS =>   * La version 12.04 LTS d'Ubuntu. (La 13.10 étant incompatible avec phpLDAPadmin : https://bugs.launchpad.net/ubuntu/+source/phpldapadmin/+bug/1246170) | lts
267 Mot inconnu : phpLDAPadmin =>   * La version 12.04 LTS d'Ubuntu. (La 13.10 étant incompatible avec phpLDAPadmin : https://bugs.launchpad.net/ubuntu/+source/phpldapadmin/+bug/1246170) | phpldapadmin
275 Guillemets typographiques ouvrants. => Attention, le login est : "cn=admin,dc=example,dc=com". | " => suggestions : ['«\xa0', '“']
275 Mot inconnu : cn => Attention, le login est : "cn=admin,dc=example,dc=com". | cn
275 Il manque un espace. => Attention, le login est : "cn=admin,dc=example,dc=com". | dc => suggestions : [' dc']
275 Mot inconnu : dc => Attention, le login est : "cn=admin,dc=example,dc=com". | dc
275 Mot inconnu : example => Attention, le login est : "cn=admin,dc=example,dc=com". | example
275 Il manque un espace. => Attention, le login est : "cn=admin,dc=example,dc=com". | dc => suggestions : [' dc']
275 Mot inconnu : dc => Attention, le login est : "cn=admin,dc=example,dc=com". | dc
275 Guillemets typographiques fermants. => Attention, le login est : "cn=admin,dc=example,dc=com". | " => suggestions : ['\xa0»', '”']
277 Mot inconnu : Memory => == Problème : Memory Limit low == | memory
277 Mot inconnu : Limit => == Problème : Memory Limit low == | limit

279 Mot inconnu : phpldapadmin => Si lorsque vous allez sur l'interface web de phpldapadmin, vous avez cette erreur :  | phpldapadmin
279 Espace(s) en fin de ligne à supprimer. => Si lorsque vous allez sur l'interface web de phpldapadmin, vous avez cette erreur :  |   => suggestions : ['']

281 Mot inconnu : Memory => Memory Limit low. | memory
281 Mot inconnu : Limit => Memory Limit low. | limit

282 Mot inconnu : Your => Your php memory limit is low - currently 16M | your
282 Mot inconnu : php => Your php memory limit is low - currently 16M | php
282 Mot inconnu : memory => Your php memory limit is low - currently 16M | memory
282 Mot inconnu : limit => Your php memory limit is low - currently 16M | limit
282 Mot inconnu : is => Your php memory limit is low - currently 16M | is
282 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Your php memory limit is low - currently 16M |  -  => suggestions : [' – ', ' — ', ' − ']
282 Mot inconnu : currently => Your php memory limit is low - currently 16M | currently

284 Accord de nombre erroné : « fichiers » est au pluriel. => Éditer en admin le fichiers php.ini : | le => suggestions : ['les']
284 Accord de nombre erroné : « fichiers » devrait être au singulier. => Éditer en admin le fichiers php.ini : | fichiers => suggestions : ['fichier']
284 Mot inconnu : php => Éditer en admin le fichiers php.ini : | php
284 Mot inconnu : ini => Éditer en admin le fichiers php.ini : | ini

