
5 Mot inconnu : ZSH => ====== ZSH ====== | zsh
33 Guillemets typographiques ouvrants. => Cocher "Exécuter une commande personnalisée de mon shell" dans l'onglet "Titre et Commande". Mettre zsh comme commande personnalisée. | " => suggestions : ['«\xa0', '“']
33 Guillemets typographiques fermants. => Cocher "Exécuter une commande personnalisée de mon shell" dans l'onglet "Titre et Commande". Mettre zsh comme commande personnalisée. | " => suggestions : ['\xa0»', '”']
33 Guillemets typographiques ouvrants. => Cocher "Exécuter une commande personnalisée de mon shell" dans l'onglet "Titre et Commande". Mettre zsh comme commande personnalisée. | " => suggestions : ['«\xa0', '“']
33 Guillemets typographiques fermants. => Cocher "Exécuter une commande personnalisée de mon shell" dans l'onglet "Titre et Commande". Mettre zsh comme commande personnalisée. | " => suggestions : ['\xa0»', '”']
33 Mot inconnu : zsh => Cocher "Exécuter une commande personnalisée de mon shell" dans l'onglet "Titre et Commande". Mettre zsh comme commande personnalisée. | zsh

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /etc/zsh/zshrc  ## Ce fichier s'applique à tous les utilisateurs du système |    => suggestions : ['']
38 Espace(s) surnuméraire(s) à supprimer. =>   /etc/zsh/zshrc  ## Ce fichier s'applique à tous les utilisateurs du système |    => suggestions : [' ']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ~/.zshrc ## Ce fichier s'applique à un utilisateur du système (~ veut dire /home/utilisateur) |    => suggestions : ['']
39 Mot inconnu : zshrc =>   ~/.zshrc ## Ce fichier s'applique à un utilisateur du système (~ veut dire /home/utilisateur) | zshrc

42 Guillemets typographiques ouvrants. => Pour toutes les modifications que vous ferez dans les fichiers de configuration, il faut lancer la commande "source" sur les fichiers que vous avez modifiés pour que ça prenne effet, par exemple : | " => suggestions : ['«\xa0', '“']
42 Guillemets typographiques fermants. => Pour toutes les modifications que vous ferez dans les fichiers de configuration, il faut lancer la commande "source" sur les fichiers que vous avez modifiés pour que ça prenne effet, par exemple : | " => suggestions : ['\xa0»', '”']

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   source ~/.zshrc |    => suggestions : ['']
43 Mot inconnu : zshrc =>   source ~/.zshrc | zshrc

47 Espace(s) en fin de ligne à supprimer. => Pour les feignants, il y a un fichier de configuration tout prêt en fin de page. LOL  |   => suggestions : ['']

50 Mot inconnu : Zsh => La complétion sous Zsh est très avancée. Par défaut, vous avez par exemple : | zsh

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Complétion sur les pages de manuel |    => suggestions : ['']

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ... et bien d'autres |    => suggestions : ['']
60 Typographie : points de suspension. Utilisez le caractère dédié. =>   * ... et bien d'autres | ... => suggestions : ['…']

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   autoload -U compinit |    => suggestions : ['']
65 Mot inconnu : autoload =>   autoload -U compinit | autoload
65 Il manque un espace à côté du tiret. =>   autoload -U compinit |  - => suggestions : [' – ', ' — ']
65 Mot inconnu : compinit =>   autoload -U compinit | compinit

66 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   compinit |    => suggestions : ['']
66 Mot inconnu : compinit =>   compinit | compinit

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   zstyle ':completion:*:descriptions' format '%U%B%d%b%u' |    => suggestions : ['']
70 Mot inconnu : zstyle =>   zstyle ':completion:*:descriptions' format '%U%B%d%b%u' | zstyle
70 Mot inconnu : completion =>   zstyle ':completion:*:descriptions' format '%U%B%d%b%u' | completion
70 Guillemets typographiques fermants. =>   zstyle ':completion:*:descriptions' format '%U%B%d%b%u' | ' => suggestions : ['”', '’', '›']
70 Il manque un espace. =>   zstyle ':completion:*:descriptions' format '%U%B%d%b%u' | u => suggestions : [' U']
70 Il manque un espace. =>   zstyle ':completion:*:descriptions' format '%U%B%d%b%u' | b => suggestions : [' B']
70 Il manque un espace. =>   zstyle ':completion:*:descriptions' format '%U%B%d%b%u' | d => suggestions : [' d']
70 Il manque un espace. =>   zstyle ':completion:*:descriptions' format '%U%B%d%b%u' | b => suggestions : [' b']
70 Il manque un espace. =>   zstyle ':completion:*:descriptions' format '%U%B%d%b%u' | u => suggestions : [' u']
70 Guillemets typographiques fermants. =>   zstyle ':completion:*:descriptions' format '%U%B%d%b%u' | ' => suggestions : ['”', '’', '›']

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   zstyle ':completion:*:warnings' format '%BDésolé, pas de résultats pour : %d%b' |    => suggestions : ['']
71 Mot inconnu : zstyle =>   zstyle ':completion:*:warnings' format '%BDésolé, pas de résultats pour : %d%b' | zstyle
71 Mot inconnu : completion =>   zstyle ':completion:*:warnings' format '%BDésolé, pas de résultats pour : %d%b' | completion
71 Guillemets typographiques fermants. =>   zstyle ':completion:*:warnings' format '%BDésolé, pas de résultats pour : %d%b' | ' => suggestions : ['”', '’', '›']
71 Il manque un espace. =>   zstyle ':completion:*:warnings' format '%BDésolé, pas de résultats pour : %d%b' | bdésolé => suggestions : [' BDésolé']
71 Mot inconnu : BDésolé =>   zstyle ':completion:*:warnings' format '%BDésolé, pas de résultats pour : %d%b' | bdésolé
71 Il manque un espace. =>   zstyle ':completion:*:warnings' format '%BDésolé, pas de résultats pour : %d%b' | d => suggestions : [' d']
71 Il manque un espace. =>   zstyle ':completion:*:warnings' format '%BDésolé, pas de résultats pour : %d%b' | b => suggestions : [' b']
71 Guillemets typographiques fermants. =>   zstyle ':completion:*:warnings' format '%BDésolé, pas de résultats pour : %d%b' | ' => suggestions : ['”', '’', '›']

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   zstyle ':completion:*' menu select=2 |    => suggestions : ['']
72 Mot inconnu : zstyle =>   zstyle ':completion:*' menu select=2 | zstyle
72 Mot inconnu : completion =>   zstyle ':completion:*' menu select=2 | completion

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   zstyle ':completion:*' select-prompt %SScrolling active: current selection at %p%s |    => suggestions : ['']
73 Mot inconnu : zstyle =>   zstyle ':completion:*' select-prompt %SScrolling active: current selection at %p%s | zstyle
73 Mot inconnu : completion =>   zstyle ':completion:*' select-prompt %SScrolling active: current selection at %p%s | completion
73 Il manque un espace. =>   zstyle ':completion:*' select-prompt %SScrolling active: current selection at %p%s | sscrolling => suggestions : [' SScrolling']
73 Mot inconnu : SScrolling =>   zstyle ':completion:*' select-prompt %SScrolling active: current selection at %p%s | sscrolling
73 Mot inconnu : current =>   zstyle ':completion:*' select-prompt %SScrolling active: current selection at %p%s | current
73 Mot inconnu : selection =>   zstyle ':completion:*' select-prompt %SScrolling active: current selection at %p%s | selection
73 Mot inconnu : at =>   zstyle ':completion:*' select-prompt %SScrolling active: current selection at %p%s | at
73 Il manque un espace. =>   zstyle ':completion:*' select-prompt %SScrolling active: current selection at %p%s | p => suggestions : [' p']
73 Il manque un espace. =>   zstyle ':completion:*' select-prompt %SScrolling active: current selection at %p%s | s => suggestions : [' s']

75 Mot inconnu : cp => Pour éviter de proposer un élément déjà présent lors d'un cp, mv ou rm : | cp
75 Mot inconnu : mv => Pour éviter de proposer un élément déjà présent lors d'un cp, mv ou rm : | mv
75 Mot inconnu : rm => Pour éviter de proposer un élément déjà présent lors d'un cp, mv ou rm : | rm

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   zstyle ':completion:*:rm:*' ignore-line yes |    => suggestions : ['']
76 Mot inconnu : zstyle =>   zstyle ':completion:*:rm:*' ignore-line yes | zstyle
76 Mot inconnu : completion =>   zstyle ':completion:*:rm:*' ignore-line yes | completion
76 Mot inconnu : rm =>   zstyle ':completion:*:rm:*' ignore-line yes | rm
76 Mot inconnu : ignore-line =>   zstyle ':completion:*:rm:*' ignore-line yes | ignore-line
76 Mot inconnu : yes =>   zstyle ':completion:*:rm:*' ignore-line yes | yes

77 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   zstyle ':completion:*:mv:*' ignore-line yes |    => suggestions : ['']
77 Mot inconnu : zstyle =>   zstyle ':completion:*:mv:*' ignore-line yes | zstyle
77 Mot inconnu : completion =>   zstyle ':completion:*:mv:*' ignore-line yes | completion
77 Mot inconnu : mv =>   zstyle ':completion:*:mv:*' ignore-line yes | mv
77 Mot inconnu : ignore-line =>   zstyle ':completion:*:mv:*' ignore-line yes | ignore-line
77 Mot inconnu : yes =>   zstyle ':completion:*:mv:*' ignore-line yes | yes

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   zstyle ':completion:*:cp:*' ignore-line yes |    => suggestions : ['']
78 Mot inconnu : zstyle =>   zstyle ':completion:*:cp:*' ignore-line yes | zstyle
78 Mot inconnu : completion =>   zstyle ':completion:*:cp:*' ignore-line yes | completion
78 Mot inconnu : cp =>   zstyle ':completion:*:cp:*' ignore-line yes | cp
78 Mot inconnu : ignore-line =>   zstyle ':completion:*:cp:*' ignore-line yes | ignore-line
78 Mot inconnu : yes =>   zstyle ':completion:*:cp:*' ignore-line yes | yes

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   zstyle ':completion:*:sudo:*' command-path /usr/local/sbin /usr/local/bin \ |    => suggestions : ['']
81 Mot inconnu : zstyle =>   zstyle ':completion:*:sudo:*' command-path /usr/local/sbin /usr/local/bin \ | zstyle
81 Mot inconnu : completion =>   zstyle ':completion:*:sudo:*' command-path /usr/local/sbin /usr/local/bin \ | completion
81 Mot inconnu : sudo =>   zstyle ':completion:*:sudo:*' command-path /usr/local/sbin /usr/local/bin \ | sudo
81 Mot inconnu : command-path =>   zstyle ':completion:*:sudo:*' command-path /usr/local/sbin /usr/local/bin \ | command-path

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                              /usr/sbin /usr/bin /sbin /bin /usr/X11R6/bin |                               => suggestions : ['']

85 Mot inconnu : Zsh => Zsh supporte aussi les fonctions de complétion de bash, pour les utiliser : | zsh
85 Mot inconnu : bash => Zsh supporte aussi les fonctions de complétion de bash, pour les utiliser : | bash

86 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   autoload -U bashcompinit |    => suggestions : ['']
86 Mot inconnu : autoload =>   autoload -U bashcompinit | autoload
86 Il manque un espace à côté du tiret. =>   autoload -U bashcompinit |  - => suggestions : [' – ', ' — ']
86 Mot inconnu : bashcompinit =>   autoload -U bashcompinit | bashcompinit

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   bashcompinit |    => suggestions : ['']
87 Mot inconnu : bashcompinit =>   bashcompinit | bashcompinit

93 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   setopt correctall |    => suggestions : ['']
93 Mot inconnu : setopt =>   setopt correctall | setopt
93 Mot inconnu : correctall =>   setopt correctall | correctall

100 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   vous@machine ~/src % |    => suggestions : ['']
100 Mot inconnu : src =>   vous@machine ~/src % | src

102 Mot inconnu : PS1 => Ce prompt est contenu dans une (ou plusieurs) variables d'environnements. La plus utilisée est certainement $PS1 | ps1

104 Mot inconnu : Zsh => Zsh fournit des prompts prêt à l'emploi dans /usr/share/zsh/functions/Prompts. | zsh
104 Accord de nombre erroné avec « des prompts » : « prêt » devrait être au pluriel. => Zsh fournit des prompts prêt à l'emploi dans /usr/share/zsh/functions/Prompts. | prêt => suggestions : ['prêts']

106 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   autoload -U promptinit |    => suggestions : ['']
106 Mot inconnu : autoload =>   autoload -U promptinit | autoload
106 Il manque un espace à côté du tiret. =>   autoload -U promptinit |  - => suggestions : [' – ', ' — ']
106 Mot inconnu : promptinit =>   autoload -U promptinit | promptinit

107 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   promptinit |    => suggestions : ['']
107 Mot inconnu : promptinit =>   promptinit | promptinit

108 Mot inconnu : themes => Vous pouvez avoir une liste des themes comme ceci : | themes

109 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   prompt -l |    => suggestions : ['']
109 Il manque un espace à côté du tiret. =>   prompt -l |  - => suggestions : [' – ', ' — ']

111 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   prompt -p |    => suggestions : ['']
111 Il manque un espace à côté du tiret. =>   prompt -p |  - => suggestions : [' – ', ' — ']

114 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   prompt NOM_DU_THEME |    => suggestions : ['']
114 Mot inconnu : NOM_DU_THEME =>   prompt NOM_DU_THEME | nom_du_theme

116 Il manque un trait d’union. => Si vous voulez faire votre prompt vous mêmes, voyez cette page : [[https://wiki.archlinux.org/index.php/zsh|Arch Linux ZSH]] | vous mêmes => suggestions : ['vous-mêmes']
116 Mot inconnu : Arch => Si vous voulez faire votre prompt vous mêmes, voyez cette page : [[https://wiki.archlinux.org/index.php/zsh|Arch Linux ZSH]] | arch
116 Mot inconnu : ZSH => Si vous voulez faire votre prompt vous mêmes, voyez cette page : [[https://wiki.archlinux.org/index.php/zsh|Arch Linux ZSH]] | zsh

118 Mot inconnu : Globbing => ==== Globbing ==== | globbing

120 Mot inconnu : console_commandes_de_base => La fonctionnalité qui vous fera oublier [[tutoriel/console_commandes_de_base#find|find]] 8-) | console_commandes_de_base

126 Mot inconnu : ZLE => ==== ZLE ==== | zle

128 Mot inconnu : ZLE => ZLE désigne la zone dans laquelle vous tapez vos commandes. Vous pouvez utiliser les raccourcis claviers de vi ou d'emacs, au choix, et définir très facilement vos propres raccourcis.  | zle
128 Mot inconnu : vi => ZLE désigne la zone dans laquelle vous tapez vos commandes. Vous pouvez utiliser les raccourcis claviers de vi ou d'emacs, au choix, et définir très facilement vos propres raccourcis.  | vi
128 Mot inconnu : emacs => ZLE désigne la zone dans laquelle vous tapez vos commandes. Vous pouvez utiliser les raccourcis claviers de vi ou d'emacs, au choix, et définir très facilement vos propres raccourcis.  | emacs
128 Espace(s) en fin de ligne à supprimer. => ZLE désigne la zone dans laquelle vous tapez vos commandes. Vous pouvez utiliser les raccourcis claviers de vi ou d'emacs, au choix, et définir très facilement vos propres raccourcis.  |   => suggestions : ['']

131 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * <Echap>h va appeler la page de manuel du premier mot que vous êtes en train de taper |    => suggestions : ['']

132 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * <Echap>q va copier la ligne que vous étiez en train de taper en mémoire, pour vous laisser devant une ligne vide. Vous pouvez alors rentrer une nouvelle commande, lorsque celle-ci sera terminée, zsh vous affichera la ligne en mémoire. |    => suggestions : ['']
132 Mot inconnu : zsh =>   * <Echap>q va copier la ligne que vous étiez en train de taper en mémoire, pour vous laisser devant une ligne vide. Vous pouvez alors rentrer une nouvelle commande, lorsque celle-ci sera terminée, zsh vous affichera la ligne en mémoire. | zsh

137 Mot inconnu : ZSH => ZSH permet, comme bash, de définir des "alias", c'est à dire des commandes définies à partir d'autres commandes, par exemple : | zsh
137 Mot inconnu : bash => ZSH permet, comme bash, de définir des "alias", c'est à dire des commandes définies à partir d'autres commandes, par exemple : | bash
137 Guillemets typographiques ouvrants. => ZSH permet, comme bash, de définir des "alias", c'est à dire des commandes définies à partir d'autres commandes, par exemple : | " => suggestions : ['«\xa0', '“']
137 Guillemets typographiques fermants. => ZSH permet, comme bash, de définir des "alias", c'est à dire des commandes définies à partir d'autres commandes, par exemple : | " => suggestions : ['\xa0»', '”']
137 Il manque les traits d’union. => ZSH permet, comme bash, de définir des "alias", c'est à dire des commandes définies à partir d'autres commandes, par exemple : | c'est à dire => suggestions : ['c’est-à-dire']

139 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   alias la="ls -a" |    => suggestions : ['']
139 Guillemets typographiques ouvrants. =>   alias la="ls -a" | " => suggestions : ['«\xa0', '“']
139 Mot inconnu : ls =>   alias la="ls -a" | ls
139 Il manque un espace à côté du tiret. =>   alias la="ls -a" |  - => suggestions : [' – ', ' — ']
139 Guillemets typographiques fermants. =>   alias la="ls -a" | " => suggestions : ['\xa0»', '”']

141 Guillemets typographiques ouvrants. => Permet de définir une commande 'la' qui seras identique à 'ls -a' (liste les fichiers du répertoire passé en paramètre, en incluant les fichiers cachés). | ' => suggestions : ['“', '‘', '‹']
141 Guillemets typographiques fermants. => Permet de définir une commande 'la' qui seras identique à 'ls -a' (liste les fichiers du répertoire passé en paramètre, en incluant les fichiers cachés). | ' => suggestions : ['”', '’', '›']
141 Incohérence. Ceci est un verbe à la 2ᵉ personne du singulier. Sujet (“tu” ou “toi qui”) introuvable. => Permet de définir une commande 'la' qui seras identique à 'ls -a' (liste les fichiers du répertoire passé en paramètre, en incluant les fichiers cachés). | seras => suggestions : ['sera']
141 Guillemets typographiques ouvrants. => Permet de définir une commande 'la' qui seras identique à 'ls -a' (liste les fichiers du répertoire passé en paramètre, en incluant les fichiers cachés). | ' => suggestions : ['“', '‘', '‹']
141 Mot inconnu : ls => Permet de définir une commande 'la' qui seras identique à 'ls -a' (liste les fichiers du répertoire passé en paramètre, en incluant les fichiers cachés). | ls
141 Il manque un espace à côté du tiret. => Permet de définir une commande 'la' qui seras identique à 'ls -a' (liste les fichiers du répertoire passé en paramètre, en incluant les fichiers cachés). |  - => suggestions : [' – ', ' — ']
141 Guillemets typographiques fermants. => Permet de définir une commande 'la' qui seras identique à 'ls -a' (liste les fichiers du répertoire passé en paramètre, en incluant les fichiers cachés). | ' => suggestions : ['”', '’', '›']

143 Mot inconnu : zshrc => Pour pouvoir se servir en permanence de ces alias, il faut qu'ils soient inscrits dans le fichier ~/.zshrc. | zshrc

147 Mot inconnu : zsh => Mais zsh va plus loin en permettant des alias sur les suffixes. L'idée initiale vient du fait que pour certains types de fichiers nous exécutons toujours la même commande. Par exemple, un fichier PDF sera généralement lu avec votre lecteur PDF favori. Passons à la pratique afin d'être plus clair. | zsh

149 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   alias -s pdf="evince " |    => suggestions : ['']
149 Il manque un espace à côté du tiret. =>   alias -s pdf="evince " |  - => suggestions : [' – ', ' — ']
149 Guillemets typographiques ouvrants. =>   alias -s pdf="evince " | " => suggestions : ['«\xa0', '“']
149 Mot inconnu : evince =>   alias -s pdf="evince " | evince
149 Guillemets fermants. =>   alias -s pdf="evince " |  " => suggestions : ['\xa0»', '”']

154 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ./fichier.pdf |    => suggestions : ['']

156 Mot inconnu : evince => Cela va lancer evince pour ouvrir votre fichier PDF. | evince

161 Mot inconnu : Zsh => Zsh permet également de définir des alias "globaux" qui s’exécuteront quelle que soit leur position dans la ligne de commande, ainsi avec l'alias  | zsh
161 Guillemets typographiques ouvrants. => Zsh permet également de définir des alias "globaux" qui s’exécuteront quelle que soit leur position dans la ligne de commande, ainsi avec l'alias  | " => suggestions : ['«\xa0', '“']
161 Guillemets typographiques fermants. => Zsh permet également de définir des alias "globaux" qui s’exécuteront quelle que soit leur position dans la ligne de commande, ainsi avec l'alias  | " => suggestions : ['\xa0»', '”']
161 Espace(s) en fin de ligne à supprimer. => Zsh permet également de définir des alias "globaux" qui s’exécuteront quelle que soit leur position dans la ligne de commande, ainsi avec l'alias  |   => suggestions : ['']

165 Espace(s) en fin de ligne à supprimer. => la commande   |    => suggestions : ['']

166 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

169 Espace(s) en fin de ligne à supprimer. => remplacera  |   => suggestions : ['']

173 Mot inconnu : zshrc => ===== Un exemple de fichier zshrc ===== | zshrc

231 Mot inconnu : zsh => Pour ceux qui ne souhaitent pas se plonger dans les fichiers de configurations de zsh, mais qui souhaitent tout de même avoir une configuration agréable à utiliser, je vous propose la configuration suivante : | zsh

233 Mot inconnu : sudo => sudo cp /etc/zsh/dir_colors  /etc/</code> | sudo
233 Mot inconnu : cp => sudo cp /etc/zsh/dir_colors  /etc/</code> | cp
233 Espace(s) surnuméraire(s) à supprimer. => sudo cp /etc/zsh/dir_colors  /etc/</code> |    => suggestions : [' ']

238 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Les touches home, fin, ctrl+[aerl] et autres ne fonctionnent pas correctement, affichent des caractères bizarre : \\ peut-être en pensant bien faire, vous avez sélectionné, lors de la configuration initiale, les raccourcis type vi, et trouverez donc certainement dans votre ~/.zshrc la directive bindkey -v. Dans ce cas, essayez de remplacer cette directive par bindkey -e qui correspond aux raccourcis de type emacs et qui devraient restaurer le comportement attendu. |    => suggestions : ['']
238 Mot inconnu : ctrl =>   * Les touches home, fin, ctrl+[aerl] et autres ne fonctionnent pas correctement, affichent des caractères bizarre : \\ peut-être en pensant bien faire, vous avez sélectionné, lors de la configuration initiale, les raccourcis type vi, et trouverez donc certainement dans votre ~/.zshrc la directive bindkey -v. Dans ce cas, essayez de remplacer cette directive par bindkey -e qui correspond aux raccourcis de type emacs et qui devraient restaurer le comportement attendu. | ctrl
238 Mot inconnu : aerl =>   * Les touches home, fin, ctrl+[aerl] et autres ne fonctionnent pas correctement, affichent des caractères bizarre : \\ peut-être en pensant bien faire, vous avez sélectionné, lors de la configuration initiale, les raccourcis type vi, et trouverez donc certainement dans votre ~/.zshrc la directive bindkey -v. Dans ce cas, essayez de remplacer cette directive par bindkey -e qui correspond aux raccourcis de type emacs et qui devraient restaurer le comportement attendu. | aerl
238 Accord de nombre erroné avec « des caractères » : « bizarre » devrait être au pluriel. =>   * Les touches home, fin, ctrl+[aerl] et autres ne fonctionnent pas correctement, affichent des caractères bizarre : \\ peut-être en pensant bien faire, vous avez sélectionné, lors de la configuration initiale, les raccourcis type vi, et trouverez donc certainement dans votre ~/.zshrc la directive bindkey -v. Dans ce cas, essayez de remplacer cette directive par bindkey -e qui correspond aux raccourcis de type emacs et qui devraient restaurer le comportement attendu. | bizarre => suggestions : ['bizarres']
238 Accord avec “les raccourcis…” incorrect. Conjugaison erronée ou accord nom/adjectif incorrect. =>   * Les touches home, fin, ctrl+[aerl] et autres ne fonctionnent pas correctement, affichent des caractères bizarre : \\ peut-être en pensant bien faire, vous avez sélectionné, lors de la configuration initiale, les raccourcis type vi, et trouverez donc certainement dans votre ~/.zshrc la directive bindkey -v. Dans ce cas, essayez de remplacer cette directive par bindkey -e qui correspond aux raccourcis de type emacs et qui devraient restaurer le comportement attendu. | type => suggestions : ['types', 'typent']
238 Mot inconnu : vi =>   * Les touches home, fin, ctrl+[aerl] et autres ne fonctionnent pas correctement, affichent des caractères bizarre : \\ peut-être en pensant bien faire, vous avez sélectionné, lors de la configuration initiale, les raccourcis type vi, et trouverez donc certainement dans votre ~/.zshrc la directive bindkey -v. Dans ce cas, essayez de remplacer cette directive par bindkey -e qui correspond aux raccourcis de type emacs et qui devraient restaurer le comportement attendu. | vi
238 Mot inconnu : zshrc =>   * Les touches home, fin, ctrl+[aerl] et autres ne fonctionnent pas correctement, affichent des caractères bizarre : \\ peut-être en pensant bien faire, vous avez sélectionné, lors de la configuration initiale, les raccourcis type vi, et trouverez donc certainement dans votre ~/.zshrc la directive bindkey -v. Dans ce cas, essayez de remplacer cette directive par bindkey -e qui correspond aux raccourcis de type emacs et qui devraient restaurer le comportement attendu. | zshrc
