
5 Mot inconnu : KolourPaint => ====== KolourPaint ====== | kolourpaint
26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Faites un clic droit dans la zone des outils situés à gauche de l'image à modifier et vérifiez d'abord que vous avez bien sélectionné comme choix d'affichage : "icones" ou "icones et texte". |    => suggestions : ['']
26 Guillemets typographiques ouvrants. =>   * Faites un clic droit dans la zone des outils situés à gauche de l'image à modifier et vérifiez d'abord que vous avez bien sélectionné comme choix d'affichage : "icones" ou "icones et texte". | " => suggestions : ['«\xa0', '“']
26 Mot inconnu : icones =>   * Faites un clic droit dans la zone des outils situés à gauche de l'image à modifier et vérifiez d'abord que vous avez bien sélectionné comme choix d'affichage : "icones" ou "icones et texte". | icones
26 Guillemets typographiques fermants. =>   * Faites un clic droit dans la zone des outils situés à gauche de l'image à modifier et vérifiez d'abord que vous avez bien sélectionné comme choix d'affichage : "icones" ou "icones et texte". | " => suggestions : ['\xa0»', '”']
26 Guillemets typographiques ouvrants. =>   * Faites un clic droit dans la zone des outils situés à gauche de l'image à modifier et vérifiez d'abord que vous avez bien sélectionné comme choix d'affichage : "icones" ou "icones et texte". | " => suggestions : ['«\xa0', '“']
26 Mot inconnu : icones =>   * Faites un clic droit dans la zone des outils situés à gauche de l'image à modifier et vérifiez d'abord que vous avez bien sélectionné comme choix d'affichage : "icones" ou "icones et texte". | icones
26 Guillemets typographiques fermants. =>   * Faites un clic droit dans la zone des outils situés à gauche de l'image à modifier et vérifiez d'abord que vous avez bien sélectionné comme choix d'affichage : "icones" ou "icones et texte". | " => suggestions : ['\xa0»', '”']

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Depuis 2020, selon l'environnement et l'environnement choisi (hors kde), l'installation de Kolourpaint n'a plus le paquet d'icones qui vont bien 8-o.   Pour y remédier copiez-collez dans le terminal ce qui suit ==> |    => suggestions : ['']
28 Mot inconnu : kde =>   * Depuis 2020, selon l'environnement et l'environnement choisi (hors kde), l'installation de Kolourpaint n'a plus le paquet d'icones qui vont bien 8-o.   Pour y remédier copiez-collez dans le terminal ce qui suit ==> | kde
28 Mot inconnu : Kolourpaint =>   * Depuis 2020, selon l'environnement et l'environnement choisi (hors kde), l'installation de Kolourpaint n'a plus le paquet d'icones qui vont bien 8-o.   Pour y remédier copiez-collez dans le terminal ce qui suit ==> | kolourpaint
28 Mot inconnu : icones =>   * Depuis 2020, selon l'environnement et l'environnement choisi (hors kde), l'installation de Kolourpaint n'a plus le paquet d'icones qui vont bien 8-o.   Pour y remédier copiez-collez dans le terminal ce qui suit ==> | icones
28 Espace(s) surnuméraire(s) à supprimer. =>   * Depuis 2020, selon l'environnement et l'environnement choisi (hors kde), l'installation de Kolourpaint n'a plus le paquet d'icones qui vont bien 8-o.   Pour y remédier copiez-collez dans le terminal ce qui suit ==> |     => suggestions : [' ']

30 Mot inconnu : sudo => sudo apt-get update && sudo apt-get install breeze-icon-theme && sudo reboot | sudo
30 Mot inconnu : apt-get => sudo apt-get update && sudo apt-get install breeze-icon-theme && sudo reboot | apt-get
30 Mot inconnu : update => sudo apt-get update && sudo apt-get install breeze-icon-theme && sudo reboot | update
30 Mot inconnu : sudo => sudo apt-get update && sudo apt-get install breeze-icon-theme && sudo reboot | sudo
30 Mot inconnu : apt-get => sudo apt-get update && sudo apt-get install breeze-icon-theme && sudo reboot | apt-get
30 Mot inconnu : install => sudo apt-get update && sudo apt-get install breeze-icon-theme && sudo reboot | install
30 Mot inconnu : breeze-icon-theme => sudo apt-get update && sudo apt-get install breeze-icon-theme && sudo reboot | breeze-icon-theme
30 Mot inconnu : sudo => sudo apt-get update && sudo apt-get install breeze-icon-theme && sudo reboot | sudo
30 Mot inconnu : reboot => sudo apt-get update && sudo apt-get install breeze-icon-theme && sudo reboot | reboot

34 Mot inconnu : NB => NB je sais que certains puristes diront qu'il n'est pas nécessaire de rédémarrer cependant mon expérience terrain m'a montré que ce n'est pas toujours vrai mais toujours plus simple et moins dangereux (si l'on est distrait dans les commandes) que de relancer un service. | nb
34 Mot inconnu : rédémarrer => NB je sais que certains puristes diront qu'il n'est pas nécessaire de rédémarrer cependant mon expérience terrain m'a montré que ce n'est pas toujours vrai mais toujours plus simple et moins dangereux (si l'on est distrait dans les commandes) que de relancer un service. | rédémarrer

39 Espace(s) surnuméraire(s) à supprimer. => ===== Voir aussi  ===== |    => suggestions : [' ']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *[[https://kde.org/applications/graphics/org.kde.kolourpaint|Site officiel (en)]] |    => suggestions : ['']
45 Il manque un espace. => //Contributeurs : [[utilisateurs:YannUbuntu]], [[utilisateurs:Phendrax]]// | yannubuntu => suggestions : [' YannUbuntu']
45 Il manque un espace. => //Contributeurs : [[utilisateurs:YannUbuntu]], [[utilisateurs:Phendrax]]// | phendrax => suggestions : [' Phendrax']
