
6 Mot inconnu : InDefero => ====== InDefero : Environnement de gestion de code source ====== | indefero
39 Mot inconnu : under => If your server document root is in /var/www a good thing is to keep the number of files under the /var/www folder to its minimum. So, you should create a /home/www folder in which we are going to install all but the files which need to be available under the document root. | under
39 Mot inconnu : the => If your server document root is in /var/www a good thing is to keep the number of files under the /var/www folder to its minimum. So, you should create a /home/www folder in which we are going to install all but the files which need to be available under the document root. | the
39 Mot inconnu : root => If your server document root is in /var/www a good thing is to keep the number of files under the /var/www folder to its minimum. So, you should create a /home/www folder in which we are going to install all but the files which need to be available under the document root. | root

44 Mot inconnu : Pluf => ==== Installation de Pluf ==== | pluf

45 Mot inconnu : Pluf => Télécharger Pluf depuis le site officiel www.pluf.org | pluf

52 Mot inconnu : InDefero => ==== InDefero ==== | indefero

56 Mot inconnu : idf => ==== idf.php ==== | idf
56 Mot inconnu : php => ==== idf.php ==== | php

57 Mot inconnu : path => ==== path.php ==== | path
57 Mot inconnu : php => ==== path.php ==== | php

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ==== Git ==== |   => suggestions : ['']

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ==== Svn ==== |   => suggestions : ['']
65 Mot inconnu : Svn =>  ==== Svn ==== | svn

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ==== Mercurial ==== |   => suggestions : ['']
67 Mot inconnu : Mercurial =>  ==== Mercurial ==== | mercurial
