
4 Mot inconnu : Nagios => ====== Nagios : moniteur de supervision ====== | nagios
95 Mot inconnu : cfg => Garder dans le dossier « /etc/nagios3/ » que le fichier « nagios.cfg » (c'est le seul « .cfg » nécessaire dans ce dossier), nous allons tout mettre dans un dossier que nous créerons pour l'occasion : | cfg
95 Mettez des guillemets fermants plutôt qu’ouvrants. => Garder dans le dossier « /etc/nagios3/ » que le fichier « nagios.cfg » (c'est le seul « .cfg » nécessaire dans ce dossier), nous allons tout mettre dans un dossier que nous créerons pour l'occasion : |  « => suggestions : ['\xa0»', '”']
95 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Garder dans le dossier « /etc/nagios3/ » que le fichier « nagios.cfg » (c'est le seul « .cfg » nécessaire dans ce dossier), nous allons tout mettre dans un dossier que nous créerons pour l'occasion : |  . => suggestions : ['. ', '.']
95 Mot inconnu : cfg => Garder dans le dossier « /etc/nagios3/ » que le fichier « nagios.cfg » (c'est le seul « .cfg » nécessaire dans ce dossier), nous allons tout mettre dans un dossier que nous créerons pour l'occasion : | cfg

99 Mettez des guillemets fermants plutôt qu’ouvrants. => Déplacer tous les fichiers « .cfg » (**sauf « nagios.cfg », « cgi.cfg » et « resource.cfg »**) dans ce dossier. |  « => suggestions : ['\xa0»', '”']
99 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Déplacer tous les fichiers « .cfg » (**sauf « nagios.cfg », « cgi.cfg » et « resource.cfg »**) dans ce dossier. |  . => suggestions : ['. ', '.']
99 Mot inconnu : cfg => Déplacer tous les fichiers « .cfg » (**sauf « nagios.cfg », « cgi.cfg » et « resource.cfg »**) dans ce dossier. | cfg
99 Mot inconnu : nagios => Déplacer tous les fichiers « .cfg » (**sauf « nagios.cfg », « cgi.cfg » et « resource.cfg »**) dans ce dossier. | nagios
99 Mot inconnu : cfg => Déplacer tous les fichiers « .cfg » (**sauf « nagios.cfg », « cgi.cfg » et « resource.cfg »**) dans ce dossier. | cfg
99 Mot inconnu : cgi => Déplacer tous les fichiers « .cfg » (**sauf « nagios.cfg », « cgi.cfg » et « resource.cfg »**) dans ce dossier. | cgi
99 Mot inconnu : cfg => Déplacer tous les fichiers « .cfg » (**sauf « nagios.cfg », « cgi.cfg » et « resource.cfg »**) dans ce dossier. | cfg
99 Mot inconnu : resource => Déplacer tous les fichiers « .cfg » (**sauf « nagios.cfg », « cgi.cfg » et « resource.cfg »**) dans ce dossier. | resource
99 Mot inconnu : cfg => Déplacer tous les fichiers « .cfg » (**sauf « nagios.cfg », « cgi.cfg » et « resource.cfg »**) dans ce dossier. | cfg
105 Mot inconnu : cfg_file => Ensuite commenter toutes les lignes commençant par « cfg_file ». | cfg_file

107 Mettez des guillemets fermants plutôt qu’ouvrants. => Cette étape est délicate mais importante pour la suite, c'est vraiment dommage que le paquet soit fait de telle façon. Le gros avantage c'est que vous n'êtes plus limités dans le nom des fichiers, tant qu'ils finissent par « .cfg ». Par exemple, vous pouvez générer des définitions de machines en remplissant un fichier pour chaque groupe, ceci afin d'éviter d'avoir un fichier « hosts.cfg » avec 4000 machines difficilement lisible. Donc, dans toute la suite, les noms de fichiers sont donnés à titre indicatifs, c'est ceux que vous trouverez dans l'installation par défaut de Nagios. |  « => suggestions : ['\xa0»', '”']
107 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Cette étape est délicate mais importante pour la suite, c'est vraiment dommage que le paquet soit fait de telle façon. Le gros avantage c'est que vous n'êtes plus limités dans le nom des fichiers, tant qu'ils finissent par « .cfg ». Par exemple, vous pouvez générer des définitions de machines en remplissant un fichier pour chaque groupe, ceci afin d'éviter d'avoir un fichier « hosts.cfg » avec 4000 machines difficilement lisible. Donc, dans toute la suite, les noms de fichiers sont donnés à titre indicatifs, c'est ceux que vous trouverez dans l'installation par défaut de Nagios. |  . => suggestions : ['. ', '.']
107 Mot inconnu : cfg => Cette étape est délicate mais importante pour la suite, c'est vraiment dommage que le paquet soit fait de telle façon. Le gros avantage c'est que vous n'êtes plus limités dans le nom des fichiers, tant qu'ils finissent par « .cfg ». Par exemple, vous pouvez générer des définitions de machines en remplissant un fichier pour chaque groupe, ceci afin d'éviter d'avoir un fichier « hosts.cfg » avec 4000 machines difficilement lisible. Donc, dans toute la suite, les noms de fichiers sont donnés à titre indicatifs, c'est ceux que vous trouverez dans l'installation par défaut de Nagios. | cfg
107 Mot inconnu : hosts => Cette étape est délicate mais importante pour la suite, c'est vraiment dommage que le paquet soit fait de telle façon. Le gros avantage c'est que vous n'êtes plus limités dans le nom des fichiers, tant qu'ils finissent par « .cfg ». Par exemple, vous pouvez générer des définitions de machines en remplissant un fichier pour chaque groupe, ceci afin d'éviter d'avoir un fichier « hosts.cfg » avec 4000 machines difficilement lisible. Donc, dans toute la suite, les noms de fichiers sont donnés à titre indicatifs, c'est ceux que vous trouverez dans l'installation par défaut de Nagios. | hosts
107 Mot inconnu : cfg => Cette étape est délicate mais importante pour la suite, c'est vraiment dommage que le paquet soit fait de telle façon. Le gros avantage c'est que vous n'êtes plus limités dans le nom des fichiers, tant qu'ils finissent par « .cfg ». Par exemple, vous pouvez générer des définitions de machines en remplissant un fichier pour chaque groupe, ceci afin d'éviter d'avoir un fichier « hosts.cfg » avec 4000 machines difficilement lisible. Donc, dans toute la suite, les noms de fichiers sont donnés à titre indicatifs, c'est ceux que vous trouverez dans l'installation par défaut de Nagios. | cfg
107 Accord de nombre erroné avec « indicatifs ». => Cette étape est délicate mais importante pour la suite, c'est vraiment dommage que le paquet soit fait de telle façon. Le gros avantage c'est que vous n'êtes plus limités dans le nom des fichiers, tant qu'ils finissent par « .cfg ». Par exemple, vous pouvez générer des définitions de machines en remplissant un fichier pour chaque groupe, ceci afin d'éviter d'avoir un fichier « hosts.cfg » avec 4000 machines difficilement lisible. Donc, dans toute la suite, les noms de fichiers sont donnés à titre indicatifs, c'est ceux que vous trouverez dans l'installation par défaut de Nagios. | titre => suggestions : ['titres']
107 Accord de nombre erroné avec « titre ». => Cette étape est délicate mais importante pour la suite, c'est vraiment dommage que le paquet soit fait de telle façon. Le gros avantage c'est que vous n'êtes plus limités dans le nom des fichiers, tant qu'ils finissent par « .cfg ». Par exemple, vous pouvez générer des définitions de machines en remplissant un fichier pour chaque groupe, ceci afin d'éviter d'avoir un fichier « hosts.cfg » avec 4000 machines difficilement lisible. Donc, dans toute la suite, les noms de fichiers sont donnés à titre indicatifs, c'est ceux que vous trouverez dans l'installation par défaut de Nagios. | indicatifs => suggestions : ['indicatif']
107 Mot inconnu : Nagios => Cette étape est délicate mais importante pour la suite, c'est vraiment dommage que le paquet soit fait de telle façon. Le gros avantage c'est que vous n'êtes plus limités dans le nom des fichiers, tant qu'ils finissent par « .cfg ». Par exemple, vous pouvez générer des définitions de machines en remplissant un fichier pour chaque groupe, ceci afin d'éviter d'avoir un fichier « hosts.cfg » avec 4000 machines difficilement lisible. Donc, dans toute la suite, les noms de fichiers sont donnés à titre indicatifs, c'est ceux que vous trouverez dans l'installation par défaut de Nagios. | nagios

109 Mot inconnu : Nagios => Il y a une idée à bien saisir lorsque l'on commence avec Nagios : je ne décris un « objet » qu'une et une seule fois. | nagios
110 Mot inconnu : generic => Cela passe par l'utilisation de « modèle » (//generic/template// dans nagios) et par la réutilisation de ces modèles. | generic
110 Mot inconnu : template => Cela passe par l'utilisation de « modèle » (//generic/template// dans nagios) et par la réutilisation de ces modèles. | template
110 Mot inconnu : nagios => Cela passe par l'utilisation de « modèle » (//generic/template// dans nagios) et par la réutilisation de ces modèles. | nagios

111 Mot inconnu : Nagios => On peut créer des modèles pour à peu près tous les objets Nagios. | nagios

113 Mot inconnu : Nagios => Afin de se simplifier la vie, nous allons d'abord examiner la configuration basique de Nagios (définition des périodes, utilisateurs et des serveurs), ensuite nous envisagerons la configuration des services de surveillance. | nagios

115 Espace(s) surnuméraire(s) à supprimer. => Après chaque modification d'un fichier, faites un  : |    => suggestions : [' ']

132 Mot inconnu : define => define timeperiod{ | define
132 Mot inconnu : timeperiod => define timeperiod{ | timeperiod

149 Mot inconnu : Nagios => Les personnes de contacts sont les personnes physiques à contacter en cas d'incident. Quand un problème survient, Nagios va //notifier// ces personnes d'après les //degrés de notification//. | nagios

152 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ((Le nom peut être changé ou vous pouvez en définir plusieurs : « sys-admins.cfg » et « network-admins.cfg ».)) et les entrées ont un format similaire à celui-ci : |   => suggestions : ['']
152 Mot inconnu : sys-admins =>  ((Le nom peut être changé ou vous pouvez en définir plusieurs : « sys-admins.cfg » et « network-admins.cfg ».)) et les entrées ont un format similaire à celui-ci : | sys-admins
152 Mot inconnu : cfg =>  ((Le nom peut être changé ou vous pouvez en définir plusieurs : « sys-admins.cfg » et « network-admins.cfg ».)) et les entrées ont un format similaire à celui-ci : | cfg
152 Mot inconnu : network-admins =>  ((Le nom peut être changé ou vous pouvez en définir plusieurs : « sys-admins.cfg » et « network-admins.cfg ».)) et les entrées ont un format similaire à celui-ci : | network-admins
152 Mot inconnu : cfg =>  ((Le nom peut être changé ou vous pouvez en définir plusieurs : « sys-admins.cfg » et « network-admins.cfg ».)) et les entrées ont un format similaire à celui-ci : | cfg

155 Mot inconnu : define => define contact{ | define

201 Accord de nombre erroné : « surveillance » devrait être au pluriel. => ==== Configuration des surveillance de services et d'hôtes ==== | surveillance => suggestions : ['surveillances']

203 Espace(s) en fin de ligne à supprimer. => La surveillance de services et d'hôtes s'articule autour de plusieurs fichiers de configuration et ces fichiers sont tous liés les uns aux autres. C'est pour cela que je vais plutôt envisager un petit exemple plutôt que de me lancer dans une explication détaillée de toutes les options.  |   => suggestions : ['']
211 Espace(s) en fin de ligne à supprimer. => Pour récapituler :  |   => suggestions : ['']

213 Mot inconnu : chekcommands => script shell -> chekcommands.cfg -> services.cfg | chekcommands
213 Mot inconnu : cfg => script shell -> chekcommands.cfg -> services.cfg | cfg
213 Mot inconnu : cfg => script shell -> chekcommands.cfg -> services.cfg | cfg
215 Mot inconnu : Nagios => //Remarque : // Les explications concernant les différentes options sont disponibles sur votre serveur Nagios au travers de l'interface web. En haut à gauche de l'écran, il y a un lien //Documentation// qui mène directement à la doc. Elle explique exhaustivement les différents paramètres. | nagios

217 Mot inconnu : NFS => Notre exemple consiste en deux hôtes (un serveur mail et un serveur de fichier). Le serveur mail possède un service SMTP et un service IMAP. Le serveur de fichier possède un service NFS. Ces deux hôtes sont connectés sur un routeur-switch qui est le lien vers l'extérieur. Nous allons tester ces différents hôtes et services. | nfs
217 Mot inconnu : routeur-switch => Notre exemple consiste en deux hôtes (un serveur mail et un serveur de fichier). Le serveur mail possède un service SMTP et un service IMAP. Le serveur de fichier possède un service NFS. Ces deux hôtes sont connectés sur un routeur-switch qui est le lien vers l'extérieur. Nous allons tester ces différents hôtes et services. | routeur-switch

252 Espace(s) surnuméraire(s) à supprimer. => Une autre chose à laquelle vous devez faire attention, ce sont les noms d'hôtes. En effet, ce sont ces noms qui serviront dans les autres fichiers de configuration (notamment, pour lier un  hôte a un groupe d'hotes). |    => suggestions : [' ']
252 Mot inconnu : hotes => Une autre chose à laquelle vous devez faire attention, ce sont les noms d'hôtes. En effet, ce sont ces noms qui serviront dans les autres fichiers de configuration (notamment, pour lier un  hôte a un groupe d'hotes). | hotes

348 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => méritent peut-être un peu d'attention. Rien de pire que les fausses alertes, ici Nagios testera les services toutes les 5 minutes, si un des services est dans un statut non OK (warning, critical, unknown) il va ressayer de le contacter une minute plus tard, et ceci 3 fois de suite puis déclenchera l'alerte (envoi de mail, etc), dès que le service répond de nouveau OK Nagios 'réinitialise' les compteurs et reprend les checks sur l'intervalle normale (normal_check_interval). | méritent => suggestions : ['Méritent']
348 Mot inconnu : Nagios => méritent peut-être un peu d'attention. Rien de pire que les fausses alertes, ici Nagios testera les services toutes les 5 minutes, si un des services est dans un statut non OK (warning, critical, unknown) il va ressayer de le contacter une minute plus tard, et ceci 3 fois de suite puis déclenchera l'alerte (envoi de mail, etc), dès que le service répond de nouveau OK Nagios 'réinitialise' les compteurs et reprend les checks sur l'intervalle normale (normal_check_interval). | nagios
348 Mot inconnu : critical => méritent peut-être un peu d'attention. Rien de pire que les fausses alertes, ici Nagios testera les services toutes les 5 minutes, si un des services est dans un statut non OK (warning, critical, unknown) il va ressayer de le contacter une minute plus tard, et ceci 3 fois de suite puis déclenchera l'alerte (envoi de mail, etc), dès que le service répond de nouveau OK Nagios 'réinitialise' les compteurs et reprend les checks sur l'intervalle normale (normal_check_interval). | critical
348 Mot inconnu : unknown => méritent peut-être un peu d'attention. Rien de pire que les fausses alertes, ici Nagios testera les services toutes les 5 minutes, si un des services est dans un statut non OK (warning, critical, unknown) il va ressayer de le contacter une minute plus tard, et ceci 3 fois de suite puis déclenchera l'alerte (envoi de mail, etc), dès que le service répond de nouveau OK Nagios 'réinitialise' les compteurs et reprend les checks sur l'intervalle normale (normal_check_interval). | unknown
348 Mot inconnu : Nagios => méritent peut-être un peu d'attention. Rien de pire que les fausses alertes, ici Nagios testera les services toutes les 5 minutes, si un des services est dans un statut non OK (warning, critical, unknown) il va ressayer de le contacter une minute plus tard, et ceci 3 fois de suite puis déclenchera l'alerte (envoi de mail, etc), dès que le service répond de nouveau OK Nagios 'réinitialise' les compteurs et reprend les checks sur l'intervalle normale (normal_check_interval). | nagios
348 Guillemets typographiques ouvrants. => méritent peut-être un peu d'attention. Rien de pire que les fausses alertes, ici Nagios testera les services toutes les 5 minutes, si un des services est dans un statut non OK (warning, critical, unknown) il va ressayer de le contacter une minute plus tard, et ceci 3 fois de suite puis déclenchera l'alerte (envoi de mail, etc), dès que le service répond de nouveau OK Nagios 'réinitialise' les compteurs et reprend les checks sur l'intervalle normale (normal_check_interval). | ' => suggestions : ['“', '‘', '‹']
348 Guillemets typographiques fermants. => méritent peut-être un peu d'attention. Rien de pire que les fausses alertes, ici Nagios testera les services toutes les 5 minutes, si un des services est dans un statut non OK (warning, critical, unknown) il va ressayer de le contacter une minute plus tard, et ceci 3 fois de suite puis déclenchera l'alerte (envoi de mail, etc), dès que le service répond de nouveau OK Nagios 'réinitialise' les compteurs et reprend les checks sur l'intervalle normale (normal_check_interval). | ' => suggestions : ['”', '’', '›']
348 Mot inconnu : checks => méritent peut-être un peu d'attention. Rien de pire que les fausses alertes, ici Nagios testera les services toutes les 5 minutes, si un des services est dans un statut non OK (warning, critical, unknown) il va ressayer de le contacter une minute plus tard, et ceci 3 fois de suite puis déclenchera l'alerte (envoi de mail, etc), dès que le service répond de nouveau OK Nagios 'réinitialise' les compteurs et reprend les checks sur l'intervalle normale (normal_check_interval). | checks
348 Accord de genre erroné entre “intervalle” et “normale”. => méritent peut-être un peu d'attention. Rien de pire que les fausses alertes, ici Nagios testera les services toutes les 5 minutes, si un des services est dans un statut non OK (warning, critical, unknown) il va ressayer de le contacter une minute plus tard, et ceci 3 fois de suite puis déclenchera l'alerte (envoi de mail, etc), dès que le service répond de nouveau OK Nagios 'réinitialise' les compteurs et reprend les checks sur l'intervalle normale (normal_check_interval). | normale => suggestions : ['normal']
348 Mot inconnu : normal_check_interval => méritent peut-être un peu d'attention. Rien de pire que les fausses alertes, ici Nagios testera les services toutes les 5 minutes, si un des services est dans un statut non OK (warning, critical, unknown) il va ressayer de le contacter une minute plus tard, et ceci 3 fois de suite puis déclenchera l'alerte (envoi de mail, etc), dès que le service répond de nouveau OK Nagios 'réinitialise' les compteurs et reprend les checks sur l'intervalle normale (normal_check_interval). | normal_check_interval
360 Mot inconnu : loadaverage => Pensez aussi à la notion de //flapping// : imaginons que vous surveilliez le [[loadaverage|load]] d'une machine vous définissez les valeurs pour lequel Nagios doit vous alerter. Si cette valeur est '3' (pour le load à 5 minutes), imaginons que votre machine est chargée, le load vu par Nagios va osciller entre 2.5 et 3.5… À chaque oscillation Nagios va vous envoyer un mail, **sauf** si vous avez activé le [[http://nagios.sourceforge.net/docs/2_0/flapping.html|flapping]] : | loadaverage
360 Mot inconnu : Nagios => Pensez aussi à la notion de //flapping// : imaginons que vous surveilliez le [[loadaverage|load]] d'une machine vous définissez les valeurs pour lequel Nagios doit vous alerter. Si cette valeur est '3' (pour le load à 5 minutes), imaginons que votre machine est chargée, le load vu par Nagios va osciller entre 2.5 et 3.5… À chaque oscillation Nagios va vous envoyer un mail, **sauf** si vous avez activé le [[http://nagios.sourceforge.net/docs/2_0/flapping.html|flapping]] : | nagios
360 Guillemets typographiques ouvrants. => Pensez aussi à la notion de //flapping// : imaginons que vous surveilliez le [[loadaverage|load]] d'une machine vous définissez les valeurs pour lequel Nagios doit vous alerter. Si cette valeur est '3' (pour le load à 5 minutes), imaginons que votre machine est chargée, le load vu par Nagios va osciller entre 2.5 et 3.5… À chaque oscillation Nagios va vous envoyer un mail, **sauf** si vous avez activé le [[http://nagios.sourceforge.net/docs/2_0/flapping.html|flapping]] : | ' => suggestions : ['“', '‘', '‹']
360 Guillemets typographiques fermants. => Pensez aussi à la notion de //flapping// : imaginons que vous surveilliez le [[loadaverage|load]] d'une machine vous définissez les valeurs pour lequel Nagios doit vous alerter. Si cette valeur est '3' (pour le load à 5 minutes), imaginons que votre machine est chargée, le load vu par Nagios va osciller entre 2.5 et 3.5… À chaque oscillation Nagios va vous envoyer un mail, **sauf** si vous avez activé le [[http://nagios.sourceforge.net/docs/2_0/flapping.html|flapping]] : | ' => suggestions : ['”', '’', '›']
360 Mot inconnu : Nagios => Pensez aussi à la notion de //flapping// : imaginons que vous surveilliez le [[loadaverage|load]] d'une machine vous définissez les valeurs pour lequel Nagios doit vous alerter. Si cette valeur est '3' (pour le load à 5 minutes), imaginons que votre machine est chargée, le load vu par Nagios va osciller entre 2.5 et 3.5… À chaque oscillation Nagios va vous envoyer un mail, **sauf** si vous avez activé le [[http://nagios.sourceforge.net/docs/2_0/flapping.html|flapping]] : | nagios
360 Mot inconnu : Nagios => Pensez aussi à la notion de //flapping// : imaginons que vous surveilliez le [[loadaverage|load]] d'une machine vous définissez les valeurs pour lequel Nagios doit vous alerter. Si cette valeur est '3' (pour le load à 5 minutes), imaginons que votre machine est chargée, le load vu par Nagios va osciller entre 2.5 et 3.5… À chaque oscillation Nagios va vous envoyer un mail, **sauf** si vous avez activé le [[http://nagios.sourceforge.net/docs/2_0/flapping.html|flapping]] : | nagios

365 Mot inconnu : Escalation => === Escalation === | escalation

367 Mot inconnu : escalation => L'escalation est optionelle, donc ne commencez pas par ça ... Elle permet de mettre en place des niveaux d'alerte. | escalation
367 Mot inconnu : optionelle => L'escalation est optionelle, donc ne commencez pas par ça ... Elle permet de mettre en place des niveaux d'alerte. | optionelle
367 Typographie : points de suspension. Utilisez le caractère dédié. => L'escalation est optionelle, donc ne commencez pas par ça ... Elle permet de mettre en place des niveaux d'alerte. | ... => suggestions : ['…']
368 Mot inconnu : hierarchique => Scénario simple : vous définissez les contacts pour vous et vos collègues administrateurs : c'est tout ce beau monde qui recevra immédiatement une alerte en cas de soucis, si l'alerte est encore effective après 2 notifications des principaux intéressés, d'autres personnes peuvent être prévenues, les commerciaux, votre supérieur hierarchique, la cellule communication/relation presse... à vous de voir en fonction des besoins de votre entreprise. | hierarchique
368 Typographie : points de suspension. Utilisez le caractère dédié. => Scénario simple : vous définissez les contacts pour vous et vos collègues administrateurs : c'est tout ce beau monde qui recevra immédiatement une alerte en cas de soucis, si l'alerte est encore effective après 2 notifications des principaux intéressés, d'autres personnes peuvent être prévenues, les commerciaux, votre supérieur hierarchique, la cellule communication/relation presse... à vous de voir en fonction des besoins de votre entreprise. | ... => suggestions : ['…']

383 Mot inconnu : escalation => Si vous ne voulez pas utiliser l'escalation renommez le fichier en .cfg.no ou tout autre extension différente de .cfg | escalation
383 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Si vous ne voulez pas utiliser l'escalation renommez le fichier en .cfg.no ou tout autre extension différente de .cfg |  . => suggestions : ['. ', '.']
383 Mot inconnu : cfg => Si vous ne voulez pas utiliser l'escalation renommez le fichier en .cfg.no ou tout autre extension différente de .cfg | cfg
383 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Si vous ne voulez pas utiliser l'escalation renommez le fichier en .cfg.no ou tout autre extension différente de .cfg |  . => suggestions : ['. ', '.']
383 Mot inconnu : cfg => Si vous ne voulez pas utiliser l'escalation renommez le fichier en .cfg.no ou tout autre extension différente de .cfg | cfg

387 Mot inconnu : cgi => À chacun des hôtes et services peuvent être rattachés des arguments de type liens hypertextes et images. Pour cela, éditer le fichier de configuration cgi.cfg | cgi
387 Mot inconnu : cfg => À chacun des hôtes et services peuvent être rattachés des arguments de type liens hypertextes et images. Pour cela, éditer le fichier de configuration cgi.cfg | cfg

428 Mot inconnu : icon_image => Le paramètre //icon_image// correspond à l'image associée à un host (la miniature est gérée automatiquement) ; //vrml_image// correspond à l'image utilisée dans la 3-D statusmap ; et //statusmap_image// à l'image affichée dans la 2-D statusmap. | icon_image
428 Mot inconnu : host => Le paramètre //icon_image// correspond à l'image associée à un host (la miniature est gérée automatiquement) ; //vrml_image// correspond à l'image utilisée dans la 3-D statusmap ; et //statusmap_image// à l'image affichée dans la 2-D statusmap. | host
428 Mot inconnu : vrml_image => Le paramètre //icon_image// correspond à l'image associée à un host (la miniature est gérée automatiquement) ; //vrml_image// correspond à l'image utilisée dans la 3-D statusmap ; et //statusmap_image// à l'image affichée dans la 2-D statusmap. | vrml_image
428 Mot inconnu : statusmap => Le paramètre //icon_image// correspond à l'image associée à un host (la miniature est gérée automatiquement) ; //vrml_image// correspond à l'image utilisée dans la 3-D statusmap ; et //statusmap_image// à l'image affichée dans la 2-D statusmap. | statusmap
428 Mot inconnu : statusmap_image => Le paramètre //icon_image// correspond à l'image associée à un host (la miniature est gérée automatiquement) ; //vrml_image// correspond à l'image utilisée dans la 3-D statusmap ; et //statusmap_image// à l'image affichée dans la 2-D statusmap. | statusmap_image
428 Mot inconnu : statusmap => Le paramètre //icon_image// correspond à l'image associée à un host (la miniature est gérée automatiquement) ; //vrml_image// correspond à l'image utilisée dans la 3-D statusmap ; et //statusmap_image// à l'image affichée dans la 2-D statusmap. | statusmap

434 Mot inconnu : Nagios => ==== Démarrage et rechargement de Nagios ==== | nagios

436 Mot inconnu : Nagios => Pour démarrer ou arrêter Nagios, vous pouvez le faire en ligne de commande de la manière suivante : | nagios

441 Mot inconnu : Nagios => Pour recharger la configuration de Nagios (et en même temps la tester), utilisez la commande suivante : | nagios

451 Mot inconnu : email => Lorsqu'on fait de la supervision, on fait essentiellement de la notification par email. C'est la méthode la moins coûteuse et la plus aisée à mettre en place. | email

453 Mot inconnu : email => Cependant, si votre serveur mail ou la ligne internet est inaccessible, l'email n'arrive jamais (ou vous ne savez pas le lire) et vous ne savez donc pas prendre les mesures qui s'imposent. | email

455 Accord erroné : “solutions” et “coûteuse” ne sont pas accordés. Mettez au pluriel. => Une solution est d'utiliser un serveur de SMS (ou Texto). Il existe des solutions clé sur porte proposées par la plupart des opérateurs de téléphonie mobile. Mais ces solutions sont assez coûteuse si vous devez envoyer un SMS de temps en temps. | coûteuse => suggestions : ['coûteuses']

459 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => //Remarque :// Certains Nokia peuvent poser des problèmes de compatibilités car ils utilisent un protocole propriétaire à la firme finlandaise. |  car => suggestions : [', car']

461 Mot inconnu : AX75 => Nous avons choisi un GSM de marque Siemens AX75 et son câble data DCA-510 pour effectuer nos notifications SMS. Il suffit juste d'acheter une carte prépayée ou un abonnement uniquement SMS pour pouvoir se connecter au réseau de l'opérateur mobile. Nous avons choisi Siemens car les câbles data servent également à recharger le téléphone cellulaire via l'alimentation de la fiche USB. En effet, sur la plupart des mobiles, vous ne pouvez pas connecter le cordon d'alimentation et le câble data en même temps. C'est un des points à surveiller quand vous acheterez le GSM servant à la notification. | ax75
461 Mot inconnu : DCA-510 => Nous avons choisi un GSM de marque Siemens AX75 et son câble data DCA-510 pour effectuer nos notifications SMS. Il suffit juste d'acheter une carte prépayée ou un abonnement uniquement SMS pour pouvoir se connecter au réseau de l'opérateur mobile. Nous avons choisi Siemens car les câbles data servent également à recharger le téléphone cellulaire via l'alimentation de la fiche USB. En effet, sur la plupart des mobiles, vous ne pouvez pas connecter le cordon d'alimentation et le câble data en même temps. C'est un des points à surveiller quand vous acheterez le GSM servant à la notification. | dca-510
461 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => Nous avons choisi un GSM de marque Siemens AX75 et son câble data DCA-510 pour effectuer nos notifications SMS. Il suffit juste d'acheter une carte prépayée ou un abonnement uniquement SMS pour pouvoir se connecter au réseau de l'opérateur mobile. Nous avons choisi Siemens car les câbles data servent également à recharger le téléphone cellulaire via l'alimentation de la fiche USB. En effet, sur la plupart des mobiles, vous ne pouvez pas connecter le cordon d'alimentation et le câble data en même temps. C'est un des points à surveiller quand vous acheterez le GSM servant à la notification. |  car => suggestions : [', car']
