
4 Mot inconnu : Mutt => ====== Mutt : client de messagerie en console ====== | mutt
13 Mot inconnu : just => Le slogan de Mutt est « All mail clients suck. This one just sucks less », que l'on peut traduire par « Tous les logiciels de courrier électronique sont merdiques. Celui-ci est juste moins merdique ». Les développeurs et les utilisateurs de mutt prétendent que, bien que tous les clients de courrier aient des défauts, mutt est celui qui en a le moins. L'expression « Foo sucks less » est devenue dans le jargon informatique, une forme de compliment. | just
13 Mot inconnu : sucks => Le slogan de Mutt est « All mail clients suck. This one just sucks less », que l'on peut traduire par « Tous les logiciels de courrier électronique sont merdiques. Celui-ci est juste moins merdique ». Les développeurs et les utilisateurs de mutt prétendent que, bien que tous les clients de courrier aient des défauts, mutt est celui qui en a le moins. L'expression « Foo sucks less » est devenue dans le jargon informatique, une forme de compliment. | sucks
13 Mot inconnu : less => Le slogan de Mutt est « All mail clients suck. This one just sucks less », que l'on peut traduire par « Tous les logiciels de courrier électronique sont merdiques. Celui-ci est juste moins merdique ». Les développeurs et les utilisateurs de mutt prétendent que, bien que tous les clients de courrier aient des défauts, mutt est celui qui en a le moins. L'expression « Foo sucks less » est devenue dans le jargon informatique, une forme de compliment. | less
13 Mot inconnu : mutt => Le slogan de Mutt est « All mail clients suck. This one just sucks less », que l'on peut traduire par « Tous les logiciels de courrier électronique sont merdiques. Celui-ci est juste moins merdique ». Les développeurs et les utilisateurs de mutt prétendent que, bien que tous les clients de courrier aient des défauts, mutt est celui qui en a le moins. L'expression « Foo sucks less » est devenue dans le jargon informatique, une forme de compliment. | mutt
13 Mot inconnu : mutt => Le slogan de Mutt est « All mail clients suck. This one just sucks less », que l'on peut traduire par « Tous les logiciels de courrier électronique sont merdiques. Celui-ci est juste moins merdique ». Les développeurs et les utilisateurs de mutt prétendent que, bien que tous les clients de courrier aient des défauts, mutt est celui qui en a le moins. L'expression « Foo sucks less » est devenue dans le jargon informatique, une forme de compliment. | mutt
13 Mot inconnu : Foo => Le slogan de Mutt est « All mail clients suck. This one just sucks less », que l'on peut traduire par « Tous les logiciels de courrier électronique sont merdiques. Celui-ci est juste moins merdique ». Les développeurs et les utilisateurs de mutt prétendent que, bien que tous les clients de courrier aient des défauts, mutt est celui qui en a le moins. L'expression « Foo sucks less » est devenue dans le jargon informatique, une forme de compliment. | foo
13 Mot inconnu : sucks => Le slogan de Mutt est « All mail clients suck. This one just sucks less », que l'on peut traduire par « Tous les logiciels de courrier électronique sont merdiques. Celui-ci est juste moins merdique ». Les développeurs et les utilisateurs de mutt prétendent que, bien que tous les clients de courrier aient des défauts, mutt est celui qui en a le moins. L'expression « Foo sucks less » est devenue dans le jargon informatique, une forme de compliment. | sucks
13 Mot inconnu : less => Le slogan de Mutt est « All mail clients suck. This one just sucks less », que l'on peut traduire par « Tous les logiciels de courrier électronique sont merdiques. Celui-ci est juste moins merdique ». Les développeurs et les utilisateurs de mutt prétendent que, bien que tous les clients de courrier aient des défauts, mutt est celui qui en a le moins. L'expression « Foo sucks less » est devenue dans le jargon informatique, une forme de compliment. | less
21 Guillemets typographiques ouvrants. => <note important>Note importante : si vous obtenez l'erreur suivante lors d'un envoi : "Pas d'authentificateurs disponibles", je vous conseille d'installer le pacquet : **libsasl2-modules**.</note> | " => suggestions : ['«\xa0', '“']
21 Mot inconnu : authentificateurs => <note important>Note importante : si vous obtenez l'erreur suivante lors d'un envoi : "Pas d'authentificateurs disponibles", je vous conseille d'installer le pacquet : **libsasl2-modules**.</note> | authentificateurs
21 Guillemets typographiques fermants. => <note important>Note importante : si vous obtenez l'erreur suivante lors d'un envoi : "Pas d'authentificateurs disponibles", je vous conseille d'installer le pacquet : **libsasl2-modules**.</note> | " => suggestions : ['\xa0»', '”']
21 Mot inconnu : pacquet => <note important>Note importante : si vous obtenez l'erreur suivante lors d'un envoi : "Pas d'authentificateurs disponibles", je vous conseille d'installer le pacquet : **libsasl2-modules**.</note> | pacquet
21 Mot inconnu : libsasl2-modules => <note important>Note importante : si vous obtenez l'erreur suivante lors d'un envoi : "Pas d'authentificateurs disponibles", je vous conseille d'installer le pacquet : **libsasl2-modules**.</note> | libsasl2-modules

29 Mot inconnu : realname => set realname = "{votre NOM}" | realname

30 Mot inconnu : header_cache => set header_cache =~/.mutt/cache/headers | header_cache
30 Mot inconnu : mutt => set header_cache =~/.mutt/cache/headers | mutt
30 Mot inconnu : headers => set header_cache =~/.mutt/cache/headers | headers

31 Mot inconnu : certificate_file => set certificate_file =~/.mutt/certificates | certificate_file
31 Mot inconnu : mutt => set certificate_file =~/.mutt/certificates | mutt
31 Mot inconnu : certificates => set certificate_file =~/.mutt/certificates | certificates

32 Mot inconnu : message_cachedir => set message_cachedir =~/.mutt/cache/bodies | message_cachedir
32 Mot inconnu : mutt => set message_cachedir =~/.mutt/cache/bodies | mutt

34 Mot inconnu : imap => # configuration imap | imap

35 Mot inconnu : spoolfile => set spoolfile=imaps://imap.gmail.com:993/INBOX | spoolfile
35 Mot inconnu : imaps => set spoolfile=imaps://imap.gmail.com:993/INBOX | imaps
35 Mot inconnu : INBOX => set spoolfile=imaps://imap.gmail.com:993/INBOX | inbox

36 Mot inconnu : imap_user => set imap_user = "{votre @ email}" | imap_user
36 Mot inconnu : email => set imap_user = "{votre @ email}" | email

37 Mot inconnu : imap_pass => set imap_pass = "{votre password}" | imap_pass
37 Mot inconnu : password => set imap_pass = "{votre password}" | password

38 Mot inconnu : imap_passive => set imap_passive="no" | imap_passive
38 Guillemets typographiques ouvrants. => set imap_passive="no" | " => suggestions : ['«\xa0', '“']
38 Guillemets typographiques fermants. => set imap_passive="no" | " => suggestions : ['\xa0»', '”']

39 Mot inconnu : imap_check_subscribed => set imap_check_subscribed="yes" | imap_check_subscribed
39 Guillemets typographiques ouvrants. => set imap_check_subscribed="yes" | " => suggestions : ['«\xa0', '“']
39 Mot inconnu : yes => set imap_check_subscribed="yes" | yes
39 Guillemets typographiques fermants. => set imap_check_subscribed="yes" | " => suggestions : ['\xa0»', '”']

40 Mot inconnu : imap_list_subscribed => set imap_list_subscribed="yes" | imap_list_subscribed
40 Guillemets typographiques ouvrants. => set imap_list_subscribed="yes" | " => suggestions : ['«\xa0', '“']
40 Mot inconnu : yes => set imap_list_subscribed="yes" | yes
40 Guillemets typographiques fermants. => set imap_list_subscribed="yes" | " => suggestions : ['\xa0»', '”']

43 Mot inconnu : smtp_url => set smtp_url = "smtp://{votre @ email}@smtp.gmail.com:587/" | smtp_url
43 Guillemets typographiques ouvrants. => set smtp_url = "smtp://{votre @ email}@smtp.gmail.com:587/" | " => suggestions : ['«\xa0', '“']
43 Mot inconnu : smtp => set smtp_url = "smtp://{votre @ email}@smtp.gmail.com:587/" | smtp
43 Mot inconnu : email => set smtp_url = "smtp://{votre @ email}@smtp.gmail.com:587/" | email
43 Mot inconnu : gmail => set smtp_url = "smtp://{votre @ email}@smtp.gmail.com:587/" | gmail

44 Mot inconnu : smtp_pass => set smtp_pass = "{votre password}" | smtp_pass
44 Mot inconnu : password => set smtp_pass = "{votre password}" | password

45 Mot inconnu : from => set from = "{votre @ email}@gmail.com" | from
45 Mot inconnu : email => set from = "{votre @ email}@gmail.com" | email

46 Mot inconnu : use_envelope_from => set use_envelope_from=yes # Pour que postfix ou sendmail ne change pas votre from | use_envelope_from
46 Mot inconnu : yes => set use_envelope_from=yes # Pour que postfix ou sendmail ne change pas votre from | yes
46 Mot inconnu : postfix => set use_envelope_from=yes # Pour que postfix ou sendmail ne change pas votre from | postfix
46 Mot inconnu : sendmail => set use_envelope_from=yes # Pour que postfix ou sendmail ne change pas votre from | sendmail
46 Mot inconnu : from => set use_envelope_from=yes # Pour que postfix ou sendmail ne change pas votre from | from

49 Guillemets typographiques ouvrants. => set trash = "imaps://imap.gmail.com/[Gmail]/Trash" | " => suggestions : ['«\xa0', '“']
49 Mot inconnu : imaps => set trash = "imaps://imap.gmail.com/[Gmail]/Trash" | imaps
49 Mot inconnu : Gmail => set trash = "imaps://imap.gmail.com/[Gmail]/Trash" | gmail
49 Guillemets typographiques fermants. => set trash = "imaps://imap.gmail.com/[Gmail]/Trash" | " => suggestions : ['\xa0»', '”']

50 Mot inconnu : postponed => set postponed="+[Gmail]/Draft" | postponed
50 Mot inconnu : Gmail => set postponed="+[Gmail]/Draft" | gmail
50 Mot inconnu : Draft => set postponed="+[Gmail]/Draft" | draft
50 Guillemets typographiques fermants. => set postponed="+[Gmail]/Draft" | " => suggestions : ['\xa0»', '”']

51 Mot inconnu : folder => set folder = "imaps://imap.gmail.com:993/" | folder
51 Guillemets typographiques ouvrants. => set folder = "imaps://imap.gmail.com:993/" | " => suggestions : ['«\xa0', '“']
51 Mot inconnu : imaps => set folder = "imaps://imap.gmail.com:993/" | imaps

52 Mot inconnu : imap_check_subscribed => set imap_check_subscribed | imap_check_subscribed

53 Mot inconnu : mail_check => set mail_check = 120 | mail_check

54 Mot inconnu : timeout => set timeout = 300 | timeout

55 Mot inconnu : imap_keepalive => set imap_keepalive = 300 | imap_keepalive

56 Mot inconnu : txt => set signature='/signature.txt' | txt
56 Guillemets typographiques fermants. => set signature='/signature.txt' | ' => suggestions : ['”', '’', '›']

58 Accord de nombre erroné : « nom » devrait être au pluriel. => # locales FR pour les nom des jours et mois | nom => suggestions : ['noms']

59 Accord de genre erroné avec « locale ». => set locale="fr_FR" | set => suggestions : []
59 Accord de genre erroné avec « set ». => set locale="fr_FR" | locale => suggestions : ['local']
59 Guillemets typographiques ouvrants. => set locale="fr_FR" | " => suggestions : ['«\xa0', '“']
59 Mot inconnu : fr_FR => set locale="fr_FR" | fr_fr
59 Guillemets typographiques fermants. => set locale="fr_FR" | " => suggestions : ['\xa0»', '”']

62 Mot inconnu : date_format => set date_format="%A %d %b %Y à %H:%M:%S (%Z)" | date_format
62 Il manque un espace. => set date_format="%A %d %b %Y à %H:%M:%S (%Z)" | a => suggestions : [' A']
62 Il manque un espace. => set date_format="%A %d %b %Y à %H:%M:%S (%Z)" | d => suggestions : [' d']
62 Il manque un espace. => set date_format="%A %d %b %Y à %H:%M:%S (%Z)" | b => suggestions : [' b']
62 Il manque un espace. => set date_format="%A %d %b %Y à %H:%M:%S (%Z)" | y => suggestions : [' Y']
62 Confusion probable : “à” est une préposition. Pour le verbe avoir, écrivez “a”. => set date_format="%A %d %b %Y à %H:%M:%S (%Z)" | à => suggestions : ['a']
62 Il manque un espace. => set date_format="%A %d %b %Y à %H:%M:%S (%Z)" | h => suggestions : [' H']
62 Il manque un espace. => set date_format="%A %d %b %Y à %H:%M:%S (%Z)" | m => suggestions : [' M']
62 Il manque un espace. => set date_format="%A %d %b %Y à %H:%M:%S (%Z)" | s => suggestions : [' S']
62 Il manque un espace. => set date_format="%A %d %b %Y à %H:%M:%S (%Z)" | z => suggestions : [' Z']

64 Mot inconnu : quotée => # phrase d'intro pour réponse quotée | quotée

65 Guillemets typographiques ouvrants. => set attribution="Le %d, %n a écrit :" | " => suggestions : ['«\xa0', '“']
65 Il manque un espace. => set attribution="Le %d, %n a écrit :" | d => suggestions : [' d']
65 Il manque un espace. => set attribution="Le %d, %n a écrit :" | n => suggestions : [' n']

66 Mot inconnu : forward_format => set forward_format="[Fwd: %s]" | forward_format
66 Mot inconnu : Fwd => set forward_format="[Fwd: %s]" | fwd
66 Il manque un espace. => set forward_format="[Fwd: %s]" | s => suggestions : [' s']

67 Mot inconnu : forward_quote => set forward_quote | forward_quote

70 Mot inconnu : mailboxes => mailboxes ! | mailboxes

73 Mot inconnu : edit_hdrs => set edit_hdrs | edit_hdrs

74 Mot inconnu : auto_view => auto_view text/html | auto_view
74 Mot inconnu : text => auto_view text/html | text
74 Mot inconnu : html => auto_view text/html | html

75 Mot inconnu : editor => #set editor="nano" # indiquer ici votre éditeur de texte préféré. | editor
75 Guillemets typographiques ouvrants. => #set editor="nano" # indiquer ici votre éditeur de texte préféré. | " => suggestions : ['«\xa0', '“']
75 Mot inconnu : nano => #set editor="nano" # indiquer ici votre éditeur de texte préféré. | nano
75 Guillemets typographiques fermants. => #set editor="nano" # indiquer ici votre éditeur de texte préféré. | " => suggestions : ['\xa0»', '”']

77 Mot inconnu : color => color attachment magenta default            # attachments | color
77 Mot inconnu : attachment => color attachment magenta default            # attachments | attachment
77 Mot inconnu : default => color attachment magenta default            # attachments | default
77 Espace(s) surnuméraire(s) à supprimer. => color attachment magenta default            # attachments |              => suggestions : [' ']
77 Mot inconnu : attachments => color attachment magenta default            # attachments | attachments

78 Mot inconnu : color => color body brightred default "(ftp|http)://[^ ]+"       # point out URLs | color
78 Mot inconnu : brightred => color body brightred default "(ftp|http)://[^ ]+"       # point out URLs | brightred
78 Mot inconnu : default => color body brightred default "(ftp|http)://[^ ]+"       # point out URLs | default
78 Pas d’espace avant ce signe. => color body brightred default "(ftp|http)://[^ ]+"       # point out URLs |  ] => suggestions : [']']
78 Mot inconnu : URLs => color body brightred default "(ftp|http)://[^ ]+"       # point out URLs | urls

79 Mot inconnu : color => color body brightcyan default [-a-z_0-9.]+@[-a-z_0-9.]+ # e-mail addresses | color
79 Mot inconnu : brightcyan => color body brightcyan default [-a-z_0-9.]+@[-a-z_0-9.]+ # e-mail addresses | brightcyan
79 Mot inconnu : default => color body brightcyan default [-a-z_0-9.]+@[-a-z_0-9.]+ # e-mail addresses | default
79 Mot inconnu : a-z_0-9 => color body brightcyan default [-a-z_0-9.]+@[-a-z_0-9.]+ # e-mail addresses | a-z_0-9
79 Mot inconnu : a-z_0-9 => color body brightcyan default [-a-z_0-9.]+@[-a-z_0-9.]+ # e-mail addresses | a-z_0-9
79 Mot inconnu : addresses => color body brightcyan default [-a-z_0-9.]+@[-a-z_0-9.]+ # e-mail addresses | addresses

80 Mot inconnu : color => color bold brightblue default               # boldface text | color
80 Mot inconnu : bold => color bold brightblue default               # boldface text | bold
80 Mot inconnu : brightblue => color bold brightblue default               # boldface text | brightblue
80 Mot inconnu : default => color bold brightblue default               # boldface text | default
80 Espace(s) surnuméraire(s) à supprimer. => color bold brightblue default               # boldface text |                 => suggestions : [' ']
80 Mot inconnu : boldface => color bold brightblue default               # boldface text | boldface
80 Mot inconnu : text => color bold brightblue default               # boldface text | text

81 Mot inconnu : color => color error brightwhite red                 # error messages | color
81 Mot inconnu : error => color error brightwhite red                 # error messages | error
81 Mot inconnu : brightwhite => color error brightwhite red                 # error messages | brightwhite
81 Mot inconnu : red => color error brightwhite red                 # error messages | red
81 Espace(s) surnuméraire(s) à supprimer. => color error brightwhite red                 # error messages |                   => suggestions : [' ']
81 Mot inconnu : error => color error brightwhite red                 # error messages | error

82 Mot inconnu : color => color hdrdefault magenta default            # default color of message header | color
82 Mot inconnu : hdrdefault => color hdrdefault magenta default            # default color of message header | hdrdefault
82 Mot inconnu : default => color hdrdefault magenta default            # default color of message header | default
82 Espace(s) surnuméraire(s) à supprimer. => color hdrdefault magenta default            # default color of message header |              => suggestions : [' ']
82 Mot inconnu : default => color hdrdefault magenta default            # default color of message header | default
82 Mot inconnu : color => color hdrdefault magenta default            # default color of message header | color
82 Mot inconnu : of => color hdrdefault magenta default            # default color of message header | of
82 Mot inconnu : header => color hdrdefault magenta default            # default color of message header | header

83 Mot inconnu : color => color header brightmagenta default ^(From): # From and Subject header | color
83 Mot inconnu : header => color header brightmagenta default ^(From): # From and Subject header | header
83 Mot inconnu : brightmagenta => color header brightmagenta default ^(From): # From and Subject header | brightmagenta
83 Mot inconnu : default => color header brightmagenta default ^(From): # From and Subject header | default
83 Mot inconnu : From => color header brightmagenta default ^(From): # From and Subject header | from
83 Mot inconnu : From => color header brightmagenta default ^(From): # From and Subject header | from
83 Mot inconnu : and => color header brightmagenta default ^(From): # From and Subject header | and
83 Mot inconnu : Subject => color header brightmagenta default ^(From): # From and Subject header | subject
83 Mot inconnu : header => color header brightmagenta default ^(From): # From and Subject header | header

84 Mot inconnu : color => color header brightwhite default ^(Subject): # From and Subject header | color
84 Mot inconnu : header => color header brightwhite default ^(Subject): # From and Subject header | header
84 Mot inconnu : brightwhite => color header brightwhite default ^(Subject): # From and Subject header | brightwhite
84 Mot inconnu : default => color header brightwhite default ^(Subject): # From and Subject header | default
84 Mot inconnu : Subject => color header brightwhite default ^(Subject): # From and Subject header | subject
84 Mot inconnu : From => color header brightwhite default ^(Subject): # From and Subject header | from
84 Mot inconnu : and => color header brightwhite default ^(Subject): # From and Subject header | and
84 Mot inconnu : Subject => color header brightwhite default ^(Subject): # From and Subject header | subject
84 Mot inconnu : header => color header brightwhite default ^(Subject): # From and Subject header | header

85 Mot inconnu : color => color header brightwhite default ^(Date): # Date header | color
85 Mot inconnu : header => color header brightwhite default ^(Date): # Date header | header
85 Mot inconnu : brightwhite => color header brightwhite default ^(Date): # Date header | brightwhite
85 Mot inconnu : default => color header brightwhite default ^(Date): # Date header | default
85 Mot inconnu : header => color header brightwhite default ^(Date): # Date header | header

86 Mot inconnu : color => color header white default ^(In-Reply-To): | color
86 Mot inconnu : header => color header white default ^(In-Reply-To): | header
86 Mot inconnu : white => color header white default ^(In-Reply-To): | white
86 Mot inconnu : default => color header white default ^(In-Reply-To): | default
86 Mot inconnu : In-Reply-To => color header white default ^(In-Reply-To): | in-reply-to

87 Mot inconnu : color => color indicator brightred default                   # indicator bar | color
87 Mot inconnu : indicator => color indicator brightred default                   # indicator bar | indicator
87 Mot inconnu : brightred => color indicator brightred default                   # indicator bar | brightred
87 Mot inconnu : default => color indicator brightred default                   # indicator bar | default
87 Espace(s) surnuméraire(s) à supprimer. => color indicator brightred default                   # indicator bar |                     => suggestions : [' ']
87 Mot inconnu : indicator => color indicator brightred default                   # indicator bar | indicator

88 Mot inconnu : color => color markers brightblue default            # wrapped line markers (+) | color
88 Mot inconnu : markers => color markers brightblue default            # wrapped line markers (+) | markers
88 Mot inconnu : brightblue => color markers brightblue default            # wrapped line markers (+) | brightblue
88 Mot inconnu : default => color markers brightblue default            # wrapped line markers (+) | default
88 Espace(s) surnuméraire(s) à supprimer. => color markers brightblue default            # wrapped line markers (+) |              => suggestions : [' ']
88 Mot inconnu : wrapped => color markers brightblue default            # wrapped line markers (+) | wrapped
88 Mot inconnu : line => color markers brightblue default            # wrapped line markers (+) | line
88 Mot inconnu : markers => color markers brightblue default            # wrapped line markers (+) | markers

89 Mot inconnu : color => color message brightblack green             # status messages | color
89 Mot inconnu : brightblack => color message brightblack green             # status messages | brightblack
89 Espace(s) surnuméraire(s) à supprimer. => color message brightblack green             # status messages |               => suggestions : [' ']

90 Mot inconnu : color => color normal default default                # default | color
90 Mot inconnu : default => color normal default default                # default | default
90 Doublon. => color normal default default                # default | default default => suggestions : ['default']
90 Mot inconnu : default => color normal default default                # default | default
90 Espace(s) surnuméraire(s) à supprimer. => color normal default default                # default |                  => suggestions : [' ']
90 Mot inconnu : default => color normal default default                # default | default

91 Mot inconnu : color => color quoted yellow default                 # quoted text, 1st quote level | color
91 Mot inconnu : quoted => color quoted yellow default                 # quoted text, 1st quote level | quoted
91 Mot inconnu : yellow => color quoted yellow default                 # quoted text, 1st quote level | yellow
91 Mot inconnu : default => color quoted yellow default                 # quoted text, 1st quote level | default
91 Espace(s) surnuméraire(s) à supprimer. => color quoted yellow default                 # quoted text, 1st quote level |                   => suggestions : [' ']
91 Mot inconnu : quoted => color quoted yellow default                 # quoted text, 1st quote level | quoted
91 Mot inconnu : text => color quoted yellow default                 # quoted text, 1st quote level | text
91 Mot inconnu : quote => color quoted yellow default                 # quoted text, 1st quote level | quote
91 Mot inconnu : level => color quoted yellow default                 # quoted text, 1st quote level | level

92 Mot inconnu : color => color quoted1 green default                 # quoted text, 2nd quote level | color
92 Mot inconnu : quoted1 => color quoted1 green default                 # quoted text, 2nd quote level | quoted1
92 Mot inconnu : default => color quoted1 green default                 # quoted text, 2nd quote level | default
92 Espace(s) surnuméraire(s) à supprimer. => color quoted1 green default                 # quoted text, 2nd quote level |                   => suggestions : [' ']
92 Mot inconnu : quoted => color quoted1 green default                 # quoted text, 2nd quote level | quoted
92 Mot inconnu : text => color quoted1 green default                 # quoted text, 2nd quote level | text
92 Nombre ordinal. Second : 2ᵈ. Seconde : 2ᵈᵉ. Seconds : 2ᵈˢ. Secondes : 2ᵈᵉˢ. => color quoted1 green default                 # quoted text, 2nd quote level | 2nd => suggestions : ['2ᵈ']
92 Mot inconnu : quote => color quoted1 green default                 # quoted text, 2nd quote level | quote
92 Mot inconnu : level => color quoted1 green default                 # quoted text, 2nd quote level | level

93 Mot inconnu : color => color quoted2 brightblue default            # quoted text, 3rd quote level | color
93 Mot inconnu : quoted2 => color quoted2 brightblue default            # quoted text, 3rd quote level | quoted2
93 Mot inconnu : brightblue => color quoted2 brightblue default            # quoted text, 3rd quote level | brightblue
93 Mot inconnu : default => color quoted2 brightblue default            # quoted text, 3rd quote level | default
93 Espace(s) surnuméraire(s) à supprimer. => color quoted2 brightblue default            # quoted text, 3rd quote level |              => suggestions : [' ']
93 Mot inconnu : quoted => color quoted2 brightblue default            # quoted text, 3rd quote level | quoted
93 Mot inconnu : text => color quoted2 brightblue default            # quoted text, 3rd quote level | text
93 Mot inconnu : rd => color quoted2 brightblue default            # quoted text, 3rd quote level | rd
93 Mot inconnu : quote => color quoted2 brightblue default            # quoted text, 3rd quote level | quote
93 Mot inconnu : level => color quoted2 brightblue default            # quoted text, 3rd quote level | level

94 Mot inconnu : color => color quoted3 blue default                  # quoted text, 4th quoet level | color
94 Mot inconnu : quoted3 => color quoted3 blue default                  # quoted text, 4th quoet level | quoted3
94 Mot inconnu : blue => color quoted3 blue default                  # quoted text, 4th quoet level | blue
94 Mot inconnu : default => color quoted3 blue default                  # quoted text, 4th quoet level | default
94 Espace(s) surnuméraire(s) à supprimer. => color quoted3 blue default                  # quoted text, 4th quoet level |                    => suggestions : [' ']
94 Mot inconnu : quoted => color quoted3 blue default                  # quoted text, 4th quoet level | quoted
94 Mot inconnu : text => color quoted3 blue default                  # quoted text, 4th quoet level | text
94 Mot inconnu : quoet => color quoted3 blue default                  # quoted text, 4th quoet level | quoet
94 Mot inconnu : level => color quoted3 blue default                  # quoted text, 4th quoet level | level

95 Mot inconnu : color => color search black yellow                   # matched search patterns in pager | color
95 Mot inconnu : search => color search black yellow                   # matched search patterns in pager | search
95 Mot inconnu : yellow => color search black yellow                   # matched search patterns in pager | yellow
95 Espace(s) surnuméraire(s) à supprimer. => color search black yellow                   # matched search patterns in pager |                     => suggestions : [' ']
95 Mot inconnu : matched => color search black yellow                   # matched search patterns in pager | matched
95 Mot inconnu : search => color search black yellow                   # matched search patterns in pager | search

96 Mot inconnu : color => color signature red default                 # the signature (after sigdashes) | color
96 Mot inconnu : red => color signature red default                 # the signature (after sigdashes) | red
96 Mot inconnu : default => color signature red default                 # the signature (after sigdashes) | default
96 Espace(s) surnuméraire(s) à supprimer. => color signature red default                 # the signature (after sigdashes) |                   => suggestions : [' ']
96 Mot inconnu : the => color signature red default                 # the signature (after sigdashes) | the
96 Mot inconnu : sigdashes => color signature red default                 # the signature (after sigdashes) | sigdashes

97 Mot inconnu : color => color status default blue                   # status lines | color
97 Mot inconnu : default => color status default blue                   # status lines | default
97 Mot inconnu : blue => color status default blue                   # status lines | blue
97 Espace(s) surnuméraire(s) à supprimer. => color status default blue                   # status lines |                     => suggestions : [' ']
97 Mot inconnu : lines => color status default blue                   # status lines | lines

98 Mot inconnu : color => color tilde brightblue default              # ``~'' used to pad blank lines | color
98 Mot inconnu : brightblue => color tilde brightblue default              # ``~'' used to pad blank lines | brightblue
98 Mot inconnu : default => color tilde brightblue default              # ``~'' used to pad blank lines | default
98 Espace(s) surnuméraire(s) à supprimer. => color tilde brightblue default              # ``~'' used to pad blank lines |                => suggestions : [' ']
98 Mot inconnu : used => color tilde brightblue default              # ``~'' used to pad blank lines | used
