
4 Mot inconnu : boot => ====== Créer une disquette de boot avec GRUB ====== | boot
56 Mot inconnu : Grub => Ensuite dans le dossier de Grub de votre installation : | grub

59 Mot inconnu : Grub => On copie les fichiers nécessaires à Grub (stage1 et stage2) : | grub
59 Mot inconnu : stage1 => On copie les fichiers nécessaires à Grub (stage1 et stage2) : | stage1
59 Mot inconnu : stage2 => On copie les fichiers nécessaires à Grub (stage1 et stage2) : | stage2

63 Espace(s) en fin de ligne à supprimer. => Si vous voulez démarrer le système d'exploitation déjà  |   => suggestions : ['']

70 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => dans le répertoire correspondant de la disquette. Retirer les lignes savedefault dans le fichier /media/floppy/boot/grub/menu.lst. | dans => suggestions : ['Dans']
70 Mot inconnu : savedefault => dans le répertoire correspondant de la disquette. Retirer les lignes savedefault dans le fichier /media/floppy/boot/grub/menu.lst. | savedefault
70 Mot inconnu : floppy => dans le répertoire correspondant de la disquette. Retirer les lignes savedefault dans le fichier /media/floppy/boot/grub/menu.lst. | floppy

71 Espace(s) surnuméraire(s) à supprimer. => ==== 4.  Démontage de la disquette ==== |    => suggestions : [' ']

76 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => et démarrez GRUB en mode interactif en tapant grub. Au prompt de GRUB (grub> ), vous devrez taper ces commandes : | et => suggestions : ['Et']
76 Mot inconnu : GRUB => et démarrez GRUB en mode interactif en tapant grub. Au prompt de GRUB (grub> ), vous devrez taper ces commandes : | grub
76 Mot inconnu : grub => et démarrez GRUB en mode interactif en tapant grub. Au prompt de GRUB (grub> ), vous devrez taper ces commandes : | grub
76 Mot inconnu : GRUB => et démarrez GRUB en mode interactif en tapant grub. Au prompt de GRUB (grub> ), vous devrez taper ces commandes : | grub
76 Mot inconnu : grub => et démarrez GRUB en mode interactif en tapant grub. Au prompt de GRUB (grub> ), vous devrez taper ces commandes : | grub
76 Pas d’espace avant ce signe. => et démarrez GRUB en mode interactif en tapant grub. Au prompt de GRUB (grub> ), vous devrez taper ces commandes : |  ) => suggestions : [')']

83 Mot inconnu : kikibelux => kikibelux : device et qui sont inconnus dans le dernier grub, mais c'est efficace ! | kikibelux
83 Mot inconnu : device => kikibelux : device et qui sont inconnus dans le dernier grub, mais c'est efficace ! | device
83 Mot inconnu : grub => kikibelux : device et qui sont inconnus dans le dernier grub, mais c'est efficace ! | grub

85 Espace(s) surnuméraire(s) à supprimer. => ==== 5.  Fin ==== |    => suggestions : [' ']

87 Mot inconnu : GRUB => À ce stade, vous possédez une disquette amorçable. Si vous ajoutez les dossiers supplémentaires mentionnés ci-dessus, vous devriez obtenir un écran standard de GRUB au boot de la machine. | grub
87 Mot inconnu : boot => À ce stade, vous possédez une disquette amorçable. Si vous ajoutez les dossiers supplémentaires mentionnés ci-dessus, vous devriez obtenir un écran standard de GRUB au boot de la machine. | boot

90 Mot inconnu : boot => ===== Création d'une disquette boot avec Windows ===== | boot

92 Mot inconnu : boot => Pour créer une disquette boot pour faire "renaître" grub à partir de notre cher Windows, il  faut télécharger les fichiers de la disquette à [[https://linux.jpvweb.com/documents/floppygrubdos.img|cette adresse]]. | boot
92 Guillemets typographiques ouvrants. => Pour créer une disquette boot pour faire "renaître" grub à partir de notre cher Windows, il  faut télécharger les fichiers de la disquette à [[https://linux.jpvweb.com/documents/floppygrubdos.img|cette adresse]]. | " => suggestions : ['«\xa0', '“']
92 Guillemets typographiques fermants. => Pour créer une disquette boot pour faire "renaître" grub à partir de notre cher Windows, il  faut télécharger les fichiers de la disquette à [[https://linux.jpvweb.com/documents/floppygrubdos.img|cette adresse]]. | " => suggestions : ['\xa0»', '”']
92 Mot inconnu : grub => Pour créer une disquette boot pour faire "renaître" grub à partir de notre cher Windows, il  faut télécharger les fichiers de la disquette à [[https://linux.jpvweb.com/documents/floppygrubdos.img|cette adresse]]. | grub
92 Espace(s) surnuméraire(s) à supprimer. => Pour créer une disquette boot pour faire "renaître" grub à partir de notre cher Windows, il  faut télécharger les fichiers de la disquette à [[https://linux.jpvweb.com/documents/floppygrubdos.img|cette adresse]]. |    => suggestions : [' ']

93 Mot inconnu : write => Une fois téléchargés, vous gravez (en cliquant sur write floppy) les fichiers sur la disquette. Si tout se passe bien la disquette est bootable et vous pouvez redémarrer (sinon réessayez, ça vient peut-être de la disquette...). | write
93 Mot inconnu : floppy => Une fois téléchargés, vous gravez (en cliquant sur write floppy) les fichiers sur la disquette. Si tout se passe bien la disquette est bootable et vous pouvez redémarrer (sinon réessayez, ça vient peut-être de la disquette...). | floppy
93 Mot inconnu : bootable => Une fois téléchargés, vous gravez (en cliquant sur write floppy) les fichiers sur la disquette. Si tout se passe bien la disquette est bootable et vous pouvez redémarrer (sinon réessayez, ça vient peut-être de la disquette...). | bootable
93 Typographie : points de suspension. Utilisez le caractère dédié. => Une fois téléchargés, vous gravez (en cliquant sur write floppy) les fichiers sur la disquette. Si tout se passe bien la disquette est bootable et vous pouvez redémarrer (sinon réessayez, ça vient peut-être de la disquette...). | ... => suggestions : ['…']

94 Mot inconnu : bootez => Vous avez redémarré, vous bootez sur la disquette bien sûr et là vous ne savez pas quoi faire... Il vous vient l'idée d'entrer cette ligne de commande : | bootez
94 Typographie : points de suspension. Utilisez le caractère dédié. => Vous avez redémarré, vous bootez sur la disquette bien sûr et là vous ne savez pas quoi faire... Il vous vient l'idée d'entrer cette ligne de commande : | ... => suggestions : ['…']

99 Mot inconnu : partitons => Attention il est possible selon vos partitons que ce soit hd0,1... | partitons
99 Mot inconnu : hd0 => Attention il est possible selon vos partitons que ce soit hd0,1... | hd0
99 Il manque un espace. => Attention il est possible selon vos partitons que ce soit hd0,1... | 1 => suggestions : [' 1']
99 Typographie : points de suspension. Utilisez le caractère dédié. => Attention il est possible selon vos partitons que ce soit hd0,1... | ... => suggestions : ['…']

100 Mot inconnu : grub => Si tout va bien, grub se lance et vous propose les différents boot habituels. | grub
100 Mot inconnu : boot => Si tout va bien, grub se lance et vous propose les différents boot habituels. | boot

101 Mot inconnu : booter => Essayez de booter normalement (personnellement ça n'a pas marché car le fichier savedefault manque). Maintenant que vous vous êtes assuré que cela ne fonctionnait pas, vous relancez votre PC, rebootez sur la disquette et rentrez à nouveau la précédente ligne de commande. Cette fois bootez en recovery mode. Une fois votre Ubuntu lancé il vous vient encore une merveilleuse idée, tapez : | booter
101 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => Essayez de booter normalement (personnellement ça n'a pas marché car le fichier savedefault manque). Maintenant que vous vous êtes assuré que cela ne fonctionnait pas, vous relancez votre PC, rebootez sur la disquette et rentrez à nouveau la précédente ligne de commande. Cette fois bootez en recovery mode. Une fois votre Ubuntu lancé il vous vient encore une merveilleuse idée, tapez : |  car => suggestions : [', car']
101 Mot inconnu : savedefault => Essayez de booter normalement (personnellement ça n'a pas marché car le fichier savedefault manque). Maintenant que vous vous êtes assuré que cela ne fonctionnait pas, vous relancez votre PC, rebootez sur la disquette et rentrez à nouveau la précédente ligne de commande. Cette fois bootez en recovery mode. Une fois votre Ubuntu lancé il vous vient encore une merveilleuse idée, tapez : | savedefault
101 Mot inconnu : rebootez => Essayez de booter normalement (personnellement ça n'a pas marché car le fichier savedefault manque). Maintenant que vous vous êtes assuré que cela ne fonctionnait pas, vous relancez votre PC, rebootez sur la disquette et rentrez à nouveau la précédente ligne de commande. Cette fois bootez en recovery mode. Une fois votre Ubuntu lancé il vous vient encore une merveilleuse idée, tapez : | rebootez
101 Mot inconnu : bootez => Essayez de booter normalement (personnellement ça n'a pas marché car le fichier savedefault manque). Maintenant que vous vous êtes assuré que cela ne fonctionnait pas, vous relancez votre PC, rebootez sur la disquette et rentrez à nouveau la précédente ligne de commande. Cette fois bootez en recovery mode. Une fois votre Ubuntu lancé il vous vient encore une merveilleuse idée, tapez : | bootez
101 Mot inconnu : recovery => Essayez de booter normalement (personnellement ça n'a pas marché car le fichier savedefault manque). Maintenant que vous vous êtes assuré que cela ne fonctionnait pas, vous relancez votre PC, rebootez sur la disquette et rentrez à nouveau la précédente ligne de commande. Cette fois bootez en recovery mode. Une fois votre Ubuntu lancé il vous vient encore une merveilleuse idée, tapez : | recovery

108 Mot inconnu : bootez => Relancez votre PC et bootez normalement. Le tour est joué et vous vous dites que vous devenez vraiment très fort.:?: | bootez
108 Une de ces ponctuations est superflue. => Relancez votre PC et bootez normalement. Le tour est joué et vous vous dites que vous devenez vraiment très fort.:?: | :? => suggestions : [':', '?']

109 Mot inconnu : MBR => ===== Sauvegarde du MBR ===== | mbr

111 Mot inconnu : MBR => Si vous êtes paranoïaque et que vous voulez une copie du MBR du disque sur disquette (exemple, boot.mbr), procédez comme suit (le MBR se trouvant sur hda)(seulement en recovery mode !): | mbr
111 Mot inconnu : boot => Si vous êtes paranoïaque et que vous voulez une copie du MBR du disque sur disquette (exemple, boot.mbr), procédez comme suit (le MBR se trouvant sur hda)(seulement en recovery mode !): | boot
111 Mot inconnu : mbr => Si vous êtes paranoïaque et que vous voulez une copie du MBR du disque sur disquette (exemple, boot.mbr), procédez comme suit (le MBR se trouvant sur hda)(seulement en recovery mode !): | mbr
111 Mot inconnu : MBR => Si vous êtes paranoïaque et que vous voulez une copie du MBR du disque sur disquette (exemple, boot.mbr), procédez comme suit (le MBR se trouvant sur hda)(seulement en recovery mode !): | mbr
111 Mot inconnu : hda => Si vous êtes paranoïaque et que vous voulez une copie du MBR du disque sur disquette (exemple, boot.mbr), procédez comme suit (le MBR se trouvant sur hda)(seulement en recovery mode !): | hda
111 Mot inconnu : recovery => Si vous êtes paranoïaque et que vous voulez une copie du MBR du disque sur disquette (exemple, boot.mbr), procédez comme suit (le MBR se trouvant sur hda)(seulement en recovery mode !): | recovery

126 Mot inconnu : primary => Dès lors, pour sauvegarder le primary boot loader SANS la table :  | primary
126 Mot inconnu : boot => Dès lors, pour sauvegarder le primary boot loader SANS la table :  | boot
126 Espace(s) en fin de ligne à supprimer. => Dès lors, pour sauvegarder le primary boot loader SANS la table :  |   => suggestions : ['']

132 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. => -et- pour sauvegarde la table des partitions: | - => suggestions : ['—\xa0', '–\xa0']

138 Pas d’espace après ce signe. => ( cfr man sfdisk ... | (  => suggestions : ['(']
138 Mot inconnu : cfr => ( cfr man sfdisk ... | cfr
138 Mot inconnu : sfdisk => ( cfr man sfdisk ... | sfdisk
138 Typographie : points de suspension. Utilisez le caractère dédié. => ( cfr man sfdisk ... | ... => suggestions : ['…']
