
4 Mot inconnu : LIRC => ====== Paramétrer sa télécommande avec LIRC ====== | lirc
100 Mot inconnu : device => LIRCD_ARGS="--device=/dev/lirc0 --output=/dev/lircd1 --pidfile=/var/run/lircd1.pid --listen" | device
100 Mot inconnu : pidfile => LIRCD_ARGS="--device=/dev/lirc0 --output=/dev/lircd1 --pidfile=/var/run/lircd1.pid --listen" | pidfile
100 Mot inconnu : listen => LIRCD_ARGS="--device=/dev/lirc0 --output=/dev/lircd1 --pidfile=/var/run/lircd1.pid --listen" | listen
100 Guillemets typographiques fermants. => LIRCD_ARGS="--device=/dev/lirc0 --output=/dev/lircd1 --pidfile=/var/run/lircd1.pid --listen" | " => suggestions : ['\xa0»', '”']

101 Mot inconnu : LIRCD2_ARGS => LIRCD2_ARGS="--device=/dev/lirc1 --output=/dev/lircd --pidfile=/var/run/lircd.pid --connect=localhost:8765" | lircd2_args
101 Mot inconnu : device => LIRCD2_ARGS="--device=/dev/lirc1 --output=/dev/lircd --pidfile=/var/run/lircd.pid --connect=localhost:8765" | device
101 Mot inconnu : pidfile => LIRCD2_ARGS="--device=/dev/lirc1 --output=/dev/lircd --pidfile=/var/run/lircd.pid --connect=localhost:8765" | pidfile
101 Mot inconnu : connect => LIRCD2_ARGS="--device=/dev/lirc1 --output=/dev/lircd --pidfile=/var/run/lircd.pid --connect=localhost:8765" | connect
101 Mot inconnu : localhost => LIRCD2_ARGS="--device=/dev/lirc1 --output=/dev/lircd --pidfile=/var/run/lircd.pid --connect=localhost:8765" | localhost
101 Il manque un espace. => LIRCD2_ARGS="--device=/dev/lirc1 --output=/dev/lircd --pidfile=/var/run/lircd.pid --connect=localhost:8765" | 8765 => suggestions : [' 8765']
101 Guillemets typographiques fermants. => LIRCD2_ARGS="--device=/dev/lirc1 --output=/dev/lircd --pidfile=/var/run/lircd.pid --connect=localhost:8765" | " => suggestions : ['\xa0»', '”']

127 Mot inconnu : LIRC => Démarrez LIRC : | lirc

130 Mot inconnu : lircd => Vous devriez avoir deux lircd actifs. Tout processus lirc qui tentera d'interagir avec lircd devra se faire spécifier un paramètre lui indiquant à quelle instance il s'adresse. | lircd
130 Mot inconnu : lirc => Vous devriez avoir deux lircd actifs. Tout processus lirc qui tentera d'interagir avec lircd devra se faire spécifier un paramètre lui indiquant à quelle instance il s'adresse. | lirc
130 Mot inconnu : lircd => Vous devriez avoir deux lircd actifs. Tout processus lirc qui tentera d'interagir avec lircd devra se faire spécifier un paramètre lui indiquant à quelle instance il s'adresse. | lircd

141 Mot inconnu : i2c => Les émetteurs utilisant i2c ont une configuration spécifique car n'utilisant plus LIRC (Voir ir-keytable) | i2c
141 Mot inconnu : LIRC => Les émetteurs utilisant i2c ont une configuration spécifique car n'utilisant plus LIRC (Voir ir-keytable) | lirc
141 Mot inconnu : ir-keytable => Les émetteurs utilisant i2c ont une configuration spécifique car n'utilisant plus LIRC (Voir ir-keytable) | ir-keytable

151 Mot inconnu : CommandIR => === Récepteur infrarouge et quadruple-transmetteur CommandIR === | commandir

155 Mot inconnu : MCEUSB2 => === Transmetteur infrarouge MCEUSB2 === | mceusb2

157 Accord de nombre erroné : « transmetteur » devrait être au pluriel. => Les paquets de Hardy possèdent le support pour les transmetteur MCEUSB2. | transmetteur => suggestions : ['transmetteurs']
157 Mot inconnu : MCEUSB2 => Les paquets de Hardy possèdent le support pour les transmetteur MCEUSB2. | mceusb2

159 Mot inconnu : PVR-150 => === Transmetteur infrarouge de la carte PVR-150==== | pvr-150

163 Mot inconnu : PVR-150 => == Copie du micrologiciel PVR-150 == | pvr-150

165 Mot inconnu : Hauppauge => Téléchargez le micrologiciel Hauppauge et ajoutez le jeu de codes approprié à votre fichier lircd.conf pour le périphérique que vous voulez contrôler. | hauppauge
165 Mot inconnu : lircd => Téléchargez le micrologiciel Hauppauge et ajoutez le jeu de codes approprié à votre fichier lircd.conf pour le périphérique que vous voulez contrôler. | lircd
165 Il manque un espace. => Téléchargez le micrologiciel Hauppauge et ajoutez le jeu de codes approprié à votre fichier lircd.conf pour le périphérique que vous voulez contrôler. | conf => suggestions : [' conf']

179 Mot inconnu : Motorola => À titre d'exemple, pour //blaster// un bouton de marche pour un récepteur de câble Motorola DCT6200, il faut utiliser le code pour le bouton correspondant avec le code 85 (correspondant au récepteur). Dans ce cas, on obtient le code 0_85_KEY_POWER où : | motorola
179 Mot inconnu : DCT6200 => À titre d'exemple, pour //blaster// un bouton de marche pour un récepteur de câble Motorola DCT6200, il faut utiliser le code pour le bouton correspondant avec le code 85 (correspondant au récepteur). Dans ce cas, on obtient le code 0_85_KEY_POWER où : | dct6200
179 Mot inconnu : _85_KEY_POWER => À titre d'exemple, pour //blaster// un bouton de marche pour un récepteur de câble Motorola DCT6200, il faut utiliser le code pour le bouton correspondant avec le code 85 (correspondant au récepteur). Dans ce cas, on obtient le code 0_85_KEY_POWER où : | _85_key_power

187 Mot inconnu : begin => begin remote | begin
187 Mot inconnu : remote => begin remote | remote

201 Mot inconnu : name => <file>    name 0_85_KEY_POWER | name
201 Mot inconnu : _85_KEY_POWER => <file>    name 0_85_KEY_POWER | _85_key_power

204 Mot inconnu : name => <file>   name POWER | name
204 Mot inconnu : POWER => <file>   name POWER | power

210 Mot inconnu : end => <file>end raw_codes | end
210 Mot inconnu : raw_codes => <file>end raw_codes | raw_codes

211 Mot inconnu : end => end remote</file> | end
211 Mot inconnu : remote => end remote</file> | remote

213 Mot inconnu : begin => <file>begin remote | begin
213 Mot inconnu : remote => <file>begin remote | remote

226 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  end raw_codes |   => suggestions : ['']
226 Mot inconnu : end =>  end raw_codes | end
226 Mot inconnu : raw_codes =>  end raw_codes | raw_codes

227 Mot inconnu : end => end remote</file> | end
227 Mot inconnu : remote => end remote</file> | remote

235 Mot inconnu : DCT6200 => Elle allume et éteint le récepteur DCT6200. Même si elle ne contrôle pas l'appareil comme prévu, vous devriez voir l'émetteur émettre des signaux lumineux. | dct6200

241 Mot inconnu : lircd => === Création d'un fichier lircd.conf === | lircd
241 Il manque un espace. => === Création d'un fichier lircd.conf === | conf => suggestions : [' conf']

244 Mot inconnu : include => <file>include ~/émetteur/lircd.conf</file> | include
244 Mot inconnu : lircd => <file>include ~/émetteur/lircd.conf</file> | lircd
244 Il manque un espace. => <file>include ~/émetteur/lircd.conf</file> | conf => suggestions : [' conf']

246 Mot inconnu : LIRC => === Redémarrage de LIRC === | lirc

248 Mot inconnu : lircd => Pour prendre en compte les modifications sur les fichiers lircd.conf, il faut redémarrer LIRC avec la commande suivante : | lircd
248 Il manque un espace. => Pour prendre en compte les modifications sur les fichiers lircd.conf, il faut redémarrer LIRC avec la commande suivante : | conf => suggestions : [' conf']
248 Mot inconnu : LIRC => Pour prendre en compte les modifications sur les fichiers lircd.conf, il faut redémarrer LIRC avec la commande suivante : | lirc
261 Mot inconnu : my_favourite_remote => Ceci va transmettre le bouton de marche pour la télécommande « my_favourite_remote » en utilisant le processus lircd primaire. | my_favourite_remote
261 Mot inconnu : lircd => Ceci va transmettre le bouton de marche pour la télécommande « my_favourite_remote » en utilisant le processus lircd primaire. | lircd

263 Incohérence avec “de” : “fonctionne” est une forme verbale conjuguée. => Si la transmission de fonctionne pas immédiatement, la meilleure méthode pour commencer un diagnostic est d'utiliser un appareil photo numérique. Allumez l'appareil photo et regardez la [[http://fr.wikipedia.org/wiki/Diode_électroluminescente|DÉL]] infrarouge de laquelle vous essayez de transmettre à travers l'objectif. Vous devriez voir des flashs violets venant de la DÉL infrarouge quand vous essayez de transmettre. Si vous ne voyez rien, votre appareil ne transmet rien. | fonctionne => suggestions : []
263 S’il s’agit d’un impératif, mettez un trait d’union. => Si la transmission de fonctionne pas immédiatement, la meilleure méthode pour commencer un diagnostic est d'utiliser un appareil photo numérique. Allumez l'appareil photo et regardez la [[http://fr.wikipedia.org/wiki/Diode_électroluminescente|DÉL]] infrarouge de laquelle vous essayez de transmettre à travers l'objectif. Vous devriez voir des flashs violets venant de la DÉL infrarouge quand vous essayez de transmettre. Si vous ne voyez rien, votre appareil ne transmet rien. | regardez la => suggestions : ['regardez-la']

266 Mot inconnu : InputLirc => ==== InputLirc ==== | inputlirc
268 Mot inconnu : inputlirc => Il faut donc installer **[[apt>inputlirc]]**. | inputlirc

272 Mot inconnu : EventX => Pour le configurer, il faut connaître le numéro du EventX correspondant à votre récepteur IR : | eventx
272 Mot inconnu : IR => Pour le configurer, il faut connaître le numéro du EventX correspondant à votre récepteur IR : | ir

276 Mot inconnu : Zbox => Par exemple, sur une Zbox nano, vous pourrez obtenir : | zbox
276 Mot inconnu : nano => Par exemple, sur une Zbox nano, vous pourrez obtenir : | nano

287 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

289 Mot inconnu : EVENTS => <file>EVENTS="/dev/input/event7" | events

290 Il manque un espace à côté du tiret. => OPTIONS="-g -m 0 -c"</file> |  - => suggestions : [' – ', ' — ']
290 Guillemets typographiques fermants. => OPTIONS="-g -m 0 -c"</file> | " => suggestions : ['\xa0»', '”']
292 Mot inconnu : IR => <note>[cas particulier ?]  Lorsque vous débranchez et rebrancher votre récepteur IR, le numero eventX  peut changer. Voir plus bas comment s'affranchir de cet inconvénient</note> | ir
292 Mot inconnu : numero => <note>[cas particulier ?]  Lorsque vous débranchez et rebrancher votre récepteur IR, le numero eventX  peut changer. Voir plus bas comment s'affranchir de cet inconvénient</note> | numero
292 Mot inconnu : eventX => <note>[cas particulier ?]  Lorsque vous débranchez et rebrancher votre récepteur IR, le numero eventX  peut changer. Voir plus bas comment s'affranchir de cet inconvénient</note> | eventx
292 Espace(s) surnuméraire(s) à supprimer. => <note>[cas particulier ?]  Lorsque vous débranchez et rebrancher votre récepteur IR, le numero eventX  peut changer. Voir plus bas comment s'affranchir de cet inconvénient</note> |    => suggestions : [' ']

294 Mot inconnu : inputLirc => Il ne reste plus qu'à redémarrer inputLirc : | inputlirc

298 Mot inconnu : lirc => Et tester que maintenant, votre télécommande est bien reconnue et que l'appui de touche renvoie le bon code lirc : | lirc

302 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => <note warning>la commande irw fait partie du paquet Lirc qu'il faut donc installer pour l'utiliser. Rappelons que InputLirc et Lirc sont incompatibles. Assurez vous bien que le daemon Lircd n'est pas lancé !</note> | la => suggestions : ['La']
302 Mot inconnu : irw => <note warning>la commande irw fait partie du paquet Lirc qu'il faut donc installer pour l'utiliser. Rappelons que InputLirc et Lirc sont incompatibles. Assurez vous bien que le daemon Lircd n'est pas lancé !</note> | irw
302 Mot inconnu : Lirc => <note warning>la commande irw fait partie du paquet Lirc qu'il faut donc installer pour l'utiliser. Rappelons que InputLirc et Lirc sont incompatibles. Assurez vous bien que le daemon Lircd n'est pas lancé !</note> | lirc
302 Mot inconnu : InputLirc => <note warning>la commande irw fait partie du paquet Lirc qu'il faut donc installer pour l'utiliser. Rappelons que InputLirc et Lirc sont incompatibles. Assurez vous bien que le daemon Lircd n'est pas lancé !</note> | inputlirc
302 Mot inconnu : Lirc => <note warning>la commande irw fait partie du paquet Lirc qu'il faut donc installer pour l'utiliser. Rappelons que InputLirc et Lirc sont incompatibles. Assurez vous bien que le daemon Lircd n'est pas lancé !</note> | lirc
302 Forme interrogative ? Mettez un trait d’union. => <note warning>la commande irw fait partie du paquet Lirc qu'il faut donc installer pour l'utiliser. Rappelons que InputLirc et Lirc sont incompatibles. Assurez vous bien que le daemon Lircd n'est pas lancé !</note> | assurez vous => suggestions : ['Assurez-vous']
302 Mot inconnu : daemon => <note warning>la commande irw fait partie du paquet Lirc qu'il faut donc installer pour l'utiliser. Rappelons que InputLirc et Lirc sont incompatibles. Assurez vous bien que le daemon Lircd n'est pas lancé !</note> | daemon
302 Mot inconnu : Lircd => <note warning>la commande irw fait partie du paquet Lirc qu'il faut donc installer pour l'utiliser. Rappelons que InputLirc et Lirc sont incompatibles. Assurez vous bien que le daemon Lircd n'est pas lancé !</note> | lircd

303 Mot inconnu : numero => ==== Cas où le numero EventX change de temps en temps ==== | numero
303 Mot inconnu : EventX => ==== Cas où le numero EventX change de temps en temps ==== | eventx

304 Mot inconnu : numero => Il arrive que le numero EventX change parfois. Lors d'un redémarrage ou lorsque l'on débranche puis rebranche son récepteur IR USB. Il faut alors créer une règle permanente avec Udev.\\ | numero
304 Mot inconnu : EventX => Il arrive que le numero EventX change parfois. Lors d'un redémarrage ou lorsque l'on débranche puis rebranche son récepteur IR USB. Il faut alors créer une règle permanente avec Udev.\\ | eventx
304 Mot inconnu : IR => Il arrive que le numero EventX change parfois. Lors d'un redémarrage ou lorsque l'on débranche puis rebranche son récepteur IR USB. Il faut alors créer une règle permanente avec Udev.\\ | ir
304 Mot inconnu : Udev => Il arrive que le numero EventX change parfois. Lors d'un redémarrage ou lorsque l'on débranche puis rebranche son récepteur IR USB. Il faut alors créer une règle permanente avec Udev.\\ | udev

305 Mot inconnu : IR => Commençons par rechercher un peu plus d'information sur votre récepteur IR en tapant (remplacer event8 par le numéro d'eventX correspondant dans cette cession à votre récepteur IR) : | ir
305 Mot inconnu : event8 => Commençons par rechercher un peu plus d'information sur votre récepteur IR en tapant (remplacer event8 par le numéro d'eventX correspondant dans cette cession à votre récepteur IR) : | event8
305 Mot inconnu : eventX => Commençons par rechercher un peu plus d'information sur votre récepteur IR en tapant (remplacer event8 par le numéro d'eventX correspondant dans cette cession à votre récepteur IR) : | eventx
305 Mot inconnu : IR => Commençons par rechercher un peu plus d'information sur votre récepteur IR en tapant (remplacer event8 par le numéro d'eventX correspondant dans cette cession à votre récepteur IR) : | ir

350 Mot inconnu : Redemarrez => Redemarrez Udev pour que les changements prennent effet : | redemarrez
350 Mot inconnu : Udev => Redemarrez Udev pour que les changements prennent effet : | udev

355 Mot inconnu : InputLirc => N'oubliez pas pour terminer de reconfigurer InputLirc : | inputlirc

357 Mot inconnu : EVENTS => <file>EVENTS="/dev/input/MaTelecommande" | events

358 Il manque un espace à côté du tiret. => OPTIONS="-g -m 0 -c"</file> |  - => suggestions : [' – ', ' — ']
358 Guillemets typographiques fermants. => OPTIONS="-g -m 0 -c"</file> | " => suggestions : ['\xa0»', '”']

360 Mot inconnu : redemarrer => Et redemarrer inputLirc : | redemarrer
360 Mot inconnu : inputLirc => Et redemarrer inputLirc : | inputlirc
374 Espace(s) surnuméraire(s) à supprimer. => //Contributeurs : [[utilisateurs:Jonas]], [[utilisateurs:Ju]], [[utilisateurs:zetotof]], [[utilisateurs:Julius22]],  [[utilisateurs:zarmu]]// |    => suggestions : [' ']
