
4 Mot inconnu : wxWidgets => ====== wxWidgets - programmation d'interface multiplate-formes ====== | wxwidgets
14 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * Python - wxPython , Perl - wxPerl , BASIC - wxBasic, Lua - wxLua, OCaml - wxCaml, JavaScript - wxJavaScript, Java - wxJava ou wx4j, Ruby - wxRuby, Eiffel - wxEiffel, Haskell - wxHaskell, C#/.NET - wx.NET, Euphoria - wxEuphoria, D - wxD |  -  => suggestions : [' – ', ' — ', ' − ']
14 Mot inconnu : wxPython =>     * Python - wxPython , Perl - wxPerl , BASIC - wxBasic, Lua - wxLua, OCaml - wxCaml, JavaScript - wxJavaScript, Java - wxJava ou wx4j, Ruby - wxRuby, Eiffel - wxEiffel, Haskell - wxHaskell, C#/.NET - wx.NET, Euphoria - wxEuphoria, D - wxD | wxpython
14 Pas d’espace avant une virgule. =>     * Python - wxPython , Perl - wxPerl , BASIC - wxBasic, Lua - wxLua, OCaml - wxCaml, JavaScript - wxJavaScript, Java - wxJava ou wx4j, Ruby - wxRuby, Eiffel - wxEiffel, Haskell - wxHaskell, C#/.NET - wx.NET, Euphoria - wxEuphoria, D - wxD |  , => suggestions : [',']
14 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * Python - wxPython , Perl - wxPerl , BASIC - wxBasic, Lua - wxLua, OCaml - wxCaml, JavaScript - wxJavaScript, Java - wxJava ou wx4j, Ruby - wxRuby, Eiffel - wxEiffel, Haskell - wxHaskell, C#/.NET - wx.NET, Euphoria - wxEuphoria, D - wxD |  -  => suggestions : [' – ', ' — ', ' − ']
14 Mot inconnu : wxPerl =>     * Python - wxPython , Perl - wxPerl , BASIC - wxBasic, Lua - wxLua, OCaml - wxCaml, JavaScript - wxJavaScript, Java - wxJava ou wx4j, Ruby - wxRuby, Eiffel - wxEiffel, Haskell - wxHaskell, C#/.NET - wx.NET, Euphoria - wxEuphoria, D - wxD | wxperl
14 Pas d’espace avant une virgule. =>     * Python - wxPython , Perl - wxPerl , BASIC - wxBasic, Lua - wxLua, OCaml - wxCaml, JavaScript - wxJavaScript, Java - wxJava ou wx4j, Ruby - wxRuby, Eiffel - wxEiffel, Haskell - wxHaskell, C#/.NET - wx.NET, Euphoria - wxEuphoria, D - wxD |  , => suggestions : [',']
14 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * Python - wxPython , Perl - wxPerl , BASIC - wxBasic, Lua - wxLua, OCaml - wxCaml, JavaScript - wxJavaScript, Java - wxJava ou wx4j, Ruby - wxRuby, Eiffel - wxEiffel, Haskell - wxHaskell, C#/.NET - wx.NET, Euphoria - wxEuphoria, D - wxD |  -  => suggestions : [' – ', ' — ', ' − ']
14 Mot inconnu : wxBasic =>     * Python - wxPython , Perl - wxPerl , BASIC - wxBasic, Lua - wxLua, OCaml - wxCaml, JavaScript - wxJavaScript, Java - wxJava ou wx4j, Ruby - wxRuby, Eiffel - wxEiffel, Haskell - wxHaskell, C#/.NET - wx.NET, Euphoria - wxEuphoria, D - wxD | wxbasic
14 Mot inconnu : Lua =>     * Python - wxPython , Perl - wxPerl , BASIC - wxBasic, Lua - wxLua, OCaml - wxCaml, JavaScript - wxJavaScript, Java - wxJava ou wx4j, Ruby - wxRuby, Eiffel - wxEiffel, Haskell - wxHaskell, C#/.NET - wx.NET, Euphoria - wxEuphoria, D - wxD | lua
14 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * Python - wxPython , Perl - wxPerl , BASIC - wxBasic, Lua - wxLua, OCaml - wxCaml, JavaScript - wxJavaScript, Java - wxJava ou wx4j, Ruby - wxRuby, Eiffel - wxEiffel, Haskell - wxHaskell, C#/.NET - wx.NET, Euphoria - wxEuphoria, D - wxD |  -  => suggestions : [' – ', ' — ', ' − ']
14 Mot inconnu : wxLua =>     * Python - wxPython , Perl - wxPerl , BASIC - wxBasic, Lua - wxLua, OCaml - wxCaml, JavaScript - wxJavaScript, Java - wxJava ou wx4j, Ruby - wxRuby, Eiffel - wxEiffel, Haskell - wxHaskell, C#/.NET - wx.NET, Euphoria - wxEuphoria, D - wxD | wxlua
14 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * Python - wxPython , Perl - wxPerl , BASIC - wxBasic, Lua - wxLua, OCaml - wxCaml, JavaScript - wxJavaScript, Java - wxJava ou wx4j, Ruby - wxRuby, Eiffel - wxEiffel, Haskell - wxHaskell, C#/.NET - wx.NET, Euphoria - wxEuphoria, D - wxD |  -  => suggestions : [' – ', ' — ', ' − ']
14 Mot inconnu : wxCaml =>     * Python - wxPython , Perl - wxPerl , BASIC - wxBasic, Lua - wxLua, OCaml - wxCaml, JavaScript - wxJavaScript, Java - wxJava ou wx4j, Ruby - wxRuby, Eiffel - wxEiffel, Haskell - wxHaskell, C#/.NET - wx.NET, Euphoria - wxEuphoria, D - wxD | wxcaml
14 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * Python - wxPython , Perl - wxPerl , BASIC - wxBasic, Lua - wxLua, OCaml - wxCaml, JavaScript - wxJavaScript, Java - wxJava ou wx4j, Ruby - wxRuby, Eiffel - wxEiffel, Haskell - wxHaskell, C#/.NET - wx.NET, Euphoria - wxEuphoria, D - wxD |  -  => suggestions : [' – ', ' — ', ' − ']
14 Mot inconnu : wxJavaScript =>     * Python - wxPython , Perl - wxPerl , BASIC - wxBasic, Lua - wxLua, OCaml - wxCaml, JavaScript - wxJavaScript, Java - wxJava ou wx4j, Ruby - wxRuby, Eiffel - wxEiffel, Haskell - wxHaskell, C#/.NET - wx.NET, Euphoria - wxEuphoria, D - wxD | wxjavascript
14 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * Python - wxPython , Perl - wxPerl , BASIC - wxBasic, Lua - wxLua, OCaml - wxCaml, JavaScript - wxJavaScript, Java - wxJava ou wx4j, Ruby - wxRuby, Eiffel - wxEiffel, Haskell - wxHaskell, C#/.NET - wx.NET, Euphoria - wxEuphoria, D - wxD |  -  => suggestions : [' – ', ' — ', ' − ']
14 Mot inconnu : wxJava =>     * Python - wxPython , Perl - wxPerl , BASIC - wxBasic, Lua - wxLua, OCaml - wxCaml, JavaScript - wxJavaScript, Java - wxJava ou wx4j, Ruby - wxRuby, Eiffel - wxEiffel, Haskell - wxHaskell, C#/.NET - wx.NET, Euphoria - wxEuphoria, D - wxD | wxjava
14 Mot inconnu : wx4j =>     * Python - wxPython , Perl - wxPerl , BASIC - wxBasic, Lua - wxLua, OCaml - wxCaml, JavaScript - wxJavaScript, Java - wxJava ou wx4j, Ruby - wxRuby, Eiffel - wxEiffel, Haskell - wxHaskell, C#/.NET - wx.NET, Euphoria - wxEuphoria, D - wxD | wx4j
14 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * Python - wxPython , Perl - wxPerl , BASIC - wxBasic, Lua - wxLua, OCaml - wxCaml, JavaScript - wxJavaScript, Java - wxJava ou wx4j, Ruby - wxRuby, Eiffel - wxEiffel, Haskell - wxHaskell, C#/.NET - wx.NET, Euphoria - wxEuphoria, D - wxD |  -  => suggestions : [' – ', ' — ', ' − ']
14 Mot inconnu : wxRuby =>     * Python - wxPython , Perl - wxPerl , BASIC - wxBasic, Lua - wxLua, OCaml - wxCaml, JavaScript - wxJavaScript, Java - wxJava ou wx4j, Ruby - wxRuby, Eiffel - wxEiffel, Haskell - wxHaskell, C#/.NET - wx.NET, Euphoria - wxEuphoria, D - wxD | wxruby
14 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * Python - wxPython , Perl - wxPerl , BASIC - wxBasic, Lua - wxLua, OCaml - wxCaml, JavaScript - wxJavaScript, Java - wxJava ou wx4j, Ruby - wxRuby, Eiffel - wxEiffel, Haskell - wxHaskell, C#/.NET - wx.NET, Euphoria - wxEuphoria, D - wxD |  -  => suggestions : [' – ', ' — ', ' − ']
14 Mot inconnu : wxEiffel =>     * Python - wxPython , Perl - wxPerl , BASIC - wxBasic, Lua - wxLua, OCaml - wxCaml, JavaScript - wxJavaScript, Java - wxJava ou wx4j, Ruby - wxRuby, Eiffel - wxEiffel, Haskell - wxHaskell, C#/.NET - wx.NET, Euphoria - wxEuphoria, D - wxD | wxeiffel
14 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * Python - wxPython , Perl - wxPerl , BASIC - wxBasic, Lua - wxLua, OCaml - wxCaml, JavaScript - wxJavaScript, Java - wxJava ou wx4j, Ruby - wxRuby, Eiffel - wxEiffel, Haskell - wxHaskell, C#/.NET - wx.NET, Euphoria - wxEuphoria, D - wxD |  -  => suggestions : [' – ', ' — ', ' − ']
14 Mot inconnu : wxHaskell =>     * Python - wxPython , Perl - wxPerl , BASIC - wxBasic, Lua - wxLua, OCaml - wxCaml, JavaScript - wxJavaScript, Java - wxJava ou wx4j, Ruby - wxRuby, Eiffel - wxEiffel, Haskell - wxHaskell, C#/.NET - wx.NET, Euphoria - wxEuphoria, D - wxD | wxhaskell
14 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * Python - wxPython , Perl - wxPerl , BASIC - wxBasic, Lua - wxLua, OCaml - wxCaml, JavaScript - wxJavaScript, Java - wxJava ou wx4j, Ruby - wxRuby, Eiffel - wxEiffel, Haskell - wxHaskell, C#/.NET - wx.NET, Euphoria - wxEuphoria, D - wxD |  -  => suggestions : [' – ', ' — ', ' − ']
14 Mot inconnu : wx =>     * Python - wxPython , Perl - wxPerl , BASIC - wxBasic, Lua - wxLua, OCaml - wxCaml, JavaScript - wxJavaScript, Java - wxJava ou wx4j, Ruby - wxRuby, Eiffel - wxEiffel, Haskell - wxHaskell, C#/.NET - wx.NET, Euphoria - wxEuphoria, D - wxD | wx
14 Mot inconnu : Euphoria =>     * Python - wxPython , Perl - wxPerl , BASIC - wxBasic, Lua - wxLua, OCaml - wxCaml, JavaScript - wxJavaScript, Java - wxJava ou wx4j, Ruby - wxRuby, Eiffel - wxEiffel, Haskell - wxHaskell, C#/.NET - wx.NET, Euphoria - wxEuphoria, D - wxD | euphoria
14 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * Python - wxPython , Perl - wxPerl , BASIC - wxBasic, Lua - wxLua, OCaml - wxCaml, JavaScript - wxJavaScript, Java - wxJava ou wx4j, Ruby - wxRuby, Eiffel - wxEiffel, Haskell - wxHaskell, C#/.NET - wx.NET, Euphoria - wxEuphoria, D - wxD |  -  => suggestions : [' – ', ' — ', ' − ']
14 Mot inconnu : wxEuphoria =>     * Python - wxPython , Perl - wxPerl , BASIC - wxBasic, Lua - wxLua, OCaml - wxCaml, JavaScript - wxJavaScript, Java - wxJava ou wx4j, Ruby - wxRuby, Eiffel - wxEiffel, Haskell - wxHaskell, C#/.NET - wx.NET, Euphoria - wxEuphoria, D - wxD | wxeuphoria
14 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * Python - wxPython , Perl - wxPerl , BASIC - wxBasic, Lua - wxLua, OCaml - wxCaml, JavaScript - wxJavaScript, Java - wxJava ou wx4j, Ruby - wxRuby, Eiffel - wxEiffel, Haskell - wxHaskell, C#/.NET - wx.NET, Euphoria - wxEuphoria, D - wxD |  -  => suggestions : [' – ', ' — ', ' − ']
14 Mot inconnu : wxD =>     * Python - wxPython , Perl - wxPerl , BASIC - wxBasic, Lua - wxLua, OCaml - wxCaml, JavaScript - wxJavaScript, Java - wxJava ou wx4j, Ruby - wxRuby, Eiffel - wxEiffel, Haskell - wxHaskell, C#/.NET - wx.NET, Euphoria - wxEuphoria, D - wxD | wxd

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * wxSQLite, wxCurl, wxXml |      => suggestions : ['']
15 Mot inconnu : wxSQLite =>     * wxSQLite, wxCurl, wxXml | wxsqlite
15 Mot inconnu : wxCurl =>     * wxSQLite, wxCurl, wxXml | wxcurl
15 Mot inconnu : wxXml =>     * wxSQLite, wxCurl, wxXml | wxxml

30 Mot inconnu : wxFormBuilder => ====wxFormBuilder - Autre IDE==== | wxformbuilder
30 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => ====wxFormBuilder - Autre IDE==== |  -  => suggestions : [' – ', ' — ', ' − ']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://wxdev.fr/index.php?mod=forum&ac=viewtopic&pid=4256#p4256|Voir sur le forum]] |    => suggestions : ['']

43 Mot inconnu : wxGTK => Commencez par télécharger wxGTK sur le site officiel: | wxgtk

47 Mot inconnu : wget => <del>   wget http://switch.dl.sourceforge.net/sourceforge/wxwindows/wxGTK-2.8.8.tar.gz | wget

49 Si “Mo” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => Il pèse environ 13 Mo. | 13 mo => suggestions : ['13\xa0Mo']

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    cd /home/user/wxGTK-2.8.8 |     => suggestions : ['']
53 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>    cd /home/user/wxGTK-2.8.8 | -2 => suggestions : ['−2', '– 2', '— 2']

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    ./configure |     => suggestions : ['']

59 Accord de nombre erroné avec « les dépendances » : « nécessaire » devrait être au pluriel. => Le script va chercher si toutes les dépendances nécessaire à wxWidgets sont installées. Il demande notamment [[apt://libgtk2.0-dev]] | nécessaire => suggestions : ['nécessaires']
59 Mot inconnu : wxWidgets => Le script va chercher si toutes les dépendances nécessaire à wxWidgets sont installées. Il demande notamment [[apt://libgtk2.0-dev]] | wxwidgets
59 Mot inconnu : gtk2 => Le script va chercher si toutes les dépendances nécessaire à wxWidgets sont installées. Il demande notamment [[apt://libgtk2.0-dev]] | gtk2
59 Mot inconnu : dev => Le script va chercher si toutes les dépendances nécessaire à wxWidgets sont installées. Il demande notamment [[apt://libgtk2.0-dev]] | dev

63 Mot inconnu : wxWidgets => Après cela vous devez compiler wxWidgets : | wxwidgets

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    make |     => suggestions : ['']
65 Mot inconnu : make =>    make | make

66 Mot inconnu : multicoeur => <note tip>Si vous avez un processeur multicoeur, à la place de taper make ( ci dessous ) utilisez plutôt : | multicoeur
66 Mot inconnu : make => <note tip>Si vous avez un processeur multicoeur, à la place de taper make ( ci dessous ) utilisez plutôt : | make
66 Pas d’espace après ce signe. => <note tip>Si vous avez un processeur multicoeur, à la place de taper make ( ci dessous ) utilisez plutôt : | (  => suggestions : ['(']
66 Il manque un trait d’union. => <note tip>Si vous avez un processeur multicoeur, à la place de taper make ( ci dessous ) utilisez plutôt : | ci dessous => suggestions : ['ci-dessous']
66 Pas d’espace avant ce signe. => <note tip>Si vous avez un processeur multicoeur, à la place de taper make ( ci dessous ) utilisez plutôt : |  ) => suggestions : [')']

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     |     => suggestions : ['']

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    make -j2 |     => suggestions : ['']
68 Mot inconnu : make =>    make -j2 | make
68 Il manque un espace à côté du tiret. =>    make -j2 |  - => suggestions : [' – ', ' — ']
68 Mot inconnu : j2 =>    make -j2 | j2

70 Espace(s) surnuméraire(s) à supprimer. => où 2 représente le nombre de cœur de votre processeur, si vous avez quatre cœurs vous mettrez donc  j4 :-P  |    => suggestions : [' ']
70 Mot inconnu : j4 => où 2 représente le nombre de cœur de votre processeur, si vous avez quatre cœurs vous mettrez donc  j4 :-P  | j4
70 Espace(s) en fin de ligne à supprimer. => où 2 représente le nombre de cœur de votre processeur, si vous avez quatre cœurs vous mettrez donc  j4 :-P  |   => suggestions : ['']

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    sudo make install |     => suggestions : ['']
78 Mot inconnu : sudo =>    sudo make install | sudo
78 Mot inconnu : make =>    sudo make install | make
78 Mot inconnu : install =>    sudo make install | install

80 Forme interrogative ? Mettez un trait d’union. => Cette opération est aussi assez longue, mais rassurez vous largement moins que la compilation. | rassurez vous => suggestions : ['rassurez-vous']

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    sudo ldconfig |     => suggestions : ['']
84 Mot inconnu : sudo =>    sudo ldconfig | sudo
84 Mot inconnu : ldconfig =>    sudo ldconfig | ldconfig

86 Mot inconnu : wxWidgets => Fermez le terminal, et miracle vous pouvez exécuter des applications wxWidgets. | wxwidgets

93 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    sudo make uninstall |     => suggestions : ['']
93 Mot inconnu : sudo =>    sudo make uninstall | sudo
93 Mot inconnu : make =>    sudo make uninstall | make
93 Mot inconnu : uninstall =>    sudo make uninstall | uninstall

95 Mot inconnu : wxGTK-2 => Dans le dossier wxGTK-2.8.8 où l'on a compiler la librairie juste avant. | wxgtk-2
95 Incohérence probable avec “a” : “compiler” n’est pas un participe passé. => Dans le dossier wxGTK-2.8.8 où l'on a compiler la librairie juste avant. | compiler => suggestions : ['compilé']

99 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    sudo ldconfig |     => suggestions : ['']
99 Mot inconnu : sudo =>    sudo ldconfig | sudo
99 Mot inconnu : ldconfig =>    sudo ldconfig | ldconfig

106 Mot inconnu : wxWidgets => Afin de compiler des applications utilisant wxWidgets, installez g++, puis entrer comme commande : | wxwidgets

108 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    g++ main.cpp -o executable `wx-config --libs --cppflags` -Wall |     => suggestions : ['']
108 Mot inconnu : cpp =>    g++ main.cpp -o executable `wx-config --libs --cppflags` -Wall | cpp
108 Mot inconnu : executable =>    g++ main.cpp -o executable `wx-config --libs --cppflags` -Wall | executable
108 Mot inconnu : wx-config =>    g++ main.cpp -o executable `wx-config --libs --cppflags` -Wall | wx-config
108 Mot inconnu : libs =>    g++ main.cpp -o executable `wx-config --libs --cppflags` -Wall | libs
108 Mot inconnu : cppflags =>    g++ main.cpp -o executable `wx-config --libs --cppflags` -Wall | cppflags

112 Mot inconnu : added => [added by MagicNono begin on 03/04/09] | added
112 Mot inconnu : by => [added by MagicNono begin on 03/04/09] | by
112 Mot inconnu : MagicNono => [added by MagicNono begin on 03/04/09] | magicnono
112 Mot inconnu : begin => [added by MagicNono begin on 03/04/09] | begin

117 Mot inconnu : wxT => il faut penser à encadrer toutes les chaînes avec la fonction/macro wxT | wxt
119 Espace(s) en fin de ligne à supprimer. => =>ex:      |       => suggestions : ['']

120 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    SetTitle( wxT("Nouveau Titre")); |     => suggestions : ['']
120 Mot inconnu : SetTitle =>    SetTitle( wxT("Nouveau Titre")); | settitle
120 Pas d’espace après ce signe. =>    SetTitle( wxT("Nouveau Titre")); | (  => suggestions : ['(']
120 Mot inconnu : wxT =>    SetTitle( wxT("Nouveau Titre")); | wxt
120 Il manque un espace avant la parenthèse. =>    SetTitle( wxT("Nouveau Titre")); | ( => suggestions : [' (']
120 Guillemets typographiques ouvrants. =>    SetTitle( wxT("Nouveau Titre")); | " => suggestions : ['«\xa0', '“']
120 Guillemets typographiques fermants. =>    SetTitle( wxT("Nouveau Titre")); | " => suggestions : ['\xa0»', '”']

122 Mot inconnu : tuto4 => ensuite, un prototype a évolué (tuto4), pour la gestion des timers (à modifier ds le header & le source) | tuto4
122 Mot inconnu : timers => ensuite, un prototype a évolué (tuto4), pour la gestion des timers (à modifier ds le header & le source) | timers
122 Mot inconnu : header => ensuite, un prototype a évolué (tuto4), pour la gestion des timers (à modifier ds le header & le source) | header

124 Espace(s) en fin de ligne à supprimer. => ce n'est plus  |   => suggestions : ['']

125 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    void TMyFrame::OnTimer(wxCommandEvent& event) |     => suggestions : ['']
125 Mot inconnu : void =>    void TMyFrame::OnTimer(wxCommandEvent& event) | void
125 Mot inconnu : TMyFrame =>    void TMyFrame::OnTimer(wxCommandEvent& event) | tmyframe
125 Une de ces ponctuations est superflue. =>    void TMyFrame::OnTimer(wxCommandEvent& event) | :: => suggestions : [':', ':']
125 Mot inconnu : OnTimer =>    void TMyFrame::OnTimer(wxCommandEvent& event) | ontimer
125 Il manque un espace avant la parenthèse. =>    void TMyFrame::OnTimer(wxCommandEvent& event) | ( => suggestions : [' (']
125 Mot inconnu : wxCommandEvent =>    void TMyFrame::OnTimer(wxCommandEvent& event) | wxcommandevent
125 Mot inconnu : event =>    void TMyFrame::OnTimer(wxCommandEvent& event) | event

127 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    void TMyFrame::OnTimer(wxTimerEvent& event) |     => suggestions : ['']
127 Mot inconnu : void =>    void TMyFrame::OnTimer(wxTimerEvent& event) | void
127 Mot inconnu : TMyFrame =>    void TMyFrame::OnTimer(wxTimerEvent& event) | tmyframe
127 Une de ces ponctuations est superflue. =>    void TMyFrame::OnTimer(wxTimerEvent& event) | :: => suggestions : [':', ':']
127 Mot inconnu : OnTimer =>    void TMyFrame::OnTimer(wxTimerEvent& event) | ontimer
127 Il manque un espace avant la parenthèse. =>    void TMyFrame::OnTimer(wxTimerEvent& event) | ( => suggestions : [' (']
127 Mot inconnu : wxTimerEvent =>    void TMyFrame::OnTimer(wxTimerEvent& event) | wxtimerevent
127 Mot inconnu : event =>    void TMyFrame::OnTimer(wxTimerEvent& event) | event

130 Mot inconnu : added => [added by MagicNono end] | added
130 Mot inconnu : by => [added by MagicNono end] | by
130 Mot inconnu : MagicNono => [added by MagicNono end] | magicnono
130 Mot inconnu : end => [added by MagicNono end] | end

133 Confusion probable : “a” est une conjugaison du verbe avoir. Pour la préposition, écrivez “à”. => Merci d'avoir lu ce tutoriel, j'invite tous ceux qui auraient des informations que j'aurai oublié de signaler a modifier cette page. | a => suggestions : ['à']
133 Incohérence probable avec “a” : “modifier” n’est pas un participe passé. => Merci d'avoir lu ce tutoriel, j'invite tous ceux qui auraient des informations que j'aurai oublié de signaler a modifier cette page. | modifier => suggestions : ['modifié']

136 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * voir aussi [[qt]], [[qtcreator]] |    => suggestions : ['']
136 Mot inconnu : qtcreator =>   * voir aussi [[qt]], [[qtcreator]] | qtcreator

137 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://wxwidgets.org/|Site officiel]] |    => suggestions : ['']

138 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://fr.wikibooks.org/wiki/Interfaces_graphiques_en_C%2B%2B_avec_wxWidget|Apprentissage : Interfaces graphiques en C++ avec wxWidget sur Wikibooks]] |    => suggestions : ['']
138 Mot inconnu : wxWidget =>   * [[https://fr.wikibooks.org/wiki/Interfaces_graphiques_en_C%2B%2B_avec_wxWidget|Apprentissage : Interfaces graphiques en C++ avec wxWidget sur Wikibooks]] | wxwidget
138 Mot inconnu : Wikibooks =>   * [[https://fr.wikibooks.org/wiki/Interfaces_graphiques_en_C%2B%2B_avec_wxWidget|Apprentissage : Interfaces graphiques en C++ avec wxWidget sur Wikibooks]] | wikibooks

139 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://cfred.free.fr/tutowxwidgets.php|Tutoriel en français]] et [[http://cfred.free.fr/punbb/index.php|forum]] |    => suggestions : ['']

140 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://wxdev.fr/|Site d'entraide francophone]] |    => suggestions : ['']

141 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * (en) [[http://wyoguide.sourceforge.net/|Guide pour le multiplatforme]] |    => suggestions : ['']
