
4 Mot inconnu : Budgie => ====== Ubuntu Budgie ====== | budgie
31 Il manque un espace. =>  <note>Pour une installation sous Ubuntu 16.04 il faut ajouter un le [[ppa]] **ppa:budgie-remix/ppa**.</note> | budgie-remix => suggestions : [' budgie-remix']
31 Mot inconnu : budgie-remix =>  <note>Pour une installation sous Ubuntu 16.04 il faut ajouter un le [[ppa]] **ppa:budgie-remix/ppa**.</note> | budgie-remix

35 Mot inconnu : Budgie => <note>Cela installera le bureau Budgie **et les logiciels qui l'accompagnent par défaut**, pour éviter les doublons de logiciels équivalents, vous préférerez peut-être suivre le paragraphe suivant !</note> | budgie

37 Mot inconnu : Budgie => === Installation du bureau Budgie === | budgie

68 Mot inconnu : Budgie-Menu => Le menu << **Budgie-Menu** >> se trouve par défaut dans le coin supérieur gauche. On peut y parcourir les catégories d'applications ou y effectuer une recherche. | budgie-menu

70 Mot inconnu : Plank => Le dock << **Plank** >> se trouve sur le coté gauche de l'écran. On peut y (dés)épingler nos applications favorites. Une application ouverte y est représentée avec un point à coté de son icône, et l'application active est en surbrillance. Cherchez "Plank" dans le menu pour trouver les préférences de Plank et paramétrez ce dock. | plank
70 Confusion : “coté” est le participe passé du verbe “coter”. => Le dock << **Plank** >> se trouve sur le coté gauche de l'écran. On peut y (dés)épingler nos applications favorites. Une application ouverte y est représentée avec un point à coté de son icône, et l'application active est en surbrillance. Cherchez "Plank" dans le menu pour trouver les préférences de Plank et paramétrez ce dock. | coté => suggestions : ['côté']
70 Il manque un espace après la parenthèse. => Le dock << **Plank** >> se trouve sur le coté gauche de l'écran. On peut y (dés)épingler nos applications favorites. Une application ouverte y est représentée avec un point à coté de son icône, et l'application active est en surbrillance. Cherchez "Plank" dans le menu pour trouver les préférences de Plank et paramétrez ce dock. | ) => suggestions : [') ']
70 Confusion : “coté” est le participe passé du verbe “coter”. => Le dock << **Plank** >> se trouve sur le coté gauche de l'écran. On peut y (dés)épingler nos applications favorites. Une application ouverte y est représentée avec un point à coté de son icône, et l'application active est en surbrillance. Cherchez "Plank" dans le menu pour trouver les préférences de Plank et paramétrez ce dock. | coté => suggestions : ['côté', 'côtés']
70 Guillemets typographiques ouvrants. => Le dock << **Plank** >> se trouve sur le coté gauche de l'écran. On peut y (dés)épingler nos applications favorites. Une application ouverte y est représentée avec un point à coté de son icône, et l'application active est en surbrillance. Cherchez "Plank" dans le menu pour trouver les préférences de Plank et paramétrez ce dock. | " => suggestions : ['«\xa0', '“']
70 Mot inconnu : Plank => Le dock << **Plank** >> se trouve sur le coté gauche de l'écran. On peut y (dés)épingler nos applications favorites. Une application ouverte y est représentée avec un point à coté de son icône, et l'application active est en surbrillance. Cherchez "Plank" dans le menu pour trouver les préférences de Plank et paramétrez ce dock. | plank
70 Guillemets typographiques fermants. => Le dock << **Plank** >> se trouve sur le coté gauche de l'écran. On peut y (dés)épingler nos applications favorites. Une application ouverte y est représentée avec un point à coté de son icône, et l'application active est en surbrillance. Cherchez "Plank" dans le menu pour trouver les préférences de Plank et paramétrez ce dock. | " => suggestions : ['\xa0»', '”']
70 Mot inconnu : Plank => Le dock << **Plank** >> se trouve sur le coté gauche de l'écran. On peut y (dés)épingler nos applications favorites. Une application ouverte y est représentée avec un point à coté de son icône, et l'application active est en surbrillance. Cherchez "Plank" dans le menu pour trouver les préférences de Plank et paramétrez ce dock. | plank

74 Mot inconnu : Raven => Le panneau latéral << **Raven** >> est multifonction. Un icône dans le panneau supérieur permet de l'ouvrir. | raven
74 Accord de genre erroné : « icône » est féminin. => Le panneau latéral << **Raven** >> est multifonction. Un icône dans le panneau supérieur permet de l'ouvrir. | un => suggestions : ['Une']

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Par défaut, Raven montre un ensemble d'//applets//, comme un calendrier ou les commandes du lecteur de musique (ci-contre). |    => suggestions : ['']
78 Mot inconnu : Raven =>   * Par défaut, Raven montre un ensemble d'//applets//, comme un calendrier ou les commandes du lecteur de musique (ci-contre). | raven

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Si on ouvre Raven en cliquant sur l'icône des notifications, alors ce sera l'onglet "Notifications" de Raven qui apparaîtra à l'ouverture. |    => suggestions : ['']
79 Mot inconnu : Raven =>   * Si on ouvre Raven en cliquant sur l'icône des notifications, alors ce sera l'onglet "Notifications" de Raven qui apparaîtra à l'ouverture. | raven
79 Guillemets typographiques ouvrants. =>   * Si on ouvre Raven en cliquant sur l'icône des notifications, alors ce sera l'onglet "Notifications" de Raven qui apparaîtra à l'ouverture. | " => suggestions : ['«\xa0', '“']
79 Guillemets typographiques fermants. =>   * Si on ouvre Raven en cliquant sur l'icône des notifications, alors ce sera l'onglet "Notifications" de Raven qui apparaîtra à l'ouverture. | " => suggestions : ['\xa0»', '”']
79 Mot inconnu : Raven =>   * Si on ouvre Raven en cliquant sur l'icône des notifications, alors ce sera l'onglet "Notifications" de Raven qui apparaîtra à l'ouverture. | raven

80 Mot inconnu : Raven => Raven permet aussi de personnaliser l'organisation du bureau. | raven

84 Mot inconnu : Budgie-Menu => Concernant la souris, le clavier, la langue, etc., vous trouverez les réglages correspondants dans le Budgie-Menu (catégorie "Préférences", cliquez sur "Paramètres"). | budgie-menu
84 Guillemets typographiques ouvrants. => Concernant la souris, le clavier, la langue, etc., vous trouverez les réglages correspondants dans le Budgie-Menu (catégorie "Préférences", cliquez sur "Paramètres"). | " => suggestions : ['«\xa0', '“']
84 Guillemets typographiques fermants. => Concernant la souris, le clavier, la langue, etc., vous trouverez les réglages correspondants dans le Budgie-Menu (catégorie "Préférences", cliquez sur "Paramètres"). | " => suggestions : ['\xa0»', '”']
84 Guillemets typographiques ouvrants. => Concernant la souris, le clavier, la langue, etc., vous trouverez les réglages correspondants dans le Budgie-Menu (catégorie "Préférences", cliquez sur "Paramètres"). | " => suggestions : ['«\xa0', '“']
84 Guillemets typographiques fermants. => Concernant la souris, le clavier, la langue, etc., vous trouverez les réglages correspondants dans le Budgie-Menu (catégorie "Préférences", cliquez sur "Paramètres"). | " => suggestions : ['\xa0»', '”']

88 Mot inconnu : Raven => La plupart des opérations de personnalisation du bureau lui-même se font via **Raven**, le panneau latéral multifonction : un petit logo avec un engrenage permet d'accéder aux réglages (répartis dans 2 onglets). | raven

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * les thèmes (panneaux, fenêtres, icônes, curseurs) |    => suggestions : ['']

92 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * les polices |    => suggestions : ['']

94 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * le positionnement du panneau |    => suggestions : ['']

95 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * les applets qu'il contient (en ajouter, en enlever, modifier leurs positions, leurs réglages). |    => suggestions : ['']

103 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://ubuntubudgie.org/|Site officiel]] |    => suggestions : ['']

109 Une de ces ponctuations est superflue. => , ...// | , . => suggestions : [',', '.']
109 Typographie : points de suspension. Utilisez le caractère dédié. => , ...// | ... => suggestions : ['…']
