
5 Mot inconnu : Project => ====== Project IGI ====== | project
33 Mot inconnu : wine =>     cd ~/.wine/drive_c/Program\ Files/Eidos\ Interactive/Project\ IGI/pc/ | wine
33 Mot inconnu : drive_c =>     cd ~/.wine/drive_c/Program\ Files/Eidos\ Interactive/Project\ IGI/pc/ | drive_c
33 Mot inconnu : Program =>     cd ~/.wine/drive_c/Program\ Files/Eidos\ Interactive/Project\ IGI/pc/ | program
33 Mot inconnu : Eidos =>     cd ~/.wine/drive_c/Program\ Files/Eidos\ Interactive/Project\ IGI/pc/ | eidos
33 Mot inconnu : Project =>     cd ~/.wine/drive_c/Program\ Files/Eidos\ Interactive/Project\ IGI/pc/ | project
33 Mot inconnu : IGI =>     cd ~/.wine/drive_c/Program\ Files/Eidos\ Interactive/Project\ IGI/pc/ | igi

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     wine IGI.exe |      => suggestions : ['']
34 Mot inconnu : wine =>     wine IGI.exe | wine
34 Mot inconnu : IGI =>     wine IGI.exe | igi
34 Mot inconnu : exe =>     wine IGI.exe | exe

37 Espace(s) en fin de ligne à supprimer. => voila, vous pouvez désormais jouer. :-)  |   => suggestions : ['']

43 Mot inconnu : Enjoy => Enjoy ! ;-) | enjoy

54 Après un point, une majuscule est généralement requise. => Heureusement, cela se produit aléatoirement et pas tout le temps. ouf  :-P . | ouf => suggestions : ['Ouf']
54 Espace(s) surnuméraire(s) à supprimer. => Heureusement, cela se produit aléatoirement et pas tout le temps. ouf  :-P . |    => suggestions : [' ']
61 Il manque un espace. => //Contributeur : [[utilisateurs:GarulfoUnix]]// | garulfounix => suggestions : [' GarulfoUnix']
