
3 Mot inconnu : XLink => ====== XLink Kai ====== | xlink
22 Mot inconnu : __ => Configurer votre routeur grâce à l'article "__**Configurer votre routeur pas à pas**__" disponible sur Clubic en suivant ce lien -> [[https://www.clubic.com/article-31687-1-configurer-votre-routeur-pas-a-pas.html]] , n'oubliez pas d'autoriser les ports 34522, 34523 et 34525. | __
22 Guillemets typographiques fermants. => Configurer votre routeur grâce à l'article "__**Configurer votre routeur pas à pas**__" disponible sur Clubic en suivant ce lien -> [[https://www.clubic.com/article-31687-1-configurer-votre-routeur-pas-a-pas.html]] , n'oubliez pas d'autoriser les ports 34522, 34523 et 34525. | " => suggestions : ['\xa0»', '”']
22 Mot inconnu : Clubic => Configurer votre routeur grâce à l'article "__**Configurer votre routeur pas à pas**__" disponible sur Clubic en suivant ce lien -> [[https://www.clubic.com/article-31687-1-configurer-votre-routeur-pas-a-pas.html]] , n'oubliez pas d'autoriser les ports 34522, 34523 et 34525. | clubic
22 Pas d’espace avant une virgule. => Configurer votre routeur grâce à l'article "__**Configurer votre routeur pas à pas**__" disponible sur Clubic en suivant ce lien -> [[https://www.clubic.com/article-31687-1-configurer-votre-routeur-pas-a-pas.html]] , n'oubliez pas d'autoriser les ports 34522, 34523 et 34525. |  , => suggestions : [',']
22 Formatage des grands nombres. => Configurer votre routeur grâce à l'article "__**Configurer votre routeur pas à pas**__" disponible sur Clubic en suivant ce lien -> [[https://www.clubic.com/article-31687-1-configurer-votre-routeur-pas-a-pas.html]] , n'oubliez pas d'autoriser les ports 34522, 34523 et 34525. | 34522 => suggestions : ['34\xa0522']
22 Formatage des grands nombres. => Configurer votre routeur grâce à l'article "__**Configurer votre routeur pas à pas**__" disponible sur Clubic en suivant ce lien -> [[https://www.clubic.com/article-31687-1-configurer-votre-routeur-pas-a-pas.html]] , n'oubliez pas d'autoriser les ports 34522, 34523 et 34525. | 34523 => suggestions : ['34\xa0523']
22 Formatage des grands nombres. => Configurer votre routeur grâce à l'article "__**Configurer votre routeur pas à pas**__" disponible sur Clubic en suivant ce lien -> [[https://www.clubic.com/article-31687-1-configurer-votre-routeur-pas-a-pas.html]] , n'oubliez pas d'autoriser les ports 34522, 34523 et 34525. | 34525 => suggestions : ['34\xa0525']

27 Mot inconnu : RJ45 => Si vous possédez un câble RJ45 __croisé__, branchez-le sur la carte réseau qui servira de passerelle. Après avoir fait ceci, installez le paquet "firestarter" : | rj45
27 Mot inconnu : __croisé__ => Si vous possédez un câble RJ45 __croisé__, branchez-le sur la carte réseau qui servira de passerelle. Après avoir fait ceci, installez le paquet "firestarter" : | __croisé__
27 Guillemets typographiques ouvrants. => Si vous possédez un câble RJ45 __croisé__, branchez-le sur la carte réseau qui servira de passerelle. Après avoir fait ceci, installez le paquet "firestarter" : | " => suggestions : ['«\xa0', '“']
27 Mot inconnu : firestarter => Si vous possédez un câble RJ45 __croisé__, branchez-le sur la carte réseau qui servira de passerelle. Après avoir fait ceci, installez le paquet "firestarter" : | firestarter
27 Guillemets typographiques fermants. => Si vous possédez un câble RJ45 __croisé__, branchez-le sur la carte réseau qui servira de passerelle. Après avoir fait ceci, installez le paquet "firestarter" : | " => suggestions : ['\xa0»', '”']

31 Mot inconnu : Firestarter => Puis lancez l'application à partir de "**//Système/Administration/Firestarter//**" | firestarter

33 Nombre ordinal. Premier : 1ᵉʳ. Première : 1ʳᵉ. Premiers : 1ᵉʳˢ. Premières : 1ʳᵉˢ. => Lors du 1er lancement, un assistant de configuration se lance, arriver à l'étape  "__**Configuration de partage de la connexion internet**__", __cochez__ la case "**Autorisez le partage de la connexion internet**" et sélectionnez un périphérique différent du 1er. | 1er => suggestions : ['1ᵉʳ']
33 Espace(s) surnuméraire(s) à supprimer. => Lors du 1er lancement, un assistant de configuration se lance, arriver à l'étape  "__**Configuration de partage de la connexion internet**__", __cochez__ la case "**Autorisez le partage de la connexion internet**" et sélectionnez un périphérique différent du 1er. |    => suggestions : [' ']
33 Guillemets typographiques ouvrants. => Lors du 1er lancement, un assistant de configuration se lance, arriver à l'étape  "__**Configuration de partage de la connexion internet**__", __cochez__ la case "**Autorisez le partage de la connexion internet**" et sélectionnez un périphérique différent du 1er. | " => suggestions : ['«\xa0', '“']
33 Mot inconnu : __ => Lors du 1er lancement, un assistant de configuration se lance, arriver à l'étape  "__**Configuration de partage de la connexion internet**__", __cochez__ la case "**Autorisez le partage de la connexion internet**" et sélectionnez un périphérique différent du 1er. | __
33 Mot inconnu : __ => Lors du 1er lancement, un assistant de configuration se lance, arriver à l'étape  "__**Configuration de partage de la connexion internet**__", __cochez__ la case "**Autorisez le partage de la connexion internet**" et sélectionnez un périphérique différent du 1er. | __
33 Guillemets typographiques fermants. => Lors du 1er lancement, un assistant de configuration se lance, arriver à l'étape  "__**Configuration de partage de la connexion internet**__", __cochez__ la case "**Autorisez le partage de la connexion internet**" et sélectionnez un périphérique différent du 1er. | " => suggestions : ['\xa0»', '”']
33 Mot inconnu : __cochez__ => Lors du 1er lancement, un assistant de configuration se lance, arriver à l'étape  "__**Configuration de partage de la connexion internet**__", __cochez__ la case "**Autorisez le partage de la connexion internet**" et sélectionnez un périphérique différent du 1er. | __cochez__
33 Nombre ordinal. Premier : 1ᵉʳ. Première : 1ʳᵉ. Premiers : 1ᵉʳˢ. Premières : 1ʳᵉˢ. => Lors du 1er lancement, un assistant de configuration se lance, arriver à l'étape  "__**Configuration de partage de la connexion internet**__", __cochez__ la case "**Autorisez le partage de la connexion internet**" et sélectionnez un périphérique différent du 1er. | 1er => suggestions : ['1ᵉʳ']

36 Espace(s) surnuméraire(s) à supprimer. => Après la fin de la configuration, cliquez sur l'onglet "**Politique**" puis sur le bouton "**Ajouter une règle**" et remplissez comme ceci  : |    => suggestions : [' ']

44 Mot inconnu : Firestarter => Après avoir fait les consignes ci-dessus, vous pouvez fermer la fenêtre de Firestarter. | firestarter

54 Mot inconnu : daemon => ==== Installation du daemon ==== | daemon

58 Mot inconnu : linux => Télécharger la version linux du daemon ici -> [[https://www.teamxlink.co.uk/?go=download]], puis __enregistrer le fichier dans **votre dossier personnel**__. | linux
58 Mot inconnu : daemon => Télécharger la version linux du daemon ici -> [[https://www.teamxlink.co.uk/?go=download]], puis __enregistrer le fichier dans **votre dossier personnel**__. | daemon
58 Mot inconnu : __enregistrer => Télécharger la version linux du daemon ici -> [[https://www.teamxlink.co.uk/?go=download]], puis __enregistrer le fichier dans **votre dossier personnel**__. | __enregistrer
58 Mot inconnu : __ => Télécharger la version linux du daemon ici -> [[https://www.teamxlink.co.uk/?go=download]], puis __enregistrer le fichier dans **votre dossier personnel**__. | __

69 Après la préposition “pour”, le verbe devrait être à l’infinitif. => Lancez ces commandes pour installez le daemon | installez => suggestions : ['installer']
69 Mot inconnu : daemon => Lancez ces commandes pour installez le daemon | daemon

81 Mot inconnu : __enregistrer => Télécharger l'interface graphique ici -> [[http://www.teamxlink.co.uk/downloads/gkaiui-preview.tar.bz2]], puis __enregistrer le fichier dans **votre dossier personnel**__ | __enregistrer
81 Mot inconnu : __ => Télécharger l'interface graphique ici -> [[http://www.teamxlink.co.uk/downloads/gkaiui-preview.tar.bz2]], puis __enregistrer le fichier dans **votre dossier personnel**__ | __

133 Ce verbe devrait être un participe passé au masculin singulier. => Maintenant que nous avons terminés l'installation, passons à la configuration ;-) | terminés => suggestions : ['terminé']

135 Typographie des composés chimiques. => Lancer dans un terminal (ou en appuyant en même temps les touches Alt et F2) : | f2 => suggestions : ['F₂']
135 Mot inconnu : F2 => Lancer dans un terminal (ou en appuyant en même temps les touches Alt et F2) : | f2

141 Guillemets typographiques ouvrants. => Remplacez "eth0" par la carte réseau sur lequel est connecté la Xbox, si vous avez un routeur, ignorer ce paramètre | " => suggestions : ['«\xa0', '“']
141 Mot inconnu : eth0 => Remplacez "eth0" par la carte réseau sur lequel est connecté la Xbox, si vous avez un routeur, ignorer ce paramètre | eth0
141 Guillemets typographiques fermants. => Remplacez "eth0" par la carte réseau sur lequel est connecté la Xbox, si vous avez un routeur, ignorer ce paramètre | " => suggestions : ['\xa0»', '”']
141 Mot inconnu : Xbox => Remplacez "eth0" par la carte réseau sur lequel est connecté la Xbox, si vous avez un routeur, ignorer ce paramètre | xbox

157 Incohérence. Ceci est un verbe à la 1ʳᵉ personne du singulier. Sujet (“je” ou “moi qui”) introuvable. => Voici comment devrai ressembler un kaid.conf ordinaire : | devrai => suggestions : ['devra']
157 Mot inconnu : kaid => Voici comment devrai ressembler un kaid.conf ordinaire : | kaid
157 Il manque un espace. => Voici comment devrai ressembler un kaid.conf ordinaire : | conf => suggestions : [' conf']

330 Mot inconnu : XLink => Si vous avez suivi ce tutoriel, la désinstallation d'XLink Kai est simple :-), tapez ceci dans un terminal : | xlink
330 Mot inconnu : Kai => Si vous avez suivi ce tutoriel, la désinstallation d'XLink Kai est simple :-), tapez ceci dans un terminal : | kai

341 Mot inconnu : XLink => Site officiel d'XLink Kai -> [[http://www.teamxlink.co.uk/]] | xlink
341 Mot inconnu : Kai => Site officiel d'XLink Kai -> [[http://www.teamxlink.co.uk/]] | kai

343 Mot inconnu : Xbox => Site officiel français des Xbox -> [[https://www.xbox.com/fr-FR/]] | xbox

345 Mot inconnu : Playstation => Site officiel des Playstation -> [[http://fr.playstation.com/]] | playstation

347 Mot inconnu : GameCube => Site officiel de la GameCube -> [[https://www.nintendo-europe.com/]] | gamecube
