
3 Mot inconnu : FOG => ====== FOG ====== | fog
82 Mot inconnu : FOG => •répondre Y pour que le serveur FOG utilise son propre service DHCP | fog

86 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => •A cette étape installateur vous demande si vous voulez installer les paquet de langue, si vous le voulez mettre Y si non mettre N | a => suggestions : ['À']
86 Accord de nombre erroné : « paquet » devrait être au pluriel. => •A cette étape installateur vous demande si vous voulez installer les paquet de langue, si vous le voulez mettre Y si non mettre N | paquet => suggestions : ['paquets']

90 Il manque un espace. => •Ici il vous montre le récapitulatif de vos choix,si tout est bon vous pouvez mettre Y si non mettre N | si => suggestions : [' si']

94 Guillemets typographiques ouvrants. => •Voila, l'installation est terminée. Il ne vous reste plus qu'à entrer http://IPserver/fog/management dans votre navigateur internet préféré après avoir remplacé "IPserver" par l'adresse IP de votre serveur | " => suggestions : ['«\xa0', '“']
94 Mot inconnu : IPserver => •Voila, l'installation est terminée. Il ne vous reste plus qu'à entrer http://IPserver/fog/management dans votre navigateur internet préféré après avoir remplacé "IPserver" par l'adresse IP de votre serveur | ipserver
94 Guillemets typographiques fermants. => •Voila, l'installation est terminée. Il ne vous reste plus qu'à entrer http://IPserver/fog/management dans votre navigateur internet préféré après avoir remplacé "IPserver" par l'adresse IP de votre serveur | " => suggestions : ['\xa0»', '”']

95 Mot inconnu : vhost => ==== Utiliser un vhost ==== | vhost

96 Mot inconnu : FOG => Pour disposer d'une adresse d'accès simple à l'interface de FOG, nous pouvons utiliser un vhost : | fog
96 Mot inconnu : vhost => Pour disposer d'une adresse d'accès simple à l'interface de FOG, nous pouvons utiliser un vhost : | vhost

97 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   <VirtualHost *:80> |    => suggestions : ['']

98 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       ServerName fog.domain.local |        => suggestions : ['']
98 Mot inconnu : ServerName =>       ServerName fog.domain.local | servername

99 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       DocumentRoot "/var/www/fog" |        => suggestions : ['']
99 Mot inconnu : DocumentRoot =>       DocumentRoot "/var/www/fog" | documentroot

100 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       CustomLog /var/log/apache2/fog.domain.local_access.log combined |        => suggestions : ['']
100 Mot inconnu : CustomLog =>       CustomLog /var/log/apache2/fog.domain.local_access.log combined | customlog
100 Mot inconnu : combined =>       CustomLog /var/log/apache2/fog.domain.local_access.log combined | combined

101 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       ErrorLog /var/log/apache2/fog.domain.local_error.log |        => suggestions : ['']
101 Mot inconnu : ErrorLog =>       ErrorLog /var/log/apache2/fog.domain.local_error.log | errorlog

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       LogLevel error |        => suggestions : ['']
102 Mot inconnu : LogLevel =>       LogLevel error | loglevel
102 Mot inconnu : error =>       LogLevel error | error

103 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

104 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       RewriteEngine on |        => suggestions : ['']
104 Mot inconnu : RewriteEngine =>       RewriteEngine on | rewriteengine

105 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       RewriteRule ^/fog/(.*)$ /$1 [R] |        => suggestions : ['']
105 Mot inconnu : RewriteRule =>       RewriteRule ^/fog/(.*)$ /$1 [R] | rewriterule
105 Mot inconnu : fog =>       RewriteRule ^/fog/(.*)$ /$1 [R] | fog

106 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>        |        => suggestions : ['']

107 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       <Directory "/var/www/fog"> |        => suggestions : ['']

108 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>               allow from all |                => suggestions : ['']
108 Mot inconnu : allow =>               allow from all | allow
108 Mot inconnu : from =>               allow from all | from
108 Mot inconnu : all =>               allow from all | all

109 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>               Options -Indexes |                => suggestions : ['']
109 Il manque un espace à côté du tiret. =>               Options -Indexes |  - => suggestions : [' – ', ' — ']

110 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       </Directory> |        => suggestions : ['']

111 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   </VirtualHost> |    => suggestions : ['']

114 Mot inconnu : FOG => ===== FOG 0.32 (oldstable) ===== | fog
114 Mot inconnu : oldstable => ===== FOG 0.32 (oldstable) ===== | oldstable

122 Mot inconnu : sudo => sudo ./installfog.sh</code> | sudo
122 Mot inconnu : installfog => sudo ./installfog.sh</code> | installfog
122 Mot inconnu : sh => sudo ./installfog.sh</code> | sh

125 Mot inconnu : FOG => Cet exemple est basé sur une installation fraîche d'Ubuntu sur un serveur dédié à FOG. Le script d'installation utilisant Apache et Mysql, si vous avez déjà des instances en cours d'utilisation ou dont vous souhaitez garder la configuration, n'utilisez pas ce script (ou alors faites des sauvegardes de vos configs et modifiez ensuite selon vos besoins). FIXME: L'installation sur un serveur servant déjà de serveur web n'a pas été testée par le rédacteur de cette page, donc le comportement du script dans ce cas n'est pas encore connu. A priori (et le script met en garde au début), les configurations suivantes seraient perdues : "DHCP, apache, pxe, tftp, et NFS". | fog
125 Mot inconnu : Mysql => Cet exemple est basé sur une installation fraîche d'Ubuntu sur un serveur dédié à FOG. Le script d'installation utilisant Apache et Mysql, si vous avez déjà des instances en cours d'utilisation ou dont vous souhaitez garder la configuration, n'utilisez pas ce script (ou alors faites des sauvegardes de vos configs et modifiez ensuite selon vos besoins). FIXME: L'installation sur un serveur servant déjà de serveur web n'a pas été testée par le rédacteur de cette page, donc le comportement du script dans ce cas n'est pas encore connu. A priori (et le script met en garde au début), les configurations suivantes seraient perdues : "DHCP, apache, pxe, tftp, et NFS". | mysql
125 Mot inconnu : FIXME => Cet exemple est basé sur une installation fraîche d'Ubuntu sur un serveur dédié à FOG. Le script d'installation utilisant Apache et Mysql, si vous avez déjà des instances en cours d'utilisation ou dont vous souhaitez garder la configuration, n'utilisez pas ce script (ou alors faites des sauvegardes de vos configs et modifiez ensuite selon vos besoins). FIXME: L'installation sur un serveur servant déjà de serveur web n'a pas été testée par le rédacteur de cette page, donc le comportement du script dans ce cas n'est pas encore connu. A priori (et le script met en garde au début), les configurations suivantes seraient perdues : "DHCP, apache, pxe, tftp, et NFS". | fixme
125 Guillemets typographiques ouvrants. => Cet exemple est basé sur une installation fraîche d'Ubuntu sur un serveur dédié à FOG. Le script d'installation utilisant Apache et Mysql, si vous avez déjà des instances en cours d'utilisation ou dont vous souhaitez garder la configuration, n'utilisez pas ce script (ou alors faites des sauvegardes de vos configs et modifiez ensuite selon vos besoins). FIXME: L'installation sur un serveur servant déjà de serveur web n'a pas été testée par le rédacteur de cette page, donc le comportement du script dans ce cas n'est pas encore connu. A priori (et le script met en garde au début), les configurations suivantes seraient perdues : "DHCP, apache, pxe, tftp, et NFS". | " => suggestions : ['«\xa0', '“']
125 Mot inconnu : pxe => Cet exemple est basé sur une installation fraîche d'Ubuntu sur un serveur dédié à FOG. Le script d'installation utilisant Apache et Mysql, si vous avez déjà des instances en cours d'utilisation ou dont vous souhaitez garder la configuration, n'utilisez pas ce script (ou alors faites des sauvegardes de vos configs et modifiez ensuite selon vos besoins). FIXME: L'installation sur un serveur servant déjà de serveur web n'a pas été testée par le rédacteur de cette page, donc le comportement du script dans ce cas n'est pas encore connu. A priori (et le script met en garde au début), les configurations suivantes seraient perdues : "DHCP, apache, pxe, tftp, et NFS". | pxe
125 Mot inconnu : tftp => Cet exemple est basé sur une installation fraîche d'Ubuntu sur un serveur dédié à FOG. Le script d'installation utilisant Apache et Mysql, si vous avez déjà des instances en cours d'utilisation ou dont vous souhaitez garder la configuration, n'utilisez pas ce script (ou alors faites des sauvegardes de vos configs et modifiez ensuite selon vos besoins). FIXME: L'installation sur un serveur servant déjà de serveur web n'a pas été testée par le rédacteur de cette page, donc le comportement du script dans ce cas n'est pas encore connu. A priori (et le script met en garde au début), les configurations suivantes seraient perdues : "DHCP, apache, pxe, tftp, et NFS". | tftp
125 Mot inconnu : NFS => Cet exemple est basé sur une installation fraîche d'Ubuntu sur un serveur dédié à FOG. Le script d'installation utilisant Apache et Mysql, si vous avez déjà des instances en cours d'utilisation ou dont vous souhaitez garder la configuration, n'utilisez pas ce script (ou alors faites des sauvegardes de vos configs et modifiez ensuite selon vos besoins). FIXME: L'installation sur un serveur servant déjà de serveur web n'a pas été testée par le rédacteur de cette page, donc le comportement du script dans ce cas n'est pas encore connu. A priori (et le script met en garde au début), les configurations suivantes seraient perdues : "DHCP, apache, pxe, tftp, et NFS". | nfs
125 Guillemets typographiques fermants. => Cet exemple est basé sur une installation fraîche d'Ubuntu sur un serveur dédié à FOG. Le script d'installation utilisant Apache et Mysql, si vous avez déjà des instances en cours d'utilisation ou dont vous souhaitez garder la configuration, n'utilisez pas ce script (ou alors faites des sauvegardes de vos configs et modifiez ensuite selon vos besoins). FIXME: L'installation sur un serveur servant déjà de serveur web n'a pas été testée par le rédacteur de cette page, donc le comportement du script dans ce cas n'est pas encore connu. A priori (et le script met en garde au début), les configurations suivantes seraient perdues : "DHCP, apache, pxe, tftp, et NFS". | " => suggestions : ['\xa0»', '”']

128 Conjugaison erronée. Accord avec « tout ». Le verbe devrait être à la 3ᵉ personne du singulier. => Le script va alors vous demander tout un tas de paramètres. Tout d'abord sélectionnez ubuntu comme distribution (donc la 2), ensuite il va vous demander si vous souhaitez faire une installation en mode normal ou en mode stockage. Le mode stockage est uniquement prévu pour stocker des images, donc si vous souhaitez l'application complète faites la en mode normal (donc N). | sélectionnez => suggestions : ['sélectionne']

134 Mot inconnu : PXE => Si vous ne configurez pas votre serveur en DHCP, il faudra indiquer au routeur que les demandes PXE doivent être redirigées vers le serveur. | pxe

137 Mot inconnu : root => Durant l'installation il va vous demander le mot de passe root mysql (à retenir !), puis il vous demandera si vous souhaitez dire à l'équipe de FOG qu'ils sont géniaux (à votre bon coeur), et ça sera terminé pour la partie "terminal". | root
137 Mot inconnu : mysql => Durant l'installation il va vous demander le mot de passe root mysql (à retenir !), puis il vous demandera si vous souhaitez dire à l'équipe de FOG qu'ils sont géniaux (à votre bon coeur), et ça sera terminé pour la partie "terminal". | mysql
137 Mot inconnu : FOG => Durant l'installation il va vous demander le mot de passe root mysql (à retenir !), puis il vous demandera si vous souhaitez dire à l'équipe de FOG qu'ils sont géniaux (à votre bon coeur), et ça sera terminé pour la partie "terminal". | fog
137 Mot inconnu : coeur => Durant l'installation il va vous demander le mot de passe root mysql (à retenir !), puis il vous demandera si vous souhaitez dire à l'équipe de FOG qu'ils sont géniaux (à votre bon coeur), et ça sera terminé pour la partie "terminal". | coeur
137 Guillemets typographiques ouvrants. => Durant l'installation il va vous demander le mot de passe root mysql (à retenir !), puis il vous demandera si vous souhaitez dire à l'équipe de FOG qu'ils sont géniaux (à votre bon coeur), et ça sera terminé pour la partie "terminal". | " => suggestions : ['«\xa0', '“']
137 Accord de genre erroné : « la partie » est féminin, « terminal » est masculin. => Durant l'installation il va vous demander le mot de passe root mysql (à retenir !), puis il vous demandera si vous souhaitez dire à l'équipe de FOG qu'ils sont géniaux (à votre bon coeur), et ça sera terminé pour la partie "terminal". | terminal => suggestions : ['terminale']
137 Guillemets typographiques fermants. => Durant l'installation il va vous demander le mot de passe root mysql (à retenir !), puis il vous demandera si vous souhaitez dire à l'équipe de FOG qu'ils sont géniaux (à votre bon coeur), et ça sera terminé pour la partie "terminal". | " => suggestions : ['\xa0»', '”']

139 Guillemets typographiques ouvrants. => <note>Un utilisateur appelé "Fog" sera créé automatiquement avec un mot de passe aléatoire. Changez le mot de passe pour celui-ci dans un terminal :  | " => suggestions : ['«\xa0', '“']
139 Mot inconnu : Fog => <note>Un utilisateur appelé "Fog" sera créé automatiquement avec un mot de passe aléatoire. Changez le mot de passe pour celui-ci dans un terminal :  | fog
139 Guillemets typographiques fermants. => <note>Un utilisateur appelé "Fog" sera créé automatiquement avec un mot de passe aléatoire. Changez le mot de passe pour celui-ci dans un terminal :  | " => suggestions : ['\xa0»', '”']
139 Espace(s) en fin de ligne à supprimer. => <note>Un utilisateur appelé "Fog" sera créé automatiquement avec un mot de passe aléatoire. Changez le mot de passe pour celui-ci dans un terminal :  |   => suggestions : ['']

144 Mot inconnu : Editez => Editez le fichier de configuration "/var/www/fog/commons/config.php" afin d'entrer votre mot de passe mysql dans la variable "MYSQL_PASSWORD". | editez
144 Mot inconnu : mysql => Editez le fichier de configuration "/var/www/fog/commons/config.php" afin d'entrer votre mot de passe mysql dans la variable "MYSQL_PASSWORD". | mysql
144 Guillemets typographiques ouvrants. => Editez le fichier de configuration "/var/www/fog/commons/config.php" afin d'entrer votre mot de passe mysql dans la variable "MYSQL_PASSWORD". | " => suggestions : ['«\xa0', '“']
144 Mot inconnu : MYSQL_PASSWORD => Editez le fichier de configuration "/var/www/fog/commons/config.php" afin d'entrer votre mot de passe mysql dans la variable "MYSQL_PASSWORD". | mysql_password
144 Guillemets typographiques fermants. => Editez le fichier de configuration "/var/www/fog/commons/config.php" afin d'entrer votre mot de passe mysql dans la variable "MYSQL_PASSWORD". | " => suggestions : ['\xa0»', '”']

145 Mot inconnu : TFTP_FTP_PASSWORD => Remplacez également les valeurs de **TFTP_FTP_PASSWORD** and **STORAGE_FTP_PASSWORD** par le mot de passe que vous venez de définir pour fog.  | tftp_ftp_password
145 Mot inconnu : and => Remplacez également les valeurs de **TFTP_FTP_PASSWORD** and **STORAGE_FTP_PASSWORD** par le mot de passe que vous venez de définir pour fog.  | and
145 Mot inconnu : STORAGE_FTP_PASSWORD => Remplacez également les valeurs de **TFTP_FTP_PASSWORD** and **STORAGE_FTP_PASSWORD** par le mot de passe que vous venez de définir pour fog.  | storage_ftp_password
145 Mot inconnu : fog => Remplacez également les valeurs de **TFTP_FTP_PASSWORD** and **STORAGE_FTP_PASSWORD** par le mot de passe que vous venez de définir pour fog.  | fog
145 Espace(s) en fin de ligne à supprimer. => Remplacez également les valeurs de **TFTP_FTP_PASSWORD** and **STORAGE_FTP_PASSWORD** par le mot de passe que vous venez de définir pour fog.  |   => suggestions : ['']

150 Mot inconnu : FOG => Il est conseillé de créer un utilisateur spécifique ayant les droits complets sur la base FOG dans mysql plutôt que d'utiliser root comme c'est le cas par défaut. Si vous créez un utilisateur, il faudra bien sûr modifier la variable "MYSQL_USERNAME". | fog
150 Mot inconnu : mysql => Il est conseillé de créer un utilisateur spécifique ayant les droits complets sur la base FOG dans mysql plutôt que d'utiliser root comme c'est le cas par défaut. Si vous créez un utilisateur, il faudra bien sûr modifier la variable "MYSQL_USERNAME". | mysql
150 Mot inconnu : root => Il est conseillé de créer un utilisateur spécifique ayant les droits complets sur la base FOG dans mysql plutôt que d'utiliser root comme c'est le cas par défaut. Si vous créez un utilisateur, il faudra bien sûr modifier la variable "MYSQL_USERNAME". | root
150 Guillemets typographiques ouvrants. => Il est conseillé de créer un utilisateur spécifique ayant les droits complets sur la base FOG dans mysql plutôt que d'utiliser root comme c'est le cas par défaut. Si vous créez un utilisateur, il faudra bien sûr modifier la variable "MYSQL_USERNAME". | " => suggestions : ['«\xa0', '“']
150 Mot inconnu : MYSQL_USERNAME => Il est conseillé de créer un utilisateur spécifique ayant les droits complets sur la base FOG dans mysql plutôt que d'utiliser root comme c'est le cas par défaut. Si vous créez un utilisateur, il faudra bien sûr modifier la variable "MYSQL_USERNAME". | mysql_username
150 Guillemets typographiques fermants. => Il est conseillé de créer un utilisateur spécifique ayant les droits complets sur la base FOG dans mysql plutôt que d'utiliser root comme c'est le cas par défaut. Si vous créez un utilisateur, il faudra bien sûr modifier la variable "MYSQL_USERNAME". | " => suggestions : ['\xa0»', '”']
154 Guillemets typographiques ouvrants. => Pour terminer l'installation on va se rendre à l'adresse suivante : [[http://IP_SERVEUR/fog/management/]] puis cliquer sur le bouton qui s'affiche : "install/upgrade now" ou assimilé. | " => suggestions : ['«\xa0', '“']
154 Mot inconnu : install => Pour terminer l'installation on va se rendre à l'adresse suivante : [[http://IP_SERVEUR/fog/management/]] puis cliquer sur le bouton qui s'affiche : "install/upgrade now" ou assimilé. | install
154 Mot inconnu : now => Pour terminer l'installation on va se rendre à l'adresse suivante : [[http://IP_SERVEUR/fog/management/]] puis cliquer sur le bouton qui s'affiche : "install/upgrade now" ou assimilé. | now
154 Guillemets typographiques fermants. => Pour terminer l'installation on va se rendre à l'adresse suivante : [[http://IP_SERVEUR/fog/management/]] puis cliquer sur le bouton qui s'affiche : "install/upgrade now" ou assimilé. | " => suggestions : ['\xa0»', '”']

158 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Il se peut que lors de l'installation il y ai des erreur ( checking .... php5 ... Failed !), les paquets n'arrivent pas à s'installer. tapez alors : |   => suggestions : ['']
158 Conjugaison erronée. Accord avec “il”. Le verbe devrait être à la 3ᵉ personne du singulier. =>  Il se peut que lors de l'installation il y ai des erreur ( checking .... php5 ... Failed !), les paquets n'arrivent pas à s'installer. tapez alors : | ai => suggestions : ['a']
158 Accord de nombre erroné : « erreur » devrait être au pluriel. =>  Il se peut que lors de l'installation il y ai des erreur ( checking .... php5 ... Failed !), les paquets n'arrivent pas à s'installer. tapez alors : | erreur => suggestions : ['erreurs']
158 Pas d’espace après ce signe. =>  Il se peut que lors de l'installation il y ai des erreur ( checking .... php5 ... Failed !), les paquets n'arrivent pas à s'installer. tapez alors : | (  => suggestions : ['(']
158 Mot inconnu : checking =>  Il se peut que lors de l'installation il y ai des erreur ( checking .... php5 ... Failed !), les paquets n'arrivent pas à s'installer. tapez alors : | checking
158 Typographie : points de suspension. Utilisez le caractère dédié. =>  Il se peut que lors de l'installation il y ai des erreur ( checking .... php5 ... Failed !), les paquets n'arrivent pas à s'installer. tapez alors : | .... => suggestions : ['…']
158 Mot inconnu : php5 =>  Il se peut que lors de l'installation il y ai des erreur ( checking .... php5 ... Failed !), les paquets n'arrivent pas à s'installer. tapez alors : | php5
158 Typographie : points de suspension. Utilisez le caractère dédié. =>  Il se peut que lors de l'installation il y ai des erreur ( checking .... php5 ... Failed !), les paquets n'arrivent pas à s'installer. tapez alors : | ... => suggestions : ['…']
158 Mot inconnu : Failed =>  Il se peut que lors de l'installation il y ai des erreur ( checking .... php5 ... Failed !), les paquets n'arrivent pas à s'installer. tapez alors : | failed
158 Après un point, une majuscule est généralement requise. =>  Il se peut que lors de l'installation il y ai des erreur ( checking .... php5 ... Failed !), les paquets n'arrivent pas à s'installer. tapez alors : | tapez => suggestions : ['Tapez']

160 Écriture invariable. Utilisez un point médian. => faites-le pour toute(s) les erreurs qu'il aura trouvé | toute(s) => suggestions : ['toute·s']
160 Si “les erreurs…” est bien le COD du participe passé “trouvé”, celui-ci devrait être au pluriel (et accordé en genre). => faites-le pour toute(s) les erreurs qu'il aura trouvé | trouvé => suggestions : ['trouvés']

168 Mot inconnu : FOG => Cette traduction a été faite par un utilisateur, il n'y a pour le moment aucune validation de l'équipe officielle de FOG, vous téléchargez et utilisez ce fichier en tout connaissance de cause. | fog
168 Accord avec “tout” : “connaissance” devrait être au masculin singulier. => Cette traduction a été faite par un utilisateur, il n'y a pour le moment aucune validation de l'équipe officielle de FOG, vous téléchargez et utilisez ce fichier en tout connaissance de cause. | connaissance => suggestions : []

171 Mot inconnu : FOG => Téléchargez l'archive de traduction correspondant au langage que vous souhaitez installer (débrouillez-vous pour la trouver sur le [[https://sourceforge.net/projects/freeghost/forums|forum de FOG]] si elle existe :-P). Pour les français, elle est actuellement [[http://kernchr.free.fr/download/drivers/fr_FR.UTF-8.tar.gz|ici]] | fog
171 S’il s’agit d’un gentilé, mettez une majuscule. => Téléchargez l'archive de traduction correspondant au langage que vous souhaitez installer (débrouillez-vous pour la trouver sur le [[https://sourceforge.net/projects/freeghost/forums|forum de FOG]] si elle existe :-P). Pour les français, elle est actuellement [[http://kernchr.free.fr/download/drivers/fr_FR.UTF-8.tar.gz|ici]] | français => suggestions : ['Français']

178 Guillemets typographiques ouvrants. => Décompressez-la puis copiez le tout dans le dossier "languages" de FOG (donc normalement dans /var/www/fog/management/languages/). | " => suggestions : ['«\xa0', '“']
178 Mot inconnu : languages => Décompressez-la puis copiez le tout dans le dossier "languages" de FOG (donc normalement dans /var/www/fog/management/languages/). | languages
178 Guillemets typographiques fermants. => Décompressez-la puis copiez le tout dans le dossier "languages" de FOG (donc normalement dans /var/www/fog/management/languages/). | " => suggestions : ['\xa0»', '”']
178 Mot inconnu : FOG => Décompressez-la puis copiez le tout dans le dossier "languages" de FOG (donc normalement dans /var/www/fog/management/languages/). | fog

184 Guillemets typographiques ouvrants. => Les identifiants par défaut sont "fog" "password". | " => suggestions : ['«\xa0', '“']
184 Mot inconnu : fog => Les identifiants par défaut sont "fog" "password". | fog
184 Guillemets typographiques fermants. => Les identifiants par défaut sont "fog" "password". | " => suggestions : ['\xa0»', '”']
184 Guillemets typographiques ouvrants. => Les identifiants par défaut sont "fog" "password". | " => suggestions : ['«\xa0', '“']
184 Mot inconnu : password => Les identifiants par défaut sont "fog" "password". | password
