
5 Mot inconnu : GeoGebra => ====== GeoGebra ====== | geogebra
44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * On peut aussi bien créer des objets à la souris que définir leurs propriétés de manière algébrique. |    => suggestions : ['']

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * On peut "rejouer" les étapes de construction d'une figure. |    => suggestions : ['']
45 Guillemets typographiques ouvrants. =>   * On peut "rejouer" les étapes de construction d'une figure. | " => suggestions : ['«\xa0', '“']
45 Guillemets typographiques fermants. =>   * On peut "rejouer" les étapes de construction d'une figure. | " => suggestions : ['\xa0»', '”']

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * On peut exporter les figures dans de nombreux formats vectoriels, et même générer du code LaTeX (soit en PsTricks soit en Tikz). |    => suggestions : ['']
46 Mot inconnu : LaTeX =>   * On peut exporter les figures dans de nombreux formats vectoriels, et même générer du code LaTeX (soit en PsTricks soit en Tikz). | latex
46 Mot inconnu : PsTricks =>   * On peut exporter les figures dans de nombreux formats vectoriels, et même générer du code LaTeX (soit en PsTricks soit en Tikz). | pstricks
46 Mot inconnu : Tikz =>   * On peut exporter les figures dans de nombreux formats vectoriels, et même générer du code LaTeX (soit en PsTricks soit en Tikz). | tikz

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Intègre un module de calcul formel et un tableur qui communiquent avec la (ou les) figure(s). |    => suggestions : ['']
47 Écriture invariable. Utilisez un point médian. =>   * Intègre un module de calcul formel et un tableur qui communiquent avec la (ou les) figure(s). | figure(s) => suggestions : ['figure·s']

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Supporte la géométrie dans l'espace depuis la version 5.0. |    => suggestions : ['']

51 Mot inconnu : Geogebra => Geogebra 6 : classique | geogebra

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** [[http://www.geogebra.org]] |    => suggestions : ['']

64 Espace(s) surnuméraire(s) à supprimer. => //Contributeurs principaux :  snip,frombenny,YvanD,Gemnoc,Canigou 66,mimilus,grigouille,YoBoY,obooklage.// |    => suggestions : [' ']
64 Mot inconnu : snip => //Contributeurs principaux :  snip,frombenny,YvanD,Gemnoc,Canigou 66,mimilus,grigouille,YoBoY,obooklage.// | snip
64 Il manque un espace. => //Contributeurs principaux :  snip,frombenny,YvanD,Gemnoc,Canigou 66,mimilus,grigouille,YoBoY,obooklage.// | frombenny => suggestions : [' frombenny']
64 Mot inconnu : frombenny => //Contributeurs principaux :  snip,frombenny,YvanD,Gemnoc,Canigou 66,mimilus,grigouille,YoBoY,obooklage.// | frombenny
64 Mot inconnu : YvanD => //Contributeurs principaux :  snip,frombenny,YvanD,Gemnoc,Canigou 66,mimilus,grigouille,YoBoY,obooklage.// | yvand
64 Il manque un espace. => //Contributeurs principaux :  snip,frombenny,YvanD,Gemnoc,Canigou 66,mimilus,grigouille,YoBoY,obooklage.// | gemnoc => suggestions : [' Gemnoc']
64 Mot inconnu : Gemnoc => //Contributeurs principaux :  snip,frombenny,YvanD,Gemnoc,Canigou 66,mimilus,grigouille,YoBoY,obooklage.// | gemnoc
64 Mot inconnu : Canigou => //Contributeurs principaux :  snip,frombenny,YvanD,Gemnoc,Canigou 66,mimilus,grigouille,YoBoY,obooklage.// | canigou
64 Mot inconnu : mimilus => //Contributeurs principaux :  snip,frombenny,YvanD,Gemnoc,Canigou 66,mimilus,grigouille,YoBoY,obooklage.// | mimilus
64 Mot inconnu : grigouille => //Contributeurs principaux :  snip,frombenny,YvanD,Gemnoc,Canigou 66,mimilus,grigouille,YoBoY,obooklage.// | grigouille
64 Il manque un espace. => //Contributeurs principaux :  snip,frombenny,YvanD,Gemnoc,Canigou 66,mimilus,grigouille,YoBoY,obooklage.// | yoboy => suggestions : [' YoBoY']
64 Mot inconnu : YoBoY => //Contributeurs principaux :  snip,frombenny,YvanD,Gemnoc,Canigou 66,mimilus,grigouille,YoBoY,obooklage.// | yoboy
64 Mot inconnu : obooklage => //Contributeurs principaux :  snip,frombenny,YvanD,Gemnoc,Canigou 66,mimilus,grigouille,YoBoY,obooklage.// | obooklage
