
5 Mot inconnu : Calligra => ======Calligra Words : le traitement de texte====== | calligra
39 Mot inconnu : What => C'est la fenêtre WYSIWYG (What You See Is What You Get = ce que vous voyez est ce que vous aurez), zoomable, pouvant être scindée en plusieurs vues (pratique pour travailler sur deux sections éloignées d'un même document), disposant de grilles et de règles. | what
39 Mot inconnu : You => C'est la fenêtre WYSIWYG (What You See Is What You Get = ce que vous voyez est ce que vous aurez), zoomable, pouvant être scindée en plusieurs vues (pratique pour travailler sur deux sections éloignées d'un même document), disposant de grilles et de règles. | you
39 Mot inconnu : See => C'est la fenêtre WYSIWYG (What You See Is What You Get = ce que vous voyez est ce que vous aurez), zoomable, pouvant être scindée en plusieurs vues (pratique pour travailler sur deux sections éloignées d'un même document), disposant de grilles et de règles. | see
39 Mot inconnu : Is => C'est la fenêtre WYSIWYG (What You See Is What You Get = ce que vous voyez est ce que vous aurez), zoomable, pouvant être scindée en plusieurs vues (pratique pour travailler sur deux sections éloignées d'un même document), disposant de grilles et de règles. | is
39 Mot inconnu : What => C'est la fenêtre WYSIWYG (What You See Is What You Get = ce que vous voyez est ce que vous aurez), zoomable, pouvant être scindée en plusieurs vues (pratique pour travailler sur deux sections éloignées d'un même document), disposant de grilles et de règles. | what
39 Mot inconnu : You => C'est la fenêtre WYSIWYG (What You See Is What You Get = ce que vous voyez est ce que vous aurez), zoomable, pouvant être scindée en plusieurs vues (pratique pour travailler sur deux sections éloignées d'un même document), disposant de grilles et de règles. | you
39 Mot inconnu : Get => C'est la fenêtre WYSIWYG (What You See Is What You Get = ce que vous voyez est ce que vous aurez), zoomable, pouvant être scindée en plusieurs vues (pratique pour travailler sur deux sections éloignées d'un même document), disposant de grilles et de règles. | get

42 Mot inconnu : Words => Au lancement, Words vous demande s'il faut ouvrir un document existant, ou commencer avec un modèle vierge. Plusieurs modèles sont fournis, mais vous pouvez créer les vôtres. | words

45 Mot inconnu : Words => Les documents créés avec Words peuvent ainsi être ouvert avec OpenOffice.org Writer, Abiword, ou tout autre application gérant l'OpenDocument. | words
45 Accord avec la forme verbale “peuvent” : “ouvert” devrait être au pluriel. => Les documents créés avec Words peuvent ainsi être ouvert avec OpenOffice.org Writer, Abiword, ou tout autre application gérant l'OpenDocument. | ouvert => suggestions : ['ouverts']
45 Mot inconnu : Abiword => Les documents créés avec Words peuvent ainsi être ouvert avec OpenOffice.org Writer, Abiword, ou tout autre application gérant l'OpenDocument. | abiword
45 Mot inconnu : OpenDocument => Les documents créés avec Words peuvent ainsi être ouvert avec OpenOffice.org Writer, Abiword, ou tout autre application gérant l'OpenDocument. | opendocument

47 Mot inconnu : Words => Un grand nombre de filtres d'importation est disponible dans Words (Abiword, OpenOffice.org, RTF ...). La compatibilité avec les documents MS Word est en amélioration constante. | words
47 Mot inconnu : Abiword => Un grand nombre de filtres d'importation est disponible dans Words (Abiword, OpenOffice.org, RTF ...). La compatibilité avec les documents MS Word est en amélioration constante. | abiword
47 Mot inconnu : RTF => Un grand nombre de filtres d'importation est disponible dans Words (Abiword, OpenOffice.org, RTF ...). La compatibilité avec les documents MS Word est en amélioration constante. | rtf
47 Typographie : points de suspension. Utilisez le caractère dédié. => Un grand nombre de filtres d'importation est disponible dans Words (Abiword, OpenOffice.org, RTF ...). La compatibilité avec les documents MS Word est en amélioration constante. | ... => suggestions : ['…']
47 Mot inconnu : Word => Un grand nombre de filtres d'importation est disponible dans Words (Abiword, OpenOffice.org, RTF ...). La compatibilité avec les documents MS Word est en amélioration constante. | word

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[http://www.calligra-suite.org/words|Site officiel de Words]] |    => suggestions : ['']
53 Mot inconnu : Words =>   * **(en)** [[http://www.calligra-suite.org/words|Site officiel de Words]] | words
