
4 Mot inconnu : Pam => ====== Pam Blue ====== | pam
17 Mot inconnu : bluetooth => **PAM Blue** utilise comme moyen d'identification le nom du périphérique bluetooth ainsi que son adresse MAC. Or une adresse MAC peut être modifiée par différents moyens plus ou moins complexes. Ce serait bête qu'une personne accède à votre ordinateur en contournant votre mot de passe grâce à son téléphone portable.</note> | bluetooth

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Un appareil bluetooth |    => suggestions : ['']
22 Mot inconnu : bluetooth =>   * Un appareil bluetooth | bluetooth

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Un ordinateur capable d'établir une connexion bluetooth avec l'appareil (clef bluetooh USB par exemple) |    => suggestions : ['']
23 Mot inconnu : bluetooth =>   * Un ordinateur capable d'établir une connexion bluetooth avec l'appareil (clef bluetooh USB par exemple) | bluetooth
23 Mot inconnu : bluetooh =>   * Un ordinateur capable d'établir une connexion bluetooth avec l'appareil (clef bluetooh USB par exemple) | bluetooh

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[apt://bluez-utils|bluez-utils]] |    => suggestions : ['']

33 Mot inconnu : bluetooth => La première étape est de connaitre l'adresse MAC de votre appareil bluetooth. | bluetooth

35 Mot inconnu : bluetooth => Pour ce faire, placez votre appareil bluetooth à proximité de votre ordinateur et tapez la commande suivante :  | bluetooth
35 Espace(s) en fin de ligne à supprimer. => Pour ce faire, placez votre appareil bluetooth à proximité de votre ordinateur et tapez la commande suivante :  |   => suggestions : ['']

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   $ hcitool scan |    => suggestions : ['']
37 Mot inconnu : hcitool =>   $ hcitool scan | hcitool

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Scanning ... |    => suggestions : ['']
38 Mot inconnu : Scanning =>   Scanning ... | scanning
38 Typographie : points de suspension. Utilisez le caractère dédié. =>   Scanning ... | ... => suggestions : ['…']

39 Mot inconnu : E1 => 	00:1E:E1:6A:D4:41	Mizuho | e1
39 Il manque un espace. => 	00:1E:E1:6A:D4:41	Mizuho | 6a => suggestions : [' 6A']
39 Mot inconnu : D4 => 	00:1E:E1:6A:D4:41	Mizuho | d4
39 Il manque un espace. => 	00:1E:E1:6A:D4:41	Mizuho | 41 => suggestions : [' 41']
39 Mot inconnu : Mizuho => 	00:1E:E1:6A:D4:41	Mizuho | mizuho

41 Mot inconnu : E1 => Notez l'adresse MAC (00:1E:E1:6A:D4:41) et le nom de l'appareil (Mizuho) pour plus tard. | e1
41 Il manque un espace. => Notez l'adresse MAC (00:1E:E1:6A:D4:41) et le nom de l'appareil (Mizuho) pour plus tard. | 6a => suggestions : [' 6A']
41 Mot inconnu : D4 => Notez l'adresse MAC (00:1E:E1:6A:D4:41) et le nom de l'appareil (Mizuho) pour plus tard. | d4
41 Il manque un espace. => Notez l'adresse MAC (00:1E:E1:6A:D4:41) et le nom de l'appareil (Mizuho) pour plus tard. | 41 => suggestions : [' 41']
41 Mot inconnu : Mizuho => Notez l'adresse MAC (00:1E:E1:6A:D4:41) et le nom de l'appareil (Mizuho) pour plus tard. | mizuho

43 Mot inconnu : bluetooth => <note tip>Si votre appareil bluetooth n'est pas détecté à cette étape, pensez à vérifier que la //"visibilité bluetooth"// de ce dernier est bien activée.</note> | bluetooth
43 Guillemets typographiques ouvrants. => <note tip>Si votre appareil bluetooth n'est pas détecté à cette étape, pensez à vérifier que la //"visibilité bluetooth"// de ce dernier est bien activée.</note> | " => suggestions : ['«\xa0', '“']
43 Mot inconnu : bluetooth => <note tip>Si votre appareil bluetooth n'est pas détecté à cette étape, pensez à vérifier que la //"visibilité bluetooth"// de ce dernier est bien activée.</note> | bluetooth
43 Guillemets typographiques fermants. => <note tip>Si votre appareil bluetooth n'est pas détecté à cette étape, pensez à vérifier que la //"visibilité bluetooth"// de ce dernier est bien activée.</note> | " => suggestions : ['\xa0»', '”']

56 Mot inconnu : libpam-dev => <note tip>L'installation du paquet libpam-dev n'est pas indispensable au bon fonctionnement de l'authentification par bluetooth.</note> | libpam-dev
56 Mot inconnu : bluetooth => <note tip>L'installation du paquet libpam-dev n'est pas indispensable au bon fonctionnement de l'authentification par bluetooth.</note> | bluetooth

60 Mot inconnu : Pam => ==== Pam Blue ==== | pam
60 Mot inconnu : Blue => ==== Pam Blue ==== | blue

66 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   general { |    => suggestions : ['']
66 Mot inconnu : general =>   general { | general

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     # the normal timeout for scanning |      => suggestions : ['']
67 Mot inconnu : the =>     # the normal timeout for scanning | the
67 Mot inconnu : timeout =>     # the normal timeout for scanning | timeout
67 Mot inconnu : scanning =>     # the normal timeout for scanning | scanning

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     # watch out for a to tiny timeslot for scanning |      => suggestions : ['']
68 Mot inconnu : watch =>     # watch out for a to tiny timeslot for scanning | watch
68 Mot inconnu : to =>     # watch out for a to tiny timeslot for scanning | to
68 Mot inconnu : tiny =>     # watch out for a to tiny timeslot for scanning | tiny
68 Mot inconnu : timeslot =>     # watch out for a to tiny timeslot for scanning | timeslot
68 Mot inconnu : scanning =>     # watch out for a to tiny timeslot for scanning | scanning

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     # values between 3 and 15 seconds are valid |      => suggestions : ['']
69 Mot inconnu : between =>     # values between 3 and 15 seconds are valid | between
69 Mot inconnu : and =>     # values between 3 and 15 seconds are valid | and
69 Accord de nombre erroné avec « 15 seconds » : « are » devrait être au pluriel. =>     # values between 3 and 15 seconds are valid | are => suggestions : ['ares']
69 Mot inconnu : valid =>     # values between 3 and 15 seconds are valid | valid

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     timeout = 3; |      => suggestions : ['']
70 Mot inconnu : timeout =>     timeout = 3; | timeout

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   } |    => suggestions : ['']

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # configuration for user korzendorfer |    => suggestions : ['']
72 Mot inconnu : korzendorfer =>   # configuration for user korzendorfer | korzendorfer

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   korzendorfer = { |    => suggestions : ['']
74 Mot inconnu : korzendorfer =>   korzendorfer = { | korzendorfer

75 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      |      => suggestions : ['']

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       # bluetooth device name |        => suggestions : ['']
76 Mot inconnu : bluetooth =>       # bluetooth device name | bluetooth
76 Mot inconnu : device =>       # bluetooth device name | device
76 Mot inconnu : name =>       # bluetooth device name | name

77 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       name    = tux; |        => suggestions : ['']
77 Mot inconnu : name =>       name    = tux; | name
77 Espace(s) surnuméraire(s) à supprimer. =>       name    = tux; |      => suggestions : [' ']
77 Mot inconnu : tux =>       name    = tux; | tux

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      |      => suggestions : ['']

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       # bluetooth mac address |        => suggestions : ['']
79 Mot inconnu : bluetooth =>       # bluetooth mac address | bluetooth
79 Mot inconnu : address =>       # bluetooth mac address | address

80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       bluemac = 54:34:34:34:34:34; |        => suggestions : ['']
80 Mot inconnu : bluemac =>       bluemac = 54:34:34:34:34:34; | bluemac

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       # a seaparate timeout |        => suggestions : ['']
82 Mot inconnu : seaparate =>       # a seaparate timeout | seaparate
82 Mot inconnu : timeout =>       # a seaparate timeout | timeout

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       timeout = 10; |        => suggestions : ['']
83 Mot inconnu : timeout =>       timeout = 10; | timeout

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   } |    => suggestions : ['']

85 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   (...) |    => suggestions : ['']
85 Typographie : points de suspension. Utilisez le caractère dédié. =>   (...) | ... => suggestions : ['…']

87 Mot inconnu : bluetooth => Changez dans ce fichier le nom de l'appareil bluetooth et son adresse MAC par le nom et l'adresse MAC récupérée un peu plus tôt par le scan ainsi que l'utilisateur par le nom de votre session. | bluetooth

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   (...) |    => suggestions : ['']
90 Typographie : points de suspension. Utilisez le caractère dédié. =>   (...) | ... => suggestions : ['…']

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   nathan = { |    => suggestions : ['']
91 Mot inconnu : nathan =>   nathan = { | nathan

92 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       # bluetooth device name |        => suggestions : ['']
92 Mot inconnu : bluetooth =>       # bluetooth device name | bluetooth
92 Mot inconnu : device =>       # bluetooth device name | device
92 Mot inconnu : name =>       # bluetooth device name | name

93 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       name    = Mizuho; |        => suggestions : ['']
93 Mot inconnu : name =>       name    = Mizuho; | name
93 Espace(s) surnuméraire(s) à supprimer. =>       name    = Mizuho; |      => suggestions : [' ']
93 Mot inconnu : Mizuho =>       name    = Mizuho; | mizuho

94 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       # bluetooth mac address |        => suggestions : ['']
94 Mot inconnu : bluetooth =>       # bluetooth mac address | bluetooth
94 Mot inconnu : address =>       # bluetooth mac address | address

95 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       bluemac = 00:1E:E1:6A:D4:41; |        => suggestions : ['']
95 Mot inconnu : bluemac =>       bluemac = 00:1E:E1:6A:D4:41; | bluemac
95 Mot inconnu : E1 =>       bluemac = 00:1E:E1:6A:D4:41; | e1
95 Il manque un espace. =>       bluemac = 00:1E:E1:6A:D4:41; | 6a => suggestions : [' 6A']
95 Mot inconnu : D4 =>       bluemac = 00:1E:E1:6A:D4:41; | d4
95 Il manque un espace. =>       bluemac = 00:1E:E1:6A:D4:41; | 41 => suggestions : [' 41']

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       # a seaparate timeout |        => suggestions : ['']
96 Mot inconnu : seaparate =>       # a seaparate timeout | seaparate
96 Mot inconnu : timeout =>       # a seaparate timeout | timeout

97 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       timeout = 10; |        => suggestions : ['']
97 Mot inconnu : timeout =>       timeout = 10; | timeout

98 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   } |    => suggestions : ['']

99 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   (...) |    => suggestions : ['']
99 Typographie : points de suspension. Utilisez le caractère dédié. =>   (...) | ... => suggestions : ['…']

101 Mot inconnu : parsing => <note important>Le nom du périphérique ne doit pas contenir d'espace, sous peine de provoquer une erreur de parsing de la conf</note> | parsing

103 Mot inconnu : Pam => **Pam Blue** est configuré. Il faut donc maintenant dire au système d'utiliser **PAM Blue** pour l'authentification à chaque fois que ce sera possible. | pam
103 Mot inconnu : Blue => **Pam Blue** est configuré. Il faut donc maintenant dire au système d'utiliser **PAM Blue** pour l'authentification à chaque fois que ce sera possible. | blue
103 Mot inconnu : PAM => **Pam Blue** est configuré. Il faut donc maintenant dire au système d'utiliser **PAM Blue** pour l'authentification à chaque fois que ce sera possible. | pam
103 Mot inconnu : Blue => **Pam Blue** est configuré. Il faut donc maintenant dire au système d'utiliser **PAM Blue** pour l'authentification à chaque fois que ce sera possible. | blue

109 Mot inconnu : PAM => Nous allons faire en sorte que l'identification de session gnome se fasse par **PAM Blue** à la place de l'identification classique. | pam
109 Mot inconnu : Blue => Nous allons faire en sorte que l'identification de session gnome se fasse par **PAM Blue** à la place de l'identification classique. | blue

113 Accord de nombre erroné : « distribution » devrait être au pluriel. => Pour les distribution Ubuntu utilisant LightDM (par exemple la version 12.04) le fichier à modifier est /etc/pam.d/lightdm | distribution => suggestions : ['distributions']
113 Mot inconnu : LightDM => Pour les distribution Ubuntu utilisant LightDM (par exemple la version 12.04) le fichier à modifier est /etc/pam.d/lightdm | lightdm
115 Espace(s) en fin de ligne à supprimer. => Le fichier ressemble à ceci :  |   => suggestions : ['']

117 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   #%PAM-1.0 |    => suggestions : ['']
117 Il manque un espace. =>   #%PAM-1.0 | pam-1 => suggestions : [' PAM-1']
117 Mot inconnu : PAM-1 =>   #%PAM-1.0 | pam-1

118 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   auth    requisite       pam_nologin.so |    => suggestions : ['']
118 Mot inconnu : auth =>   auth    requisite       pam_nologin.so | auth
118 Espace(s) surnuméraire(s) à supprimer. =>   auth    requisite       pam_nologin.so |      => suggestions : [' ']
118 Mot inconnu : requisite =>   auth    requisite       pam_nologin.so | requisite
118 Espace(s) surnuméraire(s) à supprimer. =>   auth    requisite       pam_nologin.so |         => suggestions : [' ']
118 Mot inconnu : pam_nologin =>   auth    requisite       pam_nologin.so | pam_nologin
118 Mot inconnu : so =>   auth    requisite       pam_nologin.so | so

119 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   auth    required        pam_env.so readenv=1 |    => suggestions : ['']
119 Mot inconnu : auth =>   auth    required        pam_env.so readenv=1 | auth
119 Espace(s) surnuméraire(s) à supprimer. =>   auth    required        pam_env.so readenv=1 |      => suggestions : [' ']
119 Mot inconnu : required =>   auth    required        pam_env.so readenv=1 | required
119 Espace(s) surnuméraire(s) à supprimer. =>   auth    required        pam_env.so readenv=1 |          => suggestions : [' ']
119 Mot inconnu : pam_env =>   auth    required        pam_env.so readenv=1 | pam_env
119 Mot inconnu : so =>   auth    required        pam_env.so readenv=1 | so
119 Mot inconnu : readenv =>   auth    required        pam_env.so readenv=1 | readenv

120 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   auth    required        pam_env.so readenv=1 envfile=/etc/default/locale |    => suggestions : ['']
120 Mot inconnu : auth =>   auth    required        pam_env.so readenv=1 envfile=/etc/default/locale | auth
120 Espace(s) surnuméraire(s) à supprimer. =>   auth    required        pam_env.so readenv=1 envfile=/etc/default/locale |      => suggestions : [' ']
120 Mot inconnu : required =>   auth    required        pam_env.so readenv=1 envfile=/etc/default/locale | required
120 Espace(s) surnuméraire(s) à supprimer. =>   auth    required        pam_env.so readenv=1 envfile=/etc/default/locale |          => suggestions : [' ']
120 Mot inconnu : pam_env =>   auth    required        pam_env.so readenv=1 envfile=/etc/default/locale | pam_env
120 Mot inconnu : so =>   auth    required        pam_env.so readenv=1 envfile=/etc/default/locale | so
120 Mot inconnu : readenv =>   auth    required        pam_env.so readenv=1 envfile=/etc/default/locale | readenv
120 Mot inconnu : envfile =>   auth    required        pam_env.so readenv=1 envfile=/etc/default/locale | envfile

121 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   @include common-auth |    => suggestions : ['']
121 Mot inconnu : common-auth =>   @include common-auth | common-auth

122 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   auth    optional        pam_gnome_keyring.so |    => suggestions : ['']
122 Mot inconnu : auth =>   auth    optional        pam_gnome_keyring.so | auth
122 Espace(s) surnuméraire(s) à supprimer. =>   auth    optional        pam_gnome_keyring.so |      => suggestions : [' ']
122 Mot inconnu : optional =>   auth    optional        pam_gnome_keyring.so | optional
122 Espace(s) surnuméraire(s) à supprimer. =>   auth    optional        pam_gnome_keyring.so |          => suggestions : [' ']
122 Mot inconnu : pam_gnome_keyring =>   auth    optional        pam_gnome_keyring.so | pam_gnome_keyring
122 Mot inconnu : so =>   auth    optional        pam_gnome_keyring.so | so

123 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   @include common-account |    => suggestions : ['']
123 Mot inconnu : common-account =>   @include common-account | common-account

124 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   session required        pam_limits.so |    => suggestions : ['']
124 Mot inconnu : required =>   session required        pam_limits.so | required
124 Espace(s) surnuméraire(s) à supprimer. =>   session required        pam_limits.so |          => suggestions : [' ']
124 Mot inconnu : pam_limits =>   session required        pam_limits.so | pam_limits
124 Mot inconnu : so =>   session required        pam_limits.so | so

125 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   @include common-session |    => suggestions : ['']
125 Mot inconnu : common-session =>   @include common-session | common-session

126 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   session optional        pam_gnome_keyring.so auto_start |    => suggestions : ['']
126 Mot inconnu : optional =>   session optional        pam_gnome_keyring.so auto_start | optional
126 Espace(s) surnuméraire(s) à supprimer. =>   session optional        pam_gnome_keyring.so auto_start |          => suggestions : [' ']
126 Mot inconnu : pam_gnome_keyring =>   session optional        pam_gnome_keyring.so auto_start | pam_gnome_keyring
126 Mot inconnu : so =>   session optional        pam_gnome_keyring.so auto_start | so
126 Mot inconnu : auto_start =>   session optional        pam_gnome_keyring.so auto_start | auto_start

127 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   @include common-password |    => suggestions : ['']
127 Mot inconnu : common-password =>   @include common-password | common-password

131 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   #%PAM-1.0 |    => suggestions : ['']
131 Il manque un espace. =>   #%PAM-1.0 | pam-1 => suggestions : [' PAM-1']
131 Mot inconnu : PAM-1 =>   #%PAM-1.0 | pam-1

132 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   auth    requisite       pam_nologin.so |    => suggestions : ['']
132 Mot inconnu : auth =>   auth    requisite       pam_nologin.so | auth
132 Espace(s) surnuméraire(s) à supprimer. =>   auth    requisite       pam_nologin.so |      => suggestions : [' ']
132 Mot inconnu : requisite =>   auth    requisite       pam_nologin.so | requisite
132 Espace(s) surnuméraire(s) à supprimer. =>   auth    requisite       pam_nologin.so |         => suggestions : [' ']
132 Mot inconnu : pam_nologin =>   auth    requisite       pam_nologin.so | pam_nologin
132 Mot inconnu : so =>   auth    requisite       pam_nologin.so | so

133 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   auth    required        pam_env.so readenv=1 |    => suggestions : ['']
133 Mot inconnu : auth =>   auth    required        pam_env.so readenv=1 | auth
133 Espace(s) surnuméraire(s) à supprimer. =>   auth    required        pam_env.so readenv=1 |      => suggestions : [' ']
133 Mot inconnu : required =>   auth    required        pam_env.so readenv=1 | required
133 Espace(s) surnuméraire(s) à supprimer. =>   auth    required        pam_env.so readenv=1 |          => suggestions : [' ']
133 Mot inconnu : pam_env =>   auth    required        pam_env.so readenv=1 | pam_env
133 Mot inconnu : so =>   auth    required        pam_env.so readenv=1 | so
133 Mot inconnu : readenv =>   auth    required        pam_env.so readenv=1 | readenv

134 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   auth    required        pam_env.so readenv=1 envfile=/etc/default/locale |    => suggestions : ['']
134 Mot inconnu : auth =>   auth    required        pam_env.so readenv=1 envfile=/etc/default/locale | auth
134 Espace(s) surnuméraire(s) à supprimer. =>   auth    required        pam_env.so readenv=1 envfile=/etc/default/locale |      => suggestions : [' ']
134 Mot inconnu : required =>   auth    required        pam_env.so readenv=1 envfile=/etc/default/locale | required
134 Espace(s) surnuméraire(s) à supprimer. =>   auth    required        pam_env.so readenv=1 envfile=/etc/default/locale |          => suggestions : [' ']
134 Mot inconnu : pam_env =>   auth    required        pam_env.so readenv=1 envfile=/etc/default/locale | pam_env
134 Mot inconnu : so =>   auth    required        pam_env.so readenv=1 envfile=/etc/default/locale | so
134 Mot inconnu : readenv =>   auth    required        pam_env.so readenv=1 envfile=/etc/default/locale | readenv
134 Mot inconnu : envfile =>   auth    required        pam_env.so readenv=1 envfile=/etc/default/locale | envfile

135 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

136 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   auth	  sufficient	pam_blue.so |    => suggestions : ['']
136 Mot inconnu : auth =>   auth	  sufficient	pam_blue.so | auth
136 Incohérence : espace et tabulation. =>   auth	  sufficient	pam_blue.so | 	  => suggestions : [' ', '\t']
136 Mot inconnu : sufficient =>   auth	  sufficient	pam_blue.so | sufficient
136 Mot inconnu : pam_blue =>   auth	  sufficient	pam_blue.so | pam_blue
136 Mot inconnu : so =>   auth	  sufficient	pam_blue.so | so

137 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      |      => suggestions : ['']

138 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   @include common-auth |    => suggestions : ['']
138 Mot inconnu : common-auth =>   @include common-auth | common-auth

139 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   auth    optional        pam_gnome_keyring.so |    => suggestions : ['']
139 Mot inconnu : auth =>   auth    optional        pam_gnome_keyring.so | auth
139 Espace(s) surnuméraire(s) à supprimer. =>   auth    optional        pam_gnome_keyring.so |      => suggestions : [' ']
139 Mot inconnu : optional =>   auth    optional        pam_gnome_keyring.so | optional
139 Espace(s) surnuméraire(s) à supprimer. =>   auth    optional        pam_gnome_keyring.so |          => suggestions : [' ']
139 Mot inconnu : pam_gnome_keyring =>   auth    optional        pam_gnome_keyring.so | pam_gnome_keyring
139 Mot inconnu : so =>   auth    optional        pam_gnome_keyring.so | so

140 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   (...) |    => suggestions : ['']
140 Typographie : points de suspension. Utilisez le caractère dédié. =>   (...) | ... => suggestions : ['…']

150 Mot inconnu : PAM => <note important>Vous pouvez configurer votre système pour qu'il utilise **PAM Blue** à chaque fois que vous devez rentrer un mot de passe (sudo par exemple), cependant soyez bien conscient que ceci peut mettre en danger la sécurité de votre système (notamment en cas de connexion à distance). C'est pour cela que je n'expliquerais pas ici comment faire. Si vous voulez vraiment aller plus loin vous avez les bases pour chercher seul.</note> | pam
150 Mot inconnu : Blue => <note important>Vous pouvez configurer votre système pour qu'il utilise **PAM Blue** à chaque fois que vous devez rentrer un mot de passe (sudo par exemple), cependant soyez bien conscient que ceci peut mettre en danger la sécurité de votre système (notamment en cas de connexion à distance). C'est pour cela que je n'expliquerais pas ici comment faire. Si vous voulez vraiment aller plus loin vous avez les bases pour chercher seul.</note> | blue
150 Mot inconnu : sudo => <note important>Vous pouvez configurer votre système pour qu'il utilise **PAM Blue** à chaque fois que vous devez rentrer un mot de passe (sudo par exemple), cependant soyez bien conscient que ceci peut mettre en danger la sécurité de votre système (notamment en cas de connexion à distance). C'est pour cela que je n'expliquerais pas ici comment faire. Si vous voulez vraiment aller plus loin vous avez les bases pour chercher seul.</note> | sudo

152 Mot inconnu : bluetooth => <note important>Si votre appareil bluetooth n'est pas à portée au moment où vous vous identifiez sur votre session, au bout de 10 secondes((Durée configurable dans le fichier /etc/security/bluesscan.conf)) **PAM Blue** cède la place à l'identificateur normale pour vous permettre de rentrer votre identifiant</note> | bluetooth
