
4 Mot inconnu : Pacapt => ====== Pacapt alias Pacman sous Ubuntu (gestionnaire de paquets) ====== | pacapt
41 Il manque un espace à côté du tiret. => sudo wget -O /usr/local/bin/pacapt \ |  - => suggestions : [' – ', ' — ']

43 Mot inconnu : sudo => sudo chmod 755 /usr/local/bin/pacapt | sudo
43 Mot inconnu : chmod => sudo chmod 755 /usr/local/bin/pacapt | chmod

44 Mot inconnu : sudo => sudo ln -sv /usr/local/bin/pacapt /usr/local/bin/pacman || true ** "Création d'un lien symbolique d'équivalence" ** | sudo
44 Il manque un espace à côté du tiret. => sudo ln -sv /usr/local/bin/pacapt /usr/local/bin/pacman || true ** "Création d'un lien symbolique d'équivalence" ** |  - => suggestions : [' – ', ' — ']
44 Mot inconnu : sv => sudo ln -sv /usr/local/bin/pacapt /usr/local/bin/pacman || true ** "Création d'un lien symbolique d'équivalence" ** | sv
44 Mot inconnu : true => sudo ln -sv /usr/local/bin/pacapt /usr/local/bin/pacman || true ** "Création d'un lien symbolique d'équivalence" ** | true
44 Guillemets typographiques ouvrants. => sudo ln -sv /usr/local/bin/pacapt /usr/local/bin/pacman || true ** "Création d'un lien symbolique d'équivalence" ** | " => suggestions : ['«\xa0', '“']
44 Guillemets typographiques fermants. => sudo ln -sv /usr/local/bin/pacapt /usr/local/bin/pacman || true ** "Création d'un lien symbolique d'équivalence" ** | " => suggestions : ['\xa0»', '”']

45 Guillemets typographiques ouvrants. => ** "Il vous faudra ensuite créer les liens symboliques suivants :" ** | " => suggestions : ['«\xa0', '“']

46 Mot inconnu : sudo => sudo ln -s /usr/local/bin/pacapt /usr/local/bin/pacapt-tlmgr | sudo
46 Il manque un espace à côté du tiret. => sudo ln -s /usr/local/bin/pacapt /usr/local/bin/pacapt-tlmgr |  - => suggestions : [' – ', ' — ']

47 Mot inconnu : sudo => sudo ln -s /usr/local/bin/pacapt /usr/local/bin/pacapt-conda | sudo
47 Il manque un espace à côté du tiret. => sudo ln -s /usr/local/bin/pacapt /usr/local/bin/pacapt-conda |  - => suggestions : [' – ', ' — ']

48 Mot inconnu : sudo => sudo pacapt install htop | sudo
48 Mot inconnu : pacapt => sudo pacapt install htop | pacapt
48 Mot inconnu : install => sudo pacapt install htop | install

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * cliquer sur le nom du fichier et le sauvegarder dans /~/Documents |    => suggestions : ['']

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * cliquer droit sur le fichier créé |    => suggestions : ['']

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * aller dans Propriétés et cocher "exécuter comme un programme" |    => suggestions : ['']
53 Guillemets typographiques ouvrants. =>   * aller dans Propriétés et cocher "exécuter comme un programme" | " => suggestions : ['«\xa0', '“']
53 Guillemets typographiques fermants. =>   * aller dans Propriétés et cocher "exécuter comme un programme" | " => suggestions : ['\xa0»', '”']
56 Guillemets typographiques ouvrants. => <code bash>sudo ./"Installation de Pacapt".sh</code> | " => suggestions : ['«\xa0', '“']
56 Guillemets typographiques fermants. => <code bash>sudo ./"Installation de Pacapt".sh</code> | " => suggestions : ['\xa0»', '”']
58 Mot inconnu : Pacman => Voilà ! Pacman est installé sur votre système | pacman

60 Mot inconnu : Pacapt => ===== Utilisation de Pacapt/Pacman ===== | pacapt
60 Mot inconnu : Pacman => ===== Utilisation de Pacapt/Pacman ===== | pacman

62 Mot inconnu : __ => __**Pacapt, pour quoi faire ?**__ | __
62 Mot inconnu : Pacapt => __**Pacapt, pour quoi faire ?**__ | pacapt
62 Mot inconnu : __ => __**Pacapt, pour quoi faire ?**__ | __

68 Mot inconnu : __ => __**Il peut**__ notamment __**remplacer les gestionnaires**__ suivants : | __
68 Mot inconnu : __ => __**Il peut**__ notamment __**remplacer les gestionnaires**__ suivants : | __
68 Mot inconnu : __ => __**Il peut**__ notamment __**remplacer les gestionnaires**__ suivants : | __
68 Mot inconnu : __ => __**Il peut**__ notamment __**remplacer les gestionnaires**__ suivants : | __

70 Mot inconnu : __ => __**Sous Linux :**__ | __
70 Mot inconnu : __ => __**Sous Linux :**__ | __

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * pacman sous Arch Linux, ArchBang, Manjaro, etc. |      => suggestions : ['']
71 Mot inconnu : pacman =>     * pacman sous Arch Linux, ArchBang, Manjaro, etc. | pacman
71 Mot inconnu : Arch =>     * pacman sous Arch Linux, ArchBang, Manjaro, etc. | arch
71 Mot inconnu : ArchBang =>     * pacman sous Arch Linux, ArchBang, Manjaro, etc. | archbang

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * **dpkg/apt-get sous Debian, Ubuntu, etc.** |      => suggestions : ['']
72 Mot inconnu : dpkg =>     * **dpkg/apt-get sous Debian, Ubuntu, etc.** | dpkg
72 Mot inconnu : apt-get =>     * **dpkg/apt-get sous Debian, Ubuntu, etc.** | apt-get

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * yum/rpm sous Redhat, CentOS, Fedora, etc. |      => suggestions : ['']
73 Mot inconnu : yum =>     * yum/rpm sous Redhat, CentOS, Fedora, etc. | yum
73 Mot inconnu : rpm =>     * yum/rpm sous Redhat, CentOS, Fedora, etc. | rpm
73 Mot inconnu : Redhat =>     * yum/rpm sous Redhat, CentOS, Fedora, etc. | redhat
73 Mot inconnu : CentOS =>     * yum/rpm sous Redhat, CentOS, Fedora, etc. | centos

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * portage sous Gentoo |      => suggestions : ['']
74 Mot inconnu : Gentoo =>     * portage sous Gentoo | gentoo

75 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * zypper sous OpenSUSE |      => suggestions : ['']
75 Mot inconnu : zypper =>     * zypper sous OpenSUSE | zypper

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * cave sous Exherbo Linux |      => suggestions : ['']
76 Mot inconnu : Exherbo =>     * cave sous Exherbo Linux | exherbo

77 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * apk sous Alpine Linux |      => suggestions : ['']
77 Mot inconnu : apk =>     * apk sous Alpine Linux | apk

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * tazpkg sous SliTaz Linux |      => suggestions : ['']
78 Mot inconnu : tazpkg =>     * tazpkg sous SliTaz Linux | tazpkg
78 Mot inconnu : SliTaz =>     * tazpkg sous SliTaz Linux | slitaz

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * swupd sous Clear Linux |      => suggestions : ['']
79 Mot inconnu : swupd =>     * swupd sous Clear Linux | swupd
79 Mot inconnu : Clear =>     * swupd sous Clear Linux | clear

80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * tlmgr sous TeX Live |      => suggestions : ['']
80 Mot inconnu : tlmgr =>     * tlmgr sous TeX Live | tlmgr
80 Mot inconnu : TeX =>     * tlmgr sous TeX Live | tex

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * conda sous Conda |      => suggestions : ['']
81 Mot inconnu : conda =>     * conda sous Conda | conda
81 Mot inconnu : Conda =>     * conda sous Conda | conda

83 Mot inconnu : __ => __**Sous Mac iOS :**__ | __
83 Mot inconnu : iOS => __**Sous Mac iOS :**__ | ios
83 Mot inconnu : __ => __**Sous Mac iOS :**__ | __

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * homebrew sous Mac OS X |      => suggestions : ['']
84 Mot inconnu : homebrew =>     * homebrew sous Mac OS X | homebrew

85 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * macports sous Mac OS X |      => suggestions : ['']
85 Mot inconnu : macports =>     * macports sous Mac OS X | macports

87 Mot inconnu : __ => __**Sous BSD :**__ | __
87 Mot inconnu : __ => __**Sous BSD :**__ | __

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * pkgng sous FreeBSD |      => suggestions : ['']
88 Mot inconnu : pkgng =>     * pkgng sous FreeBSD | pkgng

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * pkg_tools sous OpenBSD |      => suggestions : ['']
89 Mot inconnu : pkg_tools =>     * pkg_tools sous OpenBSD | pkg_tools

91 Mot inconnu : __ => __**Sous Solaris**__, anciennement SunOS | __
91 Mot inconnu : Solaris => __**Sous Solaris**__, anciennement SunOS | solaris
91 Mot inconnu : __ => __**Sous Solaris**__, anciennement SunOS | __
91 Mot inconnu : SunOS => __**Sous Solaris**__, anciennement SunOS | sunos

92 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * sun_tools |      => suggestions : ['']
92 Mot inconnu : sun_tools =>     * sun_tools | sun_tools
95 Il manque un espace à côté du tiret. => <code bash>sudo pacapt install [ou bien -S] [nom du fichier]</code> |  - => suggestions : [' – ', ' — ']
97 Il manque un espace à côté du tiret. => <code bash>sudo apt-get install -fy [nom du fichier]</code> |  - => suggestions : [' – ', ' — ']

100 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      |      => suggestions : ['']

101 Mot inconnu : bauh => <note>Si vous avez installé [[bauh|Bauh]] sur votre système, Pacapt dispose alors d'un environnement graphique pour l'installlation éventuelle des paquets Aur. </note> | bauh
101 Mot inconnu : Pacapt => <note>Si vous avez installé [[bauh|Bauh]] sur votre système, Pacapt dispose alors d'un environnement graphique pour l'installlation éventuelle des paquets Aur. </note> | pacapt
101 Mot inconnu : installlation => <note>Si vous avez installé [[bauh|Bauh]] sur votre système, Pacapt dispose alors d'un environnement graphique pour l'installlation éventuelle des paquets Aur. </note> | installlation
101 Mot inconnu : Aur => <note>Si vous avez installé [[bauh|Bauh]] sur votre système, Pacapt dispose alors d'un environnement graphique pour l'installlation éventuelle des paquets Aur. </note> | aur

105 Mot inconnu : Pacapt => ^ Taches ^ Commandes dans Pacapt ^ Commandes dans Ubuntu Bash ^ | pacapt
105 Mot inconnu : Bash => ^ Taches ^ Commandes dans Pacapt ^ Commandes dans Ubuntu Bash ^ | bash

106 Mot inconnu : pacapt => | Mise à jour de la liste des paquets |''pacapt -Sy'', ou ''pacapt update''| sudo apt-get update | | pacapt
106 Il manque un espace à côté du tiret. => | Mise à jour de la liste des paquets |''pacapt -Sy'', ou ''pacapt update''| sudo apt-get update | |  - => suggestions : [' – ', ' — ']
106 Mot inconnu : Sy => | Mise à jour de la liste des paquets |''pacapt -Sy'', ou ''pacapt update''| sudo apt-get update | | sy
106 Guillemets typographiques fermants. => | Mise à jour de la liste des paquets |''pacapt -Sy'', ou ''pacapt update''| sudo apt-get update | | '' => suggestions : ['\xa0»', '”']
106 Guillemets typographiques ouvrants. => | Mise à jour de la liste des paquets |''pacapt -Sy'', ou ''pacapt update''| sudo apt-get update | | '' => suggestions : ['«\xa0', '“']
106 Mot inconnu : pacapt => | Mise à jour de la liste des paquets |''pacapt -Sy'', ou ''pacapt update''| sudo apt-get update | | pacapt
106 Mot inconnu : update => | Mise à jour de la liste des paquets |''pacapt -Sy'', ou ''pacapt update''| sudo apt-get update | | update
106 Guillemets typographiques fermants. => | Mise à jour de la liste des paquets |''pacapt -Sy'', ou ''pacapt update''| sudo apt-get update | | '' => suggestions : ['\xa0»', '”']
106 Mot inconnu : sudo => | Mise à jour de la liste des paquets |''pacapt -Sy'', ou ''pacapt update''| sudo apt-get update | | sudo
106 Mot inconnu : apt-get => | Mise à jour de la liste des paquets |''pacapt -Sy'', ou ''pacapt update''| sudo apt-get update | | apt-get
106 Mot inconnu : update => | Mise à jour de la liste des paquets |''pacapt -Sy'', ou ''pacapt update''| sudo apt-get update | | update

107 Mot inconnu : pacapt => | Installation d'un paquet |''pacapt -S foo'', ou ''pacapt install foo''| sudo apt-get install -fy ''fichier''| | pacapt
107 Il manque un espace à côté du tiret. => | Installation d'un paquet |''pacapt -S foo'', ou ''pacapt install foo''| sudo apt-get install -fy ''fichier''| |  - => suggestions : [' – ', ' — ']
107 Mot inconnu : foo => | Installation d'un paquet |''pacapt -S foo'', ou ''pacapt install foo''| sudo apt-get install -fy ''fichier''| | foo
107 Guillemets typographiques fermants. => | Installation d'un paquet |''pacapt -S foo'', ou ''pacapt install foo''| sudo apt-get install -fy ''fichier''| | '' => suggestions : ['\xa0»', '”']
107 Guillemets typographiques ouvrants. => | Installation d'un paquet |''pacapt -S foo'', ou ''pacapt install foo''| sudo apt-get install -fy ''fichier''| | '' => suggestions : ['«\xa0', '“']
107 Mot inconnu : pacapt => | Installation d'un paquet |''pacapt -S foo'', ou ''pacapt install foo''| sudo apt-get install -fy ''fichier''| | pacapt
107 Mot inconnu : install => | Installation d'un paquet |''pacapt -S foo'', ou ''pacapt install foo''| sudo apt-get install -fy ''fichier''| | install
107 Mot inconnu : foo => | Installation d'un paquet |''pacapt -S foo'', ou ''pacapt install foo''| sudo apt-get install -fy ''fichier''| | foo
107 Guillemets typographiques fermants. => | Installation d'un paquet |''pacapt -S foo'', ou ''pacapt install foo''| sudo apt-get install -fy ''fichier''| | '' => suggestions : ['\xa0»', '”']
107 Mot inconnu : sudo => | Installation d'un paquet |''pacapt -S foo'', ou ''pacapt install foo''| sudo apt-get install -fy ''fichier''| | sudo
107 Mot inconnu : apt-get => | Installation d'un paquet |''pacapt -S foo'', ou ''pacapt install foo''| sudo apt-get install -fy ''fichier''| | apt-get
107 Mot inconnu : install => | Installation d'un paquet |''pacapt -S foo'', ou ''pacapt install foo''| sudo apt-get install -fy ''fichier''| | install
107 Il manque un espace à côté du tiret. => | Installation d'un paquet |''pacapt -S foo'', ou ''pacapt install foo''| sudo apt-get install -fy ''fichier''| |  - => suggestions : [' – ', ' — ']
107 Mot inconnu : fy => | Installation d'un paquet |''pacapt -S foo'', ou ''pacapt install foo''| sudo apt-get install -fy ''fichier''| | fy
107 Guillemets typographiques ouvrants. => | Installation d'un paquet |''pacapt -S foo'', ou ''pacapt install foo''| sudo apt-get install -fy ''fichier''| | '' => suggestions : ['«\xa0', '“']
107 Guillemets typographiques fermants. => | Installation d'un paquet |''pacapt -S foo'', ou ''pacapt install foo''| sudo apt-get install -fy ''fichier''| | '' => suggestions : ['\xa0»', '”']

108 Mot inconnu : pacapt => | Recherche d'un paquet |''pacapt -Ss foo'', ou ''pacapt search foo''| sudo find . -type f -name "''fichier''" -f {} \; | | pacapt
108 Il manque un espace à côté du tiret. => | Recherche d'un paquet |''pacapt -Ss foo'', ou ''pacapt search foo''| sudo find . -type f -name "''fichier''" -f {} \; | |  - => suggestions : [' – ', ' — ']
108 Mot inconnu : Ss => | Recherche d'un paquet |''pacapt -Ss foo'', ou ''pacapt search foo''| sudo find . -type f -name "''fichier''" -f {} \; | | ss
108 Mot inconnu : foo => | Recherche d'un paquet |''pacapt -Ss foo'', ou ''pacapt search foo''| sudo find . -type f -name "''fichier''" -f {} \; | | foo
108 Guillemets typographiques fermants. => | Recherche d'un paquet |''pacapt -Ss foo'', ou ''pacapt search foo''| sudo find . -type f -name "''fichier''" -f {} \; | | '' => suggestions : ['\xa0»', '”']
108 Guillemets typographiques ouvrants. => | Recherche d'un paquet |''pacapt -Ss foo'', ou ''pacapt search foo''| sudo find . -type f -name "''fichier''" -f {} \; | | '' => suggestions : ['«\xa0', '“']
108 Mot inconnu : pacapt => | Recherche d'un paquet |''pacapt -Ss foo'', ou ''pacapt search foo''| sudo find . -type f -name "''fichier''" -f {} \; | | pacapt
108 Mot inconnu : search => | Recherche d'un paquet |''pacapt -Ss foo'', ou ''pacapt search foo''| sudo find . -type f -name "''fichier''" -f {} \; | | search
108 Mot inconnu : foo => | Recherche d'un paquet |''pacapt -Ss foo'', ou ''pacapt search foo''| sudo find . -type f -name "''fichier''" -f {} \; | | foo
108 Guillemets typographiques fermants. => | Recherche d'un paquet |''pacapt -Ss foo'', ou ''pacapt search foo''| sudo find . -type f -name "''fichier''" -f {} \; | | '' => suggestions : ['\xa0»', '”']
108 Mot inconnu : sudo => | Recherche d'un paquet |''pacapt -Ss foo'', ou ''pacapt search foo''| sudo find . -type f -name "''fichier''" -f {} \; | | sudo
108 Mot inconnu : find => | Recherche d'un paquet |''pacapt -Ss foo'', ou ''pacapt search foo''| sudo find . -type f -name "''fichier''" -f {} \; | | find
108 Pas d’espace avant un point. => | Recherche d'un paquet |''pacapt -Ss foo'', ou ''pacapt search foo''| sudo find . -type f -name "''fichier''" -f {} \; | |  . => suggestions : ['.']
108 Il manque un espace à côté du tiret. => | Recherche d'un paquet |''pacapt -Ss foo'', ou ''pacapt search foo''| sudo find . -type f -name "''fichier''" -f {} \; | |  - => suggestions : [' – ', ' — ']
108 Mot inconnu : name => | Recherche d'un paquet |''pacapt -Ss foo'', ou ''pacapt search foo''| sudo find . -type f -name "''fichier''" -f {} \; | | name
108 Guillemets typographiques fermants. => | Recherche d'un paquet |''pacapt -Ss foo'', ou ''pacapt search foo''| sudo find . -type f -name "''fichier''" -f {} \; | | '' => suggestions : ['\xa0»', '”']

109 Mot inconnu : pacapt => | Suppression d'un paquet |''pacapt -R foo'', ou ''pacapt remove foo''|sudo find . -type f -name "''fichier''" -exec rm -f {} \;| | pacapt
109 Il manque un espace à côté du tiret. => | Suppression d'un paquet |''pacapt -R foo'', ou ''pacapt remove foo''|sudo find . -type f -name "''fichier''" -exec rm -f {} \;| |  - => suggestions : [' – ', ' — ']
109 Mot inconnu : foo => | Suppression d'un paquet |''pacapt -R foo'', ou ''pacapt remove foo''|sudo find . -type f -name "''fichier''" -exec rm -f {} \;| | foo
109 Guillemets typographiques fermants. => | Suppression d'un paquet |''pacapt -R foo'', ou ''pacapt remove foo''|sudo find . -type f -name "''fichier''" -exec rm -f {} \;| | '' => suggestions : ['\xa0»', '”']
109 Guillemets typographiques ouvrants. => | Suppression d'un paquet |''pacapt -R foo'', ou ''pacapt remove foo''|sudo find . -type f -name "''fichier''" -exec rm -f {} \;| | '' => suggestions : ['«\xa0', '“']
109 Mot inconnu : pacapt => | Suppression d'un paquet |''pacapt -R foo'', ou ''pacapt remove foo''|sudo find . -type f -name "''fichier''" -exec rm -f {} \;| | pacapt
109 Mot inconnu : remove => | Suppression d'un paquet |''pacapt -R foo'', ou ''pacapt remove foo''|sudo find . -type f -name "''fichier''" -exec rm -f {} \;| | remove
109 Mot inconnu : foo => | Suppression d'un paquet |''pacapt -R foo'', ou ''pacapt remove foo''|sudo find . -type f -name "''fichier''" -exec rm -f {} \;| | foo
109 Guillemets typographiques fermants. => | Suppression d'un paquet |''pacapt -R foo'', ou ''pacapt remove foo''|sudo find . -type f -name "''fichier''" -exec rm -f {} \;| | '' => suggestions : ['\xa0»', '”']
109 Mot inconnu : sudo => | Suppression d'un paquet |''pacapt -R foo'', ou ''pacapt remove foo''|sudo find . -type f -name "''fichier''" -exec rm -f {} \;| | sudo
109 Mot inconnu : find => | Suppression d'un paquet |''pacapt -R foo'', ou ''pacapt remove foo''|sudo find . -type f -name "''fichier''" -exec rm -f {} \;| | find
109 Pas d’espace avant un point. => | Suppression d'un paquet |''pacapt -R foo'', ou ''pacapt remove foo''|sudo find . -type f -name "''fichier''" -exec rm -f {} \;| |  . => suggestions : ['.']
109 Il manque un espace à côté du tiret. => | Suppression d'un paquet |''pacapt -R foo'', ou ''pacapt remove foo''|sudo find . -type f -name "''fichier''" -exec rm -f {} \;| |  - => suggestions : [' – ', ' — ']
109 Mot inconnu : name => | Suppression d'un paquet |''pacapt -R foo'', ou ''pacapt remove foo''|sudo find . -type f -name "''fichier''" -exec rm -f {} \;| | name
109 Guillemets typographiques fermants. => | Suppression d'un paquet |''pacapt -R foo'', ou ''pacapt remove foo''|sudo find . -type f -name "''fichier''" -exec rm -f {} \;| | '' => suggestions : ['\xa0»', '”']
109 Mot inconnu : exec => | Suppression d'un paquet |''pacapt -R foo'', ou ''pacapt remove foo''|sudo find . -type f -name "''fichier''" -exec rm -f {} \;| | exec
109 Mot inconnu : rm => | Suppression d'un paquet |''pacapt -R foo'', ou ''pacapt remove foo''|sudo find . -type f -name "''fichier''" -exec rm -f {} \;| | rm
109 Il manque un espace à côté du tiret. => | Suppression d'un paquet |''pacapt -R foo'', ou ''pacapt remove foo''|sudo find . -type f -name "''fichier''" -exec rm -f {} \;| |  - => suggestions : [' – ', ' — ']

110 Guillemets typographiques ouvrants. => | Effectuer la mise à jour de version d'un système | ''pacapt -Su'', ou ''pacapt upgrade'' ((Assemble le paquet spécifié, et le met à jour. Le nom du fichier est spécifié en argument.))| sudo apt-get upgrade | | '' => suggestions : ['«\xa0', '“']
110 Mot inconnu : pacapt => | Effectuer la mise à jour de version d'un système | ''pacapt -Su'', ou ''pacapt upgrade'' ((Assemble le paquet spécifié, et le met à jour. Le nom du fichier est spécifié en argument.))| sudo apt-get upgrade | | pacapt
110 Il manque un espace à côté du tiret. => | Effectuer la mise à jour de version d'un système | ''pacapt -Su'', ou ''pacapt upgrade'' ((Assemble le paquet spécifié, et le met à jour. Le nom du fichier est spécifié en argument.))| sudo apt-get upgrade | |  - => suggestions : [' – ', ' — ']
110 Guillemets typographiques fermants. => | Effectuer la mise à jour de version d'un système | ''pacapt -Su'', ou ''pacapt upgrade'' ((Assemble le paquet spécifié, et le met à jour. Le nom du fichier est spécifié en argument.))| sudo apt-get upgrade | | '' => suggestions : ['\xa0»', '”']
110 Guillemets typographiques ouvrants. => | Effectuer la mise à jour de version d'un système | ''pacapt -Su'', ou ''pacapt upgrade'' ((Assemble le paquet spécifié, et le met à jour. Le nom du fichier est spécifié en argument.))| sudo apt-get upgrade | | '' => suggestions : ['«\xa0', '“']
110 Mot inconnu : pacapt => | Effectuer la mise à jour de version d'un système | ''pacapt -Su'', ou ''pacapt upgrade'' ((Assemble le paquet spécifié, et le met à jour. Le nom du fichier est spécifié en argument.))| sudo apt-get upgrade | | pacapt
110 Guillemets typographiques fermants. => | Effectuer la mise à jour de version d'un système | ''pacapt -Su'', ou ''pacapt upgrade'' ((Assemble le paquet spécifié, et le met à jour. Le nom du fichier est spécifié en argument.))| sudo apt-get upgrade | | '' => suggestions : ['\xa0»', '”']
110 Mot inconnu : sudo => | Effectuer la mise à jour de version d'un système | ''pacapt -Su'', ou ''pacapt upgrade'' ((Assemble le paquet spécifié, et le met à jour. Le nom du fichier est spécifié en argument.))| sudo apt-get upgrade | | sudo
110 Mot inconnu : apt-get => | Effectuer la mise à jour de version d'un système | ''pacapt -Su'', ou ''pacapt upgrade'' ((Assemble le paquet spécifié, et le met à jour. Le nom du fichier est spécifié en argument.))| sudo apt-get upgrade | | apt-get

111 Guillemets typographiques ouvrants. => | Suppression des paquets orphelins | ''pacapt -Sc'', ou ''pacapt autoremove foo''| sudo apt/apt-get autoremove --purge | | '' => suggestions : ['«\xa0', '“']
111 Mot inconnu : pacapt => | Suppression des paquets orphelins | ''pacapt -Sc'', ou ''pacapt autoremove foo''| sudo apt/apt-get autoremove --purge | | pacapt
111 Il manque un espace à côté du tiret. => | Suppression des paquets orphelins | ''pacapt -Sc'', ou ''pacapt autoremove foo''| sudo apt/apt-get autoremove --purge | |  - => suggestions : [' – ', ' — ']
111 Mot inconnu : Sc => | Suppression des paquets orphelins | ''pacapt -Sc'', ou ''pacapt autoremove foo''| sudo apt/apt-get autoremove --purge | | sc
111 Guillemets typographiques fermants. => | Suppression des paquets orphelins | ''pacapt -Sc'', ou ''pacapt autoremove foo''| sudo apt/apt-get autoremove --purge | | '' => suggestions : ['\xa0»', '”']
111 Guillemets typographiques ouvrants. => | Suppression des paquets orphelins | ''pacapt -Sc'', ou ''pacapt autoremove foo''| sudo apt/apt-get autoremove --purge | | '' => suggestions : ['«\xa0', '“']
111 Mot inconnu : pacapt => | Suppression des paquets orphelins | ''pacapt -Sc'', ou ''pacapt autoremove foo''| sudo apt/apt-get autoremove --purge | | pacapt
111 Mot inconnu : autoremove => | Suppression des paquets orphelins | ''pacapt -Sc'', ou ''pacapt autoremove foo''| sudo apt/apt-get autoremove --purge | | autoremove
111 Mot inconnu : foo => | Suppression des paquets orphelins | ''pacapt -Sc'', ou ''pacapt autoremove foo''| sudo apt/apt-get autoremove --purge | | foo
