
3 Mot inconnu : PSSH => ====== PSSH (parallel-ssh) ====== | pssh
98 Mot inconnu : wanted => and check to make sure that only the key(s) you wanted were added.</code> | wanted
98 Mot inconnu : were => and check to make sure that only the key(s) you wanted were added.</code> | were
98 Mot inconnu : added => and check to make sure that only the key(s) you wanted were added.</code> | added

100 Mot inconnu : FIXME => FIXME root@192.168.0.43's password on ne doit pas saisir le mdp de la machine distante/cliente ?  | fixme
100 Guillemets typographiques ouvrants. => FIXME root@192.168.0.43's password on ne doit pas saisir le mdp de la machine distante/cliente ?  | ' => suggestions : ['“', '‘', '‹']
100 Mot inconnu : password => FIXME root@192.168.0.43's password on ne doit pas saisir le mdp de la machine distante/cliente ?  | password
100 Mot inconnu : mdp => FIXME root@192.168.0.43's password on ne doit pas saisir le mdp de la machine distante/cliente ?  | mdp
100 Espace(s) en fin de ligne à supprimer. => FIXME root@192.168.0.43's password on ne doit pas saisir le mdp de la machine distante/cliente ?  |   => suggestions : ['']

103 Mot inconnu : pssh => ====== Déployer pssh ====== | pssh

105 Mot inconnu : pssh => ===== Initialiser pssh ===== | pssh

107 Mot inconnu : ssh-agent => Utilisez **ssh-agent** pour vous authentifier automatiquement (avec un nom de shell comme argument pour que les variables d'environnement de l'agent soient définies dans ce nouveau shell).  | ssh-agent
107 Espace(s) en fin de ligne à supprimer. => Utilisez **ssh-agent** pour vous authentifier automatiquement (avec un nom de shell comme argument pour que les variables d'environnement de l'agent soient définies dans ce nouveau shell).  |   => suggestions : ['']

108 Mot inconnu : ssh-add => Ajoutez la clé avec **ssh-add** et tapez votre mot de passe __une seule fois__. FIXME pas forcément le mot de passe de la machine mais une mot de passe nouvellement choisi non ?  | ssh-add
108 Mot inconnu : __une => Ajoutez la clé avec **ssh-add** et tapez votre mot de passe __une seule fois__. FIXME pas forcément le mot de passe de la machine mais une mot de passe nouvellement choisi non ?  | __une
108 Mot inconnu : fois__ => Ajoutez la clé avec **ssh-add** et tapez votre mot de passe __une seule fois__. FIXME pas forcément le mot de passe de la machine mais une mot de passe nouvellement choisi non ?  | fois__
108 Mot inconnu : FIXME => Ajoutez la clé avec **ssh-add** et tapez votre mot de passe __une seule fois__. FIXME pas forcément le mot de passe de la machine mais une mot de passe nouvellement choisi non ?  | fixme
108 Accord de genre erroné : « mot » est masculin. => Ajoutez la clé avec **ssh-add** et tapez votre mot de passe __une seule fois__. FIXME pas forcément le mot de passe de la machine mais une mot de passe nouvellement choisi non ?  | une => suggestions : ['un']
108 Espace(s) en fin de ligne à supprimer. => Ajoutez la clé avec **ssh-add** et tapez votre mot de passe __une seule fois__. FIXME pas forcément le mot de passe de la machine mais une mot de passe nouvellement choisi non ?  |   => suggestions : ['']

112 Mot inconnu : passphrase => Enter passphrase for /xxxx/.ssh/identity:</code>  | passphrase
112 Mot inconnu : xxxx => Enter passphrase for /xxxx/.ssh/identity:</code>  | xxxx
112 Mot inconnu : ssh => Enter passphrase for /xxxx/.ssh/identity:</code>  | ssh
112 Mot inconnu : identity => Enter passphrase for /xxxx/.ssh/identity:</code>  | identity
112 Espace(s) en fin de ligne à supprimer. => Enter passphrase for /xxxx/.ssh/identity:</code>  |   => suggestions : ['']

115 Mot inconnu : parallel-ssh => ===== Utiliser parallel-ssh ===== | parallel-ssh

117 Il manque un espace à côté du tiret. => ==== L'option -i ==== |  - => suggestions : [' – ', ' — ']
120 Il manque un espace à côté du tiret. => <code bash>parallel-ssh -i  -h /etc/ssh/pssh_host/pssh_hosts uname -a</code> |  - => suggestions : [' – ', ' — ']
120 Espace(s) surnuméraire(s) à supprimer. => <code bash>parallel-ssh -i  -h /etc/ssh/pssh_host/pssh_hosts uname -a</code> |    => suggestions : [' ']
120 Il manque un espace à côté du tiret. => <code bash>parallel-ssh -i  -h /etc/ssh/pssh_host/pssh_hosts uname -a</code> |  - => suggestions : [' – ', ' — ']

129 Il manque un espace à côté du tiret. => On remarque ici **l'option -i** qui permet de visualiser ce que retourne le terminal ssh des postes clients |  - => suggestions : [' – ', ' — ']
129 Mot inconnu : ssh => On remarque ici **l'option -i** qui permet de visualiser ce que retourne le terminal ssh des postes clients | ssh

131 Il manque un espace à côté du tiret. => ==== L'option -o ==== |  - => suggestions : [' – ', ' — ']

133 Mot inconnu : ssh => Pour **rediriger la sortie ssh des clients vers un fichier**, on utilisera l'**option -o** | ssh
133 Il manque un espace à côté du tiret. => Pour **rediriger la sortie ssh des clients vers un fichier**, on utilisera l'**option -o** |  - => suggestions : [' – ', ' — ']
135 Il manque un espace à côté du tiret. => <code bash>parallel-ssh -o /tmp/uname  -h /etc/ssh/pssh_host/pssh_hosts uname -a</code> |  - => suggestions : [' – ', ' — ']
135 Espace(s) surnuméraire(s) à supprimer. => <code bash>parallel-ssh -o /tmp/uname  -h /etc/ssh/pssh_host/pssh_hosts uname -a</code> |    => suggestions : [' ']
135 Il manque un espace à côté du tiret. => <code bash>parallel-ssh -o /tmp/uname  -h /etc/ssh/pssh_host/pssh_hosts uname -a</code> |  - => suggestions : [' – ', ' — ']

139 Mot inconnu : SUCCESS => [2] 15:22:48 [SUCCESS] root@192.168.0.43</code> | success

147 Mot inconnu : Tinuviel-debianStable => Linux Tinuviel-debianStable 4.19.0-6-amd64 #1 SMP Debian 4.19.67-2+deb10u2 (2019-11-11) x86_64 GNU/Linux</code> | tinuviel-debianstable
147 Mot inconnu : SMP => Linux Tinuviel-debianStable 4.19.0-6-amd64 #1 SMP Debian 4.19.67-2+deb10u2 (2019-11-11) x86_64 GNU/Linux</code> | smp
147 Mot inconnu : x86_64 => Linux Tinuviel-debianStable 4.19.0-6-amd64 #1 SMP Debian 4.19.67-2+deb10u2 (2019-11-11) x86_64 GNU/Linux</code> | x86_64

152 Mot inconnu : parallel-ssh => parallel-ssh -i  -h /etc/ssh/pssh_host/pssh_hosts apt full-upgrade</code> | parallel-ssh
152 Il manque un espace à côté du tiret. => parallel-ssh -i  -h /etc/ssh/pssh_host/pssh_hosts apt full-upgrade</code> |  - => suggestions : [' – ', ' — ']
152 Espace(s) surnuméraire(s) à supprimer. => parallel-ssh -i  -h /etc/ssh/pssh_host/pssh_hosts apt full-upgrade</code> |    => suggestions : [' ']

158 Mot inconnu : __Syntaxe__ => __Syntaxe__ | __syntaxe__
159 Il manque un espace à côté du tiret. => <code bash>parallel-scp -h /fichier_de_conf_pssh source destinatire</code> |  - => suggestions : [' – ', ' — ']

161 Mot inconnu : __Exemple__ => __Exemple__ | __exemple__
162 Espace(s) surnuméraire(s) à supprimer. => <code bash>parallel-scp  -h /etc/ssh/pssh_host/pssh_hosts  $HOME/test.txt /tmp/</code> |    => suggestions : [' ']
162 Espace(s) surnuméraire(s) à supprimer. => <code bash>parallel-scp  -h /etc/ssh/pssh_host/pssh_hosts  $HOME/test.txt /tmp/</code> |    => suggestions : [' ']

166 Mot inconnu : __Syntaxe__ => __Syntaxe__ | __syntaxe__
167 Il manque un espace à côté du tiret. => <code bash>parallel-nuke -h /fichier_de_conf_pssh nom_du_processus</code> |  - => suggestions : [' – ', ' — ']

169 Mot inconnu : __Exemple__ => __Exemple__ | __exemple__
170 Espace(s) surnuméraire(s) à supprimer. => <code bash>parallel-nuke  -h /etc/ssh/pssh_host/pssh_hosts  nginx</code> |    => suggestions : [' ']
170 Espace(s) surnuméraire(s) à supprimer. => <code bash>parallel-nuke  -h /etc/ssh/pssh_host/pssh_hosts  nginx</code> |    => suggestions : [' ']

172 Espace(s) en fin de ligne à supprimer. => ----  |   => suggestions : ['']
