
3 Mot inconnu : mpv => ====== mpv ====== | mpv
51 Guillemets typographiques ouvrants. =>   * ''s'' pour une capture de la vidéo. | '' => suggestions : ['«\xa0', '“']
51 Guillemets typographiques fermants. =>   * ''s'' pour une capture de la vidéo. | '' => suggestions : ['\xa0»', '”']

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''Alt +'' ou ''Alt -'' changent le niveau de zoom. |    => suggestions : ['']
52 Guillemets typographiques ouvrants. =>   * ''Alt +'' ou ''Alt -'' changent le niveau de zoom. | '' => suggestions : ['«\xa0', '“']
52 Guillemets typographiques ouvrants. =>   * ''Alt +'' ou ''Alt -'' changent le niveau de zoom. | '' => suggestions : ['«\xa0', '“']

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Les touches ''/'' et ''*'' réduisent ou augmentent le volume sonore. |    => suggestions : ['']

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''m'' pour couper le son. |    => suggestions : ['']
54 Guillemets typographiques ouvrants. =>   * ''m'' pour couper le son. | '' => suggestions : ['«\xa0', '“']
54 Guillemets typographiques fermants. =>   * ''m'' pour couper le son. | '' => suggestions : ['\xa0»', '”']

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Une liste des contrôles plus exhaustive se trouve dans le manuel de la commande (via **man mpv**). |    => suggestions : ['']
55 Mot inconnu : mpv =>   * Une liste des contrôles plus exhaustive se trouve dans le manuel de la commande (via **man mpv**). | mpv

57 Mot inconnu : MPV => **MPV** est volontairement très sobre, mais on peut modifier le comportement ou l'interface graphique par défaut via le fichier de configuration **mpv.conf**. | mpv
57 Mot inconnu : mpv => **MPV** est volontairement très sobre, mais on peut modifier le comportement ou l'interface graphique par défaut via le fichier de configuration **mpv.conf**. | mpv
57 Il manque un espace. => **MPV** est volontairement très sobre, mais on peut modifier le comportement ou l'interface graphique par défaut via le fichier de configuration **mpv.conf**. | conf => suggestions : [' conf']

59 Mot inconnu : mpv => Celui-ci se trouve dans **/etc/mpv/**. Vous pouvez le copier dans **~/.config/mpv/** et le modifier.  | mpv
59 Espace(s) en fin de ligne à supprimer. => Celui-ci se trouve dans **/etc/mpv/**. Vous pouvez le copier dans **~/.config/mpv/** et le modifier.  |   => suggestions : ['']

61 Mot inconnu : mpv => La liste des options (très longue) est disponible grâce à la commande **mpv --list-options**. | mpv
61 Mot inconnu : list-options => La liste des options (très longue) est disponible grâce à la commande **mpv --list-options**. | list-options

63 Mot inconnu : mpv => On peut utiliser ces options en les copiant dans **mpv.conf** (sans les 2 **"-"**) et en leur donnant un valeur après le signe **"="**. Dès lors, **mpv** utilisera ces valeurs par défaut à chaque lancement. | mpv
63 Il manque un espace. => On peut utiliser ces options en les copiant dans **mpv.conf** (sans les 2 **"-"**) et en leur donnant un valeur après le signe **"="**. Dès lors, **mpv** utilisera ces valeurs par défaut à chaque lancement. | conf => suggestions : [' conf']
63 Accord de genre erroné : « valeur » est féminin. => On peut utiliser ces options en les copiant dans **mpv.conf** (sans les 2 **"-"**) et en leur donnant un valeur après le signe **"="**. Dès lors, **mpv** utilisera ces valeurs par défaut à chaque lancement. | un => suggestions : ['une']
63 Mot inconnu : mpv => On peut utiliser ces options en les copiant dans **mpv.conf** (sans les 2 **"-"**) et en leur donnant un valeur après le signe **"="**. Dès lors, **mpv** utilisera ces valeurs par défaut à chaque lancement. | mpv

80 Guillemets typographiques ouvrants. => Ces clients graphiques sont d'autres interfaces à la version "ligne de commande" de MPV, et offrent un peu plus d'options (via un menu), tout en restant généralement assez épurées. | " => suggestions : ['«\xa0', '“']
80 Guillemets typographiques fermants. => Ces clients graphiques sont d'autres interfaces à la version "ligne de commande" de MPV, et offrent un peu plus d'options (via un menu), tout en restant généralement assez épurées. | " => suggestions : ['\xa0»', '”']
80 Mot inconnu : MPV => Ces clients graphiques sont d'autres interfaces à la version "ligne de commande" de MPV, et offrent un peu plus d'options (via un menu), tout en restant généralement assez épurées. | mpv

95 Mot inconnu : mpv => **mpv** se lance en ligne de commande, mais affiche évidemment la vidéo dans une fenêtre. Celle-ci se fermera à la fin de la lecture du fichier. | mpv

102 Guillemets typographiques ouvrants. => Par exemple, pour lire la vidéo ''https://www.youtube.com/watch?v=w-g04TLp0tg'', on peut taper la commande suivante | '' => suggestions : ['«\xa0', '“']

107 Mot inconnu : mpv => Si une adresse web en //https// est fournie mais que ce n'est pas l'adresse d'un fichier vidéo //(ce sera le cas de la plupart des pages web où est incrustée une vidéo)//, **mpv** essayera d'abord de télécharger depuis l'adresse donnée comme si c'était un fichier, et après un premier échec il interprétera l'adresse comme si elle commençait plutôt par //ytdl// et appelera donc ''youtube-dl'' pour essayer de récupérer une vidéo. Avec le même exemple : | mpv
107 Mot inconnu : ytdl => Si une adresse web en //https// est fournie mais que ce n'est pas l'adresse d'un fichier vidéo //(ce sera le cas de la plupart des pages web où est incrustée une vidéo)//, **mpv** essayera d'abord de télécharger depuis l'adresse donnée comme si c'était un fichier, et après un premier échec il interprétera l'adresse comme si elle commençait plutôt par //ytdl// et appelera donc ''youtube-dl'' pour essayer de récupérer une vidéo. Avec le même exemple : | ytdl
107 Mot inconnu : appelera => Si une adresse web en //https// est fournie mais que ce n'est pas l'adresse d'un fichier vidéo //(ce sera le cas de la plupart des pages web où est incrustée une vidéo)//, **mpv** essayera d'abord de télécharger depuis l'adresse donnée comme si c'était un fichier, et après un premier échec il interprétera l'adresse comme si elle commençait plutôt par //ytdl// et appelera donc ''youtube-dl'' pour essayer de récupérer une vidéo. Avec le même exemple : | appelera
107 Guillemets typographiques ouvrants. => Si une adresse web en //https// est fournie mais que ce n'est pas l'adresse d'un fichier vidéo //(ce sera le cas de la plupart des pages web où est incrustée une vidéo)//, **mpv** essayera d'abord de télécharger depuis l'adresse donnée comme si c'était un fichier, et après un premier échec il interprétera l'adresse comme si elle commençait plutôt par //ytdl// et appelera donc ''youtube-dl'' pour essayer de récupérer une vidéo. Avec le même exemple : | '' => suggestions : ['«\xa0', '“']
107 Mot inconnu : youtube-dl => Si une adresse web en //https// est fournie mais que ce n'est pas l'adresse d'un fichier vidéo //(ce sera le cas de la plupart des pages web où est incrustée une vidéo)//, **mpv** essayera d'abord de télécharger depuis l'adresse donnée comme si c'était un fichier, et après un premier échec il interprétera l'adresse comme si elle commençait plutôt par //ytdl// et appelera donc ''youtube-dl'' pour essayer de récupérer une vidéo. Avec le même exemple : | youtube-dl
107 Guillemets typographiques fermants. => Si une adresse web en //https// est fournie mais que ce n'est pas l'adresse d'un fichier vidéo //(ce sera le cas de la plupart des pages web où est incrustée une vidéo)//, **mpv** essayera d'abord de télécharger depuis l'adresse donnée comme si c'était un fichier, et après un premier échec il interprétera l'adresse comme si elle commençait plutôt par //ytdl// et appelera donc ''youtube-dl'' pour essayer de récupérer une vidéo. Avec le même exemple : | '' => suggestions : ['\xa0»', '”']
110 Guillemets typographiques ouvrants. => <note help>De nombreuses options existent pour les utilisateurs avancés. Pour un manuel d'aide complet (en anglais), voir la commande : ''man mpv''</note> | '' => suggestions : ['«\xa0', '“']
110 Mot inconnu : mpv => <note help>De nombreuses options existent pour les utilisateurs avancés. Pour un manuel d'aide complet (en anglais), voir la commande : ''man mpv''</note> | mpv
110 Guillemets typographiques fermants. => <note help>De nombreuses options existent pour les utilisateurs avancés. Pour un manuel d'aide complet (en anglais), voir la commande : ''man mpv''</note> | '' => suggestions : ['\xa0»', '”']

112 Mot inconnu : GPU => ===== Optimisation GPU ===== | gpu

115 Mot inconnu : energétique => Il est possible d'utiliser le moteur graphique de décompression vidéo pour soulager le processeur et limiter ainsi la consommation energétique. | energétique

116 Accord de nombre erroné : « codec » devrait être au pluriel. => Cette manipulation permettra de décompresser matériellement les codec vidéo H264,H265 et VP9. | codec => suggestions : ['codecs']
116 Mot inconnu : H264 => Cette manipulation permettra de décompresser matériellement les codec vidéo H264,H265 et VP9. | h264
116 Il manque un espace. => Cette manipulation permettra de décompresser matériellement les codec vidéo H264,H265 et VP9. | h265 => suggestions : [' H265']
116 Mot inconnu : H265 => Cette manipulation permettra de décompresser matériellement les codec vidéo H264,H265 et VP9. | h265
116 Mot inconnu : VP9 => Cette manipulation permettra de décompresser matériellement les codec vidéo H264,H265 et VP9. | vp9

117 Mot inconnu : VP9 => <note tip>La prise en charge du codec VP9 est importante pour la lecture des vidéos en UHD-4K sur Youtube. Effectivement Google a abandonné le format mp4/H264 pour les résolutions supérieur au FullHD.</note> | vp9
117 Mot inconnu : UHD-4K => <note tip>La prise en charge du codec VP9 est importante pour la lecture des vidéos en UHD-4K sur Youtube. Effectivement Google a abandonné le format mp4/H264 pour les résolutions supérieur au FullHD.</note> | uhd-4k
117 Mot inconnu : Youtube => <note tip>La prise en charge du codec VP9 est importante pour la lecture des vidéos en UHD-4K sur Youtube. Effectivement Google a abandonné le format mp4/H264 pour les résolutions supérieur au FullHD.</note> | youtube
117 Mot inconnu : mp4 => <note tip>La prise en charge du codec VP9 est importante pour la lecture des vidéos en UHD-4K sur Youtube. Effectivement Google a abandonné le format mp4/H264 pour les résolutions supérieur au FullHD.</note> | mp4
117 Mot inconnu : H264 => <note tip>La prise en charge du codec VP9 est importante pour la lecture des vidéos en UHD-4K sur Youtube. Effectivement Google a abandonné le format mp4/H264 pour les résolutions supérieur au FullHD.</note> | h264
117 Accord de genre erroné entre « résolutions » et « supérieur ». => <note tip>La prise en charge du codec VP9 est importante pour la lecture des vidéos en UHD-4K sur Youtube. Effectivement Google a abandonné le format mp4/H264 pour les résolutions supérieur au FullHD.</note> | supérieur => suggestions : ['supérieures']
117 Mot inconnu : FullHD => <note tip>La prise en charge du codec VP9 est importante pour la lecture des vidéos en UHD-4K sur Youtube. Effectivement Google a abandonné le format mp4/H264 pour les résolutions supérieur au FullHD.</note> | fullhd

128 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://en.wikipedia.org/wiki/Mpv_(media_player)|Page wikipédia]] |    => suggestions : ['']
128 Il manque un espace avant la parenthèse. =>   * **(en)** [[https://en.wikipedia.org/wiki/Mpv_(media_player)|Page wikipédia]] | ( => suggestions : [' (']
128 Mot inconnu : media_player =>   * **(en)** [[https://en.wikipedia.org/wiki/Mpv_(media_player)|Page wikipédia]] | media_player

129 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://mpv.io/|Site Officiel]] |    => suggestions : ['']

135 Mot inconnu : roschan => roschan, | roschan

136 Typographie : points de suspension. Utilisez le caractère dédié. => ...// | ... => suggestions : ['…']
