
4 Mot inconnu : PhpCollab => ====== PhpCollab ====== | phpcollab
27 Mot inconnu : SourceForge => Télécharger l'archive sur [[http://sourceforge.net/project/showfiles.php?group_id=46510|le site de SourceForge.net]] | sourceforge

29 Mot inconnu : phpcollab => Décompressez l'archive. Pour ma part, j'ai utilisé la version 2.4 et j'ai choisi de l'installer dans /opt. J'ai donc recopié le dossier phpcollab dans /opt. | phpcollab

31 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A l'intérieur du dossier, vous trouverez un fichier install.txt qui vous explique en anglais les étapes d'installation. | a => suggestions : ['À']
31 Mot inconnu : install => A l'intérieur du dossier, vous trouverez un fichier install.txt qui vous explique en anglais les étapes d'installation. | install
31 Mot inconnu : txt => A l'intérieur du dossier, vous trouverez un fichier install.txt qui vous explique en anglais les étapes d'installation. | txt

33 Mot inconnu : settings_blank => La première chose qui nous est demandée est de renommer le fichier **settings_blank.php** en **settings.php** | settings_blank
33 Mot inconnu : php => La première chose qui nous est demandée est de renommer le fichier **settings_blank.php** en **settings.php** | php
33 Mot inconnu : settings => La première chose qui nous est demandée est de renommer le fichier **settings_blank.php** en **settings.php** | settings
33 Mot inconnu : php => La première chose qui nous est demandée est de renommer le fichier **settings_blank.php** en **settings.php** | php

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd /opt/phpcollab/includes/ |    => suggestions : ['']

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cp settings_blank.php settings.php |    => suggestions : ['']
36 Mot inconnu : cp =>   cp settings_blank.php settings.php | cp
36 Mot inconnu : settings_blank =>   cp settings_blank.php settings.php | settings_blank
36 Mot inconnu : php =>   cp settings_blank.php settings.php | php
36 Mot inconnu : settings =>   cp settings_blank.php settings.php | settings
36 Mot inconnu : php =>   cp settings_blank.php settings.php | php

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   chmod 777 settings.php |    => suggestions : ['']
40 Mot inconnu : chmod =>   chmod 777 settings.php | chmod
40 Mot inconnu : settings =>   chmod 777 settings.php | settings
40 Mot inconnu : php =>   chmod 777 settings.php | php

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo chown www-data:www-data settings.php |    => suggestions : ['']
41 Mot inconnu : sudo =>   sudo chown www-data:www-data settings.php | sudo
41 Mot inconnu : chown =>   sudo chown www-data:www-data settings.php | chown
41 Il manque un espace. =>   sudo chown www-data:www-data settings.php | www-data => suggestions : [' www-data']
41 Mot inconnu : settings =>   sudo chown www-data:www-data settings.php | settings
41 Mot inconnu : php =>   sudo chown www-data:www-data settings.php | php

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd .. |    => suggestions : ['']
42 Typographie : un ou trois points ? =>   cd .. | .. => suggestions : ['…', '.']

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   chmod 777 files/ |    => suggestions : ['']
43 Mot inconnu : chmod =>   chmod 777 files/ | chmod
43 Si “files/” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   chmod 777 files/ | 777 files/ => suggestions : ['777\xa0files/']

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo chown www-data:www-data files/ |    => suggestions : ['']
44 Mot inconnu : sudo =>   sudo chown www-data:www-data files/ | sudo
44 Mot inconnu : chown =>   sudo chown www-data:www-data files/ | chown
44 Il manque un espace. =>   sudo chown www-data:www-data files/ | www-data => suggestions : [' www-data']

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   chmod 777 logos_clients/ |    => suggestions : ['']
45 Mot inconnu : chmod =>   chmod 777 logos_clients/ | chmod
45 Mot inconnu : logos_clients =>   chmod 777 logos_clients/ | logos_clients

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo chown www-data:www-data logos_clients/ |    => suggestions : ['']
46 Mot inconnu : sudo =>   sudo chown www-data:www-data logos_clients/ | sudo
46 Mot inconnu : chown =>   sudo chown www-data:www-data logos_clients/ | chown
46 Il manque un espace. =>   sudo chown www-data:www-data logos_clients/ | www-data => suggestions : [' www-data']
46 Mot inconnu : logos_clients =>   sudo chown www-data:www-data logos_clients/ | logos_clients

48 Mot inconnu : mysql => Puis, créer une base de données mysql nommée **phpcollab**. | mysql
48 Mot inconnu : phpcollab => Puis, créer une base de données mysql nommée **phpcollab**. | phpcollab

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   mysql -u root -p |    => suggestions : ['']
52 Mot inconnu : mysql =>   mysql -u root -p | mysql
52 Il manque un espace à côté du tiret. =>   mysql -u root -p |  - => suggestions : [' – ', ' — ']
52 Mot inconnu : root =>   mysql -u root -p | root
52 Il manque un espace à côté du tiret. =>   mysql -u root -p |  - => suggestions : [' – ', ' — ']

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   create database phpcollab; |    => suggestions : ['']
53 Mot inconnu : create =>   create database phpcollab; | create
53 Mot inconnu : database =>   create database phpcollab; | database
53 Mot inconnu : phpcollab =>   create database phpcollab; | phpcollab

55 Mot inconnu : phpcollab => Créer un fichier de configuration pour [[apache]] pour qu'il prenne en compte notre installation de phpcollab : | phpcollab

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Alias /phpcollab /opt/phpcollab |    => suggestions : ['']
61 Mot inconnu : phpcollab =>   Alias /phpcollab /opt/phpcollab | phpcollab

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   <Location /phpcollab> |    => suggestions : ['']

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      Order allow,deny |       => suggestions : ['']
63 Mot inconnu : Order =>      Order allow,deny | order
63 Mot inconnu : allow =>      Order allow,deny | allow
63 Il manque un espace. =>      Order allow,deny | deny => suggestions : [' deny']
63 Mot inconnu : deny =>      Order allow,deny | deny

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      Allow from all |       => suggestions : ['']
64 Mot inconnu : Allow =>      Allow from all | allow
64 Mot inconnu : from =>      Allow from all | from
64 Mot inconnu : all =>      Allow from all | all

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   </Location> |    => suggestions : ['']

67 Mot inconnu : phpcollab => Activer phpcollab dans apache avec la commande **sudo a2ensite phpcollab**. | phpcollab
67 Mot inconnu : sudo => Activer phpcollab dans apache avec la commande **sudo a2ensite phpcollab**. | sudo
67 Mot inconnu : a2ensite => Activer phpcollab dans apache avec la commande **sudo a2ensite phpcollab**. | a2ensite
67 Mot inconnu : phpcollab => Activer phpcollab dans apache avec la commande **sudo a2ensite phpcollab**. | phpcollab

69 Mot inconnu : sudo => Enfin recharger la configuration qu'on vient d'ajouter avec **sudo /etc/init.d/apache2 reload** | sudo
69 Mot inconnu : reload => Enfin recharger la configuration qu'on vient d'ajouter avec **sudo /etc/init.d/apache2 reload** | reload

71 Mot inconnu : setup => Vous devriez ensuite avoir accès à la page de setup via l'url http://localhost/phpcollab/installation/setup.php | setup
71 Mot inconnu : url => Vous devriez ensuite avoir accès à la page de setup via l'url http://localhost/phpcollab/installation/setup.php | url

77 Mot inconnu : logger => Une fois effectué, vous devriez pouvoir vous logger dans phpcollab avec le login admin et le mot de passe que vous avez fourni à la page précédente. | logger
77 Mot inconnu : phpcollab => Une fois effectué, vous devriez pouvoir vous logger dans phpcollab avec le login admin et le mot de passe que vous avez fourni à la page précédente. | phpcollab

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   <Location /phpcollab/installation/> |    => suggestions : ['']

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       deny from all |        => suggestions : ['']
82 Mot inconnu : deny =>       deny from all | deny
82 Mot inconnu : from =>       deny from all | from
82 Mot inconnu : all =>       deny from all | all

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   </Location> |    => suggestions : ['']

86 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.php-collab.com/blog|Site Web officiel (en)]] |    => suggestions : ['']

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.framasoft.net/article3625.html|Framasoft - phpCollab (fr)]] |    => suggestions : ['']
87 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * [[http://www.framasoft.net/article3625.html|Framasoft - phpCollab (fr)]] |  -  => suggestions : [' – ', ' — ', ' − ']
87 Mot inconnu : phpCollab =>   * [[http://www.framasoft.net/article3625.html|Framasoft - phpCollab (fr)]] | phpcollab
