
4 Mot inconnu : NOTOC [[2:7]] => ~~NOTOC~~ <|> notoc
32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  Ubuntu et le Logiciel Libre sont l'exemple même de la collaboration et du travail collectif. Nous encourageons les individus et les équipes à collaborer, à la fois pour Ubuntu et en dehors. La collaboration réduit la redondance du travail fait dans le monde du Logiciel Libre et améliore la qualité des logiciels produits. Vous désirez collaborer avec d'autres défenseurs d'Ubuntu, c'est bien, la communauté sera intéressée par votre travail. Cette collaboration devra être effectuée d'une manière transparente et vos travaux pour Ubuntu devront être donnés à la communauté avant la sortie de la nouvelle version de la distribution. Si vous souhaitez travailler sur le code pour des projets existants, tenez au courant les développeurs de ces projets de vos idées et progrès. Il est possible de ne pas obtenir de consensus avec vos collègues au sujet de l'exécution correcte d'une idée, aussi ne vous sentez pas obligé d'avoir l'accord avant de commencer, mais au moins tenez le monde extérieur au courant de votre travail, et éditez votre travail d'une manière qui permette à d'autres d'examiner, discuter et contribuer à vos efforts. <|>  

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  == Désaccord == <|>  

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  Quand vous êtes en désaccord, consultez les autres. Les désaccords, politiques et techniques, se produisent tout le temps et la communauté d'Ubuntu n'y fait aucune exception. Le but principal n'est pas d'éviter les désaccords ou les divergences d'opinions mais de les résoudre de manière constructive. Nous avons le Conseil Technique et le Conseil de la Communauté, qui tous les deux aideront à prendre les bonnes décisions pour Ubuntu. Il y a également plusieurs équipes de projet et chefs d'équipe qui peuvent vous aider à découvrir quelle direction sera la plus acceptable. Si vous voulez vraiment prendre une route différente, alors nous vous encourageons à faire une distribution dérivée ou alternative avec des paquets disponibles en utilisant le cadre de gestion des paquets d'Ubuntu, de sorte que la communauté puisse essayer vos changements et idées, et contribuer à la discussion. <|>  

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  == Entraide == <|>  

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  Quand vous êtes incertain, demandez de l'aide. Personne ne peut tout savoir, et dans la communauté d'Ubuntu, personne n'est parfait. Poser des questions évite beaucoup de problèmes en chemin ; elles sont donc encouragées. Ceux à qui elles seront posées devront répondre et aider. Cependant, avant de poser une question, prenez soin de le faire sur le forum approprié.  <|>  
38 Espace(s) en fin de ligne à supprimer. [[368:369]] =>  Quand vous êtes incertain, demandez de l'aide. Personne ne peut tout savoir, et dans la communauté d'Ubuntu, personne n'est parfait. Poser des questions évite beaucoup de problèmes en chemin ; elles sont donc encouragées. Ceux à qui elles seront posées devront répondre et aider. Cependant, avant de poser une question, prenez soin de le faire sur le forum approprié.  <|>  

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  == Considération pour le projet == <|>  

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  Les développeurs de chaque projet vont et viennent, et Ubuntu reste. Si vous vous désengagez partiellement ou totalement d'un projet, nous vous demandons de nous le dire pour éviter les ruptures dans le développement de ce projet. Cela signifie que vous devrez prendre les mesures pour que d'autres puissent reprendre le développement derrière vous et permettre la continuité d'Ubuntu. <|>  
52 Espace(s) en fin de ligne à supprimer. [[107:108]] =>   * Veuillez donner une adresse courriel valide pour que des réponses directes puissent vous être envoyées.  <|>  
