
4 Mot inconnu : fsck => ====== fsck : contrôle de l'intégrité et réparation de partitions ====== | fsck
105 Mot inconnu : grub => <note important>Ceci ne fonctionne plus depuis Ubuntu 16.04, il faut maintenant passer fsck.mode=force comme paramètre au noyau dans la ligne GRUB_CMDLINE_LINUX_DEFAULT de grub (fichier **/etc/default/grub**) puis lancer la commande **update-grub**</note> | grub
105 Mot inconnu : update-grub => <note important>Ceci ne fonctionne plus depuis Ubuntu 16.04, il faut maintenant passer fsck.mode=force comme paramètre au noyau dans la ligne GRUB_CMDLINE_LINUX_DEFAULT de grub (fichier **/etc/default/grub**) puis lancer la commande **update-grub**</note> | update-grub

107 Mot inconnu : fsck => Si le système vous le demande suite à un problème, vous devrez faire un fsck manuel, étant normalement déjà en root et la partition étant montée en ro.\\ Pour repérer la partition à analyser (/dev/...) : | fsck
107 Mot inconnu : root => Si le système vous le demande suite à un problème, vous devrez faire un fsck manuel, étant normalement déjà en root et la partition étant montée en ro.\\ Pour repérer la partition à analyser (/dev/...) : | root
107 Mot inconnu : ro => Si le système vous le demande suite à un problème, vous devrez faire un fsck manuel, étant normalement déjà en root et la partition étant montée en ro.\\ Pour repérer la partition à analyser (/dev/...) : | ro

109 Mot inconnu : fsck => Puis lancement de fsck (ici avec l'option -y pour répondre "oui" à toutes les questions) : | fsck
109 Il manque un espace à côté du tiret. => Puis lancement de fsck (ici avec l'option -y pour répondre "oui" à toutes les questions) : |  - => suggestions : [' – ', ' — ']
109 Guillemets typographiques ouvrants. => Puis lancement de fsck (ici avec l'option -y pour répondre "oui" à toutes les questions) : | " => suggestions : ['«\xa0', '“']
109 Guillemets typographiques fermants. => Puis lancement de fsck (ici avec l'option -y pour répondre "oui" à toutes les questions) : | " => suggestions : ['\xa0»', '”']

116 Mot inconnu : fsck => L'​interface fsck​ lance le vérificateur adapté au système de fichiers de la partition ciblée : si la partition est formatée en ext4, alors fsck lancera automatiquement fsck.ext4 | fsck
116 Mot inconnu : ext4 => L'​interface fsck​ lance le vérificateur adapté au système de fichiers de la partition ciblée : si la partition est formatée en ext4, alors fsck lancera automatiquement fsck.ext4 | ext4
116 Mot inconnu : fsck => L'​interface fsck​ lance le vérificateur adapté au système de fichiers de la partition ciblée : si la partition est formatée en ext4, alors fsck lancera automatiquement fsck.ext4 | fsck
116 Mot inconnu : fsck => L'​interface fsck​ lance le vérificateur adapté au système de fichiers de la partition ciblée : si la partition est formatée en ext4, alors fsck lancera automatiquement fsck.ext4 | fsck
116 Mot inconnu : ext4 => L'​interface fsck​ lance le vérificateur adapté au système de fichiers de la partition ciblée : si la partition est formatée en ext4, alors fsck lancera automatiquement fsck.ext4 | ext4

126 Mot inconnu : tune2fs => Pour afficher la liste des propriétés d'une partition, il faut utiliser **tune2fs**. | tune2fs

143 Mot inconnu : fsck => Dans cet exemple, le système de fichier sera vérifié automatiquement avec **fsck** après le 5 avril 2017 13:52 ou avant si jamais la partition est montée plus de 21 fois //(Maximum mount - Mount count)// d'ici là. | fsck
143 Mot inconnu : mount => Dans cet exemple, le système de fichier sera vérifié automatiquement avec **fsck** après le 5 avril 2017 13:52 ou avant si jamais la partition est montée plus de 21 fois //(Maximum mount - Mount count)// d'ici là. | mount
143 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Dans cet exemple, le système de fichier sera vérifié automatiquement avec **fsck** après le 5 avril 2017 13:52 ou avant si jamais la partition est montée plus de 21 fois //(Maximum mount - Mount count)// d'ici là. |  -  => suggestions : [' – ', ' — ', ' − ']
143 Mot inconnu : Mount => Dans cet exemple, le système de fichier sera vérifié automatiquement avec **fsck** après le 5 avril 2017 13:52 ou avant si jamais la partition est montée plus de 21 fois //(Maximum mount - Mount count)// d'ici là. | mount
143 Mot inconnu : count => Dans cet exemple, le système de fichier sera vérifié automatiquement avec **fsck** après le 5 avril 2017 13:52 ou avant si jamais la partition est montée plus de 21 fois //(Maximum mount - Mount count)// d'ici là. | count

148 Mot inconnu : ext2 => Pour les volumes //ext2 ou ext3//, il est possible de paramétrer une vérification automatique. | ext2
148 Mot inconnu : ext3 => Pour les volumes //ext2 ou ext3//, il est possible de paramétrer une vérification automatique. | ext3

152 Mot inconnu : tune2fs => Pour modifier les paramètres, il faut utiliser **tune2fs**. | tune2fs

155 Mot inconnu : fsck => permet de lancer //fsck// tous les 50 montages de la partition. | fsck

161 Mot inconnu : fsck => permet de lancer //fsck// tous les 60 montages ou tous les 30 jours pour partition sda1. | fsck
161 Mot inconnu : sda1 => permet de lancer //fsck// tous les 60 montages ou tous les 30 jours pour partition sda1. | sda1

165 Mot inconnu : gnome-disk-utility => [[gnome-disk-utility|L'outil de disque]] peut aussi servir d'interface graphique (à vérifier) | gnome-disk-utility
177 Typographie : points de suspension. Utilisez le caractère dédié. => //Contributeurs principaux : ...// | ... => suggestions : ['…']
