
2 Mot inconnu : Localepurge => ====== Localepurge ====== | localepurge
34 Mot inconnu : __ => __**note importante**__ \\ | __
34 Mot inconnu : __ => __**note importante**__ \\ | __
35 Mot inconnu : fr_BE => Afin d'obtenir une francisation optimale de votre version d'Ubuntu, n'oubliez pas de sélectionner **toutes les variantes francophones disponibles** notamment, sans être exhaustif : \\ Belgique [fr_BE@EURO], Canada [fr_CA@EURO], Luxembourg [fr_LU@EURO], Suisse [fr_CH@EURO], Europe [fr_EU@EURO] au format fr_XX, fr_XX.UFT-8, fr_XX@euro et en page de codes UFT-8. \\ | fr_be
35 Mot inconnu : fr_CA => Afin d'obtenir une francisation optimale de votre version d'Ubuntu, n'oubliez pas de sélectionner **toutes les variantes francophones disponibles** notamment, sans être exhaustif : \\ Belgique [fr_BE@EURO], Canada [fr_CA@EURO], Luxembourg [fr_LU@EURO], Suisse [fr_CH@EURO], Europe [fr_EU@EURO] au format fr_XX, fr_XX.UFT-8, fr_XX@euro et en page de codes UFT-8. \\ | fr_ca
35 Mot inconnu : fr_LU => Afin d'obtenir une francisation optimale de votre version d'Ubuntu, n'oubliez pas de sélectionner **toutes les variantes francophones disponibles** notamment, sans être exhaustif : \\ Belgique [fr_BE@EURO], Canada [fr_CA@EURO], Luxembourg [fr_LU@EURO], Suisse [fr_CH@EURO], Europe [fr_EU@EURO] au format fr_XX, fr_XX.UFT-8, fr_XX@euro et en page de codes UFT-8. \\ | fr_lu
35 Mot inconnu : fr_CH => Afin d'obtenir une francisation optimale de votre version d'Ubuntu, n'oubliez pas de sélectionner **toutes les variantes francophones disponibles** notamment, sans être exhaustif : \\ Belgique [fr_BE@EURO], Canada [fr_CA@EURO], Luxembourg [fr_LU@EURO], Suisse [fr_CH@EURO], Europe [fr_EU@EURO] au format fr_XX, fr_XX.UFT-8, fr_XX@euro et en page de codes UFT-8. \\ | fr_ch
35 Mot inconnu : fr_EU => Afin d'obtenir une francisation optimale de votre version d'Ubuntu, n'oubliez pas de sélectionner **toutes les variantes francophones disponibles** notamment, sans être exhaustif : \\ Belgique [fr_BE@EURO], Canada [fr_CA@EURO], Luxembourg [fr_LU@EURO], Suisse [fr_CH@EURO], Europe [fr_EU@EURO] au format fr_XX, fr_XX.UFT-8, fr_XX@euro et en page de codes UFT-8. \\ | fr_eu
35 Mot inconnu : fr_XX => Afin d'obtenir une francisation optimale de votre version d'Ubuntu, n'oubliez pas de sélectionner **toutes les variantes francophones disponibles** notamment, sans être exhaustif : \\ Belgique [fr_BE@EURO], Canada [fr_CA@EURO], Luxembourg [fr_LU@EURO], Suisse [fr_CH@EURO], Europe [fr_EU@EURO] au format fr_XX, fr_XX.UFT-8, fr_XX@euro et en page de codes UFT-8. \\ | fr_xx
35 Mot inconnu : fr_XX => Afin d'obtenir une francisation optimale de votre version d'Ubuntu, n'oubliez pas de sélectionner **toutes les variantes francophones disponibles** notamment, sans être exhaustif : \\ Belgique [fr_BE@EURO], Canada [fr_CA@EURO], Luxembourg [fr_LU@EURO], Suisse [fr_CH@EURO], Europe [fr_EU@EURO] au format fr_XX, fr_XX.UFT-8, fr_XX@euro et en page de codes UFT-8. \\ | fr_xx
35 Mot inconnu : UFT-8 => Afin d'obtenir une francisation optimale de votre version d'Ubuntu, n'oubliez pas de sélectionner **toutes les variantes francophones disponibles** notamment, sans être exhaustif : \\ Belgique [fr_BE@EURO], Canada [fr_CA@EURO], Luxembourg [fr_LU@EURO], Suisse [fr_CH@EURO], Europe [fr_EU@EURO] au format fr_XX, fr_XX.UFT-8, fr_XX@euro et en page de codes UFT-8. \\ | uft-8
35 Mot inconnu : fr_XX => Afin d'obtenir une francisation optimale de votre version d'Ubuntu, n'oubliez pas de sélectionner **toutes les variantes francophones disponibles** notamment, sans être exhaustif : \\ Belgique [fr_BE@EURO], Canada [fr_CA@EURO], Luxembourg [fr_LU@EURO], Suisse [fr_CH@EURO], Europe [fr_EU@EURO] au format fr_XX, fr_XX.UFT-8, fr_XX@euro et en page de codes UFT-8. \\ | fr_xx
35 Mot inconnu : UFT-8 => Afin d'obtenir une francisation optimale de votre version d'Ubuntu, n'oubliez pas de sélectionner **toutes les variantes francophones disponibles** notamment, sans être exhaustif : \\ Belgique [fr_BE@EURO], Canada [fr_CA@EURO], Luxembourg [fr_LU@EURO], Suisse [fr_CH@EURO], Europe [fr_EU@EURO] au format fr_XX, fr_XX.UFT-8, fr_XX@euro et en page de codes UFT-8. \\ | uft-8

40 Espace(s) en fin de ligne à supprimer. => Une dernière fenêtre vous demande de confirmer.  |   => suggestions : ['']

44 Mot inconnu : localepurge => Une fois localepurge installé, lors de vos prochaines installations de paquets les locales indésirables seront automatiquement retirés \\ | localepurge

47 Mot inconnu : nettoyer_ubuntu => [[nettoyer_ubuntu|Nettoyer Ubuntu]] | nettoyer_ubuntu

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']
