
4 Mot inconnu : Quartus => ====== Quartus Web Edition ====== | quartus
19 Mot inconnu : Edition => Après avoir installé le paquet [[apt>ia32-libs|ia32-libs]], téléchargez la Web Edition de Quartus [[http://dl.altera.com/?edition=web&platform=linux|ici]]. Veillez à ne pas lancer l'installateur dans le dossier Téléchargement : **le chemin de l'installateur ne doit contenir ni espaces ni accents**. | edition
19 Mot inconnu : Quartus => Après avoir installé le paquet [[apt>ia32-libs|ia32-libs]], téléchargez la Web Edition de Quartus [[http://dl.altera.com/?edition=web&platform=linux|ici]]. Veillez à ne pas lancer l'installateur dans le dossier Téléchargement : **le chemin de l'installateur ne doit contenir ni espaces ni accents**. | quartus

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd ~/Téléchargements |    => suggestions : ['']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   INST_ALTERA=11.1sp2_259_quartus_free_linux |    => suggestions : ['']
23 Mot inconnu : INST_ALTERA =>   INST_ALTERA=11.1sp2_259_quartus_free_linux | inst_altera
23 Mot inconnu : sp2_259_quartus_free_linux =>   INST_ALTERA=11.1sp2_259_quartus_free_linux | sp2_259_quartus_free_linux

24 Mot inconnu : altera => Puisque le chemin de l'installateur ne doit pas contenir d'accents, déplaçons l’exécutable vers ~/altera. Donnons ensuite les droits d'éxecution à l'installateur et lançons-le : | altera
24 Mot inconnu : éxecution => Puisque le chemin de l'installateur ne doit pas contenir d'accents, déplaçons l’exécutable vers ~/altera. Donnons ensuite les droits d'éxecution à l'installateur et lançons-le : | éxecution

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   mkdir ~/altera |    => suggestions : ['']
25 Mot inconnu : mkdir =>   mkdir ~/altera | mkdir
25 Mot inconnu : altera =>   mkdir ~/altera | altera

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   mv $INST_ALTERA.sh ../altera/ |    => suggestions : ['']
26 Mot inconnu : mv =>   mv $INST_ALTERA.sh ../altera/ | mv
26 Mot inconnu : INST_ALTERA =>   mv $INST_ALTERA.sh ../altera/ | inst_altera
26 Mot inconnu : sh =>   mv $INST_ALTERA.sh ../altera/ | sh
26 Typographie : un ou trois points ? =>   mv $INST_ALTERA.sh ../altera/ | .. => suggestions : ['…', '.']
26 Mot inconnu : altera =>   mv $INST_ALTERA.sh ../altera/ | altera

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd ~/altera |    => suggestions : ['']
27 Mot inconnu : altera =>   cd ~/altera | altera

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   chmod +x $INST_ALTERA.sh |    => suggestions : ['']
28 Mot inconnu : chmod =>   chmod +x $INST_ALTERA.sh | chmod
28 Mot inconnu : INST_ALTERA =>   chmod +x $INST_ALTERA.sh | inst_altera
28 Mot inconnu : sh =>   chmod +x $INST_ALTERA.sh | sh

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ./$INST_ALTERA.sh |    => suggestions : ['']
29 Mot inconnu : INST_ALTERA =>   ./$INST_ALTERA.sh | inst_altera
29 Mot inconnu : sh =>   ./$INST_ALTERA.sh | sh

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ./setup: 1: ./setup: Syntax error: "&" unexpected |    => suggestions : ['']
31 Mot inconnu : setup =>   ./setup: 1: ./setup: Syntax error: "&" unexpected | setup
31 Mot inconnu : setup =>   ./setup: 1: ./setup: Syntax error: "&" unexpected | setup
31 Mot inconnu : Syntax =>   ./setup: 1: ./setup: Syntax error: "&" unexpected | syntax
31 Mot inconnu : error =>   ./setup: 1: ./setup: Syntax error: "&" unexpected | error
31 Mot inconnu : unexpected =>   ./setup: 1: ./setup: Syntax error: "&" unexpected | unexpected

32 Mot inconnu : DASH => Cela est dû au fait que Ubuntu utilise comme shell par défaut DASH au lieu de BASH. Il suffit de corriger l'en-tête du fichier setup puis de le relancer pour continuer : | dash
32 Mot inconnu : BASH => Cela est dû au fait que Ubuntu utilise comme shell par défaut DASH au lieu de BASH. Il suffit de corriger l'en-tête du fichier setup puis de le relancer pour continuer : | bash
32 Mot inconnu : setup => Cela est dû au fait que Ubuntu utilise comme shell par défaut DASH au lieu de BASH. Il suffit de corriger l'en-tête du fichier setup puis de le relancer pour continuer : | setup

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd $INST_ALTERA |    => suggestions : ['']
33 Mot inconnu : INST_ALTERA =>   cd $INST_ALTERA | inst_altera

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sed -i 's/\/bin\/sh/\/bin\/bash/g' setup  |    => suggestions : ['']
34 Mot inconnu : sed =>   sed -i 's/\/bin\/sh/\/bin\/bash/g' setup  | sed
34 Il manque un espace à côté du tiret. =>   sed -i 's/\/bin\/sh/\/bin\/bash/g' setup  |  - => suggestions : [' – ', ' — ']
34 Guillemets typographiques ouvrants. =>   sed -i 's/\/bin\/sh/\/bin\/bash/g' setup  | ' => suggestions : ['“', '‘', '‹']
34 Mot inconnu : sh =>   sed -i 's/\/bin\/sh/\/bin\/bash/g' setup  | sh
34 Mot inconnu : bash =>   sed -i 's/\/bin\/sh/\/bin\/bash/g' setup  | bash
34 Guillemets typographiques fermants. =>   sed -i 's/\/bin\/sh/\/bin\/bash/g' setup  | ' => suggestions : ['”', '’', '›']
34 Mot inconnu : setup =>   sed -i 's/\/bin\/sh/\/bin\/bash/g' setup  | setup
34 Espace(s) en fin de ligne à supprimer. =>   sed -i 's/\/bin\/sh/\/bin\/bash/g' setup  |   => suggestions : ['']

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ./setup |    => suggestions : ['']
35 Mot inconnu : setup =>   ./setup | setup

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo sh -c 'echo ATTR{idVendor}==\"09fb\", ATTR{idProduct}==\"6001\", MODE=\"666\" > /etc/udev/rules.d/altera-usb-blaster.rules' |    => suggestions : ['']
37 Mot inconnu : sudo =>   sudo sh -c 'echo ATTR{idVendor}==\"09fb\", ATTR{idProduct}==\"6001\", MODE=\"666\" > /etc/udev/rules.d/altera-usb-blaster.rules' | sudo
37 Mot inconnu : sh =>   sudo sh -c 'echo ATTR{idVendor}==\"09fb\", ATTR{idProduct}==\"6001\", MODE=\"666\" > /etc/udev/rules.d/altera-usb-blaster.rules' | sh
37 Il manque un espace à côté du tiret. =>   sudo sh -c 'echo ATTR{idVendor}==\"09fb\", ATTR{idProduct}==\"6001\", MODE=\"666\" > /etc/udev/rules.d/altera-usb-blaster.rules' |  - => suggestions : [' – ', ' — ']
37 Guillemets typographiques ouvrants. =>   sudo sh -c 'echo ATTR{idVendor}==\"09fb\", ATTR{idProduct}==\"6001\", MODE=\"666\" > /etc/udev/rules.d/altera-usb-blaster.rules' | ' => suggestions : ['“', '‘', '‹']
37 Mot inconnu : echo =>   sudo sh -c 'echo ATTR{idVendor}==\"09fb\", ATTR{idProduct}==\"6001\", MODE=\"666\" > /etc/udev/rules.d/altera-usb-blaster.rules' | echo
37 Mot inconnu : ATTR =>   sudo sh -c 'echo ATTR{idVendor}==\"09fb\", ATTR{idProduct}==\"6001\", MODE=\"666\" > /etc/udev/rules.d/altera-usb-blaster.rules' | attr
37 Mot inconnu : idVendor =>   sudo sh -c 'echo ATTR{idVendor}==\"09fb\", ATTR{idProduct}==\"6001\", MODE=\"666\" > /etc/udev/rules.d/altera-usb-blaster.rules' | idvendor
37 Guillemets typographiques ouvrants. =>   sudo sh -c 'echo ATTR{idVendor}==\"09fb\", ATTR{idProduct}==\"6001\", MODE=\"666\" > /etc/udev/rules.d/altera-usb-blaster.rules' | " => suggestions : ['«\xa0', '“']
37 Mot inconnu : fb =>   sudo sh -c 'echo ATTR{idVendor}==\"09fb\", ATTR{idProduct}==\"6001\", MODE=\"666\" > /etc/udev/rules.d/altera-usb-blaster.rules' | fb
37 Mot inconnu : ATTR =>   sudo sh -c 'echo ATTR{idVendor}==\"09fb\", ATTR{idProduct}==\"6001\", MODE=\"666\" > /etc/udev/rules.d/altera-usb-blaster.rules' | attr
37 Mot inconnu : idProduct =>   sudo sh -c 'echo ATTR{idVendor}==\"09fb\", ATTR{idProduct}==\"6001\", MODE=\"666\" > /etc/udev/rules.d/altera-usb-blaster.rules' | idproduct
37 Guillemets typographiques ouvrants. =>   sudo sh -c 'echo ATTR{idVendor}==\"09fb\", ATTR{idProduct}==\"6001\", MODE=\"666\" > /etc/udev/rules.d/altera-usb-blaster.rules' | " => suggestions : ['«\xa0', '“']
37 Guillemets typographiques ouvrants. =>   sudo sh -c 'echo ATTR{idVendor}==\"09fb\", ATTR{idProduct}==\"6001\", MODE=\"666\" > /etc/udev/rules.d/altera-usb-blaster.rules' | " => suggestions : ['«\xa0', '“']
37 Guillemets typographiques fermants. =>   sudo sh -c 'echo ATTR{idVendor}==\"09fb\", ATTR{idProduct}==\"6001\", MODE=\"666\" > /etc/udev/rules.d/altera-usb-blaster.rules' | ' => suggestions : ['”', '’', '›']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   PATH_ALTERA=~/altera/11.1sp2 |    => suggestions : ['']
39 Mot inconnu : PATH_ALTERA =>   PATH_ALTERA=~/altera/11.1sp2 | path_altera
39 Mot inconnu : altera =>   PATH_ALTERA=~/altera/11.1sp2 | altera
39 Mot inconnu : sp2 =>   PATH_ALTERA=~/altera/11.1sp2 | sp2

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   echo "export PATH=\$PATH:$PATH_ALTERA/nios2eds/bin:$PATH_ALTERA/nios2eds/bin/gnu/H-i686-pc-linux-gnu/bin/:$PATH_ALTERA/quartus/bin" >> ~/.profile |    => suggestions : ['']
40 Mot inconnu : echo =>   echo "export PATH=\$PATH:$PATH_ALTERA/nios2eds/bin:$PATH_ALTERA/nios2eds/bin/gnu/H-i686-pc-linux-gnu/bin/:$PATH_ALTERA/quartus/bin" >> ~/.profile | echo
40 Guillemets typographiques ouvrants. =>   echo "export PATH=\$PATH:$PATH_ALTERA/nios2eds/bin:$PATH_ALTERA/nios2eds/bin/gnu/H-i686-pc-linux-gnu/bin/:$PATH_ALTERA/quartus/bin" >> ~/.profile | " => suggestions : ['«\xa0', '“']
40 Mot inconnu : PATH =>   echo "export PATH=\$PATH:$PATH_ALTERA/nios2eds/bin:$PATH_ALTERA/nios2eds/bin/gnu/H-i686-pc-linux-gnu/bin/:$PATH_ALTERA/quartus/bin" >> ~/.profile | path
40 Mot inconnu : PATH =>   echo "export PATH=\$PATH:$PATH_ALTERA/nios2eds/bin:$PATH_ALTERA/nios2eds/bin/gnu/H-i686-pc-linux-gnu/bin/:$PATH_ALTERA/quartus/bin" >> ~/.profile | path
40 Mot inconnu : PATH_ALTERA =>   echo "export PATH=\$PATH:$PATH_ALTERA/nios2eds/bin:$PATH_ALTERA/nios2eds/bin/gnu/H-i686-pc-linux-gnu/bin/:$PATH_ALTERA/quartus/bin" >> ~/.profile | path_altera
40 Mot inconnu : nios2eds =>   echo "export PATH=\$PATH:$PATH_ALTERA/nios2eds/bin:$PATH_ALTERA/nios2eds/bin/gnu/H-i686-pc-linux-gnu/bin/:$PATH_ALTERA/quartus/bin" >> ~/.profile | nios2eds
40 Mot inconnu : PATH_ALTERA =>   echo "export PATH=\$PATH:$PATH_ALTERA/nios2eds/bin:$PATH_ALTERA/nios2eds/bin/gnu/H-i686-pc-linux-gnu/bin/:$PATH_ALTERA/quartus/bin" >> ~/.profile | path_altera
40 Mot inconnu : nios2eds =>   echo "export PATH=\$PATH:$PATH_ALTERA/nios2eds/bin:$PATH_ALTERA/nios2eds/bin/gnu/H-i686-pc-linux-gnu/bin/:$PATH_ALTERA/quartus/bin" >> ~/.profile | nios2eds
40 Mot inconnu : PATH_ALTERA =>   echo "export PATH=\$PATH:$PATH_ALTERA/nios2eds/bin:$PATH_ALTERA/nios2eds/bin/gnu/H-i686-pc-linux-gnu/bin/:$PATH_ALTERA/quartus/bin" >> ~/.profile | path_altera
40 Mot inconnu : quartus =>   echo "export PATH=\$PATH:$PATH_ALTERA/nios2eds/bin:$PATH_ALTERA/nios2eds/bin/gnu/H-i686-pc-linux-gnu/bin/:$PATH_ALTERA/quartus/bin" >> ~/.profile | quartus
40 Guillemets typographiques fermants. =>   echo "export PATH=\$PATH:$PATH_ALTERA/nios2eds/bin:$PATH_ALTERA/nios2eds/bin/gnu/H-i686-pc-linux-gnu/bin/:$PATH_ALTERA/quartus/bin" >> ~/.profile | " => suggestions : ['\xa0»', '”']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   echo "$PATH_ALTERA/quartus/linux" | sudo tee /etc/ld.so.conf |    => suggestions : ['']
41 Mot inconnu : echo =>   echo "$PATH_ALTERA/quartus/linux" | sudo tee /etc/ld.so.conf | echo
41 Mot inconnu : PATH_ALTERA =>   echo "$PATH_ALTERA/quartus/linux" | sudo tee /etc/ld.so.conf | path_altera
41 Mot inconnu : quartus =>   echo "$PATH_ALTERA/quartus/linux" | sudo tee /etc/ld.so.conf | quartus
41 Mot inconnu : linux =>   echo "$PATH_ALTERA/quartus/linux" | sudo tee /etc/ld.so.conf | linux
41 Guillemets typographiques fermants. =>   echo "$PATH_ALTERA/quartus/linux" | sudo tee /etc/ld.so.conf | " => suggestions : ['\xa0»', '”']
41 Mot inconnu : sudo =>   echo "$PATH_ALTERA/quartus/linux" | sudo tee /etc/ld.so.conf | sudo

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ldconfig -v |    => suggestions : ['']
42 Mot inconnu : sudo =>   sudo ldconfig -v | sudo
42 Mot inconnu : ldconfig =>   sudo ldconfig -v | ldconfig
42 Il manque un espace à côté du tiret. =>   sudo ldconfig -v |  - => suggestions : [' – ', ' — ']

43 Mot inconnu : en_US => Installons les locales en_US, qui sont nécessaires pour générer sous Qsys 11 ([[http://www.altera.com/support/kdb/solutions/rd05112011_512.html|voir bug]]) : | en_us
43 Mot inconnu : Qsys => Installons les locales en_US, qui sont nécessaires pour générer sous Qsys 11 ([[http://www.altera.com/support/kdb/solutions/rd05112011_512.html|voir bug]]) : | qsys

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo locale-gen en_US |    => suggestions : ['']
44 Mot inconnu : sudo =>   sudo locale-gen en_US | sudo
44 Mot inconnu : locale-gen =>   sudo locale-gen en_US | locale-gen
44 Mot inconnu : en_US =>   sudo locale-gen en_US | en_us

47 Mot inconnu : University => Si vous souhaitez utiliser les briques de l'University Program, et puisque l'installateur n'existe que pour Windows, vous pouvez copier-coller le répertoire University_Program depuis une installation Windows vers le répertoire ip de votre installation. | university
47 Mot inconnu : Program => Si vous souhaitez utiliser les briques de l'University Program, et puisque l'installateur n'existe que pour Windows, vous pouvez copier-coller le répertoire University_Program depuis une installation Windows vers le répertoire ip de votre installation. | program
47 Mot inconnu : University_Program => Si vous souhaitez utiliser les briques de l'University Program, et puisque l'installateur n'existe que pour Windows, vous pouvez copier-coller le répertoire University_Program depuis une installation Windows vers le répertoire ip de votre installation. | university_program
47 Mot inconnu : ip => Si vous souhaitez utiliser les briques de l'University Program, et puisque l'installateur n'existe que pour Windows, vous pouvez copier-coller le répertoire University_Program depuis une installation Windows vers le répertoire ip de votre installation. | ip

56 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => suffit de supprimer le dossier d'installation, par exemple ~/altera. Pensez aussi à retirer du fichier ld.so.conf les librairies ajoutées : | suffit => suggestions : ['Suffit']
56 Mot inconnu : altera => suffit de supprimer le dossier d'installation, par exemple ~/altera. Pensez aussi à retirer du fichier ld.so.conf les librairies ajoutées : | altera

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   gksudo gedit /etc/ld.so.conf |    => suggestions : ['']
57 Mot inconnu : gksudo =>   gksudo gedit /etc/ld.so.conf | gksudo
57 Mot inconnu : gedit =>   gksudo gedit /etc/ld.so.conf | gedit

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ldconfig -v |    => suggestions : ['']
58 Mot inconnu : sudo =>   sudo ldconfig -v | sudo
58 Mot inconnu : ldconfig =>   sudo ldconfig -v | ldconfig
58 Il manque un espace à côté du tiret. =>   sudo ldconfig -v |  - => suggestions : [' – ', ' — ']

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Welcome to Altera Software Installer |    => suggestions : ['']
63 Mot inconnu : Welcome =>   Welcome to Altera Software Installer | welcome
63 Mot inconnu : to =>   Welcome to Altera Software Installer | to
63 Mot inconnu : Altera =>   Welcome to Altera Software Installer | altera

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Copyright (c) Altera Corporation 2011 |    => suggestions : ['']
64 Mot inconnu : Altera =>   Copyright (c) Altera Corporation 2011 | altera

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

66 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Starting GUI. If nothing shows up, or you don't have an X display, run: |    => suggestions : ['']
66 Mot inconnu : Starting =>   Starting GUI. If nothing shows up, or you don't have an X display, run: | starting
66 Mot inconnu : nothing =>   Starting GUI. If nothing shows up, or you don't have an X display, run: | nothing
66 Mot inconnu : up =>   Starting GUI. If nothing shows up, or you don't have an X display, run: | up
66 Mot inconnu : you =>   Starting GUI. If nothing shows up, or you don't have an X display, run: | you
66 Mot inconnu : don't =>   Starting GUI. If nothing shows up, or you don't have an X display, run: | don't
66 Mot inconnu : display =>   Starting GUI. If nothing shows up, or you don't have an X display, run: | display
66 Mot inconnu : run =>   Starting GUI. If nothing shows up, or you don't have an X display, run: | run

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ./setup --help |    => suggestions : ['']
67 Mot inconnu : setup =>   ./setup --help | setup
67 Mot inconnu : help =>   ./setup --help | help

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   for commandline usage. |    => suggestions : ['']
68 Mot inconnu : commandline =>   for commandline usage. | commandline

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   NOTE: All output has been redirected to /tmp/altera_setup.log.tROjnwaHC0 |    => suggestions : ['']
69 Mot inconnu : All =>   NOTE: All output has been redirected to /tmp/altera_setup.log.tROjnwaHC0 | all
69 Mot inconnu : has =>   NOTE: All output has been redirected to /tmp/altera_setup.log.tROjnwaHC0 | has
69 Mot inconnu : been =>   NOTE: All output has been redirected to /tmp/altera_setup.log.tROjnwaHC0 | been
69 Mot inconnu : redirected =>   NOTE: All output has been redirected to /tmp/altera_setup.log.tROjnwaHC0 | redirected
69 Mot inconnu : to =>   NOTE: All output has been redirected to /tmp/altera_setup.log.tROjnwaHC0 | to

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Vous n'avez pas installé le paquet **[[apt>ia32-libs]]** |    => suggestions : ['']
72 Mot inconnu : ia32-libs =>   * Vous n'avez pas installé le paquet **[[apt>ia32-libs]]** | ia32-libs

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le chemin d'accès à l'installateur contient des espaces ou des accents |    => suggestions : ['']

74 Mot inconnu : Failed => ==== Failed to generate module sous Qsys ==== | failed
74 Mot inconnu : to => ==== Failed to generate module sous Qsys ==== | to
74 Mot inconnu : generate => ==== Failed to generate module sous Qsys ==== | generate
74 Mot inconnu : Qsys => ==== Failed to generate module sous Qsys ==== | qsys

75 Mot inconnu : Quartus => [[http://www.altera.com/support/kdb/solutions/rd05112011_512.html|Un bug de Quartus version 11]] oblige à installer les locales en_US pour générer sous Qsys. Tapez dans un terminal : | quartus
75 Mot inconnu : en_US => [[http://www.altera.com/support/kdb/solutions/rd05112011_512.html|Un bug de Quartus version 11]] oblige à installer les locales en_US pour générer sous Qsys. Tapez dans un terminal : | en_us
75 Mot inconnu : Qsys => [[http://www.altera.com/support/kdb/solutions/rd05112011_512.html|Un bug de Quartus version 11]] oblige à installer les locales en_US pour générer sous Qsys. Tapez dans un terminal : | qsys

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo locale-gen en_US |    => suggestions : ['']
76 Mot inconnu : sudo =>   sudo locale-gen en_US | sudo
76 Mot inconnu : locale-gen =>   sudo locale-gen en_US | locale-gen
76 Mot inconnu : en_US =>   sudo locale-gen en_US | en_us

77 Mot inconnu : Can't => ====Can't place multiple pins==== | can't

78 Mot inconnu : Quartus => Si lors de la compilation sous Quartus vous obtenez une erreur semblable à : | quartus

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Error (176310): Can't place multiple pins assigned to pin location Pin_AD25 (IOC_X95_Y2_N1) |    => suggestions : ['']
79 Mot inconnu : Error =>   Error (176310): Can't place multiple pins assigned to pin location Pin_AD25 (IOC_X95_Y2_N1) | error
79 Formatage des grands nombres. =>   Error (176310): Can't place multiple pins assigned to pin location Pin_AD25 (IOC_X95_Y2_N1) | 176310 => suggestions : ['176\xa0310']
79 Mot inconnu : Can't =>   Error (176310): Can't place multiple pins assigned to pin location Pin_AD25 (IOC_X95_Y2_N1) | can't
79 Mot inconnu : assigned =>   Error (176310): Can't place multiple pins assigned to pin location Pin_AD25 (IOC_X95_Y2_N1) | assigned
79 Mot inconnu : to =>   Error (176310): Can't place multiple pins assigned to pin location Pin_AD25 (IOC_X95_Y2_N1) | to
79 Mot inconnu : Pin_AD25 =>   Error (176310): Can't place multiple pins assigned to pin location Pin_AD25 (IOC_X95_Y2_N1) | pin_ad25
79 Mot inconnu : IOC_X95_Y2_N1 =>   Error (176310): Can't place multiple pins assigned to pin location Pin_AD25 (IOC_X95_Y2_N1) | ioc_x95_y2_n1

80 Mot inconnu : Assignements => Allez dans Assignements -> Device -> Device and pin options -> Dual purpose pins et passez "nCEO" à l'état "Use as regular I/O"  | assignements
80 Mot inconnu : Device => Allez dans Assignements -> Device -> Device and pin options -> Dual purpose pins et passez "nCEO" à l'état "Use as regular I/O"  | device
80 Mot inconnu : Device => Allez dans Assignements -> Device -> Device and pin options -> Dual purpose pins et passez "nCEO" à l'état "Use as regular I/O"  | device
80 Mot inconnu : and => Allez dans Assignements -> Device -> Device and pin options -> Dual purpose pins et passez "nCEO" à l'état "Use as regular I/O"  | and
80 Mot inconnu : purpose => Allez dans Assignements -> Device -> Device and pin options -> Dual purpose pins et passez "nCEO" à l'état "Use as regular I/O"  | purpose
80 Guillemets typographiques ouvrants. => Allez dans Assignements -> Device -> Device and pin options -> Dual purpose pins et passez "nCEO" à l'état "Use as regular I/O"  | " => suggestions : ['«\xa0', '“']
80 Mot inconnu : nCEO => Allez dans Assignements -> Device -> Device and pin options -> Dual purpose pins et passez "nCEO" à l'état "Use as regular I/O"  | nceo
80 Guillemets typographiques fermants. => Allez dans Assignements -> Device -> Device and pin options -> Dual purpose pins et passez "nCEO" à l'état "Use as regular I/O"  | " => suggestions : ['\xa0»', '”']
80 Guillemets typographiques ouvrants. => Allez dans Assignements -> Device -> Device and pin options -> Dual purpose pins et passez "nCEO" à l'état "Use as regular I/O"  | " => suggestions : ['«\xa0', '“']
