
5 Mot inconnu : Knocking => ====== Port Knocking : sécuriser l'accès à un port ====== | knocking
17 Espace(s) en fin de ligne à supprimer. => Pour la suite des opérations, des pré-requis sont nécessaires :  |   => suggestions : ['']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée pour télécharger le logiciel ; |    => suggestions : ['']

27 Mot inconnu : knockd => Le serveur doit donc avoir un pare-feu et exécuter le service //knockd//. Le service est donc en écoute d'une séquence spécifique (suite de ports associés a un protocole TCP ou UDP). Si la séquence est correcte, alors une commande est exécutée. Généralement, l'adresse ip source est autorisée à accéder au port d'une application à travers le pare-feu. | knockd
27 Mot inconnu : TCP => Le serveur doit donc avoir un pare-feu et exécuter le service //knockd//. Le service est donc en écoute d'une séquence spécifique (suite de ports associés a un protocole TCP ou UDP). Si la séquence est correcte, alors une commande est exécutée. Généralement, l'adresse ip source est autorisée à accéder au port d'une application à travers le pare-feu. | tcp
27 Mot inconnu : UDP => Le serveur doit donc avoir un pare-feu et exécuter le service //knockd//. Le service est donc en écoute d'une séquence spécifique (suite de ports associés a un protocole TCP ou UDP). Si la séquence est correcte, alors une commande est exécutée. Généralement, l'adresse ip source est autorisée à accéder au port d'une application à travers le pare-feu. | udp
27 Mot inconnu : ip => Le serveur doit donc avoir un pare-feu et exécuter le service //knockd//. Le service est donc en écoute d'une séquence spécifique (suite de ports associés a un protocole TCP ou UDP). Si la séquence est correcte, alors une commande est exécutée. Généralement, l'adresse ip source est autorisée à accéder au port d'une application à travers le pare-feu. | ip

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * la première est destinée aux connexions qui ne nécessitent pas d'être maintenues (comme HTTP) ; |    => suggestions : ['']

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * la seconde méthode à celles qui doivent l'être (comme SSH et IRC). |    => suggestions : ['']
35 Mot inconnu : SSH =>   * la seconde méthode à celles qui doivent l'être (comme SSH et IRC). | ssh
35 Mot inconnu : IRC =>   * la seconde méthode à celles qui doivent l'être (comme SSH et IRC). | irc

41 Mot inconnu : keep-alive => ==== Connexions non maintenues (no keep-alive) ==== | keep-alive

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         logfile = /var/log/knockd.log |          => suggestions : ['']
45 Mot inconnu : logfile =>         logfile = /var/log/knockd.log | logfile

47 Mot inconnu : openHTTP => [openHTTP] | openhttp

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         sequence    = 7000,8000,9000 |          => suggestions : ['']
48 Mot inconnu : sequence =>         sequence    = 7000,8000,9000 | sequence
48 Espace(s) surnuméraire(s) à supprimer. =>         sequence    = 7000,8000,9000 |      => suggestions : [' ']
48 Formatage des grands nombres. =>         sequence    = 7000,8000,9000 | 7000 => suggestions : ['7\xa0000']

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         seq_timeout = 5 |          => suggestions : ['']
49 Mot inconnu : seq_timeout =>         seq_timeout = 5 | seq_timeout

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         command     = /sbin/iptables -I INPUT -s %IP% -p tcp --dport 80 -j ACCEPT |          => suggestions : ['']
50 Mot inconnu : command =>         command     = /sbin/iptables -I INPUT -s %IP% -p tcp --dport 80 -j ACCEPT | command
50 Espace(s) surnuméraire(s) à supprimer. =>         command     = /sbin/iptables -I INPUT -s %IP% -p tcp --dport 80 -j ACCEPT |       => suggestions : [' ']
50 Il manque un espace à côté du tiret. =>         command     = /sbin/iptables -I INPUT -s %IP% -p tcp --dport 80 -j ACCEPT |  - => suggestions : [' – ', ' — ']
50 Il manque un espace à côté du tiret. =>         command     = /sbin/iptables -I INPUT -s %IP% -p tcp --dport 80 -j ACCEPT |  - => suggestions : [' – ', ' — ']
50 Il manque un espace. =>         command     = /sbin/iptables -I INPUT -s %IP% -p tcp --dport 80 -j ACCEPT | ip => suggestions : [' IP']
50 Mot inconnu : tcp =>         command     = /sbin/iptables -I INPUT -s %IP% -p tcp --dport 80 -j ACCEPT | tcp
50 Mot inconnu : dport =>         command     = /sbin/iptables -I INPUT -s %IP% -p tcp --dport 80 -j ACCEPT | dport
50 Il manque un espace à côté du tiret. =>         command     = /sbin/iptables -I INPUT -s %IP% -p tcp --dport 80 -j ACCEPT |  - => suggestions : [' – ', ' — ']
50 Mot inconnu : ACCEPT =>         command     = /sbin/iptables -I INPUT -s %IP% -p tcp --dport 80 -j ACCEPT | accept

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         tcpflags    = syn |          => suggestions : ['']
51 Mot inconnu : tcpflags =>         tcpflags    = syn | tcpflags
51 Espace(s) surnuméraire(s) à supprimer. =>         tcpflags    = syn |      => suggestions : [' ']
51 Mot inconnu : syn =>         tcpflags    = syn | syn

53 Mot inconnu : closeHTTP => [closeHTTP] | closehttp

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         sequence    = 9000,8000,7000 |          => suggestions : ['']
54 Mot inconnu : sequence =>         sequence    = 9000,8000,7000 | sequence
54 Espace(s) surnuméraire(s) à supprimer. =>         sequence    = 9000,8000,7000 |      => suggestions : [' ']
54 Formatage des grands nombres. =>         sequence    = 9000,8000,7000 | 9000 => suggestions : ['9\xa0000']

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         seq_timeout = 5 |          => suggestions : ['']
55 Mot inconnu : seq_timeout =>         seq_timeout = 5 | seq_timeout

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         command     = /sbin/iptables -D INPUT -s %IP% -p tcp --dport 80 -j ACCEPT |          => suggestions : ['']
56 Mot inconnu : command =>         command     = /sbin/iptables -D INPUT -s %IP% -p tcp --dport 80 -j ACCEPT | command
56 Espace(s) surnuméraire(s) à supprimer. =>         command     = /sbin/iptables -D INPUT -s %IP% -p tcp --dport 80 -j ACCEPT |       => suggestions : [' ']
56 Il manque un espace à côté du tiret. =>         command     = /sbin/iptables -D INPUT -s %IP% -p tcp --dport 80 -j ACCEPT |  - => suggestions : [' – ', ' — ']
56 Il manque un espace à côté du tiret. =>         command     = /sbin/iptables -D INPUT -s %IP% -p tcp --dport 80 -j ACCEPT |  - => suggestions : [' – ', ' — ']
56 Il manque un espace. =>         command     = /sbin/iptables -D INPUT -s %IP% -p tcp --dport 80 -j ACCEPT | ip => suggestions : [' IP']
56 Mot inconnu : tcp =>         command     = /sbin/iptables -D INPUT -s %IP% -p tcp --dport 80 -j ACCEPT | tcp
56 Mot inconnu : dport =>         command     = /sbin/iptables -D INPUT -s %IP% -p tcp --dport 80 -j ACCEPT | dport
56 Il manque un espace à côté du tiret. =>         command     = /sbin/iptables -D INPUT -s %IP% -p tcp --dport 80 -j ACCEPT |  - => suggestions : [' – ', ' — ']
56 Mot inconnu : ACCEPT =>         command     = /sbin/iptables -D INPUT -s %IP% -p tcp --dport 80 -j ACCEPT | accept

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         tcpflags    = syn |          => suggestions : ['']
57 Mot inconnu : tcpflags =>         tcpflags    = syn | tcpflags
57 Espace(s) surnuméraire(s) à supprimer. =>         tcpflags    = syn |      => suggestions : [' ']
57 Mot inconnu : syn =>         tcpflags    = syn | syn
60 Espace(s) en fin de ligne à supprimer. => Explications :  |   => suggestions : ['']

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * **sequence** : la combinaison à matcher pour effectuer la 'command'. Si aucun protocole n'est mentionné, le protocole par défaut est utilisé : TCP |      => suggestions : ['']
61 Mot inconnu : sequence =>     * **sequence** : la combinaison à matcher pour effectuer la 'command'. Si aucun protocole n'est mentionné, le protocole par défaut est utilisé : TCP | sequence
61 Guillemets typographiques ouvrants. =>     * **sequence** : la combinaison à matcher pour effectuer la 'command'. Si aucun protocole n'est mentionné, le protocole par défaut est utilisé : TCP | ' => suggestions : ['“', '‘', '‹']
61 Mot inconnu : command =>     * **sequence** : la combinaison à matcher pour effectuer la 'command'. Si aucun protocole n'est mentionné, le protocole par défaut est utilisé : TCP | command
61 Mot inconnu : TCP =>     * **sequence** : la combinaison à matcher pour effectuer la 'command'. Si aucun protocole n'est mentionné, le protocole par défaut est utilisé : TCP | tcp

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * **seq_timeout** : le temps en secondes pendant lequel la combinaison doit être effectuée, après quoi elle est annulée, et il faut recommencer la séquence depuis le début. |      => suggestions : ['']
62 Mot inconnu : seq_timeout =>     * **seq_timeout** : le temps en secondes pendant lequel la combinaison doit être effectuée, après quoi elle est annulée, et il faut recommencer la séquence depuis le début. | seq_timeout

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * **command** : représente la règle iptables qui sera ajoutée au firewall afin de permettre l'ouverture/fermeture d'un port particulier. |      => suggestions : ['']
63 Mot inconnu : command =>     * **command** : représente la règle iptables qui sera ajoutée au firewall afin de permettre l'ouverture/fermeture d'un port particulier. | command
63 Mot inconnu : iptables =>     * **command** : représente la règle iptables qui sera ajoutée au firewall afin de permettre l'ouverture/fermeture d'un port particulier. | iptables
63 Mot inconnu : firewall =>     * **command** : représente la règle iptables qui sera ajoutée au firewall afin de permettre l'ouverture/fermeture d'un port particulier. | firewall

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * **tcpflags** : met en évidence les flags devant être positionnés dans les paquets reçus pour que le port soit pris en compte. Si une erreur survient, il faut recommencer le tout. |      => suggestions : ['']
64 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>     * **tcpflags** : met en évidence les flags devant être positionnés dans les paquets reçus pour que le port soit pris en compte. Si une erreur survient, il faut recommencer le tout. | tcpflags => suggestions : ['Tcpflags']
64 Mot inconnu : tcpflags =>     * **tcpflags** : met en évidence les flags devant être positionnés dans les paquets reçus pour que le port soit pris en compte. Si une erreur survient, il faut recommencer le tout. | tcpflags
64 Mot inconnu : flags =>     * **tcpflags** : met en évidence les flags devant être positionnés dans les paquets reçus pour que le port soit pris en compte. Si une erreur survient, il faut recommencer le tout. | flags

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **openHTTP** ouvre le port HTTP 80 si la séquence de ports 7000, 8000 et 9000 a été exécutée |    => suggestions : ['']
67 Mot inconnu : openHTTP =>   * **openHTTP** ouvre le port HTTP 80 si la séquence de ports 7000, 8000 et 9000 a été exécutée | openhttp

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **closeHTTP** ferme le port HTTP 80 si la séquence de ports 9000, 8000 et 7000 a été exécutée |    => suggestions : ['']
68 Mot inconnu : closeHTTP =>   * **closeHTTP** ferme le port HTTP 80 si la séquence de ports 9000, 8000 et 7000 a été exécutée | closehttp

70 Guillemets typographiques ouvrants. => Il est possible de préciser le protocole "frappé" en adaptant la ligne comme suit par exemple :  | " => suggestions : ['«\xa0', '“']
70 Guillemets typographiques fermants. => Il est possible de préciser le protocole "frappé" en adaptant la ligne comme suit par exemple :  | " => suggestions : ['\xa0»', '”']
70 Espace(s) en fin de ligne à supprimer. => Il est possible de préciser le protocole "frappé" en adaptant la ligne comme suit par exemple :  |   => suggestions : ['']

71 Mot inconnu : sequence => <file>sequence        = 7000:tcp,8000:udp,9000:tcp</file> | sequence
71 Espace(s) surnuméraire(s) à supprimer. => <file>sequence        = 7000:tcp,8000:udp,9000:tcp</file> |          => suggestions : [' ']
71 Mot inconnu : tcp => <file>sequence        = 7000:tcp,8000:udp,9000:tcp</file> | tcp
71 Mot inconnu : udp => <file>sequence        = 7000:tcp,8000:udp,9000:tcp</file> | udp
71 Mot inconnu : tcp => <file>sequence        = 7000:tcp,8000:udp,9000:tcp</file> | tcp

75 Mot inconnu : keep-alive => ==== Connexions maintenues (keep-alive) ==== | keep-alive

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       logfile = /var/log/knockd.log |        => suggestions : ['']
81 Mot inconnu : logfile =>       logfile = /var/log/knockd.log | logfile

83 Mot inconnu : SSH => [SSH] | ssh

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       sequence    = 7000,8000,9000 |        => suggestions : ['']
84 Mot inconnu : sequence =>       sequence    = 7000,8000,9000 | sequence
84 Espace(s) surnuméraire(s) à supprimer. =>       sequence    = 7000,8000,9000 |      => suggestions : [' ']
84 Formatage des grands nombres. =>       sequence    = 7000,8000,9000 | 7000 => suggestions : ['7\xa0000']

85 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       seq_timeout = 5 |        => suggestions : ['']
85 Mot inconnu : seq_timeout =>       seq_timeout = 5 | seq_timeout

86 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       command     = /sbin/iptables -I INPUT -s %IP% -p tcp --dport 22 -j ACCEPT |        => suggestions : ['']
86 Mot inconnu : command =>       command     = /sbin/iptables -I INPUT -s %IP% -p tcp --dport 22 -j ACCEPT | command
86 Espace(s) surnuméraire(s) à supprimer. =>       command     = /sbin/iptables -I INPUT -s %IP% -p tcp --dport 22 -j ACCEPT |       => suggestions : [' ']
86 Il manque un espace à côté du tiret. =>       command     = /sbin/iptables -I INPUT -s %IP% -p tcp --dport 22 -j ACCEPT |  - => suggestions : [' – ', ' — ']
86 Il manque un espace à côté du tiret. =>       command     = /sbin/iptables -I INPUT -s %IP% -p tcp --dport 22 -j ACCEPT |  - => suggestions : [' – ', ' — ']
86 Il manque un espace. =>       command     = /sbin/iptables -I INPUT -s %IP% -p tcp --dport 22 -j ACCEPT | ip => suggestions : [' IP']
86 Mot inconnu : tcp =>       command     = /sbin/iptables -I INPUT -s %IP% -p tcp --dport 22 -j ACCEPT | tcp
86 Mot inconnu : dport =>       command     = /sbin/iptables -I INPUT -s %IP% -p tcp --dport 22 -j ACCEPT | dport
86 Il manque un espace à côté du tiret. =>       command     = /sbin/iptables -I INPUT -s %IP% -p tcp --dport 22 -j ACCEPT |  - => suggestions : [' – ', ' — ']
86 Mot inconnu : ACCEPT =>       command     = /sbin/iptables -I INPUT -s %IP% -p tcp --dport 22 -j ACCEPT | accept

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       tcpflags    = syn |        => suggestions : ['']
87 Mot inconnu : tcpflags =>       tcpflags    = syn | tcpflags
87 Espace(s) surnuméraire(s) à supprimer. =>       tcpflags    = syn |      => suggestions : [' ']
87 Mot inconnu : syn =>       tcpflags    = syn | syn

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       cmd_timeout   = 10 |        => suggestions : ['']
88 Mot inconnu : cmd_timeout =>       cmd_timeout   = 10 | cmd_timeout
88 Espace(s) surnuméraire(s) à supprimer. =>       cmd_timeout   = 10 |     => suggestions : [' ']

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       stop_command  = /sbin/iptables -D INPUT -s %IP% -p tcp --dport 22 -j ACCEPT |        => suggestions : ['']
89 Mot inconnu : stop_command =>       stop_command  = /sbin/iptables -D INPUT -s %IP% -p tcp --dport 22 -j ACCEPT | stop_command
89 Espace(s) surnuméraire(s) à supprimer. =>       stop_command  = /sbin/iptables -D INPUT -s %IP% -p tcp --dport 22 -j ACCEPT |    => suggestions : [' ']
89 Il manque un espace à côté du tiret. =>       stop_command  = /sbin/iptables -D INPUT -s %IP% -p tcp --dport 22 -j ACCEPT |  - => suggestions : [' – ', ' — ']
89 Il manque un espace à côté du tiret. =>       stop_command  = /sbin/iptables -D INPUT -s %IP% -p tcp --dport 22 -j ACCEPT |  - => suggestions : [' – ', ' — ']
89 Il manque un espace. =>       stop_command  = /sbin/iptables -D INPUT -s %IP% -p tcp --dport 22 -j ACCEPT | ip => suggestions : [' IP']
89 Mot inconnu : tcp =>       stop_command  = /sbin/iptables -D INPUT -s %IP% -p tcp --dport 22 -j ACCEPT | tcp
89 Mot inconnu : dport =>       stop_command  = /sbin/iptables -D INPUT -s %IP% -p tcp --dport 22 -j ACCEPT | dport
89 Il manque un espace à côté du tiret. =>       stop_command  = /sbin/iptables -D INPUT -s %IP% -p tcp --dport 22 -j ACCEPT |  - => suggestions : [' – ', ' — ']
89 Mot inconnu : ACCEPT =>       stop_command  = /sbin/iptables -D INPUT -s %IP% -p tcp --dport 22 -j ACCEPT | accept

94 Mot inconnu : FIXME => FIXME : Cette règle n'est pas présente par défaut ; il faudrait préciser comment la renseigner. (http://doc.ubuntu-fr.org/iptables#autoriser_le_trafic_entrant_d_une_connexion_deja_etablie) | fixme

96 Accord de nombre erroné : « utilisateurs » devrait être au singulier. => Si un utilisateurs « frappe » dans l'ordre les ports 7000, 8000 puis 9000, la comande sera exécutée (ouvrir le port 22). 10 secondes plus tard, la commande //stop_command// sera exécutée, fermant ainsi le port pour les nouvelles connexions (mais pas celle en cours !) | utilisateurs => suggestions : ['utilisateur']
96 Mot inconnu : comande => Si un utilisateurs « frappe » dans l'ordre les ports 7000, 8000 puis 9000, la comande sera exécutée (ouvrir le port 22). 10 secondes plus tard, la commande //stop_command// sera exécutée, fermant ainsi le port pour les nouvelles connexions (mais pas celle en cours !) | comande
96 Mot inconnu : stop_command => Si un utilisateurs « frappe » dans l'ordre les ports 7000, 8000 puis 9000, la comande sera exécutée (ouvrir le port 22). 10 secondes plus tard, la commande //stop_command// sera exécutée, fermant ainsi le port pour les nouvelles connexions (mais pas celle en cours !) | stop_command

101 Mot inconnu : knockd => Le site officiel du projet knockd (et le fichier de configuration installé par défaut) fait référence à la règle iptables **-A**. Comme vous pouvez le voir, nous utiliserons à la place **-I** pour insérer la règle au début du pare-feu (sinon la règle avec -A ne produit aucun effet puisqu'elle est ajoutée après la règle DROP) | knockd
101 Mot inconnu : iptables => Le site officiel du projet knockd (et le fichier de configuration installé par défaut) fait référence à la règle iptables **-A**. Comme vous pouvez le voir, nous utiliserons à la place **-I** pour insérer la règle au début du pare-feu (sinon la règle avec -A ne produit aucun effet puisqu'elle est ajoutée après la règle DROP) | iptables
101 Il manque un espace à côté du tiret. => Le site officiel du projet knockd (et le fichier de configuration installé par défaut) fait référence à la règle iptables **-A**. Comme vous pouvez le voir, nous utiliserons à la place **-I** pour insérer la règle au début du pare-feu (sinon la règle avec -A ne produit aucun effet puisqu'elle est ajoutée après la règle DROP) |  - => suggestions : [' – ', ' — ']

103 Mot inconnu : FIXME => FIXME : Tout dépend de la règle par defaut, si la décision est drop le -A fonctionnera, mais -I fonctionne dans tous les cas. | fixme
103 Mot inconnu : defaut => FIXME : Tout dépend de la règle par defaut, si la décision est drop le -A fonctionnera, mais -I fonctionne dans tous les cas. | defaut
103 Il manque un espace à côté du tiret. => FIXME : Tout dépend de la règle par defaut, si la décision est drop le -A fonctionnera, mais -I fonctionne dans tous les cas. |  - => suggestions : [' – ', ' — ']
103 Il manque un espace à côté du tiret. => FIXME : Tout dépend de la règle par defaut, si la décision est drop le -A fonctionnera, mais -I fonctionne dans tous les cas. |  - => suggestions : [' – ', ' — ']

106 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * d'utiliser au moins 3 ports  (si vous êtes paranoïaque, vous pouvez en ajoutant autant que nécessaire pour vous rassurer) |    => suggestions : ['']
106 Espace(s) surnuméraire(s) à supprimer. =>   * d'utiliser au moins 3 ports  (si vous êtes paranoïaque, vous pouvez en ajoutant autant que nécessaire pour vous rassurer) |    => suggestions : [' ']

107 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * de mélanger pour chaque port les protocoles TCP et UDP |    => suggestions : ['']
107 Mot inconnu : TCP =>   * de mélanger pour chaque port les protocoles TCP et UDP | tcp
107 Mot inconnu : UDP =>   * de mélanger pour chaque port les protocoles TCP et UDP | udp

111 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * pour que le service démarre automatiquement, la valeur de la ligne //START_KNOCKD=// doit être à 1 |    => suggestions : ['']
111 Mot inconnu : START_KNOCKD =>   * pour que le service démarre automatiquement, la valeur de la ligne //START_KNOCKD=// doit être à 1 | start_knockd

112 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * pour que le service écoute sur des interfaces, adapter et décommenter la ligne //KNOCKD_OPTS="-i eth0"// (en enlevant le '#') |    => suggestions : ['']
112 Mot inconnu : décommenter =>   * pour que le service écoute sur des interfaces, adapter et décommenter la ligne //KNOCKD_OPTS="-i eth0"// (en enlevant le '#') | décommenter
112 Mot inconnu : KNOCKD_OPTS =>   * pour que le service écoute sur des interfaces, adapter et décommenter la ligne //KNOCKD_OPTS="-i eth0"// (en enlevant le '#') | knockd_opts
112 Mot inconnu : eth0 =>   * pour que le service écoute sur des interfaces, adapter et décommenter la ligne //KNOCKD_OPTS="-i eth0"// (en enlevant le '#') | eth0
112 Guillemets typographiques fermants. =>   * pour que le service écoute sur des interfaces, adapter et décommenter la ligne //KNOCKD_OPTS="-i eth0"// (en enlevant le '#') | " => suggestions : ['\xa0»', '”']

113 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * pour que les modifications soient prises en compte, redémarrer le service knockd avec la commande : ''sudo /etc/init.d/knockd restart'' |    => suggestions : ['']
113 Mot inconnu : knockd =>   * pour que les modifications soient prises en compte, redémarrer le service knockd avec la commande : ''sudo /etc/init.d/knockd restart'' | knockd
113 Guillemets typographiques ouvrants. =>   * pour que les modifications soient prises en compte, redémarrer le service knockd avec la commande : ''sudo /etc/init.d/knockd restart'' | '' => suggestions : ['«\xa0', '“']
113 Mot inconnu : sudo =>   * pour que les modifications soient prises en compte, redémarrer le service knockd avec la commande : ''sudo /etc/init.d/knockd restart'' | sudo
113 Mot inconnu : restart =>   * pour que les modifications soient prises en compte, redémarrer le service knockd avec la commande : ''sudo /etc/init.d/knockd restart'' | restart
113 Guillemets typographiques fermants. =>   * pour que les modifications soient prises en compte, redémarrer le service knockd avec la commande : ''sudo /etc/init.d/knockd restart'' | '' => suggestions : ['\xa0»', '”']

115 Guillemets typographiques ouvrants. => Pour en savoir plus, exécutez dans un terminal la commande ''man knockd''. | '' => suggestions : ['«\xa0', '“']
115 Mot inconnu : knockd => Pour en savoir plus, exécutez dans un terminal la commande ''man knockd''. | knockd
115 Guillemets typographiques fermants. => Pour en savoir plus, exécutez dans un terminal la commande ''man knockd''. | '' => suggestions : ['\xa0»', '”']

123 Mot inconnu : telnet => Pour initier une séquence sur les différents ports, vous pouvez utiliser le client de votre choix, comme **telnet** ou le 'swiss army knife' **nc**... | telnet
123 Guillemets typographiques ouvrants. => Pour initier une séquence sur les différents ports, vous pouvez utiliser le client de votre choix, comme **telnet** ou le 'swiss army knife' **nc**... | ' => suggestions : ['“', '‘', '‹']
123 Mot inconnu : swiss => Pour initier une séquence sur les différents ports, vous pouvez utiliser le client de votre choix, comme **telnet** ou le 'swiss army knife' **nc**... | swiss
123 Mot inconnu : army => Pour initier une séquence sur les différents ports, vous pouvez utiliser le client de votre choix, comme **telnet** ou le 'swiss army knife' **nc**... | army
123 Mot inconnu : knife => Pour initier une séquence sur les différents ports, vous pouvez utiliser le client de votre choix, comme **telnet** ou le 'swiss army knife' **nc**... | knife
123 Guillemets typographiques fermants. => Pour initier une séquence sur les différents ports, vous pouvez utiliser le client de votre choix, comme **telnet** ou le 'swiss army knife' **nc**... | ' => suggestions : ['”', '’', '›']
123 Mot inconnu : nc => Pour initier une séquence sur les différents ports, vous pouvez utiliser le client de votre choix, comme **telnet** ou le 'swiss army knife' **nc**... | nc
123 Typographie : points de suspension. Utilisez le caractère dédié. => Pour initier une séquence sur les différents ports, vous pouvez utiliser le client de votre choix, comme **telnet** ou le 'swiss army knife' **nc**... | ... => suggestions : ['…']

127 Mot inconnu : TCP => Pour l'utiliser, lancer simplement la commande (l'utilisation du protocole TCP est faite par défaut) : | tcp

130 Il faut élider “si” et l’accoler au pronom. => Ou, si il est nécessaire de préciser dans la combinaison plusieurs protocoles : | si  => suggestions : ['s’']

133 Accord de nombre erroné : « combinaisons » devrait être au singulier. => Ou, si la combinaisons n'utilise que des ports udp : | combinaisons => suggestions : ['combinaison']
133 Mot inconnu : udp => Ou, si la combinaisons n'utilise que des ports udp : | udp

136 Mot inconnu : knock => Pour en savoir plus, exécutez dans un terminal la commande //man knock// | knock

140 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://portknocking.org/|Site officiel]] |    => suggestions : ['']

142 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www-igm.univ-mlv.fr/~dr/XPOSE2004/killy/fonctionnement.html|Fonctionnement avec schémas explicatifs]] |    => suggestions : ['']
