
3 Mot inconnu : dpkg => ====== dpkg : le gestionnaire de paquets bas niveau de Ubuntu ====== | dpkg
28 Mot inconnu : mon_dossier_qui_va_bien => Tout se retrouve à l'intérieur de **mon_dossier_qui_va_bien**, chercher les exécutables pour lancer/faire des raccourcis vers les programmes. | mon_dossier_qui_va_bien

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Cette dernière commande est utile, mais risquée, et permet de forcer la suppression d'un paquet et, normalement, celle de ses fichiers de configuration (sauf, notamment, si on en a modifié ou ajouté...) quand par la méthode normale cela bloque les processus de gestion apt. |   => suggestions : ['']
37 Typographie : points de suspension. Utilisez le caractère dédié. =>  Cette dernière commande est utile, mais risquée, et permet de forcer la suppression d'un paquet et, normalement, celle de ses fichiers de configuration (sauf, notamment, si on en a modifié ou ajouté...) quand par la méthode normale cela bloque les processus de gestion apt. | ... => suggestions : ['…']

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

47 Espace(s) surnuméraire(s) à supprimer. => ==== Vérifier la présence d'un paquet  ==== |    => suggestions : [' ']

48 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => utiliser dpkg -l comme ci-dessus conduit à une liste très longue. Si vous souhaitez simplement vérifier la présence d'un paquet ajouter tout ou partie du nom du paquet éventuellement suivi (voir précédé) de * : | utiliser => suggestions : ['Utiliser']
48 Mot inconnu : dpkg => utiliser dpkg -l comme ci-dessus conduit à une liste très longue. Si vous souhaitez simplement vérifier la présence d'un paquet ajouter tout ou partie du nom du paquet éventuellement suivi (voir précédé) de * : | dpkg
48 Il manque un espace à côté du tiret. => utiliser dpkg -l comme ci-dessus conduit à une liste très longue. Si vous souhaitez simplement vérifier la présence d'un paquet ajouter tout ou partie du nom du paquet éventuellement suivi (voir précédé) de * : |  - => suggestions : [' – ', ' — ']
48 Confusion probable : “voir” est un verbe concernant la perception visuelle. Pour signifier “et même possiblement”, écrivez “voire”. => utiliser dpkg -l comme ci-dessus conduit à une liste très longue. Si vous souhaitez simplement vérifier la présence d'un paquet ajouter tout ou partie du nom du paquet éventuellement suivi (voir précédé) de * : | voir => suggestions : ['voire']

53 Espace(s) en fin de ligne à supprimer. => Les deux premiers caractères à gauche vous donnent des indications sur l'état du paquet\\  |   => suggestions : ['']

54 Mot inconnu : __Première => __Première colonne__ : souhait\\  | __première
54 Mot inconnu : colonne__ => __Première colonne__ : souhait\\  | colonne__
54 Espace(s) en fin de ligne à supprimer. => __Première colonne__ : souhait\\  |   => suggestions : ['']
55 Mot inconnu : Install => i : Install (à installer)\\  | install
55 Espace(s) en fin de ligne à supprimer. => i : Install (à installer)\\  |   => suggestions : ['']
56 Mot inconnu : Remove => r : Remove (à supprimer)\\  | remove
56 Espace(s) en fin de ligne à supprimer. => r : Remove (à supprimer)\\  |   => suggestions : ['']
57 Mot inconnu : Unknown => u : Unknown (inconnu)\\  | unknown
57 Espace(s) en fin de ligne à supprimer. => u : Unknown (inconnu)\\  |   => suggestions : ['']
58 Espace(s) en fin de ligne à supprimer. => p : Purge (à supprimer avec les fichiers de configuration)\\  |   => suggestions : ['']
59 Mot inconnu : Hold => h : Hold (à conserver)\\  | hold
59 Espace(s) en fin de ligne à supprimer. => h : Hold (à conserver)\\  |   => suggestions : ['']

60 Mot inconnu : __Seconde => __Seconde colonne__ : état\\  | __seconde
60 Mot inconnu : colonne__ => __Seconde colonne__ : état\\  | colonne__
60 Espace(s) en fin de ligne à supprimer. => __Seconde colonne__ : état\\  |   => suggestions : ['']
61 Mot inconnu : Installed => i : Installed (installé)\\  | installed
61 Espace(s) en fin de ligne à supprimer. => i : Installed (installé)\\  |   => suggestions : ['']
62 Écriture invariable. Utilisez un point médian. => c : Config-files (fichier(s) de configuration existant)\\  | fichier(s) => suggestions : ['fichier·s']
62 Espace(s) en fin de ligne à supprimer. => c : Config-files (fichier(s) de configuration existant)\\  |   => suggestions : ['']
63 Mot inconnu : Unpacked => u : Unpacked (dé-compressé)\\  | unpacked
63 Espace(s) en fin de ligne à supprimer. => u : Unpacked (dé-compressé)\\  |   => suggestions : ['']
64 Mot inconnu : Not => n : Not Installed (non installé)\\  | not
64 Mot inconnu : Installed => n : Not Installed (non installé)\\  | installed
64 Espace(s) en fin de ligne à supprimer. => n : Not Installed (non installé)\\  |   => suggestions : ['']
65 Mot inconnu : Failed-config => f : Failed-config (problème de configuration)\\  | failed-config
65 Espace(s) en fin de ligne à supprimer. => f : Failed-config (problème de configuration)\\  |   => suggestions : ['']
66 Mot inconnu : Half-installed => h : Half-installed (installé partiellement)\\  | half-installed
66 Espace(s) en fin de ligne à supprimer. => h : Half-installed (installé partiellement)\\  |   => suggestions : ['']

68 Mot inconnu : pkg-config => ==== pkg-config ==== | pkg-config

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * [[http://manpages.ubuntu.com/manpages/precise/fr/man1/dpkg-deb.1.html|Le manpage Ubuntu]] |      => suggestions : ['']
84 Mot inconnu : manpage =>     * [[http://manpages.ubuntu.com/manpages/precise/fr/man1/dpkg-deb.1.html|Le manpage Ubuntu]] | manpage

86 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * [[http://plfnicolarius.free.fr/tutoriel_logiciel_outils_gestion_paquets_debian.php|Outils de gestion des paquets sous Debian et Ubuntu]] |      => suggestions : ['']
93 Il manque un espace. => Contributeurs : [[utilisateurs:ste]] ; [[utilisateurs:mimilus]]// | ste => suggestions : [' ste']
93 Il manque un espace. => Contributeurs : [[utilisateurs:ste]] ; [[utilisateurs:mimilus]]// | mimilus => suggestions : [' mimilus']
