2 Mot inconnu : ipython => ====== ipython ====== | ipython
16 Mot inconnu : _i =>     * On peut appeler les instructions précédentes qui sont rangées dans une liste _i[n] pour la même commande ou _ii (pour la dernière commande et plus on ajoute de i et plus on remonte) | _i
16 Mot inconnu : _ii =>     * On peut appeler les instructions précédentes qui sont rangées dans une liste _i[n] pour la même commande ou _ii (pour la dernière commande et plus on ajoute de i et plus on remonte) | _ii

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Contient des raccourcis et alias |    => suggestions : ['']
17 S’il s’agit d’un impératif, la terminaison est “is”, non “it”. =>   * Contient des raccourcis et alias | contient => suggestions : ['Contiens']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * entrez "%magic" pour connaître les raccourcis |      => suggestions : ['']
18 Il manque un espace. =>     * entrez "%magic" pour connaître les raccourcis | magic => suggestions : [' magic']
18 Mot inconnu : magic =>     * entrez "%magic" pour connaître les raccourcis | magic
18 Guillemets typographiques fermants. =>     * entrez "%magic" pour connaître les raccourcis | " => suggestions : ['\xa0»', '”']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * "!" permet d'exécuter directement des commandes systèmes. |      => suggestions : ['']
19 Guillemets fermants. =>     * "!" permet d'exécuter directement des commandes systèmes. |  " => suggestions : ['\xa0»', '”']
19 Guillemets typographiques fermants. =>     * "!" permet d'exécuter directement des commandes systèmes. | " => suggestions : ['\xa0»', '”']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * ajoute les parenthèses automatiquement sur les fonctions ( "callable_ob arg1, arg2, arg3"    ==     "callable_ob(arg1, arg2, arg3)"  ) |      => suggestions : ['']
20 Pas d’espace après ce signe. =>     * ajoute les parenthèses automatiquement sur les fonctions ( "callable_ob arg1, arg2, arg3"    ==     "callable_ob(arg1, arg2, arg3)"  ) | (  => suggestions : ['(']
20 Guillemets typographiques ouvrants. =>     * ajoute les parenthèses automatiquement sur les fonctions ( "callable_ob arg1, arg2, arg3"    ==     "callable_ob(arg1, arg2, arg3)"  ) | " => suggestions : ['«\xa0', '“']
20 Mot inconnu : callable_ob =>     * ajoute les parenthèses automatiquement sur les fonctions ( "callable_ob arg1, arg2, arg3"    ==     "callable_ob(arg1, arg2, arg3)"  ) | callable_ob
20 Mot inconnu : arg1 =>     * ajoute les parenthèses automatiquement sur les fonctions ( "callable_ob arg1, arg2, arg3"    ==     "callable_ob(arg1, arg2, arg3)"  ) | arg1
20 Mot inconnu : arg2 =>     * ajoute les parenthèses automatiquement sur les fonctions ( "callable_ob arg1, arg2, arg3"    ==     "callable_ob(arg1, arg2, arg3)"  ) | arg2
20 Mot inconnu : arg3 =>     * ajoute les parenthèses automatiquement sur les fonctions ( "callable_ob arg1, arg2, arg3"    ==     "callable_ob(arg1, arg2, arg3)"  ) | arg3
20 Guillemets typographiques fermants. =>     * ajoute les parenthèses automatiquement sur les fonctions ( "callable_ob arg1, arg2, arg3"    ==     "callable_ob(arg1, arg2, arg3)"  ) | " => suggestions : ['\xa0»', '”']
20 Guillemets typographiques ouvrants. =>     * ajoute les parenthèses automatiquement sur les fonctions ( "callable_ob arg1, arg2, arg3"    ==     "callable_ob(arg1, arg2, arg3)"  ) | " => suggestions : ['«\xa0', '“']
20 Mot inconnu : callable_ob =>     * ajoute les parenthèses automatiquement sur les fonctions ( "callable_ob arg1, arg2, arg3"    ==     "callable_ob(arg1, arg2, arg3)"  ) | callable_ob
20 Il manque un espace avant la parenthèse. =>     * ajoute les parenthèses automatiquement sur les fonctions ( "callable_ob arg1, arg2, arg3"    ==     "callable_ob(arg1, arg2, arg3)"  ) | ( => suggestions : [' (']
20 Mot inconnu : arg1 =>     * ajoute les parenthèses automatiquement sur les fonctions ( "callable_ob arg1, arg2, arg3"    ==     "callable_ob(arg1, arg2, arg3)"  ) | arg1
20 Mot inconnu : arg2 =>     * ajoute les parenthèses automatiquement sur les fonctions ( "callable_ob arg1, arg2, arg3"    ==     "callable_ob(arg1, arg2, arg3)"  ) | arg2
20 Mot inconnu : arg3 =>     * ajoute les parenthèses automatiquement sur les fonctions ( "callable_ob arg1, arg2, arg3"    ==     "callable_ob(arg1, arg2, arg3)"  ) | arg3
20 Pas d’espace avant ce signe. =>     * ajoute les parenthèses automatiquement sur les fonctions ( "callable_ob arg1, arg2, arg3"    ==     "callable_ob(arg1, arg2, arg3)"  ) |  ) => suggestions : [')']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ipython est documenté, j'ai trouvé ces informations en entrant telle une commande "?" |    => suggestions : ['']
21 Mot inconnu : Ipython =>   * Ipython est documenté, j'ai trouvé ces informations en entrant telle une commande "?" | ipython
21 Guillemets fermants. =>   * Ipython est documenté, j'ai trouvé ces informations en entrant telle une commande "?" |  " => suggestions : ['\xa0»', '”']
21 Guillemets typographiques fermants. =>   * Ipython est documenté, j'ai trouvé ces informations en entrant telle une commande "?" | " => suggestions : ['\xa0»', '”']

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ipython permet de facilement trouver les docs des objets en les accolant à un "?" ou "??" pour une aide plus détaillée (avec la doc string). |    => suggestions : ['']
22 Mot inconnu : Ipython =>   * Ipython permet de facilement trouver les docs des objets en les accolant à un "?" ou "??" pour une aide plus détaillée (avec la doc string). | ipython
22 Guillemets fermants. =>   * Ipython permet de facilement trouver les docs des objets en les accolant à un "?" ou "??" pour une aide plus détaillée (avec la doc string). |  " => suggestions : ['\xa0»', '”']
22 Guillemets typographiques fermants. =>   * Ipython permet de facilement trouver les docs des objets en les accolant à un "?" ou "??" pour une aide plus détaillée (avec la doc string). | " => suggestions : ['\xa0»', '”']
22 Guillemets fermants. =>   * Ipython permet de facilement trouver les docs des objets en les accolant à un "?" ou "??" pour une aide plus détaillée (avec la doc string). |  " => suggestions : ['\xa0»', '”']
22 Guillemets typographiques fermants. =>   * Ipython permet de facilement trouver les docs des objets en les accolant à un "?" ou "??" pour une aide plus détaillée (avec la doc string). | " => suggestions : ['\xa0»', '”']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Colore et organise les sorties (messages d'erreur ou retour à la ligne entre chaque élément d'une liste si on l'affiche) |    => suggestions : ['']

25 Typographie : points de suspension. Utilisez le caractère dédié. => et encore bien d'autres fonctions... espérons que le prompt de python 3.0 ait les principaux avantages de ce prompt avec prioritairement la documentation et l'auto-complétion. | ... => suggestions : ['…']
