
4 Mot inconnu : XWiki => ====== XWiki ====== | xwiki
79 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => La première requête est toujours un peu longue. Vous devriez arriver sur une page du Wiki. Par défaut, vous aurez un wiki vide, il faut aller dans l'administration du wiki (en haut à gauche de la page) et importer le fichier conseillé (au format .xar) pour ainsi disposer du set de pages par défaut. Cela créé un utilisateur Admin/admin, dont il sera bon de modifier le mot de passe pour éviter toute bétise ;-) |  . => suggestions : ['. ', '.']
79 Mot inconnu : xar => La première requête est toujours un peu longue. Vous devriez arriver sur une page du Wiki. Par défaut, vous aurez un wiki vide, il faut aller dans l'administration du wiki (en haut à gauche de la page) et importer le fichier conseillé (au format .xar) pour ainsi disposer du set de pages par défaut. Cela créé un utilisateur Admin/admin, dont il sera bon de modifier le mot de passe pour éviter toute bétise ;-) | xar
79 Mot inconnu : bétise => La première requête est toujours un peu longue. Vous devriez arriver sur une page du Wiki. Par défaut, vous aurez un wiki vide, il faut aller dans l'administration du wiki (en haut à gauche de la page) et importer le fichier conseillé (au format .xar) pour ainsi disposer du set de pages par défaut. Cela créé un utilisateur Admin/admin, dont il sera bon de modifier le mot de passe pour éviter toute bétise ;-) | bétise

81 Espace(s) en fin de ligne à supprimer. => === Serveur Web et autre fonctionnalités ===  |   => suggestions : ['']

82 Mot inconnu : back-end => Pour un environnement de production, il sera utile d'installer un serveur Apache. Celui-ci sera alors utilisé comme reverse proxy pour afficher le contenu à la place du back-end (Tomcat). Voici les lignes de configuration importante à utiliser en cas de fonctionnement en ce sens :  | back-end
82 Espace(s) en fin de ligne à supprimer. => Pour un environnement de production, il sera utile d'installer un serveur Apache. Celui-ci sera alors utilisé comme reverse proxy pour afficher le contenu à la place du back-end (Tomcat). Voici les lignes de configuration importante à utiliser en cas de fonctionnement en ce sens :  |   => suggestions : ['']
88 Guillemets typographiques ouvrants. => Vous aurez besoin d'activer le mod proxy ("a2enmod http_proxy") et de recharger la configuration de votre serveur ("apache2ctl reload"). | " => suggestions : ['«\xa0', '“']
88 Mot inconnu : a2enmod => Vous aurez besoin d'activer le mod proxy ("a2enmod http_proxy") et de recharger la configuration de votre serveur ("apache2ctl reload"). | a2enmod
88 Mot inconnu : http_proxy => Vous aurez besoin d'activer le mod proxy ("a2enmod http_proxy") et de recharger la configuration de votre serveur ("apache2ctl reload"). | http_proxy
88 Guillemets typographiques fermants. => Vous aurez besoin d'activer le mod proxy ("a2enmod http_proxy") et de recharger la configuration de votre serveur ("apache2ctl reload"). | " => suggestions : ['\xa0»', '”']
88 Guillemets typographiques ouvrants. => Vous aurez besoin d'activer le mod proxy ("a2enmod http_proxy") et de recharger la configuration de votre serveur ("apache2ctl reload"). | " => suggestions : ['«\xa0', '“']
88 Mot inconnu : apache2ctl => Vous aurez besoin d'activer le mod proxy ("a2enmod http_proxy") et de recharger la configuration de votre serveur ("apache2ctl reload"). | apache2ctl
88 Mot inconnu : reload => Vous aurez besoin d'activer le mod proxy ("a2enmod http_proxy") et de recharger la configuration de votre serveur ("apache2ctl reload"). | reload
88 Guillemets typographiques fermants. => Vous aurez besoin d'activer le mod proxy ("a2enmod http_proxy") et de recharger la configuration de votre serveur ("apache2ctl reload"). | " => suggestions : ['\xa0»', '”']

89 Mot inconnu : tomcat => Enfin, vous pouvez accéder à votre wiki en passant par tomcat, sans avoir à rajouter le port 8080 dans l'URL. | tomcat

91 Mot inconnu : xwiki => Il est aussi possible d'utiliser un serveur OpenOffice pour activer l'import de documents sur le wiki. Après installation du serveur, il est nécessaire de modifier le fichier xwiki.properties. | xwiki
91 Mot inconnu : properties => Il est aussi possible d'utiliser un serveur OpenOffice pour activer l'import de documents sur le wiki. Après installation du serveur, il est nécessaire de modifier le fichier xwiki.properties. | properties

93 Mot inconnu : XWiki => <note>L'entreprise développant la majorité des éléments du logiciel ([[http://xwiki.com|XWiki SAS]]) fournit des prestations d'hébergement avec tarifs réduits destinés aux associations</note> | xwiki
100 Mot inconnu : Fenollar => //Contributeurs principaux : [[utilisateurs:Amarokk|Guillaume Fenollar]], et bientôt vous? | fenollar
