
3 Espace(s) en fin de ligne à supprimer. => ----  |   => suggestions : ['']
33 Mot inconnu : Gadmin => A la première ouverture, Gadmin ProFTPD vous demandera si vous voulez créer un fichier de configuration ProFTPD qui lui est propre. Si vous n'avez jamais utilisé ProFTPD en ligne de commande faites Yes (ou Oui), sinon sauvegardez votre ancienne configuration quelque part avant de le faire. | gadmin
33 Mot inconnu : ProFTPD => A la première ouverture, Gadmin ProFTPD vous demandera si vous voulez créer un fichier de configuration ProFTPD qui lui est propre. Si vous n'avez jamais utilisé ProFTPD en ligne de commande faites Yes (ou Oui), sinon sauvegardez votre ancienne configuration quelque part avant de le faire. | proftpd
33 Mot inconnu : ProFTPD => A la première ouverture, Gadmin ProFTPD vous demandera si vous voulez créer un fichier de configuration ProFTPD qui lui est propre. Si vous n'avez jamais utilisé ProFTPD en ligne de commande faites Yes (ou Oui), sinon sauvegardez votre ancienne configuration quelque part avant de le faire. | proftpd
33 Mot inconnu : ProFTPD => A la première ouverture, Gadmin ProFTPD vous demandera si vous voulez créer un fichier de configuration ProFTPD qui lui est propre. Si vous n'avez jamais utilisé ProFTPD en ligne de commande faites Yes (ou Oui), sinon sauvegardez votre ancienne configuration quelque part avant de le faire. | proftpd

35 Mot inconnu : TLS => Vous devez aussi après le premier lancement créer le certificat TLS permettant les connexions sécurisés avec ProFTPd. (C'est une sécurité empêchant l'interception et le vol d'une connexion au serveur à des fins malveillantes). **Cette étape est obligatoire même si vous n'utilisez pas cette fonction à cause d'un léger bug**. | tls
35 Accord de genre erroné avec « sécurisés ». => Vous devez aussi après le premier lancement créer le certificat TLS permettant les connexions sécurisés avec ProFTPd. (C'est une sécurité empêchant l'interception et le vol d'une connexion au serveur à des fins malveillantes). **Cette étape est obligatoire même si vous n'utilisez pas cette fonction à cause d'un léger bug**. | connexions => suggestions : []
35 Accord de genre erroné entre « connexions » et « sécurisés ». => Vous devez aussi après le premier lancement créer le certificat TLS permettant les connexions sécurisés avec ProFTPd. (C'est une sécurité empêchant l'interception et le vol d'une connexion au serveur à des fins malveillantes). **Cette étape est obligatoire même si vous n'utilisez pas cette fonction à cause d'un léger bug**. | sécurisés => suggestions : ['sécurisées']
35 Mot inconnu : ProFTPd => Vous devez aussi après le premier lancement créer le certificat TLS permettant les connexions sécurisés avec ProFTPd. (C'est une sécurité empêchant l'interception et le vol d'une connexion au serveur à des fins malveillantes). **Cette étape est obligatoire même si vous n'utilisez pas cette fonction à cause d'un léger bug**. | proftpd

37 Accord de nombre erroné : « catégories » devrait être au singulier. => Pour ce faire, allez dans l'onglet **Serveurs**, choisissez un serveur dans la liste, puis cherchez la case **Mot de passe** et tapez un mot de passe (n'importe lequel). Vous pouvez aussi remplir les autres cases de la catégories concernant le certificat mais ce n'est pas obligatoire.\\ | catégories => suggestions : ['catégorie']

38 Mot inconnu : Generate => Ensuite cliquez sur **Appliquer** situé un peu en dessous à la ligne **Generate new certificates**. | generate
38 Mot inconnu : certificates => Ensuite cliquez sur **Appliquer** situé un peu en dessous à la ligne **Generate new certificates**. | certificates

44 Espace(s) en fin de ligne à supprimer. => Cet onglet sert à créer plusieurs serveurs virtuels. Par défaut, il y en a un qui est pré-créé.  |   => suggestions : ['']

56 Espace(s) en fin de ligne à supprimer. => Cet onglet permet de paramétrer les utilisateurs, leurs dossiers, leurs mots de passe et leurs permissions  |   => suggestions : ['']

58 Espace(s) en fin de ligne à supprimer. => == Créer un utilisateur ==  |   => suggestions : ['']

60 Espace(s) en fin de ligne à supprimer. => Pour créer un utilisateur, il suffit de remplir le tableau en dessous et de faire ajouter  |   => suggestions : ['']

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  <note important> Si le mot de passe est différent du mot de passe système, Gadmin ProFTPD modifiera le mot de passe sytème en conséquence... ce qui pourra vous réserver quelques surprises !</note> |   => suggestions : ['']
64 Mot inconnu : Gadmin =>  <note important> Si le mot de passe est différent du mot de passe système, Gadmin ProFTPD modifiera le mot de passe sytème en conséquence... ce qui pourra vous réserver quelques surprises !</note> | gadmin
64 Mot inconnu : ProFTPD =>  <note important> Si le mot de passe est différent du mot de passe système, Gadmin ProFTPD modifiera le mot de passe sytème en conséquence... ce qui pourra vous réserver quelques surprises !</note> | proftpd
64 Mot inconnu : sytème =>  <note important> Si le mot de passe est différent du mot de passe système, Gadmin ProFTPD modifiera le mot de passe sytème en conséquence... ce qui pourra vous réserver quelques surprises !</note> | sytème
64 Typographie : points de suspension. Utilisez le caractère dédié. =>  <note important> Si le mot de passe est différent du mot de passe système, Gadmin ProFTPD modifiera le mot de passe sytème en conséquence... ce qui pourra vous réserver quelques surprises !</note> | ... => suggestions : ['…']
