
4 Mot inconnu : VPNC => ====== VPNC ou « libérer » sa connexion VPN Cisco Systems® ====== | vpnc
83 Mot inconnu : vpn => Une commande dans un Terminal permet de copier simplement le fichier vpn.conf depuis son Dossier personnel (le répertoire /home/NOM_DE_L'UTILISATEUR ). | vpn
83 Il manque un espace. => Une commande dans un Terminal permet de copier simplement le fichier vpn.conf depuis son Dossier personnel (le répertoire /home/NOM_DE_L'UTILISATEUR ). | conf => suggestions : [' conf']
83 Guillemets typographiques ouvrants. => Une commande dans un Terminal permet de copier simplement le fichier vpn.conf depuis son Dossier personnel (le répertoire /home/NOM_DE_L'UTILISATEUR ). | ' => suggestions : ['“', '‘', '‹']
83 Pas d’espace avant ce signe. => Une commande dans un Terminal permet de copier simplement le fichier vpn.conf depuis son Dossier personnel (le répertoire /home/NOM_DE_L'UTILISATEUR ). |  ) => suggestions : [')']

89 Mot inconnu : Vpnc => ===== Lancement du Client VPN Vpnc ===== | vpnc

94 Mot inconnu : Vpnc => Le client Vpnc peut être lancé en tapant ces lignes dans un Terminal : | vpnc

100 Guillemets typographiques ouvrants. => ==== Connexion "clic-clic" ==== | " => suggestions : ['«\xa0', '“']
100 Guillemets typographiques fermants. => ==== Connexion "clic-clic" ==== | " => suggestions : ['\xa0»', '”']

102 Guillemets typographiques ouvrants. => Quand on clique sur le lanceur-raccourcis une demande de mot de passe **super-utilisateur** apparaît puis un Terminal avec les demandes d'identifiant et mot de passe VPN (le mot de passe ne s'affiche pas quand on le tape, c'est normal). Valider à chaque fois en tapant sur Entrée. La connexion est établie si la phrase "VPNC started in foreground..." s'affiche et elle se termine si l'on ferme la fenêtre du Terminal. | " => suggestions : ['«\xa0', '“']
102 Mot inconnu : VPNC => Quand on clique sur le lanceur-raccourcis une demande de mot de passe **super-utilisateur** apparaît puis un Terminal avec les demandes d'identifiant et mot de passe VPN (le mot de passe ne s'affiche pas quand on le tape, c'est normal). Valider à chaque fois en tapant sur Entrée. La connexion est établie si la phrase "VPNC started in foreground..." s'affiche et elle se termine si l'on ferme la fenêtre du Terminal. | vpnc
102 Mot inconnu : started => Quand on clique sur le lanceur-raccourcis une demande de mot de passe **super-utilisateur** apparaît puis un Terminal avec les demandes d'identifiant et mot de passe VPN (le mot de passe ne s'affiche pas quand on le tape, c'est normal). Valider à chaque fois en tapant sur Entrée. La connexion est établie si la phrase "VPNC started in foreground..." s'affiche et elle se termine si l'on ferme la fenêtre du Terminal. | started
102 Mot inconnu : foreground => Quand on clique sur le lanceur-raccourcis une demande de mot de passe **super-utilisateur** apparaît puis un Terminal avec les demandes d'identifiant et mot de passe VPN (le mot de passe ne s'affiche pas quand on le tape, c'est normal). Valider à chaque fois en tapant sur Entrée. La connexion est établie si la phrase "VPNC started in foreground..." s'affiche et elle se termine si l'on ferme la fenêtre du Terminal. | foreground
102 Typographie : points de suspension. Utilisez le caractère dédié. => Quand on clique sur le lanceur-raccourcis une demande de mot de passe **super-utilisateur** apparaît puis un Terminal avec les demandes d'identifiant et mot de passe VPN (le mot de passe ne s'affiche pas quand on le tape, c'est normal). Valider à chaque fois en tapant sur Entrée. La connexion est établie si la phrase "VPNC started in foreground..." s'affiche et elle se termine si l'on ferme la fenêtre du Terminal. | ... => suggestions : ['…']
102 Guillemets typographiques fermants. => Quand on clique sur le lanceur-raccourcis une demande de mot de passe **super-utilisateur** apparaît puis un Terminal avec les demandes d'identifiant et mot de passe VPN (le mot de passe ne s'affiche pas quand on le tape, c'est normal). Valider à chaque fois en tapant sur Entrée. La connexion est établie si la phrase "VPNC started in foreground..." s'affiche et elle se termine si l'on ferme la fenêtre du Terminal. | " => suggestions : ['\xa0»', '”']

105 Guillemets typographiques ouvrants. => ==== Connexion "clic-clic intelligent" ==== | " => suggestions : ['«\xa0', '“']
105 Guillemets typographiques fermants. => ==== Connexion "clic-clic intelligent" ==== | " => suggestions : ['\xa0»', '”']

109 Mot inconnu : vpn => On crée un dossier vpn et le fichier de connexion dans le répertoire home: | vpn

122 Mot inconnu : Network => ==== Connexion via Network Manager - DRAFT ==== | network
122 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => ==== Connexion via Network Manager - DRAFT ==== |  -  => suggestions : [' – ', ' — ', ' − ']
122 Mot inconnu : DRAFT => ==== Connexion via Network Manager - DRAFT ==== | draft

123 Mot inconnu : Kvpnc => On utilise Kvpnc ou l'extension VPN de Network-manager (#aptitude install network-manager-vpnc) | kvpnc
123 Mot inconnu : Network-manager => On utilise Kvpnc ou l'extension VPN de Network-manager (#aptitude install network-manager-vpnc) | network-manager
123 Mot inconnu : install => On utilise Kvpnc ou l'extension VPN de Network-manager (#aptitude install network-manager-vpnc) | install
123 Mot inconnu : network-manager-vpnc => On utilise Kvpnc ou l'extension VPN de Network-manager (#aptitude install network-manager-vpnc) | network-manager-vpnc

125 Mot inconnu : NB => NB : cette dernière solution peut ne pas fonctionner avec certains systèmes et pilotes de cartes WIFI. | nb

128 Mot inconnu : vpnc => Après avoir installé vpnc et converti le profil Cisco System®, ouvrir le **Network-manager** et aller dans l'onglet **vpn**. | vpnc
128 Mot inconnu : System => Après avoir installé vpnc et converti le profil Cisco System®, ouvrir le **Network-manager** et aller dans l'onglet **vpn**. | system
128 Mot inconnu : Network-manager => Après avoir installé vpnc et converti le profil Cisco System®, ouvrir le **Network-manager** et aller dans l'onglet **vpn**. | network-manager
128 Mot inconnu : vpn => Après avoir installé vpnc et converti le profil Cisco System®, ouvrir le **Network-manager** et aller dans l'onglet **vpn**. | vpn

130 Mot inconnu : pcf => Toutes ces informations sont aussi dans le fichier *.pcf, mais sous des noms différents.</note>  | pcf
130 Espace(s) en fin de ligne à supprimer. => Toutes ces informations sont aussi dans le fichier *.pcf, mais sous des noms différents.</note>  |   => suggestions : ['']

136 Mot inconnu : vpnc => Dans le menu déroulant choisir //VPN Compatible Cisco (vpnc)// | vpnc

138 Mot inconnu : vpn => Enter un nom voulu pour la connexion vpn et compléter en utilisant les informations récoltées dans le terminal : | vpn

143 Mot inconnu : IPv4 => Dans le second onglet, **Paramètre IPv4**, sous //ID client DHCP//, entrer : dh2 | ipv4
143 Mot inconnu : dh2 => Dans le second onglet, **Paramètre IPv4**, sous //ID client DHCP//, entrer : dh2 | dh2

146 Mot inconnu : Clquer => Clquer sur **Valider** et c'est configuré. | clquer

149 Mot inconnu : vpn => Pour se connecter, il suffit d'un petit clic gauche sur l'icône de connexion, et choisir la connexion vpn fraîchement configurée. | vpn

152 Mot inconnu : network => <note>Par défaut, le network manager **efface** les mots de passe, il faudra soit les entrer à chaque tentative de connexion, soit les sauvegarder dans le trousseau.</note> | network

168 Mot inconnu : NAT => <note important>Si la connexion échoue, c'est que les paramètres //Méthode de chiffrement// et/ou //Traversée du NAT// ne sont pas configurés correctement. | nat

184 Mot inconnu : UDP => Utiliser l'option //UDP Cisco// dans //Traversée du NAT// | udp
184 Mot inconnu : NAT => Utiliser l'option //UDP Cisco// dans //Traversée du NAT// | nat

188 Mot inconnu : NAT => Utiliser l'option //Désactivé// dans //Traversée du NAT// | nat

191 Mot inconnu : pcf => <note tip>Tous ces paramètres sont aussi dans le fichier *.pcf, mais certains (tels le **mot de passe groupe**) sont cryptés.</note> | pcf

195 Mot inconnu : vpnc => Il se peut que le logiciel vpnc demande deux mots de passe : | vpnc

216 Mot inconnu : firestarter => ==== Problèmes avec firestarter ==== | firestarter

217 Mot inconnu : firestarter => L'interface graphique de firestarter ne permet pas d'autoriser les flux lorsque vpnc est lancé. Il faut modifier le fichier /etc/firestarter/user-pre pour qu'il contienne les commandes iptables suivantes: | firestarter
217 Mot inconnu : vpnc => L'interface graphique de firestarter ne permet pas d'autoriser les flux lorsque vpnc est lancé. Il faut modifier le fichier /etc/firestarter/user-pre pour qu'il contienne les commandes iptables suivantes: | vpnc
217 Mot inconnu : iptables => L'interface graphique de firestarter ne permet pas d'autoriser les flux lorsque vpnc est lancé. Il faut modifier le fichier /etc/firestarter/user-pre pour qu'il contienne les commandes iptables suivantes: | iptables

226 Sigle. Il est recommandé d’ôter les points pour les sigles. => il faut remplacer w.x.y.z par l'adresse IP de votre passerelle IPSEC. | w.x.y. => suggestions : ['WXY']
226 Mot inconnu : IPSEC => il faut remplacer w.x.y.z par l'adresse IP de votre passerelle IPSEC. | ipsec

227 Mot inconnu : esp => Il faut autoriser le protocole esp (données encryptées) dans les 2 sens. | esp

228 Mot inconnu : IKE => Il faut autoriser IKE (isakmp) dans le sens PC->passerelle. | ike
228 Mot inconnu : isakmp => Il faut autoriser IKE (isakmp) dans le sens PC->passerelle. | isakmp

229 Mot inconnu : UDP => Certaines configurations de passerelles utilisent le port UDP/10000 pour encapsuler le flux ESP. | udp
229 Formatage des grands nombres. => Certaines configurations de passerelles utilisent le port UDP/10000 pour encapsuler le flux ESP. | 10000 => suggestions : ['10\xa0000', '1\xa00000']
229 Mot inconnu : ESP => Certaines configurations de passerelles utilisent le port UDP/10000 pour encapsuler le flux ESP. | esp

230 Mot inconnu : firestarter => Au lancement de firestarter, ces commandes sont prises en compte, et les connexions IPSEC sont autorisées. | firestarter
230 Mot inconnu : IPSEC => Au lancement de firestarter, ces commandes sont prises en compte, et les connexions IPSEC sont autorisées. | ipsec

235 Mot inconnu : root => Dans un cas courant, il peut être utile de se connecter automatiquement à l'ouverture de la session utilisateur de la machine (en supposant que l'interface réseau est déjà initialisée). Pour atteindre cet objectif, une des solutions consiste à créer un petit programme qui sera exécuté en root par l'utilisation du bit setuid. Son rôle est de placer aussi l'EUID, le GID et l'EGID à 0 (root), de sorte à pouvoir lancer vpnc à partir de l'espace utilisateur. | root
235 Mot inconnu : setuid => Dans un cas courant, il peut être utile de se connecter automatiquement à l'ouverture de la session utilisateur de la machine (en supposant que l'interface réseau est déjà initialisée). Pour atteindre cet objectif, une des solutions consiste à créer un petit programme qui sera exécuté en root par l'utilisation du bit setuid. Son rôle est de placer aussi l'EUID, le GID et l'EGID à 0 (root), de sorte à pouvoir lancer vpnc à partir de l'espace utilisateur. | setuid
235 Mot inconnu : EUID => Dans un cas courant, il peut être utile de se connecter automatiquement à l'ouverture de la session utilisateur de la machine (en supposant que l'interface réseau est déjà initialisée). Pour atteindre cet objectif, une des solutions consiste à créer un petit programme qui sera exécuté en root par l'utilisation du bit setuid. Son rôle est de placer aussi l'EUID, le GID et l'EGID à 0 (root), de sorte à pouvoir lancer vpnc à partir de l'espace utilisateur. | euid
235 Mot inconnu : GID => Dans un cas courant, il peut être utile de se connecter automatiquement à l'ouverture de la session utilisateur de la machine (en supposant que l'interface réseau est déjà initialisée). Pour atteindre cet objectif, une des solutions consiste à créer un petit programme qui sera exécuté en root par l'utilisation du bit setuid. Son rôle est de placer aussi l'EUID, le GID et l'EGID à 0 (root), de sorte à pouvoir lancer vpnc à partir de l'espace utilisateur. | gid
235 Mot inconnu : EGID => Dans un cas courant, il peut être utile de se connecter automatiquement à l'ouverture de la session utilisateur de la machine (en supposant que l'interface réseau est déjà initialisée). Pour atteindre cet objectif, une des solutions consiste à créer un petit programme qui sera exécuté en root par l'utilisation du bit setuid. Son rôle est de placer aussi l'EUID, le GID et l'EGID à 0 (root), de sorte à pouvoir lancer vpnc à partir de l'espace utilisateur. | egid
235 Mot inconnu : root => Dans un cas courant, il peut être utile de se connecter automatiquement à l'ouverture de la session utilisateur de la machine (en supposant que l'interface réseau est déjà initialisée). Pour atteindre cet objectif, une des solutions consiste à créer un petit programme qui sera exécuté en root par l'utilisation du bit setuid. Son rôle est de placer aussi l'EUID, le GID et l'EGID à 0 (root), de sorte à pouvoir lancer vpnc à partir de l'espace utilisateur. | root
235 Mot inconnu : vpnc => Dans un cas courant, il peut être utile de se connecter automatiquement à l'ouverture de la session utilisateur de la machine (en supposant que l'interface réseau est déjà initialisée). Pour atteindre cet objectif, une des solutions consiste à créer un petit programme qui sera exécuté en root par l'utilisation du bit setuid. Son rôle est de placer aussi l'EUID, le GID et l'EGID à 0 (root), de sorte à pouvoir lancer vpnc à partir de l'espace utilisateur. | vpnc
237 Mot inconnu : root => <note warning>Attention : ce programme sera exécuté en root, ne pas l'utiliser sans prendre toutes les précautions nécessaires</note> | root

239 Mot inconnu : usvpnc => Le code source du programme, baptisé usvpnc pour l'occasion (User-Space vpnc), est le suivant : | usvpnc
239 Mot inconnu : User-Space => Le code source du programme, baptisé usvpnc pour l'occasion (User-Space vpnc), est le suivant : | user-space
239 Mot inconnu : vpnc => Le code source du programme, baptisé usvpnc pour l'occasion (User-Space vpnc), est le suivant : | vpnc

290 Mot inconnu : usvpnc => Copiez ce code dans un fichier usvpnc.c et ouvrez un terminal.  | usvpnc
290 Espace(s) en fin de ligne à supprimer. => Copiez ce code dans un fichier usvpnc.c et ouvrez un terminal.  |   => suggestions : ['']

296 Mot inconnu : root => Passez ensuite dans un terminal root et placez les droits adaptés sur le fichier : | root
308 Mot inconnu : usvpnc => Et voila ! Vous pouvez désormais utiliser la commande usvpnc à partir d'un terminal utilisateur (non administrateur) avec les même arguments que la commande vpnc (ils sont passés de manière transparente). Une des utilisations possible est de configurer Gnome pour lancer la connexion VPN automatiquement au démarrage de la session (Système->Préférences->Session->Ajouter) : | usvpnc
308 Accord de nombre erroné : « même » devrait être au pluriel. => Et voila ! Vous pouvez désormais utiliser la commande usvpnc à partir d'un terminal utilisateur (non administrateur) avec les même arguments que la commande vpnc (ils sont passés de manière transparente). Une des utilisations possible est de configurer Gnome pour lancer la connexion VPN automatiquement au démarrage de la session (Système->Préférences->Session->Ajouter) : | même => suggestions : ['mêmes']
308 Mot inconnu : vpnc => Et voila ! Vous pouvez désormais utiliser la commande usvpnc à partir d'un terminal utilisateur (non administrateur) avec les même arguments que la commande vpnc (ils sont passés de manière transparente). Une des utilisations possible est de configurer Gnome pour lancer la connexion VPN automatiquement au démarrage de la session (Système->Préférences->Session->Ajouter) : | vpnc
314 Mot inconnu : andatiep => //Contributeurs : andatiep, NerOlph, Mike17, wsmind, guigouz, ...// | andatiep
314 Mot inconnu : NerOlph => //Contributeurs : andatiep, NerOlph, Mike17, wsmind, guigouz, ...// | nerolph
314 Mot inconnu : Mike17 => //Contributeurs : andatiep, NerOlph, Mike17, wsmind, guigouz, ...// | mike17
314 Mot inconnu : wsmind => //Contributeurs : andatiep, NerOlph, Mike17, wsmind, guigouz, ...// | wsmind
314 Mot inconnu : guigouz => //Contributeurs : andatiep, NerOlph, Mike17, wsmind, guigouz, ...// | guigouz
314 Une de ces ponctuations est superflue. => //Contributeurs : andatiep, NerOlph, Mike17, wsmind, guigouz, ...// | , . => suggestions : [',', '.']
314 Typographie : points de suspension. Utilisez le caractère dédié. => //Contributeurs : andatiep, NerOlph, Mike17, wsmind, guigouz, ...// | ... => suggestions : ['…']
