
3 Mot inconnu : Edubuntu => ====== Edubuntu - Menus ltsp personnalisés ====== | edubuntu
46 Mot inconnu : monmenu => Avec un clic droit sur le menu Applications en haut à gauche, on édite le menu que l'on vient de créer dans le répertoire monmenu. Cette fois l'éditeur de menu par défaut est "Alacarte". | monmenu
46 Guillemets typographiques ouvrants. => Avec un clic droit sur le menu Applications en haut à gauche, on édite le menu que l'on vient de créer dans le répertoire monmenu. Cette fois l'éditeur de menu par défaut est "Alacarte". | " => suggestions : ['«\xa0', '“']
46 Mot inconnu : Alacarte => Avec un clic droit sur le menu Applications en haut à gauche, on édite le menu que l'on vient de créer dans le répertoire monmenu. Cette fois l'éditeur de menu par défaut est "Alacarte". | alacarte
46 Guillemets typographiques fermants. => Avec un clic droit sur le menu Applications en haut à gauche, on édite le menu que l'on vient de créer dans le répertoire monmenu. Cette fois l'éditeur de menu par défaut est "Alacarte". | " => suggestions : ['\xa0»', '”']

51 Il manque un espace. => Ce menu secondaire s'appelle aussi application.menu. | menu => suggestions : [' menu']

57 Mot inconnu : __Troisième => **__Troisième étape__** | __troisième
57 Mot inconnu : étape__ => **__Troisième étape__** | étape__
59 Espace(s) en fin de ligne à supprimer. => Les trois exemples suivants couvrent l'essentiel de la construction des menus :  |   => suggestions : ['']

73 Mot inconnu : __Quatrième => **__Quatrième étape__** | __quatrième
73 Mot inconnu : étape__ => **__Quatrième étape__** | étape__

77 Mot inconnu : __méthode => __méthode n°1__ : | __méthode
77 Mot inconnu : __ => __méthode n°1__ : | __
79 Espace(s) en fin de ligne à supprimer. => script :  |   => suggestions : ['']

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     clear |      => suggestions : ['']
81 Mot inconnu : clear =>     clear | clear

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     echo |      => suggestions : ['']
82 Mot inconnu : echo =>     echo | echo

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     ls /home |      => suggestions : ['']
83 Mot inconnu : ls =>     ls /home | ls

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     echo |      => suggestions : ['']
84 Mot inconnu : echo =>     echo | echo

85 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     echo -n "Veuillez choisir le compte source: " |      => suggestions : ['']
85 Mot inconnu : echo =>     echo -n "Veuillez choisir le compte source: " | echo
85 Il manque un espace à côté du tiret. =>     echo -n "Veuillez choisir le compte source: " |  - => suggestions : [' – ', ' — ']
85 Guillemets typographiques ouvrants. =>     echo -n "Veuillez choisir le compte source: " | " => suggestions : ['«\xa0', '“']
85 Guillemets fermants. =>     echo -n "Veuillez choisir le compte source: " |  " => suggestions : ['\xa0»', '”']

86 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     read comptes |      => suggestions : ['']
86 Mot inconnu : read =>     read comptes | read

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      |      => suggestions : ['']

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     while [ -z "$comptes" ] |      => suggestions : ['']
88 Mot inconnu : while =>     while [ -z "$comptes" ] | while
88 Pas d’espace après ce signe. =>     while [ -z "$comptes" ] | [  => suggestions : ['[']
88 Guillemets typographiques fermants. =>     while [ -z "$comptes" ] | " => suggestions : ['\xa0»', '”']
88 Pas d’espace avant ce signe. =>     while [ -z "$comptes" ] |  ] => suggestions : [']']

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      |      => suggestions : ['']

91 Incohérence : espace et tabulation. => 	    echo | 	  => suggestions : [' ', '\t']
91 Mot inconnu : echo => 	    echo | echo

92 Incohérence : espace et tabulation. => 	    echo "Saisie incorrecte" | 	  => suggestions : [' ', '\t']
92 Mot inconnu : echo => 	    echo "Saisie incorrecte" | echo
92 Guillemets typographiques ouvrants. => 	    echo "Saisie incorrecte" | " => suggestions : ['«\xa0', '“']
92 Guillemets typographiques fermants. => 	    echo "Saisie incorrecte" | " => suggestions : ['\xa0»', '”']

93 Incohérence : espace et tabulation. => 	    echo -n "Champs vide veuillez ressaisir le nom du compte: " | 	  => suggestions : [' ', '\t']
93 Mot inconnu : echo => 	    echo -n "Champs vide veuillez ressaisir le nom du compte: " | echo
93 Il manque un espace à côté du tiret. => 	    echo -n "Champs vide veuillez ressaisir le nom du compte: " |  - => suggestions : [' – ', ' — ']
93 Guillemets typographiques ouvrants. => 	    echo -n "Champs vide veuillez ressaisir le nom du compte: " | " => suggestions : ['«\xa0', '“']
93 Guillemets fermants. => 	    echo -n "Champs vide veuillez ressaisir le nom du compte: " |  " => suggestions : ['\xa0»', '”']

94 Incohérence : espace et tabulation. => 	    read comptes | 	  => suggestions : [' ', '\t']
94 Mot inconnu : read => 	    read comptes | read

95 Mot inconnu : done => 	done | done

97 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     if [ -e "/home/$comptes" ] |      => suggestions : ['']
97 Pas d’espace après ce signe. =>     if [ -e "/home/$comptes" ] | [  => suggestions : ['[']
97 Guillemets typographiques fermants. =>     if [ -e "/home/$comptes" ] | " => suggestions : ['\xa0»', '”']
97 Pas d’espace avant ce signe. =>     if [ -e "/home/$comptes" ] |  ] => suggestions : [']']

98 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     then |      => suggestions : ['']
98 Mot inconnu : then =>     then | then

99 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     f=f |      => suggestions : ['']

100 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     elif [ -z "$comptes" ] |      => suggestions : ['']
100 Mot inconnu : elif =>     elif [ -z "$comptes" ] | elif
100 Pas d’espace après ce signe. =>     elif [ -z "$comptes" ] | [  => suggestions : ['[']
100 Guillemets typographiques fermants. =>     elif [ -z "$comptes" ] | " => suggestions : ['\xa0»', '”']
100 Pas d’espace avant ce signe. =>     elif [ -z "$comptes" ] |  ] => suggestions : [']']

101 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     then |      => suggestions : ['']
101 Mot inconnu : then =>     then | then

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     echo "Entrée inconnue, appuyez sur une touche pour continuer" |      => suggestions : ['']
102 Mot inconnu : echo =>     echo "Entrée inconnue, appuyez sur une touche pour continuer" | echo
102 Guillemets typographiques ouvrants. =>     echo "Entrée inconnue, appuyez sur une touche pour continuer" | " => suggestions : ['«\xa0', '“']
102 Guillemets typographiques fermants. =>     echo "Entrée inconnue, appuyez sur une touche pour continuer" | " => suggestions : ['\xa0»', '”']

103 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     read touche |      => suggestions : ['']
103 Mot inconnu : read =>     read touche | read

104 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     else |      => suggestions : ['']
104 Mot inconnu : else =>     else | else

105 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     echo |      => suggestions : ['']
105 Mot inconnu : echo =>     echo | echo

106 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     echo "Le compte $comptes n'éxiste pas" |      => suggestions : ['']
106 Mot inconnu : echo =>     echo "Le compte $comptes n'éxiste pas" | echo
106 Guillemets typographiques ouvrants. =>     echo "Le compte $comptes n'éxiste pas" | " => suggestions : ['«\xa0', '“']
106 Mot inconnu : éxiste =>     echo "Le compte $comptes n'éxiste pas" | éxiste
106 Guillemets typographiques fermants. =>     echo "Le compte $comptes n'éxiste pas" | " => suggestions : ['\xa0»', '”']

107 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     fi |      => suggestions : ['']

108 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     echo |      => suggestions : ['']
108 Mot inconnu : echo =>     echo | echo

109 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     ls /home |      => suggestions : ['']
109 Mot inconnu : ls =>     ls /home | ls

110 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     echo |      => suggestions : ['']
110 Mot inconnu : echo =>     echo | echo

111 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     echo -n "Veuillez choisir le compte ou sera stocké les menus: " |      => suggestions : ['']
111 Mot inconnu : echo =>     echo -n "Veuillez choisir le compte ou sera stocké les menus: " | echo
111 Il manque un espace à côté du tiret. =>     echo -n "Veuillez choisir le compte ou sera stocké les menus: " |  - => suggestions : [' – ', ' — ']
111 Guillemets typographiques ouvrants. =>     echo -n "Veuillez choisir le compte ou sera stocké les menus: " | " => suggestions : ['«\xa0', '“']
111 Guillemets fermants. =>     echo -n "Veuillez choisir le compte ou sera stocké les menus: " |  " => suggestions : ['\xa0»', '”']

112 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     read compted |      => suggestions : ['']
112 Mot inconnu : read =>     read compted | read
112 Mot inconnu : compted =>     read compted | compted

113 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      |      => suggestions : ['']

114 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     while [ -z "$compted" ] |      => suggestions : ['']
114 Mot inconnu : while =>     while [ -z "$compted" ] | while
114 Pas d’espace après ce signe. =>     while [ -z "$compted" ] | [  => suggestions : ['[']
114 Mot inconnu : compted =>     while [ -z "$compted" ] | compted
114 Guillemets typographiques fermants. =>     while [ -z "$compted" ] | " => suggestions : ['\xa0»', '”']
114 Pas d’espace avant ce signe. =>     while [ -z "$compted" ] |  ] => suggestions : [']']

116 Incohérence : espace et tabulation. => 	    echo | 	  => suggestions : [' ', '\t']
116 Mot inconnu : echo => 	    echo | echo

117 Incohérence : espace et tabulation. => 	    echo "Saisie incorrecte" | 	  => suggestions : [' ', '\t']
117 Mot inconnu : echo => 	    echo "Saisie incorrecte" | echo
117 Guillemets typographiques ouvrants. => 	    echo "Saisie incorrecte" | " => suggestions : ['«\xa0', '“']
117 Guillemets typographiques fermants. => 	    echo "Saisie incorrecte" | " => suggestions : ['\xa0»', '”']

118 Incohérence : espace et tabulation. => 	    echo -n "Champs vide veuillez ressaisir le nom du compte: " | 	  => suggestions : [' ', '\t']
118 Mot inconnu : echo => 	    echo -n "Champs vide veuillez ressaisir le nom du compte: " | echo
118 Il manque un espace à côté du tiret. => 	    echo -n "Champs vide veuillez ressaisir le nom du compte: " |  - => suggestions : [' – ', ' — ']
118 Guillemets typographiques ouvrants. => 	    echo -n "Champs vide veuillez ressaisir le nom du compte: " | " => suggestions : ['«\xa0', '“']
118 Guillemets fermants. => 	    echo -n "Champs vide veuillez ressaisir le nom du compte: " |  " => suggestions : ['\xa0»', '”']

119 Incohérence : espace et tabulation. => 	    read compted | 	  => suggestions : [' ', '\t']
119 Mot inconnu : read => 	    read compted | read
119 Mot inconnu : compted => 	    read compted | compted

120 Mot inconnu : done => 	done | done

121 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     if [ -e "/home/$compted" ] |      => suggestions : ['']
121 Pas d’espace après ce signe. =>     if [ -e "/home/$compted" ] | [  => suggestions : ['[']
121 Mot inconnu : compted =>     if [ -e "/home/$compted" ] | compted
121 Guillemets typographiques fermants. =>     if [ -e "/home/$compted" ] | " => suggestions : ['\xa0»', '”']
121 Pas d’espace avant ce signe. =>     if [ -e "/home/$compted" ] |  ] => suggestions : [']']

122 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     then |      => suggestions : ['']
122 Mot inconnu : then =>     then | then

123 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     i=iii |      => suggestions : ['']
123 Mot inconnu : iii =>     i=iii | iii

124 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     elif [ -z "$compted" ] |      => suggestions : ['']
124 Mot inconnu : elif =>     elif [ -z "$compted" ] | elif
124 Pas d’espace après ce signe. =>     elif [ -z "$compted" ] | [  => suggestions : ['[']
124 Mot inconnu : compted =>     elif [ -z "$compted" ] | compted
124 Guillemets typographiques fermants. =>     elif [ -z "$compted" ] | " => suggestions : ['\xa0»', '”']
124 Pas d’espace avant ce signe. =>     elif [ -z "$compted" ] |  ] => suggestions : [']']

125 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     then |      => suggestions : ['']
125 Mot inconnu : then =>     then | then

126 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     echo |      => suggestions : ['']
126 Mot inconnu : echo =>     echo | echo

127 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     echo "Entrée inconnue, appuyez sur une touche pour continuer" |      => suggestions : ['']
127 Mot inconnu : echo =>     echo "Entrée inconnue, appuyez sur une touche pour continuer" | echo
127 Guillemets typographiques ouvrants. =>     echo "Entrée inconnue, appuyez sur une touche pour continuer" | " => suggestions : ['«\xa0', '“']
127 Guillemets typographiques fermants. =>     echo "Entrée inconnue, appuyez sur une touche pour continuer" | " => suggestions : ['\xa0»', '”']

128 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     read touch |      => suggestions : ['']
128 Mot inconnu : read =>     read touch | read
128 Mot inconnu : touch =>     read touch | touch

129 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     else |      => suggestions : ['']
129 Mot inconnu : else =>     else | else

130 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     echo |      => suggestions : ['']
130 Mot inconnu : echo =>     echo | echo

131 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     echo "Le compte $compted n'éxiste pas" |      => suggestions : ['']
131 Mot inconnu : echo =>     echo "Le compte $compted n'éxiste pas" | echo
131 Guillemets typographiques ouvrants. =>     echo "Le compte $compted n'éxiste pas" | " => suggestions : ['«\xa0', '“']
131 Mot inconnu : compted =>     echo "Le compte $compted n'éxiste pas" | compted
131 Mot inconnu : éxiste =>     echo "Le compte $compted n'éxiste pas" | éxiste
131 Guillemets typographiques fermants. =>     echo "Le compte $compted n'éxiste pas" | " => suggestions : ['\xa0»', '”']

132 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     fi |      => suggestions : ['']

133 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     echo |      => suggestions : ['']
133 Mot inconnu : echo =>     echo | echo

134 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     echo "Comme compte source vous avez choisi: $comptes" |      => suggestions : ['']
134 Mot inconnu : echo =>     echo "Comme compte source vous avez choisi: $comptes" | echo
134 Guillemets typographiques ouvrants. =>     echo "Comme compte source vous avez choisi: $comptes" | " => suggestions : ['«\xa0', '“']
134 Guillemets typographiques fermants. =>     echo "Comme compte source vous avez choisi: $comptes" | " => suggestions : ['\xa0»', '”']

135 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     echo "Comme compte de destination vous avez choisi: $compted" |      => suggestions : ['']
135 Mot inconnu : echo =>     echo "Comme compte de destination vous avez choisi: $compted" | echo
135 Guillemets typographiques ouvrants. =>     echo "Comme compte de destination vous avez choisi: $compted" | " => suggestions : ['«\xa0', '“']
135 Mot inconnu : compted =>     echo "Comme compte de destination vous avez choisi: $compted" | compted
135 Guillemets typographiques fermants. =>     echo "Comme compte de destination vous avez choisi: $compted" | " => suggestions : ['\xa0»', '”']

136 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     echo |      => suggestions : ['']
136 Mot inconnu : echo =>     echo | echo

137 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     echo -n "Vous confirmez ? [Y/n]: " |      => suggestions : ['']
137 Mot inconnu : echo =>     echo -n "Vous confirmez ? [Y/n]: " | echo
137 Il manque un espace à côté du tiret. =>     echo -n "Vous confirmez ? [Y/n]: " |  - => suggestions : [' – ', ' — ']
137 Guillemets typographiques ouvrants. =>     echo -n "Vous confirmez ? [Y/n]: " | " => suggestions : ['«\xa0', '“']
137 Guillemets fermants. =>     echo -n "Vous confirmez ? [Y/n]: " |  " => suggestions : ['\xa0»', '”']

138 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     read conf |      => suggestions : ['']
138 Mot inconnu : read =>     read conf | read

139 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       if [ "$conf" = Y ] || [ "$conf" = y ] || [ -z "$conf" ] |        => suggestions : ['']
139 Pas d’espace après ce signe. =>       if [ "$conf" = Y ] || [ "$conf" = y ] || [ -z "$conf" ] | [  => suggestions : ['[']
139 Guillemets typographiques fermants. =>       if [ "$conf" = Y ] || [ "$conf" = y ] || [ -z "$conf" ] | " => suggestions : ['\xa0»', '”']
139 Pas d’espace avant ce signe. =>       if [ "$conf" = Y ] || [ "$conf" = y ] || [ -z "$conf" ] |  ] => suggestions : [']']
139 Pas d’espace après ce signe. =>       if [ "$conf" = Y ] || [ "$conf" = y ] || [ -z "$conf" ] | [  => suggestions : ['[']
139 Guillemets typographiques fermants. =>       if [ "$conf" = Y ] || [ "$conf" = y ] || [ -z "$conf" ] | " => suggestions : ['\xa0»', '”']
139 Pas d’espace avant ce signe. =>       if [ "$conf" = Y ] || [ "$conf" = y ] || [ -z "$conf" ] |  ] => suggestions : [']']
139 Pas d’espace après ce signe. =>       if [ "$conf" = Y ] || [ "$conf" = y ] || [ -z "$conf" ] | [  => suggestions : ['[']
139 Guillemets typographiques fermants. =>       if [ "$conf" = Y ] || [ "$conf" = y ] || [ -z "$conf" ] | " => suggestions : ['\xa0»', '”']
139 Pas d’espace avant ce signe. =>       if [ "$conf" = Y ] || [ "$conf" = y ] || [ -z "$conf" ] |  ] => suggestions : [']']

140 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       then |        => suggestions : ['']
140 Mot inconnu : then =>       then | then

141 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       sudo apt-get install sl |        => suggestions : ['']
141 Mot inconnu : sudo =>       sudo apt-get install sl | sudo
141 Mot inconnu : apt-get =>       sudo apt-get install sl | apt-get
141 Mot inconnu : install =>       sudo apt-get install sl | install
141 Mot inconnu : sl =>       sudo apt-get install sl | sl

142 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       cp -R /home/$comptes/.config /home/$compted |        => suggestions : ['']
142 Mot inconnu : cp =>       cp -R /home/$comptes/.config /home/$compted | cp
142 Il manque un espace à côté du tiret. =>       cp -R /home/$comptes/.config /home/$compted |  - => suggestions : [' – ', ' — ']
142 Mot inconnu : compted =>       cp -R /home/$comptes/.config /home/$compted | compted

143 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       cp -R /home/$comptes/.local /home/$compted |        => suggestions : ['']
143 Mot inconnu : cp =>       cp -R /home/$comptes/.local /home/$compted | cp
143 Il manque un espace à côté du tiret. =>       cp -R /home/$comptes/.local /home/$compted |  - => suggestions : [' – ', ' — ']
143 Mot inconnu : compted =>       cp -R /home/$comptes/.local /home/$compted | compted

144 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       sl |        => suggestions : ['']
144 Mot inconnu : sl =>       sl | sl

145 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       elif [ "$conf" = n ] || [ "$conf" = N ] |        => suggestions : ['']
145 Mot inconnu : elif =>       elif [ "$conf" = n ] || [ "$conf" = N ] | elif
145 Pas d’espace après ce signe. =>       elif [ "$conf" = n ] || [ "$conf" = N ] | [  => suggestions : ['[']
145 Guillemets typographiques fermants. =>       elif [ "$conf" = n ] || [ "$conf" = N ] | " => suggestions : ['\xa0»', '”']
145 Pas d’espace avant ce signe. =>       elif [ "$conf" = n ] || [ "$conf" = N ] |  ] => suggestions : [']']
145 Pas d’espace après ce signe. =>       elif [ "$conf" = n ] || [ "$conf" = N ] | [  => suggestions : ['[']
145 Guillemets typographiques fermants. =>       elif [ "$conf" = n ] || [ "$conf" = N ] | " => suggestions : ['\xa0»', '”']
145 Pas d’espace avant ce signe. =>       elif [ "$conf" = n ] || [ "$conf" = N ] |  ] => suggestions : [']']

146 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       then |        => suggestions : ['']
146 Mot inconnu : then =>       then | then

147 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       l=i |        => suggestions : ['']

148 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       else |        => suggestions : ['']
148 Mot inconnu : else =>       else | else

149 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       echo |        => suggestions : ['']
149 Mot inconnu : echo =>       echo | echo

150 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       echo "Entre inconnue, appuyez sur une touche pour continuer" |        => suggestions : ['']
150 Mot inconnu : echo =>       echo "Entre inconnue, appuyez sur une touche pour continuer" | echo
150 Guillemets typographiques ouvrants. =>       echo "Entre inconnue, appuyez sur une touche pour continuer" | " => suggestions : ['«\xa0', '“']
150 Guillemets typographiques fermants. =>       echo "Entre inconnue, appuyez sur une touche pour continuer" | " => suggestions : ['\xa0»', '”']

151 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       read touche |        => suggestions : ['']
151 Mot inconnu : read =>       read touche | read

152 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       fi |        => suggestions : ['']

154 Mot inconnu : __méthode => __méthode n°2__ : | __méthode
154 Mot inconnu : __ => __méthode n°2__ : | __
