
4 Mot inconnu : LaTeX => ====== LaTeX, langage de description de document ======  | latex
180 Espace(s) surnuméraire(s) à supprimer. => Un autre moyen est d'utiliser  **[[apt>recode]]** pour transformer les caractères accentués en balise LaTeX : |    => suggestions : [' ']
180 Mot inconnu : LaTeX => Un autre moyen est d'utiliser  **[[apt>recode]]** pour transformer les caractères accentués en balise LaTeX : | latex

182 Il manque un espace. => Si fichier.tex utilise UTF-8 | tex => suggestions : [' tex']

184 Il manque un espace. => Si fichier.tex utilise latin1 | tex => suggestions : [' tex']
184 Mot inconnu : latin1 => Si fichier.tex utilise latin1 | latin1

195 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

213 Mot inconnu : Beamer => ==== À propos de Beamer ==== | beamer
