
4 Mot inconnu : Wordtrans => ====== Wordtrans ====== | wordtrans
34 Guillemets typographiques ouvrants. => Ce fichier est nécessaire pour tous les dictionnaires. Vous devez le télécharger et l'installer, sinon aucun autre dictionnaire ne pourra fonctionner. Il est par ailleurs indispensable de le placer dans le même dossier que le dictionnaire bilingue que vous souhaitez utiliser, par exemple que le dictionnaire "EngtoFre.dic" (anglais-français). | " => suggestions : ['«\xa0', '“']
34 Mot inconnu : EngtoFre => Ce fichier est nécessaire pour tous les dictionnaires. Vous devez le télécharger et l'installer, sinon aucun autre dictionnaire ne pourra fonctionner. Il est par ailleurs indispensable de le placer dans le même dossier que le dictionnaire bilingue que vous souhaitez utiliser, par exemple que le dictionnaire "EngtoFre.dic" (anglais-français). | engtofre
34 Mot inconnu : dic => Ce fichier est nécessaire pour tous les dictionnaires. Vous devez le télécharger et l'installer, sinon aucun autre dictionnaire ne pourra fonctionner. Il est par ailleurs indispensable de le placer dans le même dossier que le dictionnaire bilingue que vous souhaitez utiliser, par exemple que le dictionnaire "EngtoFre.dic" (anglais-français). | dic
34 Guillemets typographiques fermants. => Ce fichier est nécessaire pour tous les dictionnaires. Vous devez le télécharger et l'installer, sinon aucun autre dictionnaire ne pourra fonctionner. Il est par ailleurs indispensable de le placer dans le même dossier que le dictionnaire bilingue que vous souhaitez utiliser, par exemple que le dictionnaire "EngtoFre.dic" (anglais-français). | " => suggestions : ['\xa0»', '”']
38 Guillemets typographiques ouvrants. => <note important>Attention : ces fichiers téléchargés sont au format "dic.gz". Il faut les décompresser (sous gnome : clic droit > extraire ici)... Mais le nom des fichiers extraits est incorrect. Il faut renommer le fichier extrait de "english.dic.gz" en "english.dic" au lieu de "Base", et le fichier extrait de "EngtoFre.dic.gz" en "EngtoFre.dic" au lieu de "French.dic".</note> | " => suggestions : ['«\xa0', '“']
38 Mot inconnu : dic => <note important>Attention : ces fichiers téléchargés sont au format "dic.gz". Il faut les décompresser (sous gnome : clic droit > extraire ici)... Mais le nom des fichiers extraits est incorrect. Il faut renommer le fichier extrait de "english.dic.gz" en "english.dic" au lieu de "Base", et le fichier extrait de "EngtoFre.dic.gz" en "EngtoFre.dic" au lieu de "French.dic".</note> | dic
38 Mot inconnu : gz => <note important>Attention : ces fichiers téléchargés sont au format "dic.gz". Il faut les décompresser (sous gnome : clic droit > extraire ici)... Mais le nom des fichiers extraits est incorrect. Il faut renommer le fichier extrait de "english.dic.gz" en "english.dic" au lieu de "Base", et le fichier extrait de "EngtoFre.dic.gz" en "EngtoFre.dic" au lieu de "French.dic".</note> | gz
38 Guillemets typographiques fermants. => <note important>Attention : ces fichiers téléchargés sont au format "dic.gz". Il faut les décompresser (sous gnome : clic droit > extraire ici)... Mais le nom des fichiers extraits est incorrect. Il faut renommer le fichier extrait de "english.dic.gz" en "english.dic" au lieu de "Base", et le fichier extrait de "EngtoFre.dic.gz" en "EngtoFre.dic" au lieu de "French.dic".</note> | " => suggestions : ['\xa0»', '”']
38 Typographie : points de suspension. Utilisez le caractère dédié. => <note important>Attention : ces fichiers téléchargés sont au format "dic.gz". Il faut les décompresser (sous gnome : clic droit > extraire ici)... Mais le nom des fichiers extraits est incorrect. Il faut renommer le fichier extrait de "english.dic.gz" en "english.dic" au lieu de "Base", et le fichier extrait de "EngtoFre.dic.gz" en "EngtoFre.dic" au lieu de "French.dic".</note> | ... => suggestions : ['…']
38 Guillemets typographiques ouvrants. => <note important>Attention : ces fichiers téléchargés sont au format "dic.gz". Il faut les décompresser (sous gnome : clic droit > extraire ici)... Mais le nom des fichiers extraits est incorrect. Il faut renommer le fichier extrait de "english.dic.gz" en "english.dic" au lieu de "Base", et le fichier extrait de "EngtoFre.dic.gz" en "EngtoFre.dic" au lieu de "French.dic".</note> | " => suggestions : ['«\xa0', '“']
38 Guillemets typographiques fermants. => <note important>Attention : ces fichiers téléchargés sont au format "dic.gz". Il faut les décompresser (sous gnome : clic droit > extraire ici)... Mais le nom des fichiers extraits est incorrect. Il faut renommer le fichier extrait de "english.dic.gz" en "english.dic" au lieu de "Base", et le fichier extrait de "EngtoFre.dic.gz" en "EngtoFre.dic" au lieu de "French.dic".</note> | " => suggestions : ['\xa0»', '”']
38 Guillemets typographiques ouvrants. => <note important>Attention : ces fichiers téléchargés sont au format "dic.gz". Il faut les décompresser (sous gnome : clic droit > extraire ici)... Mais le nom des fichiers extraits est incorrect. Il faut renommer le fichier extrait de "english.dic.gz" en "english.dic" au lieu de "Base", et le fichier extrait de "EngtoFre.dic.gz" en "EngtoFre.dic" au lieu de "French.dic".</note> | " => suggestions : ['«\xa0', '“']
38 Mot inconnu : english => <note important>Attention : ces fichiers téléchargés sont au format "dic.gz". Il faut les décompresser (sous gnome : clic droit > extraire ici)... Mais le nom des fichiers extraits est incorrect. Il faut renommer le fichier extrait de "english.dic.gz" en "english.dic" au lieu de "Base", et le fichier extrait de "EngtoFre.dic.gz" en "EngtoFre.dic" au lieu de "French.dic".</note> | english
38 Mot inconnu : dic => <note important>Attention : ces fichiers téléchargés sont au format "dic.gz". Il faut les décompresser (sous gnome : clic droit > extraire ici)... Mais le nom des fichiers extraits est incorrect. Il faut renommer le fichier extrait de "english.dic.gz" en "english.dic" au lieu de "Base", et le fichier extrait de "EngtoFre.dic.gz" en "EngtoFre.dic" au lieu de "French.dic".</note> | dic
38 Guillemets typographiques fermants. => <note important>Attention : ces fichiers téléchargés sont au format "dic.gz". Il faut les décompresser (sous gnome : clic droit > extraire ici)... Mais le nom des fichiers extraits est incorrect. Il faut renommer le fichier extrait de "english.dic.gz" en "english.dic" au lieu de "Base", et le fichier extrait de "EngtoFre.dic.gz" en "EngtoFre.dic" au lieu de "French.dic".</note> | " => suggestions : ['\xa0»', '”']
38 Guillemets typographiques ouvrants. => <note important>Attention : ces fichiers téléchargés sont au format "dic.gz". Il faut les décompresser (sous gnome : clic droit > extraire ici)... Mais le nom des fichiers extraits est incorrect. Il faut renommer le fichier extrait de "english.dic.gz" en "english.dic" au lieu de "Base", et le fichier extrait de "EngtoFre.dic.gz" en "EngtoFre.dic" au lieu de "French.dic".</note> | " => suggestions : ['«\xa0', '“']
38 Guillemets typographiques fermants. => <note important>Attention : ces fichiers téléchargés sont au format "dic.gz". Il faut les décompresser (sous gnome : clic droit > extraire ici)... Mais le nom des fichiers extraits est incorrect. Il faut renommer le fichier extrait de "english.dic.gz" en "english.dic" au lieu de "Base", et le fichier extrait de "EngtoFre.dic.gz" en "EngtoFre.dic" au lieu de "French.dic".</note> | " => suggestions : ['\xa0»', '”']
38 Guillemets typographiques ouvrants. => <note important>Attention : ces fichiers téléchargés sont au format "dic.gz". Il faut les décompresser (sous gnome : clic droit > extraire ici)... Mais le nom des fichiers extraits est incorrect. Il faut renommer le fichier extrait de "english.dic.gz" en "english.dic" au lieu de "Base", et le fichier extrait de "EngtoFre.dic.gz" en "EngtoFre.dic" au lieu de "French.dic".</note> | " => suggestions : ['«\xa0', '“']
38 Guillemets typographiques fermants. => <note important>Attention : ces fichiers téléchargés sont au format "dic.gz". Il faut les décompresser (sous gnome : clic droit > extraire ici)... Mais le nom des fichiers extraits est incorrect. Il faut renommer le fichier extrait de "english.dic.gz" en "english.dic" au lieu de "Base", et le fichier extrait de "EngtoFre.dic.gz" en "EngtoFre.dic" au lieu de "French.dic".</note> | " => suggestions : ['\xa0»', '”']
38 Guillemets typographiques ouvrants. => <note important>Attention : ces fichiers téléchargés sont au format "dic.gz". Il faut les décompresser (sous gnome : clic droit > extraire ici)... Mais le nom des fichiers extraits est incorrect. Il faut renommer le fichier extrait de "english.dic.gz" en "english.dic" au lieu de "Base", et le fichier extrait de "EngtoFre.dic.gz" en "EngtoFre.dic" au lieu de "French.dic".</note> | " => suggestions : ['«\xa0', '“']
38 Mot inconnu : EngtoFre => <note important>Attention : ces fichiers téléchargés sont au format "dic.gz". Il faut les décompresser (sous gnome : clic droit > extraire ici)... Mais le nom des fichiers extraits est incorrect. Il faut renommer le fichier extrait de "english.dic.gz" en "english.dic" au lieu de "Base", et le fichier extrait de "EngtoFre.dic.gz" en "EngtoFre.dic" au lieu de "French.dic".</note> | engtofre
38 Mot inconnu : dic => <note important>Attention : ces fichiers téléchargés sont au format "dic.gz". Il faut les décompresser (sous gnome : clic droit > extraire ici)... Mais le nom des fichiers extraits est incorrect. Il faut renommer le fichier extrait de "english.dic.gz" en "english.dic" au lieu de "Base", et le fichier extrait de "EngtoFre.dic.gz" en "EngtoFre.dic" au lieu de "French.dic".</note> | dic
38 Guillemets typographiques fermants. => <note important>Attention : ces fichiers téléchargés sont au format "dic.gz". Il faut les décompresser (sous gnome : clic droit > extraire ici)... Mais le nom des fichiers extraits est incorrect. Il faut renommer le fichier extrait de "english.dic.gz" en "english.dic" au lieu de "Base", et le fichier extrait de "EngtoFre.dic.gz" en "EngtoFre.dic" au lieu de "French.dic".</note> | " => suggestions : ['\xa0»', '”']
38 Guillemets typographiques ouvrants. => <note important>Attention : ces fichiers téléchargés sont au format "dic.gz". Il faut les décompresser (sous gnome : clic droit > extraire ici)... Mais le nom des fichiers extraits est incorrect. Il faut renommer le fichier extrait de "english.dic.gz" en "english.dic" au lieu de "Base", et le fichier extrait de "EngtoFre.dic.gz" en "EngtoFre.dic" au lieu de "French.dic".</note> | " => suggestions : ['«\xa0', '“']
38 Mot inconnu : dic => <note important>Attention : ces fichiers téléchargés sont au format "dic.gz". Il faut les décompresser (sous gnome : clic droit > extraire ici)... Mais le nom des fichiers extraits est incorrect. Il faut renommer le fichier extrait de "english.dic.gz" en "english.dic" au lieu de "Base", et le fichier extrait de "EngtoFre.dic.gz" en "EngtoFre.dic" au lieu de "French.dic".</note> | dic
38 Guillemets typographiques fermants. => <note important>Attention : ces fichiers téléchargés sont au format "dic.gz". Il faut les décompresser (sous gnome : clic droit > extraire ici)... Mais le nom des fichiers extraits est incorrect. Il faut renommer le fichier extrait de "english.dic.gz" en "english.dic" au lieu de "Base", et le fichier extrait de "EngtoFre.dic.gz" en "EngtoFre.dic" au lieu de "French.dic".</note> | " => suggestions : ['\xa0»', '”']

42 Mot inconnu : ac-grenoble => A [[ftp://ftp.ac-grenoble.fr/ge/languages/babylon_dict/|cette adresse]], vous trouverez d'autres dictionnaires au format "dic" : anglais-espagnol, anglais-portugais, anglais-italien et anglais-allemand, anglais-anglais et anglais-néerlandais. 		 | ac-grenoble
42 Mot inconnu : ge => A [[ftp://ftp.ac-grenoble.fr/ge/languages/babylon_dict/|cette adresse]], vous trouverez d'autres dictionnaires au format "dic" : anglais-espagnol, anglais-portugais, anglais-italien et anglais-allemand, anglais-anglais et anglais-néerlandais. 		 | ge
42 Mot inconnu : languages => A [[ftp://ftp.ac-grenoble.fr/ge/languages/babylon_dict/|cette adresse]], vous trouverez d'autres dictionnaires au format "dic" : anglais-espagnol, anglais-portugais, anglais-italien et anglais-allemand, anglais-anglais et anglais-néerlandais. 		 | languages
42 Mot inconnu : babylon_dict => A [[ftp://ftp.ac-grenoble.fr/ge/languages/babylon_dict/|cette adresse]], vous trouverez d'autres dictionnaires au format "dic" : anglais-espagnol, anglais-portugais, anglais-italien et anglais-allemand, anglais-anglais et anglais-néerlandais. 		 | babylon_dict
42 Guillemets typographiques ouvrants. => A [[ftp://ftp.ac-grenoble.fr/ge/languages/babylon_dict/|cette adresse]], vous trouverez d'autres dictionnaires au format "dic" : anglais-espagnol, anglais-portugais, anglais-italien et anglais-allemand, anglais-anglais et anglais-néerlandais. 		 | " => suggestions : ['«\xa0', '“']
42 Mot inconnu : dic => A [[ftp://ftp.ac-grenoble.fr/ge/languages/babylon_dict/|cette adresse]], vous trouverez d'autres dictionnaires au format "dic" : anglais-espagnol, anglais-portugais, anglais-italien et anglais-allemand, anglais-anglais et anglais-néerlandais. 		 | dic
42 Guillemets typographiques fermants. => A [[ftp://ftp.ac-grenoble.fr/ge/languages/babylon_dict/|cette adresse]], vous trouverez d'autres dictionnaires au format "dic" : anglais-espagnol, anglais-portugais, anglais-italien et anglais-allemand, anglais-anglais et anglais-néerlandais. 		 | " => suggestions : ['\xa0»', '”']
42 Incohérence : espace et tabulation. => A [[ftp://ftp.ac-grenoble.fr/ge/languages/babylon_dict/|cette adresse]], vous trouverez d'autres dictionnaires au format "dic" : anglais-espagnol, anglais-portugais, anglais-italien et anglais-allemand, anglais-anglais et anglais-néerlandais. 		 |  	 => suggestions : [' ', '\t']

44 Mot inconnu : WordTrans => Une fois que vous avez téléchargé suivez les instructions de la documentation pour savoir comment installer un dictionnaire dans WordTrans. | wordtrans

50 Mot inconnu : WordTrans => WordTrans supporte des dictionnaires en texte brut. Un dictionnaire de ce type ressemble à ceci, s'il est ouvert dans un éditeur de texte: | wordtrans

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  earn (to -) : ganar (trabajando)\\ |   => suggestions : ['']
54 Mot inconnu : earn =>  earn (to -) : ganar (trabajando)\\ | earn
54 Mot inconnu : to =>  earn (to -) : ganar (trabajando)\\ | to
54 Mot inconnu : ganar =>  earn (to -) : ganar (trabajando)\\ | ganar
54 Mot inconnu : trabajando =>  earn (to -) : ganar (trabajando)\\ | trabajando

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ear : oído\\ |   => suggestions : ['']
55 Mot inconnu : ear =>  ear : oído\\ | ear
55 Mot inconnu : oído =>  ear : oído\\ | oído

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ear : oreja\\ |   => suggestions : ['']
56 Mot inconnu : ear =>  ear : oreja\\ | ear
56 Mot inconnu : oreja =>  ear : oreja\\ | oreja

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  earphone : auricular\\ |   => suggestions : ['']
57 Mot inconnu : earphone =>  earphone : auricular\\ | earphone
57 Mot inconnu : auricular =>  earphone : auricular\\ | auricular

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  earring : pendiente\\ |   => suggestions : ['']
58 Mot inconnu : earring =>  earring : pendiente\\ | earring
58 Mot inconnu : pendiente =>  earring : pendiente\\ | pendiente

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  earth ball : terrón\\ |   => suggestions : ['']
59 Mot inconnu : earth =>  earth ball : terrón\\ | earth
59 Mot inconnu : ball =>  earth ball : terrón\\ | ball
59 Mot inconnu : terrón =>  earth ball : terrón\\ | terrón

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  earthen : de barro\\ |   => suggestions : ['']
60 Mot inconnu : earthen =>  earthen : de barro\\ | earthen
60 Mot inconnu : barro =>  earthen : de barro\\ | barro

64 Mot inconnu : sépérateur => Comme vous pouvez le voir le premier mot dans une langue (l'anglais dans ce cas) et sa traduction dans une autre langue (ici en espagnol). Un caractère sépérateur est placé entre le mot et sa traduction ( ":" dans ce cas, mais le caractère séparateur peut être différent). | sépérateur
64 Pas d’espace après ce signe. => Comme vous pouvez le voir le premier mot dans une langue (l'anglais dans ce cas) et sa traduction dans une autre langue (ici en espagnol). Un caractère sépérateur est placé entre le mot et sa traduction ( ":" dans ce cas, mais le caractère séparateur peut être différent). | (  => suggestions : ['(']

66 Mot inconnu : Wordtrans => Ces dictionnaires doivent être encodés en ISO-8859-1 ou UTF-8 pour que Wordtrans puisse les ouvrir correctement. Si vous trouvez un dictionnaire dans un autre jeu de caractère, vous pouvez facilement le convertir en UTF-8 avec les utilitaires iconv ou recode qui sont certainement inclus dans votre distribution Linux. | wordtrans
66 Mot inconnu : iconv => Ces dictionnaires doivent être encodés en ISO-8859-1 ou UTF-8 pour que Wordtrans puisse les ouvrir correctement. Si vous trouvez un dictionnaire dans un autre jeu de caractère, vous pouvez facilement le convertir en UTF-8 avec les utilitaires iconv ou recode qui sont certainement inclus dans votre distribution Linux. | iconv

70 Accord avec le sujet “Certains” : “configurées” devrait être au masculin pluriel. => Certains de ces dictionnaires ont été configurées pour ête utilisés par WordTrans et empaquetés en deb, de façon à être installés immédiatement et à apparaître dans les menus WordTrans dés l'ouverture (Si vous avez déjà ouvert WordTrans au moment où vous isntallez ces dictionnaires, il est nécessaire, une fois qu'ils sont installés, de fermer et de rouvrir Wordtrans). | configurées => suggestions : ['configurés']
70 Mot inconnu : ête => Certains de ces dictionnaires ont été configurées pour ête utilisés par WordTrans et empaquetés en deb, de façon à être installés immédiatement et à apparaître dans les menus WordTrans dés l'ouverture (Si vous avez déjà ouvert WordTrans au moment où vous isntallez ces dictionnaires, il est nécessaire, une fois qu'ils sont installés, de fermer et de rouvrir Wordtrans). | ête
70 Mot inconnu : WordTrans => Certains de ces dictionnaires ont été configurées pour ête utilisés par WordTrans et empaquetés en deb, de façon à être installés immédiatement et à apparaître dans les menus WordTrans dés l'ouverture (Si vous avez déjà ouvert WordTrans au moment où vous isntallez ces dictionnaires, il est nécessaire, une fois qu'ils sont installés, de fermer et de rouvrir Wordtrans). | wordtrans
70 Mot inconnu : deb => Certains de ces dictionnaires ont été configurées pour ête utilisés par WordTrans et empaquetés en deb, de façon à être installés immédiatement et à apparaître dans les menus WordTrans dés l'ouverture (Si vous avez déjà ouvert WordTrans au moment où vous isntallez ces dictionnaires, il est nécessaire, une fois qu'ils sont installés, de fermer et de rouvrir Wordtrans). | deb
70 Mot inconnu : WordTrans => Certains de ces dictionnaires ont été configurées pour ête utilisés par WordTrans et empaquetés en deb, de façon à être installés immédiatement et à apparaître dans les menus WordTrans dés l'ouverture (Si vous avez déjà ouvert WordTrans au moment où vous isntallez ces dictionnaires, il est nécessaire, une fois qu'ils sont installés, de fermer et de rouvrir Wordtrans). | wordtrans
70 Confusion probable. Pour la préposition, écrivez “dès”. => Certains de ces dictionnaires ont été configurées pour ête utilisés par WordTrans et empaquetés en deb, de façon à être installés immédiatement et à apparaître dans les menus WordTrans dés l'ouverture (Si vous avez déjà ouvert WordTrans au moment où vous isntallez ces dictionnaires, il est nécessaire, une fois qu'ils sont installés, de fermer et de rouvrir Wordtrans). | dés => suggestions : ['dès']
70 Mot inconnu : WordTrans => Certains de ces dictionnaires ont été configurées pour ête utilisés par WordTrans et empaquetés en deb, de façon à être installés immédiatement et à apparaître dans les menus WordTrans dés l'ouverture (Si vous avez déjà ouvert WordTrans au moment où vous isntallez ces dictionnaires, il est nécessaire, une fois qu'ils sont installés, de fermer et de rouvrir Wordtrans). | wordtrans
70 Mot inconnu : isntallez => Certains de ces dictionnaires ont été configurées pour ête utilisés par WordTrans et empaquetés en deb, de façon à être installés immédiatement et à apparaître dans les menus WordTrans dés l'ouverture (Si vous avez déjà ouvert WordTrans au moment où vous isntallez ces dictionnaires, il est nécessaire, une fois qu'ils sont installés, de fermer et de rouvrir Wordtrans). | isntallez
70 Mot inconnu : Wordtrans => Certains de ces dictionnaires ont été configurées pour ête utilisés par WordTrans et empaquetés en deb, de façon à être installés immédiatement et à apparaître dans les menus WordTrans dés l'ouverture (Si vous avez déjà ouvert WordTrans au moment où vous isntallez ces dictionnaires, il est nécessaire, une fois qu'ils sont installés, de fermer et de rouvrir Wordtrans). | wordtrans

