1 Mot inconnu : Wacom => ====== Nouvelle Wacom Bamboo ====== | wacom
65 Mot inconnu : src => Il vous suffit de récupérer le sous dossier (ici src/2.6.30) et de le mettre dans la commande cp qui ne fonctionnait pas. Ce qui donne dans mon cas : | src
65 Mot inconnu : cp => Il vous suffit de récupérer le sous dossier (ici src/2.6.30) et de le mettre dans la commande cp qui ne fonctionnait pas. Ce qui donne dans mon cas : | cp

72 Guillemets typographiques ouvrants. => <note>Si vous obtenez "WARNING: -e needs -E or -F", n'en tenez pas compte, et laissez tourner. Si vous obtenez un autre message d'erreur, tapez "rmmod wacom", puis réessayez. Si les symptômes persistent, ... consultez le forum :p</note> | " => suggestions : ['«\xa0', '“']
72 Mot inconnu : needs => <note>Si vous obtenez "WARNING: -e needs -E or -F", n'en tenez pas compte, et laissez tourner. Si vous obtenez un autre message d'erreur, tapez "rmmod wacom", puis réessayez. Si les symptômes persistent, ... consultez le forum :p</note> | needs
72 Il manque un espace à côté du tiret. => <note>Si vous obtenez "WARNING: -e needs -E or -F", n'en tenez pas compte, et laissez tourner. Si vous obtenez un autre message d'erreur, tapez "rmmod wacom", puis réessayez. Si les symptômes persistent, ... consultez le forum :p</note> |  - => suggestions : [' – ', ' — ']
72 Il manque un espace à côté du tiret. => <note>Si vous obtenez "WARNING: -e needs -E or -F", n'en tenez pas compte, et laissez tourner. Si vous obtenez un autre message d'erreur, tapez "rmmod wacom", puis réessayez. Si les symptômes persistent, ... consultez le forum :p</note> |  - => suggestions : [' – ', ' — ']
72 Guillemets typographiques fermants. => <note>Si vous obtenez "WARNING: -e needs -E or -F", n'en tenez pas compte, et laissez tourner. Si vous obtenez un autre message d'erreur, tapez "rmmod wacom", puis réessayez. Si les symptômes persistent, ... consultez le forum :p</note> | " => suggestions : ['\xa0»', '”']
72 Guillemets typographiques ouvrants. => <note>Si vous obtenez "WARNING: -e needs -E or -F", n'en tenez pas compte, et laissez tourner. Si vous obtenez un autre message d'erreur, tapez "rmmod wacom", puis réessayez. Si les symptômes persistent, ... consultez le forum :p</note> | " => suggestions : ['«\xa0', '“']
72 Mot inconnu : rmmod => <note>Si vous obtenez "WARNING: -e needs -E or -F", n'en tenez pas compte, et laissez tourner. Si vous obtenez un autre message d'erreur, tapez "rmmod wacom", puis réessayez. Si les symptômes persistent, ... consultez le forum :p</note> | rmmod
72 Mot inconnu : wacom => <note>Si vous obtenez "WARNING: -e needs -E or -F", n'en tenez pas compte, et laissez tourner. Si vous obtenez un autre message d'erreur, tapez "rmmod wacom", puis réessayez. Si les symptômes persistent, ... consultez le forum :p</note> | wacom
72 Guillemets typographiques fermants. => <note>Si vous obtenez "WARNING: -e needs -E or -F", n'en tenez pas compte, et laissez tourner. Si vous obtenez un autre message d'erreur, tapez "rmmod wacom", puis réessayez. Si les symptômes persistent, ... consultez le forum :p</note> | " => suggestions : ['\xa0»', '”']
72 Une de ces ponctuations est superflue. => <note>Si vous obtenez "WARNING: -e needs -E or -F", n'en tenez pas compte, et laissez tourner. Si vous obtenez un autre message d'erreur, tapez "rmmod wacom", puis réessayez. Si les symptômes persistent, ... consultez le forum :p</note> | , . => suggestions : [',', '.']
72 Typographie : points de suspension. Utilisez le caractère dédié. => <note>Si vous obtenez "WARNING: -e needs -E or -F", n'en tenez pas compte, et laissez tourner. Si vous obtenez un autre message d'erreur, tapez "rmmod wacom", puis réessayez. Si les symptômes persistent, ... consultez le forum :p</note> | ... => suggestions : ['…']

74 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Et voilà, le pilote est installé, il ne reste plus qu'à s'occuper du fichier .fdi. |  . => suggestions : ['. ', '.']
74 Mot inconnu : fdi => Et voilà, le pilote est installé, il ne reste plus qu'à s'occuper du fichier .fdi. | fdi

76 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => ===== Le fichier .fdi ===== |  . => suggestions : ['. ', '.']
76 Mot inconnu : fdi => ===== Le fichier .fdi ===== | fdi

77 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Commencez par créer le fichier .fdi : |  . => suggestions : ['. ', '.']
77 Mot inconnu : fdi => Commencez par créer le fichier .fdi : | fdi

80 Mot inconnu : root => Puis éditez-le en mode root. Effacez l'éventuel contenu, et remplacez-le par ceci : | root

81 Il manque un espace. => <file><?xml version="1.0" encoding="UTF-8"?> <!-- -*- SGML -*- --> | xml => suggestions : [' xml']
81 Mot inconnu : xml => <file><?xml version="1.0" encoding="UTF-8"?> <!-- -*- SGML -*- --> | xml
81 Guillemets typographiques ouvrants. => <file><?xml version="1.0" encoding="UTF-8"?> <!-- -*- SGML -*- --> | " => suggestions : ['«\xa0', '“']
81 Guillemets typographiques fermants. => <file><?xml version="1.0" encoding="UTF-8"?> <!-- -*- SGML -*- --> | " => suggestions : ['\xa0»', '”']
81 Mot inconnu : encoding => <file><?xml version="1.0" encoding="UTF-8"?> <!-- -*- SGML -*- --> | encoding
81 Guillemets typographiques ouvrants. => <file><?xml version="1.0" encoding="UTF-8"?> <!-- -*- SGML -*- --> | " => suggestions : ['«\xa0', '“']
81 Guillemets typographiques fermants. => <file><?xml version="1.0" encoding="UTF-8"?> <!-- -*- SGML -*- --> | " => suggestions : ['\xa0»', '”']
81 Mot inconnu : SGML => <file><?xml version="1.0" encoding="UTF-8"?> <!-- -*- SGML -*- --> | sgml

84 Guillemets typographiques ouvrants. => <deviceinfo version="0.2"> | " => suggestions : ['«\xa0', '“']
84 Guillemets typographiques fermants. => <deviceinfo version="0.2"> | " => suggestions : ['\xa0»', '”']

118 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Le fichier .fdi est prêt, passons à la suite. |  . => suggestions : ['. ', '.']
118 Mot inconnu : fdi => Le fichier .fdi est prêt, passons à la suite. | fdi

120 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => ===== Le fichier .rules ===== |  . => suggestions : ['. ', '.']
120 Mot inconnu : rules => ===== Le fichier .rules ===== | rules

121 Guillemets typographiques ouvrants. => Commencez par déterminer l'id de la tablette. Pour ceci, regardez les informations données par "lsusb" : | " => suggestions : ['«\xa0', '“']
121 Mot inconnu : lsusb => Commencez par déterminer l'id de la tablette. Pour ceci, regardez les informations données par "lsusb" : | lsusb
121 Guillemets typographiques fermants. => Commencez par déterminer l'id de la tablette. Pour ceci, regardez les informations données par "lsusb" : | " => suggestions : ['\xa0»', '”']

128 Guillemets typographiques ouvrants. => Ici, l'id est "00d1" Notez bien votre id à vous ! | " => suggestions : ['«\xa0', '“']
128 Mot inconnu : d1 => Ici, l'id est "00d1" Notez bien votre id à vous ! | d1
128 Guillemets typographiques fermants. => Ici, l'id est "00d1" Notez bien votre id à vous ! | " => suggestions : ['\xa0»', '”']

130 Mot inconnu : rules => Téléchargez le fichier.rules de base : | rules

135 Guillemets typographiques ouvrants. => <note>Remplacez "00d1" par l'id que vous avez du noter :p</note> | " => suggestions : ['«\xa0', '“']
135 Mot inconnu : d1 => <note>Remplacez "00d1" par l'id que vous avez du noter :p</note> | d1
135 Guillemets typographiques fermants. => <note>Remplacez "00d1" par l'id que vous avez du noter :p</note> | " => suggestions : ['\xa0»', '”']
135 Participe passé de devoir : “dû”. => <note>Remplacez "00d1" par l'id que vous avez du noter :p</note> | du => suggestions : ['dû']
135 Incohérence avec “du” : “noter” est un verbe. => <note>Remplacez "00d1" par l'id que vous avez du noter :p</note> | noter => suggestions : ['notions', 'notes', 'note']

139 Typographie : points de suspension. Utilisez le caractère dédié. => Et maintenant, j'ai une surprise pour vous... | ... => suggestions : ['…']
143 Mot inconnu : reboot => <note warning>Admirez comme ça plante ! Dans mon cas, dès que je branche la tablette, le serveur X reboot en boucle... Donc faites attention et faites des backup avant toute manipulation.</note> | reboot
143 Typographie : points de suspension. Utilisez le caractère dédié. => <note warning>Admirez comme ça plante ! Dans mon cas, dès que je branche la tablette, le serveur X reboot en boucle... Donc faites attention et faites des backup avant toute manipulation.</note> | ... => suggestions : ['…']
143 Mot inconnu : backup => <note warning>Admirez comme ça plante ! Dans mon cas, dès que je branche la tablette, le serveur X reboot en boucle... Donc faites attention et faites des backup avant toute manipulation.</note> | backup
