
5 Mot inconnu : Scribus => ======Scribus : logiciel de PAO ====== | scribus
15 Mot inconnu : EPS => >Sous son interface moderne et conviviale, Scribus offre un panel de fonctionnalités de publication professionnelle, comme le support des couleurs CMJN, les séparations, la gestion des profils ICC et la création de fichiers PDF. Scribus a été la toute première application de PAO de la planète à supporter l'exportation directe au format PDF/X-3, un standard ISO rigoureux. Parmi les autres fonctionnalités, on notera l'importation de fichiers PDF, l'importation et exportation des fichiers EPS, ou le support du texte Unicode, y compris pour les langues s'écrivant de droite à gauche comme l'arabe ou l'hébreu. | eps

17 Mot inconnu : Scribus => >Scribus présente également quelques fonctionnalités inattendues comme des outils de dessin vectoriel, l'importation et l'exportation au format SVG, ou encore le support des polices Open Type. Le format natif des fichiers Scribus est basé sur XML, ouvert et parfaitement documenté. Contrairement aux fichiers binaires propriétaires, les fichiers endommagés peuvent être restaurés au moyen d'un simple éditeur de texte - alors que cette opération peut s'avérer très complexe avec d'autres applications de PAO. Scribus dispose également d'un album accessible aisément par 'Glisser - Déposer'. L'application a été entièrement traduite dans plus de 25 langues, et de nouvelles traductions sont à venir pour les prochaines versions. L'équipe Scribus est fière de son excellent support aux utilisateurs, avec un canal IRC vivant et une liste de discussion accueillante. | scribus
17 Mot inconnu : SVG => >Scribus présente également quelques fonctionnalités inattendues comme des outils de dessin vectoriel, l'importation et l'exportation au format SVG, ou encore le support des polices Open Type. Le format natif des fichiers Scribus est basé sur XML, ouvert et parfaitement documenté. Contrairement aux fichiers binaires propriétaires, les fichiers endommagés peuvent être restaurés au moyen d'un simple éditeur de texte - alors que cette opération peut s'avérer très complexe avec d'autres applications de PAO. Scribus dispose également d'un album accessible aisément par 'Glisser - Déposer'. L'application a été entièrement traduite dans plus de 25 langues, et de nouvelles traductions sont à venir pour les prochaines versions. L'équipe Scribus est fière de son excellent support aux utilisateurs, avec un canal IRC vivant et une liste de discussion accueillante. | svg
17 Mot inconnu : Scribus => >Scribus présente également quelques fonctionnalités inattendues comme des outils de dessin vectoriel, l'importation et l'exportation au format SVG, ou encore le support des polices Open Type. Le format natif des fichiers Scribus est basé sur XML, ouvert et parfaitement documenté. Contrairement aux fichiers binaires propriétaires, les fichiers endommagés peuvent être restaurés au moyen d'un simple éditeur de texte - alors que cette opération peut s'avérer très complexe avec d'autres applications de PAO. Scribus dispose également d'un album accessible aisément par 'Glisser - Déposer'. L'application a été entièrement traduite dans plus de 25 langues, et de nouvelles traductions sont à venir pour les prochaines versions. L'équipe Scribus est fière de son excellent support aux utilisateurs, avec un canal IRC vivant et une liste de discussion accueillante. | scribus
17 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => >Scribus présente également quelques fonctionnalités inattendues comme des outils de dessin vectoriel, l'importation et l'exportation au format SVG, ou encore le support des polices Open Type. Le format natif des fichiers Scribus est basé sur XML, ouvert et parfaitement documenté. Contrairement aux fichiers binaires propriétaires, les fichiers endommagés peuvent être restaurés au moyen d'un simple éditeur de texte - alors que cette opération peut s'avérer très complexe avec d'autres applications de PAO. Scribus dispose également d'un album accessible aisément par 'Glisser - Déposer'. L'application a été entièrement traduite dans plus de 25 langues, et de nouvelles traductions sont à venir pour les prochaines versions. L'équipe Scribus est fière de son excellent support aux utilisateurs, avec un canal IRC vivant et une liste de discussion accueillante. |  -  => suggestions : [' – ', ' — ', ' − ']
17 Mot inconnu : Scribus => >Scribus présente également quelques fonctionnalités inattendues comme des outils de dessin vectoriel, l'importation et l'exportation au format SVG, ou encore le support des polices Open Type. Le format natif des fichiers Scribus est basé sur XML, ouvert et parfaitement documenté. Contrairement aux fichiers binaires propriétaires, les fichiers endommagés peuvent être restaurés au moyen d'un simple éditeur de texte - alors que cette opération peut s'avérer très complexe avec d'autres applications de PAO. Scribus dispose également d'un album accessible aisément par 'Glisser - Déposer'. L'application a été entièrement traduite dans plus de 25 langues, et de nouvelles traductions sont à venir pour les prochaines versions. L'équipe Scribus est fière de son excellent support aux utilisateurs, avec un canal IRC vivant et une liste de discussion accueillante. | scribus
17 Guillemets typographiques ouvrants. => >Scribus présente également quelques fonctionnalités inattendues comme des outils de dessin vectoriel, l'importation et l'exportation au format SVG, ou encore le support des polices Open Type. Le format natif des fichiers Scribus est basé sur XML, ouvert et parfaitement documenté. Contrairement aux fichiers binaires propriétaires, les fichiers endommagés peuvent être restaurés au moyen d'un simple éditeur de texte - alors que cette opération peut s'avérer très complexe avec d'autres applications de PAO. Scribus dispose également d'un album accessible aisément par 'Glisser - Déposer'. L'application a été entièrement traduite dans plus de 25 langues, et de nouvelles traductions sont à venir pour les prochaines versions. L'équipe Scribus est fière de son excellent support aux utilisateurs, avec un canal IRC vivant et une liste de discussion accueillante. | ' => suggestions : ['“', '‘', '‹']
17 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => >Scribus présente également quelques fonctionnalités inattendues comme des outils de dessin vectoriel, l'importation et l'exportation au format SVG, ou encore le support des polices Open Type. Le format natif des fichiers Scribus est basé sur XML, ouvert et parfaitement documenté. Contrairement aux fichiers binaires propriétaires, les fichiers endommagés peuvent être restaurés au moyen d'un simple éditeur de texte - alors que cette opération peut s'avérer très complexe avec d'autres applications de PAO. Scribus dispose également d'un album accessible aisément par 'Glisser - Déposer'. L'application a été entièrement traduite dans plus de 25 langues, et de nouvelles traductions sont à venir pour les prochaines versions. L'équipe Scribus est fière de son excellent support aux utilisateurs, avec un canal IRC vivant et une liste de discussion accueillante. |  -  => suggestions : [' – ', ' — ', ' − ']
17 Mot inconnu : Scribus => >Scribus présente également quelques fonctionnalités inattendues comme des outils de dessin vectoriel, l'importation et l'exportation au format SVG, ou encore le support des polices Open Type. Le format natif des fichiers Scribus est basé sur XML, ouvert et parfaitement documenté. Contrairement aux fichiers binaires propriétaires, les fichiers endommagés peuvent être restaurés au moyen d'un simple éditeur de texte - alors que cette opération peut s'avérer très complexe avec d'autres applications de PAO. Scribus dispose également d'un album accessible aisément par 'Glisser - Déposer'. L'application a été entièrement traduite dans plus de 25 langues, et de nouvelles traductions sont à venir pour les prochaines versions. L'équipe Scribus est fière de son excellent support aux utilisateurs, avec un canal IRC vivant et une liste de discussion accueillante. | scribus
17 Mot inconnu : IRC => >Scribus présente également quelques fonctionnalités inattendues comme des outils de dessin vectoriel, l'importation et l'exportation au format SVG, ou encore le support des polices Open Type. Le format natif des fichiers Scribus est basé sur XML, ouvert et parfaitement documenté. Contrairement aux fichiers binaires propriétaires, les fichiers endommagés peuvent être restaurés au moyen d'un simple éditeur de texte - alors que cette opération peut s'avérer très complexe avec d'autres applications de PAO. Scribus dispose également d'un album accessible aisément par 'Glisser - Déposer'. L'application a été entièrement traduite dans plus de 25 langues, et de nouvelles traductions sont à venir pour les prochaines versions. L'équipe Scribus est fière de son excellent support aux utilisateurs, avec un canal IRC vivant et une liste de discussion accueillante. | irc

20 Mot inconnu : Scribus => LibreOffice Draw peut être une alternative limitée à Scribus | scribus

32 Mot inconnu : Scribus => Notez aussi que les fichiers sauvegardés avec les versions ci-dessous ne peuvent pas être ouverts avec les versions antérieures de Scribus.</note> | scribus

34 Mot inconnu : Scribus => Ce dépôt contient une mise à jour journalière de la version de développement de Scribus (1.5.x) en version ng et trunk, ng étant plus stable que trunk. Pour l'anecdote, elle est utilisée par Canonical((https://www.markshuttleworth.com/archives/507))  :-) Attention, les fichiers produits par cette version ne sont pas lisibles par les versions antérieures de Scribus. Pour disposer de la dernière version : | scribus
34 Mot inconnu : trunk => Ce dépôt contient une mise à jour journalière de la version de développement de Scribus (1.5.x) en version ng et trunk, ng étant plus stable que trunk. Pour l'anecdote, elle est utilisée par Canonical((https://www.markshuttleworth.com/archives/507))  :-) Attention, les fichiers produits par cette version ne sont pas lisibles par les versions antérieures de Scribus. Pour disposer de la dernière version : | trunk
34 Mot inconnu : trunk => Ce dépôt contient une mise à jour journalière de la version de développement de Scribus (1.5.x) en version ng et trunk, ng étant plus stable que trunk. Pour l'anecdote, elle est utilisée par Canonical((https://www.markshuttleworth.com/archives/507))  :-) Attention, les fichiers produits par cette version ne sont pas lisibles par les versions antérieures de Scribus. Pour disposer de la dernière version : | trunk
34 Mot inconnu : Canonical => Ce dépôt contient une mise à jour journalière de la version de développement de Scribus (1.5.x) en version ng et trunk, ng étant plus stable que trunk. Pour l'anecdote, elle est utilisée par Canonical((https://www.markshuttleworth.com/archives/507))  :-) Attention, les fichiers produits par cette version ne sont pas lisibles par les versions antérieures de Scribus. Pour disposer de la dernière version : | canonical
34 Il manque un espace avant la parenthèse. => Ce dépôt contient une mise à jour journalière de la version de développement de Scribus (1.5.x) en version ng et trunk, ng étant plus stable que trunk. Pour l'anecdote, elle est utilisée par Canonical((https://www.markshuttleworth.com/archives/507))  :-) Attention, les fichiers produits par cette version ne sont pas lisibles par les versions antérieures de Scribus. Pour disposer de la dernière version : | ( => suggestions : [' (']
34 Mot inconnu : Scribus => Ce dépôt contient une mise à jour journalière de la version de développement de Scribus (1.5.x) en version ng et trunk, ng étant plus stable que trunk. Pour l'anecdote, elle est utilisée par Canonical((https://www.markshuttleworth.com/archives/507))  :-) Attention, les fichiers produits par cette version ne sont pas lisibles par les versions antérieures de Scribus. Pour disposer de la dernière version : | scribus

42 Mot inconnu : trunk => === Version trunk=== | trunk
43 Mot inconnu : scribus-trunk => Si vous voulez vous risquer à utiliser la toute dernière version, pour tester les nouvelles fonctionnalités, installer le paquet : **[[apt>scribus-trunk]]**. | scribus-trunk

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

54 Accord de genre erroné avec « cassés ». => ====Liens vers les images cassés lors d'échange de fichiers==== | images => suggestions : ['imagés']
54 Accord de genre erroné entre « images » et « cassés ». => ====Liens vers les images cassés lors d'échange de fichiers==== | cassés => suggestions : ['cassées']

56 Mot inconnu : Scribus => Les images sont connues par Scribus grâce à leur chemin relatif donc pour transmettre un fichier il faut: | scribus

60 Mot inconnu : ubuntu-fr => Voir [[http://forum.ubuntu-fr.org/viewtopic.php?pid=3344455#p3344455|cette discussion sur le forum ubuntu-fr]]. | ubuntu-fr
95 Mot inconnu : denis_aec => //Contributeurs : denis_aec, [[utilisateurs:Surfoo]], [[utilisateurs:_Enchained]], [[utilisateurs:Paupoo]], [[utilisateurs:Psychederic]], pygmee//. | denis_aec
95 Mot inconnu : pygmee => //Contributeurs : denis_aec, [[utilisateurs:Surfoo]], [[utilisateurs:_Enchained]], [[utilisateurs:Paupoo]], [[utilisateurs:Psychederic]], pygmee//. | pygmee
