
5 Mot inconnu : DDNS [[27:31]] => ====== Les DNS Dynamiques (DDNS) ====== <|> ddns
135 Mot inconnu : MOVED [[118:123]] =>   * **une redirection permanente** : le client internet (ou le bot de référencement) reçoit la directive HTTP/1.1 301 MOVED PERMANENTLY. <|> moved
135 Mot inconnu : PERMANENTLY [[124:135]] =>   * **une redirection permanente** : le client internet (ou le bot de référencement) reçoit la directive HTTP/1.1 301 MOVED PERMANENTLY. <|> permanently
137 Mot inconnu : TEMPORARY [[118:127]] =>   * **une redirection temporaire** : le client internet (ou le bot de référencement) reçoit la directive HTTP/1.1 307 TEMPORARY REDIRECT. <|> temporary

148 Mot inconnu : registrar [[10:19]] => (Si votre registrar vous propose d'éditer votre fichier de zone en mode texte, il ne faut pas oublier le point final !) <|> registrar
158 Mot inconnu : Time [[244:248]] => La dernière étape est en fait due au système de cache des serveurs DNS. En effet ceux-ci, pour des raisons d'efficacité, gardent en mémoire l'adresse des noms de domaine sur lesquels ils ont fait des recherches récemment. Ce temps de vie (TTL: Time To Live) est en général de 3 heures. C'est donc la durée à attendre pour que tous les serveurs DNS de la planète prennent en compte votre nouveau CNAME dans leur mémoire. <|> time
158 Mot inconnu : CNAME [[395:400]] => La dernière étape est en fait due au système de cache des serveurs DNS. En effet ceux-ci, pour des raisons d'efficacité, gardent en mémoire l'adresse des noms de domaine sur lesquels ils ont fait des recherches récemment. Ce temps de vie (TTL: Time To Live) est en général de 3 heures. C'est donc la durée à attendre pour que tous les serveurs DNS de la planète prennent en compte votre nouveau CNAME dans leur mémoire. <|> cname

181 Grands nombres : utilisez des espaces insécables plutôt que des points. [[117:124]] => Les * sont à remplacer par l'adresse exacte en local de votre serveur. Celui-ci commençant la plupart du temps par « 192.168 ». <|> 192.168 => suggestions : ['192\xa0168']

185 Il manque un espace avant la parenthèse. [[17:18]] => Deuxième solution((testé sous la //neufbox//)) : vous pourrez certainement ajouter une ligne de DNS dans la configuration de la box. Ainsi toutes les machines reliées à la box en réseau local auront accès au serveur. Pratique pour ne pas avoir à modifier tous les //hosts//. <|> ( => suggestions : [' (']
185 Mot inconnu : neufbox [[35:42]] => Deuxième solution((testé sous la //neufbox//)) : vous pourrez certainement ajouter une ligne de DNS dans la configuration de la box. Ainsi toutes les machines reliées à la box en réseau local auront accès au serveur. Pratique pour ne pas avoir à modifier tous les //hosts//. <|> neufbox
185 Mot inconnu : hosts [[266:271]] => Deuxième solution((testé sous la //neufbox//)) : vous pourrez certainement ajouter une ligne de DNS dans la configuration de la box. Ainsi toutes les machines reliées à la box en réseau local auront accès au serveur. Pratique pour ne pas avoir à modifier tous les //hosts//. <|> hosts

187 Mot inconnu : Forwarding [[34:44]] => ===== Redirection des ports (Port Forwarding ou NAT) ===== <|> forwarding
187 Mot inconnu : NAT [[48:51]] => ===== Redirection des ports (Port Forwarding ou NAT) ===== <|> nat

189 Mot inconnu : no-ip [[76:81]] => Si vous êtes derrière un routeur et que vous voulez utiliser la redirection no-ip ou dyndns, n'oubliez pas de rediriger le port correspondant au service (par exemple le port 80 pour un serveur Web) vers la machine où tourne le serveur du service en question. <|> no-ip
189 Mot inconnu : dyndns [[85:91]] => Si vous êtes derrière un routeur et que vous voulez utiliser la redirection no-ip ou dyndns, n'oubliez pas de rediriger le port correspondant au service (par exemple le port 80 pour un serveur Web) vers la machine où tourne le serveur du service en question. <|> dyndns
