
5 Mot inconnu : FCRON => ====== Programmer des tâches avec FCRON ====== | fcron
93 Mettez des guillemets fermants plutôt qu’ouvrants. => Les listes sont des nombres ou des intervalles séparés par des virgules « , ». Par exemple : « 2,5,15,23 ». |  « => suggestions : ['\xa0»', '”']
93 Pas d’espace avant une virgule. => Les listes sont des nombres ou des intervalles séparés par des virgules « , ». Par exemple : « 2,5,15,23 ». |  , => suggestions : [',']
95 Accord de nombre erroné : « nombre » devrait être au pluriel. => Les intervalles de nombres sont de la forme « début-fin », où « début » et « fin » sont inclus. Par exemple, « 3-5 » signifie les valeurs 3, 4 et 5. Vous pouvez également ajouter un « /nombre » optionnel à l'intervalle, où le nombre signifie le pas dans l'intervalle. Par exemple, « 0-23/2 » peut être utilisé dans le champ heure pour spécifier l'exécution d'une commande toutes les heures paires. Enfin, un ou plusieurs « ~nombre » peuvent être ajoutés afin de désactiver certaines valeurs dans l'intervalle. Par exemple, « 5-8~6~7 » est équivalent à « 5,8 ». | nombre => suggestions : ['nombres']

110 Mot inconnu : nice => &nice(10),mailto(jim),bootrun 45 03 * * *~0 "save --mon travail"</code> | nice
110 Mot inconnu : mailto => &nice(10),mailto(jim),bootrun 45 03 * * *~0 "save --mon travail"</code> | mailto
110 Il manque un espace avant la parenthèse. => &nice(10),mailto(jim),bootrun 45 03 * * *~0 "save --mon travail"</code> | ( => suggestions : [' (']
110 Mot inconnu : jim => &nice(10),mailto(jim),bootrun 45 03 * * *~0 "save --mon travail"</code> | jim
110 Mot inconnu : bootrun => &nice(10),mailto(jim),bootrun 45 03 * * *~0 "save --mon travail"</code> | bootrun
110 Guillemets typographiques ouvrants. => &nice(10),mailto(jim),bootrun 45 03 * * *~0 "save --mon travail"</code> | " => suggestions : ['«\xa0', '“']
110 Mot inconnu : save => &nice(10),mailto(jim),bootrun 45 03 * * *~0 "save --mon travail"</code> | save
110 Guillemets typographiques fermants. => &nice(10),mailto(jim),bootrun 45 03 * * *~0 "save --mon travail"</code> | " => suggestions : ['\xa0»', '”']

115 Guillemets typographiques ouvrants. => Les %-lignes sont les entrées lancées périodiquement (c'est le mode "Anacron" de FCron), leur syntaxe est de la forme : | " => suggestions : ['«\xa0', '“']
115 Mot inconnu : Anacron => Les %-lignes sont les entrées lancées périodiquement (c'est le mode "Anacron" de FCron), leur syntaxe est de la forme : | anacron
115 Guillemets typographiques fermants. => Les %-lignes sont les entrées lancées périodiquement (c'est le mode "Anacron" de FCron), leur syntaxe est de la forme : | " => suggestions : ['\xa0»', '”']
115 Mot inconnu : FCron => Les %-lignes sont les entrées lancées périodiquement (c'est le mode "Anacron" de FCron), leur syntaxe est de la forme : | fcron

119 Mot inconnu : hourly => Les mots clefs sont hourly, daily, monthly, weekly, midhourly, middaily, nightly, midmonthly, midweekly, mins, hours, days, mons et dow. | hourly
119 Mot inconnu : daily => Les mots clefs sont hourly, daily, monthly, weekly, midhourly, middaily, nightly, midmonthly, midweekly, mins, hours, days, mons et dow. | daily
119 Mot inconnu : monthly => Les mots clefs sont hourly, daily, monthly, weekly, midhourly, middaily, nightly, midmonthly, midweekly, mins, hours, days, mons et dow. | monthly
119 Mot inconnu : weekly => Les mots clefs sont hourly, daily, monthly, weekly, midhourly, middaily, nightly, midmonthly, midweekly, mins, hours, days, mons et dow. | weekly
119 Mot inconnu : midhourly => Les mots clefs sont hourly, daily, monthly, weekly, midhourly, middaily, nightly, midmonthly, midweekly, mins, hours, days, mons et dow. | midhourly
119 Mot inconnu : middaily => Les mots clefs sont hourly, daily, monthly, weekly, midhourly, middaily, nightly, midmonthly, midweekly, mins, hours, days, mons et dow. | middaily
119 Mot inconnu : nightly => Les mots clefs sont hourly, daily, monthly, weekly, midhourly, middaily, nightly, midmonthly, midweekly, mins, hours, days, mons et dow. | nightly
119 Mot inconnu : midmonthly => Les mots clefs sont hourly, daily, monthly, weekly, midhourly, middaily, nightly, midmonthly, midweekly, mins, hours, days, mons et dow. | midmonthly
119 Mot inconnu : midweekly => Les mots clefs sont hourly, daily, monthly, weekly, midhourly, middaily, nightly, midmonthly, midweekly, mins, hours, days, mons et dow. | midweekly
119 Mot inconnu : hours => Les mots clefs sont hourly, daily, monthly, weekly, midhourly, middaily, nightly, midmonthly, midweekly, mins, hours, days, mons et dow. | hours
119 Mot inconnu : days => Les mots clefs sont hourly, daily, monthly, weekly, midhourly, middaily, nightly, midmonthly, midweekly, mins, hours, days, mons et dow. | days
119 Mot inconnu : mons => Les mots clefs sont hourly, daily, monthly, weekly, midhourly, middaily, nightly, midmonthly, midweekly, mins, hours, days, mons et dow. | mons
119 Mot inconnu : dow => Les mots clefs sont hourly, daily, monthly, weekly, midhourly, middaily, nightly, midmonthly, midweekly, mins, hours, days, mons et dow. | dow

121 Mot inconnu : fcron => Ces mots-clefs indiquent à fcron de lancer la commande une fois entre le début et la fin de l'intervalle de temps correspondant. Un intervalle de temps est, par exemple, le temps compris entre lundi 16:20 et mercredi 01:43. Par exemple, le mot-clef weekly indique à fcron de lancer une commande une fois par semaine entre le lundi et le dimanche. | fcron
121 Mot inconnu : weekly => Ces mots-clefs indiquent à fcron de lancer la commande une fois entre le début et la fin de l'intervalle de temps correspondant. Un intervalle de temps est, par exemple, le temps compris entre lundi 16:20 et mercredi 01:43. Par exemple, le mot-clef weekly indique à fcron de lancer une commande une fois par semaine entre le lundi et le dimanche. | weekly
121 Mot inconnu : fcron => Ces mots-clefs indiquent à fcron de lancer la commande une fois entre le début et la fin de l'intervalle de temps correspondant. Un intervalle de temps est, par exemple, le temps compris entre lundi 16:20 et mercredi 01:43. Par exemple, le mot-clef weekly indique à fcron de lancer une commande une fois par semaine entre le lundi et le dimanche. | fcron

123 Mot inconnu : hours => **Il y a cependant une exception concernant les mots clefs mins, hours, days, mons et dow.** Ceux-ci lancent une commande une fois durant **CHAQUE** intervalle de temps spécifié. | hours
123 Mot inconnu : days => **Il y a cependant une exception concernant les mots clefs mins, hours, days, mons et dow.** Ceux-ci lancent une commande une fois durant **CHAQUE** intervalle de temps spécifié. | days
123 Mot inconnu : mons => **Il y a cependant une exception concernant les mots clefs mins, hours, days, mons et dow.** Ceux-ci lancent une commande une fois durant **CHAQUE** intervalle de temps spécifié. | mons
123 Mot inconnu : dow => **Il y a cependant une exception concernant les mots clefs mins, hours, days, mons et dow.** Ceux-ci lancent une commande une fois durant **CHAQUE** intervalle de temps spécifié. | dow

128 Espace(s) surnuméraire(s) à supprimer. => ^ Mots-clefs                                  ^ doit être suivi par les champs ^ |                                    => suggestions : [' ']

129 Mot inconnu : hourly => | hourly, midhourly                           | minutes                        | | hourly
129 Mot inconnu : midhourly => | hourly, midhourly                           | minutes                        | | midhourly
129 Espace(s) surnuméraire(s) à supprimer. => | hourly, midhourly                           | minutes                        | |                             => suggestions : [' ']
129 Espace(s) surnuméraire(s) à supprimer. => | hourly, midhourly                           | minutes                        | |                          => suggestions : [' ']

130 Mot inconnu : daily => | daily, middaily, nightly, weekly, midweekly | minutes et heures              | | daily
130 Mot inconnu : middaily => | daily, middaily, nightly, weekly, midweekly | minutes et heures              | | middaily
130 Mot inconnu : nightly => | daily, middaily, nightly, weekly, midweekly | minutes et heures              | | nightly
130 Mot inconnu : weekly => | daily, middaily, nightly, weekly, midweekly | minutes et heures              | | weekly
130 Mot inconnu : midweekly => | daily, middaily, nightly, weekly, midweekly | minutes et heures              | | midweekly
130 Espace(s) surnuméraire(s) à supprimer. => | daily, middaily, nightly, weekly, midweekly | minutes et heures              | |                => suggestions : [' ']

131 Mot inconnu : monthly => | monthly, midmonthly                         | minutes, heures et jours       | | monthly
131 Mot inconnu : midmonthly => | monthly, midmonthly                         | minutes, heures et jours       | | midmonthly
131 Espace(s) surnuméraire(s) à supprimer. => | monthly, midmonthly                         | minutes, heures et jours       | |                           => suggestions : [' ']
131 Espace(s) surnuméraire(s) à supprimer. => | monthly, midmonthly                         | minutes, heures et jours       | |         => suggestions : [' ']
138 Mot inconnu : random => lancera la commande une fois par nuit soit entre 21:00 et 23:59, soit entre 3:00 et 5:59 (elle sera exécutée aussitôt que possible ; pour modifier ce comportement, utilisez l'option random). | random

141 Mot inconnu : echo => lancera echo **tous les jours** à 2:15, 3:15 **ET** 4:15. | echo

144 Mot inconnu : echo => lancera echo seulement **une fois** soit à 2:15, soit à 3:15 **OU BIEN** à 4:15. | echo

153 Typographie : points de suspension. Utilisez le caractère dédié. => où fréquence est une valeur de temps de la forme valeur*multiplicateur+valeur*multiplicateur+...+valeur-en-minutes comme « 12h02 » ou « 3w2d5h1 ». La première signifie « 12 heures et 2 minutes d'exécution de fcron » tandis que la seconde signifie « 3 semaines, 2 jours, 5 heures et 1 minute d'exécution de fcron ». Les multiplicateurs valides sont : | ... => suggestions : ['…']
153 Mot inconnu : w2d5h1 => où fréquence est une valeur de temps de la forme valeur*multiplicateur+valeur*multiplicateur+...+valeur-en-minutes comme « 12h02 » ou « 3w2d5h1 ». La première signifie « 12 heures et 2 minutes d'exécution de fcron » tandis que la seconde signifie « 3 semaines, 2 jours, 5 heures et 1 minute d'exécution de fcron ». Les multiplicateurs valides sont : | w2d5h1
153 Avec une unité de mesure, mettez un espace insécable. => où fréquence est une valeur de temps de la forme valeur*multiplicateur+valeur*multiplicateur+...+valeur-en-minutes comme « 12h02 » ou « 3w2d5h1 ». La première signifie « 12 heures et 2 minutes d'exécution de fcron » tandis que la seconde signifie « 3 semaines, 2 jours, 5 heures et 1 minute d'exécution de fcron ». Les multiplicateurs valides sont : | 12 heures => suggestions : ['12\xa0heures']
153 Mot inconnu : fcron => où fréquence est une valeur de temps de la forme valeur*multiplicateur+valeur*multiplicateur+...+valeur-en-minutes comme « 12h02 » ou « 3w2d5h1 ». La première signifie « 12 heures et 2 minutes d'exécution de fcron » tandis que la seconde signifie « 3 semaines, 2 jours, 5 heures et 1 minute d'exécution de fcron ». Les multiplicateurs valides sont : | fcron
153 Avec une unité de mesure, mettez un espace insécable. => où fréquence est une valeur de temps de la forme valeur*multiplicateur+valeur*multiplicateur+...+valeur-en-minutes comme « 12h02 » ou « 3w2d5h1 ». La première signifie « 12 heures et 2 minutes d'exécution de fcron » tandis que la seconde signifie « 3 semaines, 2 jours, 5 heures et 1 minute d'exécution de fcron ». Les multiplicateurs valides sont : | 3 semaines => suggestions : ['3\xa0semaines']
153 Avec une unité de mesure, mettez un espace insécable. => où fréquence est une valeur de temps de la forme valeur*multiplicateur+valeur*multiplicateur+...+valeur-en-minutes comme « 12h02 » ou « 3w2d5h1 ». La première signifie « 12 heures et 2 minutes d'exécution de fcron » tandis que la seconde signifie « 3 semaines, 2 jours, 5 heures et 1 minute d'exécution de fcron ». Les multiplicateurs valides sont : | 2 jours => suggestions : ['2\xa0jours']
153 Avec une unité de mesure, mettez un espace insécable. => où fréquence est une valeur de temps de la forme valeur*multiplicateur+valeur*multiplicateur+...+valeur-en-minutes comme « 12h02 » ou « 3w2d5h1 ». La première signifie « 12 heures et 2 minutes d'exécution de fcron » tandis que la seconde signifie « 3 semaines, 2 jours, 5 heures et 1 minute d'exécution de fcron ». Les multiplicateurs valides sont : | 5 heures => suggestions : ['5\xa0heures']
153 Mot inconnu : fcron => où fréquence est une valeur de temps de la forme valeur*multiplicateur+valeur*multiplicateur+...+valeur-en-minutes comme « 12h02 » ou « 3w2d5h1 ». La première signifie « 12 heures et 2 minutes d'exécution de fcron » tandis que la seconde signifie « 3 semaines, 2 jours, 5 heures et 1 minute d'exécution de fcron ». Les multiplicateurs valides sont : | fcron

154 Accord de nombre erroné avec « Multiplicateurs ». => ^ Signification   ^ Multiplicateurs   ^ | signification => suggestions : ['Significations']
154 Espace(s) surnuméraire(s) à supprimer. => ^ Signification   ^ Multiplicateurs   ^ |     => suggestions : [' ']
154 Accord de genre erroné avec « Signification ». => ^ Signification   ^ Multiplicateurs   ^ | multiplicateurs => suggestions : ['Multiplicatrices']
154 Espace(s) surnuméraire(s) à supprimer. => ^ Signification   ^ Multiplicateurs   ^ |     => suggestions : [' ']

155 Espace(s) surnuméraire(s) à supprimer. => | mois     | m | |       => suggestions : [' ']

157 Espace(s) surnuméraire(s) à supprimer. => | jours    | d | |      => suggestions : [' ']

158 Espace(s) surnuméraire(s) à supprimer. => | heures   | h | |     => suggestions : [' ']

168 Il manque un espace avant la parenthèse. => @mailto(root),forcemail 2d /etc/security/msec/cron-sh/security.sh</code> | ( => suggestions : [' (']
168 Mot inconnu : root => @mailto(root),forcemail 2d /etc/security/msec/cron-sh/security.sh</code> | root
168 Mot inconnu : forcemail => @mailto(root),forcemail 2d /etc/security/msec/cron-sh/security.sh</code> | forcemail
168 Nombre ordinal. Second : 2ᵈ. Seconde : 2ᵈᵉ. Seconds : 2ᵈˢ. Secondes : 2ᵈᵉˢ. => @mailto(root),forcemail 2d /etc/security/msec/cron-sh/security.sh</code> | 2d => suggestions : ['2ᵈ']

171 Avec une unité de mesure, mettez un espace insécable. => Ce type d'entrée ne garantit pas une date et heure d'exécution (vu que la tâche est retardée à chaque démarrage du système par le temps écoulé depuis l'arrêt du système), mais peut être pratique pour des tâches dépendant du nombre de choses faites par les utilisateurs (par exemple, il vaudrait mieux vérifier le système de fichiers après un certain nombre d'utilisation par les utilisateurs plutôt que tous les x jours, vu que le système peut être lancé de 1 jour à x jours pendant cet intervalle de x jours). | 1 jour => suggestions : ['1\xa0jour']

180 Guillemets typographiques ouvrants. => <note>Si votre commande doit être lancée graphiquement, il est nécessaire de la précéder de "DISPLAY=:0.0"</note> | " => suggestions : ['«\xa0', '“']
180 Mot inconnu : DISPLAY => <note>Si votre commande doit être lancée graphiquement, il est nécessaire de la précéder de "DISPLAY=:0.0"</note> | display
180 Guillemets typographiques fermants. => <note>Si votre commande doit être lancée graphiquement, il est nécessaire de la précéder de "DISPLAY=:0.0"</note> | " => suggestions : ['\xa0»', '”']

183 Mot inconnu : fcrontab => Les commandes ci-dessus sont stockées dans un fichier **fcrontab** appartenant à votre compte d'utilisateur et exécutées avec votre niveau des permissions. Si vous voulez exécuter, régulièrement, une commande exigeant un plus haut niveau de permission (root), vous devez utiliser le fichier **fcrontab** root (ou racine) : | fcrontab
