2 Mot inconnu : EFI => ======triple amorçage EFI  Ubuntu /Windows 8/Mageia ou autre OS ====== | efi
60 Mot inconnu : Grub => Installer Mageia va donner la main à Grub Legacy : le prochain redémarrage se fera donc sur Mageia  sans les choix W8 ou Ubuntu . | grub
60 Mot inconnu : Legacy => Installer Mageia va donner la main à Grub Legacy : le prochain redémarrage se fera donc sur Mageia  sans les choix W8 ou Ubuntu . | legacy
60 Mot inconnu : Mageia => Installer Mageia va donner la main à Grub Legacy : le prochain redémarrage se fera donc sur Mageia  sans les choix W8 ou Ubuntu . | mageia
60 Espace(s) surnuméraire(s) à supprimer. => Installer Mageia va donner la main à Grub Legacy : le prochain redémarrage se fera donc sur Mageia  sans les choix W8 ou Ubuntu . |    => suggestions : [' ']
60 Mot inconnu : W8 => Installer Mageia va donner la main à Grub Legacy : le prochain redémarrage se fera donc sur Mageia  sans les choix W8 ou Ubuntu . | w8

61 Mot inconnu : Grub2 => Il faudra repasser la main à Grub2 : | grub2

62 Mot inconnu : Rebooter => Rebooter sur le CD Super GRUB2 Disk, choisir Ubuntu et booter dessus. | rebooter
62 Mot inconnu : GRUB2 => Rebooter sur le CD Super GRUB2 Disk, choisir Ubuntu et booter dessus. | grub2
62 Mot inconnu : Disk => Rebooter sur le CD Super GRUB2 Disk, choisir Ubuntu et booter dessus. | disk
62 Mot inconnu : booter => Rebooter sur le CD Super GRUB2 Disk, choisir Ubuntu et booter dessus. | booter

64 Mot inconnu : Mageia => **  Rajouter l'entrée Mageia  à Grub2:** | mageia
64 Espace(s) surnuméraire(s) à supprimer. => **  Rajouter l'entrée Mageia  à Grub2:** |    => suggestions : [' ']
64 Mot inconnu : Grub2 => **  Rajouter l'entrée Mageia  à Grub2:** | grub2

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

85 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

86 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  4.     Changer l'ordre des OS si nécessaire  |   => suggestions : ['']
86 Espace(s) surnuméraire(s) à supprimer. =>  4.     Changer l'ordre des OS si nécessaire  |       => suggestions : [' ']
86 Espace(s) en fin de ligne à supprimer. =>  4.     Changer l'ordre des OS si nécessaire  |   => suggestions : ['']

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  5.     Enregistrer : le prochain démarrage se fera sur Grub2 |   => suggestions : ['']
88 Espace(s) surnuméraire(s) à supprimer. =>  5.     Enregistrer : le prochain démarrage se fera sur Grub2 |       => suggestions : [' ']
88 Mot inconnu : Grub2 =>  5.     Enregistrer : le prochain démarrage se fera sur Grub2 | grub2
