2 Mot inconnu : Gtkmm => ====== Gtkmm  ====== | gtkmm
22 Mot inconnu : Linker =>   * Allez dans Project → Build options → Linker settings → Other linker options, et collez-y ceci : | linker
22 Mot inconnu : settings =>   * Allez dans Project → Build options → Linker settings → Other linker options, et collez-y ceci : | settings
22 Mot inconnu : Other =>   * Allez dans Project → Build options → Linker settings → Other linker options, et collez-y ceci : | other
22 Mot inconnu : linker =>   * Allez dans Project → Build options → Linker settings → Other linker options, et collez-y ceci : | linker

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Entrez un code de base pour gtkmm : |    => suggestions : ['']
25 Mot inconnu : gtkmm =>   * Entrez un code de base pour gtkmm : | gtkmm

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Vous pouvez maintenant écrire et compiler votre projet. Vous pouvez également l'enregistrer comme template : File → save project as user template. Vous pourrez ainsi créer directement dans codeblocks un nouveau projet utilisant gtkmm : File → New → Project → User templates. |    => suggestions : ['']
37 Mot inconnu : template =>   * Vous pouvez maintenant écrire et compiler votre projet. Vous pouvez également l'enregistrer comme template : File → save project as user template. Vous pourrez ainsi créer directement dans codeblocks un nouveau projet utilisant gtkmm : File → New → Project → User templates. | template
37 Mot inconnu : save =>   * Vous pouvez maintenant écrire et compiler votre projet. Vous pouvez également l'enregistrer comme template : File → save project as user template. Vous pourrez ainsi créer directement dans codeblocks un nouveau projet utilisant gtkmm : File → New → Project → User templates. | save
37 Mot inconnu : project =>   * Vous pouvez maintenant écrire et compiler votre projet. Vous pouvez également l'enregistrer comme template : File → save project as user template. Vous pourrez ainsi créer directement dans codeblocks un nouveau projet utilisant gtkmm : File → New → Project → User templates. | project
37 Incohérence probable avec “as” : “user” n’est pas un participe passé. =>   * Vous pouvez maintenant écrire et compiler votre projet. Vous pouvez également l'enregistrer comme template : File → save project as user template. Vous pourrez ainsi créer directement dans codeblocks un nouveau projet utilisant gtkmm : File → New → Project → User templates. | user => suggestions : ['usé']
37 Mot inconnu : template =>   * Vous pouvez maintenant écrire et compiler votre projet. Vous pouvez également l'enregistrer comme template : File → save project as user template. Vous pourrez ainsi créer directement dans codeblocks un nouveau projet utilisant gtkmm : File → New → Project → User templates. | template
37 Mot inconnu : codeblocks =>   * Vous pouvez maintenant écrire et compiler votre projet. Vous pouvez également l'enregistrer comme template : File → save project as user template. Vous pourrez ainsi créer directement dans codeblocks un nouveau projet utilisant gtkmm : File → New → Project → User templates. | codeblocks
37 Mot inconnu : gtkmm =>   * Vous pouvez maintenant écrire et compiler votre projet. Vous pouvez également l'enregistrer comme template : File → save project as user template. Vous pourrez ainsi créer directement dans codeblocks un nouveau projet utilisant gtkmm : File → New → Project → User templates. | gtkmm
37 Mot inconnu : Project =>   * Vous pouvez maintenant écrire et compiler votre projet. Vous pouvez également l'enregistrer comme template : File → save project as user template. Vous pourrez ainsi créer directement dans codeblocks un nouveau projet utilisant gtkmm : File → New → Project → User templates. | project
37 Mot inconnu : templates =>   * Vous pouvez maintenant écrire et compiler votre projet. Vous pouvez également l'enregistrer comme template : File → save project as user template. Vous pourrez ainsi créer directement dans codeblocks un nouveau projet utilisant gtkmm : File → New → Project → User templates. | templates

39 Mot inconnu : gtkmm => Bien sûr, cette démarche doit être adaptée à la version de gtkmm que vous utilisez. Les lignes ci-dessus ont été écrite pour le paquet **gtkmm-3.0**. Mais si vous avez installé le paquet **gtkmm-2.4**, elles doivent être naturellement adaptées de la façon suivante : | gtkmm
39 Accord erroné : “lignes” et “écrite” ne sont pas accordés. Mettez au pluriel. => Bien sûr, cette démarche doit être adaptée à la version de gtkmm que vous utilisez. Les lignes ci-dessus ont été écrite pour le paquet **gtkmm-3.0**. Mais si vous avez installé le paquet **gtkmm-2.4**, elles doivent être naturellement adaptées de la façon suivante : | écrite => suggestions : ['écrites']
39 Mot inconnu : gtkmm-3 => Bien sûr, cette démarche doit être adaptée à la version de gtkmm que vous utilisez. Les lignes ci-dessus ont été écrite pour le paquet **gtkmm-3.0**. Mais si vous avez installé le paquet **gtkmm-2.4**, elles doivent être naturellement adaptées de la façon suivante : | gtkmm-3
39 Mot inconnu : gtkmm-2 => Bien sûr, cette démarche doit être adaptée à la version de gtkmm que vous utilisez. Les lignes ci-dessus ont été écrite pour le paquet **gtkmm-3.0**. Mais si vous avez installé le paquet **gtkmm-2.4**, elles doivent être naturellement adaptées de la façon suivante : | gtkmm-2

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Créez un projet de type « console application » en C++ dans codeblocks. |    => suggestions : ['']
41 Mot inconnu : codeblocks =>   * Créez un projet de type « console application » en C++ dans codeblocks. | codeblocks

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Allez dans Project → Build options → Compiler settings → Other options, et collez-y ceci : |    => suggestions : ['']
42 Mot inconnu : Project =>   * Allez dans Project → Build options → Compiler settings → Other options, et collez-y ceci : | project
42 Mot inconnu : settings =>   * Allez dans Project → Build options → Compiler settings → Other options, et collez-y ceci : | settings
42 Mot inconnu : Other =>   * Allez dans Project → Build options → Compiler settings → Other options, et collez-y ceci : | other

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Allez dans Project → Build options → Linker settings → Other linker options, et collez-y ceci : |    => suggestions : ['']
45 Mot inconnu : Project =>   * Allez dans Project → Build options → Linker settings → Other linker options, et collez-y ceci : | project
45 Mot inconnu : Linker =>   * Allez dans Project → Build options → Linker settings → Other linker options, et collez-y ceci : | linker
45 Mot inconnu : settings =>   * Allez dans Project → Build options → Linker settings → Other linker options, et collez-y ceci : | settings
45 Mot inconnu : Other =>   * Allez dans Project → Build options → Linker settings → Other linker options, et collez-y ceci : | other
45 Mot inconnu : linker =>   * Allez dans Project → Build options → Linker settings → Other linker options, et collez-y ceci : | linker

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Entrez un code de base pour gtkmm : |    => suggestions : ['']
48 Mot inconnu : gtkmm =>   * Entrez un code de base pour gtkmm : | gtkmm

61 Mot inconnu : Codeblocks => Il peut être intéressant, surtout si l'on débute en C++, de compléter l'installation de **Codeblocks** en installant des **exemples de programmes**. On peut trouver de nombreux exemples sur le site [[http://git.gnome.org/browse/gtkmm-documentation/tree/examples/book]] ou encore dans les tutoriels proposés sur le site : [[http://developer.gnome.org/gtkmm-tutorial]]. | codeblocks
62 Mot inconnu : gtkmm => Comme on peut le voir sur les forums, il arrive souvent que ds tentatives d'utilisation de ces exemples se soldent par des erreurs à la compilation ! Ceci est du fait que la version de gtkmm utilisée pour les mettre au point est différente de celle que vous venez d'installer sur votre ordinateur. Deux raisons peuvent induire en erreur : | gtkmm

64 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - la première est que le numéro de version gtkmm n'est pas forcément le même que le numéro de version des paquets(cf. [[http://developer.gnome.org/gtkmm-tutorial/unstable/sec-install-unix-and-linux.html.fr#sec-linux-install-from-packages]] ). Si l'on constate des erreurs à la compilation, il peut être intéressant de tester la compilation pour des versions de numéro voisins. | -  => suggestions : ['—\xa0', '–\xa0']
64 Mot inconnu : gtkmm => - la première est que le numéro de version gtkmm n'est pas forcément le même que le numéro de version des paquets(cf. [[http://developer.gnome.org/gtkmm-tutorial/unstable/sec-install-unix-and-linux.html.fr#sec-linux-install-from-packages]] ). Si l'on constate des erreurs à la compilation, il peut être intéressant de tester la compilation pour des versions de numéro voisins. | gtkmm
64 Il manque un espace avant la parenthèse. => - la première est que le numéro de version gtkmm n'est pas forcément le même que le numéro de version des paquets(cf. [[http://developer.gnome.org/gtkmm-tutorial/unstable/sec-install-unix-and-linux.html.fr#sec-linux-install-from-packages]] ). Si l'on constate des erreurs à la compilation, il peut être intéressant de tester la compilation pour des versions de numéro voisins. | ( => suggestions : [' (']
64 Pas d’espace avant ce signe. => - la première est que le numéro de version gtkmm n'est pas forcément le même que le numéro de version des paquets(cf. [[http://developer.gnome.org/gtkmm-tutorial/unstable/sec-install-unix-and-linux.html.fr#sec-linux-install-from-packages]] ). Si l'on constate des erreurs à la compilation, il peut être intéressant de tester la compilation pour des versions de numéro voisins. |  ) => suggestions : [')']

66 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - la deuxième raison est que le numéro de la version de gtkmm qui correspond à ces programmes n'est pas inscrite dans les commentaires du code de ces programmes. Une fois ces programmes récupérés, si vous n'avez pas fait attention au numéro de version au moment où vous les avez récupérés, vous n'avez plus de moyens pour le retrouver.  | -  => suggestions : ['—\xa0', '–\xa0']
66 Mot inconnu : gtkmm => - la deuxième raison est que le numéro de la version de gtkmm qui correspond à ces programmes n'est pas inscrite dans les commentaires du code de ces programmes. Une fois ces programmes récupérés, si vous n'avez pas fait attention au numéro de version au moment où vous les avez récupérés, vous n'avez plus de moyens pour le retrouver.  | gtkmm
66 Espace(s) en fin de ligne à supprimer. => - la deuxième raison est que le numéro de la version de gtkmm qui correspond à ces programmes n'est pas inscrite dans les commentaires du code de ces programmes. Une fois ces programmes récupérés, si vous n'avez pas fait attention au numéro de version au moment où vous les avez récupérés, vous n'avez plus de moyens pour le retrouver.  |   => suggestions : ['']

68 Mot inconnu : gtkmm => Voici quelques conseils pour vous aider à récupérer la bonne version du code de ces programmes exemples. Nous supposons que vous avez installé **gtkmm 3.0** à partir du paquet synaptic d'Ubuntu. Notre objectif est donc d'obtenir la version 3.0 des programmes exemples. Ces programmes sont stockés sur le site [[http://git.gnome.org/browse/gtkmm-documentation/tree/examples/book]]. Ce site est un repository git. Il nous faut donc installer git pour y avoir facilement accès. | gtkmm
68 Mot inconnu : synaptic => Voici quelques conseils pour vous aider à récupérer la bonne version du code de ces programmes exemples. Nous supposons que vous avez installé **gtkmm 3.0** à partir du paquet synaptic d'Ubuntu. Notre objectif est donc d'obtenir la version 3.0 des programmes exemples. Ces programmes sont stockés sur le site [[http://git.gnome.org/browse/gtkmm-documentation/tree/examples/book]]. Ce site est un repository git. Il nous faut donc installer git pour y avoir facilement accès. | synaptic
68 Mot inconnu : repository => Voici quelques conseils pour vous aider à récupérer la bonne version du code de ces programmes exemples. Nous supposons que vous avez installé **gtkmm 3.0** à partir du paquet synaptic d'Ubuntu. Notre objectif est donc d'obtenir la version 3.0 des programmes exemples. Ces programmes sont stockés sur le site [[http://git.gnome.org/browse/gtkmm-documentation/tree/examples/book]]. Ce site est un repository git. Il nous faut donc installer git pour y avoir facilement accès. | repository

70 Incohérence : “à” est une préposition. “git” est un verbe conjugué. => Il existe de nombreux tutoriels d'introduction à git. En fait ils sont écrit pour des développeurs et sont trop compliqués pour l'utilisation que nous voulons en faire. | git => suggestions : []
70 Accord avec le sujet “ils” : “écrit” devrait être au masculin pluriel. => Il existe de nombreux tutoriels d'introduction à git. En fait ils sont écrit pour des développeurs et sont trop compliqués pour l'utilisation que nous voulons en faire. | écrit => suggestions : ['écrits']

74 Mot inconnu : repository => Ensuite il faut se placer dans le répertoire où l'on veut stocker les exemples et cloner le repository git : | repository

76 Pas d’espace après ce signe. => Par défaut cela nous donne la version de développement ( puisque c'est un outils pour les développeurs ). On peut se renseigner sur les versions disponibles avec la commande : | (  => suggestions : ['(']
76 Accord de nombre erroné : « outils » devrait être au singulier. => Par défaut cela nous donne la version de développement ( puisque c'est un outils pour les développeurs ). On peut se renseigner sur les versions disponibles avec la commande : | outils => suggestions : ['outil']
76 Pas d’espace avant ce signe. => Par défaut cela nous donne la version de développement ( puisque c'est un outils pour les développeurs ). On peut se renseigner sur les versions disponibles avec la commande : |  ) => suggestions : [')']

78 Mot inconnu : MonRepertoirePourLesExemples => ~/MonRepertoirePourLesExemples/gtkmm-documentation$ git tag</code> | monrepertoirepourlesexemples
78 Mot inconnu : gtkmm-documentation => ~/MonRepertoirePourLesExemples/gtkmm-documentation$ git tag</code> | gtkmm-documentation

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * On ouvre un nouveau projet en utilisant le nouveau type de projet que vous avez créé en suivant les indications ci-dessus. C'est-à-dire : File → New → Project → From templates... et vous choisissez le modèle que vous venez de créer pour **gtkmm-3.0**. |    => suggestions : ['']
84 Mot inconnu : Project =>   * On ouvre un nouveau projet en utilisant le nouveau type de projet que vous avez créé en suivant les indications ci-dessus. C'est-à-dire : File → New → Project → From templates... et vous choisissez le modèle que vous venez de créer pour **gtkmm-3.0**. | project
84 Mot inconnu : From =>   * On ouvre un nouveau projet en utilisant le nouveau type de projet que vous avez créé en suivant les indications ci-dessus. C'est-à-dire : File → New → Project → From templates... et vous choisissez le modèle que vous venez de créer pour **gtkmm-3.0**. | from
84 Mot inconnu : templates =>   * On ouvre un nouveau projet en utilisant le nouveau type de projet que vous avez créé en suivant les indications ci-dessus. C'est-à-dire : File → New → Project → From templates... et vous choisissez le modèle que vous venez de créer pour **gtkmm-3.0**. | templates
84 Typographie : points de suspension. Utilisez le caractère dédié. =>   * On ouvre un nouveau projet en utilisant le nouveau type de projet que vous avez créé en suivant les indications ci-dessus. C'est-à-dire : File → New → Project → From templates... et vous choisissez le modèle que vous venez de créer pour **gtkmm-3.0**. | ... => suggestions : ['…']
84 Mot inconnu : gtkmm-3 =>   * On ouvre un nouveau projet en utilisant le nouveau type de projet que vous avez créé en suivant les indications ci-dessus. C'est-à-dire : File → New → Project → From templates... et vous choisissez le modèle que vous venez de créer pour **gtkmm-3.0**. | gtkmm-3

85 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Une fenêtre de dialogue vous demande alors de choisir le répertoire de travail. Et vous choisissez le répertoire dans lequel se trouve les sources du programme qui vous intéresse. Vous confirmez que vous n'avez pas peur d'écraser les fichiers. En fait, il n'y aura pas d'écrasement de fichier puisque vous n'écrivez alors qu'un fichier un fichier projet **Codeblock** (*.cbp), un fichier XML (*.layout) et un seul fichier source "main.cpp" qui contient tout simplement le code base entré pour créer votre "User Template". Ce fichier ne va pas écraser le fichier initial du programme exemple car celui-ci s'intitule "main.cc". |    => suggestions : ['']
85 Conjugaison erronée. Accord avec “les sources…”. Le verbe devrait être à la 3ᵉ personne du pluriel. =>   * Une fenêtre de dialogue vous demande alors de choisir le répertoire de travail. Et vous choisissez le répertoire dans lequel se trouve les sources du programme qui vous intéresse. Vous confirmez que vous n'avez pas peur d'écraser les fichiers. En fait, il n'y aura pas d'écrasement de fichier puisque vous n'écrivez alors qu'un fichier un fichier projet **Codeblock** (*.cbp), un fichier XML (*.layout) et un seul fichier source "main.cpp" qui contient tout simplement le code base entré pour créer votre "User Template". Ce fichier ne va pas écraser le fichier initial du programme exemple car celui-ci s'intitule "main.cc". | trouve => suggestions : ['trouvent']
85 Mot inconnu : Codeblock =>   * Une fenêtre de dialogue vous demande alors de choisir le répertoire de travail. Et vous choisissez le répertoire dans lequel se trouve les sources du programme qui vous intéresse. Vous confirmez que vous n'avez pas peur d'écraser les fichiers. En fait, il n'y aura pas d'écrasement de fichier puisque vous n'écrivez alors qu'un fichier un fichier projet **Codeblock** (*.cbp), un fichier XML (*.layout) et un seul fichier source "main.cpp" qui contient tout simplement le code base entré pour créer votre "User Template". Ce fichier ne va pas écraser le fichier initial du programme exemple car celui-ci s'intitule "main.cc". | codeblock
85 Mot inconnu : cbp =>   * Une fenêtre de dialogue vous demande alors de choisir le répertoire de travail. Et vous choisissez le répertoire dans lequel se trouve les sources du programme qui vous intéresse. Vous confirmez que vous n'avez pas peur d'écraser les fichiers. En fait, il n'y aura pas d'écrasement de fichier puisque vous n'écrivez alors qu'un fichier un fichier projet **Codeblock** (*.cbp), un fichier XML (*.layout) et un seul fichier source "main.cpp" qui contient tout simplement le code base entré pour créer votre "User Template". Ce fichier ne va pas écraser le fichier initial du programme exemple car celui-ci s'intitule "main.cc". | cbp
85 Mot inconnu : layout =>   * Une fenêtre de dialogue vous demande alors de choisir le répertoire de travail. Et vous choisissez le répertoire dans lequel se trouve les sources du programme qui vous intéresse. Vous confirmez que vous n'avez pas peur d'écraser les fichiers. En fait, il n'y aura pas d'écrasement de fichier puisque vous n'écrivez alors qu'un fichier un fichier projet **Codeblock** (*.cbp), un fichier XML (*.layout) et un seul fichier source "main.cpp" qui contient tout simplement le code base entré pour créer votre "User Template". Ce fichier ne va pas écraser le fichier initial du programme exemple car celui-ci s'intitule "main.cc". | layout
85 Guillemets typographiques ouvrants. =>   * Une fenêtre de dialogue vous demande alors de choisir le répertoire de travail. Et vous choisissez le répertoire dans lequel se trouve les sources du programme qui vous intéresse. Vous confirmez que vous n'avez pas peur d'écraser les fichiers. En fait, il n'y aura pas d'écrasement de fichier puisque vous n'écrivez alors qu'un fichier un fichier projet **Codeblock** (*.cbp), un fichier XML (*.layout) et un seul fichier source "main.cpp" qui contient tout simplement le code base entré pour créer votre "User Template". Ce fichier ne va pas écraser le fichier initial du programme exemple car celui-ci s'intitule "main.cc". | " => suggestions : ['«\xa0', '“']
85 Mot inconnu : cpp =>   * Une fenêtre de dialogue vous demande alors de choisir le répertoire de travail. Et vous choisissez le répertoire dans lequel se trouve les sources du programme qui vous intéresse. Vous confirmez que vous n'avez pas peur d'écraser les fichiers. En fait, il n'y aura pas d'écrasement de fichier puisque vous n'écrivez alors qu'un fichier un fichier projet **Codeblock** (*.cbp), un fichier XML (*.layout) et un seul fichier source "main.cpp" qui contient tout simplement le code base entré pour créer votre "User Template". Ce fichier ne va pas écraser le fichier initial du programme exemple car celui-ci s'intitule "main.cc". | cpp
85 Guillemets typographiques fermants. =>   * Une fenêtre de dialogue vous demande alors de choisir le répertoire de travail. Et vous choisissez le répertoire dans lequel se trouve les sources du programme qui vous intéresse. Vous confirmez que vous n'avez pas peur d'écraser les fichiers. En fait, il n'y aura pas d'écrasement de fichier puisque vous n'écrivez alors qu'un fichier un fichier projet **Codeblock** (*.cbp), un fichier XML (*.layout) et un seul fichier source "main.cpp" qui contient tout simplement le code base entré pour créer votre "User Template". Ce fichier ne va pas écraser le fichier initial du programme exemple car celui-ci s'intitule "main.cc". | " => suggestions : ['\xa0»', '”']
85 Guillemets typographiques ouvrants. =>   * Une fenêtre de dialogue vous demande alors de choisir le répertoire de travail. Et vous choisissez le répertoire dans lequel se trouve les sources du programme qui vous intéresse. Vous confirmez que vous n'avez pas peur d'écraser les fichiers. En fait, il n'y aura pas d'écrasement de fichier puisque vous n'écrivez alors qu'un fichier un fichier projet **Codeblock** (*.cbp), un fichier XML (*.layout) et un seul fichier source "main.cpp" qui contient tout simplement le code base entré pour créer votre "User Template". Ce fichier ne va pas écraser le fichier initial du programme exemple car celui-ci s'intitule "main.cc". | " => suggestions : ['«\xa0', '“']
85 Mot inconnu : Template =>   * Une fenêtre de dialogue vous demande alors de choisir le répertoire de travail. Et vous choisissez le répertoire dans lequel se trouve les sources du programme qui vous intéresse. Vous confirmez que vous n'avez pas peur d'écraser les fichiers. En fait, il n'y aura pas d'écrasement de fichier puisque vous n'écrivez alors qu'un fichier un fichier projet **Codeblock** (*.cbp), un fichier XML (*.layout) et un seul fichier source "main.cpp" qui contient tout simplement le code base entré pour créer votre "User Template". Ce fichier ne va pas écraser le fichier initial du programme exemple car celui-ci s'intitule "main.cc". | template
85 Guillemets typographiques fermants. =>   * Une fenêtre de dialogue vous demande alors de choisir le répertoire de travail. Et vous choisissez le répertoire dans lequel se trouve les sources du programme qui vous intéresse. Vous confirmez que vous n'avez pas peur d'écraser les fichiers. En fait, il n'y aura pas d'écrasement de fichier puisque vous n'écrivez alors qu'un fichier un fichier projet **Codeblock** (*.cbp), un fichier XML (*.layout) et un seul fichier source "main.cpp" qui contient tout simplement le code base entré pour créer votre "User Template". Ce fichier ne va pas écraser le fichier initial du programme exemple car celui-ci s'intitule "main.cc". | " => suggestions : ['\xa0»', '”']
85 Guillemets typographiques ouvrants. =>   * Une fenêtre de dialogue vous demande alors de choisir le répertoire de travail. Et vous choisissez le répertoire dans lequel se trouve les sources du programme qui vous intéresse. Vous confirmez que vous n'avez pas peur d'écraser les fichiers. En fait, il n'y aura pas d'écrasement de fichier puisque vous n'écrivez alors qu'un fichier un fichier projet **Codeblock** (*.cbp), un fichier XML (*.layout) et un seul fichier source "main.cpp" qui contient tout simplement le code base entré pour créer votre "User Template". Ce fichier ne va pas écraser le fichier initial du programme exemple car celui-ci s'intitule "main.cc". | " => suggestions : ['«\xa0', '“']
85 Mot inconnu : cc =>   * Une fenêtre de dialogue vous demande alors de choisir le répertoire de travail. Et vous choisissez le répertoire dans lequel se trouve les sources du programme qui vous intéresse. Vous confirmez que vous n'avez pas peur d'écraser les fichiers. En fait, il n'y aura pas d'écrasement de fichier puisque vous n'écrivez alors qu'un fichier un fichier projet **Codeblock** (*.cbp), un fichier XML (*.layout) et un seul fichier source "main.cpp" qui contient tout simplement le code base entré pour créer votre "User Template". Ce fichier ne va pas écraser le fichier initial du programme exemple car celui-ci s'intitule "main.cc". | cc
85 Guillemets typographiques fermants. =>   * Une fenêtre de dialogue vous demande alors de choisir le répertoire de travail. Et vous choisissez le répertoire dans lequel se trouve les sources du programme qui vous intéresse. Vous confirmez que vous n'avez pas peur d'écraser les fichiers. En fait, il n'y aura pas d'écrasement de fichier puisque vous n'écrivez alors qu'un fichier un fichier projet **Codeblock** (*.cbp), un fichier XML (*.layout) et un seul fichier source "main.cpp" qui contient tout simplement le code base entré pour créer votre "User Template". Ce fichier ne va pas écraser le fichier initial du programme exemple car celui-ci s'intitule "main.cc". | " => suggestions : ['\xa0»', '”']

86 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ensuite on peut ajouter à notre projet **Codeblock** les fichiers sources du programme exemple (*.h et *.cc). Pour ce faire, allez dans  Project  → Add files recursively... et sélectionnez tous les fichiers sources du programme exemple qui vous sont proposés. |    => suggestions : ['']
86 Mot inconnu : Codeblock =>   * Ensuite on peut ajouter à notre projet **Codeblock** les fichiers sources du programme exemple (*.h et *.cc). Pour ce faire, allez dans  Project  → Add files recursively... et sélectionnez tous les fichiers sources du programme exemple qui vous sont proposés. | codeblock
86 Mot inconnu : cc =>   * Ensuite on peut ajouter à notre projet **Codeblock** les fichiers sources du programme exemple (*.h et *.cc). Pour ce faire, allez dans  Project  → Add files recursively... et sélectionnez tous les fichiers sources du programme exemple qui vous sont proposés. | cc
86 Espace(s) surnuméraire(s) à supprimer. =>   * Ensuite on peut ajouter à notre projet **Codeblock** les fichiers sources du programme exemple (*.h et *.cc). Pour ce faire, allez dans  Project  → Add files recursively... et sélectionnez tous les fichiers sources du programme exemple qui vous sont proposés. |    => suggestions : [' ']
