
4 Mot inconnu : lm-sensors => ====== lm-sensors : utiliser les capteurs matériels ====== | lm-sensors
165 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ☝ vous demande de __valider chaque choix__  |   => suggestions : ['']
165 Mot inconnu : __valider =>  ☝ vous demande de __valider chaque choix__  | __valider
165 Mot inconnu : choix__ =>  ☝ vous demande de __valider chaque choix__  | choix__
165 Espace(s) en fin de ligne à supprimer. =>  ☝ vous demande de __valider chaque choix__  |   => suggestions : ['']

167 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ☛ seuil de température minimum, \\ |   => suggestions : ['']

168 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ☛ seuil de température maximum, \\ |   => suggestions : ['']

169 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ☛ etc… |   => suggestions : ['']
169 Un seul point après « etc. » =>  ☛ etc… | etc… => suggestions : ['etc.']

170 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

171 Mot inconnu : fancontrol => Afin de lancer **fancontrol** au démarrage, \\ | fancontrol

175 Espace(s) en fin de ligne à supprimer. => puis  |   => suggestions : ['']

177 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * copiez-collez le contenu suivant :  |    => suggestions : ['']
177 Espace(s) en fin de ligne à supprimer. =>   * copiez-collez le contenu suivant :  |   => suggestions : ['']

183 Mot inconnu : Fancontrol => # Fancontrol start script. | fancontrol
183 Mot inconnu : start => # Fancontrol start script. | start

186 Il manque un espace à côté du tiret. => set -e |  - => suggestions : [' – ', ' — ']

188 Mot inconnu : Defaults => # Defaults | defaults

189 Mot inconnu : DAEMON => DAEMON=/usr/sbin/fancontrol | daemon

191 Mot inconnu : PIDFILE => PIDFILE=/run/fancontrol.pid | pidfile
191 Mot inconnu : run => PIDFILE=/run/fancontrol.pid | run
191 Mot inconnu : fancontrol => PIDFILE=/run/fancontrol.pid | fancontrol
191 Mot inconnu : pid => PIDFILE=/run/fancontrol.pid | pid

192 Mot inconnu : PATH => PATH=/sbin:/bin:/usr/sbin:/usr/bin | path

194 Il manque un espace à côté du tiret. => test -f $DAEMON || exit 0 |  - => suggestions : [' – ', ' — ']
194 Mot inconnu : DAEMON => test -f $DAEMON || exit 0 | daemon

198 Guillemets typographiques fermants. => case "$1" in | " => suggestions : ['\xa0»', '”']

199 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>        start) |         => suggestions : ['']
199 Mot inconnu : start =>        start) | start

200 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                log_begin_msg "(en) : Starting fancontrol daemon... ; (fr) : Démarrage du service fancontrol…" |                 => suggestions : ['']
200 Mot inconnu : log_begin_msg =>                log_begin_msg "(en) : Starting fancontrol daemon... ; (fr) : Démarrage du service fancontrol…" | log_begin_msg
200 Mot inconnu : Starting =>                log_begin_msg "(en) : Starting fancontrol daemon... ; (fr) : Démarrage du service fancontrol…" | starting
200 Mot inconnu : fancontrol =>                log_begin_msg "(en) : Starting fancontrol daemon... ; (fr) : Démarrage du service fancontrol…" | fancontrol
200 Mot inconnu : daemon =>                log_begin_msg "(en) : Starting fancontrol daemon... ; (fr) : Démarrage du service fancontrol…" | daemon
200 Typographie : points de suspension. Utilisez le caractère dédié. =>                log_begin_msg "(en) : Starting fancontrol daemon... ; (fr) : Démarrage du service fancontrol…" | ... => suggestions : ['…']
200 Mot inconnu : fancontrol =>                log_begin_msg "(en) : Starting fancontrol daemon... ; (fr) : Démarrage du service fancontrol…" | fancontrol
200 Guillemets typographiques fermants. =>                log_begin_msg "(en) : Starting fancontrol daemon... ; (fr) : Démarrage du service fancontrol…" | " => suggestions : ['\xa0»', '”']

201 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                start-stop-daemon --start -o -q -m -b -p $PIDFILE -x $DAEMON $CONF |                 => suggestions : ['']
201 Mot inconnu : start-stop-daemon =>                start-stop-daemon --start -o -q -m -b -p $PIDFILE -x $DAEMON $CONF | start-stop-daemon
201 Mot inconnu : start =>                start-stop-daemon --start -o -q -m -b -p $PIDFILE -x $DAEMON $CONF | start
201 Mot inconnu : PIDFILE =>                start-stop-daemon --start -o -q -m -b -p $PIDFILE -x $DAEMON $CONF | pidfile
201 Il manque un espace à côté du tiret. =>                start-stop-daemon --start -o -q -m -b -p $PIDFILE -x $DAEMON $CONF |  - => suggestions : [' – ', ' — ']
201 Mot inconnu : DAEMON =>                start-stop-daemon --start -o -q -m -b -p $PIDFILE -x $DAEMON $CONF | daemon

202 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                log_end_msg $? |                 => suggestions : ['']
202 Mot inconnu : log_end_msg =>                log_end_msg $? | log_end_msg

203 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                ;; |                 => suggestions : ['']
203 Une de ces ponctuations est superflue. =>                ;; | ;; => suggestions : [';', ';']

204 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>        stop) |         => suggestions : ['']

205 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                log_begin_msg "(en) : Stopping fancontrol daemon... ; (fr) : Arrêt du service fancontrol…" |                 => suggestions : ['']
205 Mot inconnu : log_begin_msg =>                log_begin_msg "(en) : Stopping fancontrol daemon... ; (fr) : Arrêt du service fancontrol…" | log_begin_msg
205 Mot inconnu : Stopping =>                log_begin_msg "(en) : Stopping fancontrol daemon... ; (fr) : Arrêt du service fancontrol…" | stopping
205 Mot inconnu : fancontrol =>                log_begin_msg "(en) : Stopping fancontrol daemon... ; (fr) : Arrêt du service fancontrol…" | fancontrol
205 Mot inconnu : daemon =>                log_begin_msg "(en) : Stopping fancontrol daemon... ; (fr) : Arrêt du service fancontrol…" | daemon
205 Typographie : points de suspension. Utilisez le caractère dédié. =>                log_begin_msg "(en) : Stopping fancontrol daemon... ; (fr) : Arrêt du service fancontrol…" | ... => suggestions : ['…']
205 Mot inconnu : fancontrol =>                log_begin_msg "(en) : Stopping fancontrol daemon... ; (fr) : Arrêt du service fancontrol…" | fancontrol
205 Guillemets typographiques fermants. =>                log_begin_msg "(en) : Stopping fancontrol daemon... ; (fr) : Arrêt du service fancontrol…" | " => suggestions : ['\xa0»', '”']

206 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                start-stop-daemon --stop -o -q -p $PIDFILE |                 => suggestions : ['']
206 Mot inconnu : start-stop-daemon =>                start-stop-daemon --stop -o -q -p $PIDFILE | start-stop-daemon
206 Mot inconnu : PIDFILE =>                start-stop-daemon --stop -o -q -p $PIDFILE | pidfile

207 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                log_end_msg $? |                 => suggestions : ['']
207 Mot inconnu : log_end_msg =>                log_end_msg $? | log_end_msg

208 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                rm -f $PIDFILE |                 => suggestions : ['']
208 Mot inconnu : rm =>                rm -f $PIDFILE | rm
208 Il manque un espace à côté du tiret. =>                rm -f $PIDFILE |  - => suggestions : [' – ', ' — ']
208 Mot inconnu : PIDFILE =>                rm -f $PIDFILE | pidfile

209 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                ;; |                 => suggestions : ['']
209 Une de ces ponctuations est superflue. =>                ;; | ;; => suggestions : [';', ';']

210 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>        force-reload|restart) |         => suggestions : ['']
210 Mot inconnu : force-reload =>        force-reload|restart) | force-reload
210 Mot inconnu : restart =>        force-reload|restart) | restart

211 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                sh $0 stop |                 => suggestions : ['']
211 Mot inconnu : sh =>                sh $0 stop | sh

212 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                sh $0 start |                 => suggestions : ['']
212 Mot inconnu : sh =>                sh $0 start | sh
212 Mot inconnu : start =>                sh $0 start | start

213 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                ;; |                 => suggestions : ['']
213 Une de ces ponctuations est superflue. =>                ;; | ;; => suggestions : [';', ';']

214 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>        *) |         => suggestions : ['']

215 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                log_success_msg "  (en) : Usage: /etc/init.d/fancontrol {start|stop|restart|force-reload} — (fr) : Usage : /etc/init.d/fancontrol {démarrage|arrêt|redémarrage|chargement-mémoire}" |                 => suggestions : ['']
215 Mot inconnu : log_success_msg =>                log_success_msg "  (en) : Usage: /etc/init.d/fancontrol {start|stop|restart|force-reload} — (fr) : Usage : /etc/init.d/fancontrol {démarrage|arrêt|redémarrage|chargement-mémoire}" | log_success_msg
215 Guillemets isolés. =>                log_success_msg "  (en) : Usage: /etc/init.d/fancontrol {start|stop|restart|force-reload} — (fr) : Usage : /etc/init.d/fancontrol {démarrage|arrêt|redémarrage|chargement-mémoire}" |  "  => suggestions : [' «\xa0', '\xa0» ', ' “', '” ']
215 Mot inconnu : start =>                log_success_msg "  (en) : Usage: /etc/init.d/fancontrol {start|stop|restart|force-reload} — (fr) : Usage : /etc/init.d/fancontrol {démarrage|arrêt|redémarrage|chargement-mémoire}" | start
215 Mot inconnu : restart =>                log_success_msg "  (en) : Usage: /etc/init.d/fancontrol {start|stop|restart|force-reload} — (fr) : Usage : /etc/init.d/fancontrol {démarrage|arrêt|redémarrage|chargement-mémoire}" | restart
215 Mot inconnu : force-reload =>                log_success_msg "  (en) : Usage: /etc/init.d/fancontrol {start|stop|restart|force-reload} — (fr) : Usage : /etc/init.d/fancontrol {démarrage|arrêt|redémarrage|chargement-mémoire}" | force-reload

216 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                log_success_msg "  (en) : start - starts system-wide fancontrol service — (fr) :  démarrage - démarre un service fancontrol de type système global" |                 => suggestions : ['']
216 Mot inconnu : log_success_msg =>                log_success_msg "  (en) : start - starts system-wide fancontrol service — (fr) :  démarrage - démarre un service fancontrol de type système global" | log_success_msg
216 Guillemets isolés. =>                log_success_msg "  (en) : start - starts system-wide fancontrol service — (fr) :  démarrage - démarre un service fancontrol de type système global" |  "  => suggestions : [' «\xa0', '\xa0» ', ' “', '” ']
216 Mot inconnu : start =>                log_success_msg "  (en) : start - starts system-wide fancontrol service — (fr) :  démarrage - démarre un service fancontrol de type système global" | start
216 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>                log_success_msg "  (en) : start - starts system-wide fancontrol service — (fr) :  démarrage - démarre un service fancontrol de type système global" |  -  => suggestions : [' – ', ' — ', ' − ']
216 Mot inconnu : starts =>                log_success_msg "  (en) : start - starts system-wide fancontrol service — (fr) :  démarrage - démarre un service fancontrol de type système global" | starts
216 Mot inconnu : system-wide =>                log_success_msg "  (en) : start - starts system-wide fancontrol service — (fr) :  démarrage - démarre un service fancontrol de type système global" | system-wide
216 Mot inconnu : fancontrol =>                log_success_msg "  (en) : start - starts system-wide fancontrol service — (fr) :  démarrage - démarre un service fancontrol de type système global" | fancontrol
