
4 Mot inconnu : Mupen64Plus => ====== Mupen64Plus – La Nintendo 64 sous Ubuntu ====== | mupen64plus
24 Mot inconnu : mupen64plus-qt =>   * avec **mupen64plus-qt**, cliquez le lien suivant : [[apt>libmupen64plus2,mupen64plus-input-sdl,mupen64plus-audio-sdl,mupen64plus-rsp-hle,mupen64plus-video-glide64mk2,mupen64plus-video-rice,mupen64plus-ui-console,mupen64plus-qt]] | mupen64plus-qt
24 Mot inconnu : libmupen64plus2 =>   * avec **mupen64plus-qt**, cliquez le lien suivant : [[apt>libmupen64plus2,mupen64plus-input-sdl,mupen64plus-audio-sdl,mupen64plus-rsp-hle,mupen64plus-video-glide64mk2,mupen64plus-video-rice,mupen64plus-ui-console,mupen64plus-qt]] | libmupen64plus2
24 Il manque un espace. =>   * avec **mupen64plus-qt**, cliquez le lien suivant : [[apt>libmupen64plus2,mupen64plus-input-sdl,mupen64plus-audio-sdl,mupen64plus-rsp-hle,mupen64plus-video-glide64mk2,mupen64plus-video-rice,mupen64plus-ui-console,mupen64plus-qt]] | mupen64plus-input-sdl => suggestions : [' mupen64plus-input-sdl']
24 Mot inconnu : mupen64plus-input-sdl =>   * avec **mupen64plus-qt**, cliquez le lien suivant : [[apt>libmupen64plus2,mupen64plus-input-sdl,mupen64plus-audio-sdl,mupen64plus-rsp-hle,mupen64plus-video-glide64mk2,mupen64plus-video-rice,mupen64plus-ui-console,mupen64plus-qt]] | mupen64plus-input-sdl
24 Mot inconnu : mupen64plus-audio-sdl =>   * avec **mupen64plus-qt**, cliquez le lien suivant : [[apt>libmupen64plus2,mupen64plus-input-sdl,mupen64plus-audio-sdl,mupen64plus-rsp-hle,mupen64plus-video-glide64mk2,mupen64plus-video-rice,mupen64plus-ui-console,mupen64plus-qt]] | mupen64plus-audio-sdl
24 Il manque un espace. =>   * avec **mupen64plus-qt**, cliquez le lien suivant : [[apt>libmupen64plus2,mupen64plus-input-sdl,mupen64plus-audio-sdl,mupen64plus-rsp-hle,mupen64plus-video-glide64mk2,mupen64plus-video-rice,mupen64plus-ui-console,mupen64plus-qt]] | mupen64plus-rsp-hle => suggestions : [' mupen64plus-rsp-hle']
24 Mot inconnu : mupen64plus-rsp-hle =>   * avec **mupen64plus-qt**, cliquez le lien suivant : [[apt>libmupen64plus2,mupen64plus-input-sdl,mupen64plus-audio-sdl,mupen64plus-rsp-hle,mupen64plus-video-glide64mk2,mupen64plus-video-rice,mupen64plus-ui-console,mupen64plus-qt]] | mupen64plus-rsp-hle
24 Mot inconnu : mupen64plus-video-glide64mk2 =>   * avec **mupen64plus-qt**, cliquez le lien suivant : [[apt>libmupen64plus2,mupen64plus-input-sdl,mupen64plus-audio-sdl,mupen64plus-rsp-hle,mupen64plus-video-glide64mk2,mupen64plus-video-rice,mupen64plus-ui-console,mupen64plus-qt]] | mupen64plus-video-glide64mk2
24 Il manque un espace. =>   * avec **mupen64plus-qt**, cliquez le lien suivant : [[apt>libmupen64plus2,mupen64plus-input-sdl,mupen64plus-audio-sdl,mupen64plus-rsp-hle,mupen64plus-video-glide64mk2,mupen64plus-video-rice,mupen64plus-ui-console,mupen64plus-qt]] | mupen64plus-video-rice => suggestions : [' mupen64plus-video-rice']
24 Mot inconnu : mupen64plus-video-rice =>   * avec **mupen64plus-qt**, cliquez le lien suivant : [[apt>libmupen64plus2,mupen64plus-input-sdl,mupen64plus-audio-sdl,mupen64plus-rsp-hle,mupen64plus-video-glide64mk2,mupen64plus-video-rice,mupen64plus-ui-console,mupen64plus-qt]] | mupen64plus-video-rice
24 Mot inconnu : mupen64plus-ui-console =>   * avec **mupen64plus-qt**, cliquez le lien suivant : [[apt>libmupen64plus2,mupen64plus-input-sdl,mupen64plus-audio-sdl,mupen64plus-rsp-hle,mupen64plus-video-glide64mk2,mupen64plus-video-rice,mupen64plus-ui-console,mupen64plus-qt]] | mupen64plus-ui-console
24 Il manque un espace. =>   * avec **mupen64plus-qt**, cliquez le lien suivant : [[apt>libmupen64plus2,mupen64plus-input-sdl,mupen64plus-audio-sdl,mupen64plus-rsp-hle,mupen64plus-video-glide64mk2,mupen64plus-video-rice,mupen64plus-ui-console,mupen64plus-qt]] | mupen64plus-qt => suggestions : [' mupen64plus-qt']
24 Mot inconnu : mupen64plus-qt =>   * avec **mupen64plus-qt**, cliquez le lien suivant : [[apt>libmupen64plus2,mupen64plus-input-sdl,mupen64plus-audio-sdl,mupen64plus-rsp-hle,mupen64plus-video-glide64mk2,mupen64plus-video-rice,mupen64plus-ui-console,mupen64plus-qt]] | mupen64plus-qt

26 Mot inconnu : m64p => ==== m64p : le pack complet et à jour (Payant)==== | m64p
28 Mot inconnu : Mupen64Plus => [[https://m64p.github.io/|m64p]] propose Mupen64Plus à jour, les plugins GLideN64 et AngrylionPlus et une interface graphique de base. C'est le plus simple et le plus rapide pour jouer : configurez votre manette et chargez une ROM. Une donation d'un euro minimum est demandé. | mupen64plus
28 Mot inconnu : GLideN64 => [[https://m64p.github.io/|m64p]] propose Mupen64Plus à jour, les plugins GLideN64 et AngrylionPlus et une interface graphique de base. C'est le plus simple et le plus rapide pour jouer : configurez votre manette et chargez une ROM. Une donation d'un euro minimum est demandé. | gliden64
28 Mot inconnu : AngrylionPlus => [[https://m64p.github.io/|m64p]] propose Mupen64Plus à jour, les plugins GLideN64 et AngrylionPlus et une interface graphique de base. C'est le plus simple et le plus rapide pour jouer : configurez votre manette et chargez une ROM. Une donation d'un euro minimum est demandé. | angrylionplus

32 Mot inconnu : Mupen64Plus => Pour compiler soi-même Mupen64Plus : | mupen64plus

35 Mot inconnu : make => make all</code> | make
35 Mot inconnu : all => make all</code> | all

38 Mot inconnu : Mupen64plus => <note important>Si vous avez installé Mupen64plus à partir des dépôts ou du site officiel comme expliqué précédemment, ce dernier est dépourvu d'interface graphique. Voir [[mupen64#Installation d'une interface graphique|ci-dessous]] pour l'installation d'une interface graphique complémentaire. | mupen64plus
38 Mot inconnu : mupen64 => <note important>Si vous avez installé Mupen64plus à partir des dépôts ou du site officiel comme expliqué précédemment, ce dernier est dépourvu d'interface graphique. Voir [[mupen64#Installation d'une interface graphique|ci-dessous]] pour l'installation d'une interface graphique complémentaire. | mupen64

42 Mot inconnu : Mupen64plus => Pour obtenir la description des différentes options de Mupen64plus, référez vous au manuel : | mupen64plus
42 Forme interrogative ? Mettez un trait d’union. => Pour obtenir la description des différentes options de Mupen64plus, référez vous au manuel : | référez vous => suggestions : ['référez-vous']

50 Mot inconnu : M64py => === M64py === | m64py

51 Mot inconnu : m64py => L'installation de **m64py** s'effectue à partir du paquet proposé par les développeurs.  | m64py
51 Espace(s) en fin de ligne à supprimer. => L'installation de **m64py** s'effectue à partir du paquet proposé par les développeurs.  |   => suggestions : ['']

54 Mot inconnu : mupen64plus-qt => === mupen64plus-qt === | mupen64plus-qt

56 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => mupen64plus-qt permet d'afficher les jeux en liste simple, en colonnes avec différentes informations (titre, éditeur, année, etc.) ou en vignettes. Toutes les informations et les vignettes sont téléchargées depuis thegamesdb.com. L'interface est en Français. | mupen64plus-qt => suggestions : ['Mupen64plus-qt']
56 Mot inconnu : mupen64plus-qt => mupen64plus-qt permet d'afficher les jeux en liste simple, en colonnes avec différentes informations (titre, éditeur, année, etc.) ou en vignettes. Toutes les informations et les vignettes sont téléchargées depuis thegamesdb.com. L'interface est en Français. | mupen64plus-qt
56 Mot inconnu : thegamesdb => mupen64plus-qt permet d'afficher les jeux en liste simple, en colonnes avec différentes informations (titre, éditeur, année, etc.) ou en vignettes. Toutes les informations et les vignettes sont téléchargées depuis thegamesdb.com. L'interface est en Français. | thegamesdb
56 Si vous parlez de la langue, pas de majuscule. => mupen64plus-qt permet d'afficher les jeux en liste simple, en colonnes avec différentes informations (titre, éditeur, année, etc.) ou en vignettes. Toutes les informations et les vignettes sont téléchargées depuis thegamesdb.com. L'interface est en Français. | français => suggestions : ['français']

58 Mot inconnu : __architectures => Une interface pour les __architectures 64 bits seulement__ est disponible ici : https://github.com/dh4/mupen64plus-qt/releases ou sur le sujet de discussion d'[[http://www.emutalk.net/threads/54976-Mupen64Plus-Qt|emutalk.net]] | __architectures
58 Mot inconnu : seulement__ => Une interface pour les __architectures 64 bits seulement__ est disponible ici : https://github.com/dh4/mupen64plus-qt/releases ou sur le sujet de discussion d'[[http://www.emutalk.net/threads/54976-Mupen64Plus-Qt|emutalk.net]] | seulement__
58 Mot inconnu : emutalk => Une interface pour les __architectures 64 bits seulement__ est disponible ici : https://github.com/dh4/mupen64plus-qt/releases ou sur le sujet de discussion d'[[http://www.emutalk.net/threads/54976-Mupen64Plus-Qt|emutalk.net]] | emutalk

62 Incohérence : espace et tabulation. => Puis dans un terminal :	  | 	  => suggestions : [' ', '\t']
62 Espace(s) en fin de ligne à supprimer. => Puis dans un terminal :	  |   => suggestions : ['']

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo apt-get install qt5-qmake g++ qtbase5-dev libquazip-qt5-dev libqt5sql5-sqlite	  |    => suggestions : ['']
63 Mot inconnu : sudo =>   sudo apt-get install qt5-qmake g++ qtbase5-dev libquazip-qt5-dev libqt5sql5-sqlite	  | sudo
63 Mot inconnu : apt-get =>   sudo apt-get install qt5-qmake g++ qtbase5-dev libquazip-qt5-dev libqt5sql5-sqlite	  | apt-get
63 Mot inconnu : install =>   sudo apt-get install qt5-qmake g++ qtbase5-dev libquazip-qt5-dev libqt5sql5-sqlite	  | install
63 Mot inconnu : qt5-qmake =>   sudo apt-get install qt5-qmake g++ qtbase5-dev libquazip-qt5-dev libqt5sql5-sqlite	  | qt5-qmake
63 Mot inconnu : qtbase5-dev =>   sudo apt-get install qt5-qmake g++ qtbase5-dev libquazip-qt5-dev libqt5sql5-sqlite	  | qtbase5-dev
63 Mot inconnu : libquazip-qt5-dev =>   sudo apt-get install qt5-qmake g++ qtbase5-dev libquazip-qt5-dev libqt5sql5-sqlite	  | libquazip-qt5-dev
63 Mot inconnu : libqt5sql5-sqlite =>   sudo apt-get install qt5-qmake g++ qtbase5-dev libquazip-qt5-dev libqt5sql5-sqlite	  | libqt5sql5-sqlite
63 Incohérence : espace et tabulation. =>   sudo apt-get install qt5-qmake g++ qtbase5-dev libquazip-qt5-dev libqt5sql5-sqlite	  | 	  => suggestions : [' ', '\t']
63 Espace(s) en fin de ligne à supprimer. =>   sudo apt-get install qt5-qmake g++ qtbase5-dev libquazip-qt5-dev libqt5sql5-sqlite	  |   => suggestions : ['']

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   qmake	  |    => suggestions : ['']
64 Mot inconnu : qmake =>   qmake	  | qmake
64 Incohérence : espace et tabulation. =>   qmake	  | 	  => suggestions : [' ', '\t']
64 Espace(s) en fin de ligne à supprimer. =>   qmake	  |   => suggestions : ['']

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   make |    => suggestions : ['']
65 Mot inconnu : make =>   make | make

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * __Libraries :__ /usr/local/lib/libmupen64plus.so.2 |    => suggestions : ['']
71 Mot inconnu : __Libraries =>   * __Libraries :__ /usr/local/lib/libmupen64plus.so.2 | __libraries
71 Mot inconnu : __ =>   * __Libraries :__ /usr/local/lib/libmupen64plus.so.2 | __

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * __Plugins :__ /usr/local/lib/mupen64plus |    => suggestions : ['']
72 Mot inconnu : __Plugins =>   * __Plugins :__ /usr/local/lib/mupen64plus | __plugins
72 Mot inconnu : __ =>   * __Plugins :__ /usr/local/lib/mupen64plus | __

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * __Data et configuration__ : /home/user/.config/mupen64plus/ |    => suggestions : ['']
73 Mot inconnu : __Data =>   * __Data et configuration__ : /home/user/.config/mupen64plus/ | __data
73 Mot inconnu : configuration__ =>   * __Data et configuration__ : /home/user/.config/mupen64plus/ | configuration__

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * __ROMs__ : répertoire où vos jeux sont stockés |    => suggestions : ['']
74 Mot inconnu : __ROMs__ =>   * __ROMs__ : répertoire où vos jeux sont stockés | __roms__

76 Mot inconnu : mupen64plus-qt => Pour d'autres interfaces, comme mupen64plus-qt, il faut uniquement configurer le dossier des ROMS. | mupen64plus-qt

81 Mot inconnu : __Vidéo => __Vidéo :__ | __vidéo
81 Mot inconnu : __ => __Vidéo :__ | __

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Glide64 : bonne compatibilité pour un usage général, mais risque d'être souvent lent sur de vieux ordinateurs. Comporte des bugs qui ne seront sans doute pas corrigés, puisque ce plugin n'est plus maintenu. |    => suggestions : ['']
82 Mot inconnu : Glide64 =>   * Glide64 : bonne compatibilité pour un usage général, mais risque d'être souvent lent sur de vieux ordinateurs. Comporte des bugs qui ne seront sans doute pas corrigés, puisque ce plugin n'est plus maintenu. | glide64

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Glide64mk2 : version améliorée de Glide64 |    => suggestions : ['']
83 Mot inconnu : Glide64mk2 =>   * Glide64mk2 : version améliorée de Glide64 | glide64mk2
83 Mot inconnu : Glide64 =>   * Glide64mk2 : version améliorée de Glide64 | glide64

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Rice : Rapide et configurable,  bon plugin pour des configurations modestes et anciennes. |    => suggestions : ['']
84 Mot inconnu : Rice =>   * Rice : Rapide et configurable,  bon plugin pour des configurations modestes et anciennes. | rice
84 Espace(s) surnuméraire(s) à supprimer. =>   * Rice : Rapide et configurable,  bon plugin pour des configurations modestes et anciennes. |    => suggestions : [' ']

85 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * GLideN64 : le plus performant, pour des ordinateurs récents. |    => suggestions : ['']
85 Mot inconnu : GLideN64 =>   * GLideN64 : le plus performant, pour des ordinateurs récents. | gliden64

86 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * z64 : Plugin de bas niveau, plus gourmand que les précédents, mais rend assez bien des jeux connus pour leur difficulté à être émulés (//Rogue Squadron// p. ex.). |    => suggestions : ['']
86 Mot inconnu : z64 =>   * z64 : Plugin de bas niveau, plus gourmand que les précédents, mais rend assez bien des jeux connus pour leur difficulté à être émulés (//Rogue Squadron// p. ex.). | z64
86 Mot inconnu : Squadron =>   * z64 : Plugin de bas niveau, plus gourmand que les précédents, mais rend assez bien des jeux connus pour leur difficulté à être émulés (//Rogue Squadron// p. ex.). | squadron

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Angrylion : le plugin le plus précis, il émule presque tout sans le moindre problème, mais est de ce fait inutilisable car demande une puissance énorme ( i7 8700k). Une version optimisée, utilisant le multithreading, disponible sous Linux, est fournie avec m64p. |    => suggestions : ['']
87 Mot inconnu : Angrylion =>   * Angrylion : le plugin le plus précis, il émule presque tout sans le moindre problème, mais est de ce fait inutilisable car demande une puissance énorme ( i7 8700k). Une version optimisée, utilisant le multithreading, disponible sous Linux, est fournie avec m64p. | angrylion
87 Pas d’espace après ce signe. =>   * Angrylion : le plugin le plus précis, il émule presque tout sans le moindre problème, mais est de ce fait inutilisable car demande une puissance énorme ( i7 8700k). Une version optimisée, utilisant le multithreading, disponible sous Linux, est fournie avec m64p. | (  => suggestions : ['(']
87 Mot inconnu : i7 =>   * Angrylion : le plugin le plus précis, il émule presque tout sans le moindre problème, mais est de ce fait inutilisable car demande une puissance énorme ( i7 8700k). Une version optimisée, utilisant le multithreading, disponible sous Linux, est fournie avec m64p. | i7
87 Mot inconnu : multithreading =>   * Angrylion : le plugin le plus précis, il émule presque tout sans le moindre problème, mais est de ce fait inutilisable car demande une puissance énorme ( i7 8700k). Une version optimisée, utilisant le multithreading, disponible sous Linux, est fournie avec m64p. | multithreading
87 Mot inconnu : m64p =>   * Angrylion : le plugin le plus précis, il émule presque tout sans le moindre problème, mais est de ce fait inutilisable car demande une puissance énorme ( i7 8700k). Une version optimisée, utilisant le multithreading, disponible sous Linux, est fournie avec m64p. | m64p

89 Doublon. => >  Meilleure configuration pour jouer à à peu près tout avec des ordinateurs anciens/peu performants (configuration par défaut de mupen64plus) : | à à => suggestions : ['à']
89 Mot inconnu : mupen64plus => >  Meilleure configuration pour jouer à à peu près tout avec des ordinateurs anciens/peu performants (configuration par défaut de mupen64plus) : | mupen64plus

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Video: Rice ou Glide64 + RSP : rsp-hle  |    => suggestions : ['']
90 Mot inconnu : Video =>   Video: Rice ou Glide64 + RSP : rsp-hle  | video
90 Mot inconnu : Rice =>   Video: Rice ou Glide64 + RSP : rsp-hle  | rice
90 Mot inconnu : Glide64 =>   Video: Rice ou Glide64 + RSP : rsp-hle  | glide64
90 Mot inconnu : RSP =>   Video: Rice ou Glide64 + RSP : rsp-hle  | rsp
90 Mot inconnu : rsp-hle =>   Video: Rice ou Glide64 + RSP : rsp-hle  | rsp-hle
90 Espace(s) en fin de ligne à supprimer. =>   Video: Rice ou Glide64 + RSP : rsp-hle  |   => suggestions : ['']

92 Mot inconnu : m64p => > Meilleure configuration pour la compatibilité sur un ordinateur récent (configuration par défaut de m64p) : | m64p

93 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Vidéo : GLideN64 +  cxd4-ssse2 |    => suggestions : ['']
93 Mot inconnu : GLideN64 =>   Vidéo : GLideN64 +  cxd4-ssse2 | gliden64
93 Mot inconnu : cxd4-ssse2 =>   Vidéo : GLideN64 +  cxd4-ssse2 | cxd4-ssse2

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Video: angrylion ou z64 + RSP: cxd4-ssse3  |    => suggestions : ['']
96 Mot inconnu : Video =>   Video: angrylion ou z64 + RSP: cxd4-ssse3  | video
96 Mot inconnu : angrylion =>   Video: angrylion ou z64 + RSP: cxd4-ssse3  | angrylion
96 Mot inconnu : z64 =>   Video: angrylion ou z64 + RSP: cxd4-ssse3  | z64
96 Mot inconnu : RSP =>   Video: angrylion ou z64 + RSP: cxd4-ssse3  | rsp
96 Mot inconnu : cxd4-ssse3 =>   Video: angrylion ou z64 + RSP: cxd4-ssse3  | cxd4-ssse3
96 Espace(s) en fin de ligne à supprimer. =>   Video: angrylion ou z64 + RSP: cxd4-ssse3  |   => suggestions : ['']

102 Mot inconnu : réouvrir => Au premier démarrage du gestionnaire de configuration des manettes, il se peut que votre manette ne soit pas reconnue, pour que ça marche, il suffit de le fermer puis de le réouvrir. | réouvrir

106 Mot inconnu : Glide => Pour des raisons de compatibilité, il faut parfois, pour certains jeux, utiliser le plugin Glide au lieu de Rice, ou GL64 et vice-versa. | glide
106 Mot inconnu : Rice => Pour des raisons de compatibilité, il faut parfois, pour certains jeux, utiliser le plugin Glide au lieu de Rice, ou GL64 et vice-versa. | rice
106 Mot inconnu : GL64 => Pour des raisons de compatibilité, il faut parfois, pour certains jeux, utiliser le plugin Glide au lieu de Rice, ou GL64 et vice-versa. | gl64

120 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.mupen64plus.org/|Site officiel de Mupen64Plus]] |    => suggestions : ['']
120 Mot inconnu : Mupen64Plus =>   * [[http://www.mupen64plus.org/|Site officiel de Mupen64Plus]] | mupen64plus

121 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.emutalk.net/forumdisplay.php?f=113|Forum de discussion de Mupen64Plus]] |    => suggestions : ['']
121 Mot inconnu : Mupen64Plus =>   * [[http://www.emutalk.net/forumdisplay.php?f=113|Forum de discussion de Mupen64Plus]] | mupen64plus

122 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://mupen64.emulation64.com/|Site de Mupen64]] |    => suggestions : ['']
122 Mot inconnu : Mupen64 =>   * [[http://mupen64.emulation64.com/|Site de Mupen64]] | mupen64

123 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://emulation.gametechwiki.com/index.php/Recommended_N64_Plugins|Informations sur les plugins]] |    => suggestions : ['']
