3 Mot inconnu : MAME => ====== Émulateur de bornes d'arcade : MAME ====== | mame
86 Mot inconnu : mame => Que vous utilisiez mame en ligne de commande ou avec une interface graphique, la plupart des configurations utiles au joueur se font pendant le jeux.  | mame
86 Accord de nombre erroné : « jeux » est au pluriel. => Que vous utilisiez mame en ligne de commande ou avec une interface graphique, la plupart des configurations utiles au joueur se font pendant le jeux.  | le => suggestions : ['les']
86 Accord de nombre erroné : « jeux » devrait être au singulier. => Que vous utilisiez mame en ligne de commande ou avec une interface graphique, la plupart des configurations utiles au joueur se font pendant le jeux.  | jeux => suggestions : ['jeu']
86 Espace(s) en fin de ligne à supprimer. => Que vous utilisiez mame en ligne de commande ou avec une interface graphique, la plupart des configurations utiles au joueur se font pendant le jeux.  |   => suggestions : ['']

87 Mot inconnu : TAB => Pendant le jeu, en appuyant sur la touche **TAB**, on accède à ce menu:   | tab
87 Espace(s) en fin de ligne à supprimer. => Pendant le jeu, en appuyant sur la touche **TAB**, on accède à ce menu:   |    => suggestions : ['']

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

91 Mot inconnu : Start => === Start et Coin === | start

93 Mot inconnu : Mame => Mame est un émulateur de jeux d'arcade. pour jouer, vous devez donc insérer une pièce 'virtuelle' dans la machine et appuyer sur le bouton start du joueur 1 ou du du joueur 2. Pour attribuer une touche (clavier ou manette) à ces actions, allez dans //Configure general input ->other control//, et attribuez les touches que vous souhaitez à Player 1 start, Player 2 start et à Coin 1 et Coin2  | mame
93 Après un point, une majuscule est généralement requise. => Mame est un émulateur de jeux d'arcade. pour jouer, vous devez donc insérer une pièce 'virtuelle' dans la machine et appuyer sur le bouton start du joueur 1 ou du du joueur 2. Pour attribuer une touche (clavier ou manette) à ces actions, allez dans //Configure general input ->other control//, et attribuez les touches que vous souhaitez à Player 1 start, Player 2 start et à Coin 1 et Coin2  | pour => suggestions : ['Pour']
93 Guillemets typographiques ouvrants. => Mame est un émulateur de jeux d'arcade. pour jouer, vous devez donc insérer une pièce 'virtuelle' dans la machine et appuyer sur le bouton start du joueur 1 ou du du joueur 2. Pour attribuer une touche (clavier ou manette) à ces actions, allez dans //Configure general input ->other control//, et attribuez les touches que vous souhaitez à Player 1 start, Player 2 start et à Coin 1 et Coin2  | ' => suggestions : ['“', '‘', '‹']
93 Guillemets typographiques fermants. => Mame est un émulateur de jeux d'arcade. pour jouer, vous devez donc insérer une pièce 'virtuelle' dans la machine et appuyer sur le bouton start du joueur 1 ou du du joueur 2. Pour attribuer une touche (clavier ou manette) à ces actions, allez dans //Configure general input ->other control//, et attribuez les touches que vous souhaitez à Player 1 start, Player 2 start et à Coin 1 et Coin2  | ' => suggestions : ['”', '’', '›']
93 Mot inconnu : start => Mame est un émulateur de jeux d'arcade. pour jouer, vous devez donc insérer une pièce 'virtuelle' dans la machine et appuyer sur le bouton start du joueur 1 ou du du joueur 2. Pour attribuer une touche (clavier ou manette) à ces actions, allez dans //Configure general input ->other control//, et attribuez les touches que vous souhaitez à Player 1 start, Player 2 start et à Coin 1 et Coin2  | start
93 Doublon. => Mame est un émulateur de jeux d'arcade. pour jouer, vous devez donc insérer une pièce 'virtuelle' dans la machine et appuyer sur le bouton start du joueur 1 ou du du joueur 2. Pour attribuer une touche (clavier ou manette) à ces actions, allez dans //Configure general input ->other control//, et attribuez les touches que vous souhaitez à Player 1 start, Player 2 start et à Coin 1 et Coin2  | du du => suggestions : ['du']
93 Mot inconnu : general => Mame est un émulateur de jeux d'arcade. pour jouer, vous devez donc insérer une pièce 'virtuelle' dans la machine et appuyer sur le bouton start du joueur 1 ou du du joueur 2. Pour attribuer une touche (clavier ou manette) à ces actions, allez dans //Configure general input ->other control//, et attribuez les touches que vous souhaitez à Player 1 start, Player 2 start et à Coin 1 et Coin2  | general
93 Mot inconnu : other => Mame est un émulateur de jeux d'arcade. pour jouer, vous devez donc insérer une pièce 'virtuelle' dans la machine et appuyer sur le bouton start du joueur 1 ou du du joueur 2. Pour attribuer une touche (clavier ou manette) à ces actions, allez dans //Configure general input ->other control//, et attribuez les touches que vous souhaitez à Player 1 start, Player 2 start et à Coin 1 et Coin2  | other
93 Mot inconnu : control => Mame est un émulateur de jeux d'arcade. pour jouer, vous devez donc insérer une pièce 'virtuelle' dans la machine et appuyer sur le bouton start du joueur 1 ou du du joueur 2. Pour attribuer une touche (clavier ou manette) à ces actions, allez dans //Configure general input ->other control//, et attribuez les touches que vous souhaitez à Player 1 start, Player 2 start et à Coin 1 et Coin2  | control
93 Mot inconnu : Player => Mame est un émulateur de jeux d'arcade. pour jouer, vous devez donc insérer une pièce 'virtuelle' dans la machine et appuyer sur le bouton start du joueur 1 ou du du joueur 2. Pour attribuer une touche (clavier ou manette) à ces actions, allez dans //Configure general input ->other control//, et attribuez les touches que vous souhaitez à Player 1 start, Player 2 start et à Coin 1 et Coin2  | player
93 Mot inconnu : start => Mame est un émulateur de jeux d'arcade. pour jouer, vous devez donc insérer une pièce 'virtuelle' dans la machine et appuyer sur le bouton start du joueur 1 ou du du joueur 2. Pour attribuer une touche (clavier ou manette) à ces actions, allez dans //Configure general input ->other control//, et attribuez les touches que vous souhaitez à Player 1 start, Player 2 start et à Coin 1 et Coin2  | start
93 Mot inconnu : Player => Mame est un émulateur de jeux d'arcade. pour jouer, vous devez donc insérer une pièce 'virtuelle' dans la machine et appuyer sur le bouton start du joueur 1 ou du du joueur 2. Pour attribuer une touche (clavier ou manette) à ces actions, allez dans //Configure general input ->other control//, et attribuez les touches que vous souhaitez à Player 1 start, Player 2 start et à Coin 1 et Coin2  | player
93 Mot inconnu : start => Mame est un émulateur de jeux d'arcade. pour jouer, vous devez donc insérer une pièce 'virtuelle' dans la machine et appuyer sur le bouton start du joueur 1 ou du du joueur 2. Pour attribuer une touche (clavier ou manette) à ces actions, allez dans //Configure general input ->other control//, et attribuez les touches que vous souhaitez à Player 1 start, Player 2 start et à Coin 1 et Coin2  | start
93 Mot inconnu : Coin2 => Mame est un émulateur de jeux d'arcade. pour jouer, vous devez donc insérer une pièce 'virtuelle' dans la machine et appuyer sur le bouton start du joueur 1 ou du du joueur 2. Pour attribuer une touche (clavier ou manette) à ces actions, allez dans //Configure general input ->other control//, et attribuez les touches que vous souhaitez à Player 1 start, Player 2 start et à Coin 1 et Coin2  | coin2
93 Espace(s) en fin de ligne à supprimer. => Mame est un émulateur de jeux d'arcade. pour jouer, vous devez donc insérer une pièce 'virtuelle' dans la machine et appuyer sur le bouton start du joueur 1 ou du du joueur 2. Pour attribuer une touche (clavier ou manette) à ces actions, allez dans //Configure general input ->other control//, et attribuez les touches que vous souhaitez à Player 1 start, Player 2 start et à Coin 1 et Coin2  |   => suggestions : ['']
97 Il manque un espace avant la parenthèse. => Vous avez deux possibilités: input(general) ou input(this game) | ( => suggestions : [' (']
97 Mot inconnu : general => Vous avez deux possibilités: input(general) ou input(this game) | general
97 Il manque un espace avant la parenthèse. => Vous avez deux possibilités: input(general) ou input(this game) | ( => suggestions : [' (']
97 Mot inconnu : this => Vous avez deux possibilités: input(general) ou input(this game) | this
97 Mot inconnu : game => Vous avez deux possibilités: input(general) ou input(this game) | game

98 Il manque un espace avant la parenthèse. => Comme leur nom l'indique, input(general) permet de configurer les touches pour tous les jeux, et input(this game) pour un jeu en particulier | ( => suggestions : [' (']
98 Mot inconnu : general => Comme leur nom l'indique, input(general) permet de configurer les touches pour tous les jeux, et input(this game) pour un jeu en particulier | general
98 Il manque un espace avant la parenthèse. => Comme leur nom l'indique, input(general) permet de configurer les touches pour tous les jeux, et input(this game) pour un jeu en particulier | ( => suggestions : [' (']
98 Mot inconnu : this => Comme leur nom l'indique, input(general) permet de configurer les touches pour tous les jeux, et input(this game) pour un jeu en particulier | this
98 Mot inconnu : game => Comme leur nom l'indique, input(general) permet de configurer les touches pour tous les jeux, et input(this game) pour un jeu en particulier | game

100 Mot inconnu : Dip => === Dip Switches et Service=== | dip
100 Mot inconnu : Switches => === Dip Switches et Service=== | switches

102 Mot inconnu : Dip => Certains jeux proposent un menu nommé "**Dip Switches**" permettant de régler certains paramètres tels que le niveau de difficulté, le nombre de vies, etc. Dip Switches émulent en fait les cavaliers ou "switch" présent à l'époque sur les bornes d'arcade. | dip
102 Mot inconnu : Switches => Certains jeux proposent un menu nommé "**Dip Switches**" permettant de régler certains paramètres tels que le niveau de difficulté, le nombre de vies, etc. Dip Switches émulent en fait les cavaliers ou "switch" présent à l'époque sur les bornes d'arcade. | switches
102 Mot inconnu : Dip => Certains jeux proposent un menu nommé "**Dip Switches**" permettant de régler certains paramètres tels que le niveau de difficulté, le nombre de vies, etc. Dip Switches émulent en fait les cavaliers ou "switch" présent à l'époque sur les bornes d'arcade. | dip
102 Mot inconnu : Switches => Certains jeux proposent un menu nommé "**Dip Switches**" permettant de régler certains paramètres tels que le niveau de difficulté, le nombre de vies, etc. Dip Switches émulent en fait les cavaliers ou "switch" présent à l'époque sur les bornes d'arcade. | switches
102 Guillemets typographiques ouvrants. => Certains jeux proposent un menu nommé "**Dip Switches**" permettant de régler certains paramètres tels que le niveau de difficulté, le nombre de vies, etc. Dip Switches émulent en fait les cavaliers ou "switch" présent à l'époque sur les bornes d'arcade. | " => suggestions : ['«\xa0', '“']
102 Mot inconnu : switch => Certains jeux proposent un menu nommé "**Dip Switches**" permettant de régler certains paramètres tels que le niveau de difficulté, le nombre de vies, etc. Dip Switches émulent en fait les cavaliers ou "switch" présent à l'époque sur les bornes d'arcade. | switch
102 Guillemets typographiques fermants. => Certains jeux proposent un menu nommé "**Dip Switches**" permettant de régler certains paramètres tels que le niveau de difficulté, le nombre de vies, etc. Dip Switches émulent en fait les cavaliers ou "switch" présent à l'époque sur les bornes d'arcade. | " => suggestions : ['\xa0»', '”']

104 Mot inconnu : traver => Parfois, ces réglages sont accessibles à traver un menu nommé "service" accessible à partir de la touche F2. Ce menu "service" correspond au véritable menu de configuration graphique des bornes de l'époque. La plupart des options intéressantes (vies, activation du sang rouge, etc.) se trouveront dans le sous-menu: **SETTING UP THE SOFT DIP** | traver
104 Guillemets typographiques ouvrants. => Parfois, ces réglages sont accessibles à traver un menu nommé "service" accessible à partir de la touche F2. Ce menu "service" correspond au véritable menu de configuration graphique des bornes de l'époque. La plupart des options intéressantes (vies, activation du sang rouge, etc.) se trouveront dans le sous-menu: **SETTING UP THE SOFT DIP** | " => suggestions : ['«\xa0', '“']
104 Guillemets typographiques fermants. => Parfois, ces réglages sont accessibles à traver un menu nommé "service" accessible à partir de la touche F2. Ce menu "service" correspond au véritable menu de configuration graphique des bornes de l'époque. La plupart des options intéressantes (vies, activation du sang rouge, etc.) se trouveront dans le sous-menu: **SETTING UP THE SOFT DIP** | " => suggestions : ['\xa0»', '”']
104 Typographie des composés chimiques. => Parfois, ces réglages sont accessibles à traver un menu nommé "service" accessible à partir de la touche F2. Ce menu "service" correspond au véritable menu de configuration graphique des bornes de l'époque. La plupart des options intéressantes (vies, activation du sang rouge, etc.) se trouveront dans le sous-menu: **SETTING UP THE SOFT DIP** | f2 => suggestions : ['F₂']
104 Mot inconnu : F2 => Parfois, ces réglages sont accessibles à traver un menu nommé "service" accessible à partir de la touche F2. Ce menu "service" correspond au véritable menu de configuration graphique des bornes de l'époque. La plupart des options intéressantes (vies, activation du sang rouge, etc.) se trouveront dans le sous-menu: **SETTING UP THE SOFT DIP** | f2
104 Guillemets typographiques ouvrants. => Parfois, ces réglages sont accessibles à traver un menu nommé "service" accessible à partir de la touche F2. Ce menu "service" correspond au véritable menu de configuration graphique des bornes de l'époque. La plupart des options intéressantes (vies, activation du sang rouge, etc.) se trouveront dans le sous-menu: **SETTING UP THE SOFT DIP** | " => suggestions : ['«\xa0', '“']
104 Guillemets typographiques fermants. => Parfois, ces réglages sont accessibles à traver un menu nommé "service" accessible à partir de la touche F2. Ce menu "service" correspond au véritable menu de configuration graphique des bornes de l'époque. La plupart des options intéressantes (vies, activation du sang rouge, etc.) se trouveront dans le sous-menu: **SETTING UP THE SOFT DIP** | " => suggestions : ['\xa0»', '”']
104 Mot inconnu : SETTING => Parfois, ces réglages sont accessibles à traver un menu nommé "service" accessible à partir de la touche F2. Ce menu "service" correspond au véritable menu de configuration graphique des bornes de l'époque. La plupart des options intéressantes (vies, activation du sang rouge, etc.) se trouveront dans le sous-menu: **SETTING UP THE SOFT DIP** | setting
104 Mot inconnu : UP => Parfois, ces réglages sont accessibles à traver un menu nommé "service" accessible à partir de la touche F2. Ce menu "service" correspond au véritable menu de configuration graphique des bornes de l'époque. La plupart des options intéressantes (vies, activation du sang rouge, etc.) se trouveront dans le sous-menu: **SETTING UP THE SOFT DIP** | up
104 Mot inconnu : THE => Parfois, ces réglages sont accessibles à traver un menu nommé "service" accessible à partir de la touche F2. Ce menu "service" correspond au véritable menu de configuration graphique des bornes de l'époque. La plupart des options intéressantes (vies, activation du sang rouge, etc.) se trouveront dans le sous-menu: **SETTING UP THE SOFT DIP** | the
104 Mot inconnu : DIP => Parfois, ces réglages sont accessibles à traver un menu nommé "service" accessible à partir de la touche F2. Ce menu "service" correspond au véritable menu de configuration graphique des bornes de l'époque. La plupart des options intéressantes (vies, activation du sang rouge, etc.) se trouveront dans le sous-menu: **SETTING UP THE SOFT DIP** | dip

106 Mot inconnu : Donkey => Sur les jeux anciens (Donkey kong), vous trouverez donc en général Dip Switches; alors que sur des jeux plus récents (Street Fighter Alpha 3), il faudra passer par service. | donkey
106 Mot inconnu : kong => Sur les jeux anciens (Donkey kong), vous trouverez donc en général Dip Switches; alors que sur des jeux plus récents (Street Fighter Alpha 3), il faudra passer par service. | kong
106 Mot inconnu : Dip => Sur les jeux anciens (Donkey kong), vous trouverez donc en général Dip Switches; alors que sur des jeux plus récents (Street Fighter Alpha 3), il faudra passer par service. | dip
106 Mot inconnu : Switches => Sur les jeux anciens (Donkey kong), vous trouverez donc en général Dip Switches; alors que sur des jeux plus récents (Street Fighter Alpha 3), il faudra passer par service. | switches
106 Mot inconnu : Fighter => Sur les jeux anciens (Donkey kong), vous trouverez donc en général Dip Switches; alors que sur des jeux plus récents (Street Fighter Alpha 3), il faudra passer par service. | fighter

112 Mot inconnu : MAME => Il existe plusieurs interfaces graphiques régulièrement maintenues pour MAME sur Linux. Si vous utilisez une interface graphique, au premier lancement, il vous sera demandé le chemin de l'exécutable MAME qui est **/usr/games/mame**. | mame
112 Mot inconnu : MAME => Il existe plusieurs interfaces graphiques régulièrement maintenues pour MAME sur Linux. Si vous utilisez une interface graphique, au premier lancement, il vous sera demandé le chemin de l'exécutable MAME qui est **/usr/games/mame**. | mame

114 Mot inconnu : QMC2 => ==== QMC2 ==== | qmc2

118 Mot inconnu : Lightningmf => ==== Lightningmf ==== | lightningmf

125 Mot inconnu : gnome-video-arcade => ==== gnome-video-arcade ==== | gnome-video-arcade

126 Mot inconnu : MAME => L'interface utilisateur la plus simple pour MAME : https://github.com/GNOME/gnome-video-arcade | mame

130 Mot inconnu : Negatron => ==== Negatron ==== | negatron

135 Mot inconnu : pfeMAME => ==== pfeMAME ==== | pfemame

136 Mot inconnu : pfeMame => pfeMame est une interface graphique multiplateforme pour MAME, écrit en Python. | pfemame
136 Mot inconnu : MAME => pfeMame est une interface graphique multiplateforme pour MAME, écrit en Python. | mame
