
5 Mot inconnu : Uncomplicated => ====== Uncomplicated Firewall ====== | uncomplicated
142 Guillemets typographiques ouvrants. => <note warning>Si vous voulez bloquer une IP sur tous vos services, il faut le faire "avant" les autorisations existantes. D'où le "insert 1" qui met ce "deny" avant tous les "allow". Dans le cas d'une série d'IP à bloquer vous pouvez utiliser à chaque entrée le "insert 1", pas besoin de spécifier dans le cas présent une autre place</note> | " => suggestions : ['«\xa0', '“']
142 Guillemets typographiques fermants. => <note warning>Si vous voulez bloquer une IP sur tous vos services, il faut le faire "avant" les autorisations existantes. D'où le "insert 1" qui met ce "deny" avant tous les "allow". Dans le cas d'une série d'IP à bloquer vous pouvez utiliser à chaque entrée le "insert 1", pas besoin de spécifier dans le cas présent une autre place</note> | " => suggestions : ['\xa0»', '”']
142 Guillemets typographiques ouvrants. => <note warning>Si vous voulez bloquer une IP sur tous vos services, il faut le faire "avant" les autorisations existantes. D'où le "insert 1" qui met ce "deny" avant tous les "allow". Dans le cas d'une série d'IP à bloquer vous pouvez utiliser à chaque entrée le "insert 1", pas besoin de spécifier dans le cas présent une autre place</note> | " => suggestions : ['«\xa0', '“']
142 Guillemets typographiques fermants. => <note warning>Si vous voulez bloquer une IP sur tous vos services, il faut le faire "avant" les autorisations existantes. D'où le "insert 1" qui met ce "deny" avant tous les "allow". Dans le cas d'une série d'IP à bloquer vous pouvez utiliser à chaque entrée le "insert 1", pas besoin de spécifier dans le cas présent une autre place</note> | " => suggestions : ['\xa0»', '”']
142 Guillemets typographiques ouvrants. => <note warning>Si vous voulez bloquer une IP sur tous vos services, il faut le faire "avant" les autorisations existantes. D'où le "insert 1" qui met ce "deny" avant tous les "allow". Dans le cas d'une série d'IP à bloquer vous pouvez utiliser à chaque entrée le "insert 1", pas besoin de spécifier dans le cas présent une autre place</note> | " => suggestions : ['«\xa0', '“']
142 Mot inconnu : deny => <note warning>Si vous voulez bloquer une IP sur tous vos services, il faut le faire "avant" les autorisations existantes. D'où le "insert 1" qui met ce "deny" avant tous les "allow". Dans le cas d'une série d'IP à bloquer vous pouvez utiliser à chaque entrée le "insert 1", pas besoin de spécifier dans le cas présent une autre place</note> | deny
142 Guillemets typographiques fermants. => <note warning>Si vous voulez bloquer une IP sur tous vos services, il faut le faire "avant" les autorisations existantes. D'où le "insert 1" qui met ce "deny" avant tous les "allow". Dans le cas d'une série d'IP à bloquer vous pouvez utiliser à chaque entrée le "insert 1", pas besoin de spécifier dans le cas présent une autre place</note> | " => suggestions : ['\xa0»', '”']
142 Guillemets typographiques ouvrants. => <note warning>Si vous voulez bloquer une IP sur tous vos services, il faut le faire "avant" les autorisations existantes. D'où le "insert 1" qui met ce "deny" avant tous les "allow". Dans le cas d'une série d'IP à bloquer vous pouvez utiliser à chaque entrée le "insert 1", pas besoin de spécifier dans le cas présent une autre place</note> | " => suggestions : ['«\xa0', '“']
142 Mot inconnu : allow => <note warning>Si vous voulez bloquer une IP sur tous vos services, il faut le faire "avant" les autorisations existantes. D'où le "insert 1" qui met ce "deny" avant tous les "allow". Dans le cas d'une série d'IP à bloquer vous pouvez utiliser à chaque entrée le "insert 1", pas besoin de spécifier dans le cas présent une autre place</note> | allow
142 Guillemets typographiques fermants. => <note warning>Si vous voulez bloquer une IP sur tous vos services, il faut le faire "avant" les autorisations existantes. D'où le "insert 1" qui met ce "deny" avant tous les "allow". Dans le cas d'une série d'IP à bloquer vous pouvez utiliser à chaque entrée le "insert 1", pas besoin de spécifier dans le cas présent une autre place</note> | " => suggestions : ['\xa0»', '”']
142 Guillemets typographiques ouvrants. => <note warning>Si vous voulez bloquer une IP sur tous vos services, il faut le faire "avant" les autorisations existantes. D'où le "insert 1" qui met ce "deny" avant tous les "allow". Dans le cas d'une série d'IP à bloquer vous pouvez utiliser à chaque entrée le "insert 1", pas besoin de spécifier dans le cas présent une autre place</note> | " => suggestions : ['«\xa0', '“']
142 Guillemets typographiques fermants. => <note warning>Si vous voulez bloquer une IP sur tous vos services, il faut le faire "avant" les autorisations existantes. D'où le "insert 1" qui met ce "deny" avant tous les "allow". Dans le cas d'une série d'IP à bloquer vous pouvez utiliser à chaque entrée le "insert 1", pas besoin de spécifier dans le cas présent une autre place</note> | " => suggestions : ['\xa0»', '”']

143 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ufw insert 1 deny from [ip] |    => suggestions : ['']
143 Mot inconnu : sudo =>   sudo ufw insert 1 deny from [ip] | sudo
143 Mot inconnu : ufw =>   sudo ufw insert 1 deny from [ip] | ufw
143 Mot inconnu : deny =>   sudo ufw insert 1 deny from [ip] | deny
143 Mot inconnu : from =>   sudo ufw insert 1 deny from [ip] | from
143 Mot inconnu : ip =>   sudo ufw insert 1 deny from [ip] | ip

144 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

145 Mot inconnu : TCP => Refuser une connexion entrante, uniquement en TCP : | tcp

147 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ufw deny [port]/tcp |    => suggestions : ['']
147 Mot inconnu : sudo =>   sudo ufw deny [port]/tcp | sudo
147 Mot inconnu : ufw =>   sudo ufw deny [port]/tcp | ufw
147 Mot inconnu : deny =>   sudo ufw deny [port]/tcp | deny
147 Mot inconnu : tcp =>   sudo ufw deny [port]/tcp | tcp

151 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ufw deny out [règle] |    => suggestions : ['']
151 Mot inconnu : sudo =>   sudo ufw deny out [règle] | sudo
151 Mot inconnu : ufw =>   sudo ufw deny out [règle] | ufw
151 Mot inconnu : deny =>   sudo ufw deny out [règle] | deny
153 Espace(s) en fin de ligne à supprimer. => Supprimer une règle :  |   => suggestions : ['']

155 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ufw delete allow [règle] |    => suggestions : ['']
155 Mot inconnu : sudo =>   sudo ufw delete allow [règle] | sudo
155 Mot inconnu : ufw =>   sudo ufw delete allow [règle] | ufw
155 Mot inconnu : delete =>   sudo ufw delete allow [règle] | delete
155 Mot inconnu : allow =>   sudo ufw delete allow [règle] | allow

156 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ufw delete deny [règle] |    => suggestions : ['']
156 Mot inconnu : sudo =>   sudo ufw delete deny [règle] | sudo
156 Mot inconnu : ufw =>   sudo ufw delete deny [règle] | ufw
156 Mot inconnu : delete =>   sudo ufw delete deny [règle] | delete
156 Mot inconnu : deny =>   sudo ufw delete deny [règle] | deny

160 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ufw delete [numéro] |    => suggestions : ['']
160 Mot inconnu : sudo =>   sudo ufw delete [numéro] | sudo
160 Mot inconnu : ufw =>   sudo ufw delete [numéro] | ufw
160 Mot inconnu : delete =>   sudo ufw delete [numéro] | delete

162 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *[port] est à remplacer par le numéro du port désiré. |    => suggestions : ['']

163 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *[règle] est à remplacer par le numéro du port ou le nom du [[#Utilisation des services|service]] désiré. |    => suggestions : ['']

164 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *[numéro] est à remplacer par le numéro de la règle désiré. |    => suggestions : ['']

170 Espace(s) en fin de ligne à supprimer. => Voici quelques exemples pour comprendre la syntaxe des règles de configuration.  |   => suggestions : ['']

177 Mot inconnu : UFW => UFW regarde dans sa liste de services connus pour appliquer les règles standards associées à ces services (apache2, smtp, imaps, etc..). Ces règles sont automatiquement converties en ports. | ufw
177 Mot inconnu : apache2 => UFW regarde dans sa liste de services connus pour appliquer les règles standards associées à ces services (apache2, smtp, imaps, etc..). Ces règles sont automatiquement converties en ports. | apache2
177 Mot inconnu : smtp => UFW regarde dans sa liste de services connus pour appliquer les règles standards associées à ces services (apache2, smtp, imaps, etc..). Ces règles sont automatiquement converties en ports. | smtp
177 Mot inconnu : imaps => UFW regarde dans sa liste de services connus pour appliquer les règles standards associées à ces services (apache2, smtp, imaps, etc..). Ces règles sont automatiquement converties en ports. | imaps
177 Typographie : un ou trois points ? => UFW regarde dans sa liste de services connus pour appliquer les règles standards associées à ces services (apache2, smtp, imaps, etc..). Ces règles sont automatiquement converties en ports. | .. => suggestions : ['…', '.']
179 Espace(s) en fin de ligne à supprimer. => Pour avoir la liste des services :  |   => suggestions : ['']
181 Espace(s) en fin de ligne à supprimer. => Exemple : Autoriser le service SMTP :  |   => suggestions : ['']
184 Mot inconnu : Gnome-Dictionary => 2° exemple : Autoriser le port de Gnome-Dictionary (2628/tcp) : | gnome-dictionary
184 Mot inconnu : tcp => 2° exemple : Autoriser le port de Gnome-Dictionary (2628/tcp) : | tcp
187 Mot inconnu : pop3 => 3° exemple : Autoriser le protocole pop3 sécurisé | pop3

188 Mot inconnu : Gmail => (réception du courrier de Gmail et autres messageries utilisant ce protocole sécurisé) : | gmail
195 Espace(s) en fin de ligne à supprimer. => L'écriture de règles plus complexes est également possible :  |   => suggestions : ['']

206 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Insérer en numéro 2 une règle refusant le trafic entrant utilisant le protocole (//proto//) UDP (//to//) en direction de (//any//) toute les adresses en écoute sur votre machine sur le port (//port//) 514 en provenance (//from//) de 1.2.3.4 |    => suggestions : ['']
206 Mot inconnu : UDP =>   * Insérer en numéro 2 une règle refusant le trafic entrant utilisant le protocole (//proto//) UDP (//to//) en direction de (//any//) toute les adresses en écoute sur votre machine sur le port (//port//) 514 en provenance (//from//) de 1.2.3.4 | udp
206 Mot inconnu : to =>   * Insérer en numéro 2 une règle refusant le trafic entrant utilisant le protocole (//proto//) UDP (//to//) en direction de (//any//) toute les adresses en écoute sur votre machine sur le port (//port//) 514 en provenance (//from//) de 1.2.3.4 | to
206 Mot inconnu : any =>   * Insérer en numéro 2 une règle refusant le trafic entrant utilisant le protocole (//proto//) UDP (//to//) en direction de (//any//) toute les adresses en écoute sur votre machine sur le port (//port//) 514 en provenance (//from//) de 1.2.3.4 | any
206 Erreur d’accord probable avec “les”. =>   * Insérer en numéro 2 une règle refusant le trafic entrant utilisant le protocole (//proto//) UDP (//to//) en direction de (//any//) toute les adresses en écoute sur votre machine sur le port (//port//) 514 en provenance (//from//) de 1.2.3.4 | toute => suggestions : ['toutes']
206 Mot inconnu : from =>   * Insérer en numéro 2 une règle refusant le trafic entrant utilisant le protocole (//proto//) UDP (//to//) en direction de (//any//) toute les adresses en écoute sur votre machine sur le port (//port//) 514 en provenance (//from//) de 1.2.3.4 | from

209 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ===Réinitialiser UFW=== |   => suggestions : ['']
209 Mot inconnu : UFW =>  ===Réinitialiser UFW=== | ufw

210 Il manque probablement un trait d’union. => En cas d'erreur de vos règles vous pouvez réinitialiser le pare feu comme au début de l'installation en ouvrant un terminal puis vous écrivez: | pare feu => suggestions : ['pare-feu']

214 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

217 Mot inconnu : IPv6 => ==== IPv6 ==== | ipv6

219 Mot inconnu : UFW => UFW prend en charge les adresses IPv6. | ufw
219 Mot inconnu : IPv6 => UFW prend en charge les adresses IPv6. | ipv6

220 Mot inconnu : IPv6 => Le support d'IPv6 est désormais activé par défaut, si ce n'est pas le cas,  | ipv6
220 Espace(s) en fin de ligne à supprimer. => Le support d'IPv6 est désormais activé par défaut, si ce n'est pas le cas,  |   => suggestions : ['']

223 Mot inconnu : IPV6 => <file bash /etc/default/ufw>IPV6=yes</file> | ipv6
223 Mot inconnu : yes => <file bash /etc/default/ufw>IPV6=yes</file> | yes

225 Mot inconnu : UFW => Il ne reste plus qu'à relancer UFW :  | ufw
225 Espace(s) en fin de ligne à supprimer. => Il ne reste plus qu'à relancer UFW :  |   => suggestions : ['']

227 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ufw reload |    => suggestions : ['']
227 Mot inconnu : sudo =>   sudo ufw reload | sudo
227 Mot inconnu : ufw =>   sudo ufw reload | ufw
227 Mot inconnu : reload =>   sudo ufw reload | reload

230 Mot inconnu : IPv6 => Si le support d'IPv6 n'était pas activé, il vous faudra sûrement alors supprimer puis recréer vos règles. | ipv6

233 Mot inconnu : ping => ==== Ne pas autoriser le ping ==== | ping

235 Mot inconnu : UFW => Par défaut UFW autorise les requêtes de ping (ICMP Echo Requests).  | ufw
235 Mot inconnu : ping => Par défaut UFW autorise les requêtes de ping (ICMP Echo Requests).  | ping
235 Mot inconnu : ICMP => Par défaut UFW autorise les requêtes de ping (ICMP Echo Requests).  | icmp
235 Mot inconnu : Echo => Par défaut UFW autorise les requêtes de ping (ICMP Echo Requests).  | echo
235 Mot inconnu : Requests => Par défaut UFW autorise les requêtes de ping (ICMP Echo Requests).  | requests
235 Espace(s) en fin de ligne à supprimer. => Par défaut UFW autorise les requêtes de ping (ICMP Echo Requests).  |   => suggestions : ['']

241 Guillemets typographiques ouvrants. => ==== Si vous obtenez **"ERROR: / is world writable ==== | " => suggestions : ['«\xa0', '“']
241 Mot inconnu : ERROR => ==== Si vous obtenez **"ERROR: / is world writable ==== | error
241 Mot inconnu : is => ==== Si vous obtenez **"ERROR: / is world writable ==== | is
241 Mot inconnu : world => ==== Si vous obtenez **"ERROR: / is world writable ==== | world
241 Mot inconnu : writable => ==== Si vous obtenez **"ERROR: / is world writable ==== | writable

243 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  en voulant activer Uncomplicated Firewall, ces commandes devraient régler le problème :  |   => suggestions : ['']
243 Mot inconnu : Uncomplicated =>  en voulant activer Uncomplicated Firewall, ces commandes devraient régler le problème :  | uncomplicated
243 Mot inconnu : Firewall =>  en voulant activer Uncomplicated Firewall, ces commandes devraient régler le problème :  | firewall
243 Espace(s) en fin de ligne à supprimer. =>  en voulant activer Uncomplicated Firewall, ces commandes devraient régler le problème :  |   => suggestions : ['']

245 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo chown root:root / |    => suggestions : ['']
245 Mot inconnu : sudo =>   sudo chown root:root / | sudo
245 Mot inconnu : chown =>   sudo chown root:root / | chown
245 Mot inconnu : root =>   sudo chown root:root / | root
245 Il manque un espace. =>   sudo chown root:root / | root => suggestions : [' root']
245 Mot inconnu : root =>   sudo chown root:root / | root

246 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo chmod 0755 / |    => suggestions : ['']
246 Mot inconnu : sudo =>   sudo chmod 0755 / | sudo
246 Mot inconnu : chmod =>   sudo chmod 0755 / | chmod

248 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Il faut penser qu'il y a un problème de refus de connexion tracé dans  **/var/log**. Si non résolvable, l'une de ces commandes pourra masquer le problème: |   => suggestions : ['']
248 Espace(s) surnuméraire(s) à supprimer. =>  Il faut penser qu'il y a un problème de refus de connexion tracé dans  **/var/log**. Si non résolvable, l'une de ces commandes pourra masquer le problème: |    => suggestions : [' ']
248 Mot inconnu : résolvable =>  Il faut penser qu'il y a un problème de refus de connexion tracé dans  **/var/log**. Si non résolvable, l'une de ces commandes pourra masquer le problème: | résolvable

250 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo  ufw logging off |    => suggestions : ['']
250 Mot inconnu : sudo =>   sudo  ufw logging off | sudo
250 Espace(s) surnuméraire(s) à supprimer. =>   sudo  ufw logging off |    => suggestions : [' ']
250 Mot inconnu : ufw =>   sudo  ufw logging off | ufw
250 Mot inconnu : logging =>   sudo  ufw logging off | logging

251 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo  ufw logging low |    => suggestions : ['']
251 Mot inconnu : sudo =>   sudo  ufw logging low | sudo
251 Espace(s) surnuméraire(s) à supprimer. =>   sudo  ufw logging low |    => suggestions : [' ']
251 Mot inconnu : ufw =>   sudo  ufw logging low | ufw
251 Mot inconnu : logging =>   sudo  ufw logging low | logging

254 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * (en) [[https://wiki.ubuntu.com/UncomplicatedFirewall|UncomplicatedFirewall]] sur le wiki ubuntu anglophone |    => suggestions : ['']

255 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ( fr ) [[http://www.leshirondellesdunet.com/pages/pare-feu.php]] |    => suggestions : ['']
255 Pas d’espace après ce signe. =>   * ( fr ) [[http://www.leshirondellesdunet.com/pages/pare-feu.php]] | (  => suggestions : ['(']
255 Pas d’espace avant ce signe. =>   * ( fr ) [[http://www.leshirondellesdunet.com/pages/pare-feu.php]] |  ) => suggestions : [')']

