1 Mot inconnu : Driv3r => ====== Driv3r (Driver 3) ====== | driv3r
14 Mot inconnu : dvd =>   * Un exemplaire original du **dvd** ou l'image iso du jeu (ce dernier n'est plus nécessaire après installation). A noter qu'il existe des versions cd qui nécessiteront l'application d'un [[http://www.clubic.com/patch-jeux-video-920-0-driv3r.html|patch]], la version dvd 2.00 en étant dispensée. | dvd
14 Mot inconnu : iso =>   * Un exemplaire original du **dvd** ou l'image iso du jeu (ce dernier n'est plus nécessaire après installation). A noter qu'il existe des versions cd qui nécessiteront l'application d'un [[http://www.clubic.com/patch-jeux-video-920-0-driv3r.html|patch]], la version dvd 2.00 en étant dispensée. | iso
14 S’il s’agit de la préposition « à », il faut accentuer la majuscule. =>   * Un exemplaire original du **dvd** ou l'image iso du jeu (ce dernier n'est plus nécessaire après installation). A noter qu'il existe des versions cd qui nécessiteront l'application d'un [[http://www.clubic.com/patch-jeux-video-920-0-driv3r.html|patch]], la version dvd 2.00 en étant dispensée. | a => suggestions : ['À']
14 Mot inconnu : dvd =>   * Un exemplaire original du **dvd** ou l'image iso du jeu (ce dernier n'est plus nécessaire après installation). A noter qu'il existe des versions cd qui nécessiteront l'application d'un [[http://www.clubic.com/patch-jeux-video-920-0-driv3r.html|patch]], la version dvd 2.00 en étant dispensée. | dvd

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ou la version de démo multi-lingue disponible sur le net (chez [[ftp://4acb45a114560495a9219d317813c706:1250115060@demo.archive1.clubic.com/demo/disk1/driv3r_demo_jouable_1_multi-langues_14216.exe|clubic]] par exemple). |    => suggestions : ['']
15 Mot inconnu : acb45a114560495a9219d317813c706 =>   * Ou la version de démo multi-lingue disponible sur le net (chez [[ftp://4acb45a114560495a9219d317813c706:1250115060@demo.archive1.clubic.com/demo/disk1/driv3r_demo_jouable_1_multi-langues_14216.exe|clubic]] par exemple). | acb45a114560495a9219d317813c706

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pentium 4 2GHz ou AMD Athlon 2GHz |    => suggestions : ['']
18 Mot inconnu : Pentium =>   * Pentium 4 2GHz ou AMD Athlon 2GHz | pentium
18 Mot inconnu : Athlon =>   * Pentium 4 2GHz ou AMD Athlon 2GHz | athlon

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * 5,5 Go de libre sur le disque-dur |    => suggestions : ['']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * DirectX 9.0c (disponible sur le cd) |    => suggestions : ['']
20 Mot inconnu : DirectX =>   * DirectX 9.0c (disponible sur le cd) | directx
20 Accord de genre erroné : « cd » est féminin. =>   * DirectX 9.0c (disponible sur le cd) | le => suggestions : ['la']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Windows 2000 ou XP |    => suggestions : ['']
21 Mot inconnu : XP =>   * Windows 2000 ou XP | xp

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Carte graphique 64 Mo, ATI RADEON 8500 ou GeForce 3. |    => suggestions : ['']
22 Si “Mo” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * Carte graphique 64 Mo, ATI RADEON 8500 ou GeForce 3. | 64 mo => suggestions : ['64\xa0Mo']
22 Mot inconnu : ATI =>   * Carte graphique 64 Mo, ATI RADEON 8500 ou GeForce 3. | ati
22 Mot inconnu : RADEON =>   * Carte graphique 64 Mo, ATI RADEON 8500 ou GeForce 3. | radeon
22 Mot inconnu : GeForce =>   * Carte graphique 64 Mo, ATI RADEON 8500 ou GeForce 3. | geforce

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ix86 2 GHz |    => suggestions : ['']
25 Mot inconnu : ix86 =>   * ix86 2 GHz | ix86
25 Si “GHz” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * ix86 2 GHz | 2 ghz => suggestions : ['2\xa0GHz']

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Mémoire 2 Go |    => suggestions : ['']

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Carte graphique 128 Mo 1024x768x32 |    => suggestions : ['']
27 Si “Mo” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * Carte graphique 128 Mo 1024x768x32 | 128 mo => suggestions : ['128\xa0Mo']
27 Signe de multiplication typographique. =>   * Carte graphique 128 Mo 1024x768x32 | 1024x768 => suggestions : ['1024\xa0×\xa0768']
27 Mot inconnu : x768x32 =>   * Carte graphique 128 Mo 1024x768x32 | x768x32

29 Mot inconnu : Playonlinux => ===== Installation avec Playonlinux ===== | playonlinux

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Lancer le dvd de Driv3r** |    => suggestions : ['']
32 Mot inconnu : dvd =>   * **Lancer le dvd de Driv3r** | dvd
32 Mot inconnu : Driv3r =>   * **Lancer le dvd de Driv3r** | driv3r

33 Mot inconnu : Autorun => (l'installation de la version de démonstration est sensiblement semblable, à l'étape Autorun.exe remplacer par le .exe de la démo) | autorun
33 Mot inconnu : exe => (l'installation de la version de démonstration est sensiblement semblable, à l'étape Autorun.exe remplacer par le .exe de la démo) | exe
33 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => (l'installation de la version de démonstration est sensiblement semblable, à l'étape Autorun.exe remplacer par le .exe de la démo) |  . => suggestions : ['. ', '.']
33 Mot inconnu : exe => (l'installation de la version de démonstration est sensiblement semblable, à l'étape Autorun.exe remplacer par le .exe de la démo) | exe

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Ouvrir playonlinux** |    => suggestions : ['']
34 Mot inconnu : playonlinux =>   * **Ouvrir playonlinux** | playonlinux

36 Mot inconnu : win => <note tip>Si c'est la première fois installer les mises-à-jours et les polices win et relancer le programme. Si vous ne souhaitez pas mélanger vos jeux win avec vos jeux linux : dans "Options", "Environnement", cocher "Ajouter le tableau de bord à votre menu". Vous pouvez en profiter pour modifier l'emplacement du Bureau où arriveront les icônes et le navigateur par défaut.</note> | win
36 Mot inconnu : win => <note tip>Si c'est la première fois installer les mises-à-jours et les polices win et relancer le programme. Si vous ne souhaitez pas mélanger vos jeux win avec vos jeux linux : dans "Options", "Environnement", cocher "Ajouter le tableau de bord à votre menu". Vous pouvez en profiter pour modifier l'emplacement du Bureau où arriveront les icônes et le navigateur par défaut.</note> | win
36 Mot inconnu : linux => <note tip>Si c'est la première fois installer les mises-à-jours et les polices win et relancer le programme. Si vous ne souhaitez pas mélanger vos jeux win avec vos jeux linux : dans "Options", "Environnement", cocher "Ajouter le tableau de bord à votre menu". Vous pouvez en profiter pour modifier l'emplacement du Bureau où arriveront les icônes et le navigateur par défaut.</note> | linux
36 Guillemets typographiques ouvrants. => <note tip>Si c'est la première fois installer les mises-à-jours et les polices win et relancer le programme. Si vous ne souhaitez pas mélanger vos jeux win avec vos jeux linux : dans "Options", "Environnement", cocher "Ajouter le tableau de bord à votre menu". Vous pouvez en profiter pour modifier l'emplacement du Bureau où arriveront les icônes et le navigateur par défaut.</note> | " => suggestions : ['«\xa0', '“']
36 Guillemets typographiques fermants. => <note tip>Si c'est la première fois installer les mises-à-jours et les polices win et relancer le programme. Si vous ne souhaitez pas mélanger vos jeux win avec vos jeux linux : dans "Options", "Environnement", cocher "Ajouter le tableau de bord à votre menu". Vous pouvez en profiter pour modifier l'emplacement du Bureau où arriveront les icônes et le navigateur par défaut.</note> | " => suggestions : ['\xa0»', '”']
36 Guillemets typographiques ouvrants. => <note tip>Si c'est la première fois installer les mises-à-jours et les polices win et relancer le programme. Si vous ne souhaitez pas mélanger vos jeux win avec vos jeux linux : dans "Options", "Environnement", cocher "Ajouter le tableau de bord à votre menu". Vous pouvez en profiter pour modifier l'emplacement du Bureau où arriveront les icônes et le navigateur par défaut.</note> | " => suggestions : ['«\xa0', '“']
36 Guillemets typographiques fermants. => <note tip>Si c'est la première fois installer les mises-à-jours et les polices win et relancer le programme. Si vous ne souhaitez pas mélanger vos jeux win avec vos jeux linux : dans "Options", "Environnement", cocher "Ajouter le tableau de bord à votre menu". Vous pouvez en profiter pour modifier l'emplacement du Bureau où arriveront les icônes et le navigateur par défaut.</note> | " => suggestions : ['\xa0»', '”']
36 Guillemets typographiques ouvrants. => <note tip>Si c'est la première fois installer les mises-à-jours et les polices win et relancer le programme. Si vous ne souhaitez pas mélanger vos jeux win avec vos jeux linux : dans "Options", "Environnement", cocher "Ajouter le tableau de bord à votre menu". Vous pouvez en profiter pour modifier l'emplacement du Bureau où arriveront les icônes et le navigateur par défaut.</note> | " => suggestions : ['«\xa0', '“']
36 Guillemets typographiques fermants. => <note tip>Si c'est la première fois installer les mises-à-jours et les polices win et relancer le programme. Si vous ne souhaitez pas mélanger vos jeux win avec vos jeux linux : dans "Options", "Environnement", cocher "Ajouter le tableau de bord à votre menu". Vous pouvez en profiter pour modifier l'emplacement du Bureau où arriveront les icônes et le navigateur par défaut.</note> | " => suggestions : ['\xa0»', '”']

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"driv3r"** comme nom du répertoire/préfixe **"Suivant"** |    => suggestions : ['']
37 Guillemets typographiques ouvrants. =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"driv3r"** comme nom du répertoire/préfixe **"Suivant"** | " => suggestions : ['«\xa0', '“']
37 Guillemets typographiques fermants. =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"driv3r"** comme nom du répertoire/préfixe **"Suivant"** | " => suggestions : ['\xa0»', '”']
37 Guillemets typographiques ouvrants. =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"driv3r"** comme nom du répertoire/préfixe **"Suivant"** | " => suggestions : ['«\xa0', '“']
37 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"driv3r"** comme nom du répertoire/préfixe **"Suivant"** | ... => suggestions : ['…']
37 Guillemets typographiques fermants. =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"driv3r"** comme nom du répertoire/préfixe **"Suivant"** | " => suggestions : ['\xa0»', '”']
37 Guillemets typographiques ouvrants. =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"driv3r"** comme nom du répertoire/préfixe **"Suivant"** | " => suggestions : ['«\xa0', '“']
37 Guillemets typographiques fermants. =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"driv3r"** comme nom du répertoire/préfixe **"Suivant"** | " => suggestions : ['\xa0»', '”']
37 Guillemets typographiques ouvrants. =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"driv3r"** comme nom du répertoire/préfixe **"Suivant"** | " => suggestions : ['«\xa0', '“']
37 Guillemets typographiques fermants. =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"driv3r"** comme nom du répertoire/préfixe **"Suivant"** | " => suggestions : ['\xa0»', '”']
37 Guillemets typographiques ouvrants. =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"driv3r"** comme nom du répertoire/préfixe **"Suivant"** | " => suggestions : ['«\xa0', '“']
37 Guillemets typographiques fermants. =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"driv3r"** comme nom du répertoire/préfixe **"Suivant"** | " => suggestions : ['\xa0»', '”']
37 Guillemets typographiques ouvrants. =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"driv3r"** comme nom du répertoire/préfixe **"Suivant"** | " => suggestions : ['«\xa0', '“']
37 Guillemets typographiques fermants. =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"driv3r"** comme nom du répertoire/préfixe **"Suivant"** | " => suggestions : ['\xa0»', '”']
37 Guillemets typographiques ouvrants. =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"driv3r"** comme nom du répertoire/préfixe **"Suivant"** | " => suggestions : ['«\xa0', '“']
37 Guillemets typographiques fermants. =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"driv3r"** comme nom du répertoire/préfixe **"Suivant"** | " => suggestions : ['\xa0»', '”']
37 Guillemets typographiques ouvrants. =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"driv3r"** comme nom du répertoire/préfixe **"Suivant"** | " => suggestions : ['«\xa0', '“']
37 Mot inconnu : driv3r =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"driv3r"** comme nom du répertoire/préfixe **"Suivant"** | driv3r
37 Guillemets typographiques fermants. =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"driv3r"** comme nom du répertoire/préfixe **"Suivant"** | " => suggestions : ['\xa0»', '”']
37 Guillemets typographiques ouvrants. =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"driv3r"** comme nom du répertoire/préfixe **"Suivant"** | " => suggestions : ['«\xa0', '“']
37 Guillemets typographiques fermants. =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"driv3r"** comme nom du répertoire/préfixe **"Suivant"** | " => suggestions : ['\xa0»', '”']

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Configurer wine **"Non"** |    => suggestions : ['']
38 Mot inconnu : wine =>   * Configurer wine **"Non"** | wine
38 Guillemets typographiques ouvrants. =>   * Configurer wine **"Non"** | " => suggestions : ['«\xa0', '“']
38 Guillemets typographiques fermants. =>   * Configurer wine **"Non"** | " => suggestions : ['\xa0»', '”']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Bouton **"Parcourir"** aller au dvd et choisissez **"Autorun.exe" "Suivant"** |    => suggestions : ['']
39 Guillemets typographiques ouvrants. =>   * Bouton **"Parcourir"** aller au dvd et choisissez **"Autorun.exe" "Suivant"** | " => suggestions : ['«\xa0', '“']
39 Guillemets typographiques fermants. =>   * Bouton **"Parcourir"** aller au dvd et choisissez **"Autorun.exe" "Suivant"** | " => suggestions : ['\xa0»', '”']
39 Mot inconnu : dvd =>   * Bouton **"Parcourir"** aller au dvd et choisissez **"Autorun.exe" "Suivant"** | dvd
39 Guillemets typographiques ouvrants. =>   * Bouton **"Parcourir"** aller au dvd et choisissez **"Autorun.exe" "Suivant"** | " => suggestions : ['«\xa0', '“']
39 Mot inconnu : Autorun =>   * Bouton **"Parcourir"** aller au dvd et choisissez **"Autorun.exe" "Suivant"** | autorun
39 Mot inconnu : exe =>   * Bouton **"Parcourir"** aller au dvd et choisissez **"Autorun.exe" "Suivant"** | exe
39 Guillemets typographiques fermants. =>   * Bouton **"Parcourir"** aller au dvd et choisissez **"Autorun.exe" "Suivant"** | " => suggestions : ['\xa0»', '”']
39 Guillemets typographiques ouvrants. =>   * Bouton **"Parcourir"** aller au dvd et choisissez **"Autorun.exe" "Suivant"** | " => suggestions : ['«\xa0', '“']
39 Guillemets typographiques fermants. =>   * Bouton **"Parcourir"** aller au dvd et choisissez **"Autorun.exe" "Suivant"** | " => suggestions : ['\xa0»', '”']

40 Mot inconnu : Autorun => <note tip>**Pourquoi Autorun.exe ?** A l'insertion de la galette, Windows cherche un fichier nommé Autorun.inf. En l'ouvrant avec un éditeur de texte ([[gedit]] etc.) on apprend quel fichier doit être exécuter en premier.</note> | autorun
40 Mot inconnu : exe => <note tip>**Pourquoi Autorun.exe ?** A l'insertion de la galette, Windows cherche un fichier nommé Autorun.inf. En l'ouvrant avec un éditeur de texte ([[gedit]] etc.) on apprend quel fichier doit être exécuter en premier.</note> | exe
40 Mot inconnu : Autorun => <note tip>**Pourquoi Autorun.exe ?** A l'insertion de la galette, Windows cherche un fichier nommé Autorun.inf. En l'ouvrant avec un éditeur de texte ([[gedit]] etc.) on apprend quel fichier doit être exécuter en premier.</note> | autorun
40 Mot inconnu : inf => <note tip>**Pourquoi Autorun.exe ?** A l'insertion de la galette, Windows cherche un fichier nommé Autorun.inf. En l'ouvrant avec un éditeur de texte ([[gedit]] etc.) on apprend quel fichier doit être exécuter en premier.</note> | inf
40 Mot inconnu : gedit => <note tip>**Pourquoi Autorun.exe ?** A l'insertion de la galette, Windows cherche un fichier nommé Autorun.inf. En l'ouvrant avec un éditeur de texte ([[gedit]] etc.) on apprend quel fichier doit être exécuter en premier.</note> | gedit
40 Après “être”, le verbe ne devrait pas être à l’infinitif. => <note tip>**Pourquoi Autorun.exe ?** A l'insertion de la galette, Windows cherche un fichier nommé Autorun.inf. En l'ouvrant avec un éditeur de texte ([[gedit]] etc.) on apprend quel fichier doit être exécuter en premier.</note> | exécuter => suggestions : ['exécutés', 'exécutées', 'exécutée', 'exécuté']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * L'InstallShield s'ouvre, **"Français" "Suivant" "Suivant" "Accepter" "Suivant" "Suivant" "Installer"**, **__DÉCOCHER__ toutes les cases, sauf "Créer un raccourci sur le bureau" "Suivant"** |    => suggestions : ['']
41 Mot inconnu : InstallShield =>   * L'InstallShield s'ouvre, **"Français" "Suivant" "Suivant" "Accepter" "Suivant" "Suivant" "Installer"**, **__DÉCOCHER__ toutes les cases, sauf "Créer un raccourci sur le bureau" "Suivant"** | installshield
41 Guillemets typographiques ouvrants. =>   * L'InstallShield s'ouvre, **"Français" "Suivant" "Suivant" "Accepter" "Suivant" "Suivant" "Installer"**, **__DÉCOCHER__ toutes les cases, sauf "Créer un raccourci sur le bureau" "Suivant"** | " => suggestions : ['«\xa0', '“']
41 Guillemets typographiques fermants. =>   * L'InstallShield s'ouvre, **"Français" "Suivant" "Suivant" "Accepter" "Suivant" "Suivant" "Installer"**, **__DÉCOCHER__ toutes les cases, sauf "Créer un raccourci sur le bureau" "Suivant"** | " => suggestions : ['\xa0»', '”']
41 Guillemets typographiques ouvrants. =>   * L'InstallShield s'ouvre, **"Français" "Suivant" "Suivant" "Accepter" "Suivant" "Suivant" "Installer"**, **__DÉCOCHER__ toutes les cases, sauf "Créer un raccourci sur le bureau" "Suivant"** | " => suggestions : ['«\xa0', '“']
41 Guillemets typographiques fermants. =>   * L'InstallShield s'ouvre, **"Français" "Suivant" "Suivant" "Accepter" "Suivant" "Suivant" "Installer"**, **__DÉCOCHER__ toutes les cases, sauf "Créer un raccourci sur le bureau" "Suivant"** | " => suggestions : ['\xa0»', '”']
41 Guillemets typographiques ouvrants. =>   * L'InstallShield s'ouvre, **"Français" "Suivant" "Suivant" "Accepter" "Suivant" "Suivant" "Installer"**, **__DÉCOCHER__ toutes les cases, sauf "Créer un raccourci sur le bureau" "Suivant"** | " => suggestions : ['«\xa0', '“']
41 Guillemets typographiques fermants. =>   * L'InstallShield s'ouvre, **"Français" "Suivant" "Suivant" "Accepter" "Suivant" "Suivant" "Installer"**, **__DÉCOCHER__ toutes les cases, sauf "Créer un raccourci sur le bureau" "Suivant"** | " => suggestions : ['\xa0»', '”']
41 Guillemets typographiques ouvrants. =>   * L'InstallShield s'ouvre, **"Français" "Suivant" "Suivant" "Accepter" "Suivant" "Suivant" "Installer"**, **__DÉCOCHER__ toutes les cases, sauf "Créer un raccourci sur le bureau" "Suivant"** | " => suggestions : ['«\xa0', '“']
41 Guillemets typographiques fermants. =>   * L'InstallShield s'ouvre, **"Français" "Suivant" "Suivant" "Accepter" "Suivant" "Suivant" "Installer"**, **__DÉCOCHER__ toutes les cases, sauf "Créer un raccourci sur le bureau" "Suivant"** | " => suggestions : ['\xa0»', '”']
41 Guillemets typographiques ouvrants. =>   * L'InstallShield s'ouvre, **"Français" "Suivant" "Suivant" "Accepter" "Suivant" "Suivant" "Installer"**, **__DÉCOCHER__ toutes les cases, sauf "Créer un raccourci sur le bureau" "Suivant"** | " => suggestions : ['«\xa0', '“']
41 Guillemets typographiques fermants. =>   * L'InstallShield s'ouvre, **"Français" "Suivant" "Suivant" "Accepter" "Suivant" "Suivant" "Installer"**, **__DÉCOCHER__ toutes les cases, sauf "Créer un raccourci sur le bureau" "Suivant"** | " => suggestions : ['\xa0»', '”']
41 Guillemets typographiques ouvrants. =>   * L'InstallShield s'ouvre, **"Français" "Suivant" "Suivant" "Accepter" "Suivant" "Suivant" "Installer"**, **__DÉCOCHER__ toutes les cases, sauf "Créer un raccourci sur le bureau" "Suivant"** | " => suggestions : ['«\xa0', '“']
41 Guillemets typographiques fermants. =>   * L'InstallShield s'ouvre, **"Français" "Suivant" "Suivant" "Accepter" "Suivant" "Suivant" "Installer"**, **__DÉCOCHER__ toutes les cases, sauf "Créer un raccourci sur le bureau" "Suivant"** | " => suggestions : ['\xa0»', '”']
41 Guillemets typographiques ouvrants. =>   * L'InstallShield s'ouvre, **"Français" "Suivant" "Suivant" "Accepter" "Suivant" "Suivant" "Installer"**, **__DÉCOCHER__ toutes les cases, sauf "Créer un raccourci sur le bureau" "Suivant"** | " => suggestions : ['«\xa0', '“']
41 Guillemets typographiques fermants. =>   * L'InstallShield s'ouvre, **"Français" "Suivant" "Suivant" "Accepter" "Suivant" "Suivant" "Installer"**, **__DÉCOCHER__ toutes les cases, sauf "Créer un raccourci sur le bureau" "Suivant"** | " => suggestions : ['\xa0»', '”']
41 Mot inconnu : __DÉCOCHER__ =>   * L'InstallShield s'ouvre, **"Français" "Suivant" "Suivant" "Accepter" "Suivant" "Suivant" "Installer"**, **__DÉCOCHER__ toutes les cases, sauf "Créer un raccourci sur le bureau" "Suivant"** | __décocher__
