
5 Mot inconnu : GoldenGate [[7:17]] => ====== GoldenGate OpenR66 ====== <|> goldengate
525 Guillemets typographiques fermants. [[211:212]] =>   * «À» ou «de-option" (exclusivité): Ceci spécifie le chemin de la demande de transfert. 'À' précise que la demande initiale a été initié par l'hôte actuel en cours d'exécution sur l'hôte distant spécifié. '-De' précise que la demande initiale a été initié par l'hôte distant spécifié. <|> ' => suggestions : ’”›
530 Mot inconnu : RequestInformation [[4:22]] =>   * RequestInformation <|> requestinformation

532 Guillemets typographiques fermants. [[130:131]] => Cet utilitaire est utilisé pour obtenir des informations d'un fichier, un répertoire, avec ou sans caractères génériques («*» et'?"). <|> " => suggestions :  »”
537 Guillemets typographiques ouvrants. [[4:5]] =>   * 'À' option: spécifie l'hôte demandé. <|> ' => suggestions : ‘“‹
537 Guillemets typographiques fermants. [[6:7]] =>   * 'À' option: spécifie l'hôte demandé. <|> ' => suggestions : ’”›
539 Guillemets typographiques ouvrants. [[4:5]] =>   * 'Fichier' le fichier option pour laquelle pour obtenir des infos (peut contenir des caractères génériques) <|> ' => suggestions : ‘“‹
539 Guillemets typographiques fermants. [[12:13]] =>   * 'Fichier' le fichier option pour laquelle pour obtenir des infos (peut contenir des caractères génériques) <|> ' => suggestions : ’”›

545 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  

546 Mot inconnu : OpenR66 [[12:19]] => ==== Règles OpenR66 ==== <|> openr66
548 Pas d’espace avant un point. [[290:292]] => Nous nous concentrons ici sur les différentes tâches qui sont possibles de faire avant que le transfert commence (action préalable), après un transfert est terminé correctement (action post) ou après une erreur se produit (soit en pré ou post action ou lors du transfert: l'action d'erreur) .  <|>  . => suggestions : .
548 Espace(s) en fin de ligne à supprimer. [[292:293]] => Nous nous concentrons ici sur les différentes tâches qui sont possibles de faire avant que le transfert commence (action préalable), après un transfert est terminé correctement (action post) ou après une erreur se produit (soit en pré ou post action ou lors du transfert: l'action d'erreur) .  <|>  

554 Espace(s) en fin de ligne à supprimer. [[100:101]] => Chaque action pourrait être le pré, post ou pas d'erreur, chaque étape peut avoir plusieurs actions.  <|>  
