
5 Mot inconnu : Dnsnwnw [[0:7]] => Dnsnwnw. Dg fcsvd f fnsnwnsfv,yhsbsksnwvwvsvbv <|> dnsnwnw
73 Guillemets typographiques ouvrants. [[290:291]] =>   * Si, au lancement de Java Web Start, vous avez l'erreur suivante: "java.net.MalformedURLException: unknown protocol: socket", configurez Java Web Start (menu //Système->Préférence->Sun Java6 Plugin Control Panel//): sous l'onglet "Général", cliquez sur "Paramètres réseau" et choisissez "Connexion directe à Internet". Ainsi il se connectera directement à internet. <|> " => suggestions : ['«\xa0', '“']
73 Guillemets typographiques fermants. [[319:320]] =>   * Si, au lancement de Java Web Start, vous avez l'erreur suivante: "java.net.MalformedURLException: unknown protocol: socket", configurez Java Web Start (menu //Système->Préférence->Sun Java6 Plugin Control Panel//): sous l'onglet "Général", cliquez sur "Paramètres réseau" et choisissez "Connexion directe à Internet". Ainsi il se connectera directement à internet. <|> " => suggestions : ['\xa0»', '”']
74 Mot inconnu : Desktop [[90:97]] =>   * Si le raccourci ne peut se créer sur le bureau, il suffit de créer un lien symbolique Desktop -> Bureau <|> desktop
79 Mot inconnu : ant [[51:54]] =>   * Décompresser le fichier téléchargé et exécuter ant dans le répertoire où se trouve le fichier build.xml. En théorie, après la compilation réussie, il suffit de charger la page SweetHome3DApplet.html du répertoire deploy pour démarrer Sweet Home 3D. Malheureusement, l'application Java Web Start résultant de ce processus de compilation ne s'exécutait pas du tout, ne parvenant pas à localiser les ressources dont elle avait besoin. Il se peut qu'un système 64 bits en soit la cause, pour lequel les plug-ins Java sont moins matures. <|> ant
79 Mot inconnu : xml [[104:107]] =>   * Décompresser le fichier téléchargé et exécuter ant dans le répertoire où se trouve le fichier build.xml. En théorie, après la compilation réussie, il suffit de charger la page SweetHome3DApplet.html du répertoire deploy pour démarrer Sweet Home 3D. Malheureusement, l'application Java Web Start résultant de ce processus de compilation ne s'exécutait pas du tout, ne parvenant pas à localiser les ressources dont elle avait besoin. Il se peut qu'un système 64 bits en soit la cause, pour lequel les plug-ins Java sont moins matures. <|> xml
79 Mot inconnu : SweetHome3DApplet [[180:197]] =>   * Décompresser le fichier téléchargé et exécuter ant dans le répertoire où se trouve le fichier build.xml. En théorie, après la compilation réussie, il suffit de charger la page SweetHome3DApplet.html du répertoire deploy pour démarrer Sweet Home 3D. Malheureusement, l'application Java Web Start résultant de ce processus de compilation ne s'exécutait pas du tout, ne parvenant pas à localiser les ressources dont elle avait besoin. Il se peut qu'un système 64 bits en soit la cause, pour lequel les plug-ins Java sont moins matures. <|> sweethome3dapplet
79 Mot inconnu : html [[198:202]] =>   * Décompresser le fichier téléchargé et exécuter ant dans le répertoire où se trouve le fichier build.xml. En théorie, après la compilation réussie, il suffit de charger la page SweetHome3DApplet.html du répertoire deploy pour démarrer Sweet Home 3D. Malheureusement, l'application Java Web Start résultant de ce processus de compilation ne s'exécutait pas du tout, ne parvenant pas à localiser les ressources dont elle avait besoin. Il se peut qu'un système 64 bits en soit la cause, pour lequel les plug-ins Java sont moins matures. <|> html
79 Mot inconnu : deploy [[217:223]] =>   * Décompresser le fichier téléchargé et exécuter ant dans le répertoire où se trouve le fichier build.xml. En théorie, après la compilation réussie, il suffit de charger la page SweetHome3DApplet.html du répertoire deploy pour démarrer Sweet Home 3D. Malheureusement, l'application Java Web Start résultant de ce processus de compilation ne s'exécutait pas du tout, ne parvenant pas à localiser les ressources dont elle avait besoin. Il se peut qu'un système 64 bits en soit la cause, pour lequel les plug-ins Java sont moins matures. <|> deploy
79 Mot inconnu : Sweet [[238:243]] =>   * Décompresser le fichier téléchargé et exécuter ant dans le répertoire où se trouve le fichier build.xml. En théorie, après la compilation réussie, il suffit de charger la page SweetHome3DApplet.html du répertoire deploy pour démarrer Sweet Home 3D. Malheureusement, l'application Java Web Start résultant de ce processus de compilation ne s'exécutait pas du tout, ne parvenant pas à localiser les ressources dont elle avait besoin. Il se peut qu'un système 64 bits en soit la cause, pour lequel les plug-ins Java sont moins matures. <|> sweet
79 Mot inconnu : Start [[293:298]] =>   * Décompresser le fichier téléchargé et exécuter ant dans le répertoire où se trouve le fichier build.xml. En théorie, après la compilation réussie, il suffit de charger la page SweetHome3DApplet.html du répertoire deploy pour démarrer Sweet Home 3D. Malheureusement, l'application Java Web Start résultant de ce processus de compilation ne s'exécutait pas du tout, ne parvenant pas à localiser les ressources dont elle avait besoin. Il se peut qu'un système 64 bits en soit la cause, pour lequel les plug-ins Java sont moins matures. <|> start
79 Confusion probable. [[472:476]] =>   * Décompresser le fichier téléchargé et exécuter ant dans le répertoire où se trouve le fichier build.xml. En théorie, après la compilation réussie, il suffit de charger la page SweetHome3DApplet.html du répertoire deploy pour démarrer Sweet Home 3D. Malheureusement, l'application Java Web Start résultant de ce processus de compilation ne s'exécutait pas du tout, ne parvenant pas à localiser les ressources dont elle avait besoin. Il se peut qu'un système 64 bits en soit la cause, pour lequel les plug-ins Java sont moins matures. <|> soit => suggestions : ['soi']

85 Pléonasme. [[0:10]] => voire même mieux, si vous voulez attribuer un maximum 512 Mo au programme  : <|> voire même => suggestions : ['voire', 'même']
85 Si “Mo” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[54:60]] => voire même mieux, si vous voulez attribuer un maximum 512 Mo au programme  : <|> 512 mo => suggestions : ['512\xa0Mo']
85 Espace(s) surnuméraire(s) à supprimer. [[73:75]] => voire même mieux, si vous voulez attribuer un maximum 512 Mo au programme  : <|>    => suggestions : [' ']

132 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[41:43]] => Cette méthode, à la différence du fichier .jnlp, a l'avantage de ne pas créer une instance dans le cache Java, à chaque fois que l'application est lancée par ce raccourci. <|>  . => suggestions : ['. ', '.']
132 Mot inconnu : jnlp [[43:47]] => Cette méthode, à la différence du fichier .jnlp, a l'avantage de ne pas créer une instance dans le cache Java, à chaque fois que l'application est lancée par ce raccourci. <|> jnlp

138 Guillemets typographiques ouvrants. [[15:16]] => clic droit sur "Applications" => "Editer les menus" => Aller sur "Graphismes" => "Ajouter Element" <|> " => suggestions : ['«\xa0', '“']
138 Guillemets typographiques fermants. [[28:29]] => clic droit sur "Applications" => "Editer les menus" => Aller sur "Graphismes" => "Ajouter Element" <|> " => suggestions : ['\xa0»', '”']
138 Guillemets typographiques ouvrants. [[33:34]] => clic droit sur "Applications" => "Editer les menus" => Aller sur "Graphismes" => "Ajouter Element" <|> " => suggestions : ['«\xa0', '“']
138 Mot inconnu : Editer [[34:40]] => clic droit sur "Applications" => "Editer les menus" => Aller sur "Graphismes" => "Ajouter Element" <|> editer
138 Guillemets typographiques fermants. [[50:51]] => clic droit sur "Applications" => "Editer les menus" => Aller sur "Graphismes" => "Ajouter Element" <|> " => suggestions : ['\xa0»', '”']
138 Guillemets typographiques ouvrants. [[65:66]] => clic droit sur "Applications" => "Editer les menus" => Aller sur "Graphismes" => "Ajouter Element" <|> " => suggestions : ['«\xa0', '“']
138 Guillemets typographiques fermants. [[76:77]] => clic droit sur "Applications" => "Editer les menus" => Aller sur "Graphismes" => "Ajouter Element" <|> " => suggestions : ['\xa0»', '”']
138 Guillemets typographiques ouvrants. [[81:82]] => clic droit sur "Applications" => "Editer les menus" => Aller sur "Graphismes" => "Ajouter Element" <|> " => suggestions : ['«\xa0', '“']
138 Accentuez les majuscules. [[90:97]] => clic droit sur "Applications" => "Editer les menus" => Aller sur "Graphismes" => "Ajouter Element" <|> element => suggestions : ['Élement']
138 Mot inconnu : Element [[90:97]] => clic droit sur "Applications" => "Editer les menus" => Aller sur "Graphismes" => "Ajouter Element" <|> element
138 Guillemets typographiques fermants. [[97:98]] => clic droit sur "Applications" => "Editer les menus" => Aller sur "Graphismes" => "Ajouter Element" <|> " => suggestions : ['\xa0»', '”']
141 Mot inconnu : Maison3D [[10:18]] =>   * Nom : Maison3D <|> maison3d
142 Mot inconnu : sweethome3d [[15:26]] =>   * Commande : sweethome3d <|> sweethome3d

153 Il manque un trait d’union si “même” se rapporte à “lui”. [[185:193]] => L'utilisation est très intuitive, le dessin des murs s'effectue aisément, tout comme le positionnement des éléments mobiles, c'est-à-dire les portes, fenêtres, escaliers et le mobilier lui même. <|> lui même => suggestions : ['lui-même']
169 Espace(s) en fin de ligne à supprimer. [[31:32]] => Vue générale de l'application :  <|>   => suggestions : ['']
177 Espace(s) en fin de ligne à supprimer. [[29:30]] => Une vue aérienne de ce plan :  <|>   => suggestions : ['']
181 Espace(s) en fin de ligne à supprimer. [[38:39]] => Et la même maison vue de l'intérieur :  <|>   => suggestions : ['']
185 Espace(s) en fin de ligne à supprimer. [[17:18]] => L'aide en ligne :  <|>   => suggestions : ['']

196 Mot inconnu : Sweet [[0:5]] => Sweet Home 3D ne dispose pas encore de certaines options qui peuvent faire défaut selon l'usage que l'on veut en faire, à savoir : <|> sweet
197 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. [[4:7]] =>   * pas de possibilité de retoucher la forme des meubles, mais les possibilités d'importation de bibliothèque de mobilier sont presque sans limite. Si vous savez travailler avec Blender, vous pourrez fabriquer vous-même n'importe quel meuble ou objet. <|> pas => suggestions : ['Pas']
198 Mot inconnu : The [[42:45]] =>   * pas de vrai système de calques (façon The gimp) pour le mobilier, même si la gestion des niveaux ayant une même élévation permet de s'en approcher. <|> the
198 Mot inconnu : gimp [[46:50]] =>   * pas de vrai système de calques (façon The gimp) pour le mobilier, même si la gestion des niveaux ayant une même élévation permet de s'en approcher. <|> gimp

216 Guillemets typographiques ouvrants. [[0:1]] => "Sweet Home 3D doit quitter maintenant à cause d'une erreur fatale dans son système de rendu 3D" \\ <|> " => suggestions : ['«\xa0', '“']
216 Mot inconnu : Sweet [[1:6]] => "Sweet Home 3D doit quitter maintenant à cause d'une erreur fatale dans son système de rendu 3D" \\ <|> sweet
216 Guillemets typographiques fermants. [[95:96]] => "Sweet Home 3D doit quitter maintenant à cause d'une erreur fatale dans son système de rendu 3D" \\ <|> " => suggestions : ['\xa0»', '”']

230 Mot inconnu : Start [[25:30]] => ====Utilisé via Java Web Start ==== <|> start
