1 Mot inconnu : hardy => [[BROUILLON]],[[hardy]],[[freebox]],[[television]] | hardy
11 Mot inconnu : BTTV => <note>Testé avec Ubuntu 8.04, carte graphique ATI Radeon HD3650 avec pilote radeonhd (sans 3D) carte TV Pinnacle PCTV Rage. **ATTENTION** Sauf mention contraire ca ne concerne que les cartes de type BTTV, je n'ai pas testé avec un autre matériel </note> | bttv

13 Mot inconnu : ATI => Lors de l'installation de pilotes ATI (cartes récentes dont les pilotes sont en cours de développement), qu'ils soient propriétaires ou libres, vous avez peut-être remarqué des limitations comme "pas de support Tuner TV". Dans certains cas, le problème est dû à l'absence d'overlay (YUY2) qui est normalement fourni par les pilotes graphiques. Vous pouvez vérifier cela en lançant TVTime depuis la console :  | ati
13 Guillemets typographiques ouvrants. => Lors de l'installation de pilotes ATI (cartes récentes dont les pilotes sont en cours de développement), qu'ils soient propriétaires ou libres, vous avez peut-être remarqué des limitations comme "pas de support Tuner TV". Dans certains cas, le problème est dû à l'absence d'overlay (YUY2) qui est normalement fourni par les pilotes graphiques. Vous pouvez vérifier cela en lançant TVTime depuis la console :  | " => suggestions : ['«\xa0', '“']
13 Guillemets typographiques fermants. => Lors de l'installation de pilotes ATI (cartes récentes dont les pilotes sont en cours de développement), qu'ils soient propriétaires ou libres, vous avez peut-être remarqué des limitations comme "pas de support Tuner TV". Dans certains cas, le problème est dû à l'absence d'overlay (YUY2) qui est normalement fourni par les pilotes graphiques. Vous pouvez vérifier cela en lançant TVTime depuis la console :  | " => suggestions : ['\xa0»', '”']
13 Mot inconnu : overlay => Lors de l'installation de pilotes ATI (cartes récentes dont les pilotes sont en cours de développement), qu'ils soient propriétaires ou libres, vous avez peut-être remarqué des limitations comme "pas de support Tuner TV". Dans certains cas, le problème est dû à l'absence d'overlay (YUY2) qui est normalement fourni par les pilotes graphiques. Vous pouvez vérifier cela en lançant TVTime depuis la console :  | overlay
13 Mot inconnu : YUY2 => Lors de l'installation de pilotes ATI (cartes récentes dont les pilotes sont en cours de développement), qu'ils soient propriétaires ou libres, vous avez peut-être remarqué des limitations comme "pas de support Tuner TV". Dans certains cas, le problème est dû à l'absence d'overlay (YUY2) qui est normalement fourni par les pilotes graphiques. Vous pouvez vérifier cela en lançant TVTime depuis la console :  | yuy2
13 Mot inconnu : TVTime => Lors de l'installation de pilotes ATI (cartes récentes dont les pilotes sont en cours de développement), qu'ils soient propriétaires ou libres, vous avez peut-être remarqué des limitations comme "pas de support Tuner TV". Dans certains cas, le problème est dû à l'absence d'overlay (YUY2) qui est normalement fourni par les pilotes graphiques. Vous pouvez vérifier cela en lançant TVTime depuis la console :  | tvtime
13 Espace(s) en fin de ligne à supprimer. => Lors de l'installation de pilotes ATI (cartes récentes dont les pilotes sont en cours de développement), qu'ils soient propriétaires ou libres, vous avez peut-être remarqué des limitations comme "pas de support Tuner TV". Dans certains cas, le problème est dû à l'absence d'overlay (YUY2) qui est normalement fourni par les pilotes graphiques. Vous pouvez vérifier cela en lançant TVTime depuis la console :  |   => suggestions : ['']

14 Guillemets typographiques ouvrants. => ''tvtime''  | '' => suggestions : ['«\xa0', '“']
14 Mot inconnu : tvtime => ''tvtime''  | tvtime
14 Guillemets typographiques fermants. => ''tvtime''  | '' => suggestions : ['\xa0»', '”']
14 Espace(s) en fin de ligne à supprimer. => ''tvtime''  |   => suggestions : ['']

15 Mot inconnu : tvtime => Si tvtime renvoit un message commençant par  | tvtime
15 Mot inconnu : renvoit => Si tvtime renvoit un message commençant par  | renvoit
15 Espace(s) en fin de ligne à supprimer. => Si tvtime renvoit un message commençant par  |   => suggestions : ['']

16 Guillemets typographiques ouvrants. => ''tvtime requires hardware YUY2 overlay support from your video card driver.'' | '' => suggestions : ['«\xa0', '“']
16 Mot inconnu : tvtime => ''tvtime requires hardware YUY2 overlay support from your video card driver.'' | tvtime
16 Mot inconnu : requires => ''tvtime requires hardware YUY2 overlay support from your video card driver.'' | requires
16 Mot inconnu : YUY2 => ''tvtime requires hardware YUY2 overlay support from your video card driver.'' | yuy2
16 Mot inconnu : overlay => ''tvtime requires hardware YUY2 overlay support from your video card driver.'' | overlay
16 Mot inconnu : from => ''tvtime requires hardware YUY2 overlay support from your video card driver.'' | from
16 Mot inconnu : your => ''tvtime requires hardware YUY2 overlay support from your video card driver.'' | your
16 Mot inconnu : video => ''tvtime requires hardware YUY2 overlay support from your video card driver.'' | video
16 Mot inconnu : card => ''tvtime requires hardware YUY2 overlay support from your video card driver.'' | card
16 Guillemets typographiques fermants. => ''tvtime requires hardware YUY2 overlay support from your video card driver.'' | '' => suggestions : ['\xa0»', '”']

17 Espace(s) en fin de ligne à supprimer. => cela signifie que ce problème vous concerne.  |   => suggestions : ['']

18 Mot inconnu : overlay => Il faut trouver une alternative à l'overlay, ce que permettent ''xawtv'' et ''[[vlc]]''. | overlay
18 Guillemets typographiques ouvrants. => Il faut trouver une alternative à l'overlay, ce que permettent ''xawtv'' et ''[[vlc]]''. | '' => suggestions : ['«\xa0', '“']
18 Mot inconnu : xawtv => Il faut trouver une alternative à l'overlay, ce que permettent ''xawtv'' et ''[[vlc]]''. | xawtv
18 Guillemets typographiques fermants. => Il faut trouver une alternative à l'overlay, ce que permettent ''xawtv'' et ''[[vlc]]''. | '' => suggestions : ['\xa0»', '”']
18 Mot inconnu : vlc => Il faut trouver une alternative à l'overlay, ce que permettent ''xawtv'' et ''[[vlc]]''. | vlc
22 Mot inconnu : xawtv => 1. Installez si ce n'est pas déjà fait les paquets [[apt://xawtv]] et [[apt://vlc]] | xawtv
22 Mot inconnu : vlc => 1. Installez si ce n'est pas déjà fait les paquets [[apt://xawtv]] et [[apt://vlc]] | vlc

24 Mot inconnu : VLC => 2. Lancez VLC, //Fichier --> Ouvrir un périphérique de capture// | vlc

26 Mot inconnu : __Nom => 3. __Nom du périphérique vidéo__ : entrez ici le nom de votre périphérique (normalement, **video0**, mais peut-être video1 ou autre si vous possédez un autre périphérique video). Si vous ne le connaissez pas :  | __nom
26 Mot inconnu : vidéo__ => 3. __Nom du périphérique vidéo__ : entrez ici le nom de votre périphérique (normalement, **video0**, mais peut-être video1 ou autre si vous possédez un autre périphérique video). Si vous ne le connaissez pas :  | vidéo__
26 Mot inconnu : video0 => 3. __Nom du périphérique vidéo__ : entrez ici le nom de votre périphérique (normalement, **video0**, mais peut-être video1 ou autre si vous possédez un autre périphérique video). Si vous ne le connaissez pas :  | video0
26 Mot inconnu : video1 => 3. __Nom du périphérique vidéo__ : entrez ici le nom de votre périphérique (normalement, **video0**, mais peut-être video1 ou autre si vous possédez un autre périphérique video). Si vous ne le connaissez pas :  | video1
26 Mot inconnu : video => 3. __Nom du périphérique vidéo__ : entrez ici le nom de votre périphérique (normalement, **video0**, mais peut-être video1 ou autre si vous possédez un autre périphérique video). Si vous ne le connaissez pas :  | video
26 Espace(s) en fin de ligne à supprimer. => 3. __Nom du périphérique vidéo__ : entrez ici le nom de votre périphérique (normalement, **video0**, mais peut-être video1 ou autre si vous possédez un autre périphérique video). Si vous ne le connaissez pas :  |   => suggestions : ['']

30 Accord de genre erroné : « ligne » est féminin. => un ligne commençant par ''bttv0: registered device'' vous renvoit le nom du périphérique.  | un => suggestions : ['une']
30 Accord de genre erroné : « un » est un déterminant masculin. => un ligne commençant par ''bttv0: registered device'' vous renvoit le nom du périphérique.  | ligne => suggestions : ['ligné']
30 Guillemets typographiques ouvrants. => un ligne commençant par ''bttv0: registered device'' vous renvoit le nom du périphérique.  | '' => suggestions : ['«\xa0', '“']
30 Mot inconnu : bttv0 => un ligne commençant par ''bttv0: registered device'' vous renvoit le nom du périphérique.  | bttv0
30 Mot inconnu : registered => un ligne commençant par ''bttv0: registered device'' vous renvoit le nom du périphérique.  | registered
30 Mot inconnu : device => un ligne commençant par ''bttv0: registered device'' vous renvoit le nom du périphérique.  | device
30 Guillemets typographiques fermants. => un ligne commençant par ''bttv0: registered device'' vous renvoit le nom du périphérique.  | '' => suggestions : ['\xa0»', '”']
30 Mot inconnu : renvoit => un ligne commençant par ''bttv0: registered device'' vous renvoit le nom du périphérique.  | renvoit
30 Espace(s) en fin de ligne à supprimer. => un ligne commençant par ''bttv0: registered device'' vous renvoit le nom du périphérique.  |   => suggestions : ['']

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

32 Mot inconnu : __Nom => 4. __Nom du périphérique audio__ : Le plus simple, c'est de ne rien mettre (ou laisser ce qu'il y a) et connecter la sortie audio de la carte TV à l'entrée line ou mic de la carte son. | __nom
32 Mot inconnu : audio__ => 4. __Nom du périphérique audio__ : Le plus simple, c'est de ne rien mettre (ou laisser ce qu'il y a) et connecter la sortie audio de la carte TV à l'entrée line ou mic de la carte son. | audio__
32 Mot inconnu : line => 4. __Nom du périphérique audio__ : Le plus simple, c'est de ne rien mettre (ou laisser ce qu'il y a) et connecter la sortie audio de la carte TV à l'entrée line ou mic de la carte son. | line
32 Mot inconnu : mic => 4. __Nom du périphérique audio__ : Le plus simple, c'est de ne rien mettre (ou laisser ce qu'il y a) et connecter la sortie audio de la carte TV à l'entrée line ou mic de la carte son. | mic

34 Mot inconnu : __Norme__ => 5. __Norme__ : Normalement SECAM si on utilise l'entré Tuner. | __norme__
34 Confusion. Écrivez “entrée” pour évoquer l’arrivée ou le passage par lequel on entre. => 5. __Norme__ : Normalement SECAM si on utilise l'entré Tuner. | entré => suggestions : ['entrée']

36 Mot inconnu : __Options => 6. __Options avancées__ C'est ici que se règlent les chaînes.  | __options
36 Mot inconnu : avancées__ => 6. __Options avancées__ C'est ici que se règlent les chaînes.  | avancées__
36 Espace(s) en fin de ligne à supprimer. => 6. __Options avancées__ C'est ici que se règlent les chaînes.  |   => suggestions : ['']

41 Mot inconnu : Freebox => ===== Freebox HD ===== | freebox

44 Mot inconnu : Freebox => Les utilisateurs de la Freebox connaissent généralement un moyen de regarder la TV avec vlc, qui est le [[http://www.universfreebox.com/article825.html|multiposte]]. Mais cette solution ne permet pas de voir TF1, M6 et W9, et ni de profiter des services de la Freebox HD (enregistrement sur son disque dur interne, services de VOD etc) | freebox
44 Mot inconnu : vlc => Les utilisateurs de la Freebox connaissent généralement un moyen de regarder la TV avec vlc, qui est le [[http://www.universfreebox.com/article825.html|multiposte]]. Mais cette solution ne permet pas de voir TF1, M6 et W9, et ni de profiter des services de la Freebox HD (enregistrement sur son disque dur interne, services de VOD etc) | vlc
44 Mot inconnu : W9 => Les utilisateurs de la Freebox connaissent généralement un moyen de regarder la TV avec vlc, qui est le [[http://www.universfreebox.com/article825.html|multiposte]]. Mais cette solution ne permet pas de voir TF1, M6 et W9, et ni de profiter des services de la Freebox HD (enregistrement sur son disque dur interne, services de VOD etc) | w9
44 Mot inconnu : Freebox => Les utilisateurs de la Freebox connaissent généralement un moyen de regarder la TV avec vlc, qui est le [[http://www.universfreebox.com/article825.html|multiposte]]. Mais cette solution ne permet pas de voir TF1, M6 et W9, et ni de profiter des services de la Freebox HD (enregistrement sur son disque dur interne, services de VOD etc) | freebox

46 Mot inconnu : Freebox => Mon système perso consiste à faire passer la Freebox sur la carte TV à l'aide de l'entré composite (le son directement dans la carte son). Ainsi, pas de chaine à régler, et on peut utiliser toutes les fonctionnalités à partir de la télécommande.  | freebox
46 Confusion. Écrivez “entrée” pour évoquer l’arrivée ou le passage par lequel on entre. => Mon système perso consiste à faire passer la Freebox sur la carte TV à l'aide de l'entré composite (le son directement dans la carte son). Ainsi, pas de chaine à régler, et on peut utiliser toutes les fonctionnalités à partir de la télécommande.  | entré => suggestions : ['entrée']
46 Espace(s) en fin de ligne à supprimer. => Mon système perso consiste à faire passer la Freebox sur la carte TV à l'aide de l'entré composite (le son directement dans la carte son). Ainsi, pas de chaine à régler, et on peut utiliser toutes les fonctionnalités à partir de la télécommande.  |   => suggestions : ['']

48 Espace(s) en fin de ligne à supprimer. => Pour ce faire,  |   => suggestions : ['']

50 Guillemets typographiques ouvrants. => 1. Ouvrez ''vlc'' //Fichier -> Ouvrir un périphérique de capture//. | '' => suggestions : ['«\xa0', '“']
50 Mot inconnu : vlc => 1. Ouvrez ''vlc'' //Fichier -> Ouvrir un périphérique de capture//. | vlc
50 Guillemets typographiques fermants. => 1. Ouvrez ''vlc'' //Fichier -> Ouvrir un périphérique de capture//. | '' => suggestions : ['\xa0»', '”']
56 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. => 4. Fréquence : -1 | -1 => suggestions : ['−1', '– 1', '— 1']
58 Espace(s) en fin de ligne à supprimer. => 5. --> **Options avancées ** :  |   => suggestions : ['']

65 Typographie : points de suspension. Utilisez le caractère dédié. => En principe, vous devriez voir l'image. Si ce n'est pas le cas, essayez de changer la configuration (numéro de canal, norme...) | ... => suggestions : ['…']

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

72 Guillemets typographiques ouvrants. => 2. Sélectionnez entièrement et copiez la ligne ''Personnaliser'' tout en bas de la fenêtre. | '' => suggestions : ['«\xa0', '“']
72 Guillemets typographiques fermants. => 2. Sélectionnez entièrement et copiez la ligne ''Personnaliser'' tout en bas de la fenêtre. | '' => suggestions : ['\xa0»', '”']

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

74 Guillemets typographiques ouvrants. => 3. Clic-droit sur le bureau, "Créer un lanceur". | " => suggestions : ['«\xa0', '“']
74 Guillemets typographiques fermants. => 3. Clic-droit sur le bureau, "Créer un lanceur". | " => suggestions : ['\xa0»', '”']

76 Guillemets typographiques ouvrants. => 4. Collez le contenu de la ligne ''Personnaliser'' dans le champ "Commande", précédé de ''vlc'' et un espace. Ca donne quelque chose comme | '' => suggestions : ['«\xa0', '“']
76 Guillemets typographiques fermants. => 4. Collez le contenu de la ligne ''Personnaliser'' dans le champ "Commande", précédé de ''vlc'' et un espace. Ca donne quelque chose comme | '' => suggestions : ['\xa0»', '”']
76 Guillemets typographiques ouvrants. => 4. Collez le contenu de la ligne ''Personnaliser'' dans le champ "Commande", précédé de ''vlc'' et un espace. Ca donne quelque chose comme | " => suggestions : ['«\xa0', '“']
76 Guillemets typographiques fermants. => 4. Collez le contenu de la ligne ''Personnaliser'' dans le champ "Commande", précédé de ''vlc'' et un espace. Ca donne quelque chose comme | " => suggestions : ['\xa0»', '”']
76 Guillemets typographiques ouvrants. => 4. Collez le contenu de la ligne ''Personnaliser'' dans le champ "Commande", précédé de ''vlc'' et un espace. Ca donne quelque chose comme | '' => suggestions : ['«\xa0', '“']
76 Mot inconnu : vlc => 4. Collez le contenu de la ligne ''Personnaliser'' dans le champ "Commande", précédé de ''vlc'' et un espace. Ca donne quelque chose comme | vlc
76 Guillemets typographiques fermants. => 4. Collez le contenu de la ligne ''Personnaliser'' dans le champ "Commande", précédé de ''vlc'' et un espace. Ca donne quelque chose comme | '' => suggestions : ['\xa0»', '”']
76 Mot inconnu : Ca => 4. Collez le contenu de la ligne ''Personnaliser'' dans le champ "Commande", précédé de ''vlc'' et un espace. Ca donne quelque chose comme | ca

78 Guillemets typographiques ouvrants. => ''vlc v4l://:v4l-vdev="/dev/video0"..........etc..........'' | '' => suggestions : ['«\xa0', '“']
78 Mot inconnu : vlc => ''vlc v4l://:v4l-vdev="/dev/video0"..........etc..........'' | vlc
78 Mot inconnu : v4l => ''vlc v4l://:v4l-vdev="/dev/video0"..........etc..........'' | v4l
78 Mot inconnu : v4l-vdev => ''vlc v4l://:v4l-vdev="/dev/video0"..........etc..........'' | v4l-vdev
78 Typographie : succession de points. Utilisez le caractère dédié. => ''vlc v4l://:v4l-vdev="/dev/video0"..........etc..........'' | .......... => suggestions : ['………']
78 Typographie : succession de points. Utilisez le caractère dédié. => ''vlc v4l://:v4l-vdev="/dev/video0"..........etc..........'' | .......... => suggestions : ['………']
78 Guillemets typographiques fermants. => ''vlc v4l://:v4l-vdev="/dev/video0"..........etc..........'' | '' => suggestions : ['\xa0»', '”']

80 Mot inconnu : Choississez => 5. Choississez un nom pour votre lanceur, enregistrez et testez-le (normalement, devrait pas y'avoir de problème).  | choississez
80 Ni apostrophe ni trait d’union après “y”. => 5. Choississez un nom pour votre lanceur, enregistrez et testez-le (normalement, devrait pas y'avoir de problème).  | y'avoir => suggestions : ['y avoir']
80 Mot inconnu : y'avoir => 5. Choississez un nom pour votre lanceur, enregistrez et testez-le (normalement, devrait pas y'avoir de problème).  | y'avoir
80 Espace(s) en fin de ligne à supprimer. => 5. Choississez un nom pour votre lanceur, enregistrez et testez-le (normalement, devrait pas y'avoir de problème).  |   => suggestions : ['']

82 Mot inconnu : Eventuels => ===== Eventuels réglages (si nécessaire) avec XawTV ===== | eventuels
82 Mot inconnu : XawTV => ===== Eventuels réglages (si nécessaire) avec XawTV ===== | xawtv

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     xawtv & |      => suggestions : ['']
84 Mot inconnu : xawtv =>     xawtv & | xawtv

86 Guillemets typographiques ouvrants. => Répondre 'ok' au message qui apparait puis clic-droit sur la fenêtre qui s'ouvre.  | ' => suggestions : ['“', '‘', '‹']
86 Mot inconnu : ok => Répondre 'ok' au message qui apparait puis clic-droit sur la fenêtre qui s'ouvre.  | ok
86 Guillemets typographiques fermants. => Répondre 'ok' au message qui apparait puis clic-droit sur la fenêtre qui s'ouvre.  | ' => suggestions : ['”', '’', '›']
86 Espace(s) en fin de ligne à supprimer. => Répondre 'ok' au message qui apparait puis clic-droit sur la fenêtre qui s'ouvre.  |   => suggestions : ['']
87 Espace(s) en fin de ligne à supprimer. => Changer les réglages suivants :  |   => suggestions : ['']

89 Mot inconnu : TVNorm => TVNorm : PAL | tvnorm

91 Mot inconnu : Video => Video Source : Composite1 | video
91 Mot inconnu : Composite1 => Video Source : Composite1 | composite1
93 Guillemets typographiques ouvrants. => Capture : remplacer ''overlay'' par ''grabdisplay''. | '' => suggestions : ['«\xa0', '“']
93 Mot inconnu : overlay => Capture : remplacer ''overlay'' par ''grabdisplay''. | overlay
93 Guillemets typographiques fermants. => Capture : remplacer ''overlay'' par ''grabdisplay''. | '' => suggestions : ['\xa0»', '”']
93 Guillemets typographiques ouvrants. => Capture : remplacer ''overlay'' par ''grabdisplay''. | '' => suggestions : ['«\xa0', '“']
93 Mot inconnu : grabdisplay => Capture : remplacer ''overlay'' par ''grabdisplay''. | grabdisplay
93 Guillemets typographiques fermants. => Capture : remplacer ''overlay'' par ''grabdisplay''. | '' => suggestions : ['\xa0»', '”']

97 Accord de nombre erroné : « utilisateur » devrait être au pluriel. => <note>Les utilisateur d'un Tuner choisiront ''Television'' comme source et ''SECAM'' comme Norme. Pour régler les canaux, ça doit se passer dans ''Channel Editor'' </note> | utilisateur => suggestions : ['utilisateurs']
97 Guillemets typographiques ouvrants. => <note>Les utilisateur d'un Tuner choisiront ''Television'' comme source et ''SECAM'' comme Norme. Pour régler les canaux, ça doit se passer dans ''Channel Editor'' </note> | '' => suggestions : ['«\xa0', '“']
97 Mot inconnu : Television => <note>Les utilisateur d'un Tuner choisiront ''Television'' comme source et ''SECAM'' comme Norme. Pour régler les canaux, ça doit se passer dans ''Channel Editor'' </note> | television
97 Guillemets typographiques fermants. => <note>Les utilisateur d'un Tuner choisiront ''Television'' comme source et ''SECAM'' comme Norme. Pour régler les canaux, ça doit se passer dans ''Channel Editor'' </note> | '' => suggestions : ['\xa0»', '”']
97 Guillemets typographiques ouvrants. => <note>Les utilisateur d'un Tuner choisiront ''Television'' comme source et ''SECAM'' comme Norme. Pour régler les canaux, ça doit se passer dans ''Channel Editor'' </note> | '' => suggestions : ['«\xa0', '“']
97 Guillemets typographiques fermants. => <note>Les utilisateur d'un Tuner choisiront ''Television'' comme source et ''SECAM'' comme Norme. Pour régler les canaux, ça doit se passer dans ''Channel Editor'' </note> | '' => suggestions : ['\xa0»', '”']
97 Guillemets typographiques ouvrants. => <note>Les utilisateur d'un Tuner choisiront ''Television'' comme source et ''SECAM'' comme Norme. Pour régler les canaux, ça doit se passer dans ''Channel Editor'' </note> | '' => suggestions : ['«\xa0', '“']
97 Mot inconnu : Channel => <note>Les utilisateur d'un Tuner choisiront ''Television'' comme source et ''SECAM'' comme Norme. Pour régler les canaux, ça doit se passer dans ''Channel Editor'' </note> | channel
97 Mot inconnu : Editor => <note>Les utilisateur d'un Tuner choisiront ''Television'' comme source et ''SECAM'' comme Norme. Pour régler les canaux, ça doit se passer dans ''Channel Editor'' </note> | editor
97 Guillemets typographiques fermants. => <note>Les utilisateur d'un Tuner choisiront ''Television'' comme source et ''SECAM'' comme Norme. Pour régler les canaux, ça doit se passer dans ''Channel Editor'' </note> | '' => suggestions : ['\xa0»', '”']

99 Guillemets typographiques ouvrants. => De là on peut changer/tester facilement les réglages sur le contraste, la couleur etc et voir les effets en temps réel (clic-gauche et clic-droit pour déplacer les curseurs). Ces réglages doivent être extérieurs à l'application, car ils sont conservés si vous fermez ''xawtv'' et réouvrez ''vlc''. | '' => suggestions : ['«\xa0', '“']
99 Mot inconnu : xawtv => De là on peut changer/tester facilement les réglages sur le contraste, la couleur etc et voir les effets en temps réel (clic-gauche et clic-droit pour déplacer les curseurs). Ces réglages doivent être extérieurs à l'application, car ils sont conservés si vous fermez ''xawtv'' et réouvrez ''vlc''. | xawtv
99 Guillemets typographiques fermants. => De là on peut changer/tester facilement les réglages sur le contraste, la couleur etc et voir les effets en temps réel (clic-gauche et clic-droit pour déplacer les curseurs). Ces réglages doivent être extérieurs à l'application, car ils sont conservés si vous fermez ''xawtv'' et réouvrez ''vlc''. | '' => suggestions : ['\xa0»', '”']
99 Mot inconnu : réouvrez => De là on peut changer/tester facilement les réglages sur le contraste, la couleur etc et voir les effets en temps réel (clic-gauche et clic-droit pour déplacer les curseurs). Ces réglages doivent être extérieurs à l'application, car ils sont conservés si vous fermez ''xawtv'' et réouvrez ''vlc''. | réouvrez
99 Guillemets typographiques ouvrants. => De là on peut changer/tester facilement les réglages sur le contraste, la couleur etc et voir les effets en temps réel (clic-gauche et clic-droit pour déplacer les curseurs). Ces réglages doivent être extérieurs à l'application, car ils sont conservés si vous fermez ''xawtv'' et réouvrez ''vlc''. | '' => suggestions : ['«\xa0', '“']
99 Mot inconnu : vlc => De là on peut changer/tester facilement les réglages sur le contraste, la couleur etc et voir les effets en temps réel (clic-gauche et clic-droit pour déplacer les curseurs). Ces réglages doivent être extérieurs à l'application, car ils sont conservés si vous fermez ''xawtv'' et réouvrez ''vlc''. | vlc
99 Guillemets typographiques fermants. => De là on peut changer/tester facilement les réglages sur le contraste, la couleur etc et voir les effets en temps réel (clic-gauche et clic-droit pour déplacer les curseurs). Ces réglages doivent être extérieurs à l'application, car ils sont conservés si vous fermez ''xawtv'' et réouvrez ''vlc''. | '' => suggestions : ['\xa0»', '”']

101 Guillemets typographiques ouvrants. => <note tip>Pourquoi ne pas utiliser directement ''xawtv'' ? Si vous utilisez l'option "fullscreen", vous verrez que le résultat n'est pas vraiment convaincant, en tout cas dans mon cas : l'image est petite et déformée. C'est pourquoi j'utilise ''xawtv'' pour les réglages et ''vlc'' pour l'utilisation courante </note>  | '' => suggestions : ['«\xa0', '“']
101 Mot inconnu : xawtv => <note tip>Pourquoi ne pas utiliser directement ''xawtv'' ? Si vous utilisez l'option "fullscreen", vous verrez que le résultat n'est pas vraiment convaincant, en tout cas dans mon cas : l'image est petite et déformée. C'est pourquoi j'utilise ''xawtv'' pour les réglages et ''vlc'' pour l'utilisation courante </note>  | xawtv
101 Guillemets typographiques fermants. => <note tip>Pourquoi ne pas utiliser directement ''xawtv'' ? Si vous utilisez l'option "fullscreen", vous verrez que le résultat n'est pas vraiment convaincant, en tout cas dans mon cas : l'image est petite et déformée. C'est pourquoi j'utilise ''xawtv'' pour les réglages et ''vlc'' pour l'utilisation courante </note>  | '' => suggestions : ['\xa0»', '”']
101 Guillemets typographiques ouvrants. => <note tip>Pourquoi ne pas utiliser directement ''xawtv'' ? Si vous utilisez l'option "fullscreen", vous verrez que le résultat n'est pas vraiment convaincant, en tout cas dans mon cas : l'image est petite et déformée. C'est pourquoi j'utilise ''xawtv'' pour les réglages et ''vlc'' pour l'utilisation courante </note>  | " => suggestions : ['«\xa0', '“']
101 Mot inconnu : fullscreen => <note tip>Pourquoi ne pas utiliser directement ''xawtv'' ? Si vous utilisez l'option "fullscreen", vous verrez que le résultat n'est pas vraiment convaincant, en tout cas dans mon cas : l'image est petite et déformée. C'est pourquoi j'utilise ''xawtv'' pour les réglages et ''vlc'' pour l'utilisation courante </note>  | fullscreen
101 Guillemets typographiques fermants. => <note tip>Pourquoi ne pas utiliser directement ''xawtv'' ? Si vous utilisez l'option "fullscreen", vous verrez que le résultat n'est pas vraiment convaincant, en tout cas dans mon cas : l'image est petite et déformée. C'est pourquoi j'utilise ''xawtv'' pour les réglages et ''vlc'' pour l'utilisation courante </note>  | " => suggestions : ['\xa0»', '”']
