
6 Mot inconnu : Matrox => ====== Carte Graphiques Matrox sous Ubuntu ====== | matrox
14 Mot inconnu : G450 => Mystique, Millennium II, Productiva G100, Millennium G200, Mystique G200, Millenium G400, Millenium G400 MAX, Millenium G450, Marvel G450 eTV, Millenium G550 et Millenium G550 Dual DVI. | g450
14 Mot inconnu : Marvel => Mystique, Millennium II, Productiva G100, Millennium G200, Mystique G200, Millenium G400, Millenium G400 MAX, Millenium G450, Marvel G450 eTV, Millenium G550 et Millenium G550 Dual DVI. | marvel
14 Mot inconnu : G450 => Mystique, Millennium II, Productiva G100, Millennium G200, Mystique G200, Millenium G400, Millenium G400 MAX, Millenium G450, Marvel G450 eTV, Millenium G550 et Millenium G550 Dual DVI. | g450
14 Mot inconnu : eTV => Mystique, Millennium II, Productiva G100, Millennium G200, Mystique G200, Millenium G400, Millenium G400 MAX, Millenium G450, Marvel G450 eTV, Millenium G550 et Millenium G550 Dual DVI. | etv
14 Mot inconnu : Millenium => Mystique, Millennium II, Productiva G100, Millennium G200, Mystique G200, Millenium G400, Millenium G400 MAX, Millenium G450, Marvel G450 eTV, Millenium G550 et Millenium G550 Dual DVI. | millenium
14 Mot inconnu : G550 => Mystique, Millennium II, Productiva G100, Millennium G200, Mystique G200, Millenium G400, Millenium G400 MAX, Millenium G450, Marvel G450 eTV, Millenium G550 et Millenium G550 Dual DVI. | g550
14 Mot inconnu : Millenium => Mystique, Millennium II, Productiva G100, Millennium G200, Mystique G200, Millenium G400, Millenium G400 MAX, Millenium G450, Marvel G450 eTV, Millenium G550 et Millenium G550 Dual DVI. | millenium
14 Mot inconnu : G550 => Mystique, Millennium II, Productiva G100, Millennium G200, Mystique G200, Millenium G400, Millenium G400 MAX, Millenium G450, Marvel G450 eTV, Millenium G550 et Millenium G550 Dual DVI. | g550
14 Mot inconnu : DVI => Mystique, Millennium II, Productiva G100, Millennium G200, Mystique G200, Millenium G400, Millenium G400 MAX, Millenium G450, Marvel G450 eTV, Millenium G550 et Millenium G550 Dual DVI. | dvi

16 Mot inconnu : VESA => Par défaut Ubuntu utilise le pilote VESA pour faire fonctionner votre carte Matrox, le problème avec VESA c'est qu'il est très très lent avec les vidéos surtout si vous voulez les visionner sur Youtube. Il faut donc installer et configurer le bon pilote. | vesa
16 Mot inconnu : Matrox => Par défaut Ubuntu utilise le pilote VESA pour faire fonctionner votre carte Matrox, le problème avec VESA c'est qu'il est très très lent avec les vidéos surtout si vous voulez les visionner sur Youtube. Il faut donc installer et configurer le bon pilote. | matrox
16 Mot inconnu : VESA => Par défaut Ubuntu utilise le pilote VESA pour faire fonctionner votre carte Matrox, le problème avec VESA c'est qu'il est très très lent avec les vidéos surtout si vous voulez les visionner sur Youtube. Il faut donc installer et configurer le bon pilote. | vesa
16 Mot inconnu : Youtube => Par défaut Ubuntu utilise le pilote VESA pour faire fonctionner votre carte Matrox, le problème avec VESA c'est qu'il est très très lent avec les vidéos surtout si vous voulez les visionner sur Youtube. Il faut donc installer et configurer le bon pilote. | youtube

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

30 Mot inconnu : sudo => sudo dpkg -i /usr/src/modules/mga-vid/debian/mga-vid-source_*.deb</code> | sudo
30 Mot inconnu : dpkg => sudo dpkg -i /usr/src/modules/mga-vid/debian/mga-vid-source_*.deb</code> | dpkg
30 Il manque un espace à côté du tiret. => sudo dpkg -i /usr/src/modules/mga-vid/debian/mga-vid-source_*.deb</code> |  - => suggestions : [' – ', ' — ']
30 Mot inconnu : deb => sudo dpkg -i /usr/src/modules/mga-vid/debian/mga-vid-source_*.deb</code> | deb

33 Mot inconnu : Génerer => ====Génerer Xorg==== | génerer
33 Mot inconnu : Xorg => ====Génerer Xorg==== | xorg

36 Mot inconnu : Xorg => ====Configurer Xorg==== | xorg

37 Mot inconnu : xorg => Vous trouverez [[https://www.pc-freak.net/files/xorg-matrox-mga-g200-agp.conf|ici]] un fichier xorg.conf déjà paramétré pour une carte MGA G200. | xorg
37 Il manque un espace. => Vous trouverez [[https://www.pc-freak.net/files/xorg-matrox-mga-g200-agp.conf|ici]] un fichier xorg.conf déjà paramétré pour une carte MGA G200. | conf => suggestions : [' conf']
37 Mot inconnu : MGA => Vous trouverez [[https://www.pc-freak.net/files/xorg-matrox-mga-g200-agp.conf|ici]] un fichier xorg.conf déjà paramétré pour une carte MGA G200. | mga
37 Mot inconnu : G200 => Vous trouverez [[https://www.pc-freak.net/files/xorg-matrox-mga-g200-agp.conf|ici]] un fichier xorg.conf déjà paramétré pour une carte MGA G200. | g200

39 Si “bit” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => Mais il est peut-être utile de modifier ce fichier paramétré avec une résolution de 1280×1024 et une profondeur de couleur de 24 bit, ce qui peut être un peu élevé pour les anciennes cartes. C'est pourquoi il est préférable de mettre une résolution de  1024×768 et une profondeur de 16 bit. | 24 bit => suggestions : ['24\xa0bit']
39 Espace(s) surnuméraire(s) à supprimer. => Mais il est peut-être utile de modifier ce fichier paramétré avec une résolution de 1280×1024 et une profondeur de couleur de 24 bit, ce qui peut être un peu élevé pour les anciennes cartes. C'est pourquoi il est préférable de mettre une résolution de  1024×768 et une profondeur de 16 bit. |    => suggestions : [' ']
39 Si “bit” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => Mais il est peut-être utile de modifier ce fichier paramétré avec une résolution de 1280×1024 et une profondeur de couleur de 24 bit, ce qui peut être un peu élevé pour les anciennes cartes. C'est pourquoi il est préférable de mettre une résolution de  1024×768 et une profondeur de 16 bit. | 16 bit => suggestions : ['16\xa0bit']

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Dans La partie ''Section "Screen'', changer la ligne : <file>DefaultDepth	24</file> en <file>DefaultDepth	16</file> |    => suggestions : ['']
43 Guillemets typographiques ouvrants. =>   * Dans La partie ''Section "Screen'', changer la ligne : <file>DefaultDepth	24</file> en <file>DefaultDepth	16</file> | '' => suggestions : ['«\xa0', '“']
43 Guillemets typographiques ouvrants. =>   * Dans La partie ''Section "Screen'', changer la ligne : <file>DefaultDepth	24</file> en <file>DefaultDepth	16</file> | " => suggestions : ['«\xa0', '“']
43 Mot inconnu : Screen =>   * Dans La partie ''Section "Screen'', changer la ligne : <file>DefaultDepth	24</file> en <file>DefaultDepth	16</file> | screen
43 Guillemets typographiques fermants. =>   * Dans La partie ''Section "Screen'', changer la ligne : <file>DefaultDepth	24</file> en <file>DefaultDepth	16</file> | '' => suggestions : ['\xa0»', '”']
43 Mot inconnu : DefaultDepth =>   * Dans La partie ''Section "Screen'', changer la ligne : <file>DefaultDepth	24</file> en <file>DefaultDepth	16</file> | defaultdepth
43 Mot inconnu : DefaultDepth =>   * Dans La partie ''Section "Screen'', changer la ligne : <file>DefaultDepth	24</file> en <file>DefaultDepth	16</file> | defaultdepth

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Redémarrer le serveur graphique ou redémarrer tout court et ça marchera parfaitement :-) |    => suggestions : ['']

48 Mot inconnu : Matrox => ===== Matrox Dual/TripleHead2Go ===== | matrox
48 Mot inconnu : TripleHead2Go => ===== Matrox Dual/TripleHead2Go ===== | triplehead2go

53 Mot inconnu : linux => <note warning>Attention à ce jour le constructeur ne fournit aucun pilote pour linux, et il n’existe aucun outil libre pour pouvoir géré ce boîtier. Cela signifie que sous linux ledit boîtier s’auto-gère de façon basique (pas de possibilité de réorganiser les moniteurs de façon logicielle, pas de rotation individuel du moniteur, etc...)</note>  | linux
53 S’il s’agit d’une action que le sujet peut accomplir, le verbe devrait être à l’infinitif. => <note warning>Attention à ce jour le constructeur ne fournit aucun pilote pour linux, et il n’existe aucun outil libre pour pouvoir géré ce boîtier. Cela signifie que sous linux ledit boîtier s’auto-gère de façon basique (pas de possibilité de réorganiser les moniteurs de façon logicielle, pas de rotation individuel du moniteur, etc...)</note>  | géré => suggestions : ['gérer']
53 Mot inconnu : linux => <note warning>Attention à ce jour le constructeur ne fournit aucun pilote pour linux, et il n’existe aucun outil libre pour pouvoir géré ce boîtier. Cela signifie que sous linux ledit boîtier s’auto-gère de façon basique (pas de possibilité de réorganiser les moniteurs de façon logicielle, pas de rotation individuel du moniteur, etc...)</note>  | linux
53 Un seul point après « etc. » => <note warning>Attention à ce jour le constructeur ne fournit aucun pilote pour linux, et il n’existe aucun outil libre pour pouvoir géré ce boîtier. Cela signifie que sous linux ledit boîtier s’auto-gère de façon basique (pas de possibilité de réorganiser les moniteurs de façon logicielle, pas de rotation individuel du moniteur, etc...)</note>  | etc... => suggestions : ['etc.']
53 Espace(s) en fin de ligne à supprimer. => <note warning>Attention à ce jour le constructeur ne fournit aucun pilote pour linux, et il n’existe aucun outil libre pour pouvoir géré ce boîtier. Cela signifie que sous linux ledit boîtier s’auto-gère de façon basique (pas de possibilité de réorganiser les moniteurs de façon logicielle, pas de rotation individuel du moniteur, etc...)</note>  |   => suggestions : ['']

55 Mot inconnu : hz => <note warning>Vérifier la compatibilité de vos moniteurs avec votre boîtier, certaines résolutions ne sont accessibles que sous certaine fréquences de rafraîchissement (50hz pour les plus grandes résolutions). Pour plus d’information rendez-vous sur le site de matrox et consulté les spécifications de **VOTRE** modèle de boîtier.</note>  | hz
55 Mot inconnu : matrox => <note warning>Vérifier la compatibilité de vos moniteurs avec votre boîtier, certaines résolutions ne sont accessibles que sous certaine fréquences de rafraîchissement (50hz pour les plus grandes résolutions). Pour plus d’information rendez-vous sur le site de matrox et consulté les spécifications de **VOTRE** modèle de boîtier.</note>  | matrox
55 Espace(s) en fin de ligne à supprimer. => <note warning>Vérifier la compatibilité de vos moniteurs avec votre boîtier, certaines résolutions ne sont accessibles que sous certaine fréquences de rafraîchissement (50hz pour les plus grandes résolutions). Pour plus d’information rendez-vous sur le site de matrox et consulté les spécifications de **VOTRE** modèle de boîtier.</note>  |   => suggestions : ['']

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Si vous paramétrez une résolution mono-moniteur vous aurez des écrans cloner. |    => suggestions : ['']

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Si vous paramétrez une résolution multi-moniteur vous aurez un bureau étendu. |    => suggestions : ['']

67 Mot inconnu : compizconfig-settings-manager => Pour n’occuper l’espace que d’un seul moniteur il existe une astuce avec le gestionnaire de fenêtres [[compizconfig-settings-manager|compiz]].  | compizconfig-settings-manager
67 Espace(s) en fin de ligne à supprimer. => Pour n’occuper l’espace que d’un seul moniteur il existe une astuce avec le gestionnaire de fenêtres [[compizconfig-settings-manager|compiz]].  |   => suggestions : ['']

69 Mot inconnu : compiz => Une fois compiz installer lancer son gestionnaire et rendez-vous dans : **Options général** → l’onglet **paramètres d’affichage**. | compiz
70 Espace(s) en fin de ligne à supprimer. => Veillez à ce que la case détection des sorties soit décochée, et ajoutez manuellement les sorties vidéos de la manière suivante:  |   => suggestions : ['']

73 Espace(s) surnuméraire(s) à supprimer. => Où L est la résolution horizontale de votre moniteur, H sa résolution verticale, x sa position/décalage horizontale, y  sa position/décalage verticale. |    => suggestions : [' ']
75 Signe de multiplication typographique. => Exemple : pour une résolution de 3840x1024, soit 3 moniteurs de 1280x 1024. | 3840x1024 => suggestions : ['3840\xa0×\xa01024']
75 Mot inconnu : x1024 => Exemple : pour une résolution de 3840x1024, soit 3 moniteurs de 1280x 1024. | x1024
75 Signe de multiplication typographique. => Exemple : pour une résolution de 3840x1024, soit 3 moniteurs de 1280x 1024. | 1280x 1024 => suggestions : ['1280\xa0×\xa01024']

81 Mot inconnu : grub => ==== Changement de la résolution au démarrage dans grub et les TTYs ==== | grub
81 Mot inconnu : TTYs => ==== Changement de la résolution au démarrage dans grub et les TTYs ==== | ttys

82 Mot inconnu : matrox => L’utilisation des boîtiers matrox Dual/TripleHead2Go peut être problématique quand on passe en mode console avec un phénomène d’étirement des cratères désagréables, cela étant dû à l’utilisation d’une résolution d’affichage basse. | matrox
82 Mot inconnu : TripleHead2Go => L’utilisation des boîtiers matrox Dual/TripleHead2Go peut être problématique quand on passe en mode console avec un phénomène d’étirement des cratères désagréables, cela étant dû à l’utilisation d’une résolution d’affichage basse. | triplehead2go

84 Incohérence avec “On” : “modifie” devrait être un verbe, un pronom objet, un adverbe de négation, etc. => Heureusement il est possible de forcer une résolution “choisie” au démarrage. Pour ce faire on va éditer le fichier **/etc/default/grub**. On y modifie/ajoute les lignes suivantes : | modifie => suggestions : ['modifiaient', 'modifiez', 'modifiais', 'modifiait', 'modifie', 'modifier']

86 Mot inconnu : GRUB_GFXPAYLOAD_LINUX => GRUB_GFXPAYLOAD_LINUX=keep</code> | grub_gfxpayload_linux
86 Mot inconnu : keep => GRUB_GFXPAYLOAD_LINUX=keep</code> | keep

87 Mot inconnu : grub => La première ligne définie votre résolution multi-moniteur lors du chargement de grub: largeur, hauteur, profondeur des couleurs. | grub

89 Mot inconnu : grub => La seconde ligne permet de garder cette résolution lorsque l’on quitte grub. | grub

91 Mot inconnu : grub => maintenant pour pouvoir l’appliquer il faut mettre à jour la configuration de grub à l’aide de la commande : | grub
98 Il manque un espace. => //Contributeurs : [[utilisateurs:ostaquet]], [[utilisateurs:Fabien26]].// | ostaquet => suggestions : [' ostaquet']
98 Il manque un espace. => //Contributeurs : [[utilisateurs:ostaquet]], [[utilisateurs:Fabien26]].// | fabien26 => suggestions : [' Fabien26']
100 Mot inconnu : TTYs => //Sources : [[https://artisan.karma-lab.net/mise-oeuvre-boitier-matrox-triplehead2go-digital|Artisan Numérique : Matrox]], [[https://artisan.karma-lab.net/changer-resolution-et-police-console-linux|Artisan Numérique : Résolution TTYs]], [[https://www.matrox.com/graphics/en/products/gxm/|Matrox]]// | ttys
