
5 Mot inconnu : Gdebi => ====== Installateur de paquets hors dépôts Gdebi ====== | gdebi
32 Mot inconnu : deb => ===Désinstallation d'un paquet .deb=== | deb

33 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Pour désinstaller un paquet .deb, il faut avoir conservé le fichier .deb puis ; |  . => suggestions : ['. ', '.']
33 Mot inconnu : deb => Pour désinstaller un paquet .deb, il faut avoir conservé le fichier .deb puis ; | deb
33 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Pour désinstaller un paquet .deb, il faut avoir conservé le fichier .deb puis ; |  . => suggestions : ['. ', '.']
33 Mot inconnu : deb => Pour désinstaller un paquet .deb, il faut avoir conservé le fichier .deb puis ; | deb

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Faire un clic droit sur le fichier .deb conservé et choisir dans le menu //"Ouvrir avec Installation de l’application"//. |    => suggestions : ['']
34 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Faire un clic droit sur le fichier .deb conservé et choisir dans le menu //"Ouvrir avec Installation de l’application"//. |  -  => suggestions : [' – ', ' — ', ' − ']
34 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>   - Faire un clic droit sur le fichier .deb conservé et choisir dans le menu //"Ouvrir avec Installation de l’application"//. |  . => suggestions : ['. ', '.']
34 Mot inconnu : deb =>   - Faire un clic droit sur le fichier .deb conservé et choisir dans le menu //"Ouvrir avec Installation de l’application"//. | deb
34 Guillemets typographiques ouvrants. =>   - Faire un clic droit sur le fichier .deb conservé et choisir dans le menu //"Ouvrir avec Installation de l’application"//. | " => suggestions : ['«\xa0', '“']
34 Guillemets typographiques fermants. =>   - Faire un clic droit sur le fichier .deb conservé et choisir dans le menu //"Ouvrir avec Installation de l’application"//. | " => suggestions : ['\xa0»', '”']

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Dans la fenêtre Gdebi, 2 boutons apparaîtront. // "Réinstaller le paquet"// et // "Supprimer le paquet"//. Cliquer sur le bouton // "Supprimer le paquet"//. |    => suggestions : ['']
35 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Dans la fenêtre Gdebi, 2 boutons apparaîtront. // "Réinstaller le paquet"// et // "Supprimer le paquet"//. Cliquer sur le bouton // "Supprimer le paquet"//. |  -  => suggestions : [' – ', ' — ', ' − ']
35 Mot inconnu : Gdebi =>   - Dans la fenêtre Gdebi, 2 boutons apparaîtront. // "Réinstaller le paquet"// et // "Supprimer le paquet"//. Cliquer sur le bouton // "Supprimer le paquet"//. | gdebi
35 Guillemets typographiques ouvrants. =>   - Dans la fenêtre Gdebi, 2 boutons apparaîtront. // "Réinstaller le paquet"// et // "Supprimer le paquet"//. Cliquer sur le bouton // "Supprimer le paquet"//. | " => suggestions : ['«\xa0', '“']
35 Guillemets typographiques fermants. =>   - Dans la fenêtre Gdebi, 2 boutons apparaîtront. // "Réinstaller le paquet"// et // "Supprimer le paquet"//. Cliquer sur le bouton // "Supprimer le paquet"//. | " => suggestions : ['\xa0»', '”']
35 Guillemets typographiques ouvrants. =>   - Dans la fenêtre Gdebi, 2 boutons apparaîtront. // "Réinstaller le paquet"// et // "Supprimer le paquet"//. Cliquer sur le bouton // "Supprimer le paquet"//. | " => suggestions : ['«\xa0', '“']
35 Guillemets typographiques fermants. =>   - Dans la fenêtre Gdebi, 2 boutons apparaîtront. // "Réinstaller le paquet"// et // "Supprimer le paquet"//. Cliquer sur le bouton // "Supprimer le paquet"//. | " => suggestions : ['\xa0»', '”']
35 Guillemets typographiques ouvrants. =>   - Dans la fenêtre Gdebi, 2 boutons apparaîtront. // "Réinstaller le paquet"// et // "Supprimer le paquet"//. Cliquer sur le bouton // "Supprimer le paquet"//. | " => suggestions : ['«\xa0', '“']
35 Guillemets typographiques fermants. =>   - Dans la fenêtre Gdebi, 2 boutons apparaîtront. // "Réinstaller le paquet"// et // "Supprimer le paquet"//. Cliquer sur le bouton // "Supprimer le paquet"//. | " => suggestions : ['\xa0»', '”']

37 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => ===Mise à jour d'un paquet .deb === |  . => suggestions : ['. ', '.']
37 Mot inconnu : deb => ===Mise à jour d'un paquet .deb === | deb

38 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Vous pouvez même faire des mises à jour de paquets .deb installés. |  . => suggestions : ['. ', '.']
38 Mot inconnu : deb => Vous pouvez même faire des mises à jour de paquets .deb installés. | deb

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Télécharger la nouvelle version du paquet .deb à mettre à jour. |    => suggestions : ['']
39 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Télécharger la nouvelle version du paquet .deb à mettre à jour. |  -  => suggestions : [' – ', ' — ', ' − ']
39 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>   - Télécharger la nouvelle version du paquet .deb à mettre à jour. |  . => suggestions : ['. ', '.']
39 Mot inconnu : deb =>   - Télécharger la nouvelle version du paquet .deb à mettre à jour. | deb

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Faire un clic droit sur le fichier .deb téléchargé puis choisir dans le menu //"Ouvrir avec Installation de l’application"//. |    => suggestions : ['']
40 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Faire un clic droit sur le fichier .deb téléchargé puis choisir dans le menu //"Ouvrir avec Installation de l’application"//. |  -  => suggestions : [' – ', ' — ', ' − ']
40 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>   - Faire un clic droit sur le fichier .deb téléchargé puis choisir dans le menu //"Ouvrir avec Installation de l’application"//. |  . => suggestions : ['. ', '.']
40 Mot inconnu : deb =>   - Faire un clic droit sur le fichier .deb téléchargé puis choisir dans le menu //"Ouvrir avec Installation de l’application"//. | deb
40 Guillemets typographiques ouvrants. =>   - Faire un clic droit sur le fichier .deb téléchargé puis choisir dans le menu //"Ouvrir avec Installation de l’application"//. | " => suggestions : ['«\xa0', '“']
40 Guillemets typographiques fermants. =>   - Faire un clic droit sur le fichier .deb téléchargé puis choisir dans le menu //"Ouvrir avec Installation de l’application"//. | " => suggestions : ['\xa0»', '”']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Dans la fenêtre Gdebi, cliquer sur le bouton // "Mettre à jour le paquet"// .... |    => suggestions : ['']
41 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Dans la fenêtre Gdebi, cliquer sur le bouton // "Mettre à jour le paquet"// .... |  -  => suggestions : [' – ', ' — ', ' − ']
41 Mot inconnu : Gdebi =>   - Dans la fenêtre Gdebi, cliquer sur le bouton // "Mettre à jour le paquet"// .... | gdebi
41 Guillemets typographiques ouvrants. =>   - Dans la fenêtre Gdebi, cliquer sur le bouton // "Mettre à jour le paquet"// .... | " => suggestions : ['«\xa0', '“']
41 Guillemets typographiques fermants. =>   - Dans la fenêtre Gdebi, cliquer sur le bouton // "Mettre à jour le paquet"// .... | " => suggestions : ['\xa0»', '”']
41 Typographie : points de suspension. Utilisez le caractère dédié. =>   - Dans la fenêtre Gdebi, cliquer sur le bouton // "Mettre à jour le paquet"// .... | .... => suggestions : ['…']

48 Mot inconnu : gdebi-core => Seulement le paquet gdebi-core est nécessaire pour une utilisation uniquement en ligne de commande. | gdebi-core

50 Mot inconnu : __ => __**1. Clic droit**__ : Depuis quelques versions (18.10 ?) gdebi n'installe plus un **.deb** via un clic droit sur celui-ci, suivi de "ouvrir avec gdebi". Gdebi s'ouvre bien et propose l'installation du **.deb**, mais lorsqu'on clic sur "**Installer le paquet**", gdebi se ferme brutalement, sans installation. | __
50 Mot inconnu : __ => __**1. Clic droit**__ : Depuis quelques versions (18.10 ?) gdebi n'installe plus un **.deb** via un clic droit sur celui-ci, suivi de "ouvrir avec gdebi". Gdebi s'ouvre bien et propose l'installation du **.deb**, mais lorsqu'on clic sur "**Installer le paquet**", gdebi se ferme brutalement, sans installation. | __
50 Mot inconnu : gdebi => __**1. Clic droit**__ : Depuis quelques versions (18.10 ?) gdebi n'installe plus un **.deb** via un clic droit sur celui-ci, suivi de "ouvrir avec gdebi". Gdebi s'ouvre bien et propose l'installation du **.deb**, mais lorsqu'on clic sur "**Installer le paquet**", gdebi se ferme brutalement, sans installation. | gdebi
50 Mot inconnu : deb => __**1. Clic droit**__ : Depuis quelques versions (18.10 ?) gdebi n'installe plus un **.deb** via un clic droit sur celui-ci, suivi de "ouvrir avec gdebi". Gdebi s'ouvre bien et propose l'installation du **.deb**, mais lorsqu'on clic sur "**Installer le paquet**", gdebi se ferme brutalement, sans installation. | deb
50 Guillemets typographiques ouvrants. => __**1. Clic droit**__ : Depuis quelques versions (18.10 ?) gdebi n'installe plus un **.deb** via un clic droit sur celui-ci, suivi de "ouvrir avec gdebi". Gdebi s'ouvre bien et propose l'installation du **.deb**, mais lorsqu'on clic sur "**Installer le paquet**", gdebi se ferme brutalement, sans installation. | " => suggestions : ['«\xa0', '“']
50 Mot inconnu : gdebi => __**1. Clic droit**__ : Depuis quelques versions (18.10 ?) gdebi n'installe plus un **.deb** via un clic droit sur celui-ci, suivi de "ouvrir avec gdebi". Gdebi s'ouvre bien et propose l'installation du **.deb**, mais lorsqu'on clic sur "**Installer le paquet**", gdebi se ferme brutalement, sans installation. | gdebi
50 Guillemets typographiques fermants. => __**1. Clic droit**__ : Depuis quelques versions (18.10 ?) gdebi n'installe plus un **.deb** via un clic droit sur celui-ci, suivi de "ouvrir avec gdebi". Gdebi s'ouvre bien et propose l'installation du **.deb**, mais lorsqu'on clic sur "**Installer le paquet**", gdebi se ferme brutalement, sans installation. | " => suggestions : ['\xa0»', '”']
50 Mot inconnu : Gdebi => __**1. Clic droit**__ : Depuis quelques versions (18.10 ?) gdebi n'installe plus un **.deb** via un clic droit sur celui-ci, suivi de "ouvrir avec gdebi". Gdebi s'ouvre bien et propose l'installation du **.deb**, mais lorsqu'on clic sur "**Installer le paquet**", gdebi se ferme brutalement, sans installation. | gdebi
50 Mot inconnu : deb => __**1. Clic droit**__ : Depuis quelques versions (18.10 ?) gdebi n'installe plus un **.deb** via un clic droit sur celui-ci, suivi de "ouvrir avec gdebi". Gdebi s'ouvre bien et propose l'installation du **.deb**, mais lorsqu'on clic sur "**Installer le paquet**", gdebi se ferme brutalement, sans installation. | deb
50 Incohérence avec “on” : “clic” devrait être un verbe, un pronom objet, un adverbe de négation, etc. => __**1. Clic droit**__ : Depuis quelques versions (18.10 ?) gdebi n'installe plus un **.deb** via un clic droit sur celui-ci, suivi de "ouvrir avec gdebi". Gdebi s'ouvre bien et propose l'installation du **.deb**, mais lorsqu'on clic sur "**Installer le paquet**", gdebi se ferme brutalement, sans installation. | clic => suggestions : ['clique']
50 Mot inconnu : gdebi => __**1. Clic droit**__ : Depuis quelques versions (18.10 ?) gdebi n'installe plus un **.deb** via un clic droit sur celui-ci, suivi de "ouvrir avec gdebi". Gdebi s'ouvre bien et propose l'installation du **.deb**, mais lorsqu'on clic sur "**Installer le paquet**", gdebi se ferme brutalement, sans installation. | gdebi
52 Mot inconnu : gdebi => **Contournement** : lancer gdebi par le menu des applications, puis "Fichier > Ouvrir" et choisir le paquet. Là, le bouton "**Installer le paquet**" fonctionne. | gdebi
52 Guillemets typographiques ouvrants. => **Contournement** : lancer gdebi par le menu des applications, puis "Fichier > Ouvrir" et choisir le paquet. Là, le bouton "**Installer le paquet**" fonctionne. | " => suggestions : ['«\xa0', '“']
52 Guillemets typographiques fermants. => **Contournement** : lancer gdebi par le menu des applications, puis "Fichier > Ouvrir" et choisir le paquet. Là, le bouton "**Installer le paquet**" fonctionne. | " => suggestions : ['\xa0»', '”']
54 Espace(s) en fin de ligne à supprimer. => **Solution complète rapide** : dans un terminal, copier cette commande  |   => suggestions : ['']

58 Mot inconnu : deb => Le clic droit sur un **.deb** refonctionne normalement. | deb

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Explication de la commande : on copie le lanceur **gdebi.desktop** dans **~/.local/share/applications**, et on y change la ligne **Exec=gdebi-gtk %f** (qui cause la dysfonction) par **Exec=sh -c "gdebi-gtk %f"** (qui règle la dysfonction). |    => suggestions : ['']
60 Mot inconnu : gdebi =>   * Explication de la commande : on copie le lanceur **gdebi.desktop** dans **~/.local/share/applications**, et on y change la ligne **Exec=gdebi-gtk %f** (qui cause la dysfonction) par **Exec=sh -c "gdebi-gtk %f"** (qui règle la dysfonction). | gdebi
60 Mot inconnu : desktop =>   * Explication de la commande : on copie le lanceur **gdebi.desktop** dans **~/.local/share/applications**, et on y change la ligne **Exec=gdebi-gtk %f** (qui cause la dysfonction) par **Exec=sh -c "gdebi-gtk %f"** (qui règle la dysfonction). | desktop
60 Mot inconnu : share =>   * Explication de la commande : on copie le lanceur **gdebi.desktop** dans **~/.local/share/applications**, et on y change la ligne **Exec=gdebi-gtk %f** (qui cause la dysfonction) par **Exec=sh -c "gdebi-gtk %f"** (qui règle la dysfonction). | share
60 Mot inconnu : Exec =>   * Explication de la commande : on copie le lanceur **gdebi.desktop** dans **~/.local/share/applications**, et on y change la ligne **Exec=gdebi-gtk %f** (qui cause la dysfonction) par **Exec=sh -c "gdebi-gtk %f"** (qui règle la dysfonction). | exec
60 Mot inconnu : gdebi-gtk =>   * Explication de la commande : on copie le lanceur **gdebi.desktop** dans **~/.local/share/applications**, et on y change la ligne **Exec=gdebi-gtk %f** (qui cause la dysfonction) par **Exec=sh -c "gdebi-gtk %f"** (qui règle la dysfonction). | gdebi-gtk
60 Il manque un espace. =>   * Explication de la commande : on copie le lanceur **gdebi.desktop** dans **~/.local/share/applications**, et on y change la ligne **Exec=gdebi-gtk %f** (qui cause la dysfonction) par **Exec=sh -c "gdebi-gtk %f"** (qui règle la dysfonction). | f => suggestions : [' f']
60 Mot inconnu : Exec =>   * Explication de la commande : on copie le lanceur **gdebi.desktop** dans **~/.local/share/applications**, et on y change la ligne **Exec=gdebi-gtk %f** (qui cause la dysfonction) par **Exec=sh -c "gdebi-gtk %f"** (qui règle la dysfonction). | exec
60 Mot inconnu : sh =>   * Explication de la commande : on copie le lanceur **gdebi.desktop** dans **~/.local/share/applications**, et on y change la ligne **Exec=gdebi-gtk %f** (qui cause la dysfonction) par **Exec=sh -c "gdebi-gtk %f"** (qui règle la dysfonction). | sh
60 Il manque un espace à côté du tiret. =>   * Explication de la commande : on copie le lanceur **gdebi.desktop** dans **~/.local/share/applications**, et on y change la ligne **Exec=gdebi-gtk %f** (qui cause la dysfonction) par **Exec=sh -c "gdebi-gtk %f"** (qui règle la dysfonction). |  - => suggestions : [' – ', ' — ']
60 Guillemets typographiques ouvrants. =>   * Explication de la commande : on copie le lanceur **gdebi.desktop** dans **~/.local/share/applications**, et on y change la ligne **Exec=gdebi-gtk %f** (qui cause la dysfonction) par **Exec=sh -c "gdebi-gtk %f"** (qui règle la dysfonction). | " => suggestions : ['«\xa0', '“']
60 Mot inconnu : gdebi-gtk =>   * Explication de la commande : on copie le lanceur **gdebi.desktop** dans **~/.local/share/applications**, et on y change la ligne **Exec=gdebi-gtk %f** (qui cause la dysfonction) par **Exec=sh -c "gdebi-gtk %f"** (qui règle la dysfonction). | gdebi-gtk
60 Il manque un espace. =>   * Explication de la commande : on copie le lanceur **gdebi.desktop** dans **~/.local/share/applications**, et on y change la ligne **Exec=gdebi-gtk %f** (qui cause la dysfonction) par **Exec=sh -c "gdebi-gtk %f"** (qui règle la dysfonction). | f => suggestions : [' f']
60 Guillemets typographiques fermants. =>   * Explication de la commande : on copie le lanceur **gdebi.desktop** dans **~/.local/share/applications**, et on y change la ligne **Exec=gdebi-gtk %f** (qui cause la dysfonction) par **Exec=sh -c "gdebi-gtk %f"** (qui règle la dysfonction). | " => suggestions : ['\xa0»', '”']

62 Mot inconnu : __ => __**2. Fenêtre des dépendances**__ : cette fenêtre ne peut pas être agrandie, ce qui rend la liste des dépendances illisibles. Le bug est déjà signalé [[https://bugs.launchpad.net/ubuntu/+source/gdebi/+bug/1427638|ici]], mais n'est pas encore résolu. Merci de signaler que vous êtes concernés si c'est le cas. | __
62 Mot inconnu : __ => __**2. Fenêtre des dépendances**__ : cette fenêtre ne peut pas être agrandie, ce qui rend la liste des dépendances illisibles. Le bug est déjà signalé [[https://bugs.launchpad.net/ubuntu/+source/gdebi/+bug/1427638|ici]], mais n'est pas encore résolu. Merci de signaler que vous êtes concernés si c'est le cas. | __

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://launchpad.net/gdebi|Site du projet sur Launchpad]] |    => suggestions : ['']
67 Mot inconnu : Launchpad =>   * **(en)** [[https://launchpad.net/gdebi|Site du projet sur Launchpad]] | launchpad

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[http://diablo.ucsc.edu/cgi-bin/man/man2html?gdebi-gtk+1|Manuel Gdebi pour l'usage en terminal]] (même contenu que la commande ''man gdebi'') |    => suggestions : ['']
68 Mot inconnu : Gdebi =>   * **(en)** [[http://diablo.ucsc.edu/cgi-bin/man/man2html?gdebi-gtk+1|Manuel Gdebi pour l'usage en terminal]] (même contenu que la commande ''man gdebi'') | gdebi
68 Guillemets typographiques ouvrants. =>   * **(en)** [[http://diablo.ucsc.edu/cgi-bin/man/man2html?gdebi-gtk+1|Manuel Gdebi pour l'usage en terminal]] (même contenu que la commande ''man gdebi'') | '' => suggestions : ['«\xa0', '“']
68 Mot inconnu : gdebi =>   * **(en)** [[http://diablo.ucsc.edu/cgi-bin/man/man2html?gdebi-gtk+1|Manuel Gdebi pour l'usage en terminal]] (même contenu que la commande ''man gdebi'') | gdebi
68 Guillemets typographiques fermants. =>   * **(en)** [[http://diablo.ucsc.edu/cgi-bin/man/man2html?gdebi-gtk+1|Manuel Gdebi pour l'usage en terminal]] (même contenu que la commande ''man gdebi'') | '' => suggestions : ['\xa0»', '”']
