
5 Mot inconnu : ZeroConf => ====== ZeroConf ====== | zeroconf
26 Mot inconnu : ZeroConf => Remarque : Si vous souhaitez utiliser ZeroConf dans un réseau qui ne vous appartient pas, il est préférable de contacter en premier l'administrateur réseau. Bien que ZeroConf soit un protocole performant, l'administrateur peut ne pas vouloir de ce trafic réseau additionnel. Soyez aussi vigilant, car il est aisé d'usurper un nom mdns //« .local »//. | zeroconf
26 Mot inconnu : mdns => Remarque : Si vous souhaitez utiliser ZeroConf dans un réseau qui ne vous appartient pas, il est préférable de contacter en premier l'administrateur réseau. Bien que ZeroConf soit un protocole performant, l'administrateur peut ne pas vouloir de ce trafic réseau additionnel. Soyez aussi vigilant, car il est aisé d'usurper un nom mdns //« .local »//. | mdns
26 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Remarque : Si vous souhaitez utiliser ZeroConf dans un réseau qui ne vous appartient pas, il est préférable de contacter en premier l'administrateur réseau. Bien que ZeroConf soit un protocole performant, l'administrateur peut ne pas vouloir de ce trafic réseau additionnel. Soyez aussi vigilant, car il est aisé d'usurper un nom mdns //« .local »//. |  . => suggestions : ['. ', '.']

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Partager de la musique --- [[Rhythmbox]], [[Banshee]], [[Amarok]], iTunes, [[mt-daapd]]; |    => suggestions : ['']
29 Mot inconnu : Rhythmbox =>   * Partager de la musique --- [[Rhythmbox]], [[Banshee]], [[Amarok]], iTunes, [[mt-daapd]]; | rhythmbox
29 Mot inconnu : Banshee =>   * Partager de la musique --- [[Rhythmbox]], [[Banshee]], [[Amarok]], iTunes, [[mt-daapd]]; | banshee
29 Mot inconnu : Amarok =>   * Partager de la musique --- [[Rhythmbox]], [[Banshee]], [[Amarok]], iTunes, [[mt-daapd]]; | amarok
29 Mot inconnu : iTunes =>   * Partager de la musique --- [[Rhythmbox]], [[Banshee]], [[Amarok]], iTunes, [[mt-daapd]]; | itunes
29 Mot inconnu : mt-daapd =>   * Partager de la musique --- [[Rhythmbox]], [[Banshee]], [[Amarok]], iTunes, [[mt-daapd]]; | mt-daapd

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Échanger des fichiers --- [[https://linux.softpedia.com/get/Desktop-Environment/Tools/gnome-user-share-11597.shtml|gnome-user-share]] (en); |    => suggestions : ['']

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Découvrir automatiquement les autres clients VoIP --- [[Ekiga#avahi|Ekiga]] ; |    => suggestions : ['']
31 Mot inconnu : VoIP =>   * Découvrir automatiquement les autres clients VoIP --- [[Ekiga#avahi|Ekiga]] ; | voip

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Discuter par messagerie instantanée sur le réseau local --- [[gajim]], [[pidgin]], [[empathy]] ; |    => suggestions : ['']
32 Mot inconnu : gajim =>   * Discuter par messagerie instantanée sur le réseau local --- [[gajim]], [[pidgin]], [[empathy]] ; | gajim
32 Mot inconnu : empathy =>   * Discuter par messagerie instantanée sur le réseau local --- [[gajim]], [[pidgin]], [[empathy]] ; | empathy

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Partager les paquets --- [[squid-deb-proxy]] ; |    => suggestions : ['']
33 Mot inconnu : squid-deb-proxy =>   * Partager les paquets --- [[squid-deb-proxy]] ; | squid-deb-proxy

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Publier un serveur ssh (voir discussion sur le [[https://forum.ubuntu-fr.org/viewtopic.php?id=206906|forum]] ; rapport de bug [[http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=375685#15|debian]] (en anglais)) |    => suggestions : ['']
36 Mot inconnu : ssh =>   * Publier un serveur ssh (voir discussion sur le [[https://forum.ubuntu-fr.org/viewtopic.php?id=206906|forum]] ; rapport de bug [[http://bugs.debian.org/cgi-bin/bugreport.cgi?bug=375685#15|debian]] (en anglais)) | ssh

39 Mot inconnu : ZeroConf => ZeroConf est installé et activé par défaut dans Ubuntu. Vous n'avez donc rien à faire pour l'installer. | zeroconf

42 Mot inconnu : mDNS => Il se peut que la configuration du pare-feu bloque le trafic mDNS par défaut. Dans le panneau de configuration du pare-feu, on pourra si nécessaire changer la Zone par défaut (public) pour une zone plus permissible (home) | mdns
42 Mot inconnu : permissible => Il se peut que la configuration du pare-feu bloque le trafic mDNS par défaut. Dans le panneau de configuration du pare-feu, on pourra si nécessaire changer la Zone par défaut (public) pour une zone plus permissible (home) | permissible

45 Mot inconnu : MDNS => ==== MDNS ==== | mdns

47 Mot inconnu : avahi-daemon => Maintenant, chaque ordinateur qui a avahi-daemon (ou mdnsresponder) installé s'identifiera lui-même sur le réseau comme « hostname.local » par exemple, mon ordinateur « flute », s'identifie lui-même comme « flute.local ». | avahi-daemon
47 Mot inconnu : mdnsresponder => Maintenant, chaque ordinateur qui a avahi-daemon (ou mdnsresponder) installé s'identifiera lui-même sur le réseau comme « hostname.local » par exemple, mon ordinateur « flute », s'identifie lui-même comme « flute.local ». | mdnsresponder
47 Mot inconnu : hostname => Maintenant, chaque ordinateur qui a avahi-daemon (ou mdnsresponder) installé s'identifiera lui-même sur le réseau comme « hostname.local » par exemple, mon ordinateur « flute », s'identifie lui-même comme « flute.local ». | hostname
47 Il manque un espace. => Maintenant, chaque ordinateur qui a avahi-daemon (ou mdnsresponder) installé s'identifiera lui-même sur le réseau comme « hostname.local » par exemple, mon ordinateur « flute », s'identifie lui-même comme « flute.local ». | local => suggestions : [' local']
47 Il manque un espace. => Maintenant, chaque ordinateur qui a avahi-daemon (ou mdnsresponder) installé s'identifiera lui-même sur le réseau comme « hostname.local » par exemple, mon ordinateur « flute », s'identifie lui-même comme « flute.local ». | local => suggestions : [' local']
51 Mot inconnu : hostname => Dès lors, n'importe quel ordinateur peut utiliser « //hostname//.local » à la place d'une adresse IP. Par exemple vous pouvez faire | hostname

65 Mot inconnu : ZeroConf => alors il est probable que votre pare-feu bloque les communications de ZeroConf.\\ | zeroconf

66 Mot inconnu : ZeroConf => Si lorsque vous arrêtez votre pare-feu ZeroConf fonctionne, alors cela vient sûrement du pare-feu. | zeroconf

68 Mot inconnu : guarddog => Si vous utilisez le pare-feu guarddog((http://www.simonzone.com/software/guarddog/)), vous aurez besoin de créer une nouvelle zone pour le trafic multicast et d'ajouter une entrée au fichier networkprotocoldb.xml. | guarddog
68 Il manque un espace avant la parenthèse. => Si vous utilisez le pare-feu guarddog((http://www.simonzone.com/software/guarddog/)), vous aurez besoin de créer une nouvelle zone pour le trafic multicast et d'ajouter une entrée au fichier networkprotocoldb.xml. | ( => suggestions : [' (']
68 Mot inconnu : multicast => Si vous utilisez le pare-feu guarddog((http://www.simonzone.com/software/guarddog/)), vous aurez besoin de créer une nouvelle zone pour le trafic multicast et d'ajouter une entrée au fichier networkprotocoldb.xml. | multicast
68 Mot inconnu : networkprotocoldb => Si vous utilisez le pare-feu guarddog((http://www.simonzone.com/software/guarddog/)), vous aurez besoin de créer une nouvelle zone pour le trafic multicast et d'ajouter une entrée au fichier networkprotocoldb.xml. | networkprotocoldb
68 Mot inconnu : xml => Si vous utilisez le pare-feu guarddog((http://www.simonzone.com/software/guarddog/)), vous aurez besoin de créer une nouvelle zone pour le trafic multicast et d'ajouter une entrée au fichier networkprotocoldb.xml. | xml

73 Guillemets typographiques ouvrants. => <protocol name="mDns"> | " => suggestions : ['«\xa0', '“']
73 Guillemets typographiques fermants. => <protocol name="mDns"> | " => suggestions : ['\xa0»', '”']

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   <!-- Protocol information guessed by Greg N <emailgregn@googlemail.com> --> |    => suggestions : ['']
74 Mot inconnu : Protocol =>   <!-- Protocol information guessed by Greg N <emailgregn@googlemail.com> --> | protocol
74 Mot inconnu : guessed =>   <!-- Protocol information guessed by Greg N <emailgregn@googlemail.com> --> | guessed
74 Mot inconnu : by =>   <!-- Protocol information guessed by Greg N <emailgregn@googlemail.com> --> | by

75 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   <longname>mDns,Bonjour,Avahi,ZeroConf</longname> |    => suggestions : ['']
75 Mot inconnu : mDns =>   <longname>mDns,Bonjour,Avahi,ZeroConf</longname> | mdns
75 Il manque un espace. =>   <longname>mDns,Bonjour,Avahi,ZeroConf</longname> | bonjour => suggestions : [' Bonjour']
75 Mot inconnu : Avahi =>   <longname>mDns,Bonjour,Avahi,ZeroConf</longname> | avahi
75 Il manque un espace. =>   <longname>mDns,Bonjour,Avahi,ZeroConf</longname> | zeroconf => suggestions : [' ZeroConf']
75 Mot inconnu : ZeroConf =>   <longname>mDns,Bonjour,Avahi,ZeroConf</longname> | zeroconf

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   <longname lang="nl">mDns</longname> |    => suggestions : ['']
76 Guillemets typographiques ouvrants. =>   <longname lang="nl">mDns</longname> | " => suggestions : ['«\xa0', '“']
76 Guillemets typographiques fermants. =>   <longname lang="nl">mDns</longname> | " => suggestions : ['\xa0»', '”']
76 Mot inconnu : mDns =>   <longname lang="nl">mDns</longname> | mdns

77 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   <longname lang="fr">mDns</longname> |    => suggestions : ['']
77 Guillemets typographiques ouvrants. =>   <longname lang="fr">mDns</longname> | " => suggestions : ['«\xa0', '“']
77 Guillemets typographiques fermants. =>   <longname lang="fr">mDns</longname> | " => suggestions : ['\xa0»', '”']
77 Mot inconnu : mDns =>   <longname lang="fr">mDns</longname> | mdns

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   <longname lang="it">mDns</longname> |    => suggestions : ['']
78 Guillemets typographiques ouvrants. =>   <longname lang="it">mDns</longname> | " => suggestions : ['«\xa0', '“']
78 Guillemets typographiques fermants. =>   <longname lang="it">mDns</longname> | " => suggestions : ['\xa0»', '”']
78 Mot inconnu : mDns =>   <longname lang="it">mDns</longname> | mdns

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   <longname lang="es">mDns</longname> |    => suggestions : ['']
79 Guillemets typographiques ouvrants. =>   <longname lang="es">mDns</longname> | " => suggestions : ['«\xa0', '“']
79 Guillemets typographiques fermants. =>   <longname lang="es">mDns</longname> | " => suggestions : ['\xa0»', '”']
79 Mot inconnu : mDns =>   <longname lang="es">mDns</longname> | mdns

80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   <description>Protocols to allow networks to configure themselves. It is called Bonjour (formerly Rendezvous) by Apple, and used extensively on Mac OS X. </description> |    => suggestions : ['']
80 Mot inconnu : Protocols =>   <description>Protocols to allow networks to configure themselves. It is called Bonjour (formerly Rendezvous) by Apple, and used extensively on Mac OS X. </description> | protocols
80 Mot inconnu : to =>   <description>Protocols to allow networks to configure themselves. It is called Bonjour (formerly Rendezvous) by Apple, and used extensively on Mac OS X. </description> | to
80 Mot inconnu : allow =>   <description>Protocols to allow networks to configure themselves. It is called Bonjour (formerly Rendezvous) by Apple, and used extensively on Mac OS X. </description> | allow
80 Mot inconnu : networks =>   <description>Protocols to allow networks to configure themselves. It is called Bonjour (formerly Rendezvous) by Apple, and used extensively on Mac OS X. </description> | networks
80 Mot inconnu : to =>   <description>Protocols to allow networks to configure themselves. It is called Bonjour (formerly Rendezvous) by Apple, and used extensively on Mac OS X. </description> | to
80 Mot inconnu : themselves =>   <description>Protocols to allow networks to configure themselves. It is called Bonjour (formerly Rendezvous) by Apple, and used extensively on Mac OS X. </description> | themselves
80 Mot inconnu : It =>   <description>Protocols to allow networks to configure themselves. It is called Bonjour (formerly Rendezvous) by Apple, and used extensively on Mac OS X. </description> | it
80 Mot inconnu : is =>   <description>Protocols to allow networks to configure themselves. It is called Bonjour (formerly Rendezvous) by Apple, and used extensively on Mac OS X. </description> | is
80 Mot inconnu : called =>   <description>Protocols to allow networks to configure themselves. It is called Bonjour (formerly Rendezvous) by Apple, and used extensively on Mac OS X. </description> | called
80 Mot inconnu : formerly =>   <description>Protocols to allow networks to configure themselves. It is called Bonjour (formerly Rendezvous) by Apple, and used extensively on Mac OS X. </description> | formerly
80 Mot inconnu : Rendezvous =>   <description>Protocols to allow networks to configure themselves. It is called Bonjour (formerly Rendezvous) by Apple, and used extensively on Mac OS X. </description> | rendezvous
80 Mot inconnu : by =>   <description>Protocols to allow networks to configure themselves. It is called Bonjour (formerly Rendezvous) by Apple, and used extensively on Mac OS X. </description> | by
80 Mot inconnu : and =>   <description>Protocols to allow networks to configure themselves. It is called Bonjour (formerly Rendezvous) by Apple, and used extensively on Mac OS X. </description> | and
80 Mot inconnu : used =>   <description>Protocols to allow networks to configure themselves. It is called Bonjour (formerly Rendezvous) by Apple, and used extensively on Mac OS X. </description> | used
80 Mot inconnu : extensively =>   <description>Protocols to allow networks to configure themselves. It is called Bonjour (formerly Rendezvous) by Apple, and used extensively on Mac OS X. </description> | extensively
80 Incohérence avec “on” : “Mac” devrait être un verbe, un pronom objet, un adverbe de négation, etc. =>   <description>Protocols to allow networks to configure themselves. It is called Bonjour (formerly Rendezvous) by Apple, and used extensively on Mac OS X. </description> | mac => suggestions : []

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   <classification class="net"/> |    => suggestions : ['']
82 Guillemets typographiques ouvrants. =>   <classification class="net"/> | " => suggestions : ['«\xa0', '“']
82 Guillemets typographiques fermants. =>   <classification class="net"/> | " => suggestions : ['\xa0»', '”']

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   <network> |    => suggestions : ['']

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     <udp source="server" dest="client"> |      => suggestions : ['']
84 Guillemets typographiques ouvrants. =>     <udp source="server" dest="client"> | " => suggestions : ['«\xa0', '“']
84 Guillemets typographiques fermants. =>     <udp source="server" dest="client"> | " => suggestions : ['\xa0»', '”']
84 Guillemets typographiques ouvrants. =>     <udp source="server" dest="client"> | " => suggestions : ['«\xa0', '“']
84 Guillemets typographiques fermants. =>     <udp source="server" dest="client"> | " => suggestions : ['\xa0»', '”']

85 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       <source><port portnum="nonprivileged"/></source> |        => suggestions : ['']
85 Guillemets typographiques ouvrants. =>       <source><port portnum="nonprivileged"/></source> | " => suggestions : ['«\xa0', '“']
85 Guillemets typographiques fermants. =>       <source><port portnum="nonprivileged"/></source> | " => suggestions : ['\xa0»', '”']

86 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       <dest><port portnum="5353"/></dest> |        => suggestions : ['']
86 Guillemets typographiques ouvrants. =>       <dest><port portnum="5353"/></dest> | " => suggestions : ['«\xa0', '“']
86 Guillemets typographiques fermants. =>       <dest><port portnum="5353"/></dest> | " => suggestions : ['\xa0»', '”']

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     </udp> |      => suggestions : ['']

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     <udp source="client" dest="server"> |      => suggestions : ['']
88 Guillemets typographiques ouvrants. =>     <udp source="client" dest="server"> | " => suggestions : ['«\xa0', '“']
88 Guillemets typographiques fermants. =>     <udp source="client" dest="server"> | " => suggestions : ['\xa0»', '”']
88 Guillemets typographiques ouvrants. =>     <udp source="client" dest="server"> | " => suggestions : ['«\xa0', '“']
88 Guillemets typographiques fermants. =>     <udp source="client" dest="server"> | " => suggestions : ['\xa0»', '”']

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       <source><port portnum="5353"/></source> |        => suggestions : ['']
89 Guillemets typographiques ouvrants. =>       <source><port portnum="5353"/></source> | " => suggestions : ['«\xa0', '“']
89 Guillemets typographiques fermants. =>       <source><port portnum="5353"/></source> | " => suggestions : ['\xa0»', '”']

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       <dest><port portnum="nonprivileged"/></dest> |        => suggestions : ['']
90 Guillemets typographiques ouvrants. =>       <dest><port portnum="nonprivileged"/></dest> | " => suggestions : ['«\xa0', '“']
90 Guillemets typographiques fermants. =>       <dest><port portnum="nonprivileged"/></dest> | " => suggestions : ['\xa0»', '”']

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     </udp> |      => suggestions : ['']

92 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   </network> |    => suggestions : ['']

93 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   <security threat="medium" falsepos="low"/> |    => suggestions : ['']
93 Guillemets typographiques ouvrants. =>   <security threat="medium" falsepos="low"/> | " => suggestions : ['«\xa0', '“']
93 Guillemets typographiques fermants. =>   <security threat="medium" falsepos="low"/> | " => suggestions : ['\xa0»', '”']
93 Guillemets typographiques ouvrants. =>   <security threat="medium" falsepos="low"/> | " => suggestions : ['«\xa0', '“']
93 Guillemets typographiques fermants. =>   <security threat="medium" falsepos="low"/> | " => suggestions : ['\xa0»', '”']

101 Mot inconnu : avahi-discover => Utilisez l'application //avahi-discover//, ou l'applet //[[apt>service-discovery-applet]]// pour l'environnement gnome. | avahi-discover
101 Mot inconnu : service-discovery-applet => Utilisez l'application //avahi-discover//, ou l'applet //[[apt>service-discovery-applet]]// pour l'environnement gnome. | service-discovery-applet

102 Mot inconnu : html => service intelligent et restructuration des données implémentées page 3 via pointeurs sur structure de BITMAP html DNS et prototype TCP. | html
102 Mot inconnu : TCP => service intelligent et restructuration des données implémentées page 3 via pointeurs sur structure de BITMAP html DNS et prototype TCP. | tcp

106 Mot inconnu : hostname-2 => ==== hostname-2.local ==== | hostname-2
106 Il manque un espace. => ==== hostname-2.local ==== | local => suggestions : [' local']

107 Mot inconnu : Avahi => Parfois Avahi n'identifie pas correctement certaines machines et leurs ajoute un "-2", cela nous donne donc "hostname-2.local".\\ | avahi
107 Incohérence : “leurs” est un déterminant pluriel censé précéder un substantif pluriel. Pour le pronom personnel devant un verbe, écrivez “leur”. => Parfois Avahi n'identifie pas correctement certaines machines et leurs ajoute un "-2", cela nous donne donc "hostname-2.local".\\ | leurs => suggestions : ['leur']
107 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. => Parfois Avahi n'identifie pas correctement certaines machines et leurs ajoute un "-2", cela nous donne donc "hostname-2.local".\\ | -2 => suggestions : ['−2', '– 2', '— 2']
107 Guillemets typographiques fermants. => Parfois Avahi n'identifie pas correctement certaines machines et leurs ajoute un "-2", cela nous donne donc "hostname-2.local".\\ | " => suggestions : ['\xa0»', '”']
107 Guillemets typographiques ouvrants. => Parfois Avahi n'identifie pas correctement certaines machines et leurs ajoute un "-2", cela nous donne donc "hostname-2.local".\\ | " => suggestions : ['«\xa0', '“']
107 Mot inconnu : hostname-2 => Parfois Avahi n'identifie pas correctement certaines machines et leurs ajoute un "-2", cela nous donne donc "hostname-2.local".\\ | hostname-2
107 Il manque un espace. => Parfois Avahi n'identifie pas correctement certaines machines et leurs ajoute un "-2", cela nous donne donc "hostname-2.local".\\ | local => suggestions : [' local']
107 Guillemets typographiques fermants. => Parfois Avahi n'identifie pas correctement certaines machines et leurs ajoute un "-2", cela nous donne donc "hostname-2.local".\\ | " => suggestions : ['\xa0»', '”']

108 Mot inconnu : hostname => Pour retrouver un hostname correct sous la forme "hostname.local", nous devons effectuer ces quelques manipulations :\\ | hostname
108 Guillemets typographiques ouvrants. => Pour retrouver un hostname correct sous la forme "hostname.local", nous devons effectuer ces quelques manipulations :\\ | " => suggestions : ['«\xa0', '“']
108 Mot inconnu : hostname => Pour retrouver un hostname correct sous la forme "hostname.local", nous devons effectuer ces quelques manipulations :\\ | hostname
108 Il manque un espace. => Pour retrouver un hostname correct sous la forme "hostname.local", nous devons effectuer ces quelques manipulations :\\ | local => suggestions : [' local']
108 Guillemets typographiques fermants. => Pour retrouver un hostname correct sous la forme "hostname.local", nous devons effectuer ces quelques manipulations :\\ | " => suggestions : ['\xa0»', '”']

110 Mot inconnu : hostname => Pour commencer, on va renommer correctement le hostname du PC :\\ | hostname

112 Mot inconnu : daemon => Puis on redémarre le daemon :\\ | daemon

122 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.zeroconf.org/|Site officiel]] [en] |    => suggestions : ['']

123 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://developer.apple.com/networking/bonjour/index.html|Bonjour]] [en] |    => suggestions : ['']

124 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://0pointer.de/lennart/projects/nss-mdns/|libnss-mdns]] [en] |    => suggestions : ['']

125 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://avahi.org/|Avahi mdns responder]] [en] |    => suggestions : ['']
125 Mot inconnu : Avahi =>   * [[http://avahi.org/|Avahi mdns responder]] [en] | avahi
125 Mot inconnu : mdns =>   * [[http://avahi.org/|Avahi mdns responder]] [en] | mdns
125 Mot inconnu : responder =>   * [[http://avahi.org/|Avahi mdns responder]] [en] | responder

126 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.porchdogsoft.com/products/howl/|Howl mdns responder]] [en] |    => suggestions : ['']
126 Mot inconnu : Howl =>   * [[http://www.porchdogsoft.com/products/howl/|Howl mdns responder]] [en] | howl
126 Mot inconnu : mdns =>   * [[http://www.porchdogsoft.com/products/howl/|Howl mdns responder]] [en] | mdns
126 Mot inconnu : responder =>   * [[http://www.porchdogsoft.com/products/howl/|Howl mdns responder]] [en] | responder
