
4 Mot inconnu : locate => ====== locate (mlocate) ====== | locate
36 Mot inconnu : mlocate => Un fichier script //mlocate// est placé dans /etc/cron.daily pour être exécuté chaque jour et mettre à jour la base de donnée mlocate, qui se trouve à l'emplacement ///var/lib/mlocate/mlocate.db//. L'installation de mlocate modifie le binaire ///usr/bin/locate// pour pointer sur la version "mlocate". Si mlocate n'était pas pré-installé sur votre système, que vous avez réalisé une installation manuelle et que vous souhaitez utiliser //locate// sans attendre, vous devez exécuter /etc/cron.daily/mlocate manuellement (une seule fois) dans un terminal pour créer la base de données, faute de quoi la commande de recherche ne fonctionnera pas correctement. | mlocate
36 Mot inconnu : mlocate => Un fichier script //mlocate// est placé dans /etc/cron.daily pour être exécuté chaque jour et mettre à jour la base de donnée mlocate, qui se trouve à l'emplacement ///var/lib/mlocate/mlocate.db//. L'installation de mlocate modifie le binaire ///usr/bin/locate// pour pointer sur la version "mlocate". Si mlocate n'était pas pré-installé sur votre système, que vous avez réalisé une installation manuelle et que vous souhaitez utiliser //locate// sans attendre, vous devez exécuter /etc/cron.daily/mlocate manuellement (une seule fois) dans un terminal pour créer la base de données, faute de quoi la commande de recherche ne fonctionnera pas correctement. | mlocate
36 Guillemets typographiques ouvrants. => Un fichier script //mlocate// est placé dans /etc/cron.daily pour être exécuté chaque jour et mettre à jour la base de donnée mlocate, qui se trouve à l'emplacement ///var/lib/mlocate/mlocate.db//. L'installation de mlocate modifie le binaire ///usr/bin/locate// pour pointer sur la version "mlocate". Si mlocate n'était pas pré-installé sur votre système, que vous avez réalisé une installation manuelle et que vous souhaitez utiliser //locate// sans attendre, vous devez exécuter /etc/cron.daily/mlocate manuellement (une seule fois) dans un terminal pour créer la base de données, faute de quoi la commande de recherche ne fonctionnera pas correctement. | " => suggestions : ['«\xa0', '“']
36 Mot inconnu : mlocate => Un fichier script //mlocate// est placé dans /etc/cron.daily pour être exécuté chaque jour et mettre à jour la base de donnée mlocate, qui se trouve à l'emplacement ///var/lib/mlocate/mlocate.db//. L'installation de mlocate modifie le binaire ///usr/bin/locate// pour pointer sur la version "mlocate". Si mlocate n'était pas pré-installé sur votre système, que vous avez réalisé une installation manuelle et que vous souhaitez utiliser //locate// sans attendre, vous devez exécuter /etc/cron.daily/mlocate manuellement (une seule fois) dans un terminal pour créer la base de données, faute de quoi la commande de recherche ne fonctionnera pas correctement. | mlocate
36 Guillemets typographiques fermants. => Un fichier script //mlocate// est placé dans /etc/cron.daily pour être exécuté chaque jour et mettre à jour la base de donnée mlocate, qui se trouve à l'emplacement ///var/lib/mlocate/mlocate.db//. L'installation de mlocate modifie le binaire ///usr/bin/locate// pour pointer sur la version "mlocate". Si mlocate n'était pas pré-installé sur votre système, que vous avez réalisé une installation manuelle et que vous souhaitez utiliser //locate// sans attendre, vous devez exécuter /etc/cron.daily/mlocate manuellement (une seule fois) dans un terminal pour créer la base de données, faute de quoi la commande de recherche ne fonctionnera pas correctement. | " => suggestions : ['\xa0»', '”']
36 Mot inconnu : mlocate => Un fichier script //mlocate// est placé dans /etc/cron.daily pour être exécuté chaque jour et mettre à jour la base de donnée mlocate, qui se trouve à l'emplacement ///var/lib/mlocate/mlocate.db//. L'installation de mlocate modifie le binaire ///usr/bin/locate// pour pointer sur la version "mlocate". Si mlocate n'était pas pré-installé sur votre système, que vous avez réalisé une installation manuelle et que vous souhaitez utiliser //locate// sans attendre, vous devez exécuter /etc/cron.daily/mlocate manuellement (une seule fois) dans un terminal pour créer la base de données, faute de quoi la commande de recherche ne fonctionnera pas correctement. | mlocate
36 Mot inconnu : locate => Un fichier script //mlocate// est placé dans /etc/cron.daily pour être exécuté chaque jour et mettre à jour la base de donnée mlocate, qui se trouve à l'emplacement ///var/lib/mlocate/mlocate.db//. L'installation de mlocate modifie le binaire ///usr/bin/locate// pour pointer sur la version "mlocate". Si mlocate n'était pas pré-installé sur votre système, que vous avez réalisé une installation manuelle et que vous souhaitez utiliser //locate// sans attendre, vous devez exécuter /etc/cron.daily/mlocate manuellement (une seule fois) dans un terminal pour créer la base de données, faute de quoi la commande de recherche ne fonctionnera pas correctement. | locate

38 Mot inconnu : locate => ==== Utilisation de locate ==== | locate

40 Guillemets fermants. => Rechercher par exemple le fichier ".profile" : |  " => suggestions : ['\xa0»', '”']
40 Guillemets typographiques fermants. => Rechercher par exemple le fichier ".profile" : | " => suggestions : ['\xa0»', '”']

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    locate .profile |     => suggestions : ['']
42 Mot inconnu : locate =>    locate .profile | locate
42 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>    locate .profile |  . => suggestions : ['. ', '.']

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    locate -i mp3 | less |     => suggestions : ['']
46 Mot inconnu : locate =>    locate -i mp3 | less | locate
46 Il manque un espace à côté du tiret. =>    locate -i mp3 | less |  - => suggestions : [' – ', ' — ']
46 Mot inconnu : less =>    locate -i mp3 | less | less

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    sudo updatedb |     => suggestions : ['']
50 Mot inconnu : sudo =>    sudo updatedb | sudo
50 Mot inconnu : updatedb =>    sudo updatedb | updatedb

56 Mot inconnu : PRUNEPATHS => Cela se fait dans le fichier **/etc/updatedb.conf** en ajoutant le répertoire en question dans les **PRUNEPATHS** : | prunepaths

59 Mot inconnu : PRUNEPATHS => PRUNEPATHS="/tmp /var/spool /media /home/.ecryptfs /data" | prunepaths
59 Guillemets typographiques fermants. => PRUNEPATHS="/tmp /var/spool /media /home/.ecryptfs /data" | " => suggestions : ['\xa0»', '”']

68 Mot inconnu : anacron => <note important>Ceci oblige de modifier l'heure d'exécution de [[anacron]] donc ce sera toutes les tâches exécutées par [[anacron]] qui seront exécutées à l'heure de votre choix</note> | anacron
68 Mot inconnu : anacron => <note important>Ceci oblige de modifier l'heure d'exécution de [[anacron]] donc ce sera toutes les tâches exécutées par [[anacron]] qui seront exécutées à l'heure de votre choix</note> | anacron

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    30 7    * * *   root	test -x /etc/init.d/anacron && /usr/sbin/invoke-rc.d anacron start >/dev/null |     => suggestions : ['']
73 Espace(s) surnuméraire(s) à supprimer. =>    30 7    * * *   root	test -x /etc/init.d/anacron && /usr/sbin/invoke-rc.d anacron start >/dev/null |      => suggestions : [' ']
73 Mot inconnu : root =>    30 7    * * *   root	test -x /etc/init.d/anacron && /usr/sbin/invoke-rc.d anacron start >/dev/null | root
73 Il manque un espace à côté du tiret. =>    30 7    * * *   root	test -x /etc/init.d/anacron && /usr/sbin/invoke-rc.d anacron start >/dev/null |  - => suggestions : [' – ', ' — ']
73 Mot inconnu : anacron =>    30 7    * * *   root	test -x /etc/init.d/anacron && /usr/sbin/invoke-rc.d anacron start >/dev/null | anacron
73 Mot inconnu : start =>    30 7    * * *   root	test -x /etc/init.d/anacron && /usr/sbin/invoke-rc.d anacron start >/dev/null | start

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    45 5    * * *   root	test -x /etc/init.d/anacron && /usr/sbin/invoke-rc.d anacron start >/dev/null |     => suggestions : ['']
76 Espace(s) surnuméraire(s) à supprimer. =>    45 5    * * *   root	test -x /etc/init.d/anacron && /usr/sbin/invoke-rc.d anacron start >/dev/null |      => suggestions : [' ']
76 Mot inconnu : root =>    45 5    * * *   root	test -x /etc/init.d/anacron && /usr/sbin/invoke-rc.d anacron start >/dev/null | root
76 Il manque un espace à côté du tiret. =>    45 5    * * *   root	test -x /etc/init.d/anacron && /usr/sbin/invoke-rc.d anacron start >/dev/null |  - => suggestions : [' – ', ' — ']
76 Mot inconnu : anacron =>    45 5    * * *   root	test -x /etc/init.d/anacron && /usr/sbin/invoke-rc.d anacron start >/dev/null | anacron
76 Mot inconnu : start =>    45 5    * * *   root	test -x /etc/init.d/anacron && /usr/sbin/invoke-rc.d anacron start >/dev/null | start

79 Espace(s) en fin de ligne à supprimer. => Sites relatifs  |   => suggestions : ['']
83 Mot inconnu : sylvainsjc => Auteur : [[utilisateurs/sylvainsjc]] | sylvainsjc
85 Espace(s) en fin de ligne à supprimer. => Contributeurs :  |   => suggestions : ['']
