
5 Mot inconnu : Privoxy => ====== Privoxy ====== | privoxy
35 Typographie : points de suspension. Utilisez le caractère dédié. => ===== Aller plus loin...===== | ... => suggestions : ['…']

37 Mot inconnu : Privoxy => ==== Changer le port d'écoute de Privoxy ==== | privoxy

39 Mot inconnu : Privoxy => La configuration de Privoxy est enregistrée dans le fichier ///etc/privoxy/**config**// ; vous devez être un administrateur pour le modifier. | privoxy
41 Mot inconnu : listen-address => Recherchez la ligne suivante : <file>listen-address  127.0.0.1:8118</file> Cette ligne indique sur quelle interface Privoxy doit écouter les connexions entrantes et sortantes. Pour modifier le port d'écoute de Privoxy, modifiez le nombre après les deux-points (par défaut, //**8118**//) par le numéro de port que doit utiliser Privoxy. | listen-address
41 Espace(s) surnuméraire(s) à supprimer. => Recherchez la ligne suivante : <file>listen-address  127.0.0.1:8118</file> Cette ligne indique sur quelle interface Privoxy doit écouter les connexions entrantes et sortantes. Pour modifier le port d'écoute de Privoxy, modifiez le nombre après les deux-points (par défaut, //**8118**//) par le numéro de port que doit utiliser Privoxy. |    => suggestions : [' ']
41 Mot inconnu : Privoxy => Recherchez la ligne suivante : <file>listen-address  127.0.0.1:8118</file> Cette ligne indique sur quelle interface Privoxy doit écouter les connexions entrantes et sortantes. Pour modifier le port d'écoute de Privoxy, modifiez le nombre après les deux-points (par défaut, //**8118**//) par le numéro de port que doit utiliser Privoxy. | privoxy
41 Mot inconnu : Privoxy => Recherchez la ligne suivante : <file>listen-address  127.0.0.1:8118</file> Cette ligne indique sur quelle interface Privoxy doit écouter les connexions entrantes et sortantes. Pour modifier le port d'écoute de Privoxy, modifiez le nombre après les deux-points (par défaut, //**8118**//) par le numéro de port que doit utiliser Privoxy. | privoxy
41 Mot inconnu : Privoxy => Recherchez la ligne suivante : <file>listen-address  127.0.0.1:8118</file> Cette ligne indique sur quelle interface Privoxy doit écouter les connexions entrantes et sortantes. Pour modifier le port d'écoute de Privoxy, modifiez le nombre après les deux-points (par défaut, //**8118**//) par le numéro de port que doit utiliser Privoxy. | privoxy

47 Mot inconnu : Privoxy => Par défaut, Privoxy conserve une liste des sites Web auxquels une connexion est effectuée et l'ensemble des témoins interceptés pour protéger votre vie privée. Vous pouvez tout à fait vouloir désactiver la conservation de ces données, afin d'éviter de laisser des traces de votre passage dans votre ordinateur. (Ceci peut être fort pertinent dans des endroits où un ordinateur est partagé entre plusieurs usagers, comme un ordinateur public.) Ces modifications sont à effectuer dans le fichier de configuration de Privoxy, ///etc/privoxy/**config**// ; vous devez être un administrateur pour le modifier. | privoxy
47 Mot inconnu : Privoxy => Par défaut, Privoxy conserve une liste des sites Web auxquels une connexion est effectuée et l'ensemble des témoins interceptés pour protéger votre vie privée. Vous pouvez tout à fait vouloir désactiver la conservation de ces données, afin d'éviter de laisser des traces de votre passage dans votre ordinateur. (Ceci peut être fort pertinent dans des endroits où un ordinateur est partagé entre plusieurs usagers, comme un ordinateur public.) Ces modifications sont à effectuer dans le fichier de configuration de Privoxy, ///etc/privoxy/**config**// ; vous devez être un administrateur pour le modifier. | privoxy

67 Mot inconnu : Privoxy => Pour modifier la configuration par défaut de Privoxy : | privoxy

73 Mot inconnu : Privoxy => Désormais, Privoxy démarrera automatiquement en même temps qu'Ubuntu. | privoxy

75 Espace(s) surnuméraire(s) à supprimer. => ==== Certains sites s'affichent mal ou bloquent l'accès  ===== |    => suggestions : [' ']

92 Mot inconnu : anti-AdSense => ===== Inclure un anti-AdSense à Privoxy ou un anti-pubs (ne fonctionne pas pour les vidéos Youtube etc) ===== | anti-adsense
92 Mot inconnu : Privoxy => ===== Inclure un anti-AdSense à Privoxy ou un anti-pubs (ne fonctionne pas pour les vidéos Youtube etc) ===== | privoxy

98 Pas d’espace avant une virgule. => <note> Pour un résultat optimal, merci d'éditer le [[https://github.com/Andrwe/privoxy-blocklist/blob/master/privoxy-blocklist.sh|script]] à la ligne **175** , et de vous référer au site : [[https://easylist.to/pages/other-supplementary-filter-lists-and-easylist-variants.html|EasyList]].</note> |  , => suggestions : [',']
