
5 Mot inconnu : Prey => ======Prey - Localisation en cas de vol ====== | prey

19 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A noter qu'il existe des versions de Prey pour divers appareils/systèmes d'exploitation : [[https://preyproject.com/download]] | a => suggestions : ['À']
19 Mot inconnu : Prey => A noter qu'il existe des versions de Prey pour divers appareils/systèmes d'exploitation : [[https://preyproject.com/download]] | prey

24 Mot inconnu : Prey => <note>Prey n'est plus disponible dans les dépôts officiels depuis [[focal|Ubuntu 20.04]]((https://packages.ubuntu.com/search?suite=default&section=all&arch=any&searchon=names&keywords=prey))</note> | prey

30 Mot inconnu : NB => NB : l'emplacement de certains fichiers est différente dans la version distribuée sur le site. De plus, le nom de certains modules a changé : "secure" est renommé en "wipe" | nb
30 Guillemets typographiques ouvrants. => NB : l'emplacement de certains fichiers est différente dans la version distribuée sur le site. De plus, le nom de certains modules a changé : "secure" est renommé en "wipe" | " => suggestions : ['«\xa0', '“']
30 Mot inconnu : secure => NB : l'emplacement de certains fichiers est différente dans la version distribuée sur le site. De plus, le nom de certains modules a changé : "secure" est renommé en "wipe" | secure
30 Guillemets typographiques fermants. => NB : l'emplacement de certains fichiers est différente dans la version distribuée sur le site. De plus, le nom de certains modules a changé : "secure" est renommé en "wipe" | " => suggestions : ['\xa0»', '”']
30 Guillemets typographiques ouvrants. => NB : l'emplacement de certains fichiers est différente dans la version distribuée sur le site. De plus, le nom de certains modules a changé : "secure" est renommé en "wipe" | " => suggestions : ['«\xa0', '“']
30 Mot inconnu : wipe => NB : l'emplacement de certains fichiers est différente dans la version distribuée sur le site. De plus, le nom de certains modules a changé : "secure" est renommé en "wipe" | wipe
30 Guillemets typographiques fermants. => NB : l'emplacement de certains fichiers est différente dans la version distribuée sur le site. De plus, le nom de certains modules a changé : "secure" est renommé en "wipe" | " => suggestions : ['\xa0»', '”']

34 S’il s’agit d’un impératif, mettez un trait d’union. => <note important>Sur la 14.04, il se peut que vous ayez une erreur à l'installation du paquet tiré du site. Pour que ça marche, effectuez la [[https://ubuntuforums.org/showthread.php?t=2276081  | manip' suivante]]:  | effectuez la => suggestions : ['effectuez-la']
34 Espace(s) surnuméraire(s) à supprimer. => <note important>Sur la 14.04, il se peut que vous ayez une erreur à l'installation du paquet tiré du site. Pour que ça marche, effectuez la [[https://ubuntuforums.org/showthread.php?t=2276081  | manip' suivante]]:  |    => suggestions : [' ']
34 Guillemets typographiques fermants. => <note important>Sur la 14.04, il se peut que vous ayez une erreur à l'installation du paquet tiré du site. Pour que ça marche, effectuez la [[https://ubuntuforums.org/showthread.php?t=2276081  | manip' suivante]]:  | ' => suggestions : ['”', '’', '›']
34 Espace(s) en fin de ligne à supprimer. => <note important>Sur la 14.04, il se peut que vous ayez une erreur à l'installation du paquet tiré du site. Pour que ça marche, effectuez la [[https://ubuntuforums.org/showthread.php?t=2276081  | manip' suivante]]:  |   => suggestions : ['']

41 Guillemets typographiques ouvrants. => Le jour où votre appareil est volé ou perdu, il faut le déclarer comme disparu. Soit via le "panel control", soit en modifiant un fichier de votre serveur HTTP (voir le paragraphe "Configuration"). | " => suggestions : ['«\xa0', '“']
41 Mot inconnu : control => Le jour où votre appareil est volé ou perdu, il faut le déclarer comme disparu. Soit via le "panel control", soit en modifiant un fichier de votre serveur HTTP (voir le paragraphe "Configuration"). | control
41 Guillemets typographiques fermants. => Le jour où votre appareil est volé ou perdu, il faut le déclarer comme disparu. Soit via le "panel control", soit en modifiant un fichier de votre serveur HTTP (voir le paragraphe "Configuration"). | " => suggestions : ['\xa0»', '”']
41 Guillemets typographiques ouvrants. => Le jour où votre appareil est volé ou perdu, il faut le déclarer comme disparu. Soit via le "panel control", soit en modifiant un fichier de votre serveur HTTP (voir le paragraphe "Configuration"). | " => suggestions : ['«\xa0', '“']
41 Guillemets typographiques fermants. => Le jour où votre appareil est volé ou perdu, il faut le déclarer comme disparu. Soit via le "panel control", soit en modifiant un fichier de votre serveur HTTP (voir le paragraphe "Configuration"). | " => suggestions : ['\xa0»', '”']

43 Mot inconnu : prey => Si vous avez un peu de chance, quelqu'un allumera votre appareil, et le connectera à Internet. Si c'est le cas, et suivant ce que vous avez configuré, prey pourra vous envoyer des informations (géolocalisation etc) et/ou effectuer des actions (cacher/supprimer des données sensibles, déclencher une alarme etc). | prey
50 Mot inconnu : Prey => Le plus simple pour les débutants est d'utiliser l'assistant de configuration (disponible depuis Trusty 14.04, c'est-à-dire dans les versions récentes de Prey), en tapant la commande ci-dessous dans un Terminal : | prey

56 Espace(s) en fin de ligne à supprimer. => Sous la 18.04, lancer le script  |   => suggestions : ['']

60 Guillemets typographiques ouvrants. => ====Utiliser le serveur officiel du projet (leur "panel control")==== | " => suggestions : ['«\xa0', '“']
60 Mot inconnu : control => ====Utiliser le serveur officiel du projet (leur "panel control")==== | control
60 Guillemets typographiques fermants. => ====Utiliser le serveur officiel du projet (leur "panel control")==== | " => suggestions : ['\xa0»', '”']

65 Écriture invariable. Utilisez un point médian. => ====Utiliser un autre serveur HTTP(S) (mode "standalone")==== | http(s) => suggestions : ['HTTP·S']
65 Guillemets typographiques ouvrants. => ====Utiliser un autre serveur HTTP(S) (mode "standalone")==== | " => suggestions : ['«\xa0', '“']
65 Mot inconnu : standalone => ====Utiliser un autre serveur HTTP(S) (mode "standalone")==== | standalone
65 Guillemets typographiques fermants. => ====Utiliser un autre serveur HTTP(S) (mode "standalone")==== | " => suggestions : ['\xa0»', '”']

66 Écriture invariable. Utilisez un point médian. => N'importe quel serveur HTTP(S) peut convenir (pour peu que vous puissiez facilement y déposer/modifier des fichiers). Exemple : les pages perso de votre fournisseur d'accès. | http(s) => suggestions : ['HTTP·S']
67 Mot inconnu : SSL => Préférer si possible un serveur en HTTPS : avec un serveur HTTP sans cryptage SSL, on peut dans certains cas être exposé à une attaque de type man-in-the-middle. | ssl
67 Mot inconnu : man-in-the-middle => Préférer si possible un serveur en HTTPS : avec un serveur HTTP sans cryptage SSL, on peut dans certains cas être exposé à une attaque de type man-in-the-middle. | man-in-the-middle

71 Mot inconnu : Prey => Prey vous préviendra en vous envoyant un email. | prey
71 Mot inconnu : email => Prey vous préviendra en vous envoyant un email. | email
102 Mot inconnu : Prey => Attention : Prey ne fait pas de vrai parsing XML. Il lit le fichier ligne à ligne via des expressions régulières. Autrement dit, mettre des lignes en commentaire <!-- ... --> n'empêchera pas Prey de les prendre en compte... | prey
102 Mot inconnu : parsing => Attention : Prey ne fait pas de vrai parsing XML. Il lit le fichier ligne à ligne via des expressions régulières. Autrement dit, mettre des lignes en commentaire <!-- ... --> n'empêchera pas Prey de les prendre en compte... | parsing
102 Typographie : points de suspension. Utilisez le caractère dédié. => Attention : Prey ne fait pas de vrai parsing XML. Il lit le fichier ligne à ligne via des expressions régulières. Autrement dit, mettre des lignes en commentaire <!-- ... --> n'empêchera pas Prey de les prendre en compte... | ... => suggestions : ['…']
102 Mot inconnu : Prey => Attention : Prey ne fait pas de vrai parsing XML. Il lit le fichier ligne à ligne via des expressions régulières. Autrement dit, mettre des lignes en commentaire <!-- ... --> n'empêchera pas Prey de les prendre en compte... | prey
102 Typographie : points de suspension. Utilisez le caractère dédié. => Attention : Prey ne fait pas de vrai parsing XML. Il lit le fichier ligne à ligne via des expressions régulières. Autrement dit, mettre des lignes en commentaire <!-- ... --> n'empêchera pas Prey de les prendre en compte... | ... => suggestions : ['…']

121 Guillemets typographiques ouvrants. => ====Installer son propre "panel control" sur un serveur==== | " => suggestions : ['«\xa0', '“']
121 Mot inconnu : control => ====Installer son propre "panel control" sur un serveur==== | control
121 Guillemets typographiques fermants. => ====Installer son propre "panel control" sur un serveur==== | " => suggestions : ['\xa0»', '”']

122 Mot inconnu : MongoDB => Encore plus compliqué à mettre en place, mais peut rendre l'administration intuitive. Nécessite Ruby et MongoDB pour tourner. | mongodb

124 Mot inconnu : control => Je n'ai pas testé, mais cela semble possible puisque les sources de leur panel control sont disponibles sur Github : [[https://github.com/prey/prey-standalone-control-panel]] | control
124 Mot inconnu : Github => Je n'ai pas testé, mais cela semble possible puisque les sources de leur panel control sont disponibles sur Github : [[https://github.com/prey/prey-standalone-control-panel]] | github
