
3 Mot inconnu : MOC-Music [[6:15]] => ======MOC-Music on Console====== <|> moc-music
50 Mot inconnu : mocp [[29:33]] => Une fois dans l'interface de mocp, les touches **h** ou **?** permettent d' afficher la liste des raccourcis clavier dont en voici certains : <|> mocp
50 Apostrophe incorrecte. [[73:76]] => Une fois dans l'interface de mocp, les touches **h** ou **?** permettent d' afficher la liste des raccourcis clavier dont en voici certains : <|> d'  => suggestions : ['d’']
50 Guillemets typographiques fermants. [[74:75]] => Une fois dans l'interface de mocp, les touches **h** ou **?** permettent d' afficher la liste des raccourcis clavier dont en voici certains : <|> ' => suggestions : ['”', '’', '›']
55 Après la préposition “pour”, le verbe devrait probablement être à l’infinitif. [[63:71]] =>   * Utilisez les flèches haut (**↑**) et bas (**↓**) pour vous déplacez dans un dossier ; <|> déplacez => suggestions : ['déplacer']
56 Typographie : un ou trois points ? [[36:38]] =>   * La ligne avec les deux points **..** correspond au retour au dossier parent ; <|> .. => suggestions : ['…', '.']
57 Mot inconnu : mocp [[48:52]] =>   * La touche **q** pour quitter l'interface de mocp mais laisser le serveur de musique actif ((la musique continue de jouer)) ; <|> mocp
58 Mot inconnu : shift [[24:29]] =>   * La touche **Q** (ou shift+q) pour quitter l'interface de mocp et arrêter le serveur (la musique) ; <|> shift
58 Mot inconnu : mocp [[61:65]] =>   * La touche **Q** (ou shift+q) pour quitter l'interface de mocp et arrêter le serveur (la musique) ; <|> mocp
59 Mot inconnu : shift [[24:29]] =>   * La touche **L** (ou shift+l) permet d'afficher les paroles d'une chanson : celles-ci doivent se trouver dans un fichier texte sans extension dans le même dossier que la musique. <|> shift
63 Mot inconnu : next [[21:25]] =>   * La touche **n**((next)) pour passer au titre suivant ; <|> next
64 Mot inconnu : before [[21:27]] =>   * La touche **b**((before)) pour passer au titre précédent ; <|> before
67 Guillemets typographiques ouvrants. [[16:17]] =>   * Les touches "flèches droites" et "flèches gauches" permettent respectivement une avance et un recul rapide (seconde par seconde) dans le morceau ; <|> " => suggestions : ['«\xa0', '“']
67 Conjugaison erronée. Accord avec “Les touches…”. Le verbe devrait être à la 3ᵉ personne du pluriel. [[17:24]] =>   * Les touches "flèches droites" et "flèches gauches" permettent respectivement une avance et un recul rapide (seconde par seconde) dans le morceau ; <|> flèches => suggestions : ['flèchent']
67 Guillemets typographiques fermants. [[32:33]] =>   * Les touches "flèches droites" et "flèches gauches" permettent respectivement une avance et un recul rapide (seconde par seconde) dans le morceau ; <|> " => suggestions : ['\xa0»', '”']
67 Guillemets typographiques ouvrants. [[37:38]] =>   * Les touches "flèches droites" et "flèches gauches" permettent respectivement une avance et un recul rapide (seconde par seconde) dans le morceau ; <|> " => suggestions : ['«\xa0', '“']
67 Guillemets typographiques fermants. [[53:54]] =>   * Les touches "flèches droites" et "flèches gauches" permettent respectivement une avance et un recul rapide (seconde par seconde) dans le morceau ; <|> " => suggestions : ['\xa0»', '”']
72 Mot inconnu : add [[21:24]] =>   * La touche **a**((add)) pour ajouter un fichier à la playlist <|> add
73 Mot inconnu : add [[21:24]] =>   * La touche **A**((add All)) pour ajouter récursivement tous les fichiers musicaux d'un dossier ((Très utile! Placez vous dans le dossier //**Musique**//, appuyez sur **A** et vous aurez toutes vos chansons ajoutées à la playlist)) <|> add
73 Mot inconnu : All [[25:28]] =>   * La touche **A**((add All)) pour ajouter récursivement tous les fichiers musicaux d'un dossier ((Très utile! Placez vous dans le dossier //**Musique**//, appuyez sur **A** et vous aurez toutes vos chansons ajoutées à la playlist)) <|> all
73 Forme interrogative ? Mettez un trait d’union. [[112:123]] =>   * La touche **A**((add All)) pour ajouter récursivement tous les fichiers musicaux d'un dossier ((Très utile! Placez vous dans le dossier //**Musique**//, appuyez sur **A** et vous aurez toutes vos chansons ajoutées à la playlist)) <|> placez vous => suggestions : ['Placez-vous']
75 Mot inconnu : Shuffle [[21:28]] =>   * La touche **S**((Shuffle)) active le mode de lecture aléatoire dans la playlist <|> shuffle
76 Mot inconnu : Repeat [[21:27]] =>   * La touche **R**((Repeat)) active le mode répétition de la playlist <|> repeat

80 Mot inconnu : MOC [[23:26]] => Dans la version 2.6 de MOC (2022), le seul tri possible des morceaux est alphabétique. Le N° de piste est lu, affiché, mais ne peut être utilisé pour trier l'affichage et l'ordre de lecture. <|> moc

84 Mot inconnu : MOC [[56:59]] => Il est possible de changer de thème dans l'interface de MOC en appuyant sur la touche **T**. Ce changement n'est pas conservé pour la prochaine session.\\ <|> moc

111 Mot inconnu : moc [[151:154]] => S'il n'existe pas déjà, vous pouvez récupérer le fichier **/usr/share/doc/moc/examples/config.example**, puis le copier sous le nom **config** dans ~/.moc. Le fichier donne de nombreuses explications, et des options qu'il faudra dé-commenter pour quelle fonctionnent (enlever le **#** qui se trouve en début de ligne). Le fichier doit avoir votre //user// comme propriétaire. <|> moc
111 Confusion. Le sujet “elle” doit être séparée de la conjonction “que”. [[247:253]] => S'il n'existe pas déjà, vous pouvez récupérer le fichier **/usr/share/doc/moc/examples/config.example**, puis le copier sous le nom **config** dans ~/.moc. Le fichier donne de nombreuses explications, et des options qu'il faudra dé-commenter pour quelle fonctionnent (enlever le **#** qui se trouve en début de ligne). Le fichier doit avoir votre //user// comme propriétaire. <|> quelle => suggestions : ['qu’elle']

113 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. [[55:60]] => Chacune des nombreuses options est expliquée en anglais mais il peut-être utile de s'attarder sur celles-ci : <|>  mais => suggestions : [', mais']
113 Incohérence avec “il” : “peut-être” devrait être un verbe, un pronom objet, un adverbe de négation, etc. [[64:73]] => Chacune des nombreuses options est expliquée en anglais mais il peut-être utile de s'attarder sur celles-ci : <|> peut-être => suggestions : []
114 Mot inconnu : MusicDir [[6:14]] =>   * //MusicDir		= "/home/votre_login/repertoire/musique/" // : Indique le dossier de musique par défaut <|> musicdir
115 Mot inconnu : StartInMusicDir [[6:21]] =>   * //StartInMusicDir	= yes/no // : Indique s'il faut démarrer MOC dans le répertoire par défaut <|> startinmusicdir
115 Mot inconnu : yes [[24:27]] =>   * //StartInMusicDir	= yes/no // : Indique s'il faut démarrer MOC dans le répertoire par défaut <|> yes
115 Mot inconnu : MOC [[63:66]] =>   * //StartInMusicDir	= yes/no // : Indique s'il faut démarrer MOC dans le répertoire par défaut <|> moc
117 Mot inconnu : SavePlaylist [[6:18]] =>   * //SavePlaylist	= yes/no // : Indique s'il faut enregistrer la playlist avant de quitter MOC <|> saveplaylist
117 Mot inconnu : yes [[21:24]] =>   * //SavePlaylist	= yes/no // : Indique s'il faut enregistrer la playlist avant de quitter MOC <|> yes
117 Mot inconnu : MOC [[92:95]] =>   * //SavePlaylist	= yes/no // : Indique s'il faut enregistrer la playlist avant de quitter MOC <|> moc
118 Mot inconnu : Layout1 [[6:13]] =>   * //Layout1 = directory(0,0,100%,100%)// : supprime le panneau playlist (panneau de droite) et ne laisse que celui des albums et musiques. <|> layout1
118 Mot inconnu : directory [[16:25]] =>   * //Layout1 = directory(0,0,100%,100%)// : supprime le panneau playlist (panneau de droite) et ne laisse que celui des albums et musiques. <|> directory
118 Il manque un espace avant la parenthèse. [[25:26]] =>   * //Layout1 = directory(0,0,100%,100%)// : supprime le panneau playlist (panneau de droite) et ne laisse que celui des albums et musiques. <|> ( => suggestions : [' (']

120 Mot inconnu : Conky [[5:10]] => =====Conky==== <|> conky

123 Mot inconnu : moc_album [[3:12]] => **$moc_album** : affiche le titre de l'album de la chanson jouée. <|> moc_album

125 Mot inconnu : moc_artist [[3:13]] => **$moc_artist** : affiche le nom de l'artiste de la chanson jouée. <|> moc_artist

127 Mot inconnu : moc_bitrate [[3:14]] => **$moc_bitrate** : affiche le bitrate de la chanson jouée. <|> moc_bitrate
127 Mot inconnu : bitrate [[30:37]] => **$moc_bitrate** : affiche le bitrate de la chanson jouée. <|> bitrate

129 Mot inconnu : moc_file [[3:11]] => **$moc_file** : affiche le nom du fichier de la chanson jouée. <|> moc_file

131 Mot inconnu : moc_title [[3:12]] => **$moc_title** : affiche le nom complet de la chanson jouée : artiste, album, titre et N° de piste. <|> moc_title

133 Mot inconnu : moc_song [[3:11]] => **$moc_song** : affiche le nom simple du morceau joué. <|> moc_song

135 Mot inconnu : moc_state [[3:12]] => **$moc_state** : affiche l'état de MOC : playing, stopped etc... <|> moc_state
135 Mot inconnu : MOC [[35:38]] => **$moc_state** : affiche l'état de MOC : playing, stopped etc... <|> moc
135 Mot inconnu : playing [[41:48]] => **$moc_state** : affiche l'état de MOC : playing, stopped etc... <|> playing
135 Mot inconnu : stopped [[50:57]] => **$moc_state** : affiche l'état de MOC : playing, stopped etc... <|> stopped
135 Avant « etc. », il faut mettre une virgule. [[57:62]] => **$moc_state** : affiche l'état de MOC : playing, stopped etc... <|>  etc. => suggestions : [', etc.']
135 Un seul point après « etc. » [[58:64]] => **$moc_state** : affiche l'état de MOC : playing, stopped etc... <|> etc... => suggestions : ['etc.']

137 Mot inconnu : moc_curtime [[3:14]] => **$moc_curtime** : affiche le temps déjà écoulé sur le morceau en cours. <|> moc_curtime

139 Mot inconnu : moc_timeleft [[3:15]] => **$moc_timeleft** : affiche le temps restant à jouer sur le morceau en cours. <|> moc_timeleft

141 Mot inconnu : moc_totaltime [[3:16]] => **$moc_totaltime** : affiche la durée totale du morceau en cours. <|> moc_totaltime

143 Mot inconnu : conky [[96:101]] => Si en plus des codes ci-dessus vous voulez afficher des libellés explicatifs (texte) dans votre conky, par exemple : <|> conky

148 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. [[0:4]] => vous aurez ces libellé affichés en permanence, même quand MOC ne joue pas, ce qui n'est pas très beau. Vous pouvez les cacher quand MOC est fermé, en insérant votre affichage dans un test simple au sein du conky. <|> vous => suggestions : ['Vous']
148 Accord de nombre erroné : « libellé » est au singulier. [[11:14]] => vous aurez ces libellé affichés en permanence, même quand MOC ne joue pas, ce qui n'est pas très beau. Vous pouvez les cacher quand MOC est fermé, en insérant votre affichage dans un test simple au sein du conky. <|> ces => suggestions : ['ce']
148 Accord de nombre erroné : « libellé » devrait être au pluriel. [[15:22]] => vous aurez ces libellé affichés en permanence, même quand MOC ne joue pas, ce qui n'est pas très beau. Vous pouvez les cacher quand MOC est fermé, en insérant votre affichage dans un test simple au sein du conky. <|> libellé => suggestions : ['libellés']
148 Mot inconnu : MOC [[58:61]] => vous aurez ces libellé affichés en permanence, même quand MOC ne joue pas, ce qui n'est pas très beau. Vous pouvez les cacher quand MOC est fermé, en insérant votre affichage dans un test simple au sein du conky. <|> moc
148 Mot inconnu : MOC [[132:135]] => vous aurez ces libellé affichés en permanence, même quand MOC ne joue pas, ce qui n'est pas très beau. Vous pouvez les cacher quand MOC est fermé, en insérant votre affichage dans un test simple au sein du conky. <|> moc
148 Mot inconnu : conky [[206:211]] => vous aurez ces libellé affichés en permanence, même quand MOC ne joue pas, ce qui n'est pas très beau. Vous pouvez les cacher quand MOC est fermé, en insérant votre affichage dans un test simple au sein du conky. <|> conky
