
5 Espace(s) en fin de ligne à supprimer. => ====== Les commandes dangereuses ======  |   => suggestions : ['']
142 Mot inconnu : SourceForge => Quelqu'un vous donne le code source et vous dit de le compiler. Il est facile de cacher du code malveillant dans un long code source, et le code source donne à l'attaquant beaucoup de possibilités pour déguiser son code malveillant. Vous ne devriez pas compiler ou exécuter le code compilé, à moins qu'il ne s'agisse d'une application bien connue, obtenue à partir d'un site réputé (SourceForge, les sites Ubuntu, etc.). | sourceforge

160 Guillemets typographiques ouvrants. => Ceci est la forme hexadécimale de ''rm -rf'' qui va détruire votre répertoire en tant que simple utilisateur, ou tous les fichiers en tant que root. | '' => suggestions : ['«\xa0', '“']
160 Mot inconnu : rm => Ceci est la forme hexadécimale de ''rm -rf'' qui va détruire votre répertoire en tant que simple utilisateur, ou tous les fichiers en tant que root. | rm
160 Il manque un espace à côté du tiret. => Ceci est la forme hexadécimale de ''rm -rf'' qui va détruire votre répertoire en tant que simple utilisateur, ou tous les fichiers en tant que root. |  - => suggestions : [' – ', ' — ']
160 Mot inconnu : rf => Ceci est la forme hexadécimale de ''rm -rf'' qui va détruire votre répertoire en tant que simple utilisateur, ou tous les fichiers en tant que root. | rf
160 Guillemets typographiques fermants. => Ceci est la forme hexadécimale de ''rm -rf'' qui va détruire votre répertoire en tant que simple utilisateur, ou tous les fichiers en tant que root. | '' => suggestions : ['\xa0»', '”']
160 Mot inconnu : root => Ceci est la forme hexadécimale de ''rm -rf'' qui va détruire votre répertoire en tant que simple utilisateur, ou tous les fichiers en tant que root. | root

164 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   chmod -R 777 / |    => suggestions : ['']
164 Mot inconnu : chmod =>   chmod -R 777 / | chmod
164 Il manque un espace à côté du tiret. =>   chmod -R 777 / |  - => suggestions : [' – ', ' — ']

206 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo passwd root |    => suggestions : ['']
206 Mot inconnu : sudo =>   sudo passwd root | sudo
206 Mot inconnu : passwd =>   sudo passwd root | passwd
206 Mot inconnu : root =>   sudo passwd root | root

208 Guillemets typographiques ouvrants. => La commande "sudo passwd root " peut vous faire perdre vos droits sudo !! | " => suggestions : ['«\xa0', '“']
208 Mot inconnu : sudo => La commande "sudo passwd root " peut vous faire perdre vos droits sudo !! | sudo
208 Mot inconnu : passwd => La commande "sudo passwd root " peut vous faire perdre vos droits sudo !! | passwd
208 Mot inconnu : root => La commande "sudo passwd root " peut vous faire perdre vos droits sudo !! | root
208 Guillemets isolés. => La commande "sudo passwd root " peut vous faire perdre vos droits sudo !! |  "  => suggestions : [' «\xa0', '\xa0» ', ' “', '” ']
208 Mot inconnu : sudo => La commande "sudo passwd root " peut vous faire perdre vos droits sudo !! | sudo

210 Mot inconnu : sudo => 8-) Pour récupérer ses droits sudo sur son compte, se loguer en root ("sudo -i") et tapez : | sudo
210 Mot inconnu : root => 8-) Pour récupérer ses droits sudo sur son compte, se loguer en root ("sudo -i") et tapez : | root
210 Guillemets typographiques ouvrants. => 8-) Pour récupérer ses droits sudo sur son compte, se loguer en root ("sudo -i") et tapez : | " => suggestions : ['«\xa0', '“']
210 Mot inconnu : sudo => 8-) Pour récupérer ses droits sudo sur son compte, se loguer en root ("sudo -i") et tapez : | sudo
210 Il manque un espace à côté du tiret. => 8-) Pour récupérer ses droits sudo sur son compte, se loguer en root ("sudo -i") et tapez : |  - => suggestions : [' – ', ' — ']
210 Guillemets typographiques fermants. => 8-) Pour récupérer ses droits sudo sur son compte, se loguer en root ("sudo -i") et tapez : | " => suggestions : ['\xa0»', '”']

212 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   adduser votre_username sudo |    => suggestions : ['']
212 Mot inconnu : adduser =>   adduser votre_username sudo | adduser
212 Mot inconnu : votre_username =>   adduser votre_username sudo | votre_username
212 Mot inconnu : sudo =>   adduser votre_username sudo | sudo
222 Il manque un espace. => //Contributeurs principaux : [[utilisateurs:на_краю]], [[utilisateurs:tshirtman]], [[utilisateurs:morgen_stern]].// | на_краю => suggestions : [' на_краю']
222 Il manque un espace. => //Contributeurs principaux : [[utilisateurs:на_краю]], [[utilisateurs:tshirtman]], [[utilisateurs:morgen_stern]].// | tshirtman => suggestions : [' tshirtman']
222 Il manque un espace. => //Contributeurs principaux : [[utilisateurs:на_краю]], [[utilisateurs:tshirtman]], [[utilisateurs:morgen_stern]].// | morgen_stern => suggestions : [' morgen_stern']
224 Mot inconnu : ALL => //Basé sur « [[https://ubuntuforums.org/announcement.php?f=359|ATTENTION ALL USERS: Malicious Commands]] » par jdong.// | all
224 Mot inconnu : USERS => //Basé sur « [[https://ubuntuforums.org/announcement.php?f=359|ATTENTION ALL USERS: Malicious Commands]] » par jdong.// | users
224 Mot inconnu : Malicious => //Basé sur « [[https://ubuntuforums.org/announcement.php?f=359|ATTENTION ALL USERS: Malicious Commands]] » par jdong.// | malicious
224 Mot inconnu : Commands => //Basé sur « [[https://ubuntuforums.org/announcement.php?f=359|ATTENTION ALL USERS: Malicious Commands]] » par jdong.// | commands
224 Mot inconnu : jdong => //Basé sur « [[https://ubuntuforums.org/announcement.php?f=359|ATTENTION ALL USERS: Malicious Commands]] » par jdong.// | jdong
