
5 Mot inconnu : ddrescue => ====== ddrescue ====== | ddrescue
68 Espace(s) surnuméraire(s) à supprimer. => ddrescue  fonctionne de la  [[https://www.gnu.org/software/ddrescue/manual/ddrescue_manual.html#Algorithm | façon suivante]]: |    => suggestions : [' ']
68 Espace(s) surnuméraire(s) à supprimer. => ddrescue  fonctionne de la  [[https://www.gnu.org/software/ddrescue/manual/ddrescue_manual.html#Algorithm | façon suivante]]: |    => suggestions : [' ']

70 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Si le fichier map est vide, dire que le traitement  est à faire sur la totalité du support entrée, sinon récupérer ce qui a déjà été analysé. Ecrire régulièrement l’état de la récupération. | -  => suggestions : ['—\xa0', '–\xa0']
70 Mot inconnu : map => - Si le fichier map est vide, dire que le traitement  est à faire sur la totalité du support entrée, sinon récupérer ce qui a déjà été analysé. Ecrire régulièrement l’état de la récupération. | map
70 Espace(s) surnuméraire(s) à supprimer. => - Si le fichier map est vide, dire que le traitement  est à faire sur la totalité du support entrée, sinon récupérer ce qui a déjà été analysé. Ecrire régulièrement l’état de la récupération. |    => suggestions : [' ']
70 Mot inconnu : Ecrire => - Si le fichier map est vide, dire que le traitement  est à faire sur la totalité du support entrée, sinon récupérer ce qui a déjà été analysé. Ecrire régulièrement l’état de la récupération. | ecrire

72 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Le premier passage lit la totalité du support d’entrée  en faisant des demandes de lecture de taille très importante ( probablement   plusieurs Mo). Si la lecture est possible, la duplication a lieu. Si cette lecture  est impossible,  la totalité des secteurs de cette zone  est marquée « ignorée».  Quel que soit le résultat, la grande zone suivante est alors traitée. Cela jusqu'à la fin du support entrée. | -  => suggestions : ['—\xa0', '–\xa0']
72 Espace(s) surnuméraire(s) à supprimer. => - Le premier passage lit la totalité du support d’entrée  en faisant des demandes de lecture de taille très importante ( probablement   plusieurs Mo). Si la lecture est possible, la duplication a lieu. Si cette lecture  est impossible,  la totalité des secteurs de cette zone  est marquée « ignorée».  Quel que soit le résultat, la grande zone suivante est alors traitée. Cela jusqu'à la fin du support entrée. |    => suggestions : [' ']
72 Pas d’espace après ce signe. => - Le premier passage lit la totalité du support d’entrée  en faisant des demandes de lecture de taille très importante ( probablement   plusieurs Mo). Si la lecture est possible, la duplication a lieu. Si cette lecture  est impossible,  la totalité des secteurs de cette zone  est marquée « ignorée».  Quel que soit le résultat, la grande zone suivante est alors traitée. Cela jusqu'à la fin du support entrée. | (  => suggestions : ['(']
72 Espace(s) surnuméraire(s) à supprimer. => - Le premier passage lit la totalité du support d’entrée  en faisant des demandes de lecture de taille très importante ( probablement   plusieurs Mo). Si la lecture est possible, la duplication a lieu. Si cette lecture  est impossible,  la totalité des secteurs de cette zone  est marquée « ignorée».  Quel que soit le résultat, la grande zone suivante est alors traitée. Cela jusqu'à la fin du support entrée. |     => suggestions : [' ']
72 Espace(s) surnuméraire(s) à supprimer. => - Le premier passage lit la totalité du support d’entrée  en faisant des demandes de lecture de taille très importante ( probablement   plusieurs Mo). Si la lecture est possible, la duplication a lieu. Si cette lecture  est impossible,  la totalité des secteurs de cette zone  est marquée « ignorée».  Quel que soit le résultat, la grande zone suivante est alors traitée. Cela jusqu'à la fin du support entrée. |    => suggestions : [' ']
72 Espace(s) surnuméraire(s) à supprimer. => - Le premier passage lit la totalité du support d’entrée  en faisant des demandes de lecture de taille très importante ( probablement   plusieurs Mo). Si la lecture est possible, la duplication a lieu. Si cette lecture  est impossible,  la totalité des secteurs de cette zone  est marquée « ignorée».  Quel que soit le résultat, la grande zone suivante est alors traitée. Cela jusqu'à la fin du support entrée. |    => suggestions : [' ']
72 Espace(s) surnuméraire(s) à supprimer. => - Le premier passage lit la totalité du support d’entrée  en faisant des demandes de lecture de taille très importante ( probablement   plusieurs Mo). Si la lecture est possible, la duplication a lieu. Si cette lecture  est impossible,  la totalité des secteurs de cette zone  est marquée « ignorée».  Quel que soit le résultat, la grande zone suivante est alors traitée. Cela jusqu'à la fin du support entrée. |    => suggestions : [' ']
72 Espace(s) surnuméraire(s) à supprimer. => - Le premier passage lit la totalité du support d’entrée  en faisant des demandes de lecture de taille très importante ( probablement   plusieurs Mo). Si la lecture est possible, la duplication a lieu. Si cette lecture  est impossible,  la totalité des secteurs de cette zone  est marquée « ignorée».  Quel que soit le résultat, la grande zone suivante est alors traitée. Cela jusqu'à la fin du support entrée. |    => suggestions : [' ']

74 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Le second passage vérifie que les zones marquées "ignorée" sont peut-être devenues lisibles pour certaines d'entre elles en partant de la fin du support entrée (Cette phrase est à confirmer). | -  => suggestions : ['—\xa0', '–\xa0']
74 Guillemets typographiques ouvrants. => - Le second passage vérifie que les zones marquées "ignorée" sont peut-être devenues lisibles pour certaines d'entre elles en partant de la fin du support entrée (Cette phrase est à confirmer). | " => suggestions : ['«\xa0', '“']
74 Accord de nombre erroné avec « les zones marquées » : « ignorée » devrait être au pluriel. => - Le second passage vérifie que les zones marquées "ignorée" sont peut-être devenues lisibles pour certaines d'entre elles en partant de la fin du support entrée (Cette phrase est à confirmer). | ignorée => suggestions : ['ignorées']
74 Guillemets typographiques fermants. => - Le second passage vérifie que les zones marquées "ignorée" sont peut-être devenues lisibles pour certaines d'entre elles en partant de la fin du support entrée (Cette phrase est à confirmer). | " => suggestions : ['\xa0»', '”']

77 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Le troisième passage appelé rognage (Trimming) reprend chaque entité de  taille très importante  en traitant **secteur par secteur** (Secteur logique ?  Secteur physique?). On traite le premier secteur : | -  => suggestions : ['—\xa0', '–\xa0']
77 Mot inconnu : Trimming => - Le troisième passage appelé rognage (Trimming) reprend chaque entité de  taille très importante  en traitant **secteur par secteur** (Secteur logique ?  Secteur physique?). On traite le premier secteur : | trimming
77 Espace(s) surnuméraire(s) à supprimer. => - Le troisième passage appelé rognage (Trimming) reprend chaque entité de  taille très importante  en traitant **secteur par secteur** (Secteur logique ?  Secteur physique?). On traite le premier secteur : |    => suggestions : [' ']
77 Espace(s) surnuméraire(s) à supprimer. => - Le troisième passage appelé rognage (Trimming) reprend chaque entité de  taille très importante  en traitant **secteur par secteur** (Secteur logique ?  Secteur physique?). On traite le premier secteur : |    => suggestions : [' ']
77 Espace(s) surnuméraire(s) à supprimer. => - Le troisième passage appelé rognage (Trimming) reprend chaque entité de  taille très importante  en traitant **secteur par secteur** (Secteur logique ?  Secteur physique?). On traite le premier secteur : |    => suggestions : [' ']

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *        Si le secteur est lisible, il est dupliqué et le secteur suivant est lu. |    => suggestions : ['']

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *        Si le secteur  suivant est illisible, on traite le dernier secteur  de l’entité. |    => suggestions : ['']
79 Espace(s) surnuméraire(s) à supprimer. =>   *        Si le secteur  suivant est illisible, on traite le dernier secteur  de l’entité. |    => suggestions : [' ']
79 Espace(s) surnuméraire(s) à supprimer. =>   *        Si le secteur  suivant est illisible, on traite le dernier secteur  de l’entité. |    => suggestions : [' ']

80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *        Si le dernier secteur est lisible , il est dupliqué et le secteur précédant est lu. |    => suggestions : ['']
80 Pas d’espace avant une virgule. =>   *        Si le dernier secteur est lisible , il est dupliqué et le secteur précédant est lu. |  , => suggestions : [',']

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *        Si le secteur précédant  est illisible, on passe au traitement de l’entité suivante de grande taille. |    => suggestions : ['']
81 Espace(s) surnuméraire(s) à supprimer. =>   *        Si le secteur précédant  est illisible, on passe au traitement de l’entité suivante de grande taille. |    => suggestions : [' ']

83 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Le quatrième passage appelé grattage (Scraping)  lit **chaque secteur**  non encore dupliqué : | -  => suggestions : ['—\xa0', '–\xa0']
83 Mot inconnu : Scraping => - Le quatrième passage appelé grattage (Scraping)  lit **chaque secteur**  non encore dupliqué : | scraping

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *       Si le secteur est lisible, il est dupliqué et le secteur suivant est lu. |    => suggestions : ['']

85 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *       Si le secteur est  illisible, il est marqué défectueux et le  secteur suivant est lu. |    => suggestions : ['']
85 Espace(s) surnuméraire(s) à supprimer. =>   *       Si le secteur est  illisible, il est marqué défectueux et le  secteur suivant est lu. |    => suggestions : [' ']
85 Espace(s) surnuméraire(s) à supprimer. =>   *       Si le secteur est  illisible, il est marqué défectueux et le  secteur suivant est lu. |    => suggestions : [' ']

86 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *       Lorsque le dernier secteur est traité, l’opération est terminée. |    => suggestions : ['']

88 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Cependant, un secteur considéré comme défectueux peut quelquefois être relu. Il est donc possible (souhaitable?) de redemander un certain nombre de fois l’exécution du quatrième passage. | -  => suggestions : ['—\xa0', '–\xa0']

89 Espace(s) surnuméraire(s) à supprimer. => Lorsque le dernier secteur est  traité, l’opération de grattage continue en commençant par la fin pour se terminer au début, elle repart du début jusqu’à ce que le nombre de passages prévus soit atteint. Cependant il est possible d’interrompre l’exécution à tout instant si le taux de récupération est jugé insuffisant en appuyant sur les touches **Crtl C**. |    => suggestions : [' ']
89 Mot inconnu : Crtl => Lorsque le dernier secteur est  traité, l’opération de grattage continue en commençant par la fin pour se terminer au début, elle repart du début jusqu’à ce que le nombre de passages prévus soit atteint. Cependant il est possible d’interrompre l’exécution à tout instant si le taux de récupération est jugé insuffisant en appuyant sur les touches **Crtl C**. | crtl

92 Guillemets typographiques ouvrants. => Dans un tel contexte, il ne faut dupliquer que cette partition. Dans l'ensemble cette partition est "moins abimée" que les partitions contenant les O.S.  Il est alors inutile de vouloir dupliquer le disque entier. | " => suggestions : ['«\xa0', '“']
92 Guillemets typographiques fermants. => Dans un tel contexte, il ne faut dupliquer que cette partition. Dans l'ensemble cette partition est "moins abimée" que les partitions contenant les O.S.  Il est alors inutile de vouloir dupliquer le disque entier. | " => suggestions : ['\xa0»', '”']
92 Espace(s) surnuméraire(s) à supprimer. => Dans un tel contexte, il ne faut dupliquer que cette partition. Dans l'ensemble cette partition est "moins abimée" que les partitions contenant les O.S.  Il est alors inutile de vouloir dupliquer le disque entier. |    => suggestions : [' ']

97 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

103 Guillemets typographiques ouvrants. => J'ai essayé de suivre votre tuto, je n'ai rien obtenu à part le message :"Too many files". Vous devriez écrire un vrai exemple de commande pour sauvegarder les fichiers Image et log sur une clé USB. Car là, ce n'est vraiment pas clair.  | " => suggestions : ['«\xa0', '“']
103 Mot inconnu : Too => J'ai essayé de suivre votre tuto, je n'ai rien obtenu à part le message :"Too many files". Vous devriez écrire un vrai exemple de commande pour sauvegarder les fichiers Image et log sur une clé USB. Car là, ce n'est vraiment pas clair.  | too
103 Mot inconnu : many => J'ai essayé de suivre votre tuto, je n'ai rien obtenu à part le message :"Too many files". Vous devriez écrire un vrai exemple de commande pour sauvegarder les fichiers Image et log sur une clé USB. Car là, ce n'est vraiment pas clair.  | many
103 Guillemets typographiques fermants. => J'ai essayé de suivre votre tuto, je n'ai rien obtenu à part le message :"Too many files". Vous devriez écrire un vrai exemple de commande pour sauvegarder les fichiers Image et log sur une clé USB. Car là, ce n'est vraiment pas clair.  | " => suggestions : ['\xa0»', '”']
103 Espace(s) en fin de ligne à supprimer. => J'ai essayé de suivre votre tuto, je n'ai rien obtenu à part le message :"Too many files". Vous devriez écrire un vrai exemple de commande pour sauvegarder les fichiers Image et log sur une clé USB. Car là, ce n'est vraiment pas clair.  |   => suggestions : ['']

110 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

111 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  ====Utiliser un fichier log==== |   => suggestions : ['']

115 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

116 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Avec:\\ |   => suggestions : ['']

125 Mot inconnu : ddrescue => ddrescue intègre un certain nombre d'options intéressantes pour traiter des cas de supports partiellement endommagés, dont "l'état de santé est stable". Les principales sont citées ci-dessous, mais il y en a d'autres à envisager, consultez le man avant d'agir : | ddrescue
125 Guillemets typographiques ouvrants. => ddrescue intègre un certain nombre d'options intéressantes pour traiter des cas de supports partiellement endommagés, dont "l'état de santé est stable". Les principales sont citées ci-dessous, mais il y en a d'autres à envisager, consultez le man avant d'agir : | " => suggestions : ['«\xa0', '“']
125 Guillemets typographiques fermants. => ddrescue intègre un certain nombre d'options intéressantes pour traiter des cas de supports partiellement endommagés, dont "l'état de santé est stable". Les principales sont citées ci-dessous, mais il y en a d'autres à envisager, consultez le man avant d'agir : | " => suggestions : ['\xa0»', '”']

127 Il manque un espace à côté du tiret. => === Option -n === |  - => suggestions : [' – ', ' — ']

133 Il manque un espace à côté du tiret. => === Option -T === |  - => suggestions : [' – ', ' — ']

137 Guillemets typographiques ouvrants. => permet de reprendre une copie qui a été interrompue du fait de la disparition du matériel (déconnexion brutale, matériel instable qui "disparaît"). En fait, reprend toutes les zones qui n'ont pas encore été explorées. | " => suggestions : ['«\xa0', '“']
137 Guillemets typographiques fermants. => permet de reprendre une copie qui a été interrompue du fait de la disparition du matériel (déconnexion brutale, matériel instable qui "disparaît"). En fait, reprend toutes les zones qui n'ont pas encore été explorées. | " => suggestions : ['\xa0»', '”']

140 Il manque un espace à côté du tiret. => === Option -r === |  - => suggestions : [' – ', ' — ']

143 S’il s’agit d’un impératif, ajoutez un “s”. => Reprend la copie en se concentrant sur les zones considérées comme erronées en première lecture : le chiffre derrière r est un paramètre qui spécifie combien de tentative d'accès doivent être effectuées à chaque erreur rencontrée.     | reprend => suggestions : ['Reprends']
143 Espace(s) en fin de ligne à supprimer. => Reprend la copie en se concentrant sur les zones considérées comme erronées en première lecture : le chiffre derrière r est un paramètre qui spécifie combien de tentative d'accès doivent être effectuées à chaque erreur rencontrée.     |      => suggestions : ['']

145 Il manque un espace à côté du tiret. => === Option -S === |  - => suggestions : [' – ', ' — ']

146 Mot inconnu : sparse => `--sparse' | sparse
146 Guillemets typographiques fermants. => `--sparse' | ' => suggestions : ['”', '’', '›']

147 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

148 Mot inconnu : sparse => Utilisez des écritures éparses (sparse) pour le fichier de sortie. (Les blocs de zéros ne sont pas réellement alloués sur le disque). Peut économiser beaucoup d'espace disque dans certains cas. Tous les systèmes ne le prennent pas en charge. | sparse

150 Mot inconnu : RAID1 => === récupération d'un RAID1 === | raid1

151 Il manque un espace. => Si votre [[tutoriel:raid1_logiciel_sur_installation_existante|RAID-1]] est devenu inutilisable car les deux disques sont en mauvais état, ddrescue est capable de récupérer les secteurs en bon état du premier disque et d'aller chercher les secteurs en mauvais état sur le second disque. | raid1_logiciel_sur_installation_existante => suggestions : [' raid1_logiciel_sur_installation_existante']
151 Mot inconnu : raid1_logiciel_sur_installation_existante => Si votre [[tutoriel:raid1_logiciel_sur_installation_existante|RAID-1]] est devenu inutilisable car les deux disques sont en mauvais état, ddrescue est capable de récupérer les secteurs en bon état du premier disque et d'aller chercher les secteurs en mauvais état sur le second disque. | raid1_logiciel_sur_installation_existante
151 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => Si votre [[tutoriel:raid1_logiciel_sur_installation_existante|RAID-1]] est devenu inutilisable car les deux disques sont en mauvais état, ddrescue est capable de récupérer les secteurs en bon état du premier disque et d'aller chercher les secteurs en mauvais état sur le second disque. |  car => suggestions : [', car']
151 Mot inconnu : ddrescue => Si votre [[tutoriel:raid1_logiciel_sur_installation_existante|RAID-1]] est devenu inutilisable car les deux disques sont en mauvais état, ddrescue est capable de récupérer les secteurs en bon état du premier disque et d'aller chercher les secteurs en mauvais état sur le second disque. | ddrescue

154 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       |       => suggestions : ['']

155 Mot inconnu : ddrescue => ==== ddrescue par des exemples ==== | ddrescue

158 Espace(s) surnuméraire(s) à supprimer. => <note important>Une bonne astuce est de commencer à écrire des zéros dans l'espace destiné à recevoir la récupération. Cela permet de vérifier immédiatement que la zone de sortie  est saine. Cela évite d'avoir à dérouler la procédure de mise à zéro  des zones qui n'ont pas pu être copiées. |    => suggestions : [' ']
158 Espace(s) surnuméraire(s) à supprimer. => <note important>Une bonne astuce est de commencer à écrire des zéros dans l'espace destiné à recevoir la récupération. Cela permet de vérifier immédiatement que la zone de sortie  est saine. Cela évite d'avoir à dérouler la procédure de mise à zéro  des zones qui n'ont pas pu être copiées. |    => suggestions : [' ']

159 Espace(s) surnuméraire(s) à supprimer. => La commande sera du style    <code bash>sudo  dd  if=/dev/zero  of=/dev/Le_support_de_sortie bs=64k status=progress</code> </note> |      => suggestions : [' ']

160 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

162 Guillemets typographiques ouvrants. => === Sauvegarde du disque interne "sda" sur un disque externe "sde" avec une liveusb__PERSISTANTE__ === | " => suggestions : ['«\xa0', '“']
162 Mot inconnu : sda => === Sauvegarde du disque interne "sda" sur un disque externe "sde" avec une liveusb__PERSISTANTE__ === | sda
162 Guillemets typographiques fermants. => === Sauvegarde du disque interne "sda" sur un disque externe "sde" avec une liveusb__PERSISTANTE__ === | " => suggestions : ['\xa0»', '”']
162 Guillemets typographiques ouvrants. => === Sauvegarde du disque interne "sda" sur un disque externe "sde" avec une liveusb__PERSISTANTE__ === | " => suggestions : ['«\xa0', '“']
162 Mot inconnu : sde => === Sauvegarde du disque interne "sda" sur un disque externe "sde" avec une liveusb__PERSISTANTE__ === | sde
162 Guillemets typographiques fermants. => === Sauvegarde du disque interne "sda" sur un disque externe "sde" avec une liveusb__PERSISTANTE__ === | " => suggestions : ['\xa0»', '”']
162 Mot inconnu : liveusb__PERSISTANTE__ => === Sauvegarde du disque interne "sda" sur un disque externe "sde" avec une liveusb__PERSISTANTE__ === | liveusb__persistante__

167 Mot inconnu : sudo => sudo ddrescue             -f  -c1      -b512       /dev/sda     /dev/sde   /home/ubuntu/dd/suivi</code> | sudo
167 Mot inconnu : ddrescue => sudo ddrescue             -f  -c1      -b512       /dev/sda     /dev/sde   /home/ubuntu/dd/suivi</code> | ddrescue
167 Espace(s) surnuméraire(s) à supprimer. => sudo ddrescue             -f  -c1      -b512       /dev/sda     /dev/sde   /home/ubuntu/dd/suivi</code> |               => suggestions : [' ']
167 Espace(s) surnuméraire(s) à supprimer. => sudo ddrescue             -f  -c1      -b512       /dev/sda     /dev/sde   /home/ubuntu/dd/suivi</code> |    => suggestions : [' ']
167 Mot inconnu : c1 => sudo ddrescue             -f  -c1      -b512       /dev/sda     /dev/sde   /home/ubuntu/dd/suivi</code> | c1
167 Espace(s) surnuméraire(s) à supprimer. => sudo ddrescue             -f  -c1      -b512       /dev/sda     /dev/sde   /home/ubuntu/dd/suivi</code> |        => suggestions : [' ']
167 Mot inconnu : b512 => sudo ddrescue             -f  -c1      -b512       /dev/sda     /dev/sde   /home/ubuntu/dd/suivi</code> | b512
167 Espace(s) surnuméraire(s) à supprimer. => sudo ddrescue             -f  -c1      -b512       /dev/sda     /dev/sde   /home/ubuntu/dd/suivi</code> |         => suggestions : [' ']
167 Espace(s) surnuméraire(s) à supprimer. => sudo ddrescue             -f  -c1      -b512       /dev/sda     /dev/sde   /home/ubuntu/dd/suivi</code> |       => suggestions : [' ']
167 Espace(s) surnuméraire(s) à supprimer. => sudo ddrescue             -f  -c1      -b512       /dev/sda     /dev/sde   /home/ubuntu/dd/suivi</code> |     => suggestions : [' ']

168 Espace(s) surnuméraire(s) à supprimer. => ATTENTION  : Si la cible est un disque dur, toutes les données de ce disque dur (ici /dev/sde) seront écrasées donc perdues. Pour que ce ne soit pas le cas il faut que la cible soit un fichier par exemple /dev/sde/chemin/fichier_de_recup.img |    => suggestions : [' ']

171 Mot inconnu : sudo => sudo ddrescue       -d  -f  -R  -r27   -b512  -c1          /dev/sda    /dev/sde    /home/ubuntu/dd/suivi</code> | sudo
171 Mot inconnu : ddrescue => sudo ddrescue       -d  -f  -R  -r27   -b512  -c1          /dev/sda    /dev/sde    /home/ubuntu/dd/suivi</code> | ddrescue
171 Espace(s) surnuméraire(s) à supprimer. => sudo ddrescue       -d  -f  -R  -r27   -b512  -c1          /dev/sda    /dev/sde    /home/ubuntu/dd/suivi</code> |         => suggestions : [' ']
