
5 Mot inconnu : GCompris => ====== GCompris : Suite de logiciels ludo-éducatifs ====== | gcompris
31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Commencez par installer les dépendances propres à GCompris: |    => suggestions : ['']
31 Mot inconnu : GCompris =>   * Commencez par installer les dépendances propres à GCompris: | gcompris

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   apt-get build-dep gcompris |    => suggestions : ['']
33 Mot inconnu : apt-get =>   apt-get build-dep gcompris | apt-get
33 Mot inconnu : build-dep =>   apt-get build-dep gcompris | build-dep
33 Mot inconnu : gcompris =>   apt-get build-dep gcompris | gcompris

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Récupérez l’archive gcompris-X.X.Xtar.gz sur [[https://sourceforge.net/projects/gcompris/files/]]. Puis lancez les commandes suivantes en remplaçant X.X.X par la version téléchargée (par exemple 8.4.12) |    => suggestions : ['']
36 Mot inconnu : gcompris-X =>   * Récupérez l’archive gcompris-X.X.Xtar.gz sur [[https://sourceforge.net/projects/gcompris/files/]]. Puis lancez les commandes suivantes en remplaçant X.X.X par la version téléchargée (par exemple 8.4.12) | gcompris-x
36 Sigle. Il est recommandé d’ôter les points pour les sigles. (S’il s’agit d’un prénom et d’un nom, mettez un espace.) =>   * Récupérez l’archive gcompris-X.X.Xtar.gz sur [[https://sourceforge.net/projects/gcompris/files/]]. Puis lancez les commandes suivantes en remplaçant X.X.X par la version téléchargée (par exemple 8.4.12) | x.x. => suggestions : ['XX', 'X.\u202fX.']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   tar -xvf gcompris-X.X.Xtar.gz |    => suggestions : ['']
39 Mot inconnu : tar =>   tar -xvf gcompris-X.X.Xtar.gz | tar
39 Il manque un espace à côté du tiret. =>   tar -xvf gcompris-X.X.Xtar.gz |  - => suggestions : [' – ', ' — ']
39 Mot inconnu : xvf =>   tar -xvf gcompris-X.X.Xtar.gz | xvf
39 Mot inconnu : gcompris-X =>   tar -xvf gcompris-X.X.Xtar.gz | gcompris-x

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd gcompris-X.X.X |    => suggestions : ['']
40 Mot inconnu : gcompris-X =>   cd gcompris-X.X.X | gcompris-x

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sh configure |    => suggestions : ['']
41 Mot inconnu : sh =>   sh configure | sh

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Analysez, les erreurs et installez les dépendances manquantes. Souvent, il faut installer les packets '*-dev' sur votre distribution. Il vous faudra notamment GTK, python, pygtk, gstreamer). Recommencez l’étape ’sh configure’ jusqu’à ce qu’il n'y ai plus d’erreur. |    => suggestions : ['']
45 Mot inconnu : packets =>   * Analysez, les erreurs et installez les dépendances manquantes. Souvent, il faut installer les packets '*-dev' sur votre distribution. Il vous faudra notamment GTK, python, pygtk, gstreamer). Recommencez l’étape ’sh configure’ jusqu’à ce qu’il n'y ai plus d’erreur. | packets
45 Mot inconnu : dev =>   * Analysez, les erreurs et installez les dépendances manquantes. Souvent, il faut installer les packets '*-dev' sur votre distribution. Il vous faudra notamment GTK, python, pygtk, gstreamer). Recommencez l’étape ’sh configure’ jusqu’à ce qu’il n'y ai plus d’erreur. | dev
45 Guillemets typographiques fermants. =>   * Analysez, les erreurs et installez les dépendances manquantes. Souvent, il faut installer les packets '*-dev' sur votre distribution. Il vous faudra notamment GTK, python, pygtk, gstreamer). Recommencez l’étape ’sh configure’ jusqu’à ce qu’il n'y ai plus d’erreur. | ' => suggestions : ['”', '’', '›']
45 Mot inconnu : pygtk =>   * Analysez, les erreurs et installez les dépendances manquantes. Souvent, il faut installer les packets '*-dev' sur votre distribution. Il vous faudra notamment GTK, python, pygtk, gstreamer). Recommencez l’étape ’sh configure’ jusqu’à ce qu’il n'y ai plus d’erreur. | pygtk
45 Mot inconnu : gstreamer =>   * Analysez, les erreurs et installez les dépendances manquantes. Souvent, il faut installer les packets '*-dev' sur votre distribution. Il vous faudra notamment GTK, python, pygtk, gstreamer). Recommencez l’étape ’sh configure’ jusqu’à ce qu’il n'y ai plus d’erreur. | gstreamer
45 Guillemets typographiques ouvrants. =>   * Analysez, les erreurs et installez les dépendances manquantes. Souvent, il faut installer les packets '*-dev' sur votre distribution. Il vous faudra notamment GTK, python, pygtk, gstreamer). Recommencez l’étape ’sh configure’ jusqu’à ce qu’il n'y ai plus d’erreur. | ’ => suggestions : ['“', '‘', '‹']
45 Mot inconnu : sh =>   * Analysez, les erreurs et installez les dépendances manquantes. Souvent, il faut installer les packets '*-dev' sur votre distribution. Il vous faudra notamment GTK, python, pygtk, gstreamer). Recommencez l’étape ’sh configure’ jusqu’à ce qu’il n'y ai plus d’erreur. | sh
45 Conjugaison erronée. Accord avec “il”. Le verbe devrait être à la 3ᵉ personne du singulier. =>   * Analysez, les erreurs et installez les dépendances manquantes. Souvent, il faut installer les packets '*-dev' sur votre distribution. Il vous faudra notamment GTK, python, pygtk, gstreamer). Recommencez l’étape ’sh configure’ jusqu’à ce qu’il n'y ai plus d’erreur. | ai => suggestions : ['a']

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Puis continuez avec : |    => suggestions : ['']

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   make |    => suggestions : ['']
49 Mot inconnu : make =>   make | make

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo make install |    => suggestions : ['']
50 Mot inconnu : sudo =>   sudo make install | sudo
50 Mot inconnu : make =>   sudo make install | make
50 Mot inconnu : install =>   sudo make install | install

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Notez qu’il n'est pas possible de lancer GCompris sans l’installer. Par contre il est possible de lancer chaque activité indépendamment, par exemple |    => suggestions : ['']
54 Mot inconnu : GCompris =>   * Notez qu’il n'est pas possible de lancer GCompris sans l’installer. Par contre il est possible de lancer chaque activité indépendamment, par exemple | gcompris

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd src |    => suggestions : ['']
56 Mot inconnu : src =>   cd src | src

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ./runit.sh clickgame-activity |    => suggestions : ['']
57 Mot inconnu : runit =>   ./runit.sh clickgame-activity | runit
57 Mot inconnu : sh =>   ./runit.sh clickgame-activity | sh
57 Mot inconnu : clickgame-activity =>   ./runit.sh clickgame-activity | clickgame-activity

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

60 Mot inconnu : Gcompris => ==== Lancer Gcompris en mode fenêtre ==== | gcompris

61 Mot inconnu : défault => Par défault Gcompris se lance en mode plein écran, pour le lancer en mode fenêtre classique il faut entrer la commande suivante : | défault
61 Mot inconnu : Gcompris => Par défault Gcompris se lance en mode plein écran, pour le lancer en mode fenêtre classique il faut entrer la commande suivante : | gcompris

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     gcompris --window |      => suggestions : ['']
62 Mot inconnu : gcompris =>     gcompris --window | gcompris
62 Mot inconnu : window =>     gcompris --window | window

64 Mot inconnu : ctrl => Toutefois le **raccourci ctrl + F** permet de basculer entre les deux mode même si Gcompris à été lancé en mode normal. | ctrl
64 Accord de nombre erroné avec « deux » : « mode » devrait être au pluriel. => Toutefois le **raccourci ctrl + F** permet de basculer entre les deux mode même si Gcompris à été lancé en mode normal. | mode => suggestions : ['modes']
64 Mot inconnu : Gcompris => Toutefois le **raccourci ctrl + F** permet de basculer entre les deux mode même si Gcompris à été lancé en mode normal. | gcompris
64 Confusion : “à” est une préposition. Pour le verbe avoir, écrivez “a”. => Toutefois le **raccourci ctrl + F** permet de basculer entre les deux mode même si Gcompris à été lancé en mode normal. | à => suggestions : ['a']

69 Mot inconnu : Education => Un lanceur est créé automatiquement par l'installation dans le menu **Applications => Education** | education

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://gcompris.net/-fr-|Site officiel]] |    => suggestions : ['']
