
4 Mot inconnu : Baldur's => ====== Baldur's Gate 1 : Tales of the Sword Coast ====== | baldur's
44 Mot inconnu : of => <note important>N'installez que le patch pour Tales of the Sword Coast si vous possédez l'extension.  Installer le patch du jeu de base puis l'extension ensuite peut vous exposer à de graves bugs dans le jeu.</note> | of
44 Mot inconnu : the => <note important>N'installez que le patch pour Tales of the Sword Coast si vous possédez l'extension.  Installer le patch du jeu de base puis l'extension ensuite peut vous exposer à de graves bugs dans le jeu.</note> | the
44 Mot inconnu : Sword => <note important>N'installez que le patch pour Tales of the Sword Coast si vous possédez l'extension.  Installer le patch du jeu de base puis l'extension ensuite peut vous exposer à de graves bugs dans le jeu.</note> | sword
44 Mot inconnu : Coast => <note important>N'installez que le patch pour Tales of the Sword Coast si vous possédez l'extension.  Installer le patch du jeu de base puis l'extension ensuite peut vous exposer à de graves bugs dans le jeu.</note> | coast
44 Espace(s) surnuméraire(s) à supprimer. => <note important>N'installez que le patch pour Tales of the Sword Coast si vous possédez l'extension.  Installer le patch du jeu de base puis l'extension ensuite peut vous exposer à de graves bugs dans le jeu.</note> |    => suggestions : [' ']

46 Mot inconnu : Wine => Le patch s'installe également via Wine. | wine

48 Mot inconnu : CDs => ==== Édition 3 CDs  ==== | cds
48 Espace(s) surnuméraire(s) à supprimer. => ==== Édition 3 CDs  ==== |    => suggestions : [' ']

50 Espace(s) surnuméraire(s) à supprimer. => Là encore, vous ne pourrez démonter le premier CD une fois son installation terminée.  La même astuce qu'au paragraphe précédent fonctionne très bien. |    => suggestions : [' ']

52 Mot inconnu : White => === Édition White Label === | white

54 Espace(s) surnuméraire(s) à supprimer. => Attention, cette édition particulière comporte deux fichiers corrompus.  Toutefois, l'erreur d'installation ne survient que si vous choisissez une installation complète du jeu, étrangement.  Pour malgré tout bénéficier d'une installation complète du jeu, la marche à suivre est la suivante :  |    => suggestions : [' ']
54 Espace(s) surnuméraire(s) à supprimer. => Attention, cette édition particulière comporte deux fichiers corrompus.  Toutefois, l'erreur d'installation ne survient que si vous choisissez une installation complète du jeu, étrangement.  Pour malgré tout bénéficier d'une installation complète du jeu, la marche à suivre est la suivante :  |    => suggestions : [' ']
54 Espace(s) en fin de ligne à supprimer. => Attention, cette édition particulière comporte deux fichiers corrompus.  Toutefois, l'erreur d'installation ne survient que si vous choisissez une installation complète du jeu, étrangement.  Pour malgré tout bénéficier d'une installation complète du jeu, la marche à suivre est la suivante :  |   => suggestions : ['']

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Lancez l'installation de Baldur's Gate via Wine.  Demandez une installation recommandée. |    => suggestions : ['']
56 Mot inconnu : Baldur's =>   * Lancez l'installation de Baldur's Gate via Wine.  Demandez une installation recommandée. | baldur's
56 Mot inconnu : Gate =>   * Lancez l'installation de Baldur's Gate via Wine.  Demandez une installation recommandée. | gate
56 Mot inconnu : Wine =>   * Lancez l'installation de Baldur's Gate via Wine.  Demandez une installation recommandée. | wine
56 Espace(s) surnuméraire(s) à supprimer. =>   * Lancez l'installation de Baldur's Gate via Wine.  Demandez une installation recommandée. |    => suggestions : [' ']

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Une fois l'installation achevée, allez dans le sous-répertoire Data du répertoire choisi pour l'installation (par défaut /home/user/.wine/drive_c/Program Files/Black Isle/Baldur's Gate).  Copiez en lieu sûr (en dehors du répertoire du jeu) les fichiers Area4100.bif et Area4300.bif. |    => suggestions : ['']
57 Mot inconnu : Isle =>   * Une fois l'installation achevée, allez dans le sous-répertoire Data du répertoire choisi pour l'installation (par défaut /home/user/.wine/drive_c/Program Files/Black Isle/Baldur's Gate).  Copiez en lieu sûr (en dehors du répertoire du jeu) les fichiers Area4100.bif et Area4300.bif. | isle
57 Mot inconnu : Baldur's =>   * Une fois l'installation achevée, allez dans le sous-répertoire Data du répertoire choisi pour l'installation (par défaut /home/user/.wine/drive_c/Program Files/Black Isle/Baldur's Gate).  Copiez en lieu sûr (en dehors du répertoire du jeu) les fichiers Area4100.bif et Area4300.bif. | baldur's
57 Mot inconnu : Gate =>   * Une fois l'installation achevée, allez dans le sous-répertoire Data du répertoire choisi pour l'installation (par défaut /home/user/.wine/drive_c/Program Files/Black Isle/Baldur's Gate).  Copiez en lieu sûr (en dehors du répertoire du jeu) les fichiers Area4100.bif et Area4300.bif. | gate
57 Espace(s) surnuméraire(s) à supprimer. =>   * Une fois l'installation achevée, allez dans le sous-répertoire Data du répertoire choisi pour l'installation (par défaut /home/user/.wine/drive_c/Program Files/Black Isle/Baldur's Gate).  Copiez en lieu sûr (en dehors du répertoire du jeu) les fichiers Area4100.bif et Area4300.bif. |    => suggestions : [' ']
57 Mot inconnu : Area4100 =>   * Une fois l'installation achevée, allez dans le sous-répertoire Data du répertoire choisi pour l'installation (par défaut /home/user/.wine/drive_c/Program Files/Black Isle/Baldur's Gate).  Copiez en lieu sûr (en dehors du répertoire du jeu) les fichiers Area4100.bif et Area4300.bif. | area4100
57 Mot inconnu : bif =>   * Une fois l'installation achevée, allez dans le sous-répertoire Data du répertoire choisi pour l'installation (par défaut /home/user/.wine/drive_c/Program Files/Black Isle/Baldur's Gate).  Copiez en lieu sûr (en dehors du répertoire du jeu) les fichiers Area4100.bif et Area4300.bif. | bif
57 Mot inconnu : Area4300 =>   * Une fois l'installation achevée, allez dans le sous-répertoire Data du répertoire choisi pour l'installation (par défaut /home/user/.wine/drive_c/Program Files/Black Isle/Baldur's Gate).  Copiez en lieu sûr (en dehors du répertoire du jeu) les fichiers Area4100.bif et Area4300.bif. | area4300
57 Mot inconnu : bif =>   * Une fois l'installation achevée, allez dans le sous-répertoire Data du répertoire choisi pour l'installation (par défaut /home/user/.wine/drive_c/Program Files/Black Isle/Baldur's Gate).  Copiez en lieu sûr (en dehors du répertoire du jeu) les fichiers Area4100.bif et Area4300.bif. | bif

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Désinstallez le jeu. |    => suggestions : ['']

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Réinstallez le jeu dans le même répertoire que la première fois, cette fois-ci en demandant une installation complète. Ignorez le message indiquant que l'installateur a un problème avec ces deux fichiers. |    => suggestions : ['']

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Recopiez les fichiers Area4100.bif et Area4300.bif depuis le "lieu sûr" vers le sous-répertoire Data de l'installation du jeu. |    => suggestions : ['']
60 Mot inconnu : Area4100 =>   * Recopiez les fichiers Area4100.bif et Area4300.bif depuis le "lieu sûr" vers le sous-répertoire Data de l'installation du jeu. | area4100
60 Mot inconnu : bif =>   * Recopiez les fichiers Area4100.bif et Area4300.bif depuis le "lieu sûr" vers le sous-répertoire Data de l'installation du jeu. | bif
60 Mot inconnu : Area4300 =>   * Recopiez les fichiers Area4100.bif et Area4300.bif depuis le "lieu sûr" vers le sous-répertoire Data de l'installation du jeu. | area4300
60 Mot inconnu : bif =>   * Recopiez les fichiers Area4100.bif et Area4300.bif depuis le "lieu sûr" vers le sous-répertoire Data de l'installation du jeu. | bif
60 Guillemets typographiques ouvrants. =>   * Recopiez les fichiers Area4100.bif et Area4300.bif depuis le "lieu sûr" vers le sous-répertoire Data de l'installation du jeu. | " => suggestions : ['«\xa0', '“']
60 Guillemets typographiques fermants. =>   * Recopiez les fichiers Area4100.bif et Area4300.bif depuis le "lieu sûr" vers le sous-répertoire Data de l'installation du jeu. | " => suggestions : ['\xa0»', '”']

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Vous avez maintenant une véritable installation complète. Comme tous les patchs sont déjà présents, l'installation est terminée. |    => suggestions : ['']

63 Si “CD” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => ==== Édition 1 DVD (+ 1 CD d'extension éventuellement ==== | 1 cd => suggestions : ['1\xa0CD']

65 Mot inconnu : setup => Dans ce cas, l'installation est un jeu d'enfant puisqu'il vous suffit de lancer le setup.exe via Wine, dans un terminal (ou avec votre gestionnaire de fichiers favori). | setup
65 Mot inconnu : exe => Dans ce cas, l'installation est un jeu d'enfant puisqu'il vous suffit de lancer le setup.exe via Wine, dans un terminal (ou avec votre gestionnaire de fichiers favori). | exe
65 Mot inconnu : Wine => Dans ce cas, l'installation est un jeu d'enfant puisqu'il vous suffit de lancer le setup.exe via Wine, dans un terminal (ou avec votre gestionnaire de fichiers favori). | wine

67 Mot inconnu : BioWare => Les anciennes éditions en 1 DVD ne comportent pas de patch natif, il vous faut donc le récupérer sur le site officiel de BioWare (voir plus haut). | bioware

69 Mot inconnu : GOG => ==== Édition dématérialisée GOG.com ==== | gog
78 Mot inconnu : install => apt install /home/user/baldurs-gate-1_1.3.5521-gog23532+20200803.5_i386.deb /home/user/baldurs-gate-1-l10n-fr_1.3.5521-gog23532+20200803.5_all.deb /home/user/baldurs-gate-1-data_1.3.5521-gog23532+20200803.5_all.deb</code> | install
78 Formatage des grands nombres. => apt install /home/user/baldurs-gate-1_1.3.5521-gog23532+20200803.5_i386.deb /home/user/baldurs-gate-1-l10n-fr_1.3.5521-gog23532+20200803.5_all.deb /home/user/baldurs-gate-1-data_1.3.5521-gog23532+20200803.5_all.deb</code> | 20200803 => suggestions : ['20\xa0200\xa0803']
78 Formatage des grands nombres. => apt install /home/user/baldurs-gate-1_1.3.5521-gog23532+20200803.5_i386.deb /home/user/baldurs-gate-1-l10n-fr_1.3.5521-gog23532+20200803.5_all.deb /home/user/baldurs-gate-1-data_1.3.5521-gog23532+20200803.5_all.deb</code> | 20200803 => suggestions : ['20\xa0200\xa0803']
78 Formatage des grands nombres. => apt install /home/user/baldurs-gate-1_1.3.5521-gog23532+20200803.5_i386.deb /home/user/baldurs-gate-1-l10n-fr_1.3.5521-gog23532+20200803.5_all.deb /home/user/baldurs-gate-1-data_1.3.5521-gog23532+20200803.5_all.deb</code> | 20200803 => suggestions : ['20\xa0200\xa0803']

82 Typographie : points de suspension. Utilisez le caractère dédié. => Il existe d'autres éditions, parfois plus obscures (et arnaqueuses...).  Si vous êtes dans ce cas, suivez le guide. (([[http://www.baldursgateworld.fr/lacouronne/la-taverne-de-chateau-suif-baldurs-gate-1/19855-guide-installation-de-baldurs-gate-et-tales-sword-coast.html|par ici !]]))  | ... => suggestions : ['…']
82 Espace(s) surnuméraire(s) à supprimer. => Il existe d'autres éditions, parfois plus obscures (et arnaqueuses...).  Si vous êtes dans ce cas, suivez le guide. (([[http://www.baldursgateworld.fr/lacouronne/la-taverne-de-chateau-suif-baldurs-gate-1/19855-guide-installation-de-baldurs-gate-et-tales-sword-coast.html|par ici !]]))  |    => suggestions : [' ']
82 Espace(s) en fin de ligne à supprimer. => Il existe d'autres éditions, parfois plus obscures (et arnaqueuses...).  Si vous êtes dans ce cas, suivez le guide. (([[http://www.baldursgateworld.fr/lacouronne/la-taverne-de-chateau-suif-baldurs-gate-1/19855-guide-installation-de-baldurs-gate-et-tales-sword-coast.html|par ici !]]))  |   => suggestions : ['']

87 Espace(s) surnuméraire(s) à supprimer. => Selon que vous ayez ou non l'extension, il vous faudra insérer votre CD 1 (ou votre DVD), ou le CD de l'extension, pour démarrer le jeu.  En effet, il détecte une absence de disque s'il n'est pas présent dans le lecteur (contrôle anti-crack), vous devrez donc le placer dans le lecteur au moins au début.  Par la suite, si vous avez effectué une installation complète du jeu, vous pourrez le démonter de l'arborescence et ainsi épargner votre lecteur et votre disque... |    => suggestions : [' ']
87 Espace(s) surnuméraire(s) à supprimer. => Selon que vous ayez ou non l'extension, il vous faudra insérer votre CD 1 (ou votre DVD), ou le CD de l'extension, pour démarrer le jeu.  En effet, il détecte une absence de disque s'il n'est pas présent dans le lecteur (contrôle anti-crack), vous devrez donc le placer dans le lecteur au moins au début.  Par la suite, si vous avez effectué une installation complète du jeu, vous pourrez le démonter de l'arborescence et ainsi épargner votre lecteur et votre disque... |    => suggestions : [' ']
87 Typographie : points de suspension. Utilisez le caractère dédié. => Selon que vous ayez ou non l'extension, il vous faudra insérer votre CD 1 (ou votre DVD), ou le CD de l'extension, pour démarrer le jeu.  En effet, il détecte une absence de disque s'il n'est pas présent dans le lecteur (contrôle anti-crack), vous devrez donc le placer dans le lecteur au moins au début.  Par la suite, si vous avez effectué une installation complète du jeu, vous pourrez le démonter de l'arborescence et ainsi épargner votre lecteur et votre disque... | ... => suggestions : ['…']

89 Espace(s) surnuméraire(s) à supprimer. => Normalement, un sous-menu est apparu dans votre menu.  Sinon, Wine propose maintenant de lancer l'autoexécution du CD lorsque vous l'insérer dans votre lecteur.  Je vous déconseille cependant de procéder de la suite, les autoexécutables étant potentiellement nocifs pour votre environnement (et vous éviterez de la sorte de prendre une mauvaise habitude ;) ).  Il vous suffit de vous rendre sur le CD-ROM via votre gestionnaire de fichiers, et de cliquer droit sur BGMain.exe puis choisir "Lancer avec Wine".  Et voilà ! |    => suggestions : [' ']
89 Mot inconnu : Wine => Normalement, un sous-menu est apparu dans votre menu.  Sinon, Wine propose maintenant de lancer l'autoexécution du CD lorsque vous l'insérer dans votre lecteur.  Je vous déconseille cependant de procéder de la suite, les autoexécutables étant potentiellement nocifs pour votre environnement (et vous éviterez de la sorte de prendre une mauvaise habitude ;) ).  Il vous suffit de vous rendre sur le CD-ROM via votre gestionnaire de fichiers, et de cliquer droit sur BGMain.exe puis choisir "Lancer avec Wine".  Et voilà ! | wine
89 Mot inconnu : autoexécution => Normalement, un sous-menu est apparu dans votre menu.  Sinon, Wine propose maintenant de lancer l'autoexécution du CD lorsque vous l'insérer dans votre lecteur.  Je vous déconseille cependant de procéder de la suite, les autoexécutables étant potentiellement nocifs pour votre environnement (et vous éviterez de la sorte de prendre une mauvaise habitude ;) ).  Il vous suffit de vous rendre sur le CD-ROM via votre gestionnaire de fichiers, et de cliquer droit sur BGMain.exe puis choisir "Lancer avec Wine".  Et voilà ! | autoexécution
89 Espace(s) surnuméraire(s) à supprimer. => Normalement, un sous-menu est apparu dans votre menu.  Sinon, Wine propose maintenant de lancer l'autoexécution du CD lorsque vous l'insérer dans votre lecteur.  Je vous déconseille cependant de procéder de la suite, les autoexécutables étant potentiellement nocifs pour votre environnement (et vous éviterez de la sorte de prendre une mauvaise habitude ;) ).  Il vous suffit de vous rendre sur le CD-ROM via votre gestionnaire de fichiers, et de cliquer droit sur BGMain.exe puis choisir "Lancer avec Wine".  Et voilà ! |    => suggestions : [' ']
89 Mot inconnu : autoexécutables => Normalement, un sous-menu est apparu dans votre menu.  Sinon, Wine propose maintenant de lancer l'autoexécution du CD lorsque vous l'insérer dans votre lecteur.  Je vous déconseille cependant de procéder de la suite, les autoexécutables étant potentiellement nocifs pour votre environnement (et vous éviterez de la sorte de prendre une mauvaise habitude ;) ).  Il vous suffit de vous rendre sur le CD-ROM via votre gestionnaire de fichiers, et de cliquer droit sur BGMain.exe puis choisir "Lancer avec Wine".  Et voilà ! | autoexécutables
89 Pas d’espace avant ce signe. => Normalement, un sous-menu est apparu dans votre menu.  Sinon, Wine propose maintenant de lancer l'autoexécution du CD lorsque vous l'insérer dans votre lecteur.  Je vous déconseille cependant de procéder de la suite, les autoexécutables étant potentiellement nocifs pour votre environnement (et vous éviterez de la sorte de prendre une mauvaise habitude ;) ).  Il vous suffit de vous rendre sur le CD-ROM via votre gestionnaire de fichiers, et de cliquer droit sur BGMain.exe puis choisir "Lancer avec Wine".  Et voilà ! |  ) => suggestions : [')']
89 Espace(s) surnuméraire(s) à supprimer. => Normalement, un sous-menu est apparu dans votre menu.  Sinon, Wine propose maintenant de lancer l'autoexécution du CD lorsque vous l'insérer dans votre lecteur.  Je vous déconseille cependant de procéder de la suite, les autoexécutables étant potentiellement nocifs pour votre environnement (et vous éviterez de la sorte de prendre une mauvaise habitude ;) ).  Il vous suffit de vous rendre sur le CD-ROM via votre gestionnaire de fichiers, et de cliquer droit sur BGMain.exe puis choisir "Lancer avec Wine".  Et voilà ! |    => suggestions : [' ']
89 Mot inconnu : BGMain => Normalement, un sous-menu est apparu dans votre menu.  Sinon, Wine propose maintenant de lancer l'autoexécution du CD lorsque vous l'insérer dans votre lecteur.  Je vous déconseille cependant de procéder de la suite, les autoexécutables étant potentiellement nocifs pour votre environnement (et vous éviterez de la sorte de prendre une mauvaise habitude ;) ).  Il vous suffit de vous rendre sur le CD-ROM via votre gestionnaire de fichiers, et de cliquer droit sur BGMain.exe puis choisir "Lancer avec Wine".  Et voilà ! | bgmain
