5 Mot inconnu : The [[27:30]] => ====== Ubuntu 14.04 LTS (« The Trusty Tahr ») ====== <|> the
88 Mot inconnu : Synaptic [[206:214]] => Donc pour transformer une entrée série comme une entrée input, il y a ce magnifique programme : **#inputattach**, qui m'a sauvé (grand merci à l'auteur) et que l'on peut trouver dans les paquetages Ubuntu (Synaptic ou autre). Il permet de relier un port série à une entrée input reconnue par Xorg. <|> synaptic

90 Incohérence probable avec “ai” : “créer” n’est pas un participe passé. [[60:65]] => Cependant, quelques améliorations sont à effectuer car j'ai créer un service (j'ai changé Upstart par systemd) qui lance la commande inputattach au démarrage, mais si le périphérique n'est pas branché, le programme tombe en failed et doit être redémarré en manuelle. Lancer la commande inputattach au branchement hotplugg de la souris serait intéressant et l’arrêter à son retrait!!! J'y travaille!!﻿\\ <|> créer => suggestions : ['créé']
90 Mot inconnu : Upstart [[90:97]] => Cependant, quelques améliorations sont à effectuer car j'ai créer un service (j'ai changé Upstart par systemd) qui lance la commande inputattach au démarrage, mais si le périphérique n'est pas branché, le programme tombe en failed et doit être redémarré en manuelle. Lancer la commande inputattach au branchement hotplugg de la souris serait intéressant et l’arrêter à son retrait!!! J'y travaille!!﻿\\ <|> upstart
90 Mot inconnu : inputattach [[133:144]] => Cependant, quelques améliorations sont à effectuer car j'ai créer un service (j'ai changé Upstart par systemd) qui lance la commande inputattach au démarrage, mais si le périphérique n'est pas branché, le programme tombe en failed et doit être redémarré en manuelle. Lancer la commande inputattach au branchement hotplugg de la souris serait intéressant et l’arrêter à son retrait!!! J'y travaille!!﻿\\ <|> inputattach
90 Mot inconnu : failed [[224:230]] => Cependant, quelques améliorations sont à effectuer car j'ai créer un service (j'ai changé Upstart par systemd) qui lance la commande inputattach au démarrage, mais si le périphérique n'est pas branché, le programme tombe en failed et doit être redémarré en manuelle. Lancer la commande inputattach au branchement hotplugg de la souris serait intéressant et l’arrêter à son retrait!!! J'y travaille!!﻿\\ <|> failed
90 Mot inconnu : inputattach [[286:297]] => Cependant, quelques améliorations sont à effectuer car j'ai créer un service (j'ai changé Upstart par systemd) qui lance la commande inputattach au démarrage, mais si le périphérique n'est pas branché, le programme tombe en failed et doit être redémarré en manuelle. Lancer la commande inputattach au branchement hotplugg de la souris serait intéressant et l’arrêter à son retrait!!! J'y travaille!!﻿\\ <|> inputattach
90 Mot inconnu : hotplugg [[313:321]] => Cependant, quelques améliorations sont à effectuer car j'ai créer un service (j'ai changé Upstart par systemd) qui lance la commande inputattach au démarrage, mais si le périphérique n'est pas branché, le programme tombe en failed et doit être redémarré en manuelle. Lancer la commande inputattach au branchement hotplugg de la souris serait intéressant et l’arrêter à son retrait!!! J'y travaille!!﻿\\ <|> hotplugg

92 Accord de genre erroné avec « utilisés ». [[10:19]] => Sinon les commandes utilisés pour voir mon périphérique : <|> commandes => suggestions : ['commandés']
92 Accord de genre erroné entre « commandes » et « utilisés ». [[20:28]] => Sinon les commandes utilisés pour voir mon périphérique : <|> utilisés => suggestions : ['utilisées']

103 Mot inconnu : NB [[8:10]] => <note>**NB**: La commande ls -al /dev/ttyUSB* vous indique que le groupe est dialout, assurez-vous d'y être (paramètre groupe ou fichier groupe dans etc/).</note> <|> nb
103 Mot inconnu : ls [[26:28]] => <note>**NB**: La commande ls -al /dev/ttyUSB* vous indique que le groupe est dialout, assurez-vous d'y être (paramètre groupe ou fichier groupe dans etc/).</note> <|> ls
103 Il manque un espace à côté du tiret. [[28:30]] => <note>**NB**: La commande ls -al /dev/ttyUSB* vous indique que le groupe est dialout, assurez-vous d'y être (paramètre groupe ou fichier groupe dans etc/).</note> <|>  - => suggestions : [' – ', ' — ']
103 Mot inconnu : dialout [[77:84]] => <note>**NB**: La commande ls -al /dev/ttyUSB* vous indique que le groupe est dialout, assurez-vous d'y être (paramètre groupe ou fichier groupe dans etc/).</note> <|> dialout

104 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']
